sequence,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhETXB8hBCgB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKVB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZwIvhEKbB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Jef3IvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je/wIvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhE3XB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhETXBKfB8hB+?oBXlB
TZISOLJ,O,O,X,X,X,X,O,X,X
TZISOJL,O,O,X,X,X,X,O,X,X
TZIOLJS,X,O,X,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,O,X,X
TZIOSLJ,O,O,X,X,X,X,O,X,X
TZIOSJL,O,O,X,X,X,X,O,X,X
TZLIJSO,X,X,X,O,X,X,O,O,X
TZLIJOS,X,X,X,X,X,O,O,O,X
TZLISJO,X,X,X,O,X,X,O,O,X
TZLISOJ,X,X,X,O,X,X,O,O,X
TZLIOJS,X,X,X,X,X,O,O,O,X
TZLIOSJ,X,X,X,X,X,O,O,O,X
TZLJISO,X,X,X,O,X,X,O,O,X
TZLJIOS,X,X,X,X,X,O,O,O,X
TZLJSIO,X,X,X,O,O,X,X,O,O
TZLJSOI,X,X,X,O,O,X,X,O,O
TZLJOIS,X,X,X,X,X,O,O,O,X
TZLJOSI,X,X,X,X,X,O,X,O,O
TZLSIJO,X,X,X,O,O,X,X,O,O
TZLSIOJ,X,X,X,O,O,X,X,O,O
TZLSJIO,X,X,X,O,O,X,X,O,O
TZLSJOI,X,X,X,O,O,X,X,O,O
TZLSOIJ,X,X,X,O,O,X,X,O,O
TZLSOJI,X,X,X,O,O,X,X,O,O
TZLOIJS,X,X,X,X,X,O,O,O,X
TZLOISJ,X,X,X,X,X,O,O,O,X
TZLOJIS,X,X,X,X,X,O,O,O,X
TZLOJSI,X,X,X,X,X,O,X,O,O
TZLOSIJ,X,X,X,X,X,O,X,O,O
TZLOSJI,X,X,X,X,X,O,X,O,O
TZJILSO,X,X,X,O,X,X,O,O,X
TZJILOS,X,X,X,X,X,O,O,O,X
TZJISLO,O,X,X,O,X,X,O,O,X
TZJISOL,O,O,X,X,X,X,O,X,X
TZJIOLS,X,O,X,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,X,O,X,X
TZJLISO,X,X,X,O,X,X,O,O,X
TZJLIOS,X,X,X,X,X,O,O,O,X
TZJLSIO,X,X,X,O,O,X,X,O,O
TZJLSOI,X,X,X,O,O,X,X,O,O
TZJLOIS,X,X,X,X,X,O,O,O,X
TZJLOSI,X,X,X,X,X,O,X,O,O
TZJSILO,O,X,X,O,O,X,X,O,O
TZJSIOL,O,O,X,X,X,X,X,X,O
TZJSLIO,O,X,X,O,O,X,X,O,O
TZJSLOI,O,X,O,O,O,X,X,O,O
TZJSOIL,O,O,O,X,X,X,X,X,O
TZJSOLI,O,O,O,X,X,O,X,O,O
TZJOILS,X,O,X,X,X,X,X,X,X
TZJOISL,O,O,O,X,X,X,O,X,X
TZJOLIS,X,O,X,X,X,O,O,O,X
TZJOLSI,X,O,X,X,X,O,X,O,O
TZJOSIL,O,O,O,X,X,X,X,X,O
TZJOSLI,O,O,O,X,X,O,X,O,O
TZSILJO,O,X,X,O,O,X,X,O,O
TZSILOJ,O,X,X,O,O,X,X,O,O
TZSIJLO,O,X,X,O,O,X,X,O,O
TZSIJOL,O,O,X,X,X,X,X,X,O
TZSIOLJ,O,O,X,X,X,X,X,X,O
TZSIOJL,O,O,X,X,X,X,X,X,O
TZSLIJO,O,X,X,O,O,X,X,O,O
TZSLIOJ,O,X,X,O,O,X,X,O,O
TZSLJIO,O,X,X,O,O,X,X,O,O
TZSLJOI,O,X,O,O,O,X,X,O,O
TZSLOIJ,O,X,O,O,O,X,X,O,O
TZSLOJI,O,X,O,O,O,X,X,O,O
TZSJILO,O,X,X,O,O,X,X,O,O
TZSJIOL,O,O,X,X,X,X,X,X,O
TZSJLIO,O,X,X,O,O,X,X,O,O
TZSJLOI,O,X,O,O,O,X,X,O,O
TZSJOIL,O,O,O,X,X,X,X,X,O
TZSJOLI,O,O,O,X,X,O,X,O,O
TZSOILJ,O,O,O,X,X,X,X,X,O
TZSOIJL,O,O,O,X,X,X,X,X,O
TZSOLIJ,O,O,O,X,X,O,X,O,O
TZSOLJI,O,O,O,X,X,O,X,O,O
TZSOJIL,O,O,O,X,X,X,X,X,O
TZSOJLI,O,O,O,X,X,O,X,O,O
TZOILJS,X,O,X,X,X,X,X,X,X
TZOILSJ,X,O,X,X,X,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,X,X
TZOIJSL,O,O,O,X,X,X,O,X,X
TZOISLJ,O,O,O,X,X,X,O,X,X
TZOISJL,O,O,O,X,X,X,O,X,X
TZOLIJS,X,O,X,X,X,O,O,O,X
TZOLISJ,X,O,X,X,X,O,O,O,X
TZOLJIS,X,O,X,X,X,O,O,O,X
TZOLJSI,X,O,X,X,X,O,X,O,O
TZOLSIJ,X,O,X,X,X,O,X,O,O
TZOLSJI,X,O,X,X,X,O,X,O,O
TZOJILS,X,O,X,X,X,X,X,X,X
TZOJISL,O,O,O,X,X,X,O,X,X
TZOJLIS,X,O,X,X,X,O,O,O,X
TZOJLSI,X,O,X,X,X,O,X,O,O
TZOJSIL,O,O,O,X,X,X,X,X,O
TZOJSLI,O,O,O,X,X,O,X,O,O
TZOSILJ,O,O,O,X,X,X,X,X,O
TZOSIJL,O,O,O,X,X,X,X,X,O
TZOSLIJ,O,O,O,X,X,O,X,O,O
TZOSLJI,O,O,O,X,X,O,X,O,O
TZOSJIL,O,O,O,X,X,X,X,X,O
TZOSJLI,O,O,O,X,X,O,X,O,O
TOILJSZ,X,O,X,X,X,X,X,X,X
TOILJZS,X,O,X,X,X,X,X,X,X
TOILSJZ,X,O,X,X,X,X,X,X,X
TOILSZJ,X,O,X,X,X,X,X,X,X
TOILZJS,X,O,X,X,X,X,X,X,X
TOILZSJ,X,O,X,X,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,X,X,X
TOIJLZS,X,O,X,X,X,X,X,X,X
TOIJSLZ,O,O,O,X,X,X,O,X,X
TOIJSZL,O,O,O,X,X,X,O,X,X
TOIJZLS,X,O,X,X,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,O,X,X
TOISLJZ,O,O,O,X,X,X,O,X,X
TOISLZJ,O,O,O,X,X,X,O,X,X
TOISJLZ,O,O,O,X,X,X,O,X,X
TOISJZL,O,O,O,X,X,X,O,X,X
TOISZLJ,O,O,O,X,X,X,O,X,X
TOISZJL,O,O,O,X,X,X,O,X,X
TOIZLJS,X,O,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,X,X,X,X,X,X
TOIZJLS,X,O,X,X,X,X,X,X,X
TOIZJSL,O,O,O,X,X,X,O,X,X
TOIZSLJ,O,O,O,X,X,X,O,X,X
TOIZSJL,O,O,O,X,X,X,O,X,X
TOLIJSZ,X,O,X,X,X,O,O,O,X
TOLIJZS,X,O,X,X,X,O,O,O,X
TOLISJZ,X,O,X,X,X,O,O,O,X
TOLISZJ,X,O,X,X,X,O,O,O,X
TOLIZJS,X,O,X,X,X,O,O,O,X
TOLIZSJ,X,O,X,X,X,O,O,O,X
TOLJISZ,X,O,X,X,X,O,O,O,X
TOLJIZS,X,O,X,X,X,O,O,O,X
TOLJSIZ,X,O,X,X,X,O,X,O,O
TOLJSZI,X,O,X,X,X,O,X,O,O
TOLJZIS,X,O,X,X,X,O,O,O,X
TOLJZSI,X,O,X,X,X,O,X,O,O
TOLSIJZ,X,O,X,X,X,O,X,O,O
TOLSIZJ,X,O,X,X,X,O,X,O,O
TOLSJIZ,X,O,X,X,X,O,X,O,O
TOLSJZI,X,O,X,X,X,O,X,O,O
TOLSZIJ,X,O,X,X,X,O,X,O,O
TOLSZJI,X,O,X,X,X,O,X,O,O
TOLZIJS,X,O,X,X,X,O,O,O,X
TOLZISJ,X,O,X,X,X,O,O,O,X
TOLZJIS,X,O,X,X,X,O,O,O,X
TOLZJSI,X,O,X,X,X,O,X,O,O
TOLZSIJ,X,O,X,X,X,O,X,O,O
TOLZSJI,X,O,X,X,X,O,X,O,O
TOJILSZ,X,O,X,X,X,X,X,X,X
TOJILZS,X,O,X,X,X,X,X,X,X
TOJISLZ,O,O,O,X,X,X,O,X,X
TOJISZL,O,O,O,X,X,X,O,X,X
TOJIZLS,X,O,X,X,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,O,X,X
TOJLISZ,X,O,X,X,X,O,O,O,X
TOJLIZS,X,O,X,X,X,O,O,O,X
TOJLSIZ,X,O,X,X,X,O,X,O,O
TOJLSZI,X,O,X,X,X,O,X,O,O
TOJLZIS,X,O,X,X,X,O,O,O,X
TOJLZSI,X,O,X,X,X,O,X,O,O
TOJSILZ,O,O,O,X,X,X,X,X,O
TOJSIZL,O,O,O,X,X,X,X,X,O
TOJSLIZ,O,O,O,X,X,O,X,O,O
TOJSLZI,O,O,O,X,X,O,X,O,O
TOJSZIL,O,O,O,X,X,X,X,X,O
TOJSZLI,O,O,O,X,X,O,X,O,O
TOJZILS,X,O,X,X,X,X,X,X,X
TOJZISL,O,O,O,X,X,X,O,X,X
TOJZLIS,X,O,X,X,X,O,O,O,X
TOJZLSI,X,O,X,X,X,O,X,O,O
TOJZSIL,O,O,O,X,X,X,X,X,O
TOJZSLI,O,O,O,X,X,O,X,O,O
TOSILJZ,O,O,O,X,X,X,X,X,O
TOSILZJ,O,O,O,X,X,X,X,X,O
TOSIJLZ,O,O,O,X,X,X,X,X,O
TOSIJZL,O,O,O,X,X,X,X,X,O
TOSIZLJ,O,O,O,X,X,X,X,X,O
TOSIZJL,O,O,O,X,X,X,X,X,O
TOSLIJZ,O,O,O,X,X,O,X,O,O
TOSLIZJ,O,O,O,X,X,O,X,O,O
TOSLJIZ,O,O,O,X,X,O,X,O,O
TOSLJZI,O,O,O,X,X,O,X,O,O
TOSLZIJ,O,O,O,X,X,O,X,O,O
TOSLZJI,O,O,O,X,X,O,X,O,O
TOSJILZ,O,O,O,X,X,X,X,X,O
TOSJIZL,O,O,O,X,X,X,X,X,O
TOSJLIZ,O,O,O,X,X,O,X,O,O
TOSJLZI,O,O,O,X,X,O,X,O,O
TOSJZIL,O,O,O,X,X,X,X,X,O
TOSJZLI,O,O,O,X,X,O,X,O,O
TOSZILJ,O,O,O,X,X,X,X,X,O
TOSZIJL,O,O,O,X,X,X,X,X,O
TOSZLIJ,O,O,O,X,X,O,X,O,O
TOSZLJI,O,O,O,X,X,O,X,O,O
TOSZJIL,O,O,O,X,X,X,X,X,O
TOSZJLI,O,O,O,X,X,O,X,O,O
TOZILJS,X,O,X,X,X,X,X,X,X
TOZILSJ,X,O,X,X,X,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,X,X
TOZIJSL,O,O,O,X,X,X,O,X,X
TOZISLJ,O,O,O,X,X,X,O,X,X
TOZISJL,O,O,O,X,X,X,O,X,X
TOZLIJS,X,O,X,X,X,O,O,O,X
TOZLISJ,X,O,X,X,X,O,O,O,X
TOZLJIS,X,O,X,X,X,O,O,O,X
TOZLJSI,X,O,X,X,X,O,X,O,O
TOZLSIJ,X,O,X,X,X,O,X,O,O
TOZLSJI,X,O,X,X,X,O,X,O,O
TOZJILS,X,O,X,X,X,X,X,X,X
TOZJISL,O,O,O,X,X,X,O,X,X
TOZJLIS,X,O,X,X,X,O,O,O,X
TOZJLSI,X,O,X,X,X,O,X,O,O
TOZJSIL,O,O,O,X,X,X,X,X,O
TOZJSLI,O,O,O,X,X,O,X,O,O
TOZSILJ,O,O,O,X,X,X,X,X,O
TOZSIJL,O,O,O,X,X,X,X,X,O
TOZSLIJ,O,O,O,X,X,O,X,O,O
TOZSLJI,O,O,O,X,X,O,X,O,O
TOZSJIL,O,O,O,X,X,X,X,X,O
TOZSJLI,O,O,O,X,X,O,X,O,O
ITLJSZO,X,X,X,O,X,X,O,O,X
ITLJSOZ,X,X,X,O,X,X,O,O,X
ITLJZSO,X,X,X,O,X,X,O,O,X
ITLJZOS,X,X,X,X,X,O,O,O,X
ITLJOSZ,X,X,X,X,X,O,O,O,X
ITLJOZS,X,X,X,X,X,O,O,O,X
ITLSJZO,X,X,X,O,X,X,O,O,X
ITLSJOZ,X,X,X,O,X,X,O,O,X
ITLSZJO,X,X,X,O,X,X,O,O,X
ITLSZOJ,X,X,X,O,X,X,O,O,X
ITLSOJZ,X,X,X,O,X,X,O,O,X
ITLSOZJ,X,X,X,O,X,X,O,O,X
ITLZJSO,X,X,X,O,X,X,O,O,X
ITLZJOS,X,X,X,X,X,O,O,O,X
ITLZSJO,X,X,X,O,X,X,O,O,X
ITLZSOJ,X,X,X,O,X,X,O,O,X
ITLZOJS,X,X,X,X,X,O,O,O,X
ITLZOSJ,X,X,X,X,X,O,O,O,X
ITLOJSZ,X,X,X,X,X,O,O,O,X
ITLOJZS,X,X,X,X,X,O,O,O,X
ITLOSJZ,X,X,X,X,X,O,O,O,X
ITLOSZJ,X,X,X,X,X,O,O,O,X
ITLOZJS,X,X,X,X,X,O,O,O,X
ITLOZSJ,X,X,X,X,X,O,O,O,X
ITJLSZO,X,X,X,O,X,X,O,O,X
ITJLSOZ,X,X,X,O,X,X,O,O,X
ITJLZSO,X,X,X,O,X,X,O,O,X
ITJLZOS,X,X,X,X,X,O,O,O,X
ITJLOSZ,X,X,X,X,X,O,O,O,X
ITJLOZS,X,X,X,X,X,O,O,O,X
ITJSLZO,O,X,X,O,X,X,O,O,X
ITJSLOZ,O,X,X,O,X,X,O,O,X
ITJSZLO,O,X,X,O,X,X,O,O,X
ITJSZOL,O,O,X,X,X,X,O,X,X
ITJSOLZ,O,O,X,X,X,X,O,X,X
ITJSOZL,O,O,X,X,X,X,O,X,X
ITJZLSO,X,X,X,O,X,X,O,O,X
ITJZLOS,X,X,X,X,X,O,O,O,X
ITJZSLO,O,X,X,O,X,X,O,O,X
ITJZSOL,O,O,X,X,X,X,O,X,X
ITJZOLS,X,O,X,X,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X,O,X,X
ITJOLSZ,X,O,X,X,X,X,X,X,X
ITJOLZS,X,O,X,X,X,X,X,X,X
ITJOSLZ,O,O,X,X,X,X,O,X,X
ITJOSZL,O,O,X,X,X,X,O,X,X
ITJOZLS,X,O,X,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,O,X,X
ITSLJZO,O,X,X,O,X,X,O,O,X
ITSLJOZ,O,X,X,O,X,X,O,O,X
ITSLZJO,O,X,X,O,X,X,O,O,X
ITSLZOJ,O,X,X,O,X,X,O,O,X
ITSLOJZ,O,X,X,O,X,X,O,O,X
ITSLOZJ,O,X,X,O,X,X,O,O,X
ITSJLZO,O,X,X,O,X,X,O,O,X
ITSJLOZ,O,X,X,O,X,X,O,O,X
ITSJZLO,O,X,X,O,X,X,O,O,X
ITSJZOL,O,O,X,X,X,X,O,X,X
ITSJOLZ,O,O,X,X,X,X,O,X,X
ITSJOZL,O,O,X,X,X,X,O,X,X
ITSZLJO,O,X,X,O,X,X,O,O,X
ITSZLOJ,O,X,X,O,X,X,O,O,X
ITSZJLO,O,X,X,O,X,X,O,O,X
ITSZJOL,O,O,X,X,X,X,O,X,X
ITSZOLJ,O,O,X,X,X,X,O,X,X
ITSZOJL,O,O,X,X,X,X,O,X,X
ITSOLJZ,O,O,X,X,X,X,O,X,X
ITSOLZJ,O,O,X,X,X,X,O,X,X
ITSOJLZ,O,O,X,X,X,X,O,X,X
ITSOJZL,O,O,X,X,X,X,O,X,X
ITSOZLJ,O,O,X,X,X,X,O,X,X
ITSOZJL,O,O,X,X,X,X,O,X,X
ITZLJSO,X,X,X,O,X,X,O,O,X
ITZLJOS,X,X,X,X,X,O,O,O,X
ITZLSJO,X,X,X,O,X,X,O,O,X
ITZLSOJ,X,X,X,O,X,X,O,O,X
ITZLOJS,X,X,X,X,X,O,O,O,X
ITZLOSJ,X,X,X,X,X,O,O,O,X
ITZJLSO,X,X,X,O,X,X,O,O,X
ITZJLOS,X,X,X,X,X,O,O,O,X
ITZJSLO,O,X,X,O,X,X,O,O,X
ITZJSOL,O,O,X,X,X,X,O,X,X
ITZJOLS,X,O,X,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,O,X,X
ITZSLJO,O,X,X,O,X,X,O,O,X
ITZSLOJ,O,X,X,O,X,X,O,O,X
ITZSJLO,O,X,X,O,X,X,O,O,X
ITZSJOL,O,O,X,X,X,X,O,X,X
ITZSOLJ,O,O,X,X,X,X,O,X,X
ITZSOJL,O,O,X,X,X,X,O,X,X
ITZOLJS,X,O,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,O,X,X
ITZOSLJ,O,O,X,X,X,X,O,X,X
ITZOSJL,O,O,X,X,X,X,O,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X,X,X
ITOLZJS,X,O,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,X,X,O,X,X
ITOJSZL,O,O,X,X,X,X,O,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,O,X,X
ITOSLJZ,O,O,X,X,X,X,O,X,X
ITOSLZJ,O,O,X,X,X,X,O,X,X
ITOSJLZ,O,O,X,X,X,X,O,X,X
ITOSJZL,O,O,X,X,X,X,O,X,X
ITOSZLJ,O,O,X,X,X,X,O,X,X
ITOSZJL,O,O,X,X,X,X,O,X,X
ITOZLJS,X,O,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,O,X,X
ITOZSLJ,O,O,X,X,X,X,O,X,X
ITOZSJL,O,O,X,X,X,X,O,X,X
ILTJSZO,X,X,X,O,X,X,O,O,X
ILTJSOZ,X,X,X,O,X,X,O,O,X
ILTJZSO,X,X,X,O,X,X,O,O,X
ILTJZOS,X,X,X,X,X,O,O,O,X
ILTJOSZ,X,X,X,X,X,O,O,O,X
ILTJOZS,X,X,X,X,X,O,O,O,X
ILTSJZO,X,X,X,O,X,X,O,O,X
ILTSJOZ,X,X,X,O,X,X,O,O,X
ILTSZJO,X,X,X,O,X,X,O,O,X
ILTSZOJ,X,X,X,O,X,X,O,O,X
ILTSOJZ,X,X,X,O,X,X,O,O,X
ILTSOZJ,X,X,X,O,X,X,O,O,X
ILTZJSO,X,X,X,O,X,X,O,O,X
ILTZJOS,X,X,X,X,X,O,O,O,X
ILTZSJO,X,X,X,O,X,X,O,O,X
ILTZSOJ,X,X,X,O,X,X,O,O,X
ILTZOJS,X,X,X,X,X,O,O,O,X
ILTZOSJ,X,X,X,X,X,O,O,O,X
ILTOJSZ,X,X,X,X,X,O,O,O,X
ILTOJZS,X,X,X,X,X,O,O,O,X
ILTOSJZ,X,X,X,X,X,O,O,O,X
ILTOSZJ,X,X,X,X,X,O,O,O,X
ILTOZJS,X,X,X,X,X,O,O,O,X
ILTOZSJ,X,X,X,X,X,O,O,O,X
ILJTSZO,X,X,X,O,X,X,O,O,X
ILJTSOZ,X,X,X,O,X,X,O,O,X
ILJTZSO,X,X,X,O,X,X,O,O,X
ILJTZOS,X,X,X,X,X,O,O,O,X
ILJTOSZ,X,X,X,X,X,O,O,O,X
ILJTOZS,X,X,X,X,X,O,O,O,X
ILJSTZO,O,X,X,O,O,X,O,O,O
ILJSTOZ,O,X,X,O,O,X,O,O,O
ILJSZTO,O,X,X,O,O,X,O,O,O
ILJSZOT,O,O,X,O,O,O,O,O,O
ILJSOTZ,O,O,X,O,O,O,O,O,O
ILJSOZT,O,O,X,O,O,O,O,O,O
ILJZTSO,X,X,X,O,X,X,O,O,X
ILJZTOS,X,X,X,X,X,O,O,O,X
ILJZSTO,O,X,X,O,O,X,O,O,O
ILJZSOT,O,O,X,O,O,O,O,O,O
ILJZOTS,X,O,X,X,X,O,O,O,X
ILJZOST,O,O,X,O,X,O,O,O,O
ILJOTSZ,X,O,X,X,X,O,O,O,X
ILJOTZS,X,O,X,X,X,O,O,O,X
ILJOSTZ,O,O,X,O,X,O,O,O,O
ILJOSZT,O,O,X,O,X,O,O,O,O
ILJOZTS,X,O,X,X,X,O,O,O,X
ILJOZST,O,O,X,O,X,O,O,O,O
ILSTJZO,O,X,X,O,O,X,O,O,O
ILSTJOZ,O,X,X,O,O,X,O,O,O
ILSTZJO,O,X,X,O,O,X,O,O,O
ILSTZOJ,O,X,X,O,O,X,O,O,O
ILSTOJZ,O,X,X,O,O,X,O,O,O
ILSTOZJ,O,X,X,O,O,X,O,O,O
ILSJTZO,O,X,X,O,O,X,O,O,O
ILSJTOZ,O,X,X,O,O,X,O,O,O
ILSJZTO,O,X,X,O,O,X,O,O,O
ILSJZOT,O,O,X,O,O,O,O,O,O
ILSJOTZ,O,O,X,O,O,O,O,O,O
ILSJOZT,O,O,X,O,O,O,O,O,O
ILSZTJO,O,X,X,O,O,X,O,O,O
ILSZTOJ,O,X,X,O,O,X,O,O,O
ILSZJTO,O,X,X,O,O,X,O,O,O
ILSZJOT,O,O,X,O,O,O,O,O,O
ILSZOTJ,O,O,X,O,O,O,O,O,O
ILSZOJT,O,O,X,O,O,O,O,O,O
ILSOTJZ,O,O,X,O,O,O,O,O,O
ILSOTZJ,O,O,X,O,O,O,O,O,O
ILSOJTZ,O,O,X,O,O,O,O,O,O
ILSOJZT,O,O,X,O,O,O,O,O,O
ILSOZTJ,O,O,X,O,O,O,O,O,O
ILSOZJT,O,O,X,O,O,O,O,O,O
ILZTJSO,X,X,X,O,X,X,O,O,X
ILZTJOS,X,X,X,X,X,O,O,O,X
ILZTSJO,X,X,X,O,X,X,O,O,X
ILZTSOJ,X,X,X,O,X,X,O,O,X
ILZTOJS,X,X,X,X,X,O,O,O,X
ILZTOSJ,X,X,X,X,X,O,O,O,X
ILZJTSO,X,X,X,O,X,X,O,O,X
ILZJTOS,X,X,X,X,X,O,O,O,X
ILZJSTO,O,X,X,O,O,X,O,O,O
ILZJSOT,O,O,X,O,O,O,O,O,O
ILZJOTS,X,O,X,X,X,O,O,O,X
ILZJOST,O,O,X,O,X,O,O,O,O
ILZSTJO,O,X,X,O,O,X,O,O,O
ILZSTOJ,O,X,X,O,O,X,O,O,O
ILZSJTO,O,X,X,O,O,X,O,O,O
ILZSJOT,O,O,X,O,O,O,O,O,O
ILZSOTJ,O,O,X,O,O,O,O,O,O
ILZSOJT,O,O,X,O,O,O,O,O,O
ILZOTJS,X,O,X,X,X,O,O,O,X
ILZOTSJ,X,O,X,X,X,O,O,O,X
ILZOJTS,X,O,X,X,X,O,O,O,X
ILZOJST,O,O,X,O,X,O,O,O,O
ILZOSTJ,O,O,X,O,X,O,O,O,O
ILZOSJT,O,O,X,O,X,O,O,O,O
ILOTJSZ,X,O,X,X,X,O,O,O,X
ILOTJZS,X,O,X,X,X,O,O,O,X
ILOTSJZ,X,O,X,X,X,O,O,O,X
ILOTSZJ,X,O,X,X,X,O,O,O,X
ILOTZJS,X,O,X,X,X,O,O,O,X
ILOTZSJ,X,O,X,X,X,O,O,O,X
ILOJTSZ,X,O,X,X,X,O,O,O,X
ILOJTZS,X,O,X,X,X,O,O,O,X
ILOJSTZ,O,O,X,O,X,O,O,O,O
ILOJSZT,O,O,X,O,X,O,O,O,O
ILOJZTS,X,O,X,X,X,O,O,O,X
ILOJZST,O,O,X,O,X,O,O,O,O
ILOSTJZ,O,O,X,O,X,O,O,O,O
ILOSTZJ,O,O,X,O,X,O,O,O,O
ILOSJTZ,O,O,X,O,X,O,O,O,O
ILOSJZT,O,O,X,O,X,O,O,O,O
ILOSZTJ,O,O,X,O,X,O,O,O,O
ILOSZJT,O,O,X,O,X,O,O,O,O
ILOZTJS,X,O,X,X,X,O,O,O,X
ILOZTSJ,X,O,X,X,X,O,O,O,X
ILOZJTS,X,O,X,X,X,O,O,O,X
ILOZJST,O,O,X,O,X,O,O,O,O
ILOZSTJ,O,O,X,O,X,O,O,O,O
ILOZSJT,O,O,X,O,X,O,O,O,O
IJTLSZO,X,X,X,O,X,X,O,O,X
IJTLSOZ,X,X,X,O,X,X,O,O,X
IJTLZSO,X,X,X,O,X,X,O,O,X
IJTLZOS,X,X,X,X,X,O,O,O,X
IJTLOSZ,X,X,X,X,X,O,O,O,X
IJTLOZS,X,X,X,X,X,O,O,O,X
IJTSLZO,O,X,X,O,X,X,O,O,X
IJTSLOZ,O,X,X,O,X,X,O,O,X
IJTSZLO,O,X,X,O,X,X,O,O,X
IJTSZOL,O,O,X,X,X,X,O,X,X
IJTSOLZ,O,O,X,X,X,X,O,X,X
IJTSOZL,O,O,X,X,X,X,O,X,X
IJTZLSO,X,X,X,O,X,X,O,O,X
IJTZLOS,X,X,X,X,X,O,O,O,X
IJTZSLO,O,X,X,O,X,X,O,O,X
IJTZSOL,O,O,X,X,X,X,O,X,X
IJTZOLS,X,O,X,X,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,O,X,X
IJTOLSZ,X,O,X,X,X,X,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,X,X,X,O,X,X
IJTOSZL,O,O,X,X,X,X,O,X,X
IJTOZLS,X,O,X,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,O,X,X
IJLTSZO,X,X,X,O,X,X,O,O,X
IJLTSOZ,X,X,X,O,X,X,O,O,X
IJLTZSO,X,X,X,O,X,X,O,O,X
IJLTZOS,X,X,X,X,X,O,O,O,X
IJLTOSZ,X,X,X,X,X,O,O,O,X
IJLTOZS,X,X,X,X,X,O,O,O,X
IJLSTZO,O,X,X,O,O,X,O,O,O
IJLSTOZ,O,X,X,O,O,X,O,O,O
IJLSZTO,O,X,X,O,O,X,O,O,O
IJLSZOT,O,O,X,O,O,O,O,O,O
IJLSOTZ,O,O,X,O,O,O,O,O,O
IJLSOZT,O,O,X,O,O,O,O,O,O
IJLZTSO,X,X,X,O,X,X,O,O,X
IJLZTOS,X,X,X,X,X,O,O,O,X
IJLZSTO,O,X,X,O,O,X,O,O,O
IJLZSOT,O,O,X,O,O,O,O,O,O
IJLZOTS,X,O,X,X,X,O,O,O,X
IJLZOST,O,O,X,O,X,O,O,O,O
IJLOTSZ,X,O,X,X,X,O,O,O,X
IJLOTZS,X,O,X,X,X,O,O,O,X
IJLOSTZ,O,O,X,O,X,O,O,O,O
IJLOSZT,O,O,X,O,X,O,O,O,O
IJLOZTS,X,O,X,X,X,O,O,O,X
IJLOZST,O,O,X,O,X,O,O,O,O
IJSTLZO,O,X,X,O,O,X,O,O,O
IJSTLOZ,O,X,X,O,O,X,O,O,O
IJSTZLO,O,X,X,O,O,X,O,O,O
IJSTZOL,O,O,X,X,X,X,O,X,O
