sequence,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeuEJvhFFhB0iB6oBT?lBxrB3rB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeCAJvhFXhBxiBVqBU?nBGoBTrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeRAJvhFFiB6oBzkBG?mB3nBUrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8Jez/IvhFFiB6oBGmB3?nBRqBUrB
TSLJZIO,X,O,O,X
TSLJZOI,X,O,O,X
TSLJOIZ,X,O,O,X
TSLJOZI,X,O,O,X
TSLZIJO,X,O,O,O
TSLZIOJ,X,O,O,O
TSLZJIO,X,O,O,X
TSLZJOI,X,O,O,X
TSLZOIJ,X,O,O,X
TSLZOJI,X,O,O,X
TSLOIJZ,X,O,O,O
TSLOIZJ,X,O,O,O
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,O,X
TSLOZIJ,X,O,O,X
TSLOZJI,X,O,O,X
TSJILZO,X,O,X,O
TSJILOZ,X,O,X,O
TSJIZLO,X,O,X,O
TSJIZOL,X,O,X,O
TSJIOLZ,X,O,X,O
TSJIOZL,X,O,X,O
TSJLIZO,X,O,X,O
TSJLIOZ,X,O,X,O
TSJLZIO,X,O,O,X
TSJLZOI,X,O,O,X
TSJLOIZ,X,O,O,X
TSJLOZI,X,O,O,X
TSJZILO,X,O,O,X
TSJZIOL,X,O,O,X
TSJZLIO,X,O,O,X
TSJZLOI,X,O,O,X
TSJZOIL,X,O,O,X
TSJZOLI,X,O,O,X
TSJOILZ,X,O,O,X
TSJOIZL,X,O,X,X
TSJOLIZ,X,O,O,X
TSJOLZI,X,O,O,X
TSJOZIL,X,O,O,X
TSJOZLI,X,O,O,X
TSZILJO,X,O,O,O
TSZILOJ,X,O,O,O
TSZIJLO,X,O,O,O
TSZIJOL,X,O,O,O
TSZIOLJ,X,O,O,O
TSZIOJL,X,X,O,O
TSZLIJO,X,O,O,O
TSZLIOJ,X,O,O,O
TSZLJIO,X,O,O,X
TSZLJOI,X,O,O,X
TSZLOIJ,X,O,O,X
TSZLOJI,X,O,O,X
TSZJILO,X,O,O,X
TSZJIOL,X,O,O,X
TSZJLIO,X,O,O,X
TSZJLOI,X,O,O,X
TSZJOIL,X,O,O,X
TSZJOLI,X,O,O,X
TSZOILJ,X,O,O,X
TSZOIJL,X,X,O,X
TSZOLIJ,X,O,O,X
TSZOLJI,X,O,O,X
TSZOJIL,X,O,O,X
TSZOJLI,X,O,O,X
TSOILJZ,X,O,O,O
TSOILZJ,X,O,O,O
TSOIJLZ,X,O,O,O
TSOIJZL,X,O,X,O
TSOIZLJ,X,O,O,O
TSOIZJL,X,O,O,O
TSOLIJZ,X,O,O,O
TSOLIZJ,X,O,O,O
TSOLJIZ,X,O,O,X
TSOLJZI,X,O,O,X
TSOLZIJ,X,O,O,X
TSOLZJI,X,O,O,X
TSOJILZ,X,O,O,X
TSOJIZL,X,O,X,X
TSOJLIZ,X,O,O,X
TSOJLZI,X,O,O,X
TSOJZIL,X,O,O,X
TSOJZLI,X,O,O,X
TSOZILJ,X,O,O,X
TSOZIJL,X,O,O,X
TSOZLIJ,X,O,O,X
TSOZLJI,X,O,O,X
TSOZJIL,X,O,O,X
TSOZJLI,X,O,O,X
TZILJSO,O,O,X,X
TZILJOS,O,O,X,X
TZILSJO,O,O,X,X
TZILSOJ,O,O,X,X
TZILOJS,O,X,X,X
TZILOSJ,O,O,X,X
TZIJLSO,O,O,X,X
TZIJLOS,O,O,X,X
TZIJSLO,O,O,X,X
TZIJSOL,X,O,X,X
TZIJOLS,O,O,X,X
TZIJOSL,O,O,X,X
TZISLJO,O,O,X,X
TZISLOJ,O,O,X,X
TZISJLO,O,O,X,X
TZISJOL,X,O,X,X
TZISOLJ,O,O,X,X
TZISOJL,O,X,X,X
TZIOLJS,O,X,X,X
TZIOLSJ,O,O,X,X
TZIOJLS,O,X,X,X
TZIOJSL,O,X,X,X
TZIOSLJ,O,O,X,X
TZIOSJL,O,X,X,X
TZLIJSO,O,O,X,X
TZLIJOS,O,O,X,X
TZLISJO,O,O,X,X
TZLISOJ,O,O,X,X
TZLIOJS,O,X,X,X
TZLIOSJ,O,O,X,X
TZLJISO,O,O,O,X
TZLJIOS,O,O,O,X
TZLJSIO,X,O,O,X
TZLJSOI,X,O,O,X
TZLJOIS,O,O,O,X
TZLJOSI,O,O,O,X
TZLSIJO,X,O,O,X
TZLSIOJ,X,O,O,X
TZLSJIO,X,O,O,X
TZLSJOI,X,O,O,X
TZLSOIJ,X,O,O,X
TZLSOJI,X,O,O,X
TZLOIJS,O,O,O,X
TZLOISJ,O,O,O,X
TZLOJIS,O,O,O,X
TZLOJSI,O,O,O,X
TZLOSIJ,X,O,O,X
TZLOSJI,O,O,O,X
TZJILSO,O,O,O,X
TZJILOS,O,O,O,X
TZJISLO,O,O,O,X
TZJISOL,X,O,O,X
TZJIOLS,O,O,O,X
TZJIOSL,X,O,O,X
TZJLISO,O,O,O,X
TZJLIOS,O,O,O,X
TZJLSIO,X,O,O,X
TZJLSOI,X,O,O,X
TZJLOIS,O,O,O,X
TZJLOSI,O,O,O,X
TZJSILO,X,O,O,X
TZJSIOL,X,O,O,X
TZJSLIO,X,O,O,X
TZJSLOI,X,O,O,X
TZJSOIL,X,O,O,X
TZJSOLI,X,O,O,X
TZJOILS,O,O,O,X
TZJOISL,O,O,O,X
TZJOLIS,O,O,O,X
TZJOLSI,O,O,O,X
TZJOSIL,X,O,O,X
TZJOSLI,O,O,O,X
TZSILJO,X,O,O,X
TZSILOJ,X,O,O,X
TZSIJLO,X,O,O,X
TZSIJOL,X,O,O,X
TZSIOLJ,X,O,O,X
TZSIOJL,X,X,O,X
TZSLIJO,X,O,O,X
TZSLIOJ,X,O,O,X
TZSLJIO,X,O,O,X
TZSLJOI,X,O,O,X
TZSLOIJ,X,O,O,X
TZSLOJI,X,O,O,X
TZSJILO,X,O,O,X
TZSJIOL,X,O,O,X
TZSJLIO,X,O,O,X
TZSJLOI,X,O,O,X
TZSJOIL,X,O,O,X
TZSJOLI,X,O,O,X
TZSOILJ,X,O,O,X
TZSOIJL,X,X,O,X
TZSOLIJ,X,O,O,X
