sequence,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFlgBRiBzkB3nB0r?BirB,v115@GhA8IeA8CeA8DeF8CeC8Je1FJvhFxhBynBTkBcrBmk?BXsB,v115@GhA8IeA8CeA8DeF8CeC8Je0/IvhFlgB3hBziB2pBxr?BywB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFxgB8nBypBFmB3r?BOsB,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFxgBiiBzkB3nB0r?BFrB,v115@GhA8IeA8CeA8DeF8CeC8Je3AJvhFRiB0kBOrBlnBik?BzrB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFlgBmiBypBxrBcr?BXsB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhF8nBypBRmBmlB3r?BFsB
TZJOLIS,X,O,O,X,X,O,X,X
TZJOLSI,O,O,X,X,X,O,X,X
TZJOSIL,O,X,O,X,X,O,X,X
TZJOSLI,O,X,X,X,X,O,X,X
TZSILJO,O,O,X,O,X,X,X,X
TZSILOJ,O,O,X,O,X,X,X,O
TZSIJLO,O,O,X,O,X,O,X,X
TZSIJOL,O,O,X,X,X,O,X,X
TZSIOLJ,O,O,X,O,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X
TZSLIJO,O,O,X,O,X,X,X,X
TZSLIOJ,O,O,X,O,X,X,X,O
TZSLJIO,O,O,X,O,X,O,X,X
TZSLJOI,X,O,X,O,X,O,X,X
TZSLOIJ,O,O,X,O,O,X,X,O
TZSLOJI,O,O,X,O,O,X,X,X
TZSJILO,O,O,X,O,X,O,X,X
TZSJIOL,O,O,X,X,X,O,X,X
TZSJLIO,O,O,X,O,X,O,X,X
TZSJLOI,X,O,X,O,X,O,X,X
TZSJOIL,O,O,X,X,X,O,X,X
TZSJOLI,O,O,X,X,X,O,X,X
TZSOILJ,O,O,X,O,O,X,X,X
TZSOIJL,O,O,X,X,O,X,X,X
TZSOLIJ,O,O,X,O,O,X,X,X
TZSOLJI,O,O,X,O,O,X,X,X
TZSOJIL,O,O,X,X,O,O,X,X
TZSOJLI,O,O,X,X,O,O,X,X
TZOILJS,X,O,X,X,X,X,X,X
TZOILSJ,X,O,X,X,X,X,X,X
TZOIJLS,X,O,O,X,X,O,X,X
TZOIJSL,O,X,O,X,O,O,X,X
TZOISLJ,O,O,X,X,O,X,X,X
TZOISJL,O,X,O,X,O,X,X,X
TZOLIJS,X,O,X,X,X,X,X,X
TZOLISJ,X,O,X,X,X,X,X,X
TZOLJIS,X,O,X,X,X,O,X,X
TZOLJSI,O,O,X,X,X,O,X,X
TZOLSIJ,O,O,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X
TZOJILS,X,O,O,X,X,O,X,X
TZOJISL,O,X,O,X,O,O,X,X
TZOJLIS,X,O,O,X,X,O,X,X
TZOJLSI,O,O,X,X,X,O,X,X
TZOJSIL,O,X,O,X,O,O,X,X
TZOJSLI,O,X,X,X,O,O,X,X
TZOSILJ,O,O,X,X,O,X,X,X
TZOSIJL,O,O,X,X,O,X,X,X
TZOSLIJ,O,O,X,X,O,X,X,X
TZOSLJI,O,O,X,X,O,X,X,X
TZOSJIL,O,O,X,X,O,O,X,X
TZOSJLI,O,O,X,X,O,O,X,X
TOILJSZ,X,X,O,O,X,X,X,X
TOILJZS,X,X,O,X,X,X,O,X
TOILSJZ,X,X,O,O,X,X,X,X
TOILSZJ,X,X,X,O,X,X,O,X
TOILZJS,X,O,X,X,X,X,O,X
TOILZSJ,X,O,X,O,X,X,O,X
TOIJLSZ,X,X,O,X,X,O,X,X
TOIJLZS,X,X,O,X,X,O,X,X
TOIJSLZ,O,X,O,X,O,O,X,X
TOIJSZL,O,X,O,X,X,O,X,X
TOIJZLS,X,X,O,X,X,O,X,X
TOIJZSL,O,X,O,X,O,O,X,X
TOISLJZ,O,X,O,O,O,X,X,X
TOISLZJ,X,O,X,O,X,X,X,X
TOISJLZ,O,X,O,X,O,X,X,X
TOISJZL,O,X,O,X,X,X,X,X
TOISZLJ,O,O,X,O,X,X,X,X
TOISZJL,O,O,O,X,X,X,X,X
TOIZLJS,X,O,X,X,X,X,X,X
TOIZLSJ,X,O,X,X,X,X,X,X
TOIZJLS,X,O,O,X,X,O,X,X
TOIZJSL,O,X,O,X,O,O,X,X
TOIZSLJ,O,O,X,X,O,X,X,X
TOIZSJL,O,X,O,X,O,X,X,X
TOLIJSZ,X,X,O,O,X,X,X,X
TOLIJZS,X,X,O,X,X,X,O,X
TOLISJZ,X,X,O,O,X,X,X,X
TOLISZJ,X,X,X,O,X,X,O,X
TOLIZJS,X,O,X,X,X,X,O,X
TOLIZSJ,X,O,X,O,X,X,O,X
TOLJISZ,X,X,O,O,X,O,X,X
TOLJIZS,X,X,O,X,X,O,O,X
TOLJSIZ,O,X,X,O,X,O,X,X
TOLJSZI,O,X,X,O,X,O,X,X
TOLJZIS,X,O,O,X,X,O,X,X
TOLJZSI,O,O,X,X,X,O,X,X
TOLSIJZ,O,X,X,O,X,X,X,X
TOLSIZJ,X,O,X,O,X,X,O,X
TOLSJIZ,O,X,X,O,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X
TOLSZIJ,O,O,X,O,X,X,X,X
TOLSZJI,O,O,X,O,X,X,X,X
TOLZIJS,X,O,X,X,X,X,O,X
TOLZISJ,X,O,X,O,X,X,O,X
TOLZJIS,X,O,X,X,X,O,X,X
TOLZJSI,O,O,X,X,X,O,X,X
TOLZSIJ,O,O,X,O,X,X,X,X
TOLZSJI,O,O,X,O,X,X,X,X
TOJILSZ,X,X,O,X,X,O,X,X
TOJILZS,X,X,O,X,X,O,X,X
TOJISLZ,O,X,O,X,O,O,X,X
TOJISZL,O,X,O,X,X,O,X,X
TOJIZLS,X,X,O,X,X,O,X,X
TOJIZSL,O,X,O,X,O,O,X,X
TOJLISZ,X,X,O,X,X,O,X,X
TOJLIZS,X,X,O,X,X,O,X,X
TOJLSIZ,O,X,X,X,X,O,X,X
TOJLSZI,O,X,X,X,X,O,X,X
TOJLZIS,X,O,O,X,X,O,X,X
TOJLZSI,O,O,X,X,X,O,X,X
TOJSILZ,O,X,O,X,O,O,X,X
TOJSIZL,O,X,O,X,X,O,X,X
TOJSLIZ,O,X,X,X,O,O,X,X
TOJSLZI,O,O,X,X,O,O,X,X
TOJSZIL,O,O,O,X,O,O,X,X
TOJSZLI,O,O,X,X,O,O,X,X
TOJZILS,X,O,O,X,X,O,X,X
TOJZISL,O,X,O,X,O,O,X,X
TOJZLIS,X,O,O,X,X,O,X,X
TOJZLSI,O,O,X,X,X,O,X,X
TOJZSIL,O,X,O,X,O,O,X,X
TOJZSLI,O,X,X,X,O,O,X,X
TOSILJZ,O,X,O,O,O,X,X,X
TOSILZJ,X,O,X,O,X,X,X,X
TOSIJLZ,O,X,O,X,O,X,X,X
TOSIJZL,O,X,O,X,X,X,X,X
TOSIZLJ,O,O,X,O,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X
TOSLIJZ,O,X,X,O,O,X,X,X
TOSLIZJ,X,O,X,O,X,X,X,X
TOSLJIZ,O,X,X,O,O,X,X,X
TOSLJZI,O,O,X,O,O,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X
TOSLZJI,O,O,X,O,O,X,X,X
TOSJILZ,O,X,O,X,O,O,X,X
TOSJIZL,O,X,O,X,X,O,X,X
TOSJLIZ,O,X,X,X,O,O,X,X
TOSJLZI,O,O,X,X,O,O,X,X
TOSJZIL,O,O,O,X,O,O,X,X
TOSJZLI,O,O,X,X,O,O,X,X
TOSZILJ,O,O,X,O,O,X,X,X
TOSZIJL,O,O,X,X,O,X,X,X
TOSZLIJ,O,O,X,O,O,X,X,X
TOSZLJI,O,O,X,O,O,X,X,X
TOSZJIL,O,O,X,X,O,O,X,X
TOSZJLI,O,O,X,X,O,O,X,X
TOZILJS,X,O,X,X,X,X,X,X
TOZILSJ,X,O,X,X,X,X,X,X
TOZIJLS,X,O,O,X,X,O,X,X
TOZIJSL,O,X,O,X,O,O,X,X
TOZISLJ,O,O,X,X,O,X,X,X
TOZISJL,O,X,O,X,O,X,X,X
TOZLIJS,X,O,X,X,X,X,X,X
TOZLISJ,X,O,X,X,X,X,X,X
TOZLJIS,X,O,X,X,X,O,X,X
TOZLJSI,O,O,X,X,X,O,X,X
TOZLSIJ,O,O,X,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X
TOZJILS,X,O,O,X,X,O,X,X
TOZJISL,O,X,O,X,O,O,X,X
TOZJLIS,X,O,O,X,X,O,X,X
TOZJLSI,O,O,X,X,X,O,X,X
TOZJSIL,O,X,O,X,O,O,X,X
TOZJSLI,O,X,X,X,O,O,X,X
TOZSILJ,O,O,X,X,O,X,X,X
TOZSIJL,O,O,X,X,O,X,X,X
TOZSLIJ,O,O,X,X,O,X,X,X
TOZSLJI,O,O,X,X,O,X,X,X
TOZSJIL,O,O,X,X,O,O,X,X
TOZSJLI,O,O,X,X,O,O,X,X
ITLJSZO,X,X,O,O,X,X,O,X
ITLJSOZ,X,X,O,O,X,X,O,X
ITLJZSO,X,X,O,X,X,X,O,X
ITLJZOS,X,X,O,X,X,X,O,X
ITLJOSZ,X,X,O,O,X,X,O,X
ITLJOZS,X,X,O,X,X,X,O,X
ITLSJZO,X,X,O,O,X,X,O,X
ITLSJOZ,X,X,O,O,X,X,O,X
ITLSZJO,X,X,X,O,X,X,O,X
ITLSZOJ,X,X,X,O,X,X,O,X
ITLSOJZ,X,X,O,O,X,X,O,X
ITLSOZJ,X,X,X,O,X,X,O,X
ITLZJSO,X,X,X,X,X,X,O,X
ITLZJOS,X,O,X,X,X,X,O,X
ITLZSJO,X,X,X,O,X,X,O,X
ITLZSOJ,X,O,X,O,X,X,O,X
ITLZOJS,X,O,X,X,X,X,O,O
ITLZOSJ,X,O,X,O,X,X,O,O
ITLOJSZ,X,X,O,O,X,X,O,X
ITLOJZS,X,X,O,X,X,X,O,X
ITLOSJZ,X,X,O,O,X,X,O,X
ITLOSZJ,X,X,X,O,X,X,O,X
ITLOZJS,X,O,X,X,X,X,O,O
ITLOZSJ,X,O,X,O,X,X,O,O
ITJLSZO,X,X,O,O,X,O,O,X
ITJLSOZ,X,X,O,O,X,X,O,X
ITJLZSO,X,X,O,X,X,O,O,X
ITJLZOS,X,X,O,X,X,X,O,X
ITJLOSZ,X,X,O,O,X,X,O,X
ITJLOZS,X,X,O,X,X,X,O,X
ITJSLZO,O,X,O,O,X,O,X,X
ITJSLOZ,O,X,O,O,X,X,X,X
ITJSZLO,O,X,O,O,X,O,X,X
ITJSZOL,O,X,O,X,X,O,X,X
ITJSOLZ,O,X,O,X,X,X,X,X
ITJSOZL,O,X,O,X,X,O,X,X
ITJZLSO,X,X,O,X,X,O,X,X
ITJZLOS,X,X,O,X,X,X,X,X
ITJZSLO,O,X,O,X,X,O,X,X
ITJZSOL,O,X,O,X,X,O,X,X
ITJZOLS,X,X,O,X,X,X,X,X
ITJZOSL,X,X,O,X,X,O,X,X
ITJOLSZ,X,X,O,X,X,X,X,X
ITJOLZS,X,X,O,X,X,X,X,X
ITJOSLZ,X,X,O,X,X,X,X,X
ITJOSZL,X,X,O,X,X,O,X,X
ITJOZLS,X,X,O,X,X,X,X,X
ITJOZSL,X,X,O,X,X,O,X,X
ITSLJZO,O,X,O,O,X,X,X,X
ITSLJOZ,O,X,O,O,X,X,X,X
ITSLZJO,X,O,X,O,X,X,O,X
ITSLZOJ,X,O,X,O,X,X,O,X
ITSLOJZ,O,X,O,O,X,X,X,X
ITSLOZJ,X,O,X,O,X,X,O,X
ITSJLZO,O,X,O,O,X,O,X,X
ITSJLOZ,O,X,O,O,X,X,X,X
ITSJZLO,O,X,O,O,X,O,X,X
ITSJZOL,O,X,O,X,X,O,X,X
ITSJOLZ,O,X,O,X,X,X,X,X
ITSJOZL,O,X,O,X,X,O,X,X
ITSZLJO,O,O,X,O,X,X,X,X
ITSZLOJ,O,O,X,O,X,X,X,X
ITSZJLO,O,O,O,O,X,O,X,X
ITSZJOL,O,O,O,X,X,O,X,X
ITSZOLJ,O,O,X,O,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X,X
ITSOLJZ,O,X,O,O,X,X,X,X
ITSOLZJ,X,O,X,O,X,X,X,X
ITSOJLZ,O,X,O,X,X,X,X,X
ITSOJZL,O,X,O,X,X,X,X,X
ITSOZLJ,O,O,X,O,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X
ITZLJSO,X,X,X,X,X,X,O,X
ITZLJOS,X,O,X,X,X,X,O,X
ITZLSJO,X,X,X,O,X,X,O,X
ITZLSOJ,X,O,X,O,X,X,O,X
ITZLOJS,X,O,X,X,X,X,O,O
ITZLOSJ,X,O,X,O,X,X,O,O
ITZJLSO,X,X,O,X,X,O,X,X
ITZJLOS,X,O,O,X,X,X,X,X
ITZJSLO,O,X,O,X,X,O,X,X
ITZJSOL,O,X,O,X,X,O,X,X
ITZJOLS,X,O,O,X,X,X,X,X
ITZJOSL,X,X,O,X,X,O,X,X
ITZSLJO,O,X,X,O,X,X,X,X
ITZSLOJ,O,O,X,O,X,X,X,X
ITZSJLO,O,X,O,O,X,O,X,X
ITZSJOL,O,X,O,X,X,O,X,X
ITZSOLJ,O,O,X,O,X,X,X,X
ITZSOJL,O,X,O,X,X,X,X,X
ITZOLJS,X,O,X,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X
ITZOJLS,X,O,O,X,X,O,X,X
ITZOJSL,O,X,O,X,X,O,X,X
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,X,O,X,X,X,X,X
ITOLJSZ,X,X,O,O,X,X,X,X
ITOLJZS,X,X,O,X,X,X,O,X
ITOLSJZ,X,X,O,O,X,X,X,X
ITOLSZJ,X,X,X,O,X,X,O,X
ITOLZJS,X,O,X,X,X,X,O,X
ITOLZSJ,X,O,X,O,X,X,O,X
ITOJLSZ,X,X,O,X,X,O,X,X
ITOJLZS,X,X,O,X,X,O,X,X
ITOJSLZ,O,X,O,X,X,O,X,X
ITOJSZL,O,X,O,X,X,O,X,X
ITOJZLS,X,X,O,X,X,O,X,X
ITOJZSL,O,X,O,X,X,O,X,X
ITOSLJZ,O,X,O,O,X,X,X,X
ITOSLZJ,X,O,X,O,X,X,X,X
ITOSJLZ,O,X,O,X,X,X,X,X
ITOSJZL,O,X,O,X,X,X,X,X
ITOSZLJ,O,O,X,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X
ITOZJLS,X,O,O,X,X,O,X,X
ITOZJSL,O,X,O,X,X,O,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,X,O,X,X,X,X,X
ILTJSZO,X,X,O,O,X,X,O,X
ILTJSOZ,X,X,O,O,X,X,O,X
ILTJZSO,X,X,O,X,X,X,O,X
ILTJZOS,X,X,O,X,X,X,O,X
ILTJOSZ,X,X,O,O,X,X,O,X
ILTJOZS,X,X,O,X,X,X,O,X
ILTSJZO,X,X,O,O,X,X,O,X
ILTSJOZ,X,X,O,O,X,X,O,X
ILTSZJO,X,X,X,O,X,X,O,X
ILTSZOJ,X,X,X,O,X,X,O,X
ILTSOJZ,X,X,O,O,X,X,O,X
ILTSOZJ,X,X,X,O,X,X,O,X
ILTZJSO,X,X,X,X,X,X,O,X
ILTZJOS,X,O,X,X,X,X,O,X
ILTZSJO,X,X,X,O,X,X,O,X
ILTZSOJ,X,O,X,O,X,X,O,X
ILTZOJS,X,O,X,X,X,X,O,O
ILTZOSJ,X,O,X,O,X,X,O,O
ILTOJSZ,X,X,O,O,X,X,O,X
ILTOJZS,X,X,O,X,X,X,O,X
ILTOSJZ,X,X,O,O,X,X,O,X
ILTOSZJ,X,X,X,O,X,X,O,X
ILTOZJS,X,O,X,X,X,X,O,O
ILTOZSJ,X,O,X,O,X,X,O,O
ILJTSZO,X,X,O,O,X,X,O,X
ILJTSOZ,X,X,O,O,X,X,O,X
ILJTZSO,X,X,O,X,X,X,O,X
ILJTZOS,X,X,O,X,X,X,O,X
ILJTOSZ,X,X,O,O,X,X,O,X
ILJTOZS,X,X,O,X,X,X,O,X
ILJSTZO,X,X,O,X,X,X,O,X
ILJSTOZ,X,X,O,X,X,X,O,X
ILJSZTO,X,X,O,X,X,X,O,X
ILJSZOT,X,X,O,X,X,X,O,X
ILJSOTZ,X,X,O,X,X,X,O,X
ILJSOZT,X,X,O,X,X,X,O,X
ILJZTSO,X,X,O,X,X,X,O,X
ILJZTOS,X,X,O,X,X,X,O,X
ILJZSTO,X,X,O,X,X,X,O,X
ILJZSOT,X,X,O,X,X,X,O,X
ILJZOTS,X,X,O,X,X,X,O,O
ILJZOST,X,X,O,X,X,X,O,O
ILJOTSZ,X,X,O,O,X,X,O,X
ILJOTZS,X,X,O,X,X,X,O,X
ILJOSTZ,X,X,O,X,X,X,O,X
ILJOSZT,X,X,O,X,X,X,O,X
ILJOZTS,X,X,O,X,X,X,O,O
ILJOZST,X,X,O,X,X,X,O,O
ILSTJZO,X,X,O,O,X,X,O,X
ILSTJOZ,X,X,O,O,X,X,O,X
ILSTZJO,X,O,X,O,X,X,O,X
ILSTZOJ,X,O,X,O,X,X,O,O
ILSTOJZ,X,X,O,O,X,X,O,X
ILSTOZJ,X,O,X,O,X,X,O,O
ILSJTZO,X,X,O,X,X,X,O,X
ILSJTOZ,X,X,O,X,X,X,O,X
ILSJZTO,X,X,O,X,X,X,O,X
ILSJZOT,X,X,O,X,X,X,O,O
ILSJOTZ,X,X,O,X,X,X,O,X
ILSJOZT,X,X,O,X,X,X,O,O
ILSZTJO,X,O,X,O,X,X,O,X
ILSZTOJ,X,O,X,O,X,X,O,O
ILSZJTO,X,O,X,X,X,X,O,X
ILSZJOT,X,O,X,X,X,X,O,O
ILSZOTJ,X,O,X,O,X,X,O,O
ILSZOJT,X,O,X,X,X,X,O,O
ILSOTJZ,X,X,O,O,X,X,O,X
ILSOTZJ,X,O,X,O,X,X,O,O
ILSOJTZ,X,X,O,X,X,X,O,X
ILSOJZT,X,X,O,X,X,X,O,O
ILSOZTJ,X,O,X,O,X,X,O,O
ILSOZJT,X,O,X,X,X,X,O,O
ILZTJSO,X,X,X,X,X,X,O,X
ILZTJOS,X,O,X,X,X,X,O,X
ILZTSJO,X,X,X,O,X,X,O,X
ILZTSOJ,X,O,X,O,X,X,O,X
ILZTOJS,X,O,X,X,X,X,O,O
ILZTOSJ,X,O,X,O,X,X,O,O
ILZJTSO,X,X,X,X,X,X,O,X
ILZJTOS,X,O,X,X,X,X,O,X
ILZJSTO,X,X,X,X,X,X,O,X
ILZJSOT,X,X,X,X,X,X,O,X
ILZJOTS,X,O,X,X,X,X,O,O
ILZJOST,X,X,X,X,X,X,O,O
ILZSTJO,X,X,X,O,X,X,O,X
ILZSTOJ,X,O,X,O,X,X,O,O
ILZSJTO,X,X,X,X,X,X,O,X
ILZSJOT,X,X,X,X,X,X,O,O
ILZSOTJ,X,O,X,O,X,X,O,O
ILZSOJT,X,X,X,X,X,X,O,O
ILZOTJS,X,O,X,X,X,X,O,O
ILZOTSJ,X,O,X,O,X,X,O,O
ILZOJTS,X,O,X,X,X,X,O,O
ILZOJST,X,X,X,X,X,X,O,O
ILZOSTJ,X,O,X,O,X,X,O,O
ILZOSJT,X,X,X,X,X,X,O,O
ILOTJSZ,X,X,O,O,X,X,O,X
ILOTJZS,X,X,O,X,X,X,O,X
ILOTSJZ,X,X,O,O,X,X,O,X
ILOTSZJ,X,X,X,O,X,X,O,X
ILOTZJS,X,O,X,X,X,X,O,O
ILOTZSJ,X,O,X,O,X,X,O,O
ILOJTSZ,X,X,O,O,X,X,O,X
ILOJTZS,X,X,O,X,X,X,O,X
ILOJSTZ,X,X,O,X,X,X,O,X
ILOJSZT,X,X,O,X,X,X,O,X
ILOJZTS,X,X,O,X,X,X,O,O
ILOJZST,X,X,O,X,X,X,O,O
ILOSTJZ,X,X,O,O,X,X,O,X
ILOSTZJ,X,O,X,O,X,X,O,O
ILOSJTZ,X,X,O,X,X,X,O,X
ILOSJZT,X,X,O,X,X,X,O,O
ILOSZTJ,X,O,X,O,X,X,O,O
ILOSZJT,X,O,X,X,X,X,O,O
ILOZTJS,X,O,X,X,X,X,O,O
ILOZTSJ,X,O,X,O,X,X,O,O
ILOZJTS,X,O,X,X,X,X,O,O
ILOZJST,X,X,X,X,X,X,O,O
ILOZSTJ,X,O,X,O,X,X,O,O
ILOZSJT,X,X,X,X,X,X,O,O
IJTLSZO,X,X,O,X,X,O,O,X
IJTLSOZ,X,X,O,X,X,X,O,X
IJTLZSO,X,X,O,X,X,O,O,X
IJTLZOS,X,X,O,X,X,X,O,X
IJTLOSZ,X,X,O,X,X,X,O,X
IJTLOZS,X,X,O,X,X,X,O,X
IJTSLZO,O,X,O,X,X,O,X,X
IJTSLOZ,O,X,O,X,X,X,X,X
IJTSZLO,O,X,O,X,X,O,X,X
IJTSZOL,O,X,O,X,X,O,X,X
IJTSOLZ,O,X,O,X,X,X,X,X
IJTSOZL,O,X,O,X,X,O,X,X
IJTZLSO,X,X,O,X,X,O,X,X
IJTZLOS,X,X,O,X,X,X,X,X
IJTZSLO,O,X,O,X,X,O,X,X
IJTZSOL,O,X,O,X,X,O,X,X
IJTZOLS,X,X,O,X,X,X,X,X
IJTZOSL,X,X,O,X,X,O,X,X
IJTOLSZ,X,X,O,X,X,X,X,X
IJTOLZS,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,O,X,X,X,X,X
IJTOSZL,X,X,O,X,X,O,X,X
IJTOZLS,X,X,O,X,X,X,X,X
IJTOZSL,X,X,O,X,X,O,X,X
IJLTSZO,X,X,O,X,X,X,O,X
IJLTSOZ,X,X,O,X,X,X,O,X
IJLTZSO,X,X,O,X,X,X,O,X
IJLTZOS,X,X,O,X,X,X,O,X
IJLTOSZ,X,X,O,X,X,X,O,X
IJLTOZS,X,X,O,X,X,X,O,X
IJLSTZO,X,X,O,X,X,X,O,X
IJLSTOZ,X,X,O,X,X,X,O,X
IJLSZTO,X,X,O,X,X,X,O,X
IJLSZOT,X,X,O,X,X,X,O,X
IJLSOTZ,X,X,O,X,X,X,O,X
IJLSOZT,X,X,O,X,X,X,O,X
IJLZTSO,X,X,O,X,X,X,O,X
IJLZTOS,X,X,O,X,X,X,O,X
IJLZSTO,X,X,O,X,X,X,O,X
IJLZSOT,X,X,O,X,X,X,O,X
IJLZOTS,X,X,O,X,X,X,O,O
IJLZOST,X,X,O,X,X,X,O,O
IJLOTSZ,X,X,O,X,X,X,O,X
IJLOTZS,X,X,O,X,X,X,O,X
IJLOSTZ,X,X,O,X,X,X,O,X
IJLOSZT,X,X,O,X,X,X,O,X
IJLOZTS,X,X,O,X,X,X,O,O
IJLOZST,X,X,O,X,X,X,O,O
IJSTLZO,O,X,O,X,X,O,X,X
IJSTLOZ,O,X,O,X,X,X,X,X
IJSTZLO,O,X,O,X,X,O,X,X
IJSTZOL,O,X,O,X,X,O,X,X
IJSTOLZ,O,X,O,X,X,X,X,X
IJSTOZL,O,X,O,X,X,O,X,X
IJSLTZO,O,X,O,X,X,X,O,X
IJSLTOZ,O,X,O,X,X,X,O,X
IJSLZTO,O,X,O,X,X,X,O,X
IJSLZOT,X,X,O,X,X,X,O,X
IJSLOTZ,X,X,O,X,X,X,O,X
IJSLOZT,X,X,O,X,X,X,O,X
IJSZTLO,O,X,O,X,X,O,X,X
IJSZTOL,O,X,O,X,X,O,X,X
IJSZLTO,O,X,O,X,X,X,X,X
IJSZLOT,X,X,O,X,X,X,X,X
IJSZOTL,O,X,O,X,X,X,X,X
IJSZOLT,X,X,O,X,X,X,X,X
IJSOTLZ,O,X,O,X,X,X,X,X
IJSOTZL,O,X,O,X,X,X,X,X
IJSOLTZ,X,X,O,X,X,X,X,X
IJSOLZT,X,X,O,X,X,X,X,X
IJSOZTL,O,X,O,X,X,X,X,X
IJSOZLT,X,X,O,X,X,X,X,X
IJZTLSO,X,X,O,X,X,O,X,X
IJZTLOS,X,X,O,X,X,X,X,X
IJZTSLO,O,X,O,X,X,O,X,X
IJZTSOL,O,X,O,X,X,O,X,X
IJZTOLS,X,X,O,X,X,X,X,X
IJZTOSL,X,X,O,X,X,O,X,X
IJZLTSO,X,X,O,X,X,X,O,X
IJZLTOS,X,X,O,X,X,X,O,X
IJZLSTO,X,X,O,X,X,X,O,X
IJZLSOT,X,X,O,X,X,X,O,X
IJZLOTS,X,X,O,X,X,X,O,O
IJZLOST,X,X,O,X,X,X,O,O
IJZSTLO,O,X,O,X,X,O,X,X
IJZSTOL,O,X,O,X,X,O,X,X
IJZSLTO,O,X,O,X,X,X,X,X
IJZSLOT,X,X,O,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X,X,X
IJZSOLT,X,X,O,X,X,X,X,X
IJZOTLS,X,X,O,X,X,X,X,X
IJZOTSL,X,X,O,X,X,X,X,X
IJZOLTS,X,X,O,X,X,X,X,X
IJZOLST,X,X,O,X,X,X,X,X
IJZOSTL,X,X,O,X,X,X,X,X
IJZOSLT,X,X,O,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,X,X
IJOTLZS,X,X,O,X,X,X,X,X
IJOTSLZ,X,X,O,X,X,X,X,X
IJOTSZL,X,X,O,X,X,X,X,X
IJOTZLS,X,X,O,X,X,X,X,X
IJOTZSL,X,X,O,X,X,X,X,X
IJOLTSZ,X,X,O,X,X,X,O,X
IJOLTZS,X,X,O,X,X,X,O,X
IJOLSTZ,X,X,O,X,X,X,O,X
IJOLSZT,X,X,O,X,X,X,O,X
IJOLZTS,X,X,O,X,X,X,O,X
IJOLZST,X,X,O,X,X,X,O,X
IJOSTLZ,X,X,O,X,X,X,X,X
IJOSTZL,X,X,O,X,X,X,X,X
IJOSLTZ,X,X,O,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,X,X
IJOSZTL,X,X,O,X,X,X,X,X
IJOSZLT,X,X,O,X,X,X,X,X
IJOZTLS,X,X,O,X,X,X,X,X
IJOZTSL,X,X,O,X,X,X,X,X
IJOZLTS,X,X,O,X,X,X,X,X
IJOZLST,X,X,O,X,X,X,X,X
IJOZSTL,X,X,O,X,X,X,X,X
IJOZSLT,X,X,O,X,X,X,X,X
ISTLJZO,O,X,O,O,X,X,X,X
ISTLJOZ,O,X,O,O,X,X,X,X
ISTLZJO,X,O,X,O,X,X,O,X
ISTLZOJ,X,O,X,O,X,X,O,O
ISTLOJZ,O,X,O,O,X,X,X,X
ISTLOZJ,X,O,X,O,X,X,O,O
ISTJLZO,O,X,O,O,X,O,X,X
ISTJLOZ,O,X,O,O,X,X,X,X
ISTJZLO,O,X,O,O,X,O,X,X
ISTJZOL,O,X,O,X,X,O,X,X
ISTJOLZ,O,X,O,X,X,X,X,X
ISTJOZL,O,X,O,X,X,O,X,X
ISTZLJO,O,O,X,O,X,X,X,X
ISTZLOJ,O,O,X,O,X,X,X,O
ISTZJLO,O,O,O,O,X,O,X,X
ISTZJOL,O,O,O,X,X,O,X,X
ISTZOLJ,O,O,X,O,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X
ISTOLJZ,O,X,O,O,X,X,X,X
ISTOLZJ,X,O,X,O,X,X,X,X
ISTOJLZ,O,X,O,X,X,X,X,X
ISTOJZL,O,X,O,X,X,X,X,X
ISTOZLJ,O,O,X,O,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X,X
ISLTJZO,O,X,O,O,X,X,O,X
ISLTJOZ,O,X,O,O,X,X,O,X
ISLTZJO,X,O,X,O,X,X,O,X
ISLTZOJ,X,O,X,O,X,X,O,O
