sequence,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeqGJvhFTiB5oBlkB3?lBmlB0pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke2EJvhFTiB5oBFmBC?lB0mBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeUAJvhFamBGiB5oBz?mBFqB/pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeT/IvhFcnB5oBVqBG?mBimBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBSnB5oBV?rBmmBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBC?nBFnBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBF?nBCnBzpB
TZOSJLI,X,X,X,X,X,X,X
TOILJSZ,O,O,O,X,X,X,X
TOILJZS,X,O,O,O,X,X,X
TOILSJZ,O,O,O,X,X,X,X
TOILSZJ,O,X,O,X,O,X,X
TOILZJS,X,X,O,O,X,X,X
TOILZSJ,O,X,O,X,O,X,X
TOIJLSZ,O,O,O,X,X,X,X
TOIJLZS,X,O,O,O,X,X,X
TOIJSLZ,O,O,O,X,X,X,X
TOIJSZL,X,O,X,O,X,X,O
TOIJZLS,X,O,O,O,X,X,X
TOIJZSL,X,O,X,O,X,X,O
TOISLJZ,O,O,O,X,X,X,X
TOISLZJ,O,X,O,X,O,X,X
TOISJLZ,O,O,O,X,X,X,X
TOISJZL,X,O,X,O,X,X,O
TOISZLJ,O,X,X,X,O,X,X
TOISZJL,X,O,X,O,X,X,X
TOIZLJS,X,X,O,O,X,X,X
TOIZLSJ,O,X,O,X,O,X,X
TOIZJLS,X,O,O,O,X,X,X
TOIZJSL,X,O,X,O,X,X,X
TOIZSLJ,O,X,X,X,O,X,X
TOIZSJL,X,O,X,O,X,X,X
TOLIJSZ,O,O,O,X,X,X,X
TOLIJZS,X,O,O,O,X,X,X
TOLISJZ,O,O,O,X,X,X,X
TOLISZJ,O,X,O,X,O,X,X
TOLIZJS,X,X,O,O,X,X,X
TOLIZSJ,O,X,O,X,O,X,X
TOLJISZ,O,O,O,X,X,X,X
TOLJIZS,X,O,O,O,X,X,X
TOLJSIZ,O,X,O,X,X,X,X
TOLJSZI,X,X,X,X,X,X,X
TOLJZIS,X,X,O,O,X,X,X
TOLJZSI,X,X,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,X
TOLSIZJ,O,X,O,X,O,X,X
TOLSJIZ,O,O,O,X,X,X,X
TOLSJZI,X,X,X,X,X,X,X
TOLSZIJ,O,X,X,X,O,X,X
TOLSZJI,X,X,X,X,X,X,X
TOLZIJS,X,X,O,O,X,X,X
TOLZISJ,O,X,O,X,O,X,X
TOLZJIS,X,X,O,O,X,X,X
TOLZJSI,X,X,X,X,X,X,X
TOLZSIJ,O,X,X,X,O,X,X
TOLZSJI,X,X,X,X,X,X,X
TOJILSZ,O,O,O,X,X,X,X
TOJILZS,X,O,O,O,X,X,X
TOJISLZ,O,O,O,X,X,X,X
TOJISZL,X,O,X,O,X,X,O
TOJIZLS,X,O,O,O,X,X,X
TOJIZSL,X,O,X,O,X,X,O
TOJLISZ,O,O,O,X,X,X,X
TOJLIZS,X,O,O,O,X,X,X
TOJLSIZ,O,X,O,X,X,X,X
TOJLSZI,X,X,X,X,X,X,X
TOJLZIS,X,X,O,O,X,X,X
TOJLZSI,X,X,X,X,X,X,X
TOJSILZ,O,O,O,X,X,X,X
TOJSIZL,X,O,X,O,X,X,O
TOJSLIZ,O,O,O,X,X,X,X
TOJSLZI,X,X,X,X,X,X,X
TOJSZIL,X,O,X,O,X,X,O
TOJSZLI,X,X,X,X,X,X,X
TOJZILS,X,O,O,O,X,X,X
TOJZISL,X,O,X,O,X,X,O
TOJZLIS,X,X,O,O,X,X,X
TOJZLSI,X,X,X,X,X,X,X
TOJZSIL,X,X,X,O,X,X,O
TOJZSLI,X,X,X,X,X,X,X
TOSILJZ,O,O,O,X,X,X,X
TOSILZJ,O,X,O,X,O,X,X
TOSIJLZ,O,O,O,X,X,X,X
TOSIJZL,X,O,X,O,X,X,O
TOSIZLJ,O,X,X,X,O,X,X
TOSIZJL,X,O,X,O,X,X,X
TOSLIJZ,O,O,O,X,X,X,X
TOSLIZJ,O,X,O,X,O,X,X
TOSLJIZ,O,O,O,X,X,X,X
TOSLJZI,X,X,X,X,X,X,X
TOSLZIJ,O,X,X,X,O,X,X
TOSLZJI,X,X,X,X,X,X,X
TOSJILZ,O,O,O,X,X,X,X
TOSJIZL,X,O,X,O,X,X,O
TOSJLIZ,O,O,O,X,X,X,X
TOSJLZI,X,X,X,X,X,X,X
TOSJZIL,X,O,X,O,X,X,O
TOSJZLI,X,X,X,X,X,X,X
TOSZILJ,O,X,X,X,O,X,X
TOSZIJL,X,O,X,O,X,X,X
TOSZLIJ,O,X,X,X,O,X,X
TOSZLJI,X,X,X,X,X,X,X
TOSZJIL,X,O,X,O,X,X,X
TOSZJLI,X,X,X,X,X,X,X
TOZILJS,X,X,O,O,X,X,X
TOZILSJ,O,X,O,X,O,X,X
TOZIJLS,X,O,O,O,X,X,X
TOZIJSL,X,O,X,O,X,X,X
TOZISLJ,O,X,X,X,O,X,X
TOZISJL,X,O,X,O,X,X,X
TOZLIJS,X,X,O,O,X,X,X
TOZLISJ,O,X,O,X,O,X,X
TOZLJIS,X,X,O,O,X,X,X
TOZLJSI,X,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,O,X,X
TOZLSJI,X,X,X,X,X,X,X
TOZJILS,X,O,O,O,X,X,X
TOZJISL,X,O,X,O,X,X,X
TOZJLIS,X,X,O,O,X,X,X
TOZJLSI,X,X,X,X,X,X,X
TOZJSIL,X,X,X,O,X,X,X
TOZJSLI,X,X,X,X,X,X,X
TOZSILJ,O,X,X,X,O,X,X
TOZSIJL,X,O,X,O,X,X,X
TOZSLIJ,O,X,X,X,O,X,X
TOZSLJI,X,X,X,X,X,X,X
TOZSJIL,X,O,X,O,X,X,X
TOZSJLI,X,X,X,X,X,X,X
ITLJSZO,X,X,X,X,O,O,O
ITLJSOZ,O,X,X,X,X,X,X
ITLJZSO,X,X,X,X,O,O,O
ITLJZOS,X,X,X,O,X,X,X
ITLJOSZ,O,O,O,X,X,X,X
ITLJOZS,X,O,O,O,X,X,X
ITLSJZO,X,X,X,X,O,O,O
ITLSJOZ,O,O,X,X,X,X,X
ITLSZJO,X,X,X,X,O,X,X
ITLSZOJ,O,X,X,X,O,X,X
ITLSOJZ,O,O,O,X,X,X,X
ITLSOZJ,O,X,O,X,O,X,X
ITLZJSO,X,X,X,X,O,X,X
ITLZJOS,X,X,X,O,X,X,X
ITLZSJO,X,X,X,X,O,X,X
ITLZSOJ,O,X,X,X,O,X,X
ITLZOJS,X,X,O,O,X,X,X
ITLZOSJ,O,X,O,X,O,X,X
ITLOJSZ,O,O,O,X,X,X,X
ITLOJZS,X,O,O,O,X,X,X
ITLOSJZ,O,O,O,X,X,X,X
ITLOSZJ,O,X,O,X,O,X,X
ITLOZJS,X,X,O,O,X,X,X
ITLOZSJ,O,X,O,X,O,X,X
ITJLSZO,X,X,X,X,O,O,O
ITJLSOZ,O,X,X,X,X,X,X
ITJLZSO,X,X,X,X,O,O,O
ITJLZOS,X,X,X,O,X,X,X
ITJLOSZ,O,O,O,X,X,X,X
ITJLOZS,X,O,O,O,X,X,X
ITJSLZO,X,X,X,X,O,O,O
ITJSLOZ,O,O,X,X,X,X,X
ITJSZLO,X,X,X,X,O,O,O
ITJSZOL,X,O,X,O,X,X,O
ITJSOLZ,O,O,X,X,X,X,X
ITJSOZL,X,O,X,O,X,X,O
ITJZLSO,X,X,X,X,O,O,O
ITJZLOS,X,X,X,O,X,X,X
ITJZSLO,X,X,X,X,O,O,O
ITJZSOL,X,X,X,O,X,X,O
ITJZOLS,X,O,X,O,X,X,X
ITJZOSL,X,O,X,O,X,X,O
ITJOLSZ,O,O,O,X,X,X,X
ITJOLZS,X,O,O,O,X,X,X
ITJOSLZ,O,O,O,X,X,X,X
ITJOSZL,X,O,X,O,X,X,O
ITJOZLS,X,O,O,O,X,X,X
ITJOZSL,X,O,X,O,X,X,O
ITSLJZO,X,X,X,X,O,O,O
ITSLJOZ,O,O,X,X,X,X,X
ITSLZJO,X,X,X,X,O,X,X
ITSLZOJ,O,X,X,X,O,X,X
ITSLOJZ,O,O,O,X,X,X,X
ITSLOZJ,O,X,O,X,O,X,X
ITSJLZO,X,X,X,X,O,O,O
ITSJLOZ,O,O,X,X,X,X,X
ITSJZLO,X,X,X,X,O,O,O
ITSJZOL,X,O,X,O,X,X,O
ITSJOLZ,O,O,X,X,X,X,X
ITSJOZL,X,O,X,O,X,X,O
ITSZLJO,X,X,X,X,O,X,X
ITSZLOJ,O,X,X,X,O,X,X
ITSZJLO,X,X,X,X,O,X,O
ITSZJOL,X,O,X,O,X,X,O
ITSZOLJ,O,X,X,X,O,X,X
ITSZOJL,X,O,X,O,X,X,X
ITSOLJZ,O,O,O,X,X,X,X
ITSOLZJ,O,X,O,X,O,X,X
ITSOJLZ,O,O,O,X,X,X,X
ITSOJZL,X,O,X,O,X,X,O
ITSOZLJ,O,X,X,X,O,X,X
ITSOZJL,X,O,X,O,X,X,X
ITZLJSO,X,X,X,X,O,X,X
ITZLJOS,X,X,X,O,X,X,X
ITZLSJO,X,X,X,X,O,X,X
ITZLSOJ,O,X,X,X,O,X,X
ITZLOJS,X,X,O,O,X,X,X
ITZLOSJ,O,X,O,X,O,X,X
ITZJLSO,X,X,X,X,O,X,O
ITZJLOS,X,X,X,O,X,X,X
ITZJSLO,X,X,X,X,O,X,O
ITZJSOL,X,X,X,O,X,X,O
ITZJOLS,X,O,X,O,X,X,X
ITZJOSL,X,O,X,O,X,X,O
ITZSLJO,X,X,X,X,O,X,X
ITZSLOJ,O,X,X,X,O,X,X
ITZSJLO,X,X,X,X,O,X,O
ITZSJOL,X,O,X,O,X,X,O
ITZSOLJ,O,X,X,X,O,X,X
ITZSOJL,X,O,X,O,X,X,X
ITZOLJS,X,X,O,O,X,X,X
ITZOLSJ,O,X,O,X,O,X,X
ITZOJLS,X,O,O,O,X,X,X
ITZOJSL,X,O,X,O,X,X,X
ITZOSLJ,O,X,X,X,O,X,X
ITZOSJL,X,O,X,O,X,X,X
ITOLJSZ,O,O,O,X,X,X,X
ITOLJZS,X,O,O,O,X,X,X
ITOLSJZ,O,O,O,X,X,X,X
ITOLSZJ,O,X,O,X,O,X,X
ITOLZJS,X,X,O,O,X,X,X
ITOLZSJ,O,X,O,X,O,X,X
ITOJLSZ,O,O,O,X,X,X,X
ITOJLZS,X,O,O,O,X,X,X
ITOJSLZ,O,O,O,X,X,X,X
ITOJSZL,X,O,X,O,X,X,O
ITOJZLS,X,O,O,O,X,X,X
ITOJZSL,X,O,X,O,X,X,O
ITOSLJZ,O,O,O,X,X,X,X
ITOSLZJ,O,X,O,X,O,X,X
ITOSJLZ,O,O,O,X,X,X,X
ITOSJZL,X,O,X,O,X,X,O
ITOSZLJ,O,X,X,X,O,X,X
ITOSZJL,X,O,X,O,X,X,X
ITOZLJS,X,X,O,O,X,X,X
ITOZLSJ,O,X,O,X,O,X,X
ITOZJLS,X,O,O,O,X,X,X
ITOZJSL,X,O,X,O,X,X,X
ITOZSLJ,O,X,X,X,O,X,X
ITOZSJL,X,O,X,O,X,X,X
ILTJSZO,X,X,X,X,O,O,O
ILTJSOZ,O,X,X,X,X,X,X
ILTJZSO,X,X,X,X,O,O,O
ILTJZOS,X,X,X,O,X,X,X
ILTJOSZ,O,O,O,X,X,X,X
ILTJOZS,X,O,O,O,X,X,X
ILTSJZO,X,X,X,X,O,O,O
ILTSJOZ,O,O,X,X,X,X,X
ILTSZJO,X,X,X,X,O,X,X
ILTSZOJ,O,X,X,X,O,X,X
ILTSOJZ,O,O,O,X,X,X,X
ILTSOZJ,O,X,O,X,O,X,X
ILTZJSO,X,X,X,X,O,X,X
ILTZJOS,X,X,X,O,X,X,X
ILTZSJO,X,X,X,X,O,X,X
ILTZSOJ,O,X,X,X,O,X,X
ILTZOJS,X,X,O,O,X,X,X
ILTZOSJ,O,X,O,X,O,X,X
ILTOJSZ,O,O,O,X,X,X,X
ILTOJZS,X,O,O,O,X,X,X
ILTOSJZ,O,O,O,X,X,X,X
ILTOSZJ,O,X,O,X,O,X,X
ILTOZJS,X,X,O,O,X,X,X
ILTOZSJ,O,X,O,X,O,X,X
ILJTSZO,X,X,X,X,O,O,O
ILJTSOZ,O,X,X,X,X,X,X
ILJTZSO,X,X,X,X,O,O,O
ILJTZOS,X,X,X,O,X,X,X
ILJTOSZ,O,O,O,X,X,X,X
ILJTOZS,X,O,O,O,X,X,X
ILJSTZO,X,X,X,X,O,O,O
ILJSTOZ,O,X,X,X,X,X,X
ILJSZTO,X,X,X,X,X,O,O
ILJSZOT,X,X,X,X,X,O,X
ILJSOTZ,O,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,O,X
ILJZTSO,X,X,X,X,X,O,O
ILJZTOS,X,X,X,O,X,X,X
ILJZSTO,X,X,X,X,X,O,O
ILJZSOT,X,X,X,X,X,O,X
ILJZOTS,X,X,X,X,X,X,X
ILJZOST,X,X,X,X,X,O,X
ILJOTSZ,O,O,O,X,X,X,X
ILJOTZS,X,O,O,X,X,X,X
ILJOSTZ,O,X,O,X,X,X,X
ILJOSZT,X,X,X,X,X,O,X
ILJOZTS,X,X,O,X,X,X,X
ILJOZST,X,X,X,X,X,O,X
ILSTJZO,X,X,X,X,O,O,O
ILSTJOZ,O,O,X,X,X,X,X
ILSTZJO,X,X,X,X,O,X,X
ILSTZOJ,O,X,X,X,O,X,X
ILSTOJZ,O,O,O,X,X,X,X
ILSTOZJ,O,X,O,X,O,X,X
ILSJTZO,X,X,X,X,O,O,O
ILSJTOZ,O,O,X,X,X,X,X
ILSJZTO,X,X,X,X,X,O,O
ILSJZOT,X,X,X,X,X,O,X
ILSJOTZ,O,O,X,X,X,X,X
ILSJOZT,X,X,X,X,X,O,X
ILSZTJO,X,X,X,X,O,X,X
ILSZTOJ,O,X,X,X,O,X,X
ILSZJTO,X,X,X,X,X,O,X
ILSZJOT,X,X,X,X,X,O,X
ILSZOTJ,O,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X
ILSOTJZ,O,O,O,X,X,X,X
ILSOTZJ,O,X,O,X,O,X,X
ILSOJTZ,O,O,O,X,X,X,X
ILSOJZT,X,X,X,X,X,O,X
ILSOZTJ,O,X,X,X,X,X,X
ILSOZJT,X,X,X,X,X,X,X
ILZTJSO,X,X,X,X,O,X,X
ILZTJOS,X,X,X,O,X,X,X
ILZTSJO,X,X,X,X,O,X,X
ILZTSOJ,O,X,X,X,O,X,X
ILZTOJS,X,X,O,O,X,X,X
ILZTOSJ,O,X,O,X,O,X,X
ILZJTSO,X,X,X,X,X,O,X
ILZJTOS,X,X,X,O,X,X,X
ILZJSTO,X,X,X,X,X,O,X
ILZJSOT,X,X,X,X,X,O,X
ILZJOTS,X,X,X,X,X,X,X
ILZJOST,X,X,X,X,X,O,X
ILZSTJO,X,X,X,X,O,X,X
ILZSTOJ,O,X,X,X,O,X,X
ILZSJTO,X,X,X,X,X,O,X
ILZSJOT,X,X,X,X,X,O,X
ILZSOTJ,O,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X
ILZOTJS,X,X,O,O,X,X,X
ILZOTSJ,O,X,O,X,X,X,X
ILZOJTS,X,X,O,X,X,X,X
ILZOJST,X,X,X,X,X,X,X
ILZOSTJ,O,X,X,X,X,X,X
ILZOSJT,X,X,X,X,X,X,X
ILOTJSZ,O,O,O,X,X,X,X
ILOTJZS,X,O,O,O,X,X,X
ILOTSJZ,O,O,O,X,X,X,X
ILOTSZJ,O,X,O,X,O,X,X
ILOTZJS,X,X,O,O,X,X,X
ILOTZSJ,O,X,O,X,O,X,X
ILOJTSZ,O,O,O,X,X,X,X
ILOJTZS,X,O,O,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,X
ILOJSZT,X,X,X,X,X,O,X
ILOJZTS,X,X,O,X,X,X,X
ILOJZST,X,X,X,X,X,O,X
ILOSTJZ,O,O,O,X,X,X,X
ILOSTZJ,O,X,O,X,O,X,X
ILOSJTZ,O,O,O,X,X,X,X
ILOSJZT,X,X,X,X,X,O,X
ILOSZTJ,O,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,X,X
ILOZTJS,X,X,O,O,X,X,X
ILOZTSJ,O,X,O,X,X,X,X
ILOZJTS,X,X,O,X,X,X,X
ILOZJST,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X
ILOZSJT,X,X,X,X,X,X,X
IJTLSZO,X,X,X,X,O,O,O
IJTLSOZ,O,X,X,X,X,X,X
IJTLZSO,X,X,X,X,O,O,O
IJTLZOS,X,X,X,O,X,X,X
IJTLOSZ,O,O,O,X,X,X,X
IJTLOZS,X,O,O,O,X,X,X
IJTSLZO,X,X,X,X,O,O,O
IJTSLOZ,O,O,X,X,X,X,X
IJTSZLO,X,X,X,X,O,O,O
IJTSZOL,X,O,X,O,X,X,O
IJTSOLZ,O,O,X,X,X,X,X
IJTSOZL,X,O,X,O,X,X,O
IJTZLSO,X,X,X,X,O,O,O
IJTZLOS,X,X,X,O,X,X,X
IJTZSLO,X,X,X,X,O,O,O
IJTZSOL,X,X,X,O,X,X,O
IJTZOLS,X,O,X,O,X,X,X
IJTZOSL,X,O,X,O,X,X,O
IJTOLSZ,O,O,O,X,X,X,X
IJTOLZS,X,O,O,O,X,X,X
IJTOSLZ,O,O,O,X,X,X,X
IJTOSZL,X,O,X,O,X,X,O
IJTOZLS,X,O,O,O,X,X,X
IJTOZSL,X,O,X,O,X,X,O
IJLTSZO,X,X,X,X,O,O,O
IJLTSOZ,O,X,X,X,X,X,X
IJLTZSO,X,X,X,X,O,O,O
IJLTZOS,X,X,X,O,X,X,X
IJLTOSZ,O,O,O,X,X,X,X
IJLTOZS,X,O,O,O,X,X,X
IJLSTZO,X,X,X,X,O,O,O
IJLSTOZ,O,X,X,X,X,X,X
IJLSZTO,X,X,X,X,X,O,O
IJLSZOT,X,X,X,X,X,O,X
IJLSOTZ,O,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,O,X
IJLZTSO,X,X,X,X,X,O,O
IJLZTOS,X,X,X,O,X,X,X
IJLZSTO,X,X,X,X,X,O,O
IJLZSOT,X,X,X,X,X,O,X
IJLZOTS,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,O,X
IJLOTSZ,O,O,O,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X
IJLOSTZ,O,X,O,X,X,X,X
IJLOSZT,X,X,X,X,X,O,X
IJLOZTS,X,X,O,X,X,X,X
IJLOZST,X,X,X,X,X,O,X
IJSTLZO,X,X,X,X,O,O,O
IJSTLOZ,O,O,X,X,X,X,X
IJSTZLO,X,X,X,X,O,O,O
IJSTZOL,X,O,X,O,X,X,O
IJSTOLZ,O,O,X,X,X,X,X
IJSTOZL,X,O,X,O,X,X,O
IJSLTZO,X,X,X,X,O,O,O
IJSLTOZ,O,O,X,X,X,X,X
IJSLZTO,X,X,X,X,X,O,O
IJSLZOT,X,X,X,X,X,O,X
IJSLOTZ,O,O,X,X,X,X,X
IJSLOZT,X,X,X,X,X,O,X
IJSZTLO,X,X,X,X,X,O,O
IJSZTOL,X,O,X,O,X,X,O
IJSZLTO,X,X,X,X,X,O,O
IJSZLOT,X,X,X,X,X,O,X
IJSZOTL,X,O,X,X,X,X,O
IJSZOLT,X,X,X,X,X,O,X
IJSOTLZ,O,O,O,X,X,X,X
IJSOTZL,X,O,X,X,X,X,O
IJSOLTZ,O,O,O,X,X,X,X
IJSOLZT,X,X,X,X,X,O,X
IJSOZTL,X,O,X,X,X,X,O
IJSOZLT,X,X,X,X,X,O,X
IJZTLSO,X,X,X,X,X,O,O
IJZTLOS,X,X,X,O,X,X,X
IJZTSLO,X,X,X,X,X,O,O
IJZTSOL,X,X,X,O,X,X,O
IJZTOLS,X,O,X,O,X,X,X
IJZTOSL,X,O,X,O,X,X,O
IJZLTSO,X,X,X,X,X,O,O
IJZLTOS,X,X,X,O,X,X,X
IJZLSTO,X,X,X,X,X,O,O
IJZLSOT,X,X,X,X,X,O,X
IJZLOTS,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,O,X
IJZSTLO,X,X,X,X,X,O,O
IJZSTOL,X,X,X,O,X,X,O
IJZSLTO,X,X,X,X,X,O,O
IJZSLOT,X,X,X,X,X,O,X
IJZSOTL,X,X,X,X,X,X,O
IJZSOLT,X,X,X,X,X,O,X
IJZOTLS,X,O,O,O,X,X,X
IJZOTSL,X,O,X,O,X,X,O
IJZOLTS,X,X,O,X,X,X,X
IJZOLST,X,X,X,X,X,O,X
IJZOSTL,X,X,X,X,X,X,O
IJZOSLT,X,X,X,X,X,O,X
IJOTLSZ,O,O,O,X,X,X,X
IJOTLZS,X,O,O,O,X,X,X
IJOTSLZ,O,O,O,X,X,X,X
IJOTSZL,X,O,X,O,X,X,O
IJOTZLS,X,O,O,O,X,X,X
IJOTZSL,X,O,X,O,X,X,O
IJOLTSZ,O,O,O,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,X
IJOLSZT,X,X,X,X,X,O,X
IJOLZTS,X,X,O,X,X,X,X
IJOLZST,X,X,X,X,X,O,X
IJOSTLZ,O,O,O,X,X,X,X
IJOSTZL,X,O,X,X,X,X,O
IJOSLTZ,O,O,O,X,X,X,X
IJOSLZT,X,X,X,X,X,O,X
IJOSZTL,X,O,X,X,X,X,O
IJOSZLT,X,X,X,X,X,O,X
IJOZTLS,X,O,O,O,X,X,X
IJOZTSL,X,O,X,O,X,X,O
IJOZLTS,X,X,O,X,X,X,X
IJOZLST,X,X,X,X,X,O,X
IJOZSTL,X,X,X,X,X,X,O
IJOZSLT,X,X,X,X,X,O,X
ISTLJZO,X,X,X,X,O,O,O
ISTLJOZ,O,O,X,X,X,X,X
ISTLZJO,X,X,X,X,O,X,X
ISTLZOJ,O,X,X,X,O,X,X
ISTLOJZ,O,O,O,X,X,X,X
ISTLOZJ,O,X,O,X,O,X,X
ISTJLZO,X,X,X,X,O,O,O
ISTJLOZ,O,O,X,X,X,X,X
ISTJZLO,X,X,X,X,O,O,O
ISTJZOL,X,O,X,O,X,X,O
ISTJOLZ,O,O,X,X,X,X,X
ISTJOZL,X,O,X,O,X,X,O
ISTZLJO,X,X,X,X,O,X,X
ISTZLOJ,O,X,X,X,O,X,X
ISTZJLO,X,X,X,X,O,X,O
ISTZJOL,X,O,X,O,X,X,O
ISTZOLJ,O,X,X,X,O,X,X
ISTZOJL,X,O,X,O,X,X,X
ISTOLJZ,O,O,O,X,X,X,X
ISTOLZJ,O,X,O,X,O,X,X
ISTOJLZ,O,O,O,X,X,X,X
ISTOJZL,X,O,X,O,X,X,O
ISTOZLJ,O,X,X,X,O,X,X
ISTOZJL,X,O,X,O,X,X,X
ISLTJZO,X,X,X,X,O,O,O
ISLTJOZ,O,O,X,X,X,X,X
ISLTZJO,X,X,X,X,O,X,X
ISLTZOJ,O,X,X,X,O,X,X
ISLTOJZ,O,O,O,X,X,X,X
ISLTOZJ,O,X,O,X,O,X,X
ISLJTZO,X,X,X,X,O,O,O
ISLJTOZ,O,O,X,X,X,X,X
ISLJZTO,X,X,X,X,X,O,O
ISLJZOT,X,X,X,X,X,O,X
ISLJOTZ,O,O,X,X,X,X,X
ISLJOZT,X,X,X,X,X,O,X
ISLZTJO,X,X,X,X,O,X,X
ISLZTOJ,O,X,X,X,O,X,X
ISLZJTO,X,X,X,X,X,O,X
ISLZJOT,X,X,X,X,X,O,X
ISLZOTJ,O,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X
ISLOTJZ,O,O,O,X,X,X,X
ISLOTZJ,O,X,O,X,O,X,X
ISLOJTZ,O,O,O,X,X,X,X
ISLOJZT,X,X,X,X,X,O,X
ISLOZTJ,O,X,X,X,X,X,X
ISLOZJT,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,O,O,O
ISJTLOZ,O,O,X,X,X,X,X
ISJTZLO,X,X,X,X,O,O,O
ISJTZOL,X,O,X,O,X,X,O
ISJTOLZ,O,O,X,X,X,X,X
ISJTOZL,X,O,X,O,X,X,O
ISJLTZO,X,X,X,X,O,O,O
ISJLTOZ,O,O,X,X,X,X,X
ISJLZTO,X,X,X,X,X,O,O
ISJLZOT,X,X,X,X,X,O,X
ISJLOTZ,O,O,X,X,X,X,X
ISJLOZT,X,X,X,X,X,O,X
ISJZTLO,X,X,X,X,X,O,O
ISJZTOL,X,O,X,O,X,X,O
ISJZLTO,X,X,X,X,X,O,O
ISJZLOT,X,X,X,X,X,O,X
ISJZOTL,X,O,X,X,X,X,O
ISJZOLT,X,X,X,X,X,O,X
ISJOTLZ,O,O,O,X,X,X,X
ISJOTZL,X,O,X,X,X,X,O
ISJOLTZ,O,O,O,X,X,X,X
ISJOLZT,X,X,X,X,X,O,X
ISJOZTL,X,O,X,X,X,X,O
ISJOZLT,X,X,X,X,X,O,X
ISZTLJO,X,X,X,X,O,X,X
ISZTLOJ,O,X,X,X,O,X,X
ISZTJLO,X,X,X,X,O,X,O
ISZTJOL,X,O,X,O,X,X,O
ISZTOLJ,O,X,X,X,O,X,X
ISZTOJL,X,O,X,O,X,X,X
ISZLTJO,X,X,X,X,O,X,X
ISZLTOJ,O,X,X,X,O,X,X
ISZLJTO,X,X,X,X,X,O,X
ISZLJOT,X,X,X,X,X,O,X
ISZLOTJ,O,X,X,X,X,X,X
ISZLOJT,X,X,X,X,X,X,X
ISZJTLO,X,X,X,X,X,O,O
ISZJTOL,X,O,X,O,X,X,O
ISZJLTO,X,X,X,X,X,O,O
ISZJLOT,X,X,X,X,X,O,X
ISZJOTL,X,O,X,X,X,X,O
ISZJOLT,X,X,X,X,X,O,X
ISZOTLJ,O,X,X,X,X,X,X
ISZOTJL,X,O,X,O,X,X,X
ISZOLTJ,O,X,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,X
ISZOJTL,X,O,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,X,X
ISOTLZJ,O,X,O,X,O,X,X
ISOTJLZ,O,O,O,X,X,X,X
ISOTJZL,X,O,X,O,X,X,O
ISOTZLJ,O,X,X,X,O,X,X
ISOTZJL,X,O,X,O,X,X,X
ISOLTJZ,O,O,O,X,X,X,X
ISOLTZJ,O,X,O,X,O,X,X
ISOLJTZ,O,O,O,X,X,X,X
ISOLJZT,X,X,X,X,X,O,X
ISOLZTJ,O,X,X,X,X,X,X
ISOLZJT,X,X,X,X,X,X,X
ISOJTLZ,O,O,O,X,X,X,X
ISOJTZL,X,O,X,X,X,X,O
ISOJLTZ,O,O,O,X,X,X,X
ISOJLZT,X,X,X,X,X,O,X
ISOJZTL,X,O,X,X,X,X,O
ISOJZLT,X,X,X,X,X,O,X
ISOZTLJ,O,X,X,X,X,X,X
ISOZTJL,X,O,X,O,X,X,X
ISOZLTJ,O,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X
ISOZJTL,X,O,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,O,X,X
IZTLJOS,X,X,X,O,X,X,X
IZTLSJO,X,X,X,X,O,X,X
IZTLSOJ,O,X,X,X,O,X,X
IZTLOJS,X,X,O,O,X,X,X
IZTLOSJ,O,X,O,X,O,X,X
IZTJLSO,X,X,X,X,O,X,O
IZTJLOS,X,X,X,O,X,X,X
IZTJSLO,X,X,X,X,O,X,O
IZTJSOL,X,X,X,O,X,X,O
