sequence,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFmhBCjBFlB0mBTo?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFulBcmBxiBKqBXs?BTtB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFThBenBfoB6oB1q?BUqB,v115@HhA8IeB8EeA8BeB8BeF8Je0/IvhFXhBxiBFnBToBOq?BCrB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFlhBziB+oBUlByr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFzhBGjBilBUoBRr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8JeRBJvhFfoB6oBFlB8qBzm?BmpB
TOILSJZ,X,O,X,O,X,X,X
TOILSZJ,O,O,X,O,X,O,X
TOILZJS,O,O,X,O,X,O,X
TOILZSJ,O,O,X,O,X,O,X
TOIJLSZ,X,O,O,O,X,X,X
TOIJLZS,O,O,X,O,X,O,X
TOIJSLZ,X,O,O,O,X,X,X
TOIJSZL,X,X,O,O,X,X,X
TOIJZLS,O,X,X,O,X,O,X
TOIJZSL,O,X,O,O,X,O,X
TOISLJZ,X,O,O,O,X,X,X
TOISLZJ,O,O,X,O,X,O,O
TOISJLZ,X,O,O,O,X,X,X
TOISJZL,X,X,O,O,X,X,X
TOISZLJ,O,O,X,O,X,O,O
TOISZJL,O,O,X,O,X,O,O
TOIZLJS,O,O,X,O,X,O,X
TOIZLSJ,O,O,X,O,X,O,O
TOIZJLS,O,O,X,O,X,O,X
TOIZJSL,O,X,O,O,X,O,O
TOIZSLJ,O,O,X,O,X,O,O
TOIZSJL,O,X,X,O,X,O,O
TOLIJSZ,X,O,O,O,X,X,X
TOLIJZS,O,O,X,O,X,X,X
TOLISJZ,X,O,X,O,X,X,X
TOLISZJ,O,O,X,O,X,X,X
TOLIZJS,O,O,X,O,X,X,X
TOLIZSJ,O,O,X,O,X,X,X
TOLJISZ,X,O,O,O,X,X,X
TOLJIZS,O,O,X,O,X,X,X
TOLJSIZ,X,O,O,O,X,X,X
TOLJSZI,X,O,O,O,X,X,X
TOLJZIS,O,O,X,O,X,X,X
TOLJZSI,O,O,X,O,X,X,X
TOLSIJZ,O,O,X,O,X,X,X
TOLSIZJ,O,O,X,O,X,X,X
TOLSJIZ,O,O,X,O,X,X,X
TOLSJZI,O,O,X,O,X,X,X
TOLSZIJ,O,O,X,O,X,X,X
TOLSZJI,O,O,X,O,X,X,X
TOLZIJS,O,O,X,O,X,X,X
TOLZISJ,O,O,X,O,X,X,X
TOLZJIS,O,O,X,O,X,X,X
TOLZJSI,O,O,X,O,X,X,X
TOLZSIJ,O,O,X,O,X,X,X
TOLZSJI,O,O,X,O,X,X,X
TOJILSZ,X,O,O,O,X,X,X
TOJILZS,O,O,X,O,X,X,X
TOJISLZ,X,O,O,O,X,X,X
TOJISZL,X,X,O,O,X,X,X
TOJIZLS,O,X,X,O,X,X,X
TOJIZSL,O,X,O,O,X,X,X
TOJLISZ,X,O,O,O,X,X,X
TOJLIZS,O,O,X,O,X,X,X
TOJLSIZ,X,O,O,O,X,X,X
TOJLSZI,X,O,O,O,X,X,X
TOJLZIS,O,O,X,O,X,X,X
TOJLZSI,O,O,X,O,X,X,X
TOJSILZ,X,O,O,O,X,X,X
TOJSIZL,X,X,O,O,X,X,X
TOJSLIZ,X,O,O,O,X,X,X
TOJSLZI,X,O,O,O,X,X,X
TOJSZIL,X,X,O,O,X,X,X
TOJSZLI,X,X,O,O,X,X,X
TOJZILS,O,X,X,O,X,X,X
TOJZISL,O,X,O,O,X,X,X
TOJZLIS,O,X,X,O,X,X,X
TOJZLSI,O,X,X,O,X,X,X
TOJZSIL,O,X,O,O,X,X,X
TOJZSLI,O,X,O,O,X,X,X
TOSILJZ,O,O,O,O,X,X,X
TOSILZJ,O,O,X,O,X,X,O
TOSIJLZ,O,O,O,O,X,X,X
TOSIJZL,O,X,O,O,X,X,X
TOSIZLJ,O,O,X,O,X,X,O
TOSIZJL,O,O,X,O,X,X,O
TOSLIJZ,O,O,O,O,X,X,X
TOSLIZJ,O,O,X,O,X,X,O
TOSLJIZ,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,X,X,X
TOSLZIJ,O,O,X,O,X,X,O
TOSLZJI,O,O,X,O,X,X,O
TOSJILZ,O,O,O,O,X,X,X
TOSJIZL,O,X,O,O,X,X,X
TOSJLIZ,O,O,O,O,X,X,X
TOSJLZI,O,O,O,O,X,X,X
TOSJZIL,O,X,O,O,X,X,X
TOSJZLI,O,X,O,O,X,X,X
TOSZILJ,O,O,X,O,X,X,O
TOSZIJL,O,O,X,O,X,X,O
TOSZLIJ,O,O,X,O,X,X,O
TOSZLJI,O,O,X,O,X,X,O
TOSZJIL,O,O,X,O,X,X,O
TOSZJLI,O,O,X,O,X,X,O
TOZILJS,O,O,X,O,X,O,X
TOZILSJ,O,O,X,O,X,O,O
TOZIJLS,O,O,X,O,X,O,X
TOZIJSL,O,X,O,O,X,O,O
TOZISLJ,O,O,X,O,X,O,O
TOZISJL,O,X,X,O,X,O,O
TOZLIJS,O,O,X,O,X,X,X
TOZLISJ,O,O,X,O,X,X,O
TOZLJIS,O,O,X,O,X,X,X
TOZLJSI,O,O,X,O,X,X,X
TOZLSIJ,O,O,X,O,X,X,O
TOZLSJI,O,O,X,O,X,X,O
TOZJILS,O,O,X,O,X,O,X
TOZJISL,O,X,O,O,X,O,O
TOZJLIS,O,O,X,O,X,X,X
TOZJLSI,O,O,X,O,X,X,X
TOZJSIL,O,X,O,O,X,X,O
TOZJSLI,O,X,O,O,X,X,O
TOZSILJ,O,O,X,O,X,X,O
TOZSIJL,O,X,X,O,X,X,O
TOZSLIJ,O,O,X,O,X,X,O
TOZSLJI,O,O,X,O,X,X,O
TOZSJIL,O,X,X,O,X,X,O
TOZSJLI,O,X,X,O,X,X,O
ITLJSZO,X,X,O,X,X,X,X
ITLJSOZ,X,X,O,X,O,X,X
ITLJZSO,O,X,X,X,X,O,X
ITLJZOS,O,O,X,X,O,O,X
ITLJOSZ,X,X,O,X,O,X,X
ITLJOZS,X,O,X,X,O,O,X
ITLSJZO,X,O,O,X,X,X,X
ITLSJOZ,X,X,O,X,O,X,X
ITLSZJO,O,O,O,X,X,O,X
ITLSZOJ,X,O,X,O,X,O,X
ITLSOJZ,X,O,O,O,X,X,X
ITLSOZJ,X,O,X,O,X,O,X
ITLZJSO,O,X,X,X,X,O,X
ITLZJOS,O,O,X,X,O,O,X
ITLZSJO,O,X,X,X,X,O,X
ITLZSOJ,X,X,X,O,X,O,X
ITLZOJS,O,O,X,O,X,O,X
ITLZOSJ,O,O,X,O,X,O,X
ITLOJSZ,X,O,O,O,O,X,X
ITLOJZS,O,O,X,O,O,O,X
ITLOSJZ,X,O,X,O,X,X,X
ITLOSZJ,O,O,X,O,X,O,X
ITLOZJS,O,O,X,O,X,O,X
ITLOZSJ,O,O,X,O,X,O,X
ITJLSZO,X,X,O,X,X,X,X
ITJLSOZ,X,X,O,X,O,X,X
ITJLZSO,O,X,X,X,X,O,X
ITJLZOS,O,X,X,X,O,O,X
ITJLOSZ,X,X,O,X,O,X,X
ITJLOZS,X,X,X,X,O,O,X
ITJSLZO,X,X,O,X,X,X,X
ITJSLOZ,X,X,O,X,X,X,X
ITJSZLO,X,X,O,X,X,X,X
ITJSZOL,X,X,O,X,X,X,X
ITJSOLZ,X,X,O,X,X,X,X
ITJSOZL,X,X,O,X,X,X,X
ITJZLSO,O,X,X,X,O,O,X
ITJZLOS,O,X,X,X,O,O,X
ITJZSLO,O,X,O,X,X,O,X
ITJZSOL,O,X,O,X,X,O,X
ITJZOLS,O,X,X,X,O,O,X
ITJZOSL,O,X,O,X,X,O,X
ITJOLSZ,X,X,O,X,O,X,X
ITJOLZS,O,X,X,X,O,O,X
ITJOSLZ,X,X,O,X,X,X,X
ITJOSZL,X,X,O,X,X,X,X
ITJOZLS,O,X,X,X,O,O,X
ITJOZSL,O,X,O,X,X,O,X
ITSLJZO,X,O,O,X,X,X,X
ITSLJOZ,X,X,O,X,X,X,X
ITSLZJO,O,O,O,X,X,O,X
ITSLZOJ,X,O,X,O,X,O,X
ITSLOJZ,X,O,O,O,X,X,X
ITSLOZJ,X,O,X,O,X,O,X
ITSJLZO,X,O,O,X,X,X,X
ITSJLOZ,X,X,O,X,X,X,X
ITSJZLO,X,X,O,X,X,X,X
ITSJZOL,X,X,O,X,X,X,X
ITSJOLZ,X,X,O,X,X,X,X
ITSJOZL,X,X,O,X,X,X,X
ITSZLJO,O,O,O,X,X,O,X
ITSZLOJ,X,O,X,X,X,O,X
ITSZJLO,O,X,O,X,X,O,X
ITSZJOL,O,X,O,X,X,O,X
ITSZOLJ,O,X,X,O,X,O,X
ITSZOJL,O,X,X,O,X,O,X
ITSOLJZ,X,O,O,O,X,X,X
ITSOLZJ,O,O,X,O,X,O,X
ITSOJLZ,X,O,O,O,X,X,X
ITSOJZL,X,X,O,O,X,X,X
ITSOZLJ,O,O,X,O,X,O,X
ITSOZJL,O,X,X,O,X,O,X
ITZLJSO,O,X,X,X,O,O,X
ITZLJOS,O,X,X,X,O,O,X
ITZLSJO,O,X,X,X,O,O,X
ITZLSOJ,X,X,X,O,X,O,X
ITZLOJS,O,X,X,O,O,O,X
ITZLOSJ,O,X,X,O,X,O,X
ITZJLSO,O,X,X,X,O,O,X
ITZJLOS,O,X,X,X,O,O,X
ITZJSLO,O,X,O,X,X,O,X
ITZJSOL,O,X,O,X,X,O,X
ITZJOLS,O,X,X,X,O,O,X
ITZJOSL,O,X,O,X,X,O,X
ITZSLJO,O,X,O,X,X,O,X
ITZSLOJ,X,X,X,X,X,O,X
ITZSJLO,O,X,O,X,X,O,X
ITZSJOL,O,X,O,X,X,O,X
ITZSOLJ,O,X,X,O,X,O,X
ITZSOJL,O,X,X,O,X,O,X
ITZOLJS,O,X,X,O,X,O,X
ITZOLSJ,O,X,X,O,X,O,X
ITZOJLS,O,X,X,O,X,O,X
ITZOJSL,O,X,O,O,X,O,X
ITZOSLJ,O,X,X,O,X,O,X
ITZOSJL,O,X,X,O,X,O,X
ITOLJSZ,X,O,O,O,X,X,X
ITOLJZS,O,O,X,O,X,O,X
ITOLSJZ,X,O,X,O,X,X,X
ITOLSZJ,O,O,X,O,X,O,X
ITOLZJS,O,O,X,O,X,O,X
ITOLZSJ,O,O,X,O,X,O,X
ITOJLSZ,X,O,O,O,X,X,X
ITOJLZS,O,O,X,O,X,O,X
ITOJSLZ,X,O,O,O,X,X,X
ITOJSZL,X,X,O,O,X,X,X
ITOJZLS,O,X,X,O,X,O,X
ITOJZSL,O,X,O,O,X,O,X
ITOSLJZ,X,O,O,O,X,X,X
ITOSLZJ,O,O,X,O,X,O,X
ITOSJLZ,X,O,O,O,X,X,X
ITOSJZL,X,X,O,O,X,X,X
ITOSZLJ,O,O,X,O,X,O,X
ITOSZJL,O,X,X,O,X,O,X
ITOZLJS,O,O,X,O,X,O,X
ITOZLSJ,O,O,X,O,X,O,X
ITOZJLS,O,X,X,O,X,O,X
ITOZJSL,O,X,O,O,X,O,X
ITOZSLJ,O,O,X,O,X,O,X
ITOZSJL,O,X,X,O,X,O,X
ILTJSZO,X,X,O,X,X,X,X
ILTJSOZ,X,X,O,X,O,X,X
ILTJZSO,O,X,X,X,O,O,X
ILTJZOS,O,O,X,X,O,O,X
ILTJOSZ,X,X,O,X,O,X,X
ILTJOZS,X,O,X,X,O,O,X
ILTSJZO,X,O,O,X,X,X,X
ILTSJOZ,X,X,O,X,O,X,X
ILTSZJO,O,O,O,X,X,O,X
ILTSZOJ,X,O,X,O,X,O,X
ILTSOJZ,X,O,O,O,X,X,X
ILTSOZJ,X,O,X,O,X,O,X
ILTZJSO,O,X,X,X,O,O,X
ILTZJOS,O,O,X,X,O,O,X
ILTZSJO,O,X,X,X,O,O,X
ILTZSOJ,X,X,X,O,X,O,X
ILTZOJS,O,O,X,O,O,O,X
ILTZOSJ,O,O,X,O,X,O,X
ILTOJSZ,X,O,O,O,O,X,X
ILTOJZS,O,O,X,O,O,O,X
ILTOSJZ,X,O,X,O,X,X,X
ILTOSZJ,O,O,X,O,X,O,X
ILTOZJS,O,O,X,O,X,O,X
ILTOZSJ,O,O,X,O,X,O,X
ILJTSZO,X,X,O,X,X,X,X
ILJTSOZ,X,X,O,X,O,X,X
ILJTZSO,O,X,X,X,O,O,X
ILJTZOS,O,O,X,X,O,O,X
ILJTOSZ,X,X,O,X,O,X,X
ILJTOZS,X,O,X,X,O,O,X
ILJSTZO,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,O,X,X
ILJSZTO,O,X,O,X,X,X,X
ILJSZOT,O,X,O,X,X,X,X
ILJSOTZ,X,X,O,X,O,X,X
ILJSOZT,X,X,O,X,X,X,X
ILJZTSO,O,X,X,X,O,O,X
ILJZTOS,O,O,X,X,O,O,X
ILJZSTO,O,X,X,X,O,O,X
ILJZSOT,O,X,X,X,O,O,X
ILJZOTS,O,O,X,X,O,O,X
ILJZOST,O,O,X,X,O,O,X
ILJOTSZ,X,X,X,X,O,X,X
ILJOTZS,X,O,X,X,O,O,X
ILJOSTZ,X,X,O,X,O,X,X
ILJOSZT,X,X,O,X,X,X,X
ILJOZTS,X,O,X,X,O,O,X
ILJOZST,X,O,X,X,O,O,X
ILSTJZO,O,O,O,X,X,X,X
ILSTJOZ,X,X,O,X,O,X,X
ILSTZJO,O,O,O,X,X,O,X
ILSTZOJ,O,O,X,O,X,O,X
ILSTOJZ,X,O,O,O,X,X,X
ILSTOZJ,O,O,X,O,X,O,X
ILSJTZO,X,O,O,X,X,X,X
ILSJTOZ,X,X,O,X,O,X,X
ILSJZTO,O,O,O,X,X,X,X
ILSJZOT,O,O,O,X,X,X,X
ILSJOTZ,X,X,O,X,O,X,X
ILSJOZT,X,X,O,X,X,X,X
ILSZTJO,O,O,O,X,X,O,X
ILSZTOJ,O,O,X,O,X,O,X
ILSZJTO,O,O,O,X,X,O,X
ILSZJOT,O,O,O,X,X,O,X
ILSZOTJ,O,O,X,O,X,O,X
ILSZOJT,O,O,X,X,X,O,X
ILSOTJZ,X,O,O,O,X,X,X
ILSOTZJ,O,O,X,O,X,O,X
ILSOJTZ,X,O,O,X,X,X,X
ILSOJZT,O,O,O,X,X,X,X
ILSOZTJ,O,O,X,O,X,O,X
ILSOZJT,O,O,X,X,X,O,X
ILZTJSO,O,X,X,X,O,O,X
ILZTJOS,O,O,X,X,O,O,X
ILZTSJO,O,X,X,X,O,O,X
ILZTSOJ,X,X,X,O,X,O,X
ILZTOJS,O,O,X,O,O,O,X
ILZTOSJ,X,O,X,O,X,O,X
ILZJTSO,O,X,X,X,O,O,X
ILZJTOS,O,O,X,X,O,O,X
ILZJSTO,O,X,X,X,O,O,X
ILZJSOT,O,X,X,X,O,O,X
ILZJOTS,O,O,X,X,O,O,X
ILZJOST,O,O,X,X,O,O,X
ILZSTJO,O,X,X,X,O,O,X
ILZSTOJ,O,X,X,O,X,O,X
ILZSJTO,O,X,X,X,O,O,X
ILZSJOT,O,X,X,X,O,O,X
ILZSOTJ,X,X,X,O,X,O,X
ILZSOJT,O,X,X,X,X,O,X
ILZOTJS,O,O,X,O,O,O,X
ILZOTSJ,X,O,X,O,X,O,X
ILZOJTS,O,O,X,X,O,O,X
ILZOJST,O,O,X,X,O,O,X
ILZOSTJ,X,O,X,O,X,O,X
ILZOSJT,O,O,X,X,X,O,X
ILOTJSZ,X,O,X,O,O,X,X
ILOTJZS,O,O,X,O,O,O,X
ILOTSJZ,X,O,X,O,X,X,X
ILOTSZJ,O,O,X,O,X,O,X
ILOTZJS,O,O,X,O,X,O,X
ILOTZSJ,O,O,X,O,X,O,X
ILOJTSZ,X,O,X,X,O,X,X
ILOJTZS,O,O,X,X,O,O,X
ILOJSTZ,X,O,X,X,O,X,X
ILOJSZT,O,O,X,X,X,X,X
ILOJZTS,O,O,X,X,O,O,X
ILOJZST,O,O,X,X,X,O,X
ILOSTJZ,X,O,X,O,X,X,X
ILOSTZJ,O,O,X,O,X,O,X
ILOSJTZ,X,O,X,X,X,X,X
ILOSJZT,O,O,X,X,X,X,X
ILOSZTJ,O,O,X,O,X,O,X
ILOSZJT,O,O,X,X,X,O,X
ILOZTJS,O,O,X,O,X,O,X
ILOZTSJ,O,O,X,O,X,O,X
ILOZJTS,O,O,X,X,X,O,X
ILOZJST,O,O,X,X,X,O,X
ILOZSTJ,O,O,X,O,X,O,X
ILOZSJT,O,O,X,X,X,O,X
IJTLSZO,X,X,O,X,X,X,X
IJTLSOZ,X,X,O,X,O,X,X
IJTLZSO,O,X,X,X,X,O,X
IJTLZOS,O,X,X,X,O,O,X
IJTLOSZ,X,X,O,X,O,X,X
IJTLOZS,X,X,X,X,O,O,X
IJTSLZO,X,X,O,X,X,X,X
IJTSLOZ,X,X,O,X,X,X,X
IJTSZLO,X,X,O,X,X,X,X
IJTSZOL,X,X,O,X,X,X,X
IJTSOLZ,X,X,O,X,X,X,X
IJTSOZL,X,X,O,X,X,X,X
IJTZLSO,O,X,X,X,O,O,X
IJTZLOS,O,X,X,X,O,O,X
IJTZSLO,O,X,O,X,X,O,X
IJTZSOL,O,X,O,X,X,O,X
IJTZOLS,O,X,X,X,O,O,X
IJTZOSL,O,X,O,X,X,O,X
IJTOLSZ,X,X,O,X,O,X,X
IJTOLZS,O,X,X,X,O,O,X
IJTOSLZ,X,X,O,X,X,X,X
IJTOSZL,X,X,O,X,X,X,X
IJTOZLS,O,X,X,X,O,O,X
IJTOZSL,O,X,O,X,X,O,X
IJLTSZO,X,X,O,X,X,X,X
IJLTSOZ,X,X,O,X,O,X,X
IJLTZSO,O,X,X,X,O,O,X
IJLTZOS,O,X,X,X,O,O,X
IJLTOSZ,X,X,O,X,O,X,X
IJLTOZS,X,X,X,X,O,O,X
IJLSTZO,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,X,O,X,X
IJLSZTO,O,X,O,X,X,X,X
IJLSZOT,O,X,O,X,X,X,X
IJLSOTZ,X,X,O,X,O,X,X
IJLSOZT,X,X,O,X,X,X,X
IJLZTSO,O,X,X,X,O,O,X
IJLZTOS,O,X,X,X,O,O,X
IJLZSTO,O,X,X,X,O,O,X
IJLZSOT,O,X,X,X,O,O,X
IJLZOTS,O,X,X,X,O,O,X
IJLZOST,O,X,X,X,O,O,X
IJLOTSZ,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,O,O,X
IJLOSTZ,X,X,O,X,O,X,X
IJLOSZT,X,X,O,X,X,X,X
IJLOZTS,X,X,X,X,O,O,X
IJLOZST,X,X,X,X,O,O,X
IJSTLZO,X,X,O,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X
IJSTZLO,X,X,O,X,X,X,X
IJSTZOL,X,X,O,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X
IJSTOZL,X,X,O,X,X,X,X
IJSLTZO,X,X,O,X,X,X,X
IJSLTOZ,X,X,O,X,O,X,X
IJSLZTO,O,X,O,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X
IJSLOTZ,X,X,O,X,O,X,X
IJSLOZT,X,X,O,X,X,X,X
IJSZTLO,O,X,O,X,X,X,X
IJSZTOL,O,X,O,X,X,X,X
IJSZLTO,O,X,O,X,O,X,X
IJSZLOT,O,X,O,X,O,X,X
IJSZOTL,O,X,X,X,X,X,X
IJSZOLT,O,X,O,X,O,X,X
IJSOTLZ,X,X,O,X,X,X,X
IJSOTZL,X,X,O,X,X,X,X
IJSOLTZ,X,X,O,X,O,X,X
IJSOLZT,O,X,O,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X
IJSOZLT,O,X,O,X,O,X,X
IJZTLSO,O,X,X,X,O,O,X
IJZTLOS,O,X,X,X,O,O,X
IJZTSLO,X,X,O,X,X,O,X
IJZTSOL,X,X,O,X,X,O,X
IJZTOLS,O,X,X,X,O,O,X
IJZTOSL,X,X,O,X,X,O,X
IJZLTSO,O,X,X,X,O,O,X
IJZLTOS,O,X,X,X,O,O,X
IJZLSTO,O,X,X,X,O,O,X
IJZLSOT,O,X,X,X,O,O,X
IJZLOTS,O,X,X,X,O,O,X
IJZLOST,O,X,X,X,O,O,X
IJZSTLO,X,X,O,X,X,O,X
IJZSTOL,X,X,O,X,X,O,X
IJZSLTO,O,X,O,X,O,O,X
IJZSLOT,O,X,O,X,O,O,X
IJZSOTL,X,X,X,X,X,O,X
IJZSOLT,O,X,O,X,O,O,X
IJZOTLS,O,X,X,X,O,O,X
IJZOTSL,X,X,X,X,X,O,X
IJZOLTS,O,X,X,X,O,O,X
IJZOLST,O,X,X,X,O,O,X
IJZOSTL,X,X,X,X,X,O,X
IJZOSLT,O,X,O,X,O,O,X
IJOTLSZ,X,X,O,X,O,X,X
IJOTLZS,O,X,X,X,O,O,X
IJOTSLZ,X,X,O,X,X,X,X
IJOTSZL,X,X,O,X,X,X,X
IJOTZLS,O,X,X,X,O,O,X
IJOTZSL,O,X,O,X,X,O,X
IJOLTSZ,X,X,X,X,O,X,X
IJOLTZS,O,X,X,X,O,O,X
IJOLSTZ,X,X,O,X,O,X,X
IJOLSZT,O,X,O,X,X,X,X
IJOLZTS,O,X,X,X,O,O,X
IJOLZST,O,X,X,X,O,O,X
IJOSTLZ,X,X,O,X,X,X,X
IJOSTZL,X,X,O,X,X,X,X
IJOSLTZ,X,X,O,X,O,X,X
IJOSLZT,O,X,O,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X
IJOSZLT,O,X,O,X,O,X,X
IJOZTLS,O,X,X,X,O,O,X
IJOZTSL,X,X,X,X,X,O,X
IJOZLTS,O,X,X,X,O,O,X
IJOZLST,O,X,X,X,O,O,X
IJOZSTL,X,X,X,X,X,O,X
IJOZSLT,O,X,O,X,O,O,X
ISTLJZO,O,O,O,X,X,X,X
ISTLJOZ,X,X,O,X,X,X,X
ISTLZJO,O,O,O,X,X,O,X
ISTLZOJ,O,O,X,X,X,O,X
ISTLOJZ,O,O,O,X,X,X,X
ISTLOZJ,O,O,X,X,X,O,X
ISTJLZO,O,O,O,X,X,X,X
ISTJLOZ,X,X,O,X,X,X,X
ISTJZLO,O,X,O,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X
ISTJOLZ,O,X,O,X,X,X,X
ISTJOZL,O,X,O,X,X,X,X
ISTZLJO,O,O,O,X,X,O,X
ISTZLOJ,O,O,X,X,X,O,X
ISTZJLO,O,O,O,X,X,O,X
ISTZJOL,O,X,O,X,X,O,X
ISTZOLJ,O,X,X,X,X,O,X
ISTZOJL,O,X,X,X,X,O,X
ISTOLJZ,O,O,O,X,X,X,X
ISTOLZJ,O,O,X,X,X,O,X
ISTOJLZ,O,O,O,X,X,X,X
ISTOJZL,O,X,O,X,X,X,X
ISTOZLJ,O,O,X,X,X,O,X
ISTOZJL,O,X,X,X,X,O,X
ISLTJZO,O,O,O,X,X,X,X
ISLTJOZ,X,X,O,X,O,X,X
ISLTZJO,O,O,O,X,X,O,X
ISLTZOJ,O,O,X,X,X,O,X
ISLTOJZ,X,O,O,X,X,X,X
ISLTOZJ,O,O,X,X,X,O,X
ISLJTZO,X,O,O,X,X,X,X
ISLJTOZ,X,X,O,X,O,X,X
ISLJZTO,O,O,O,X,X,X,X
ISLJZOT,O,O,O,X,X,X,X
ISLJOTZ,X,X,O,X,O,X,X
ISLJOZT,X,X,O,X,X,X,X
ISLZTJO,O,O,O,X,X,O,X
ISLZTOJ,O,O,X,X,X,O,O
ISLZJTO,O,O,O,X,X,O,X
ISLZJOT,O,O,O,X,X,O,X
ISLZOTJ,O,O,X,X,X,O,O
ISLZOJT,O,O,X,X,X,O,O
ISLOTJZ,X,O,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,O,O
ISLOJTZ,X,O,O,X,X,X,X
ISLOJZT,O,O,O,X,X,X,O
ISLOZTJ,O,O,X,X,X,O,O
ISLOZJT,O,O,X,X,X,O,O
ISJTLZO,X,O,O,X,X,X,X
ISJTLOZ,X,X,O,X,X,X,X
ISJTZLO,X,X,O,X,X,X,X
ISJTZOL,X,X,O,X,X,X,X
ISJTOLZ,X,X,O,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X
ISJLTZO,X,O,O,X,X,X,X
ISJLTOZ,X,X,O,X,O,X,X
ISJLZTO,O,O,O,X,X,X,X
ISJLZOT,O,O,O,X,X,X,X
ISJLOTZ,X,X,O,X,O,X,X
ISJLOZT,X,X,O,X,X,X,X
ISJZTLO,O,O,O,X,X,X,X
ISJZTOL,O,X,O,X,X,X,X
ISJZLTO,O,O,O,X,O,X,X
ISJZLOT,O,O,O,X,O,X,X
ISJZOTL,O,X,X,X,X,X,X
ISJZOLT,O,O,O,X,O,X,X
ISJOTLZ,X,X,O,X,X,X,X
ISJOTZL,X,X,O,X,X,X,X
ISJOLTZ,X,X,O,X,O,X,X
ISJOLZT,O,X,O,X,X,X,X
ISJOZTL,O,X,X,X,X,X,X
ISJOZLT,O,X,O,X,O,X,X
ISZTLJO,O,O,O,X,X,O,X
ISZTLOJ,O,O,X,X,X,O,O
ISZTJLO,O,O,O,X,X,O,X
ISZTJOL,O,X,O,X,X,O,X
ISZTOLJ,O,X,X,X,X,O,O
ISZTOJL,O,X,X,X,X,O,O
ISZLTJO,O,O,O,X,O,O,X
ISZLTOJ,O,O,X,X,X,O,O
ISZLJTO,O,O,O,X,O,O,X
ISZLJOT,O,O,O,X,O,O,X
ISZLOTJ,O,O,X,X,X,O,O
ISZLOJT,O,O,X,X,X,O,O
ISZJTLO,O,O,O,X,X,O,X
ISZJTOL,O,X,O,X,X,O,X
ISZJLTO,O,O,O,X,O,O,X
ISZJLOT,O,O,O,X,O,O,X
ISZJOTL,O,O,X,X,X,O,X
ISZJOLT,O,O,O,X,O,O,X
ISZOTLJ,O,O,X,X,X,O,O
ISZOTJL,O,O,X,X,X,O,O
ISZOLTJ,O,O,X,X,X,O,O
ISZOLJT,O,O,X,X,X,O,O
ISZOJTL,O,O,X,X,X,O,O
ISZOJLT,O,O,X,X,X,O,O
ISOTLJZ,O,O,O,X,X,X,X
ISOTLZJ,O,O,X,X,X,O,O
ISOTJLZ,O,O,O,X,X,X,X
ISOTJZL,O,X,O,X,X,X,X
ISOTZLJ,O,O,X,X,X,O,O
ISOTZJL,O,O,X,X,X,O,O
ISOLTJZ,O,O,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,O,O
ISOLJTZ,X,O,O,X,X,X,X
ISOLJZT,O,O,O,X,X,X,O
ISOLZTJ,O,O,X,X,X,O,O
ISOLZJT,O,O,X,X,X,O,O
ISOJTLZ,X,O,O,X,X,X,X
ISOJTZL,X,X,O,X,X,X,X
ISOJLTZ,X,O,O,X,X,X,X
ISOJLZT,O,O,O,X,X,X,O
ISOJZTL,O,O,X,X,X,X,O
ISOJZLT,O,O,O,X,X,X,O
ISOZTLJ,O,O,X,X,X,O,O
ISOZTJL,O,O,X,X,X,O,O
ISOZLTJ,O,O,X,X,X,O,O
ISOZLJT,O,O,X,X,X,O,O
ISOZJTL,O,O,X,X,X,O,O
ISOZJLT,O,O,X,X,X,O,O
IZTLJSO,O,X,X,X,O,O,X
IZTLJOS,O,X,X,X,O,O,X
IZTLSJO,O,X,X,X,O,O,X
IZTLSOJ,X,X,X,O,X,O,X
IZTLOJS,O,X,X,O,O,O,X
IZTLOSJ,O,X,X,O,X,O,X
IZTJLSO,O,X,X,X,O,O,X
IZTJLOS,O,X,X,X,O,O,X
IZTJSLO,O,X,O,X,X,O,X
IZTJSOL,O,X,O,X,X,O,X
IZTJOLS,O,X,X,X,O,O,X
IZTJOSL,O,X,O,X,X,O,X
IZTSLJO,O,X,O,X,X,O,X
IZTSLOJ,X,X,X,X,X,O,O
