sequence,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFlgBanBziB5?oBXmB2vB,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFXhBmiB5oBF?nBTlByvB,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFXhBxiBFnB6?tBmqBTqB,v115@HhA8IeB8CeA8AeB8AeB8CeD8Ke0/IvhFXhBxiBFnB6?tBOqBzqB
TSOILJZ,O,O,X,O
TSOILZJ,O,O,X,O
TSOIJLZ,O,O,X,X
TSOIJZL,O,O,X,X
TSOIZLJ,O,X,X,O
TSOIZJL,O,O,X,X
TSOLIJZ,O,O,O,O
TSOLIZJ,O,O,O,O
TSOLJIZ,O,O,O,O
TSOLJZI,O,O,O,O
TSOLZIJ,O,O,O,O
TSOLZJI,O,O,O,O
TSOJILZ,O,O,X,X
TSOJIZL,O,O,X,X
TSOJLIZ,O,O,O,O
TSOJLZI,O,O,O,O
TSOJZIL,O,O,X,X
TSOJZLI,O,X,O,O
TSOZILJ,O,X,X,O
TSOZIJL,O,O,X,X
TSOZLIJ,O,X,O,O
TSOZLJI,O,X,O,O
TSOZJIL,O,O,X,X
TSOZJLI,O,X,X,O
TZILJSO,O,O,O,O
TZILJOS,O,O,O,O
TZILSJO,O,O,O,O
TZILSOJ,O,O,O,O
TZILOJS,O,O,O,O
TZILOSJ,O,O,O,O
TZIJLSO,O,O,O,X
TZIJLOS,O,O,O,X
TZIJSLO,O,O,O,X
TZIJSOL,O,O,X,X
TZIJOLS,O,O,X,X
TZIJOSL,O,O,X,X
TZISLJO,O,O,O,O
TZISLOJ,O,O,O,O
TZISJLO,O,O,X,X
TZISJOL,O,O,X,X
TZISOLJ,O,X,X,X
TZISOJL,O,O,X,X
TZIOLJS,O,O,X,O
TZIOLSJ,O,O,X,O
TZIOJLS,O,O,X,X
TZIOJSL,O,O,X,X
TZIOSLJ,O,X,X,O
TZIOSJL,O,O,X,X
TZLIJSO,O,O,O,O
TZLIJOS,O,O,O,O
TZLISJO,O,O,O,O
TZLISOJ,O,O,O,O
TZLIOJS,O,O,O,O
TZLIOSJ,O,O,O,O
TZLJISO,O,O,O,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,O,O
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,O,O,O
TZLSIOJ,O,O,O,O
TZLSJIO,O,O,O,O
TZLSJOI,O,O,O,O
TZLSOIJ,O,O,O,O
TZLSOJI,O,O,O,O
TZLOIJS,O,O,O,O
TZLOISJ,O,O,O,O
TZLOJIS,O,O,O,O
TZLOJSI,O,O,O,O
TZLOSIJ,O,O,O,O
TZLOSJI,O,O,O,O
TZJILSO,O,O,O,X
TZJILOS,O,O,O,X
TZJISLO,O,O,O,X
TZJISOL,O,O,X,X
TZJIOLS,O,O,X,X
TZJIOSL,O,O,X,X
TZJLISO,O,O,O,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,O,O
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,O,O,X
TZJSIOL,O,O,X,X
TZJSLIO,O,O,O,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,X,X
TZJSOLI,O,X,O,X
TZJOILS,O,O,X,X
TZJOISL,O,O,X,X
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,O,O,X,X
TZJOSLI,O,X,O,O
TZSILJO,O,O,O,O
TZSILOJ,O,O,O,O
TZSIJLO,O,O,X,X
TZSIJOL,O,O,X,X
TZSIOLJ,O,X,X,X
TZSIOJL,O,O,X,X
TZSLIJO,O,O,O,O
TZSLIOJ,O,O,O,O
TZSLJIO,O,O,O,O
TZSLJOI,O,O,O,O
TZSLOIJ,O,O,O,O
TZSLOJI,O,O,O,O
TZSJILO,O,O,O,X
TZSJIOL,O,O,X,X
TZSJLIO,O,O,O,O
TZSJLOI,O,O,O,O
TZSJOIL,O,O,X,X
TZSJOLI,O,X,O,X
TZSOILJ,O,X,X,O
TZSOIJL,O,O,X,X
TZSOLIJ,O,X,O,O
TZSOLJI,O,X,O,O
TZSOJIL,O,O,X,X
TZSOJLI,O,X,X,O
TZOILJS,O,O,X,O
TZOILSJ,O,O,X,O
TZOIJLS,O,O,X,X
TZOIJSL,O,O,X,X
TZOISLJ,O,X,X,O
TZOISJL,O,O,X,X
TZOLIJS,O,O,O,O
TZOLISJ,O,O,O,O
TZOLJIS,O,O,O,O
TZOLJSI,O,O,O,O
TZOLSIJ,O,O,O,O
TZOLSJI,O,O,O,O
TZOJILS,O,O,X,X
TZOJISL,O,O,X,X
TZOJLIS,O,O,O,O
TZOJLSI,O,O,O,O
TZOJSIL,O,O,X,X
TZOJSLI,O,X,O,O
TZOSILJ,O,X,X,O
TZOSIJL,O,O,X,X
TZOSLIJ,O,X,O,O
TZOSLJI,O,X,O,O
TZOSJIL,O,O,X,X
TZOSJLI,O,X,X,O
TOILJSZ,O,O,X,O
TOILJZS,O,O,X,O
TOILSJZ,O,O,X,O
TOILSZJ,O,O,X,O
TOILZJS,O,O,X,O
TOILZSJ,O,O,X,O
TOIJLSZ,O,O,X,X
TOIJLZS,O,O,X,X
TOIJSLZ,O,O,X,X
TOIJSZL,O,O,X,X
TOIJZLS,O,O,X,X
TOIJZSL,O,O,X,X
TOISLJZ,O,O,X,O
TOISLZJ,O,O,X,O
TOISJLZ,O,O,X,X
TOISJZL,O,O,X,X
TOISZLJ,O,X,X,O
TOISZJL,O,O,X,X
TOIZLJS,O,O,X,O
TOIZLSJ,O,O,X,O
TOIZJLS,O,O,X,X
TOIZJSL,O,O,X,X
TOIZSLJ,O,X,X,O
TOIZSJL,O,O,X,X
TOLIJSZ,O,O,O,O
TOLIJZS,O,O,O,O
TOLISJZ,O,O,O,O
TOLISZJ,O,O,O,O
TOLIZJS,O,O,O,O
TOLIZSJ,O,O,O,O
TOLJISZ,O,O,O,O
TOLJIZS,O,O,O,O
TOLJSIZ,O,O,O,O
TOLJSZI,O,O,O,O
TOLJZIS,O,O,O,O
TOLJZSI,O,O,O,O
TOLSIJZ,O,O,O,O
TOLSIZJ,O,O,O,O
TOLSJIZ,O,O,O,O
TOLSJZI,O,O,O,O
TOLSZIJ,O,O,O,O
TOLSZJI,O,O,O,O
TOLZIJS,O,O,O,O
TOLZISJ,O,O,O,O
TOLZJIS,O,O,O,O
TOLZJSI,O,O,O,O
TOLZSIJ,O,O,O,O
TOLZSJI,O,O,O,O
TOJILSZ,O,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,O,O,X,X
TOJISZL,O,O,X,X
TOJIZLS,O,O,X,X
TOJIZSL,O,O,X,X
TOJLISZ,O,O,O,O
TOJLIZS,O,O,O,O
TOJLSIZ,O,O,O,O
TOJLSZI,O,O,O,O
TOJLZIS,O,O,O,O
TOJLZSI,O,O,O,O
TOJSILZ,O,O,X,X
TOJSIZL,O,O,X,X
TOJSLIZ,O,O,O,O
TOJSLZI,O,O,O,O
TOJSZIL,O,O,X,X
TOJSZLI,O,X,O,O
TOJZILS,O,O,X,X
TOJZISL,O,O,X,X
TOJZLIS,O,O,O,O
TOJZLSI,O,O,O,O
TOJZSIL,O,O,X,X
TOJZSLI,O,X,O,O
TOSILJZ,O,O,X,O
TOSILZJ,O,O,X,O
TOSIJLZ,O,O,X,X
TOSIJZL,O,O,X,X
TOSIZLJ,O,X,X,O
TOSIZJL,O,O,X,X
TOSLIJZ,O,O,O,O
TOSLIZJ,O,O,O,O
TOSLJIZ,O,O,O,O
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,O,O
TOSLZJI,O,O,O,O
TOSJILZ,O,O,X,X
TOSJIZL,O,O,X,X
TOSJLIZ,O,O,O,O
TOSJLZI,O,O,O,O
TOSJZIL,O,O,X,X
TOSJZLI,O,X,O,O
TOSZILJ,O,X,X,O
TOSZIJL,O,O,X,X
TOSZLIJ,O,X,O,O
TOSZLJI,O,X,O,O
TOSZJIL,O,O,X,X
TOSZJLI,O,X,X,O
TOZILJS,O,O,X,O
TOZILSJ,O,O,X,O
TOZIJLS,O,O,X,X
TOZIJSL,O,O,X,X
TOZISLJ,O,X,X,O
TOZISJL,O,O,X,X
TOZLIJS,O,O,O,O
TOZLISJ,O,O,O,O
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,O
TOZLSIJ,O,O,O,O
TOZLSJI,O,O,O,O
TOZJILS,O,O,X,X
TOZJISL,O,O,X,X
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,O
TOZJSIL,O,O,X,X
TOZJSLI,O,X,O,O
TOZSILJ,O,X,X,O
TOZSIJL,O,O,X,X
TOZSLIJ,O,X,O,O
TOZSLJI,O,X,O,O
TOZSJIL,O,O,X,X
TOZSJLI,O,X,X,O
ITLJSZO,O,O,O,O
ITLJSOZ,O,O,O,X
ITLJZSO,O,O,O,O
ITLJZOS,O,O,O,O
ITLJOSZ,O,O,O,O
ITLJOZS,O,O,O,O
ITLSJZO,O,O,O,O
ITLSJOZ,O,O,O,X
ITLSZJO,O,O,O,O
ITLSZOJ,O,O,O,O
ITLSOJZ,O,O,O,O
ITLSOZJ,O,O,O,O
ITLZJSO,O,O,O,O
ITLZJOS,O,O,O,O
ITLZSJO,O,O,O,O
ITLZSOJ,O,O,O,O
ITLZOJS,O,O,O,O
ITLZOSJ,O,O,O,O
ITLOJSZ,O,O,O,O
ITLOJZS,O,O,O,O
ITLOSJZ,O,O,O,O
ITLOSZJ,O,O,O,O
ITLOZJS,O,O,O,O
ITLOZSJ,O,O,O,O
ITJLSZO,O,O,O,X
ITJLSOZ,O,O,O,X
ITJLZSO,O,O,O,X
ITJLZOS,O,O,O,X
ITJLOSZ,O,O,O,X
ITJLOZS,O,O,O,X
ITJSLZO,O,O,O,X
ITJSLOZ,O,O,O,X
ITJSZLO,O,O,O,X
ITJSZOL,O,O,X,X
ITJSOLZ,O,O,X,X
ITJSOZL,O,O,X,X
ITJZLSO,O,O,O,X
ITJZLOS,O,O,O,X
ITJZSLO,O,O,O,X
ITJZSOL,O,O,X,X
ITJZOLS,O,O,X,X
ITJZOSL,O,O,X,X
ITJOLSZ,O,O,X,X
ITJOLZS,O,O,X,X
ITJOSLZ,O,O,X,X
ITJOSZL,O,O,X,X
ITJOZLS,O,O,X,X
ITJOZSL,O,O,X,X
ITSLJZO,O,O,O,O
ITSLJOZ,O,O,O,X
ITSLZJO,O,O,O,O
ITSLZOJ,O,O,O,O
ITSLOJZ,O,O,O,X
ITSLOZJ,O,O,O,O
ITSJLZO,O,O,O,X
ITSJLOZ,O,O,O,X
ITSJZLO,O,O,O,X
ITSJZOL,O,O,X,X
ITSJOLZ,O,O,X,X
ITSJOZL,O,O,X,X
ITSZLJO,O,O,O,O
ITSZLOJ,O,O,O,O
ITSZJLO,O,O,X,X
ITSZJOL,O,O,X,X
ITSZOLJ,O,X,X,X
ITSZOJL,O,O,X,X
ITSOLJZ,O,O,X,X
ITSOLZJ,O,O,X,X
ITSOJLZ,O,O,X,X
ITSOJZL,O,O,X,X
ITSOZLJ,O,X,X,X
ITSOZJL,O,O,X,X
ITZLJSO,O,O,O,O
ITZLJOS,O,O,O,O
ITZLSJO,O,O,O,O
ITZLSOJ,O,O,O,O
ITZLOJS,O,O,O,O
ITZLOSJ,O,O,O,O
ITZJLSO,O,O,O,X
ITZJLOS,O,O,O,X
ITZJSLO,O,O,O,X
ITZJSOL,O,O,X,X
ITZJOLS,O,O,X,X
ITZJOSL,O,O,X,X
ITZSLJO,O,O,O,O
ITZSLOJ,O,O,O,O
ITZSJLO,O,O,X,X
ITZSJOL,O,O,X,X
ITZSOLJ,O,X,X,X
ITZSOJL,O,O,X,X
ITZOLJS,O,O,X,O
ITZOLSJ,O,O,X,O
ITZOJLS,O,O,X,X
