sequence,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhF0hB6nBTjB3?lBlrBOqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeuEJvhF6nBTjBxlB8?rBFmBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFigBTjBcqB/?rBGsBFsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFxgBSoBXmB8?rBlnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFAJvhFXhB+nBTjBq?pBxqB8rB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFSnBTjBOqB/?rBlqBUsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBllBRnB/?rBUnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFThBSoB8rBl?nBRqBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBxlBlnBX?mB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFBJvhFGjBClB3nBx?qB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je1FJvhFRiBSoBWqBU?nB/rBzpB
ILJTOZS,O,X,X,X,O,X,X,X,X,X,X
ILJSTZO,X,X,X,X,O,X,X,X,X,O,X
ILJSTOZ,X,X,X,X,O,O,X,X,X,X,X
ILJSZTO,X,X,X,X,O,X,X,X,X,O,X
ILJSZOT,X,X,X,X,O,O,X,O,X,O,X
ILJSOTZ,X,X,X,X,O,O,X,X,X,X,X
ILJSOZT,X,X,X,X,O,O,X,X,X,O,X
ILJZTSO,X,X,X,X,O,X,X,X,X,X,O
ILJZTOS,X,X,X,X,O,X,X,O,X,X,X
ILJZSTO,X,X,X,X,O,X,X,X,X,O,X
ILJZSOT,X,X,X,X,O,X,X,O,X,O,X
ILJZOTS,X,X,X,X,O,X,X,O,X,X,X
ILJZOST,X,X,X,X,O,X,X,O,X,X,X
ILJOTSZ,O,X,X,X,O,X,O,X,X,X,X
ILJOTZS,O,X,X,X,O,X,O,X,X,X,X
ILJOSTZ,X,X,X,X,O,O,X,X,X,X,X
ILJOSZT,X,X,X,X,O,O,X,X,X,O,X
ILJOZTS,X,X,X,X,O,X,X,O,X,X,X
ILJOZST,X,X,X,X,O,X,X,O,X,X,X
ILSTJZO,O,X,X,X,O,X,X,X,X,O,X
ILSTJOZ,O,X,X,X,O,O,X,X,X,X,X
ILSTZJO,O,X,X,X,X,X,X,X,X,O,X
ILSTZOJ,O,X,X,X,X,X,X,X,X,O,X
ILSTOJZ,O,X,X,X,O,O,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,O,X,X,X,X,O,X
ILSJTOZ,X,X,X,X,O,O,X,X,X,X,X
ILSJZTO,X,O,O,X,O,X,X,X,X,O,X
ILSJZOT,X,O,O,X,O,O,X,O,X,O,X
ILSJOTZ,X,X,X,X,O,O,X,X,X,X,X
ILSJOZT,X,O,O,X,O,O,X,X,X,O,X
ILSZTJO,X,O,O,X,X,X,X,X,X,O,X
ILSZTOJ,X,O,O,X,X,X,X,X,X,O,X
ILSZJTO,X,O,O,X,X,X,X,X,X,O,X
ILSZJOT,X,O,O,X,X,O,X,O,X,O,X
ILSZOTJ,X,O,O,X,X,X,X,X,X,O,X
ILSZOJT,X,O,O,X,X,O,X,O,X,O,X
ILSOTJZ,O,X,X,X,O,O,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,X,X,X,X
ILSOJTZ,X,X,X,X,O,O,X,X,X,X,X
ILSOJZT,X,O,O,X,O,O,X,X,X,O,X
ILSOZTJ,X,O,O,X,X,X,X,X,X,O,X
ILSOZJT,X,O,O,X,X,O,X,X,X,O,X
ILZTJSO,O,X,X,X,O,X,X,X,X,X,X
ILZTJOS,O,O,X,X,O,X,X,O,X,X,X
ILZTSJO,O,X,O,X,X,X,X,X,X,X,X
ILZTSOJ,O,X,O,X,X,X,X,X,X,X,X
ILZTOJS,O,O,X,X,O,X,X,O,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X,X,X,X
ILZJTSO,X,X,X,X,O,X,X,X,X,X,O
ILZJTOS,X,O,X,X,O,X,X,O,X,X,X
ILZJSTO,X,X,O,X,O,X,X,X,X,O,X
ILZJSOT,X,O,O,X,O,X,X,O,X,O,X
ILZJOTS,X,O,X,X,O,X,X,O,X,X,X
ILZJOST,X,O,O,X,O,X,X,O,X,X,X
ILZSTJO,X,O,O,O,X,X,X,X,X,O,X
ILZSTOJ,X,O,O,X,X,X,X,X,X,O,X
ILZSJTO,X,O,O,O,X,X,X,X,X,O,X
ILZSJOT,X,O,O,O,X,X,X,O,X,O,X
ILZSOTJ,X,O,O,O,X,X,X,X,X,O,X
ILZSOJT,X,O,O,O,X,X,X,O,X,O,X
ILZOTJS,O,O,X,X,O,X,X,O,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,X,X,X,X
ILZOJTS,X,O,X,X,O,X,X,O,X,X,X
ILZOJST,X,O,O,O,O,X,X,O,X,X,X
ILZOSTJ,X,O,O,O,X,X,X,X,X,X,X
ILZOSJT,X,O,O,O,X,X,X,O,X,X,X
ILOTJSZ,O,X,X,X,O,X,O,X,X,X,X
ILOTJZS,O,X,X,X,O,X,O,X,X,X,X
ILOTSJZ,O,X,X,X,O,X,O,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X,X,X,X,X
ILOTZJS,O,X,X,X,O,X,O,X,X,X,X
ILOTZSJ,O,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,O,X,X,X,O,X,O,X,X,X,X
ILOJTZS,O,X,X,X,O,X,O,X,X,X,X
ILOJSTZ,X,X,X,X,O,O,X,X,X,X,X
ILOJSZT,X,X,X,X,O,O,X,X,X,O,X
ILOJZTS,X,X,X,X,O,X,X,O,X,X,X
ILOJZST,X,X,X,O,O,X,X,O,X,X,X
ILOSTJZ,O,X,X,X,O,O,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,O,O,X,X,X,X,X
ILOSJZT,X,O,O,X,O,O,X,X,X,O,X
ILOSZTJ,X,O,O,X,X,X,X,X,X,O,X
ILOSZJT,X,O,O,X,X,O,X,X,X,O,X
ILOZTJS,O,O,X,X,O,X,X,O,X,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,X,X,X
ILOZJTS,X,O,X,X,O,X,X,O,X,X,X
ILOZJST,X,O,O,O,O,X,X,O,X,X,X
ILOZSTJ,X,O,O,O,X,X,X,X,X,X,X
ILOZSJT,X,O,O,O,X,X,X,O,X,X,X
IJTLSZO,O,X,X,X,X,X,O,X,X,O,X
IJTLSOZ,O,X,X,X,X,X,O,X,X,X,X
IJTLZSO,O,X,X,X,X,X,O,X,X,X,O
IJTLZOS,O,X,X,X,X,X,X,O,X,X,X
IJTLOSZ,O,X,X,X,X,X,O,X,X,X,X
IJTLOZS,O,X,X,X,X,X,X,X,X,X,X
IJTSLZO,O,X,X,X,X,X,O,X,X,O,X
IJTSLOZ,O,X,X,X,X,O,O,X,X,X,X
IJTSZLO,O,X,X,X,X,X,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,O,X,X,X,X,X
IJTSOZL,O,X,X,X,X,X,X,X,X,X,X
IJTZLSO,O,X,X,X,X,X,O,X,X,X,O
IJTZLOS,O,X,X,X,X,X,X,O,X,X,X
IJTZSLO,O,X,X,X,X,X,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X,X,X,X,X,X
IJTZOLS,O,X,X,X,X,X,X,O,X,X,X
IJTZOSL,O,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,O,X,O,X,X
IJTOLZS,O,X,X,X,X,X,O,X,O,X,X
IJTOSLZ,O,X,X,X,X,O,O,X,O,X,X
IJTOSZL,O,X,X,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,X,O,X,O,X,X
IJTOZSL,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,X,X,X,O,X,O,X,X,O,X
IJLTSOZ,O,X,X,X,O,X,O,X,X,X,X
IJLTZSO,O,X,X,X,O,X,O,X,X,X,O
IJLTZOS,O,X,X,X,O,X,X,O,X,X,X
IJLTOSZ,O,X,X,X,O,X,O,X,X,X,X
IJLTOZS,O,X,X,X,O,X,X,X,X,X,X
IJLSTZO,X,X,X,X,O,X,X,X,X,O,X
IJLSTOZ,X,X,X,X,O,O,X,X,X,X,X
IJLSZTO,X,X,X,X,O,X,X,X,X,O,X
IJLSZOT,X,X,X,X,O,O,X,O,X,O,X
IJLSOTZ,X,X,X,X,O,O,X,X,X,X,X
IJLSOZT,X,X,X,X,O,O,X,X,X,O,X
IJLZTSO,X,X,X,X,O,X,X,X,X,X,O
IJLZTOS,X,X,X,X,O,X,X,O,X,X,X
IJLZSTO,X,X,X,X,O,X,X,X,X,O,X
IJLZSOT,X,X,X,X,O,X,X,O,X,O,X
IJLZOTS,X,X,X,X,O,X,X,O,X,X,X
IJLZOST,X,X,X,X,O,X,X,O,X,X,X
IJLOTSZ,O,X,X,X,O,X,O,X,X,X,X
IJLOTZS,O,X,X,X,O,X,O,X,X,X,X
IJLOSTZ,X,X,X,X,O,O,X,X,X,X,X
IJLOSZT,X,X,X,X,O,O,X,X,X,O,X
IJLOZTS,X,X,X,X,O,X,X,O,X,X,X
IJLOZST,X,X,X,X,O,X,X,O,X,X,X
IJSTLZO,O,X,X,X,X,X,O,X,X,O,X
IJSTLOZ,O,X,X,X,X,O,O,X,X,X,X
IJSTZLO,O,X,O,X,X,X,X,X,X,X,X
IJSTZOL,O,X,O,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,O,X,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,X,X,X,O,X
IJSLTOZ,X,X,X,X,X,O,X,X,X,X,X
IJSLZTO,X,X,O,X,X,X,X,X,X,O,X
IJSLZOT,X,X,O,X,X,O,X,O,X,O,X
IJSLOTZ,X,X,X,X,X,O,X,X,X,X,X
IJSLOZT,X,X,O,X,X,O,X,X,X,O,X
IJSZTLO,X,X,O,X,X,X,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,X,X,X,X,X
IJSZLTO,X,X,O,X,X,X,X,X,X,O,X
IJSZLOT,X,X,O,X,X,O,X,O,X,O,X
IJSZOTL,X,X,O,X,X,X,X,X,X,X,X
IJSZOLT,X,X,O,X,X,O,X,O,X,X,X
IJSOTLZ,O,X,X,X,X,O,O,X,X,X,X
IJSOTZL,O,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,O,X,X,X,X,X
IJSOLZT,X,X,O,X,X,O,X,X,X,O,X
IJSOZTL,X,X,O,X,X,X,X,X,X,X,X
IJSOZLT,X,X,O,X,X,O,X,X,X,X,X
IJZTLSO,X,X,X,X,X,X,O,X,X,X,O
IJZTLOS,X,X,X,X,X,X,X,O,X,X,X
IJZTSLO,X,X,X,X,X,X,X,X,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X,X,X,X
IJZTOLS,X,X,X,X,X,X,X,O,X,X,X
IJZTOSL,X,X,X,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,X,X,X,X,X,O
IJZLTOS,X,X,X,X,X,X,X,O,X,X,X
IJZLSTO,X,X,O,X,X,X,X,X,X,O,X
IJZLSOT,X,X,O,X,X,X,X,O,X,O,X
IJZLOTS,X,X,X,X,X,X,X,O,X,X,X
IJZLOST,X,X,O,X,X,X,X,O,X,X,X
IJZSTLO,X,X,O,X,X,X,X,X,X,X,X
IJZSTOL,X,X,O,X,X,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X,X,X,X,O,X
IJZSLOT,X,X,O,X,X,O,X,O,X,O,X
IJZSOTL,X,X,O,X,X,X,X,X,X,X,X
IJZSOLT,X,X,O,X,X,O,X,O,X,X,X
IJZOTLS,X,X,X,X,X,X,O,O,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X,X,X,X
IJZOLTS,X,X,X,X,X,X,X,O,X,X,X
IJZOLST,X,X,O,X,X,X,X,O,X,X,X
IJZOSTL,X,X,O,X,X,X,X,X,X,X,X
IJZOSLT,X,X,O,X,X,O,X,O,X,X,X
IJOTLSZ,O,X,X,X,X,X,O,X,O,X,X
IJOTLZS,O,X,X,X,X,X,O,X,O,X,X
IJOTSLZ,O,X,X,X,X,O,O,X,O,X,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,X,X,X,X,X,O,X,O,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,O,X,O,X,O,X,X
IJOLTZS,O,X,X,X,O,X,O,X,O,X,X
IJOLSTZ,X,X,X,X,O,O,X,X,X,X,X
IJOLSZT,X,X,X,X,O,O,X,X,X,O,X
IJOLZTS,X,X,X,X,O,X,X,O,X,X,X
IJOLZST,X,X,X,X,O,X,X,O,X,X,X
IJOSTLZ,O,X,X,X,X,O,O,X,X,X,X
IJOSTZL,O,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,O,X,X,X,X,X
IJOSLZT,X,X,O,X,X,O,X,X,X,O,X
IJOSZTL,X,X,O,X,X,X,X,X,X,X,X
IJOSZLT,X,X,O,X,X,O,X,X,X,X,X
IJOZTLS,X,X,X,X,X,X,O,O,X,X,X
IJOZTSL,X,X,X,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,O,X,X,X
IJOZLST,X,X,O,X,X,X,X,O,X,X,X
IJOZSTL,X,X,O,X,X,X,X,X,X,X,X
IJOZSLT,X,X,O,X,X,O,X,O,X,X,X
ISTLJZO,O,X,X,X,X,X,O,X,X,O,X
ISTLJOZ,O,X,X,X,X,O,O,X,X,X,X
ISTLZJO,O,X,X,X,X,X,X,X,X,O,X
ISTLZOJ,O,X,X,X,X,X,X,X,X,O,X
ISTLOJZ,O,X,X,X,X,O,X,X,X,X,X
ISTLOZJ,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,X,X,X,X,X,O,X,X,O,X
ISTJLOZ,O,X,X,X,X,O,O,X,X,X,X
ISTJZLO,O,X,O,X,X,X,X,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,X,X,O,X,X,X,X,X
ISTJOZL,O,X,O,X,X,X,X,X,X,X,X
ISTZLJO,O,X,O,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X,X,X,X
ISTZJLO,O,X,O,X,X,X,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,X,O,X,X,X,X,X,X,X,X
ISTZOJL,O,X,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,X,X,O,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,X,X,O,X,X,X,X,X
ISTOJZL,O,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,O,X,X,X,X,X,X,X,X
ISTOZJL,O,X,O,X,X,X,X,X,X,X,X
ISLTJZO,O,X,X,X,X,X,X,X,X,O,X
ISLTJOZ,O,X,X,X,X,O,X,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,X,X,O,X
ISLTZOJ,O,X,X,X,X,X,X,X,X,O,X
ISLTOJZ,O,X,X,X,X,O,X,X,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X,X,X,O,X
ISLJTOZ,X,X,X,X,X,O,X,X,X,X,X
ISLJZTO,X,O,O,X,X,X,X,X,X,O,X
ISLJZOT,X,O,O,X,X,O,X,O,X,O,X
ISLJOTZ,X,X,X,X,X,O,X,X,X,X,X
ISLJOZT,X,O,O,X,X,O,X,X,X,O,X
ISLZTJO,X,O,O,X,X,X,X,X,X,O,X
ISLZTOJ,X,O,O,X,X,X,X,X,X,O,X
ISLZJTO,X,O,O,X,X,X,X,X,X,O,X
ISLZJOT,X,O,O,X,X,O,X,O,X,O,X
ISLZOTJ,X,O,O,X,X,X,X,X,X,O,X
ISLZOJT,X,O,O,X,X,O,X,O,X,O,X
ISLOTJZ,O,X,X,X,X,O,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,O,X,X,X,X,X
ISLOJZT,X,O,O,X,X,O,X,X,X,O,X
ISLOZTJ,X,O,O,X,X,X,X,X,X,O,X
ISLOZJT,X,O,O,X,X,O,X,X,X,O,X
ISJTLZO,O,X,X,X,X,X,O,X,X,O,X
ISJTLOZ,O,X,X,X,X,O,O,X,X,X,X
ISJTZLO,O,X,O,X,X,X,X,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,O,X,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,X,X,X,O,X
ISJLTOZ,X,X,X,X,X,O,X,X,X,X,X
ISJLZTO,X,O,O,X,X,X,X,X,X,O,X
ISJLZOT,X,O,O,X,X,O,X,O,X,O,X
ISJLOTZ,X,X,X,X,X,O,X,X,X,X,X
ISJLOZT,X,O,O,X,X,O,X,X,X,O,X
ISJZTLO,X,O,O,X,X,X,X,X,X,X,X
ISJZTOL,X,O,O,X,X,X,X,X,X,X,X
ISJZLTO,X,O,O,X,X,X,X,X,X,O,X
ISJZLOT,X,O,O,X,X,O,X,O,X,O,X
ISJZOTL,X,O,O,X,X,X,X,X,X,X,X
ISJZOLT,X,O,O,X,X,O,X,O,X,X,X
ISJOTLZ,O,X,X,X,X,O,O,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,O,X,X,X,X,X
ISJOLZT,X,O,O,X,X,O,X,X,X,O,X
ISJOZTL,X,O,O,X,X,X,X,X,X,X,X
ISJOZLT,X,O,O,X,X,O,X,X,X,X,X
ISZTLJO,O,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,X,X,X
ISZLTJO,X,O,O,X,X,X,X,X,X,O,X
ISZLTOJ,X,O,O,X,X,X,X,X,X,O,X
ISZLJTO,X,O,O,X,X,X,X,X,X,O,X
ISZLJOT,X,O,O,X,X,O,X,O,X,O,X
ISZLOTJ,X,O,O,X,X,X,X,X,X,O,X
ISZLOJT,X,O,O,X,X,O,X,O,X,O,X
ISZJTLO,X,O,O,X,X,X,X,X,X,X,X
ISZJTOL,X,O,O,X,X,X,X,X,X,X,X
ISZJLTO,X,O,O,X,X,X,X,X,X,O,X
ISZJLOT,X,O,O,X,X,O,X,O,X,O,X
ISZJOTL,X,O,O,X,X,X,X,X,X,X,X
ISZJOLT,X,O,O,X,X,O,X,O,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X,X,X,X
ISZOLTJ,X,O,O,X,X,X,X,X,X,X,X
ISZOLJT,X,O,O,X,X,O,X,O,X,X,X
ISZOJTL,X,O,O,X,X,X,X,X,X,X,X
ISZOJLT,X,O,O,X,X,O,X,O,X,X,X
ISOTLJZ,O,X,X,X,X,O,O,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,O,O,X,X,X,X
ISOTJZL,O,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,O,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,O,X,X,X,X,X
ISOLJZT,X,O,O,X,X,O,X,X,X,O,X
ISOLZTJ,X,O,O,X,X,X,X,X,X,O,X
ISOLZJT,X,O,O,X,X,O,X,X,X,O,X
ISOJTLZ,O,X,X,X,X,O,O,X,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,O,X,X,X,X,X
ISOJLZT,X,O,O,X,X,O,X,X,X,O,X
ISOJZTL,X,O,O,X,X,X,X,X,X,X,X
ISOJZLT,X,O,O,X,X,O,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,X,X,X,X
ISOZLTJ,X,O,O,X,X,X,X,X,X,X,X
ISOZLJT,X,O,O,X,X,O,X,X,X,X,X
ISOZJTL,X,O,O,X,X,X,X,X,X,X,X
ISOZJLT,X,O,O,X,X,O,X,X,X,X,X
IZTLJSO,O,X,X,X,X,X,O,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,O,X,X,X
IZTLSJO,O,X,O,X,X,X,X,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,O,X,X,X
IZTLOSJ,O,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,O,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,O,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,X,X,X
IZTJSOL,O,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X,O,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,X,X,X,X,X
IZTSJLO,O,X,O,X,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,X,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,O,X,X,X
IZTOLSJ,O,X,O,X,X,X,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,O,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,O,X,X,X,X,X,X,X,X
IZTOSJL,O,X,O,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,O,X,X,X
IZLTSJO,O,X,O,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,X,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,O,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,X,X,X,X,X,X,X,O
IZLJTOS,X,O,X,X,X,X,X,O,X,X,X
IZLJSTO,X,X,O,X,X,X,X,X,X,O,X
IZLJSOT,X,O,O,X,X,X,X,O,X,O,X
IZLJOTS,X,O,X,X,X,X,X,O,X,X,X
IZLJOST,X,O,O,X,X,X,X,O,X,X,X
IZLSTJO,X,O,O,O,X,X,X,X,X,O,X
IZLSTOJ,X,O,O,X,X,X,X,X,X,O,X
IZLSJTO,X,O,O,O,X,X,X,X,X,O,X
IZLSJOT,X,O,O,O,X,X,X,O,X,O,X
IZLSOTJ,X,O,O,O,X,X,X,X,X,O,X
IZLSOJT,X,O,O,O,X,X,X,O,X,O,X
IZLOTJS,O,O,X,X,X,X,X,O,X,X,X
IZLOTSJ,O,X,O,X,X,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,X,X,O,X,X,X
IZLOJST,X,O,O,O,X,X,X,O,X,X,X
IZLOSTJ,X,O,O,O,X,X,X,X,X,X,X
IZLOSJT,X,O,O,O,X,X,X,O,X,X,X
IZJTLSO,X,X,X,X,X,X,O,X,X,X,O
IZJTLOS,X,O,X,X,X,X,X,O,X,X,X
IZJTSLO,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,X,O,X,X,X,X,X,O,X,X,X
IZJTOSL,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,X,X,X,X,O
IZJLTOS,X,O,X,X,X,X,X,O,X,X,X
IZJLSTO,X,X,O,X,X,X,X,X,X,O,X
IZJLSOT,X,O,O,X,X,X,X,O,X,O,X
IZJLOTS,X,O,X,X,X,X,X,O,X,X,X
IZJLOST,X,O,O,X,X,X,X,O,X,X,X
IZJSTLO,X,X,O,X,X,X,X,X,X,X,X
IZJSTOL,X,X,O,X,X,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X,X,X,X,O,X
IZJSLOT,X,O,O,X,X,O,X,O,X,O,X
IZJSOTL,X,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,O,O,X,X,O,X,O,X,X,X
IZJOTLS,X,O,X,X,X,X,O,O,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,O,X,X,X,X,X,O,X,X,X
IZJOLST,X,O,O,X,X,X,X,O,X,X,X
IZJOSTL,X,X,O,X,X,X,X,X,X,X,X
IZJOSLT,X,O,O,X,X,O,X,O,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X,X,X
IZSLTJO,X,O,O,O,X,X,X,X,X,O,X
IZSLTOJ,X,O,O,X,X,X,X,X,X,O,X
IZSLJTO,X,O,O,O,X,X,X,X,X,O,X
IZSLJOT,X,O,O,O,X,O,X,O,X,O,X
IZSLOTJ,X,O,O,O,X,X,X,X,X,O,X
IZSLOJT,X,O,O,O,X,O,X,O,X,O,X
IZSJTLO,X,O,O,O,X,X,X,X,X,X,X
IZSJTOL,X,O,O,X,X,X,X,X,X,X,X
IZSJLTO,X,O,O,O,X,X,X,X,X,O,X
IZSJLOT,X,O,O,O,X,O,X,O,X,O,X
IZSJOTL,X,O,O,X,X,X,X,X,X,X,X
IZSJOLT,X,O,O,O,X,O,X,O,X,X,X
IZSOTLJ,O,O,O,O,X,X,X,X,X,X,X
IZSOTJL,O,O,O,O,X,X,X,X,X,X,X
IZSOLTJ,X,O,O,O,X,X,X,X,X,X,X
IZSOLJT,X,O,O,O,X,O,X,O,X,X,X
IZSOJTL,X,O,O,O,X,X,X,X,X,X,X
IZSOJLT,X,O,O,O,X,O,X,O,X,X,X
IZOTLJS,O,O,X,X,X,X,O,O,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,O,O,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,O,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X,O,X,X,X
IZOLJST,X,O,O,O,X,X,X,O,X,X,X
IZOLSTJ,X,O,O,O,X,X,X,X,X,X,X
IZOLSJT,X,O,O,O,X,X,X,O,X,X,X
IZOJTLS,X,O,X,X,X,X,O,O,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,O,X,X,X
