sequence,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF3gB1mB0iB6?oBxqBzsB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBFjBzkBW?rB6sBctB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF1lB0hB6nBT?jBxqBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRBJvhFGjBClBTmBl?nBUlBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeCAJvhFxhBVqBUmBG?nBToBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBzkBWrBl?nBctBCtB
TSOJLIZ,O,X,O,O,X,X
TSOJLZI,O,X,X,O,O,X
TSOJZIL,O,X,X,O,O,X
TSOJZLI,O,X,X,O,O,X
TSOZILJ,O,X,O,O,X,X
TSOZIJL,O,X,O,O,X,X
TSOZLIJ,O,X,O,O,X,X
TSOZLJI,O,X,X,O,O,X
TSOZJIL,O,X,X,O,O,X
TSOZJLI,O,X,X,O,O,X
TZILJSO,O,X,O,X,O,X
TZILJOS,O,X,O,X,O,X
TZILSJO,O,X,O,X,O,X
TZILSOJ,O,X,O,X,X,X
TZILOJS,O,X,O,X,O,X
TZILOSJ,O,X,O,X,X,X
TZIJLSO,O,O,O,X,O,X
TZIJLOS,O,X,O,X,O,X
TZIJSLO,O,O,O,X,O,X
TZIJSOL,O,O,O,X,O,O
TZIJOLS,O,O,O,O,O,O
TZIJOSL,O,O,O,X,O,O
TZISLJO,O,X,O,X,O,X
TZISLOJ,O,X,O,X,X,X
TZISJLO,O,X,O,X,O,X
TZISJOL,O,X,O,X,O,O
TZISOLJ,O,X,O,X,X,X
TZISOJL,O,X,O,X,X,O
TZIOLJS,O,O,O,O,O,O
TZIOLSJ,O,X,O,X,X,X
TZIOJLS,O,O,O,O,O,O
TZIOJSL,O,O,O,X,O,O
TZIOSLJ,O,X,O,X,X,X
TZIOSJL,O,O,O,X,X,O
TZLIJSO,O,O,O,X,O,X
TZLIJOS,O,O,O,X,O,X
TZLISJO,O,O,O,X,O,X
TZLISOJ,O,O,O,X,X,X
TZLIOJS,O,O,O,X,O,X
TZLIOSJ,O,O,O,X,X,X
TZLJISO,O,O,X,X,O,X
TZLJIOS,O,O,X,X,O,X
TZLJSIO,O,O,X,X,O,X
TZLJSOI,O,O,X,X,O,O
TZLJOIS,X,O,X,O,O,O
TZLJOSI,O,O,X,O,O,O
TZLSIJO,O,O,O,X,O,X
TZLSIOJ,O,O,O,X,X,X
TZLSJIO,O,O,X,X,O,X
TZLSJOI,O,O,X,X,O,O
TZLSOIJ,O,O,O,X,X,X
TZLSOJI,O,O,X,X,O,O
TZLOIJS,O,O,X,O,O,O
TZLOISJ,O,O,X,X,X,X
TZLOJIS,X,O,X,O,O,O
TZLOJSI,O,O,X,O,O,O
TZLOSIJ,O,O,X,X,X,X
TZLOSJI,O,O,X,X,O,O
TZJILSO,O,O,X,X,O,X
TZJILOS,O,O,X,X,O,X
TZJISLO,O,O,X,X,O,X
TZJISOL,O,O,X,X,O,O
TZJIOLS,O,O,X,O,O,O
TZJIOSL,O,O,X,X,O,O
TZJLISO,O,O,X,X,O,X
TZJLIOS,O,O,X,X,O,X
TZJLSIO,O,O,X,X,O,X
TZJLSOI,O,O,X,X,O,O
TZJLOIS,X,O,X,O,O,O
TZJLOSI,O,O,X,O,O,O
TZJSILO,O,O,X,X,O,X
TZJSIOL,O,O,X,X,O,O
TZJSLIO,O,O,X,X,O,X
TZJSLOI,O,O,X,X,O,O
TZJSOIL,O,O,X,X,O,O
TZJSOLI,O,O,X,X,O,O
TZJOILS,O,O,X,O,O,O
TZJOISL,O,O,X,X,O,O
TZJOLIS,O,O,X,O,O,O
TZJOLSI,O,O,X,O,O,O
TZJOSIL,O,O,X,X,O,O
TZJOSLI,O,O,X,X,O,O
TZSILJO,O,X,O,X,O,X
TZSILOJ,O,X,O,X,X,X
TZSIJLO,O,X,O,X,O,X
TZSIJOL,O,X,O,X,O,O
TZSIOLJ,O,X,O,X,X,X
TZSIOJL,O,X,O,X,X,O
TZSLIJO,O,X,O,X,O,X
TZSLIOJ,O,X,O,X,X,X
TZSLJIO,O,X,X,X,O,X
TZSLJOI,O,X,X,X,O,O
TZSLOIJ,O,X,O,X,X,X
TZSLOJI,O,X,X,X,O,O
TZSJILO,O,O,X,X,O,X
TZSJIOL,O,O,X,X,O,O
TZSJLIO,O,O,X,X,O,X
TZSJLOI,O,O,X,X,O,O
TZSJOIL,O,O,X,X,O,O
TZSJOLI,O,O,X,X,O,O
TZSOILJ,O,X,O,X,X,X
TZSOIJL,O,O,O,X,X,O
TZSOLIJ,O,X,O,X,X,X
TZSOLJI,O,X,X,X,O,O
TZSOJIL,O,O,X,X,O,O
TZSOJLI,O,O,X,X,O,O
TZOILJS,O,O,X,O,O,O
TZOILSJ,O,O,X,X,X,X
TZOIJLS,O,O,X,O,O,O
TZOIJSL,O,O,X,X,O,O
TZOISLJ,O,X,X,X,X,X
TZOISJL,O,O,X,X,X,O
TZOLIJS,O,O,X,O,O,O
TZOLISJ,O,O,X,X,X,X
TZOLJIS,O,O,X,O,O,O
TZOLJSI,O,O,X,O,O,O
TZOLSIJ,O,O,X,X,X,X
TZOLSJI,O,O,X,X,O,O
TZOJILS,O,O,X,O,O,O
TZOJISL,O,O,X,X,O,O
TZOJLIS,O,O,X,O,O,O
TZOJLSI,O,O,X,O,O,O
TZOJSIL,O,O,X,X,O,O
TZOJSLI,O,O,X,X,O,O
TZOSILJ,O,X,X,X,X,X
TZOSIJL,O,O,X,X,X,O
TZOSLIJ,O,X,X,X,X,X
TZOSLJI,O,X,X,X,O,O
TZOSJIL,O,O,X,X,O,O
TZOSJLI,O,O,X,X,O,O
TOILJSZ,O,O,X,O,X,X
TOILJZS,O,O,X,O,O,X
TOILSJZ,O,X,X,O,X,X
TOILSZJ,O,O,X,O,X,X
TOILZJS,O,O,X,O,O,X
TOILZSJ,O,O,X,X,X,X
TOIJLSZ,O,O,X,O,X,X
TOIJLZS,O,O,X,O,O,X
TOIJSLZ,O,O,X,O,X,X
TOIJSZL,O,O,X,X,X,O
TOIJZLS,O,O,X,O,O,O
TOIJZSL,O,O,X,X,O,O
TOISLJZ,O,X,X,O,X,X
TOISLZJ,O,X,X,O,X,X
