sequence,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeOFJvhFXhBliB?5oBUnBzqByxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeOFJvhFXhB6oB?FnB0nBzqBxxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeTAJvhFOmBVnB?5oB3nB0qByxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NelAJvhFUiB5oB?/qBOrBisBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeTAJvhFOmB5oB?asBftB0qBlsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeXBJvhF5oB2qB?FnBzsB0qBisB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8Ne0AJvhFliB5oB?/qBasBOrBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeUCJvhF5oB/qB?FmBisBmqBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeKFJvhFUiB5oB?FmBmsBzqB3sB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeUCJvhF5oB/qB?FmBatBTsBmqB
TSOILJZ,O,O,X,X,X,X,O,X,X,X
TSOILZJ,X,O,X,X,X,X,O,O,X,O
TSOIJLZ,O,O,X,X,X,O,X,X,X,X
TSOIJZL,O,O,X,X,X,O,X,X,X,O
TSOIZLJ,X,O,X,X,X,X,O,O,X,O
TSOIZJL,O,O,X,X,X,X,X,X,X,O
TSOLIJZ,O,O,X,X,X,X,O,X,X,X
TSOLIZJ,X,O,X,X,X,X,O,O,X,O
TSOLJIZ,O,O,X,X,X,X,O,X,X,X
TSOLJZI,X,O,X,X,X,X,O,X,X,X
TSOLZIJ,X,X,X,X,X,X,O,O,X,O
TSOLZJI,X,O,X,X,X,X,O,X,X,X
TSOJILZ,O,O,X,X,X,O,X,X,X,X
TSOJIZL,O,O,X,X,X,O,X,X,X,O
TSOJLIZ,O,O,X,X,X,X,X,X,X,X
TSOJLZI,X,O,X,X,X,X,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X,O
TSOJZLI,X,O,X,X,X,X,X,X,X,X
TSOZILJ,X,O,X,X,X,X,O,O,X,O
TSOZIJL,O,O,X,X,X,X,X,X,X,O
TSOZLIJ,X,X,X,X,X,X,O,O,X,O
TSOZLJI,X,O,X,X,X,X,O,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X,X,O
TSOZJLI,X,O,X,X,X,X,X,X,X,X
TZILJSO,O,O,O,X,O,X,X,X,X,X
TZILJOS,X,X,O,X,O,X,X,X,X,X
TZILSJO,O,O,O,X,O,X,X,X,X,X
TZILSOJ,X,X,O,X,O,X,X,X,X,X
TZILOJS,O,O,O,X,O,X,X,X,X,X
TZILOSJ,O,O,O,X,O,X,X,X,X,X
TZIJLSO,O,O,O,X,O,X,X,X,X,X
TZIJLOS,X,X,O,X,O,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X,X,X
TZIJSOL,O,X,O,X,X,O,X,X,X,X
TZIJOLS,O,X,O,X,O,X,X,X,X,X
TZIJOSL,O,X,O,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,O,X,X,X,X,X
TZISLOJ,X,X,X,X,O,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X,X,X
TZISJOL,O,X,O,X,X,O,X,X,X,X
TZISOLJ,O,X,X,X,O,X,X,X,X,X
TZISOJL,O,X,O,X,X,X,X,X,X,X
TZIOLJS,O,O,O,X,O,X,X,X,X,X
TZIOLSJ,O,O,O,X,O,X,X,X,X,X
TZIOJLS,O,O,O,X,O,X,X,X,X,X
TZIOJSL,O,O,O,X,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,O,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X,X,X,X
TZLIJSO,O,X,O,X,O,X,X,X,X,X
TZLIJOS,X,X,O,X,O,X,X,X,X,X
TZLISJO,O,X,O,X,O,X,X,X,X,X
TZLISOJ,X,X,O,X,O,X,X,X,X,X
TZLIOJS,O,X,O,X,O,X,X,X,X,X
TZLIOSJ,O,X,O,X,O,X,X,X,X,X
TZLJISO,O,X,O,X,O,X,X,X,X,X
TZLJIOS,X,X,O,X,O,X,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X,X,X,X
TZLJSOI,X,O,O,X,X,X,X,X,X,X
TZLJOIS,X,X,O,X,O,X,X,X,X,X
TZLJOSI,X,X,O,X,X,X,X,X,X,X
TZLSIJO,O,X,O,X,X,X,X,X,X,X
TZLSIOJ,X,X,O,X,X,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,X,X,X
TZLSJOI,X,O,O,X,X,X,X,X,X,X
TZLSOIJ,X,X,O,X,X,X,X,X,X,X
TZLSOJI,X,X,O,X,X,X,X,X,X,X
TZLOIJS,O,X,O,X,O,X,X,X,X,X
TZLOISJ,O,X,O,X,O,X,X,X,X,X
TZLOJIS,O,X,O,X,O,X,X,X,X,X
TZLOJSI,O,O,O,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,X,X,X,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X,X,X,X
TZJILSO,O,O,O,X,O,X,X,X,X,X
TZJILOS,X,X,O,X,O,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X,X,X
TZJISOL,O,X,O,X,X,O,X,X,X,X
TZJIOLS,O,X,O,X,O,X,X,X,X,X
TZJIOSL,O,X,O,X,X,X,X,X,X,X
TZJLISO,O,X,O,X,O,X,X,X,X,X
TZJLIOS,X,X,O,X,O,X,X,X,X,X
TZJLSIO,O,O,O,X,X,X,X,X,X,X
TZJLSOI,X,O,O,X,X,X,X,X,X,X
TZJLOIS,X,X,O,X,O,X,X,X,X,X
TZJLOSI,X,X,O,X,X,X,X,X,X,X
TZJSILO,O,O,X,X,X,X,X,X,X,X
TZJSIOL,O,X,O,X,X,O,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X,X,X,X
TZJSLOI,X,O,O,X,X,X,X,X,X,X
TZJSOIL,O,X,O,X,X,X,X,X,X,X
TZJSOLI,X,X,O,X,X,X,X,X,X,X
TZJOILS,O,X,O,X,O,X,X,X,X,X
TZJOISL,O,X,O,X,X,X,X,X,X,X
TZJOLIS,O,X,O,X,O,X,X,X,X,X
TZJOLSI,O,X,O,X,X,X,X,X,X,X
TZJOSIL,O,X,O,X,X,X,X,X,X,X
TZJOSLI,O,X,O,X,X,X,X,X,X,X
TZSILJO,O,O,X,X,O,X,X,X,X,X
TZSILOJ,X,X,X,X,O,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X,X,X
TZSIJOL,O,X,O,X,X,O,X,X,X,X
TZSIOLJ,O,X,X,X,O,X,X,X,X,X
TZSIOJL,O,X,O,X,X,X,X,X,X,X
TZSLIJO,O,X,O,X,O,X,X,X,X,X
TZSLIOJ,X,X,O,X,O,X,X,X,X,X
TZSLJIO,O,O,O,X,O,X,X,X,X,X
TZSLJOI,X,O,O,X,O,X,X,X,X,X
TZSLOIJ,X,X,O,X,O,X,X,X,X,X
TZSLOJI,X,X,O,X,O,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X,X,X
TZSJIOL,O,X,O,X,X,O,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X,X,X,X
TZSJLOI,X,O,O,X,X,X,X,X,X,X
TZSJOIL,O,X,O,X,X,X,X,X,X,X
TZSJOLI,X,X,O,X,X,X,X,X,X,X
TZSOILJ,O,X,X,X,O,X,X,X,X,X
TZSOIJL,O,X,O,X,X,X,X,X,X,X
TZSOLIJ,O,X,O,X,O,X,X,X,X,X
TZSOLJI,O,X,O,X,O,X,X,X,X,X
TZSOJIL,O,X,O,X,X,X,X,X,X,X
TZSOJLI,O,X,O,X,X,X,X,X,X,X
TZOILJS,O,O,O,X,O,X,X,X,X,X
TZOILSJ,O,O,O,X,O,X,X,X,X,X
TZOIJLS,O,O,O,X,O,X,X,X,X,X
TZOIJSL,O,O,O,X,X,X,X,X,X,X
TZOISLJ,O,O,X,X,O,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X,X,X
TZOLIJS,O,X,O,X,O,X,X,X,X,X
TZOLISJ,O,X,O,X,O,X,X,X,X,X
TZOLJIS,O,X,O,X,O,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X,X,X,X
TZOLSIJ,O,X,O,X,X,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,X,X,X
TZOJILS,O,O,O,X,O,X,X,X,X,X
TZOJISL,O,O,O,X,X,X,X,X,X,X
TZOJLIS,O,X,O,X,O,X,X,X,X,X
TZOJLSI,O,O,O,X,X,X,X,X,X,X
TZOJSIL,O,O,O,X,X,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X,X,X
TZOSILJ,O,O,X,X,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X,X,X
TZOSLIJ,O,X,O,X,O,X,X,X,X,X
TZOSLJI,O,O,O,X,O,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X,X,X
TOILJSZ,O,O,X,X,X,O,O,X,X,X
TOILJZS,O,O,X,X,X,X,X,X,X,X
TOILSJZ,O,O,X,X,X,O,O,X,X,X
TOILSZJ,O,O,X,X,X,X,O,X,X,X
TOILZJS,O,O,X,X,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,O,X,X,X
TOIJLSZ,O,O,X,X,X,O,X,X,X,X
TOIJLZS,O,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,O,X,X,X,O,X,X,X,X
TOIJSZL,O,O,X,X,X,O,X,X,X,X
TOIJZLS,O,O,O,X,X,X,X,X,X,X
TOIJZSL,O,O,O,X,X,O,X,X,X,X
TOISLJZ,O,O,X,X,X,O,O,X,X,X
TOISLZJ,O,O,X,X,X,X,O,X,X,O
TOISJLZ,O,O,X,X,X,O,X,X,X,X
TOISJZL,O,O,X,X,X,O,X,X,X,O
TOISZLJ,O,O,X,X,X,X,O,X,X,O
TOISZJL,O,O,X,X,X,O,X,X,X,O
TOIZLJS,O,O,O,X,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,X,X,X
TOIZJSL,O,O,O,X,X,O,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X,X,X,O
TOIZSJL,O,O,O,X,X,O,X,X,X,O
TOLIJSZ,O,O,X,X,X,O,O,X,X,X
TOLIJZS,O,O,O,X,X,X,X,X,X,X
TOLISJZ,O,O,X,X,X,O,O,X,X,X
TOLISZJ,O,O,X,X,X,X,O,X,X,X
TOLIZJS,O,O,O,X,X,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,O,X,X,X
TOLJISZ,O,O,X,X,X,O,O,X,X,X
TOLJIZS,O,O,O,X,X,X,X,X,X,X
TOLJSIZ,O,O,X,X,X,O,O,X,X,X
TOLJSZI,O,O,X,X,X,X,O,X,X,X
TOLJZIS,O,X,O,X,X,X,X,X,X,X
TOLJZSI,O,O,O,X,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,O,O,X,X,X
TOLSIZJ,O,O,X,X,X,X,O,X,X,X
TOLSJIZ,O,O,X,X,X,O,O,X,X,X
TOLSJZI,O,O,X,X,X,X,O,X,X,X
TOLSZIJ,O,X,X,X,X,X,O,X,X,X
TOLSZJI,O,O,X,X,X,X,O,X,X,X
TOLZIJS,O,X,O,X,X,X,X,X,X,X
TOLZISJ,O,X,O,X,X,X,O,X,X,X
TOLZJIS,O,X,O,X,X,X,X,X,X,X
TOLZJSI,O,O,O,X,X,X,X,X,X,X
TOLZSIJ,O,X,O,X,X,X,O,X,X,X
TOLZSJI,O,O,O,X,X,X,O,X,X,X
TOJILSZ,O,O,X,X,X,O,X,X,X,X
TOJILZS,O,O,X,X,X,X,X,X,X,X
TOJISLZ,O,O,X,X,X,O,X,X,X,X
TOJISZL,O,O,X,X,X,O,X,X,X,X
TOJIZLS,O,O,O,X,X,X,X,X,X,X
TOJIZSL,O,O,O,X,X,O,X,X,X,X
TOJLISZ,O,O,X,X,X,O,X,X,X,X
TOJLIZS,O,O,O,X,X,X,X,X,X,X
TOJLSIZ,O,O,X,X,X,O,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X,X,X
TOJLZIS,O,X,O,X,X,X,X,X,X,X
TOJLZSI,O,O,O,X,X,X,X,X,X,X
TOJSILZ,O,O,X,X,X,O,X,X,X,X
TOJSIZL,O,O,X,X,X,O,X,X,X,X
TOJSLIZ,O,O,X,X,X,O,X,X,X,X
TOJSLZI,O,O,X,X,X,X,X,X,X,X
TOJSZIL,O,O,X,X,X,O,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,X,X,X
TOJZILS,O,O,O,X,X,X,X,X,X,X
TOJZISL,O,O,O,X,X,O,X,X,X,X
TOJZLIS,O,X,O,X,X,X,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X,X,X,X
TOJZSIL,O,O,O,X,X,O,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,X,X,X
TOSILJZ,O,O,X,X,X,O,O,X,X,X
TOSILZJ,O,O,X,X,X,X,O,X,X,O
TOSIJLZ,O,O,X,X,X,O,X,X,X,X
TOSIJZL,O,O,X,X,X,O,X,X,X,O
TOSIZLJ,O,O,X,X,X,X,O,X,X,O
TOSIZJL,O,O,X,X,X,O,X,X,X,O
TOSLIJZ,O,O,X,X,X,O,O,X,X,X
TOSLIZJ,O,O,X,X,X,X,O,X,X,O
TOSLJIZ,O,O,X,X,X,O,O,X,X,X
TOSLJZI,O,O,X,X,X,X,O,X,X,X
TOSLZIJ,O,X,X,X,X,X,O,X,X,O
TOSLZJI,O,O,X,X,X,X,O,X,X,X
TOSJILZ,O,O,X,X,X,O,X,X,X,X
TOSJIZL,O,O,X,X,X,O,X,X,X,O
TOSJLIZ,O,O,X,X,X,O,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X,X,X,X
TOSJZIL,O,O,X,X,X,O,X,X,X,O
TOSJZLI,O,O,X,X,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,O,X,X,O
TOSZIJL,O,O,X,X,X,O,X,X,X,O
TOSZLIJ,O,X,X,X,X,X,O,X,X,O
TOSZLJI,O,O,X,X,X,X,O,X,X,X
TOSZJIL,O,O,X,X,X,O,X,X,X,O
TOSZJLI,O,O,X,X,X,X,X,X,X,X
TOZILJS,O,O,O,X,X,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X,X,X,X
TOZIJSL,O,O,O,X,X,O,X,X,X,X
TOZISLJ,O,O,X,X,X,X,X,X,X,O
TOZISJL,O,O,O,X,X,O,X,X,X,O
TOZLIJS,O,X,O,X,X,X,X,X,X,X
TOZLISJ,O,X,O,X,X,X,X,X,X,X
TOZLJIS,O,X,O,X,X,X,X,X,X,X
TOZLJSI,O,O,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,O,X,X,X,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X,X,X,X
TOZJILS,O,O,O,X,X,X,X,X,X,X
TOZJISL,O,O,O,X,X,O,X,X,X,X
TOZJLIS,O,X,O,X,X,X,X,X,X,X
TOZJLSI,O,O,O,X,X,X,X,X,X,X
TOZJSIL,O,O,O,X,X,O,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X,X,X,X
TOZSILJ,O,O,X,X,X,X,X,X,X,O
TOZSIJL,O,O,O,X,X,O,X,X,X,O
TOZSLIJ,O,X,O,X,X,X,X,X,X,O
TOZSLJI,O,O,O,X,X,X,X,X,X,X
TOZSJIL,O,O,O,X,X,O,X,X,X,O
TOZSJLI,O,O,O,X,X,X,X,X,X,X
ITLJSZO,X,O,O,O,O,X,O,X,O,X
ITLJSOZ,X,O,X,O,X,O,X,X,X,X
ITLJZSO,O,O,O,O,O,X,X,X,O,X
ITLJZOS,O,X,O,X,O,X,X,X,O,X
ITLJOSZ,O,O,X,X,X,X,X,X,X,X
ITLJOZS,O,O,O,X,X,X,X,X,O,X
ITLSJZO,X,O,O,O,O,X,O,O,O,X
ITLSJOZ,X,O,X,O,X,O,X,X,X,X
ITLSZJO,X,O,O,X,O,X,O,O,O,X
ITLSZOJ,X,X,O,X,O,X,O,O,X,X
ITLSOJZ,O,O,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,O,O,X,X
ITLZJSO,O,O,O,O,O,X,X,X,O,X
ITLZJOS,O,X,O,X,O,X,X,X,O,X
ITLZSJO,O,O,O,X,O,X,O,O,O,X
ITLZSOJ,O,X,O,X,O,X,O,O,X,X
ITLZOJS,O,O,O,X,O,X,X,X,O,X
ITLZOSJ,O,O,O,X,O,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,X,X,X,X,X
ITLOJZS,O,O,O,X,X,X,X,X,O,X
ITLOSJZ,O,O,X,X,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,O,X,X,X
ITLOZJS,O,O,O,X,X,X,X,X,O,X
ITLOZSJ,O,O,O,X,X,X,X,X,X,X
ITJLSZO,X,O,O,O,X,X,X,X,O,X
ITJLSOZ,X,O,X,O,X,O,X,X,X,X
ITJLZSO,O,O,O,O,X,X,X,X,O,X
ITJLZOS,O,X,O,X,X,X,X,X,O,X
ITJLOSZ,X,O,X,X,X,X,X,X,X,X
ITJLOZS,X,O,O,X,X,X,X,X,O,X
ITJSLZO,X,O,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,X,O,X,O,X,X,X,X
ITJSZLO,X,O,X,O,X,X,X,X,X,X
ITJSZOL,X,X,O,O,X,O,X,X,X,X
ITJSOLZ,X,O,X,O,X,O,X,X,X,X
ITJSOZL,X,X,X,O,X,O,X,X,X,X
ITJZLSO,O,O,O,X,X,X,X,X,O,X
ITJZLOS,X,X,O,X,X,X,X,X,O,X
ITJZSLO,O,O,X,O,X,X,X,X,X,X
ITJZSOL,O,X,O,O,X,O,X,X,X,X
ITJZOLS,X,X,O,X,X,X,X,X,X,X
ITJZOSL,O,X,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,X,O,X,X,X,X
ITJOLZS,X,O,X,X,X,X,X,X,X,X
ITJOSLZ,O,O,X,X,X,O,X,X,X,X
ITJOSZL,O,O,X,X,X,O,X,X,X,X
ITJOZLS,X,O,O,X,X,X,X,X,X,X
ITJOZSL,O,O,O,X,X,O,X,X,X,X
ITSLJZO,X,O,X,O,O,X,O,O,X,X
ITSLJOZ,X,O,X,O,X,O,X,X,X,X
ITSLZJO,X,O,X,X,O,X,O,O,X,X
ITSLZOJ,X,X,X,X,O,X,O,O,X,O
ITSLOJZ,X,O,X,X,X,X,X,X,X,X
ITSLOZJ,X,O,X,X,X,X,O,O,X,O
ITSJLZO,X,O,X,O,X,X,X,O,X,X
ITSJLOZ,X,O,X,O,X,O,X,X,X,X
ITSJZLO,X,O,X,O,X,X,X,O,X,X
ITSJZOL,X,X,O,O,X,O,X,X,X,O
ITSJOLZ,X,O,X,O,X,O,X,X,X,X
ITSJOZL,X,X,X,O,X,O,X,X,X,O
ITSZLJO,X,O,X,X,O,X,O,O,X,X
ITSZLOJ,X,X,X,X,O,X,O,O,X,O
ITSZJLO,X,O,X,X,X,X,X,O,X,X
ITSZJOL,X,X,O,X,X,O,X,X,X,O
ITSZOLJ,X,X,X,X,O,X,O,O,X,O
ITSZOJL,X,X,O,X,X,X,X,X,X,O
ITSOLJZ,O,O,X,X,X,X,O,X,X,X
ITSOLZJ,X,O,X,X,X,X,O,O,X,O
ITSOJLZ,O,O,X,X,X,O,X,X,X,X
ITSOJZL,O,O,X,X,X,O,X,X,X,O
ITSOZLJ,X,O,X,X,X,X,O,O,X,O
ITSOZJL,O,O,X,X,X,X,X,X,X,O
ITZLJSO,O,O,O,X,O,X,X,X,X,X
ITZLJOS,X,X,O,X,O,X,X,X,X,X
ITZLSJO,O,O,O,X,O,X,X,X,X,X
ITZLSOJ,X,X,O,X,O,X,X,X,X,X
ITZLOJS,O,O,O,X,O,X,X,X,X,X
ITZLOSJ,O,O,O,X,O,X,X,X,X,X
ITZJLSO,O,O,O,X,O,X,X,X,X,X
ITZJLOS,X,X,O,X,O,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X,X,X
ITZJSOL,O,X,O,X,X,O,X,X,X,X
ITZJOLS,O,X,O,X,O,X,X,X,X,X
ITZJOSL,O,X,O,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,O,X,X,X,X,X
ITZSLOJ,X,X,X,X,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X,X,X
ITZSJOL,O,X,O,X,X,O,X,X,X,X
ITZSOLJ,O,X,X,X,O,X,X,X,X,X
ITZSOJL,O,X,O,X,X,X,X,X,X,X
ITZOLJS,O,O,O,X,O,X,X,X,X,X
ITZOLSJ,O,O,O,X,O,X,X,X,X,X
ITZOJLS,O,O,O,X,O,X,X,X,X,X
ITZOJSL,O,O,O,X,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,O,X,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,O,O,X,X,X
ITOLJZS,O,O,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,O,O,X,X,X
ITOLSZJ,O,O,X,X,X,X,O,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,O,X,X,X
ITOJLSZ,O,O,X,X,X,O,X,X,X,X
ITOJLZS,O,O,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,X,O,X,X,X,X
ITOJSZL,O,O,X,X,X,O,X,X,X,X
ITOJZLS,O,O,O,X,X,X,X,X,X,X
ITOJZSL,O,O,O,X,X,O,X,X,X,X
ITOSLJZ,O,O,X,X,X,O,O,X,X,X
ITOSLZJ,O,O,X,X,X,X,O,X,X,O
ITOSJLZ,O,O,X,X,X,O,X,X,X,X
ITOSJZL,O,O,X,X,X,O,X,X,X,O
ITOSZLJ,O,O,X,X,X,X,O,X,X,O
ITOSZJL,O,O,X,X,X,O,X,X,X,O
ITOZLJS,O,O,O,X,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X,X,X,X
ITOZJSL,O,O,O,X,X,O,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X,X,O
ITOZSJL,O,O,O,X,X,O,X,X,X,O
ILTJSZO,X,O,O,O,O,X,O,X,O,X
ILTJSOZ,X,O,X,O,X,O,X,X,X,X
ILTJZSO,O,O,O,O,O,X,X,X,O,X
ILTJZOS,O,X,O,X,O,X,X,X,O,X
ILTJOSZ,O,O,X,X,X,X,X,X,X,X
ILTJOZS,O,O,O,X,X,X,X,X,O,X
ILTSJZO,X,O,O,O,O,X,O,O,O,X
ILTSJOZ,X,O,X,O,X,O,X,X,X,X
ILTSZJO,X,O,O,X,O,X,O,O,O,X
ILTSZOJ,X,X,O,X,O,X,O,O,X,X
ILTSOJZ,O,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,O,O,X,X
ILTZJSO,O,O,O,O,O,X,X,X,O,X
ILTZJOS,O,X,O,X,O,X,X,X,O,X
ILTZSJO,O,O,O,X,O,X,O,O,O,X
ILTZSOJ,O,X,O,X,O,X,O,O,X,X
ILTZOJS,O,O,O,X,O,X,X,X,O,X
ILTZOSJ,O,O,O,X,O,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,X,X,X,X,X
ILTOJZS,O,O,O,X,X,X,X,X,O,X
ILTOSJZ,O,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,O,X,X,X
ILTOZJS,O,O,O,X,X,X,X,X,O,X
ILTOZSJ,O,O,O,X,X,X,X,X,X,X
ILJTSZO,X,O,O,O,O,X,O,X,O,X
ILJTSOZ,X,O,X,O,X,O,X,X,X,X
ILJTZSO,O,O,O,O,O,X,X,X,O,X
ILJTZOS,O,X,O,X,O,X,X,X,O,X
ILJTOSZ,O,O,X,X,X,X,X,X,X,X
ILJTOZS,O,O,O,X,X,X,X,X,O,X
ILJSTZO,X,O,X,O,O,X,O,O,O,X
ILJSTOZ,X,O,X,O,X,O,X,X,X,X
ILJSZTO,O,X,X,O,O,X,O,O,O,X
ILJSZOT,O,X,X,O,O,X,X,X,X,X
ILJSOTZ,X,X,X,O,X,O,X,X,X,X
ILJSOZT,X,X,X,O,O,X,X,X,X,X
ILJZTSO,O,O,O,O,O,X,X,X,O,X
ILJZTOS,O,X,O,X,O,X,X,X,O,X
ILJZSTO,O,X,O,O,O,X,X,O,O,X
ILJZSOT,O,X,O,O,O,X,X,X,X,X
ILJZOTS,O,X,O,X,O,X,X,X,O,X
ILJZOST,O,X,O,O,O,X,X,X,X,X
ILJOTSZ,O,O,X,X,X,O,X,X,X,X
ILJOTZS,O,O,X,X,X,X,X,X,O,X
ILJOSTZ,O,O,X,O,X,O,X,X,X,X
ILJOSZT,O,O,X,O,O,X,X,X,X,X
ILJOZTS,O,O,X,X,O,X,X,X,O,X
ILJOZST,O,O,X,O,O,X,X,X,X,X
ILSTJZO,X,O,O,O,O,X,O,O,O,X
ILSTJOZ,X,O,X,O,X,X,X,X,X,X
ILSTZJO,X,O,O,X,O,X,O,O,O,X
ILSTZOJ,X,X,O,X,O,X,O,O,X,O
ILSTOJZ,O,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,O,O,X,O
ILSJTZO,X,O,X,O,O,X,O,O,O,X
ILSJTOZ,X,O,X,O,X,X,X,X,X,X
ILSJZTO,O,X,X,O,O,X,O,O,O,X
ILSJZOT,O,X,X,O,O,X,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,X,X,X,X
ILSJOZT,X,X,X,O,O,X,X,X,X,X
ILSZTJO,O,X,O,X,O,X,O,O,X,X
ILSZTOJ,O,X,O,X,O,X,O,O,X,X
ILSZJTO,O,X,O,O,O,X,O,O,X,X
ILSZJOT,O,X,O,O,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,O,X,O,O,X,X
ILSZOJT,O,X,O,X,O,X,O,X,X,X
ILSOTJZ,O,O,X,X,X,X,O,X,X,X
ILSOTZJ,O,O,X,X,X,X,O,O,X,O
ILSOJTZ,O,O,X,O,X,X,O,X,X,X
ILSOJZT,O,O,X,O,O,X,O,X,X,X
ILSOZTJ,O,O,X,X,O,X,O,O,X,O
ILSOZJT,O,O,X,X,O,X,O,X,X,X
ILZTJSO,O,O,O,O,O,X,X,X,O,X
ILZTJOS,O,X,O,X,O,X,X,X,O,X
ILZTSJO,O,O,O,X,O,X,O,O,O,X
ILZTSOJ,O,X,O,X,O,X,O,O,X,X
ILZTOJS,O,O,O,X,O,X,X,X,O,X
ILZTOSJ,O,O,O,X,O,X,X,X,X,X
ILZJTSO,O,O,O,O,O,X,X,X,O,X
ILZJTOS,O,X,O,X,O,X,X,X,O,X
ILZJSTO,O,X,O,O,O,X,X,O,O,X
ILZJSOT,O,X,O,O,O,X,X,X,X,X
ILZJOTS,O,X,O,X,O,X,X,X,O,X
ILZJOST,O,X,O,O,O,X,X,X,X,X
ILZSTJO,O,X,O,X,O,X,O,O,X,X
ILZSTOJ,O,X,O,X,O,X,O,O,X,X
ILZSJTO,O,X,O,O,O,X,O,O,X,X
ILZSJOT,O,X,O,O,O,X,X,X,X,X
ILZSOTJ,O,X,O,X,O,X,O,O,X,X
ILZSOJT,O,X,O,X,O,X,X,X,X,X
ILZOTJS,O,O,O,X,O,X,X,X,X,X
ILZOTSJ,O,O,O,X,O,X,X,X,X,X
