sequence,v115@+gA8IeA8AeB8FeD8FeC8EeA8JeZEJvhFigBFiBTjB+?rBcsBXtB,v115@+gA8IeA8AeB8FeD8FeC8EeA8JeZEJvhFigBFiBXjB+?rBctBTsB,v115@+gA8IeA8AeB8FeD8FeC8EeA8JeZEJvhFigBGiBTjBU?nB1wBXtB,v115@+gA8IeA8AeB8FeD8FeC8EeA8JeZEJvhFigBzhBGjBU?oB3rB1xB
TJSILZO,X,X,X,X
TJSILOZ,X,X,X,X
TJSIZLO,X,X,X,X
TJSIZOL,X,X,X,X
TJSIOLZ,X,X,X,X
TJSIOZL,X,X,X,X
TJSLIZO,X,X,X,X
TJSLIOZ,X,X,X,X
TJSLZIO,X,X,X,X
TJSLZOI,X,X,X,X
TJSLOIZ,X,X,X,X
TJSLOZI,X,X,X,X
TJSZILO,X,X,X,X
TJSZIOL,X,X,X,X
TJSZLIO,X,X,X,X
TJSZLOI,X,X,X,X
TJSZOIL,X,X,X,X
TJSZOLI,X,X,X,X
TJSOILZ,X,X,X,X
TJSOIZL,X,X,X,X
TJSOLIZ,X,X,X,X
TJSOLZI,X,X,X,X
TJSOZIL,X,X,X,X
TJSOZLI,X,X,X,X
TJZILSO,X,X,X,X
TJZILOS,X,X,X,X
TJZISLO,X,X,X,X
TJZISOL,X,X,X,X
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,X
TJZLISO,X,X,X,X
TJZLIOS,X,X,X,X
TJZLSIO,X,X,X,X
TJZLSOI,X,X,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,X,X
TJZSIOL,X,X,X,X
TJZSLIO,X,X,X,X
TJZSLOI,X,X,X,X
TJZSOIL,X,X,X,X
TJZSOLI,X,X,X,X
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,X
TJZOSLI,X,X,X,X
TJOILSZ,X,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,X,X,X
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,X
TJOLISZ,X,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,X,X
TJOSIZL,X,X,X,X
TJOSLIZ,X,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,X,X,X,X
TJOSZLI,X,X,X,X
TJOZILS,X,X,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,X
TJOZSLI,X,X,X,X
TSILJZO,X,X,X,X
TSILJOZ,X,X,X,X
TSILZJO,X,X,O,X
TSILZOJ,X,X,O,X
TSILOJZ,X,X,X,X
TSILOZJ,X,X,O,X
TSIJLZO,X,X,X,X
TSIJLOZ,X,X,X,X
TSIJZLO,X,X,X,X
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,X,X,O,X
TSIZLOJ,X,X,O,X
TSIZJLO,X,X,O,X
TSIZJOL,X,X,O,X
TSIZOLJ,X,X,O,X
TSIZOJL,X,X,O,X
TSIOLJZ,X,X,X,X
TSIOLZJ,X,X,O,X
TSIOJLZ,X,X,X,X
TSIOJZL,X,X,X,X
TSIOZLJ,X,X,O,X
TSIOZJL,X,X,O,X
TSLIJZO,X,X,X,X
TSLIJOZ,X,X,X,X
TSLIZJO,X,X,O,X
TSLIZOJ,X,X,O,X
TSLIOJZ,X,X,X,X
TSLIOZJ,X,X,O,X
TSLJIZO,X,X,X,X
TSLJIOZ,X,X,X,X
TSLJZIO,X,X,X,X
TSLJZOI,X,X,X,X
TSLJOIZ,X,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,X,X,O,X
TSLZIOJ,X,X,O,X
TSLZJIO,X,X,O,X
TSLZJOI,X,X,O,X
TSLZOIJ,X,X,O,X
TSLZOJI,X,X,O,X
TSLOIJZ,X,X,X,X
TSLOIZJ,X,X,O,X
TSLOJIZ,X,X,X,X
TSLOJZI,X,X,X,X
TSLOZIJ,X,X,O,X
TSLOZJI,X,X,O,X
TSJILZO,X,X,X,X
TSJILOZ,X,X,X,X
TSJIZLO,X,X,X,X
TSJIZOL,X,X,X,X
TSJIOLZ,X,X,X,X
TSJIOZL,X,X,X,X
TSJLIZO,X,X,X,X
TSJLIOZ,X,X,X,X
TSJLZIO,X,X,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,X,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,X,X,X,X
TSJZLIO,X,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,X,X,X,X
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,X
TSJOLIZ,X,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,X,X,O,X
TSZILOJ,X,X,O,X
TSZIJLO,X,X,O,X
TSZIJOL,X,X,O,X
TSZIOLJ,X,X,O,X
TSZIOJL,X,X,O,X
TSZLIJO,X,X,O,X
TSZLIOJ,X,X,O,X
TSZLJIO,X,X,O,X
TSZLJOI,X,X,O,X
TSZLOIJ,X,X,O,X
TSZLOJI,X,X,O,X
TSZJILO,X,X,O,X
TSZJIOL,X,X,O,X
TSZJLIO,X,X,O,X
TSZJLOI,X,X,O,X
TSZJOIL,X,X,O,X
TSZJOLI,X,X,O,X
TSZOILJ,X,X,O,X
TSZOIJL,X,X,O,X
TSZOLIJ,X,X,O,X
TSZOLJI,X,X,O,X
TSZOJIL,X,X,O,X
TSZOJLI,X,X,O,X
TSOILJZ,X,X,X,X
TSOILZJ,X,X,O,X
TSOIJLZ,X,X,X,X
TSOIJZL,X,X,X,X
TSOIZLJ,X,X,O,X
TSOIZJL,X,X,O,X
TSOLIJZ,X,X,X,X
TSOLIZJ,X,X,O,X
TSOLJIZ,X,X,X,X
TSOLJZI,X,X,X,X
TSOLZIJ,X,X,O,X
TSOLZJI,X,X,O,X
TSOJILZ,X,X,X,X
TSOJIZL,X,X,X,X
TSOJLIZ,X,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,X,X,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,X,O,X
TSOZIJL,X,X,O,X
TSOZLIJ,X,X,O,X
TSOZLJI,X,X,O,X
TSOZJIL,X,X,O,X
TSOZJLI,X,X,O,X
TZILJSO,X,X,O,O
TZILJOS,X,X,X,X
TZILSJO,X,X,O,O
TZILSOJ,X,X,O,O
TZILOJS,X,X,X,X
TZILOSJ,X,X,X,X
TZIJLSO,X,X,O,O
TZIJLOS,X,X,X,X
TZIJSLO,X,X,O,O
TZIJSOL,X,X,O,O
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,X,O,O
TZISLOJ,X,X,O,O
TZISJLO,X,X,O,O
TZISJOL,X,X,O,O
TZISOLJ,X,X,O,O
TZISOJL,X,X,O,O
TZIOLJS,X,X,X,X
TZIOLSJ,X,X,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,X,X,X,X
TZIOSJL,X,X,X,X
TZLIJSO,X,X,O,O
TZLIJOS,X,X,X,X
TZLISJO,X,X,O,O
TZLISOJ,X,X,O,O
TZLIOJS,X,X,X,X
TZLIOSJ,X,X,X,X
TZLJISO,X,X,O,O
TZLJIOS,X,X,X,X
TZLJSIO,X,X,O,O
TZLJSOI,X,X,O,O
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,X
TZLSIJO,X,X,O,O
TZLSIOJ,X,X,O,O
TZLSJIO,X,X,O,O
TZLSJOI,X,X,O,O
TZLSOIJ,X,X,O,O
TZLSOJI,X,X,O,O
TZLOIJS,X,X,X,X
TZLOISJ,X,X,X,X
TZLOJIS,X,X,X,X
TZLOJSI,X,X,X,X
TZLOSIJ,X,X,X,X
TZLOSJI,X,X,X,X
TZJILSO,X,X,O,O
TZJILOS,X,X,X,X
TZJISLO,X,X,O,O
TZJISOL,X,X,O,O
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,X,O,O
TZJLIOS,X,X,X,X
TZJLSIO,X,X,O,O
TZJLSOI,X,X,O,O
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,X,O,O
TZJSIOL,X,X,O,O
TZJSLIO,X,X,O,O
TZJSLOI,X,X,O,O
TZJSOIL,X,X,O,O
TZJSOLI,X,X,O,O
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,X,O,O
TZSILOJ,X,X,O,O
TZSIJLO,X,X,O,O
TZSIJOL,X,X,O,O
TZSIOLJ,X,X,O,O
TZSIOJL,X,X,O,O
TZSLIJO,X,X,O,O
TZSLIOJ,X,X,O,O
TZSLJIO,X,X,O,O
TZSLJOI,X,X,O,O
TZSLOIJ,X,X,O,O
TZSLOJI,X,X,O,O
TZSJILO,X,X,O,O
TZSJIOL,X,X,O,O
TZSJLIO,X,X,O,O
TZSJLOI,X,X,O,O
TZSJOIL,X,X,O,O
TZSJOLI,X,X,O,O
TZSOILJ,X,X,O,O
TZSOIJL,X,X,O,O
TZSOLIJ,X,X,O,O
TZSOLJI,X,X,O,O
TZSOJIL,X,X,O,O
TZSOJLI,X,X,O,O
TZOILJS,X,X,X,X
TZOILSJ,X,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,X
TZOISJL,X,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,X,X,X,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,X
TZOLSIJ,X,X,X,X
TZOLSJI,X,X,X,X
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,X
TZOSIJL,X,X,X,X
TZOSLIJ,X,X,X,X
TZOSLJI,X,X,X,X
TZOSJIL,X,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,X,X,X
TOILSZJ,X,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,X,X,X
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,X
TOISLJZ,X,X,X,X
TOISLZJ,X,X,X,X
TOISJLZ,X,X,X,X
TOISJZL,X,X,X,X
TOISZLJ,X,X,X,X
TOISZJL,X,X,X,X
TOIZLJS,X,X,X,X
TOIZLSJ,X,X,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,X,X,X,X
TOIZSJL,X,X,X,X
TOLIJSZ,X,X,X,X
TOLIJZS,X,X,X,X
TOLISJZ,X,X,X,X
TOLISZJ,X,X,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,X,X,X
TOLJISZ,X,X,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,X,X,X
TOLJSZI,X,X,X,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,X,X,X,X
TOLSIZJ,X,X,X,X
TOLSJIZ,X,X,X,X
TOLSJZI,X,X,X,X
TOLSZIJ,X,X,X,X
TOLSZJI,X,X,X,X
TOLZIJS,X,X,X,X
TOLZISJ,X,X,X,X
TOLZJIS,X,X,X,X
