sequence,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBTjBW?qByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhB6oBf?qBetBzqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFzfBFhB6oBf?rBetBUqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBWqBT?oByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JexAJvhF0kBllBToBO?pByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFqkBFhBTjB0?lBXtB2vB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFCgBllBToBO?rBUqBXtB
TZLOSJI,X,X,X,X,O,X,X
TZJILSO,O,O,O,X,X,X,X
TZJILOS,X,O,O,X,X,X,O
TZJISLO,O,O,O,X,X,X,X
TZJISOL,O,O,O,X,X,X,X
TZJIOLS,X,O,O,X,X,X,O
TZJIOSL,O,O,O,X,X,X,X
TZJLISO,O,O,O,X,X,X,X
TZJLIOS,X,O,O,X,X,X,O
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X
TZJLOIS,X,O,O,X,X,X,O
TZJLOSI,X,O,O,X,X,X,X
TZJSILO,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X
TZJSOIL,O,O,O,X,X,X,X
TZJSOLI,O,O,O,X,X,X,X
TZJOILS,X,O,O,X,O,X,O
TZJOISL,O,O,O,X,X,X,X
TZJOLIS,X,O,O,X,O,X,O
TZJOLSI,X,O,O,X,O,X,X
TZJOSIL,O,O,O,X,X,X,X
TZJOSLI,O,O,O,X,O,X,X
TZSILJO,O,O,O,X,X,X,X
TZSILOJ,O,X,O,X,X,X,O
TZSIJLO,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X
TZSIOLJ,O,X,O,X,X,X,O
TZSIOJL,O,O,O,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X
TZSLIOJ,O,X,O,X,X,X,O
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X
TZSLOIJ,O,X,O,X,X,X,O
TZSLOJI,O,X,O,X,X,X,X
TZSJILO,O,O,O,X,X,X,X
