sequence,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFTiBZoBUlBFmBGm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgBzhB3lB1sB0r?BatB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF0gBSnBZoB2qBlm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF3gBFiBZoB6rBcs?B2vB,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFmiBUlBRmBftBFm?BzrB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFlgB3hBZoB2qBCs?BcsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFKlBfmBZoBWsBcs?BlrB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgB3hB1qB0nBzr?BatB
TZJOISL,X,O,X,X,X,X,X,O
TZJOLIS,X,X,X,O,X,X,X,O
TZJOLSI,X,O,X,O,X,X,X,O
TZJOSIL,X,O,X,X,X,X,X,O
TZJOSLI,X,O,X,X,X,X,X,O
TZSILJO,O,O,X,O,O,X,X,X
TZSILOJ,O,O,X,O,X,X,X,X
TZSIJLO,O,O,X,X,O,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,X,O,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X
TZSLIJO,O,O,X,O,O,X,X,X
TZSLIOJ,O,O,X,O,X,X,X,X
TZSLJIO,O,O,X,O,O,X,X,X
TZSLJOI,O,O,X,O,O,X,X,X
TZSLOIJ,O,O,X,O,O,X,X,X
TZSLOJI,O,O,X,O,O,X,X,X
TZSJILO,O,O,X,X,O,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,O,X,X,X
TZSJLOI,O,O,X,X,O,X,X,X
TZSJOIL,O,O,X,X,O,X,X,X
TZSJOLI,O,O,X,X,O,X,X,X
TZSOILJ,O,O,X,O,O,X,X,X
TZSOIJL,O,O,X,X,O,X,X,X
TZSOLIJ,O,O,X,O,O,X,X,X
TZSOLJI,O,O,X,O,O,X,X,X
TZSOJIL,O,O,X,X,O,X,X,X
TZSOJLI,O,O,X,X,O,X,X,X
TZOILJS,X,X,X,O,X,X,X,O
TZOILSJ,O,X,X,O,O,X,X,O
TZOIJLS,X,X,X,O,X,X,X,O
TZOIJSL,X,O,X,X,X,X,X,O
TZOISLJ,O,O,X,O,O,X,X,O
TZOISJL,O,O,X,X,O,X,X,O
TZOLIJS,X,X,X,O,X,X,X,O
TZOLISJ,O,X,X,O,O,X,X,O
TZOLJIS,X,X,X,O,X,X,X,O
TZOLJSI,X,O,X,O,X,X,X,O
TZOLSIJ,O,O,X,O,O,X,X,O
TZOLSJI,O,O,X,O,O,X,X,O
TZOJILS,X,X,X,O,X,X,X,O
TZOJISL,X,O,X,X,X,X,X,O
TZOJLIS,X,X,X,O,X,X,X,O
TZOJLSI,X,O,X,O,X,X,X,O
TZOJSIL,X,O,X,X,X,X,X,O
TZOJSLI,X,O,X,X,X,X,X,O
TZOSILJ,O,O,X,O,O,X,X,O
TZOSIJL,O,O,X,X,O,X,X,O
TZOSLIJ,O,O,X,O,O,X,X,O
TZOSLJI,O,O,X,O,O,X,X,O
TZOSJIL,O,O,X,X,O,X,X,O
TZOSJLI,O,O,X,X,O,X,X,O
TOILJSZ,X,X,X,X,X,O,O,O
TOILJZS,X,X,X,X,X,O,X,O
TOILSJZ,X,X,X,X,X,X,O,O
TOILSZJ,X,X,X,O,X,X,X,O
TOILZJS,X,X,X,O,X,X,X,O
TOILZSJ,X,X,X,O,X,X,X,O
TOIJLSZ,X,X,X,X,X,O,O,O
TOIJLZS,X,X,X,X,X,O,X,O
TOIJSLZ,X,X,O,X,X,O,X,O
TOIJSZL,X,X,O,X,X,X,X,O
TOIJZLS,X,X,X,X,X,O,X,O
TOIJZSL,X,X,O,X,X,X,X,O
TOISLJZ,X,X,O,X,X,X,X,O
TOISLZJ,O,X,X,X,X,X,X,O
TOISJLZ,X,X,O,X,X,X,X,O
TOISJZL,O,X,O,X,O,X,X,O
TOISZLJ,O,X,X,X,O,X,X,O
TOISZJL,O,X,X,X,O,X,X,O
TOIZLJS,X,X,X,O,X,X,X,O
TOIZLSJ,O,X,X,O,O,X,X,O
TOIZJLS,X,X,X,O,X,X,X,O
TOIZJSL,X,X,X,X,X,X,X,O
TOIZSLJ,O,X,X,O,O,X,X,O
TOIZSJL,O,X,X,X,O,X,X,O
TOLIJSZ,X,X,X,X,X,O,O,O
TOLIJZS,X,X,X,X,X,O,X,O
TOLISJZ,X,X,X,X,X,X,O,O
TOLISZJ,X,X,X,O,X,X,X,O
TOLIZJS,X,X,X,O,X,X,X,O
TOLIZSJ,X,X,X,O,X,X,X,O
TOLJISZ,X,X,X,X,X,O,O,O
TOLJIZS,X,X,X,X,X,O,X,O
TOLJSIZ,X,X,X,X,X,O,O,O
TOLJSZI,X,X,X,X,X,X,X,O
TOLJZIS,X,X,X,X,X,O,X,O
TOLJZSI,X,X,X,X,X,X,X,O
TOLSIJZ,X,X,X,X,X,X,O,O
TOLSIZJ,X,X,X,O,X,X,X,O
TOLSJIZ,X,X,X,X,X,X,O,O
TOLSJZI,X,X,X,X,O,X,X,O
TOLSZIJ,X,X,X,O,O,X,X,O
TOLSZJI,X,X,X,O,O,X,X,O
TOLZIJS,X,X,X,O,X,X,X,O
TOLZISJ,X,X,X,O,O,X,X,O
TOLZJIS,X,X,X,O,X,X,X,O
TOLZJSI,X,X,X,O,X,X,X,O
TOLZSIJ,X,X,X,O,O,X,X,O
TOLZSJI,X,X,X,O,O,X,X,O
TOJILSZ,X,X,X,X,X,O,O,O
TOJILZS,X,X,X,X,X,O,X,O
TOJISLZ,X,X,O,X,X,O,X,O
TOJISZL,X,O,O,X,X,X,X,O
TOJIZLS,X,X,X,X,X,O,X,O
TOJIZSL,X,X,O,X,X,X,X,O
TOJLISZ,X,X,X,X,X,O,O,O
TOJLIZS,X,X,X,X,X,O,X,O
TOJLSIZ,X,X,X,X,X,O,O,O
TOJLSZI,X,X,X,X,X,X,X,O
TOJLZIS,X,X,X,X,X,O,X,O
TOJLZSI,X,X,X,X,X,X,X,O
TOJSILZ,X,X,O,X,X,O,X,O
TOJSIZL,X,O,O,X,X,X,X,O
TOJSLIZ,X,X,O,X,X,O,X,O
TOJSLZI,X,X,O,X,X,X,X,O
TOJSZIL,X,O,O,X,X,X,X,O
TOJSZLI,X,O,O,X,X,X,X,O
TOJZILS,X,X,X,X,X,O,X,O
TOJZISL,X,O,O,X,X,X,X,O
TOJZLIS,X,X,X,X,X,O,X,O
TOJZLSI,X,O,X,X,X,X,X,O
TOJZSIL,X,O,O,X,X,X,X,O
TOJZSLI,X,O,O,X,X,X,X,O
TOSILJZ,X,X,O,X,X,X,X,O
TOSILZJ,O,X,X,X,X,X,X,O
TOSIJLZ,X,X,O,X,X,X,X,O
TOSIJZL,O,O,O,X,O,X,X,O
TOSIZLJ,O,O,X,X,O,X,X,O
TOSIZJL,O,O,X,X,O,X,X,O
TOSLIJZ,X,X,O,X,X,X,X,O
TOSLIZJ,O,X,X,X,X,X,X,O
TOSLJIZ,X,X,O,X,X,X,X,O
TOSLJZI,X,X,O,X,O,X,X,O
TOSLZIJ,O,X,X,X,O,X,X,O
TOSLZJI,O,X,X,X,O,X,X,O
TOSJILZ,X,X,O,X,X,X,X,O
TOSJIZL,O,O,O,X,O,X,X,O
TOSJLIZ,X,X,O,X,X,X,X,O
TOSJLZI,X,X,O,X,O,X,X,O
TOSJZIL,O,O,O,X,O,X,X,O
TOSJZLI,O,O,O,X,O,X,X,O
TOSZILJ,O,O,X,X,O,X,X,O
TOSZIJL,O,O,X,X,O,X,X,O
TOSZLIJ,O,O,X,X,O,X,X,O
TOSZLJI,O,O,X,X,O,X,X,O
TOSZJIL,O,O,X,X,O,X,X,O
TOSZJLI,O,O,X,X,O,X,X,O
TOZILJS,X,X,X,O,X,X,X,O
TOZILSJ,O,X,X,O,O,X,X,O
TOZIJLS,X,X,X,O,X,X,X,O
TOZIJSL,X,O,X,X,X,X,X,O
TOZISLJ,O,O,X,O,O,X,X,O
TOZISJL,O,O,X,X,O,X,X,O
TOZLIJS,X,X,X,O,X,X,X,O
TOZLISJ,O,X,X,O,O,X,X,O
TOZLJIS,X,X,X,O,X,X,X,O
TOZLJSI,X,O,X,O,X,X,X,O
TOZLSIJ,O,O,X,O,O,X,X,O
TOZLSJI,O,O,X,O,O,X,X,O
TOZJILS,X,X,X,O,X,X,X,O
TOZJISL,X,O,X,X,X,X,X,O
TOZJLIS,X,X,X,O,X,X,X,O
TOZJLSI,X,O,X,O,X,X,X,O
TOZJSIL,X,O,X,X,X,X,X,O
TOZJSLI,X,O,X,X,X,X,X,O
TOZSILJ,O,O,X,O,O,X,X,O
TOZSIJL,O,O,X,X,O,X,X,O
TOZSLIJ,O,O,X,O,O,X,X,O
TOZSLJI,O,O,X,O,O,X,X,O
TOZSJIL,O,O,X,X,O,X,X,O
TOZSJLI,O,O,X,X,O,X,X,O
ITLJSZO,X,X,X,X,X,O,O,X
ITLJSOZ,X,X,X,X,X,O,O,X
ITLJZSO,X,X,X,X,X,O,X,X
ITLJZOS,X,X,X,X,X,O,X,X
ITLJOSZ,X,X,X,X,X,O,O,O
ITLJOZS,X,X,X,X,X,O,X,O
ITLSJZO,X,X,X,X,X,X,O,X
ITLSJOZ,X,X,X,X,X,X,O,X
ITLSZJO,O,X,X,O,X,X,X,X
ITLSZOJ,O,X,X,O,X,X,X,X
ITLSOJZ,X,X,X,X,X,X,O,X
ITLSOZJ,O,X,X,O,X,X,X,X
ITLZJSO,O,X,X,O,X,X,X,X
ITLZJOS,X,X,X,O,X,X,X,X
ITLZSJO,O,X,X,O,X,X,X,X
ITLZSOJ,O,X,X,O,X,X,X,X
ITLZOJS,X,X,X,O,X,X,X,X
ITLZOSJ,O,X,X,O,X,X,X,X
ITLOJSZ,X,X,X,X,X,O,O,O
ITLOJZS,X,X,X,X,X,O,X,O
ITLOSJZ,X,X,X,X,X,X,O,O
ITLOSZJ,X,X,X,O,X,X,X,O
ITLOZJS,X,X,X,O,X,X,X,O
ITLOZSJ,X,X,X,O,X,X,X,O
ITJLSZO,X,O,X,X,X,O,O,X
ITJLSOZ,X,X,X,X,X,O,O,X
ITJLZSO,X,X,X,X,X,O,X,X
ITJLZOS,X,X,X,X,X,O,X,X
ITJLOSZ,X,X,X,X,X,O,O,O
ITJLOZS,X,X,X,X,X,O,X,O
ITJSLZO,X,O,O,X,X,O,O,X
ITJSLOZ,X,X,O,X,X,O,O,X
ITJSZLO,O,O,O,X,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X
ITJSOLZ,X,X,O,X,X,O,X,O
ITJSOZL,O,O,O,X,X,X,X,O
ITJZLSO,O,X,X,X,X,O,X,X
ITJZLOS,X,X,X,X,X,O,X,X
ITJZSLO,O,O,O,X,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X,X
ITJZOLS,X,X,X,X,X,O,X,O
ITJZOSL,X,O,O,X,X,X,X,O
ITJOLSZ,X,X,X,X,X,O,O,O
ITJOLZS,X,X,X,X,X,O,X,O
ITJOSLZ,X,X,O,X,X,O,X,O
ITJOSZL,X,O,O,X,X,X,X,O
ITJOZLS,X,X,X,X,X,O,X,O
ITJOZSL,X,X,O,X,X,X,X,O
ITSLJZO,X,O,O,X,X,X,O,X
ITSLJOZ,X,X,O,X,X,X,O,X
ITSLZJO,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X
ITSLOJZ,X,X,O,X,X,X,O,X
ITSLOZJ,O,X,X,X,X,X,X,X
ITSJLZO,X,O,O,X,X,X,O,X
ITSJLOZ,X,X,O,X,X,X,O,X
ITSJZLO,O,O,O,X,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X,X
ITSJOLZ,X,X,O,X,X,X,X,O
ITSJOZL,O,O,O,X,X,X,X,O
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X,X
ITSOLJZ,X,X,O,X,X,X,X,O
ITSOLZJ,O,X,X,X,X,X,X,O
ITSOJLZ,X,X,O,X,X,X,X,O
ITSOJZL,O,O,O,X,X,X,X,O
ITSOZLJ,O,O,X,X,X,X,X,O
ITSOZJL,O,O,X,X,X,X,X,O
ITZLJSO,O,X,X,O,X,X,X,X
ITZLJOS,X,X,X,O,X,X,X,X
ITZLSJO,O,X,X,O,X,X,X,X
ITZLSOJ,O,X,X,O,X,X,X,X
ITZLOJS,X,X,X,O,X,X,X,X
ITZLOSJ,O,X,X,O,X,X,X,X
ITZJLSO,O,X,X,O,X,X,X,X
ITZJLOS,X,X,X,O,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,X,X,X,O,X,X,X,O
ITZJOSL,X,O,X,X,X,X,X,O
ITZSLJO,O,O,X,O,X,X,X,X
ITZSLOJ,O,O,X,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,X,O,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X
ITZOLJS,X,X,X,O,X,X,X,O
ITZOLSJ,O,X,X,O,X,X,X,O
ITZOJLS,X,X,X,O,X,X,X,O
ITZOJSL,X,O,X,X,X,X,X,O
ITZOSLJ,O,O,X,O,X,X,X,O
ITZOSJL,O,O,X,X,X,X,X,O
ITOLJSZ,X,X,X,X,X,O,O,O
ITOLJZS,X,X,X,X,X,O,X,O
ITOLSJZ,X,X,X,X,X,X,O,O
ITOLSZJ,X,X,X,O,X,X,X,O
ITOLZJS,X,X,X,O,X,X,X,O
ITOLZSJ,X,X,X,O,X,X,X,O
ITOJLSZ,X,X,X,X,X,O,O,O
ITOJLZS,X,X,X,X,X,O,X,O
ITOJSLZ,X,X,O,X,X,O,X,O
ITOJSZL,X,X,O,X,X,X,X,O
ITOJZLS,X,X,X,X,X,O,X,O
ITOJZSL,X,X,O,X,X,X,X,O
ITOSLJZ,X,X,O,X,X,X,X,O
ITOSLZJ,O,X,X,X,X,X,X,O
ITOSJLZ,X,X,O,X,X,X,X,O
ITOSJZL,O,X,O,X,X,X,X,O
ITOSZLJ,O,X,X,X,X,X,X,O
ITOSZJL,O,X,X,X,X,X,X,O
ITOZLJS,X,X,X,O,X,X,X,O
ITOZLSJ,O,X,X,O,X,X,X,O
ITOZJLS,X,X,X,O,X,X,X,O
ITOZJSL,X,X,X,X,X,X,X,O
ITOZSLJ,O,X,X,O,X,X,X,O
ITOZSJL,O,X,X,X,X,X,X,O
ILTJSZO,X,X,X,X,X,O,O,X
ILTJSOZ,X,X,X,X,X,O,O,X
ILTJZSO,X,X,X,X,X,O,X,X
ILTJZOS,X,X,X,X,X,O,X,X
ILTJOSZ,X,X,X,X,X,O,O,X
ILTJOZS,X,X,X,X,X,O,X,X
ILTSJZO,X,X,X,X,X,X,O,X
ILTSJOZ,X,X,X,X,X,X,O,X
ILTSZJO,O,X,X,O,X,X,X,X
ILTSZOJ,O,X,X,O,X,X,X,X
ILTSOJZ,X,X,X,X,X,X,O,X
ILTSOZJ,O,X,X,O,X,X,X,X
ILTZJSO,O,X,X,O,X,X,X,X
ILTZJOS,X,X,X,O,X,X,X,X
ILTZSJO,O,X,X,O,X,X,X,X
ILTZSOJ,O,X,X,O,X,X,X,X
ILTZOJS,X,X,X,O,X,X,X,X
ILTZOSJ,O,X,X,O,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,O,X
ILTOJZS,X,X,X,X,X,O,X,X
ILTOSJZ,X,X,X,X,X,X,O,X
ILTOSZJ,X,X,X,O,X,X,X,X
ILTOZJS,X,X,X,O,X,X,X,X
ILTOZSJ,X,X,X,O,X,X,X,X
ILJTSZO,X,X,X,X,X,O,O,X
ILJTSOZ,X,X,X,X,X,O,O,X
ILJTZSO,X,X,X,X,X,O,X,X
ILJTZOS,X,X,X,X,X,O,X,X
ILJTOSZ,X,X,X,X,X,O,O,X
ILJTOZS,X,X,X,X,X,O,X,X
ILJSTZO,X,X,O,X,X,O,O,X
ILJSTOZ,X,X,O,X,X,O,O,X
ILJSZTO,O,X,O,O,X,O,O,X
ILJSZOT,O,X,O,O,X,O,O,X
ILJSOTZ,X,X,O,X,X,O,O,X
ILJSOZT,O,X,O,O,X,O,O,X
ILJZTSO,O,X,X,O,X,O,X,X
ILJZTOS,X,X,X,O,X,O,X,X
ILJZSTO,O,X,O,O,X,O,O,X
ILJZSOT,O,X,O,O,X,O,O,X
ILJZOTS,X,X,X,O,X,O,X,X
ILJZOST,X,X,O,O,X,O,O,X
ILJOTSZ,X,X,X,X,X,O,O,X
ILJOTZS,X,X,X,X,X,O,X,X
ILJOSTZ,X,X,O,X,X,O,O,X
ILJOSZT,X,X,O,O,X,O,O,X
ILJOZTS,X,X,X,O,X,O,X,X
ILJOZST,X,X,O,O,X,O,O,X
ILSTJZO,X,X,O,X,X,X,O,X
ILSTJOZ,X,X,O,X,X,X,O,X
ILSTZJO,O,X,X,O,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X
ILSTOJZ,X,X,O,X,X,X,O,X
ILSTOZJ,O,X,X,O,X,X,X,X
ILSJTZO,X,X,O,X,X,O,O,X
ILSJTOZ,X,X,O,X,X,O,O,X
ILSJZTO,O,X,O,O,O,O,O,X
ILSJZOT,O,X,O,O,O,O,O,X
ILSJOTZ,X,X,O,X,X,O,O,X
ILSJOZT,O,X,O,O,O,O,O,X
ILSZTJO,O,X,X,O,O,X,X,X
ILSZTOJ,O,X,X,O,X,X,X,X
ILSZJTO,O,X,O,O,O,X,O,X
ILSZJOT,O,X,O,O,O,X,O,X
ILSZOTJ,O,X,X,O,O,X,X,X
ILSZOJT,O,X,O,O,O,X,O,X
ILSOTJZ,X,X,O,X,X,X,O,X
ILSOTZJ,O,X,X,O,X,X,X,X
ILSOJTZ,X,X,O,X,X,O,O,X
ILSOJZT,O,X,O,O,O,O,O,X
ILSOZTJ,O,X,X,O,O,X,X,X
ILSOZJT,O,X,O,O,O,X,O,X
ILZTJSO,O,X,X,O,X,X,X,X
ILZTJOS,X,X,X,O,X,X,X,X
ILZTSJO,O,X,X,O,O,X,X,X
ILZTSOJ,O,X,X,O,X,X,X,X
ILZTOJS,X,X,X,O,X,X,X,X
ILZTOSJ,O,X,X,O,X,X,X,X
ILZJTSO,O,X,X,O,X,O,X,X
ILZJTOS,X,X,X,O,X,O,X,X
ILZJSTO,O,X,X,O,O,O,O,X
ILZJSOT,O,X,X,O,O,O,O,X
ILZJOTS,X,X,X,O,X,O,X,X
ILZJOST,X,X,X,O,X,O,O,X
ILZSTJO,O,X,X,O,O,X,X,X
ILZSTOJ,O,X,X,O,X,X,X,X
ILZSJTO,O,X,X,O,O,X,O,X
ILZSJOT,O,X,X,O,O,X,O,X
ILZSOTJ,O,X,X,O,O,X,X,X
ILZSOJT,O,X,X,O,O,X,O,X
ILZOTJS,X,X,X,O,X,X,X,X
ILZOTSJ,O,X,X,O,O,X,X,X
ILZOJTS,X,X,X,O,X,O,X,X
ILZOJST,X,X,X,O,O,O,O,X
ILZOSTJ,O,X,X,O,O,X,X,X
ILZOSJT,O,X,X,O,O,X,O,X
ILOTJSZ,X,X,X,X,X,O,O,X
ILOTJZS,X,X,X,X,X,O,X,X
ILOTSJZ,X,X,X,X,X,X,O,X
ILOTSZJ,X,X,X,O,X,X,X,X
ILOTZJS,X,X,X,O,X,X,X,X
ILOTZSJ,X,X,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,O,X
ILOJTZS,X,X,X,X,X,O,X,X
ILOJSTZ,X,X,O,X,X,O,O,X
ILOJSZT,X,X,O,O,X,O,O,X
ILOJZTS,X,X,X,O,X,O,X,X
ILOJZST,X,X,O,O,X,O,O,X
ILOSTJZ,X,X,O,X,X,X,O,X
ILOSTZJ,O,X,X,O,X,X,X,X
ILOSJTZ,X,X,O,X,X,O,O,X
ILOSJZT,O,X,O,O,O,O,O,X
ILOSZTJ,O,X,X,O,O,X,X,X
ILOSZJT,O,X,O,O,O,X,O,X
ILOZTJS,X,X,X,O,X,X,X,X
ILOZTSJ,O,X,X,O,O,X,X,X
ILOZJTS,X,X,X,O,X,O,X,X
ILOZJST,X,X,X,O,O,O,O,X
ILOZSTJ,O,X,X,O,O,X,X,X
ILOZSJT,O,X,X,O,O,X,O,X
IJTLSZO,X,O,X,X,X,O,O,X
IJTLSOZ,X,X,X,X,X,O,O,X
IJTLZSO,X,X,X,X,X,O,X,X
IJTLZOS,X,X,X,X,X,O,X,X
IJTLOSZ,X,X,X,X,X,O,O,O
IJTLOZS,X,X,X,X,X,O,X,O
IJTSLZO,X,O,O,X,X,O,O,X
IJTSLOZ,X,X,O,X,X,O,O,X
IJTSZLO,O,O,O,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X
IJTSOLZ,X,X,O,X,X,O,X,O
IJTSOZL,O,O,O,X,X,X,X,O
IJTZLSO,O,X,X,X,X,O,X,X
IJTZLOS,X,X,X,X,X,O,X,X
IJTZSLO,O,O,O,X,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X,X
IJTZOLS,X,X,X,X,X,O,X,O
IJTZOSL,X,O,O,X,X,X,X,O
IJTOLSZ,X,X,X,X,X,O,O,O
IJTOLZS,X,X,X,X,X,O,X,O
IJTOSLZ,X,X,O,X,X,O,X,O
IJTOSZL,X,O,O,X,X,X,X,O
IJTOZLS,X,X,X,X,X,O,X,O
IJTOZSL,X,X,O,X,X,X,X,O
IJLTSZO,X,O,X,X,X,O,O,X
IJLTSOZ,X,X,X,X,X,O,O,X
IJLTZSO,X,X,X,X,X,O,X,X
IJLTZOS,X,X,X,X,X,O,X,X
IJLTOSZ,X,X,X,X,X,O,O,O
IJLTOZS,X,X,X,X,X,O,X,O
IJLSTZO,X,O,O,X,X,O,O,X
IJLSTOZ,X,X,O,X,X,O,O,X
IJLSZTO,O,O,O,O,X,O,O,X
IJLSZOT,O,O,O,O,X,O,O,X
IJLSOTZ,X,X,O,X,X,O,O,X
IJLSOZT,O,X,O,O,X,O,O,X
IJLZTSO,O,X,X,O,X,O,X,X
IJLZTOS,X,X,X,O,X,O,X,X
IJLZSTO,O,X,O,O,X,O,O,X
IJLZSOT,O,X,O,O,X,O,O,X
IJLZOTS,X,X,X,O,X,O,X,X
IJLZOST,X,X,O,O,X,O,O,X
IJLOTSZ,X,X,X,X,X,O,O,X
IJLOTZS,X,X,X,X,X,O,X,X
IJLOSTZ,X,X,O,X,X,O,O,X
IJLOSZT,X,X,O,O,X,O,O,X
IJLOZTS,X,X,X,O,X,O,X,X
IJLOZST,X,X,O,O,X,O,O,X
IJSTLZO,X,O,O,X,X,O,O,X
IJSTLOZ,X,X,O,X,X,O,O,X
IJSTZLO,O,O,O,X,X,X,X,X
IJSTZOL,O,O,O,X,X,X,X,X
IJSTOLZ,X,X,O,X,X,O,X,O
IJSTOZL,O,O,O,X,X,X,X,O
IJSLTZO,X,O,O,X,X,O,O,X
IJSLTOZ,X,X,O,X,X,O,O,X
IJSLZTO,O,O,O,X,X,O,O,X
IJSLZOT,O,O,O,X,X,O,O,X
IJSLOTZ,X,X,O,X,X,O,O,X
IJSLOZT,O,X,O,X,X,O,O,X
IJSZTLO,O,O,O,X,X,X,X,X
IJSZTOL,O,O,O,X,X,X,X,X
IJSZLTO,O,O,O,X,X,X,O,X
IJSZLOT,O,O,O,X,X,X,O,X
IJSZOTL,O,O,O,X,X,X,X,X
IJSZOLT,O,O,O,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,O,X,X
IJSOTZL,O,O,O,X,X,X,X,X
IJSOLTZ,X,X,O,X,X,O,O,X
IJSOLZT,O,X,O,X,X,O,O,X
IJSOZTL,O,O,O,X,X,X,X,X
IJSOZLT,O,O,O,X,X,X,X,X
IJZTLSO,O,X,X,O,X,O,X,X
IJZTLOS,X,X,X,O,X,O,X,X
IJZTSLO,O,O,O,X,X,X,X,X
IJZTSOL,O,O,O,X,X,X,X,X
IJZTOLS,X,X,X,O,X,O,X,O
IJZTOSL,X,O,O,X,X,X,X,O
IJZLTSO,O,X,X,O,X,O,X,X
IJZLTOS,X,X,X,O,X,O,X,X
IJZLSTO,O,X,O,O,X,O,O,X
IJZLSOT,O,X,O,O,X,O,O,X
IJZLOTS,X,X,X,O,X,O,X,X
IJZLOST,X,X,O,O,X,O,O,X
IJZSTLO,O,O,O,X,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X,X
IJZSLTO,O,O,O,X,X,X,O,X
IJZSLOT,O,O,O,X,X,X,O,X
IJZSOTL,O,O,O,X,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X,X
IJZOTLS,X,X,X,O,X,O,X,X
IJZOTSL,X,O,O,X,X,X,X,X
IJZOLTS,X,X,X,O,X,O,X,X
IJZOLST,X,X,O,O,X,O,O,X
IJZOSTL,X,O,O,X,X,X,X,X
IJZOSLT,X,O,O,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,O,O,O
IJOTLZS,X,X,X,X,X,O,X,O
IJOTSLZ,X,X,O,X,X,O,X,O
IJOTSZL,X,O,O,X,X,X,X,O
IJOTZLS,X,X,X,X,X,O,X,O
IJOTZSL,X,X,O,X,X,X,X,O
IJOLTSZ,X,X,X,X,X,O,O,X
IJOLTZS,X,X,X,X,X,O,X,X
IJOLSTZ,X,X,O,X,X,O,O,X
IJOLSZT,X,X,O,O,X,O,O,X
IJOLZTS,X,X,X,O,X,O,X,X
IJOLZST,X,X,O,O,X,O,O,X
IJOSTLZ,X,X,O,X,X,O,X,X
IJOSTZL,X,O,O,X,X,X,X,X
IJOSLTZ,X,X,O,X,X,O,O,X
IJOSLZT,X,X,O,X,X,O,O,X
IJOSZTL,X,O,O,X,X,X,X,X
IJOSZLT,X,O,O,X,X,X,X,X
IJOZTLS,X,X,X,O,X,O,X,X
IJOZTSL,X,X,O,X,X,X,X,X
IJOZLTS,X,X,X,O,X,O,X,X
IJOZLST,X,X,O,O,X,O,O,X
IJOZSTL,X,X,O,X,X,X,X,X
IJOZSLT,X,X,O,X,X,X,X,X
ISTLJZO,X,O,O,X,X,X,O,X
ISTLJOZ,X,X,O,X,X,X,O,X
ISTLZJO,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X
ISTLOJZ,X,X,O,X,X,X,O,X
ISTLOZJ,O,X,X,X,X,X,X,X
ISTJLZO,X,O,O,X,X,X,O,X
ISTJLOZ,X,X,O,X,X,X,O,X
ISTJZLO,O,O,O,X,X,X,X,X
ISTJZOL,O,O,O,X,X,X,X,X
ISTJOLZ,X,X,O,X,X,X,X,X
ISTJOZL,O,O,O,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X,X
ISTOLJZ,X,X,O,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,X,X,X
ISTOJLZ,X,X,O,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X,X
ISLTJZO,X,O,O,X,X,X,O,X
ISLTJOZ,X,X,O,X,X,X,O,X
ISLTZJO,O,O,X,O,X,X,X,X
