sequence,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?9mBynB0sBXsB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?9mBynBXsB0sB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?3hBtnB8rByxB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBtlB?6mBmiBXsB0sB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBtlB?0hBCsB3sBmsB
ITLOSZJ,X,O,X,O,O
ITLOZJS,O,O,O,O,O
ITLOZSJ,O,X,O,O,O
ITJLSZO,X,O,X,O,O
ITJLSOZ,O,O,X,O,O
ITJLZSO,O,X,O,X,O
ITJLZOS,O,O,O,O,O
ITJLOSZ,O,O,X,O,O
ITJLOZS,O,O,O,O,O
ITJSLZO,X,O,X,O,X
ITJSLOZ,O,O,X,O,X
ITJSZLO,O,O,O,O,X
ITJSZOL,O,O,O,O,X
ITJSOLZ,O,O,X,O,X
ITJSOZL,O,O,O,O,X
ITJZLSO,O,X,O,X,O
ITJZLOS,O,O,O,O,O
ITJZSLO,O,O,O,X,X
ITJZSOL,O,O,O,X,X
ITJZOLS,O,O,O,O,O
ITJZOSL,O,O,O,X,X
ITJOLSZ,O,O,X,O,O
ITJOLZS,O,O,O,O,O
ITJOSLZ,O,O,X,O,X
ITJOSZL,O,O,O,O,X
ITJOZLS,O,O,O,O,O
ITJOZSL,O,O,O,X,X
ITSLJZO,X,O,X,O,O
ITSLJOZ,O,O,X,O,O
ITSLZJO,X,O,X,O,O
ITSLZOJ,X,O,X,O,O
ITSLOJZ,O,O,X,O,O
ITSLOZJ,X,O,X,O,O
ITSJLZO,X,O,X,O,X
ITSJLOZ,O,O,X,O,X
ITSJZLO,O,O,O,O,X
ITSJZOL,O,O,O,O,X
ITSJOLZ,O,O,X,O,X
ITSJOZL,O,O,O,O,X
ITSZLJO,O,O,O,O,O
ITSZLOJ,O,O,O,O,O
ITSZJLO,O,O,O,O,X
ITSZJOL,O,O,O,O,X
ITSZOLJ,O,O,O,O,O
ITSZOJL,O,O,O,O,X
ITSOLJZ,O,O,X,O,O
ITSOLZJ,X,O,X,O,O
ITSOJLZ,O,O,X,O,X
ITSOJZL,O,O,O,O,X
ITSOZLJ,O,O,O,O,O
ITSOZJL,O,O,O,O,X
ITZLJSO,O,X,O,X,O
ITZLJOS,O,O,O,O,O
ITZLSJO,O,X,O,O,O
ITZLSOJ,O,X,O,O,O
ITZLOJS,O,O,O,O,O
ITZLOSJ,O,X,O,O,O
ITZJLSO,O,X,O,X,O
ITZJLOS,O,O,O,O,O
ITZJSLO,O,O,O,X,X
ITZJSOL,O,O,O,X,X
ITZJOLS,O,O,O,O,O
ITZJOSL,O,O,O,X,X
ITZSLJO,O,O,O,O,O
ITZSLOJ,O,O,O,O,O
ITZSJLO,O,O,O,O,X
ITZSJOL,O,O,O,O,X
ITZSOLJ,O,O,O,O,O
ITZSOJL,O,O,O,O,X
ITZOLJS,O,O,O,O,O
ITZOLSJ,O,X,O,O,O
ITZOJLS,O,O,O,O,O
ITZOJSL,O,O,O,X,X
ITZOSLJ,O,O,O,O,O
ITZOSJL,O,O,O,O,X
ITOLJSZ,O,O,X,O,O
ITOLJZS,O,O,O,O,O
ITOLSJZ,O,O,X,O,O
ITOLSZJ,X,O,X,O,O
ITOLZJS,O,O,O,O,O
ITOLZSJ,O,X,O,O,O
ITOJLSZ,O,O,X,O,O
ITOJLZS,O,O,O,O,O
ITOJSLZ,O,O,X,O,X
ITOJSZL,O,O,O,O,X
ITOJZLS,O,O,O,O,O
ITOJZSL,O,O,O,X,X
ITOSLJZ,O,O,X,O,O
ITOSLZJ,X,O,X,O,O
ITOSJLZ,O,O,X,O,X
ITOSJZL,O,O,O,O,X
ITOSZLJ,O,O,O,O,O
ITOSZJL,O,O,O,O,X
ITOZLJS,O,O,O,O,O
ITOZLSJ,O,X,O,O,O
ITOZJLS,O,O,O,O,O
ITOZJSL,O,O,O,X,X
ITOZSLJ,O,O,O,O,O
ITOZSJL,O,O,O,O,X
ILTJSZO,X,O,X,O,O
ILTJSOZ,O,O,X,O,O
ILTJZSO,O,X,O,X,O
ILTJZOS,O,O,O,O,O
ILTJOSZ,O,O,X,O,O
ILTJOZS,O,O,O,O,O
ILTSJZO,X,O,X,O,O
ILTSJOZ,O,O,X,O,O
ILTSZJO,X,O,X,O,O
ILTSZOJ,X,O,X,O,O
ILTSOJZ,O,O,X,O,O
ILTSOZJ,X,O,X,O,O
ILTZJSO,O,X,O,X,O
ILTZJOS,O,O,O,O,O
ILTZSJO,O,X,O,O,O
ILTZSOJ,O,X,O,O,O
ILTZOJS,O,O,O,O,O
ILTZOSJ,O,X,O,O,O
ILTOJSZ,O,O,X,O,O
ILTOJZS,O,O,O,O,O
ILTOSJZ,O,O,X,O,O
ILTOSZJ,X,O,X,O,O
ILTOZJS,O,O,O,O,O
ILTOZSJ,O,X,O,O,O
ILJTSZO,X,O,X,X,O
ILJTSOZ,O,O,X,O,O
ILJTZSO,O,X,O,X,O
ILJTZOS,O,O,O,O,O
ILJTOSZ,O,O,X,O,O
ILJTOZS,O,O,O,O,O
ILJSTZO,X,O,X,O,X
ILJSTOZ,X,O,X,O,X
ILJSZTO,X,X,O,O,X
ILJSZOT,X,X,O,X,X
ILJSOTZ,X,O,X,O,X
ILJSOZT,X,X,O,X,X
ILJZTSO,O,X,O,X,O
ILJZTOS,O,X,O,X,O
ILJZSTO,X,X,O,X,X
ILJZSOT,X,X,O,X,X
ILJZOTS,O,X,O,X,X
ILJZOST,X,X,O,X,X
ILJOTSZ,O,O,X,O,O
ILJOTZS,O,O,O,O,O
ILJOSTZ,X,O,X,O,X
ILJOSZT,X,X,O,X,X
ILJOZTS,O,X,O,X,X
ILJOZST,X,X,O,X,X
ILSTJZO,X,O,X,O,O
ILSTJOZ,O,O,X,O,O
ILSTZJO,X,O,X,O,O
ILSTZOJ,X,O,X,O,O
ILSTOJZ,O,O,X,O,O
ILSTOZJ,X,O,X,O,O
ILSJTZO,X,O,X,O,X
ILSJTOZ,X,O,X,O,X
ILSJZTO,X,X,O,O,X
ILSJZOT,X,X,O,X,X
ILSJOTZ,X,O,X,O,X
ILSJOZT,X,X,O,X,X
ILSZTJO,X,O,O,O,O
ILSZTOJ,X,O,O,O,O
ILSZJTO,X,X,O,O,X
ILSZJOT,X,X,O,X,X
ILSZOTJ,X,O,O,X,X
ILSZOJT,X,X,O,X,X
ILSOTJZ,O,O,X,O,O
ILSOTZJ,X,O,X,O,O
ILSOJTZ,X,O,X,O,X
ILSOJZT,X,X,O,X,X
ILSOZTJ,X,O,O,X,X
ILSOZJT,X,X,O,X,X
ILZTJSO,O,X,O,X,O
ILZTJOS,O,O,O,X,O
ILZTSJO,O,X,O,X,O
ILZTSOJ,O,X,O,X,O
ILZTOJS,O,O,O,X,O
ILZTOSJ,O,X,O,X,O
ILZJTSO,O,X,O,X,O
ILZJTOS,O,X,O,X,O
ILZJSTO,X,X,O,X,X
ILZJSOT,X,X,O,X,X
ILZJOTS,O,X,O,X,X
ILZJOST,X,X,O,X,X
ILZSTJO,O,X,O,X,O
ILZSTOJ,O,X,O,X,O
ILZSJTO,X,X,O,X,X
ILZSJOT,X,X,O,X,X
ILZSOTJ,O,X,O,X,X
ILZSOJT,X,X,O,X,X
ILZOTJS,O,O,O,X,O
ILZOTSJ,O,X,O,X,O
ILZOJTS,O,X,O,X,X
ILZOJST,X,X,O,X,X
ILZOSTJ,O,X,O,X,X
ILZOSJT,X,X,O,X,X
ILOTJSZ,O,O,X,O,O
ILOTJZS,O,O,O,O,O
ILOTSJZ,O,O,X,O,O
ILOTSZJ,X,O,X,O,O
ILOTZJS,O,O,O,O,O
ILOTZSJ,O,X,O,O,O
ILOJTSZ,O,O,X,O,O
ILOJTZS,O,O,O,O,O
ILOJSTZ,X,O,X,O,X
ILOJSZT,X,X,O,X,X
ILOJZTS,O,X,O,X,X
ILOJZST,X,X,O,X,X
ILOSTJZ,O,O,X,O,O
ILOSTZJ,X,O,X,O,O
ILOSJTZ,X,O,X,O,X
ILOSJZT,X,X,O,X,X
ILOSZTJ,X,O,O,X,X
ILOSZJT,X,X,O,X,X
ILOZTJS,O,O,O,X,O
ILOZTSJ,O,X,O,X,O
ILOZJTS,O,X,O,X,X
ILOZJST,X,X,O,X,X
ILOZSTJ,O,X,O,X,X
ILOZSJT,X,X,O,X,X
IJTLSZO,X,O,X,O,O
IJTLSOZ,O,O,X,O,O
IJTLZSO,O,X,O,X,O
IJTLZOS,O,O,O,O,O
IJTLOSZ,O,O,X,O,O
IJTLOZS,O,O,O,O,O
IJTSLZO,X,O,X,O,X
IJTSLOZ,O,O,X,O,X
IJTSZLO,O,O,O,O,X
IJTSZOL,O,O,O,O,X
IJTSOLZ,O,O,X,O,X
IJTSOZL,O,O,O,O,X
IJTZLSO,O,X,O,X,O
IJTZLOS,O,O,O,O,O
IJTZSLO,O,O,O,X,X
IJTZSOL,O,O,O,X,X
IJTZOLS,O,O,O,O,O
IJTZOSL,O,O,O,X,X
IJTOLSZ,O,O,X,O,O
IJTOLZS,O,O,O,O,O
IJTOSLZ,O,O,X,O,X
IJTOSZL,O,O,O,O,X
IJTOZLS,O,O,O,O,O
IJTOZSL,O,O,O,X,X
IJLTSZO,X,O,X,X,O
IJLTSOZ,O,O,X,O,O
IJLTZSO,O,X,O,X,O
IJLTZOS,O,O,O,O,O
IJLTOSZ,O,O,X,O,O
IJLTOZS,O,O,O,O,O
IJLSTZO,X,O,X,O,X
IJLSTOZ,X,O,X,O,X
IJLSZTO,X,X,O,O,X
IJLSZOT,X,X,O,X,X
IJLSOTZ,X,O,X,O,X
IJLSOZT,X,X,O,X,X
IJLZTSO,O,X,O,X,O
IJLZTOS,O,X,O,X,O
IJLZSTO,X,X,O,X,X
IJLZSOT,X,X,O,X,X
IJLZOTS,O,X,O,X,X
IJLZOST,X,X,O,X,X
IJLOTSZ,O,O,X,O,O
IJLOTZS,O,O,O,O,O
IJLOSTZ,X,O,X,O,X
IJLOSZT,X,X,O,X,X
IJLOZTS,O,X,O,X,X
IJLOZST,X,X,O,X,X
IJSTLZO,X,O,X,O,X
IJSTLOZ,O,O,X,O,X
IJSTZLO,O,O,O,O,X
IJSTZOL,O,O,O,O,X
IJSTOLZ,O,O,X,O,X
IJSTOZL,O,O,O,O,X
IJSLTZO,X,O,X,O,X
IJSLTOZ,X,O,X,O,X
IJSLZTO,X,X,O,O,X
IJSLZOT,X,X,O,X,X
IJSLOTZ,X,O,X,O,X
IJSLOZT,X,X,O,X,X
IJSZTLO,O,O,O,O,X
IJSZTOL,O,O,O,O,X
IJSZLTO,X,X,O,O,X
IJSZLOT,X,X,O,X,X
IJSZOTL,O,O,O,O,X
IJSZOLT,X,X,O,X,X
IJSOTLZ,O,O,X,O,X
IJSOTZL,O,O,O,O,X
IJSOLTZ,X,O,X,O,X
IJSOLZT,X,X,O,X,X
IJSOZTL,O,O,O,O,X
IJSOZLT,X,X,O,X,X
IJZTLSO,O,X,O,X,X
IJZTLOS,O,O,O,O,X
IJZTSLO,O,O,O,X,X
IJZTSOL,O,O,O,X,X
IJZTOLS,O,O,O,O,X
IJZTOSL,O,O,O,X,X
IJZLTSO,O,X,O,X,X
IJZLTOS,O,X,O,X,X
IJZLSTO,X,X,O,X,X
IJZLSOT,X,X,O,X,X
IJZLOTS,O,X,O,X,X
IJZLOST,X,X,O,X,X
IJZSTLO,O,O,O,O,X
IJZSTOL,O,O,O,O,X
IJZSLTO,X,X,O,O,X
IJZSLOT,X,X,O,X,X
IJZSOTL,O,O,O,O,X
IJZSOLT,X,X,O,X,X
IJZOTLS,O,O,O,O,X
IJZOTSL,O,O,O,X,X
IJZOLTS,O,X,O,X,X
IJZOLST,X,X,O,X,X
IJZOSTL,O,O,O,O,X
IJZOSLT,X,X,O,X,X
IJOTLSZ,O,O,X,O,O
IJOTLZS,O,O,O,O,O
IJOTSLZ,O,O,X,O,X
IJOTSZL,O,O,O,O,X
IJOTZLS,O,O,O,O,O
IJOTZSL,O,O,O,X,X
IJOLTSZ,O,O,X,O,O
IJOLTZS,O,O,O,O,O
IJOLSTZ,X,O,X,O,X
IJOLSZT,X,X,O,X,X
IJOLZTS,O,X,O,X,X
IJOLZST,X,X,O,X,X
IJOSTLZ,O,O,X,O,X
IJOSTZL,O,O,O,O,X
IJOSLTZ,X,O,X,O,X
IJOSLZT,X,X,O,X,X
IJOSZTL,O,O,O,O,X
IJOSZLT,X,X,O,X,X
IJOZTLS,O,O,O,O,X
IJOZTSL,O,O,O,X,X
IJOZLTS,O,X,O,X,X
IJOZLST,X,X,O,X,X
IJOZSTL,O,O,O,O,X
IJOZSLT,X,X,O,X,X
ISTLJZO,X,O,X,O,O
ISTLJOZ,O,O,X,O,O
ISTLZJO,X,O,X,O,O
ISTLZOJ,X,O,X,O,O
ISTLOJZ,O,O,X,O,O
ISTLOZJ,X,O,X,O,O
ISTJLZO,X,O,X,O,X
ISTJLOZ,O,O,X,O,X
ISTJZLO,O,O,O,O,X
ISTJZOL,O,O,O,O,X
ISTJOLZ,O,O,X,O,X
ISTJOZL,O,O,O,O,X
ISTZLJO,O,O,O,O,O
ISTZLOJ,O,O,O,O,O
ISTZJLO,O,O,O,O,X
ISTZJOL,O,O,O,O,X
ISTZOLJ,O,O,O,O,O
ISTZOJL,O,O,O,O,X
ISTOLJZ,O,O,X,O,O
ISTOLZJ,X,O,X,O,O
ISTOJLZ,O,O,X,O,X
ISTOJZL,O,O,O,O,X
ISTOZLJ,O,O,O,O,O
ISTOZJL,O,O,O,O,X
ISLTJZO,X,O,X,O,O
ISLTJOZ,O,O,X,O,O
ISLTZJO,X,O,X,O,O
ISLTZOJ,X,O,X,O,O
ISLTOJZ,O,O,X,O,O
ISLTOZJ,X,O,X,O,O
ISLJTZO,X,O,X,O,X
ISLJTOZ,X,O,X,O,X
ISLJZTO,X,X,O,O,X
ISLJZOT,X,X,O,X,X
ISLJOTZ,X,O,X,O,X
ISLJOZT,X,X,O,X,X
ISLZTJO,X,O,O,O,O
ISLZTOJ,X,O,O,O,O
ISLZJTO,X,X,O,O,X
ISLZJOT,X,X,O,X,X
ISLZOTJ,X,O,O,X,X
ISLZOJT,X,X,O,X,X
ISLOTJZ,O,O,X,O,O
ISLOTZJ,X,O,X,O,O
ISLOJTZ,X,O,X,O,X
ISLOJZT,X,X,O,X,X
ISLOZTJ,X,O,O,X,X
ISLOZJT,X,X,O,X,X
ISJTLZO,X,O,X,O,X
ISJTLOZ,O,O,X,O,X
ISJTZLO,O,O,O,O,X
ISJTZOL,O,O,O,O,X
ISJTOLZ,O,O,X,O,X
ISJTOZL,O,O,O,O,X
ISJLTZO,X,O,X,O,X
ISJLTOZ,X,O,X,O,X
ISJLZTO,X,X,O,O,X
ISJLZOT,X,X,O,X,X
ISJLOTZ,X,O,X,O,X
ISJLOZT,X,X,O,X,X
ISJZTLO,O,O,O,O,X
ISJZTOL,O,O,O,O,X
ISJZLTO,X,X,O,O,X
ISJZLOT,X,X,O,X,X
ISJZOTL,O,O,O,O,X
ISJZOLT,X,X,O,X,X
ISJOTLZ,O,O,X,O,X
ISJOTZL,O,O,O,O,X
ISJOLTZ,X,O,X,O,X
ISJOLZT,X,X,O,X,X
ISJOZTL,O,O,O,O,X
ISJOZLT,X,X,O,X,X
ISZTLJO,O,O,O,O,X
ISZTLOJ,O,O,O,O,X
ISZTJLO,O,O,O,O,X
ISZTJOL,O,O,O,O,X
ISZTOLJ,O,O,O,O,X
ISZTOJL,O,O,O,O,X
ISZLTJO,O,O,O,O,X
ISZLTOJ,O,O,O,O,X
ISZLJTO,X,X,O,O,X
ISZLJOT,X,X,O,X,X
ISZLOTJ,O,O,O,X,X
ISZLOJT,X,X,O,X,X
ISZJTLO,O,O,O,O,X
ISZJTOL,O,O,O,O,X
ISZJLTO,X,X,O,O,X
ISZJLOT,X,X,O,X,X
ISZJOTL,O,O,O,O,X
ISZJOLT,X,X,O,X,X
ISZOTLJ,O,O,O,O,X
ISZOTJL,O,O,O,O,X
ISZOLTJ,O,O,O,X,X
ISZOLJT,X,X,O,X,X
ISZOJTL,O,O,O,O,X
ISZOJLT,X,X,O,X,X
ISOTLJZ,O,O,X,O,O
ISOTLZJ,X,O,X,O,O
ISOTJLZ,O,O,X,O,X
ISOTJZL,O,O,O,O,X
ISOTZLJ,O,O,O,O,O
ISOTZJL,O,O,O,O,X
ISOLTJZ,O,O,X,O,O
ISOLTZJ,X,O,X,O,O
ISOLJTZ,X,O,X,O,X
ISOLJZT,X,X,O,X,X
ISOLZTJ,X,O,O,X,X
ISOLZJT,X,X,O,X,X
ISOJTLZ,O,O,X,O,X
ISOJTZL,O,O,O,O,X
ISOJLTZ,X,O,X,O,X
ISOJLZT,X,X,O,X,X
ISOJZTL,O,O,O,O,X
ISOJZLT,X,X,O,X,X
ISOZTLJ,O,O,O,O,X
ISOZTJL,O,O,O,O,X
ISOZLTJ,O,O,O,X,X
ISOZLJT,X,X,O,X,X
ISOZJTL,O,O,O,O,X
ISOZJLT,X,X,O,X,X
IZTLJSO,O,X,O,X,O
IZTLJOS,O,O,O,O,O
IZTLSJO,O,X,O,O,O
IZTLSOJ,O,X,O,O,O
IZTLOJS,O,O,O,O,O
IZTLOSJ,O,X,O,O,O
IZTJLSO,O,X,O,X,O
IZTJLOS,O,O,O,O,O
IZTJSLO,O,O,O,X,X
IZTJSOL,O,O,O,X,X
IZTJOLS,O,O,O,O,O
IZTJOSL,O,O,O,X,X
IZTSLJO,O,O,O,O,O
IZTSLOJ,O,O,O,O,O
IZTSJLO,O,O,O,O,X
IZTSJOL,O,O,O,O,X
IZTSOLJ,O,O,O,O,O
IZTSOJL,O,O,O,O,X
IZTOLJS,O,O,O,O,O
IZTOLSJ,O,X,O,O,O
IZTOJLS,O,O,O,O,O
IZTOJSL,O,O,O,X,X
IZTOSLJ,O,O,O,O,O
IZTOSJL,O,O,O,O,X
IZLTJSO,O,X,O,X,O
IZLTJOS,O,O,O,X,O
IZLTSJO,O,X,O,X,O
IZLTSOJ,O,X,O,X,O
IZLTOJS,O,O,O,X,O
IZLTOSJ,O,X,O,X,O
IZLJTSO,O,X,O,X,O
IZLJTOS,O,X,O,X,O
IZLJSTO,X,X,O,X,X
IZLJSOT,X,X,O,X,X
IZLJOTS,O,X,O,X,X
IZLJOST,X,X,O,X,X
IZLSTJO,O,X,O,X,O
IZLSTOJ,O,X,O,X,O
IZLSJTO,X,X,O,X,X
IZLSJOT,X,X,O,X,X
IZLSOTJ,O,X,O,X,X
IZLSOJT,X,X,O,X,X
IZLOTJS,O,O,O,X,O
IZLOTSJ,O,X,O,X,O
IZLOJTS,O,X,O,X,X
IZLOJST,X,X,O,X,X
IZLOSTJ,O,X,O,X,X
IZLOSJT,X,X,O,X,X
IZJTLSO,O,X,O,X,X
IZJTLOS,O,O,O,O,X
IZJTSLO,O,O,O,X,X
IZJTSOL,O,O,O,X,X
IZJTOLS,O,O,O,O,X
IZJTOSL,O,O,O,X,X
IZJLTSO,O,X,O,X,X
IZJLTOS,O,X,O,X,X
IZJLSTO,X,X,O,X,X
IZJLSOT,X,X,O,X,X
IZJLOTS,O,X,O,X,X
IZJLOST,X,X,O,X,X
IZJSTLO,O,O,O,O,X
IZJSTOL,O,O,O,O,X
IZJSLTO,X,X,O,O,X
IZJSLOT,X,X,O,X,X
IZJSOTL,O,O,O,O,X
IZJSOLT,X,X,O,X,X
IZJOTLS,O,O,O,O,X
IZJOTSL,O,O,O,X,X
IZJOLTS,O,X,O,X,X
IZJOLST,X,X,O,X,X
IZJOSTL,O,O,O,O,X
IZJOSLT,X,X,O,X,X
IZSTLJO,O,O,O,O,X
IZSTLOJ,O,O,O,O,X
IZSTJLO,O,O,O,O,X
IZSTJOL,O,O,O,O,X
IZSTOLJ,O,O,O,O,X
IZSTOJL,O,O,O,O,X
IZSLTJO,O,O,O,O,X
IZSLTOJ,O,O,O,O,X
IZSLJTO,X,X,O,O,X
IZSLJOT,X,X,O,X,X
IZSLOTJ,O,O,O,X,X
IZSLOJT,X,X,O,X,X
IZSJTLO,O,O,O,O,X
IZSJTOL,O,O,O,O,X
IZSJLTO,X,X,O,O,X
IZSJLOT,X,X,O,X,X
IZSJOTL,O,O,O,O,X
IZSJOLT,X,X,O,X,X
IZSOTLJ,O,O,O,O,X
IZSOTJL,O,O,O,O,X
IZSOLTJ,O,O,O,X,X
IZSOLJT,X,X,O,X,X
IZSOJTL,O,O,O,O,X
IZSOJLT,X,X,O,X,X
IZOTLJS,O,O,O,O,O
IZOTLSJ,O,X,O,O,O
IZOTJLS,O,O,O,O,O
IZOTJSL,O,O,O,X,X
IZOTSLJ,O,O,O,O,O
IZOTSJL,O,O,O,O,X
IZOLTJS,O,O,O,X,O
IZOLTSJ,O,X,O,X,O
IZOLJTS,O,X,O,X,X
IZOLJST,X,X,O,X,X
IZOLSTJ,O,X,O,X,X
IZOLSJT,X,X,O,X,X
IZOJTLS,O,O,O,O,X
IZOJTSL,O,O,O,X,X
IZOJLTS,O,X,O,X,X
IZOJLST,X,X,O,X,X
IZOJSTL,O,O,O,O,X
IZOJSLT,X,X,O,X,X
IZOSTLJ,O,O,O,O,X
IZOSTJL,O,O,O,O,X
IZOSLTJ,O,O,O,X,X
IZOSLJT,X,X,O,X,X
IZOSJTL,O,O,O,O,X
IZOSJLT,X,X,O,X,X
IOTLJSZ,O,O,X,O,O
IOTLJZS,O,O,O,O,O
IOTLSJZ,O,O,X,O,O
IOTLSZJ,X,O,X,O,O
IOTLZJS,O,O,O,O,O
IOTLZSJ,O,X,O,O,O
IOTJLSZ,O,O,X,O,O
IOTJLZS,O,O,O,O,O
IOTJSLZ,O,O,X,O,X
IOTJSZL,O,O,O,O,X
IOTJZLS,O,O,O,O,O
IOTJZSL,O,O,O,X,X
IOTSLJZ,O,O,X,O,O
IOTSLZJ,X,O,X,O,O
IOTSJLZ,O,O,X,O,X
IOTSJZL,O,O,O,O,X
IOTSZLJ,O,O,O,O,O
IOTSZJL,O,O,O,O,X
IOTZLJS,O,O,O,O,O
IOTZLSJ,O,X,O,O,O
IOTZJLS,O,O,O,O,O
IOTZJSL,O,O,O,X,X
IOTZSLJ,O,O,O,O,O
IOTZSJL,O,O,O,O,X
IOLTJSZ,O,O,X,O,O
IOLTJZS,O,O,O,O,O
IOLTSJZ,O,O,X,O,O
IOLTSZJ,X,O,X,O,O
IOLTZJS,O,O,O,O,O
IOLTZSJ,O,X,O,O,O
IOLJTSZ,O,O,X,O,O
IOLJTZS,O,O,O,O,O
IOLJSTZ,X,O,X,O,X
IOLJSZT,X,X,O,X,X
IOLJZTS,O,X,O,X,X
IOLJZST,X,X,O,X,X
IOLSTJZ,O,O,X,O,O
IOLSTZJ,X,O,X,O,O
IOLSJTZ,X,O,X,O,X
IOLSJZT,X,X,O,X,X
IOLSZTJ,X,O,O,X,X
IOLSZJT,X,X,O,X,X
IOLZTJS,O,O,O,X,O
IOLZTSJ,O,X,O,X,O
IOLZJTS,O,X,O,X,X
IOLZJST,X,X,O,X,X
IOLZSTJ,O,X,O,X,X
IOLZSJT,X,X,O,X,X
IOJTLSZ,O,O,X,O,O
IOJTLZS,O,O,O,O,O
IOJTSLZ,O,O,X,O,X
IOJTSZL,O,O,O,O,X
IOJTZLS,O,O,O,O,O
IOJTZSL,O,O,O,X,X
IOJLTSZ,O,O,X,O,O
IOJLTZS,O,O,O,O,O
IOJLSTZ,X,O,X,O,X
IOJLSZT,X,X,O,X,X
IOJLZTS,O,X,O,X,X
IOJLZST,X,X,O,X,X
IOJSTLZ,O,O,X,O,X
IOJSTZL,O,O,O,O,X
IOJSLTZ,X,O,X,O,X
IOJSLZT,X,X,O,X,X
IOJSZTL,O,O,O,O,X
IOJSZLT,X,X,O,X,X
IOJZTLS,O,O,O,O,X
IOJZTSL,O,O,O,X,X
IOJZLTS,O,X,O,X,X
IOJZLST,X,X,O,X,X
IOJZSTL,O,O,O,O,X
IOJZSLT,X,X,O,X,X
IOSTLJZ,O,O,X,O,O
IOSTLZJ,X,O,X,O,O
IOSTJLZ,O,O,X,O,X
IOSTJZL,O,O,O,O,X
IOSTZLJ,O,O,O,O,O
IOSTZJL,O,O,O,O,X
IOSLTJZ,O,O,X,O,O
IOSLTZJ,X,O,X,O,O
IOSLJTZ,X,O,X,O,X
IOSLJZT,X,X,O,X,X
IOSLZTJ,X,O,O,X,X
IOSLZJT,X,X,O,X,X
IOSJTLZ,O,O,X,O,X
IOSJTZL,O,O,O,O,X
IOSJLTZ,X,O,X,O,X
IOSJLZT,X,X,O,X,X
IOSJZTL,O,O,O,O,X
IOSJZLT,X,X,O,X,X
IOSZTLJ,O,O,O,O,X
IOSZTJL,O,O,O,O,X
IOSZLTJ,O,O,O,X,X
IOSZLJT,X,X,O,X,X
IOSZJTL,O,O,O,O,X
IOSZJLT,X,X,O,X,X
IOZTLJS,O,O,O,O,O
IOZTLSJ,O,X,O,O,O
IOZTJLS,O,O,O,O,O
IOZTJSL,O,O,O,X,X
IOZTSLJ,O,O,O,O,O
IOZTSJL,O,O,O,O,X
IOZLTJS,O,O,O,X,O
IOZLTSJ,O,X,O,X,O
IOZLJTS,O,X,O,X,X
IOZLJST,X,X,O,X,X
IOZLSTJ,O,X,O,X,X
IOZLSJT,X,X,O,X,X
IOZJTLS,O,O,O,O,X
IOZJTSL,O,O,O,X,X
IOZJLTS,O,X,O,X,X
IOZJLST,X,X,O,X,X
IOZJSTL,O,O,O,O,X
IOZJSLT,X,X,O,X,X
IOZSTLJ,O,O,O,O,X
IOZSTJL,O,O,O,O,X
IOZSLTJ,O,O,O,X,X
IOZSLJT,X,X,O,X,X
IOZSJTL,O,O,O,O,X
IOZSJLT,X,X,O,X,X
LTIJSZO,X,O,X,O,O
LTIJSOZ,O,O,X,O,O
LTIJZSO,O,X,O,X,O
LTIJZOS,O,O,O,O,O
LTIJOSZ,O,O,X,O,O
LTIJOZS,O,O,O,O,O
LTISJZO,X,O,X,O,O
LTISJOZ,O,O,X,O,O
LTISZJO,X,O,X,O,O
LTISZOJ,X,O,X,O,O
LTISOJZ,O,O,X,O,O
LTISOZJ,X,O,X,O,O
LTIZJSO,O,X,O,X,O
LTIZJOS,O,O,O,O,O
LTIZSJO,O,X,O,O,O
LTIZSOJ,O,X,O,O,O
LTIZOJS,O,O,O,O,O
LTIZOSJ,O,X,O,O,O
LTIOJSZ,O,O,X,O,O
LTIOJZS,O,O,O,O,O
LTIOSJZ,O,O,X,O,O
LTIOSZJ,X,O,X,O,O
LTIOZJS,O,O,O,O,O
LTIOZSJ,O,X,O,O,O
LTJISZO,X,O,X,O,O
LTJISOZ,O,O,X,O,O
LTJIZSO,O,X,O,X,O
LTJIZOS,O,O,O,O,O
LTJIOSZ,O,O,X,O,O
LTJIOZS,O,O,O,O,O
LTJSIZO,X,O,X,O,X
LTJSIOZ,O,O,X,O,X
LTJSZIO,X,O,X,O,X
LTJSZOI,X,O,X,O,X
LTJSOIZ,O,O,X,O,X
LTJSOZI,X,O,X,O,X
LTJZISO,O,X,O,X,O
LTJZIOS,O,O,O,O,O
LTJZSIO,O,X,O,X,X
LTJZSOI,O,X,O,X,X
LTJZOIS,O,O,O,O,O
LTJZOSI,O,X,O,X,X
LTJOISZ,O,O,X,O,O
LTJOIZS,O,O,O,O,O
LTJOSIZ,O,O,X,O,X
LTJOSZI,X,O,X,O,X
LTJOZIS,O,O,O,O,O
LTJOZSI,O,X,O,X,X
LTSIJZO,X,O,X,O,O
LTSIJOZ,O,O,X,O,O
