sequence,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFTgBxhBfqBcsBCr?BlrB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhF6mBTiB2pB8qBXs?BFqB,v115@FhB8HeB8HeD8BeA8BeC8Je1FJvhFxhB0kBGnBikB3q?BzrB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFTiBxkBVrBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBxhBTnBFqB0r?BCrB,v115@FhB8HeB8HeD8BeA8BeC8Je2EJvhFfmBTiBxpBFsB6r?BUqB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhFzfBFiBcsBxqBGr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBTiBFqBxrBCr?B0rB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhF1pB0lBxmBGnBzr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhF8kBfmBxhBTqBCs?BFsB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhFlhBTkB2qBCsBcs?B3qB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhFWmB3kBTqBxrBcs?BlrB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhF0gBxhBGnBlqBzr?BfqB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFxkBVrBTnBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeFBJvhFTiBxkBSrB2pBXs?BUqB,v115@FhB8HeB8HeD8BeA8BeC8Jel/IvhF2pB0lBxmBqrBTn?B3qB
IZJTSOL,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,O
IZJTOLS,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O
IZJTOSL,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
IZJLTSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
IZJLTOS,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O
IZJLSTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZJSTOL,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O
IZJSLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O
IZJOTSL,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O
IZJOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IZSTJLO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
IZSTOLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
IZSLTJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZSJTOL,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O
IZSJLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
IZOTLSJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZOTJLS,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X
IZOTJSL,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
IZOTSLJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZOTSJL,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IZOLTJS,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
IZOLTSJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZOLJTS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,O
IZOJTSL,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O
IZOJLTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSTLJ,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
IZOSTJL,O,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X
IZOSLTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJTL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOTLJZS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
IOTLSJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOTJLZS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
IOTJSLZ,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IOTJSZL,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTJZLS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTJZSL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTSLZJ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
IOTSJLZ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTSJZL,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTSZLJ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
IOTSZJL,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTZLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOTZLSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IOTZJSL,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IOTZSLJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IOLTJSZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLTJZS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLJZTS,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
IOLJZST,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSTZJ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IOLSZJT,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IOLZTJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLZJST,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOLZSTJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOJTLZS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
IOJTSLZ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IOJTSZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJTZLS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IOJTZSL,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
IOJLSTZ,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJLZTS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSTLZ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IOJSTZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJSLZT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJSZTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSZLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZTLS,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IOJZTSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLTS,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJZLST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZSTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZSLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSTLJZ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSTLZJ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
IOSTJLZ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSTJZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSTZLJ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
IOSTZJL,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X
IOSLTJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSLZJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSJTLZ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSJTZL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOSJZTL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSJZLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOSZTJL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZJTL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZTLJS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOZTLSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZTJLS,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
IOZTJSL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZLTJS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOZLTSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZLJTS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZLJST,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
IOZJTSL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZJLTS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJLST,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOZJSTL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZJSLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOZSTJL,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZSLJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZSJTL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
LTIJSZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
LTIJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISJZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
LTISZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTISOJZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
LTISOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTIZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIZSJO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
LTIZOJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
LTIOJZS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
LTIOSJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
LTIOSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTIOZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
LTJIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
LTJSZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LTJSOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJZOSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOIZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
LTJOSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTJOZIS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTSIJZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
LTSIZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTSIOJZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
LTSIOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTSJIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
LTSJZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSJOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
LTSZJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
LTSZOJI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTSOIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTSOJIZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
LTSOJZI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOZIJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
LTSOZJI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZIJOS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LTZISJO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
LTZIOJS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LTZIOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTZJISO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZJIOS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LTZJSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
LTZJOSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
LTZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X
LTZSOJI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
LTZOISJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZOJIS,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X
LTZOJSI,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTZOSIJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZOSJI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTOIJZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
LTOISJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTOISZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTOIZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTOIZSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOJIZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
LTOJSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOJZIS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
LTOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOSIJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTOSIZJ,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
LTOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LTOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZIJ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
LTOSZJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZIJS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LTOZISJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTOZJIS,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X
LTOZJSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTOZSIJ,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
LTOZSJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
LITJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSJZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITSJOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
LITSZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LITSZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LITSOJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
LITSOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LITZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZSJO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZSOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LITZOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
