sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
TSZIJLO,O,O,X,X
TSZIJOL,O,O,X,X
TSZIOLJ,O,O,X,X
TSZIOJL,O,O,O,X
TSZLIJO,O,O,X,X
TSZLIOJ,O,O,X,X
TSZLJIO,O,O,X,X
TSZLJOI,O,O,X,X
TSZLOIJ,O,O,X,X
TSZLOJI,O,O,X,X
TSZJILO,O,O,X,X
TSZJIOL,O,O,X,X
TSZJLIO,O,O,X,X
TSZJLOI,O,O,X,X
TSZJOIL,O,O,X,X
TSZJOLI,O,O,X,X
TSZOILJ,O,O,X,X
TSZOIJL,O,O,O,X
TSZOLIJ,O,O,X,X
TSZOLJI,O,O,X,X
TSZOJIL,O,O,X,X
TSZOJLI,O,O,X,X
TSOILJZ,O,O,O,X
TSOILZJ,O,O,X,X
TSOIJLZ,O,O,O,X
TSOIJZL,O,O,O,X
TSOIZLJ,O,O,X,X
TSOIZJL,O,O,O,X
TSOLIJZ,O,O,O,X
TSOLIZJ,O,O,X,X
TSOLJIZ,O,O,X,X
TSOLJZI,O,O,X,X
TSOLZIJ,O,O,X,X
TSOLZJI,O,O,X,X
TSOJILZ,O,O,O,X
TSOJIZL,O,O,O,X
TSOJLIZ,O,O,O,X
TSOJLZI,O,O,X,X
TSOJZIL,O,O,O,X
TSOJZLI,O,O,X,X
TSOZILJ,O,O,X,X
TSOZIJL,O,O,O,X
TSOZLIJ,O,O,X,X
TSOZLJI,O,O,X,X
TSOZJIL,O,O,X,X
TSOZJLI,O,O,X,X
TZILJSO,O,O,X,X
TZILJOS,O,O,X,X
TZILSJO,O,O,X,X
TZILSOJ,O,O,X,X
TZILOJS,O,O,X,X
TZILOSJ,O,O,X,X
TZIJLSO,O,O,X,X
TZIJLOS,O,O,X,X
TZIJSLO,O,O,X,X
TZIJSOL,O,O,O,X
TZIJOLS,O,O,X,X
TZIJOSL,O,O,O,X
TZISLJO,O,O,X,X
TZISLOJ,O,O,X,X
TZISJLO,O,O,X,X
TZISJOL,O,O,X,X
TZISOLJ,O,O,X,X
TZISOJL,O,O,O,X
TZIOLJS,O,O,X,X
TZIOLSJ,O,O,X,X
TZIOJLS,O,O,X,X
TZIOJSL,O,O,O,X
TZIOSLJ,O,O,X,X
TZIOSJL,O,O,O,X
TZLIJSO,O,O,X,X
TZLIJOS,O,O,X,X
TZLISJO,O,O,X,X
TZLISOJ,O,O,X,X
TZLIOJS,O,O,X,X
TZLIOSJ,O,O,X,X
TZLJISO,O,O,X,X
TZLJIOS,O,O,X,X
TZLJSIO,O,O,X,X
TZLJSOI,O,O,X,X
TZLJOIS,O,O,X,X
TZLJOSI,O,O,X,X
TZLSIJO,O,O,X,X
TZLSIOJ,O,O,X,X
TZLSJIO,O,O,X,X
TZLSJOI,O,O,X,X
TZLSOIJ,O,O,X,X
TZLSOJI,O,O,X,X
TZLOIJS,O,O,X,X
TZLOISJ,O,O,X,X
TZLOJIS,O,O,X,X
TZLOJSI,O,O,X,X
TZLOSIJ,O,O,X,X
TZLOSJI,O,O,X,X
TZJILSO,O,O,X,X
TZJILOS,O,O,X,X
TZJISLO,O,O,X,X
TZJISOL,O,O,O,X
TZJIOLS,O,O,X,X
TZJIOSL,O,O,O,X
TZJLISO,O,O,X,X
TZJLIOS,O,O,X,X
TZJLSIO,O,O,X,X
TZJLSOI,O,O,X,X
TZJLOIS,O,O,X,X
TZJLOSI,O,O,X,X
TZJSILO,O,O,X,X
TZJSIOL,O,O,O,X
TZJSLIO,O,O,X,X
TZJSLOI,O,O,X,X
TZJSOIL,O,O,O,X
TZJSOLI,O,O,X,X
TZJOILS,O,O,X,X
TZJOISL,O,O,O,X
TZJOLIS,O,O,X,X
TZJOLSI,O,O,X,X
TZJOSIL,O,O,O,X
TZJOSLI,O,O,X,X
TZSILJO,O,O,X,X
TZSILOJ,O,O,X,X
TZSIJLO,O,O,X,X
TZSIJOL,O,O,X,X
TZSIOLJ,O,O,X,X
TZSIOJL,O,O,O,X
TZSLIJO,O,O,X,X
TZSLIOJ,O,O,X,X
TZSLJIO,O,O,X,X
TZSLJOI,O,O,X,X
TZSLOIJ,O,O,X,X
TZSLOJI,O,O,X,X
TZSJILO,O,O,X,X
TZSJIOL,O,O,X,X
TZSJLIO,O,O,X,X
TZSJLOI,O,O,X,X
TZSJOIL,O,O,X,X
TZSJOLI,O,O,X,X
TZSOILJ,O,O,X,X
TZSOIJL,O,O,O,X
TZSOLIJ,O,O,X,X
TZSOLJI,O,O,X,X
TZSOJIL,O,O,X,X
TZSOJLI,O,O,X,X
TZOILJS,O,O,X,X
TZOILSJ,O,O,X,X
TZOIJLS,O,O,X,X
TZOIJSL,O,O,O,X
TZOISLJ,O,O,X,X
TZOISJL,O,O,O,X
TZOLIJS,O,O,X,X
TZOLISJ,O,O,X,X
TZOLJIS,O,O,X,X
TZOLJSI,O,O,X,X
TZOLSIJ,O,O,X,X
TZOLSJI,O,O,X,X
TZOJILS,O,O,X,X
TZOJISL,O,O,O,X
TZOJLIS,O,O,X,X
TZOJLSI,O,O,X,X
TZOJSIL,O,O,O,X
TZOJSLI,O,O,X,X
TZOSILJ,O,O,X,X
TZOSIJL,O,O,O,X
TZOSLIJ,O,O,X,X
TZOSLJI,O,O,X,X
TZOSJIL,O,O,X,X
TZOSJLI,O,O,X,X
TOILJSZ,O,O,O,X
TOILJZS,O,O,X,O
TOILSJZ,O,O,O,X
TOILSZJ,O,O,X,X
TOILZJS,O,O,X,O
TOILZSJ,O,O,X,O
TOIJLSZ,X,O,O,X
TOIJLZS,X,O,X,O
TOIJSLZ,X,O,O,X
TOIJSZL,O,O,O,X
TOIJZLS,O,O,X,X
TOIJZSL,O,O,O,X
TOISLJZ,O,O,O,X
TOISLZJ,O,O,X,X
TOISJLZ,O,O,O,X
TOISJZL,O,O,O,X
TOISZLJ,O,O,X,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,X,X
TOIZLSJ,O,O,X,X
TOIZJLS,O,O,X,X
TOIZJSL,O,O,O,X
TOIZSLJ,O,O,X,X
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,O,X
TOLIJZS,O,O,X,O
TOLISJZ,O,O,O,X
TOLISZJ,O,O,X,X
TOLIZJS,O,O,X,O
TOLIZSJ,O,O,X,O
TOLJISZ,O,O,O,X
TOLJIZS,O,O,X,O
TOLJSIZ,O,O,O,X
TOLJSZI,O,O,X,X
TOLJZIS,O,O,X,O
TOLJZSI,O,O,X,O
TOLSIJZ,O,O,O,X
TOLSIZJ,O,O,X,X
TOLSJIZ,O,O,X,X
TOLSJZI,O,O,X,X
TOLSZIJ,O,O,X,X
TOLSZJI,O,O,X,X
TOLZIJS,O,O,X,O
TOLZISJ,O,O,X,O
TOLZJIS,O,O,X,O
TOLZJSI,O,O,X,O
TOLZSIJ,O,O,X,O
TOLZSJI,O,O,X,O
TOJILSZ,X,O,O,X
TOJILZS,X,O,X,O
TOJISLZ,X,O,O,X
TOJISZL,O,O,O,X
TOJIZLS,O,O,X,X
TOJIZSL,O,O,O,X
TOJLISZ,X,O,O,X
TOJLIZS,X,O,X,O
TOJLSIZ,X,O,O,X
TOJLSZI,X,O,X,X
TOJLZIS,X,O,X,O
TOJLZSI,X,O,X,O
TOJSILZ,X,O,O,X
TOJSIZL,O,O,O,X
TOJSLIZ,X,O,O,X
TOJSLZI,X,O,X,X
TOJSZIL,O,O,O,X
TOJSZLI,O,O,X,X
TOJZILS,O,O,X,X
TOJZISL,O,O,O,X
TOJZLIS,O,O,X,X
TOJZLSI,O,O,X,X
TOJZSIL,O,O,O,X
TOJZSLI,O,O,X,X
TOSILJZ,O,O,O,X
TOSILZJ,O,O,X,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,X,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,X
TOSLIZJ,O,O,X,X
TOSLJIZ,O,O,X,X
TOSLJZI,O,O,X,X
TOSLZIJ,O,O,X,X
TOSLZJI,O,O,X,X
TOSJILZ,O,O,O,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,X,X
TOSJZIL,O,O,O,X
TOSJZLI,O,O,X,X
TOSZILJ,O,O,X,X
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,X,X
TOSZLJI,O,O,X,X
TOSZJIL,O,O,X,X
TOSZJLI,O,O,X,X
TOZILJS,O,O,X,X
TOZILSJ,O,O,X,X
TOZIJLS,O,O,X,X
TOZIJSL,O,O,O,X
TOZISLJ,O,O,X,X
TOZISJL,O,O,O,X
TOZLIJS,O,O,X,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,X,X
TOZLJSI,O,O,X,X
TOZLSIJ,O,O,X,X
TOZLSJI,O,O,X,X
TOZJILS,O,O,X,X
TOZJISL,O,O,O,X
TOZJLIS,O,O,X,X
TOZJLSI,O,O,X,X
TOZJSIL,O,O,O,X
TOZJSLI,O,O,X,X
TOZSILJ,O,O,X,X
TOZSIJL,O,O,O,X
TOZSLIJ,O,O,X,X
TOZSLJI,O,O,X,X
TOZSJIL,O,O,X,X
TOZSJLI,O,O,X,X
ITLJSZO,O,O,X,X
ITLJSOZ,O,O,O,X
ITLJZSO,O,O,X,O
ITLJZOS,O,O,X,O
ITLJOSZ,O,O,O,X
ITLJOZS,O,O,X,O
ITLSJZO,O,O,X,X
ITLSJOZ,O,O,X,X
ITLSZJO,O,O,X,X
ITLSZOJ,O,O,X,X
ITLSOJZ,O,O,O,X
ITLSOZJ,O,O,X,X
ITLZJSO,O,O,X,O
ITLZJOS,O,O,X,O
ITLZSJO,O,O,X,O
ITLZSOJ,O,O,X,O
ITLZOJS,O,O,X,O
ITLZOSJ,O,O,X,O
ITLOJSZ,O,O,O,X
ITLOJZS,O,O,X,O
ITLOSJZ,O,O,O,X
