sequence,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBCiBeoB5oBXn?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFqlBThBmiB5oB0n?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBumB3iB5oBys?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFulBcmBiiB5oBzn?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBcnBeoB5oBSr?B3rB
JTZSIOL,O,O,O,X,X
JTZSLIO,O,O,O,X,O
JTZSLOI,O,O,O,X,O
JTZSOIL,O,O,O,X,X
JTZSOLI,O,O,O,X,X
JTZOILS,O,O,O,X,O
JTZOISL,O,O,O,X,X
JTZOLIS,O,O,O,X,O
JTZOLSI,O,O,O,X,O
JTZOSIL,O,O,O,X,X
JTZOSLI,O,O,O,X,X
JTOILSZ,X,X,X,O,O
JTOILZS,X,X,X,X,O
JTOISLZ,O,X,X,O,X
JTOISZL,O,X,X,O,X
JTOIZLS,O,X,X,X,O
JTOIZSL,O,X,X,X,X
JTOLISZ,X,X,X,O,O
JTOLIZS,X,X,X,X,O
JTOLSIZ,X,X,X,O,O
JTOLSZI,X,X,X,O,O
JTOLZIS,X,X,X,X,O
JTOLZSI,X,X,X,X,O
JTOSILZ,O,X,X,O,X
JTOSIZL,O,X,X,O,X
JTOSLIZ,O,X,X,O,X
JTOSLZI,O,X,X,O,X
JTOSZIL,O,X,X,O,X
JTOSZLI,O,X,X,O,X
JTOZILS,O,X,X,X,O
JTOZISL,O,X,X,X,X
JTOZLIS,O,X,X,X,O
JTOZLSI,O,X,X,X,O
JTOZSIL,O,X,X,X,X
JTOZSLI,O,X,X,X,X
JITLSZO,O,O,O,X,O
JITLSOZ,O,O,O,X,O
JITLZSO,O,O,O,X,O
JITLZOS,O,O,O,X,O
JITLOSZ,X,X,X,X,O
JITLOZS,X,O,X,X,O
JITSLZO,O,O,X,O,O
JITSLOZ,O,O,X,X,O
JITSZLO,O,O,X,O,O
JITSZOL,O,O,X,O,X
JITSOLZ,O,X,X,O,X
JITSOZL,O,X,X,O,X
JITZLSO,O,O,O,X,O
JITZLOS,O,O,O,X,O
JITZSLO,O,O,O,X,O
JITZSOL,O,O,O,X,X
JITZOLS,O,O,O,X,O
JITZOSL,O,O,O,X,X
JITOLSZ,X,X,X,O,O
JITOLZS,X,X,X,X,O
JITOSLZ,O,X,X,O,X
JITOSZL,O,X,X,O,X
JITOZLS,O,X,X,X,O
JITOZSL,O,X,X,X,X
JILTSZO,O,O,O,X,O
JILTSOZ,O,O,O,X,O
JILTZSO,O,O,O,X,O
JILTZOS,O,O,O,X,O
JILTOSZ,X,X,X,X,O
JILTOZS,X,O,X,X,O
JILSTZO,O,O,O,X,O
JILSTOZ,O,O,O,X,O
JILSZTO,O,O,O,X,O
JILSZOT,O,O,O,X,O
JILSOTZ,O,O,O,X,O
JILSOZT,O,O,O,X,O
JILZTSO,O,O,O,X,O
JILZTOS,O,O,O,X,O
JILZSTO,O,O,O,X,O
JILZSOT,O,O,O,X,O
JILZOTS,O,O,O,X,O
JILZOST,O,O,O,X,O
JILOTSZ,X,X,X,X,O
JILOTZS,X,O,X,X,O
JILOSTZ,X,X,X,X,O
JILOSZT,X,X,X,X,O
JILOZTS,X,O,X,X,O
JILOZST,X,O,X,X,O
JISTLZO,O,O,X,O,O
JISTLOZ,O,O,X,X,O
JISTZLO,O,O,X,O,O
JISTZOL,O,O,X,O,X
JISTOLZ,O,X,X,O,X
JISTOZL,O,X,X,O,X
JISLTZO,O,O,X,O,O
JISLTOZ,O,O,X,X,O
JISLZTO,O,O,X,O,O
JISLZOT,O,O,X,O,O
JISLOTZ,O,O,X,X,O
JISLOZT,O,O,X,X,O
JISZTLO,O,O,X,O,O
JISZTOL,O,O,X,O,X
JISZLTO,O,O,X,O,O
JISZLOT,O,O,X,O,O
JISZOTL,O,O,X,O,X
JISZOLT,O,O,X,O,X
JISOTLZ,O,X,X,O,X
JISOTZL,O,X,X,O,X
JISOLTZ,O,O,X,O,X
JISOLZT,O,O,X,O,X
JISOZTL,O,O,X,O,X
JISOZLT,O,O,X,O,X
JIZTLSO,O,O,O,X,O
JIZTLOS,O,O,O,X,O
JIZTSLO,O,O,O,X,O
JIZTSOL,O,O,O,X,X
JIZTOLS,O,O,O,X,O
JIZTOSL,O,O,O,X,X
JIZLTSO,O,O,O,X,O
JIZLTOS,O,O,O,X,O
JIZLSTO,O,O,O,X,O
JIZLSOT,O,O,O,X,O
JIZLOTS,O,O,O,X,O
JIZLOST,O,O,O,X,O
JIZSTLO,O,O,O,X,O
JIZSTOL,O,O,O,X,X
JIZSLTO,O,O,O,X,O
JIZSLOT,O,O,O,X,O
JIZSOTL,O,O,O,X,X
JIZSOLT,O,O,O,X,X
JIZOTLS,O,O,O,X,O
JIZOTSL,O,O,O,X,X
JIZOLTS,O,O,O,X,O
JIZOLST,O,O,O,X,O
JIZOSTL,O,O,O,X,X
JIZOSLT,O,O,O,X,X
JIOTLSZ,X,X,X,O,O
JIOTLZS,X,X,X,X,O
JIOTSLZ,O,X,X,O,X
JIOTSZL,O,X,X,O,X
JIOTZLS,O,X,X,X,O
JIOTZSL,O,X,X,X,X
JIOLTSZ,X,X,X,O,O
JIOLTZS,X,X,X,X,O
JIOLSTZ,X,X,X,O,O
JIOLSZT,X,X,X,O,O
JIOLZTS,X,X,X,X,O
JIOLZST,X,X,X,X,O
JIOSTLZ,O,X,X,O,X
JIOSTZL,O,X,X,O,X
JIOSLTZ,O,X,X,O,X
JIOSLZT,O,X,X,O,X
JIOSZTL,O,X,X,O,X
JIOSZLT,O,X,X,O,X
JIOZTLS,O,X,X,X,O
JIOZTSL,O,X,X,X,X
JIOZLTS,O,X,X,X,O
JIOZLST,O,X,X,X,O
JIOZSTL,O,X,X,X,X
JIOZSLT,O,X,X,X,X
JLTISZO,O,O,O,X,O
JLTISOZ,O,O,O,X,O
JLTIZSO,O,O,O,X,O
JLTIZOS,O,O,O,X,O
JLTIOSZ,X,X,X,X,O
JLTIOZS,X,O,X,X,O
JLTSIZO,O,O,O,X,O
JLTSIOZ,O,O,O,X,O
JLTSZIO,O,O,O,X,O
JLTSZOI,O,O,O,X,O
JLTSOIZ,O,O,O,X,O
JLTSOZI,O,O,O,X,O
JLTZISO,O,O,O,X,O
JLTZIOS,O,O,O,X,O
JLTZSIO,O,O,O,X,O
JLTZSOI,O,O,O,X,O
JLTZOIS,O,O,O,X,O
JLTZOSI,O,O,O,X,O
JLTOISZ,X,X,X,X,O
JLTOIZS,X,O,X,X,O
JLTOSIZ,X,X,X,X,O
JLTOSZI,X,X,X,X,O
JLTOZIS,X,O,X,X,O
JLTOZSI,X,O,X,X,O
JLITSZO,O,O,O,X,O
JLITSOZ,O,O,O,X,O
JLITZSO,O,O,O,X,O
JLITZOS,O,O,O,X,O
JLITOSZ,X,X,X,X,O
JLITOZS,X,O,X,X,O
JLISTZO,O,O,O,X,O
JLISTOZ,O,O,O,X,O
JLISZTO,O,O,O,X,O
JLISZOT,O,O,O,X,O
JLISOTZ,O,O,O,X,O
JLISOZT,O,O,O,X,O
JLIZTSO,O,O,O,X,O
JLIZTOS,O,O,O,X,O
JLIZSTO,O,O,O,X,O
JLIZSOT,O,O,O,X,O
JLIZOTS,O,O,O,X,O
JLIZOST,O,O,O,X,O
JLIOTSZ,X,X,X,X,O
JLIOTZS,X,O,X,X,O
JLIOSTZ,X,X,X,X,O
JLIOSZT,X,X,X,X,O
JLIOZTS,X,O,X,X,O
JLIOZST,X,O,X,X,O
JLSTIZO,O,O,O,X,O
JLSTIOZ,O,O,O,X,O
JLSTZIO,O,O,O,X,O
JLSTZOI,O,O,O,X,O
JLSTOIZ,O,O,O,X,O
JLSTOZI,O,O,O,X,O
JLSITZO,O,O,O,X,O
JLSITOZ,O,O,O,X,O
JLSIZTO,O,O,O,X,O
JLSIZOT,O,O,O,X,O
JLSIOTZ,O,O,O,X,O
JLSIOZT,O,O,O,X,O
JLSZTIO,O,O,O,X,O
JLSZTOI,O,O,O,X,O
JLSZITO,O,O,O,X,O
JLSZIOT,O,O,O,X,O
JLSZOTI,O,O,O,X,O
JLSZOIT,O,O,O,X,O
JLSOTIZ,O,O,O,X,O
JLSOTZI,O,O,O,X,O
JLSOITZ,O,O,O,X,O
JLSOIZT,O,O,O,X,O
JLSOZTI,O,O,O,X,O
JLSOZIT,O,O,O,X,O
JLZTISO,O,O,O,X,O
JLZTIOS,O,O,O,X,O
JLZTSIO,O,O,O,X,O
JLZTSOI,O,O,O,X,O
JLZTOIS,O,O,O,X,O
JLZTOSI,O,O,O,X,O
JLZITSO,O,O,O,X,O
JLZITOS,O,O,O,X,O
JLZISTO,O,O,O,X,O
JLZISOT,O,O,O,X,O
JLZIOTS,O,O,O,X,O
JLZIOST,O,O,O,X,O
JLZSTIO,O,O,O,X,O
JLZSTOI,O,O,O,X,O
JLZSITO,O,O,O,X,O
JLZSIOT,O,O,O,X,O
JLZSOTI,O,O,O,X,O
JLZSOIT,O,O,O,X,O
JLZOTIS,O,O,O,X,O
JLZOTSI,O,O,O,X,O
JLZOITS,O,O,O,X,O
JLZOIST,O,O,O,X,O
JLZOSTI,O,O,O,X,O
JLZOSIT,O,O,O,X,O
JLOTISZ,X,X,X,X,O
JLOTIZS,X,O,X,X,O
JLOTSIZ,X,X,X,X,O
JLOTSZI,X,X,X,X,O
JLOTZIS,X,O,X,X,O
JLOTZSI,X,O,X,X,O
JLOITSZ,X,X,X,X,O
JLOITZS,X,O,X,X,O
JLOISTZ,X,X,X,X,O
JLOISZT,X,X,X,X,O
JLOIZTS,X,O,X,X,O
JLOIZST,X,O,X,X,O
JLOSTIZ,X,X,X,X,O
JLOSTZI,X,X,X,X,O
JLOSITZ,X,X,X,X,O
JLOSIZT,X,X,X,X,O
JLOSZTI,X,X,X,X,O
JLOSZIT,X,X,X,X,O
JLOZTIS,X,O,X,X,O
JLOZTSI,X,O,X,X,O
JLOZITS,X,O,X,X,O
JLOZIST,X,O,X,X,O
JLOZSTI,X,O,X,X,O
JLOZSIT,X,O,X,X,O
JSTILZO,O,O,X,O,O
JSTILOZ,O,O,X,X,O
JSTIZLO,O,O,X,O,O
JSTIZOL,O,O,X,O,X
JSTIOLZ,O,X,X,O,X
JSTIOZL,O,X,X,O,X
JSTLIZO,O,O,X,O,O
JSTLIOZ,O,O,X,X,O
JSTLZIO,O,O,X,O,O
JSTLZOI,O,O,X,O,O
JSTLOIZ,O,O,X,X,O
JSTLOZI,O,O,X,X,O
JSTZILO,O,O,X,O,O
JSTZIOL,O,O,X,O,X
JSTZLIO,O,O,X,O,O
JSTZLOI,O,O,X,O,O
JSTZOIL,O,O,X,O,X
JSTZOLI,O,O,X,O,X
JSTOILZ,O,X,X,O,X
JSTOIZL,O,X,X,O,X
JSTOLIZ,O,X,X,O,X
JSTOLZI,O,X,X,O,X
JSTOZIL,O,X,X,O,X
JSTOZLI,O,X,X,O,X
JSITLZO,O,O,X,O,O
JSITLOZ,O,O,X,X,O
JSITZLO,O,O,X,O,O
JSITZOL,O,O,X,O,X
JSITOLZ,O,X,X,O,X
JSITOZL,O,X,X,O,X
JSILTZO,O,O,X,O,O
JSILTOZ,O,O,X,X,O
JSILZTO,O,O,X,O,O
JSILZOT,O,O,X,O,O
JSILOTZ,O,O,X,X,O
JSILOZT,O,O,X,X,O
JSIZTLO,O,O,X,O,O
JSIZTOL,O,O,X,O,X
JSIZLTO,O,O,X,O,O
JSIZLOT,O,O,X,O,O
JSIZOTL,O,O,X,O,X
JSIZOLT,O,O,X,O,X
JSIOTLZ,O,X,X,O,X
JSIOTZL,O,X,X,O,X
JSIOLTZ,O,O,X,O,X
JSIOLZT,O,O,X,O,X
JSIOZTL,O,O,X,O,X
JSIOZLT,O,O,X,O,X
JSLTIZO,O,O,X,O,O
JSLTIOZ,O,O,X,X,O
JSLTZIO,O,O,X,O,O
JSLTZOI,O,O,X,O,O
JSLTOIZ,O,O,X,X,O
JSLTOZI,O,O,X,X,O
JSLITZO,O,O,X,O,O
JSLITOZ,O,O,X,X,O
JSLIZTO,O,O,X,O,O
JSLIZOT,O,O,X,O,O
JSLIOTZ,O,O,X,X,O
JSLIOZT,O,O,X,X,O
JSLZTIO,O,O,X,O,O
JSLZTOI,O,O,X,O,O
JSLZITO,O,O,X,O,O
JSLZIOT,O,O,X,O,O
JSLZOTI,O,O,X,O,O
JSLZOIT,O,O,X,O,O
JSLOTIZ,O,O,X,X,O
JSLOTZI,O,O,X,X,O
JSLOITZ,O,O,X,X,O
JSLOIZT,O,O,X,X,O
JSLOZTI,O,O,X,X,O
JSLOZIT,O,O,X,X,O
JSZTILO,O,O,X,O,O
JSZTIOL,O,O,X,O,X
JSZTLIO,O,O,X,O,O
JSZTLOI,O,O,X,O,O
JSZTOIL,O,O,X,O,X
JSZTOLI,O,O,X,O,X
JSZITLO,O,O,X,O,O
JSZITOL,O,O,X,O,X
JSZILTO,O,O,X,O,O
JSZILOT,O,O,X,O,O
JSZIOTL,O,O,X,O,X
JSZIOLT,O,O,X,O,X
JSZLTIO,O,O,X,O,O
JSZLTOI,O,O,X,O,O
JSZLITO,O,O,X,O,O
JSZLIOT,O,O,X,O,O
JSZLOTI,O,O,X,O,O
JSZLOIT,O,O,X,O,O
JSZOTIL,O,O,X,O,X
JSZOTLI,O,O,X,O,X
JSZOITL,O,O,X,O,X
JSZOILT,O,O,X,O,X
JSZOLTI,O,O,X,O,X
JSZOLIT,O,O,X,O,X
JSOTILZ,O,X,X,O,X
JSOTIZL,O,X,X,O,X
JSOTLIZ,O,X,X,O,X
JSOTLZI,O,X,X,O,X
JSOTZIL,O,X,X,O,X
JSOTZLI,O,X,X,O,X
JSOITLZ,O,X,X,O,X
JSOITZL,O,X,X,O,X
JSOILTZ,O,O,X,O,X
JSOILZT,O,O,X,O,X
JSOIZTL,O,O,X,O,X
JSOIZLT,O,O,X,O,X
JSOLTIZ,O,O,X,O,X
JSOLTZI,O,O,X,O,X
JSOLITZ,O,O,X,O,X
JSOLIZT,O,O,X,O,X
JSOLZTI,O,O,X,O,X
JSOLZIT,O,O,X,O,X
JSOZTIL,O,O,X,O,X
JSOZTLI,O,O,X,O,X
JSOZITL,O,O,X,O,X
JSOZILT,O,O,X,O,X
JSOZLTI,O,O,X,O,X
JSOZLIT,O,O,X,O,X
JZTILSO,O,O,O,X,O
JZTILOS,O,O,O,X,O
JZTISLO,O,O,O,X,O
JZTISOL,O,O,O,X,X
JZTIOLS,O,O,O,X,O
JZTIOSL,O,O,O,X,X
JZTLISO,O,O,O,X,O
JZTLIOS,O,O,O,X,O
JZTLSIO,O,O,O,X,O
JZTLSOI,O,O,O,X,O
JZTLOIS,O,O,O,X,O
JZTLOSI,O,O,O,X,O
JZTSILO,O,O,O,X,O
JZTSIOL,O,O,O,X,X
JZTSLIO,O,O,O,X,O
JZTSLOI,O,O,O,X,O
JZTSOIL,O,O,O,X,X
JZTSOLI,O,O,O,X,X
JZTOILS,O,O,O,X,O
JZTOISL,O,O,O,X,X
JZTOLIS,O,O,O,X,O
JZTOLSI,O,O,O,X,O
JZTOSIL,O,O,O,X,X
JZTOSLI,O,O,O,X,X
JZITLSO,O,O,O,X,O
JZITLOS,O,O,O,X,O
JZITSLO,O,O,O,X,O
JZITSOL,O,O,O,X,X
JZITOLS,O,O,O,X,O
JZITOSL,O,O,O,X,X
JZILTSO,O,O,O,X,O
JZILTOS,O,O,O,X,O
JZILSTO,O,O,O,X,O
JZILSOT,O,O,O,X,O
JZILOTS,O,O,O,X,O
JZILOST,O,O,O,X,O
JZISTLO,O,O,O,X,O
JZISTOL,O,O,O,X,X
JZISLTO,O,O,O,X,O
JZISLOT,O,O,O,X,O
JZISOTL,O,O,O,X,X
JZISOLT,O,O,O,X,X
JZIOTLS,O,O,O,X,O
JZIOTSL,O,O,O,X,X
JZIOLTS,O,O,O,X,O
JZIOLST,O,O,O,X,O
JZIOSTL,O,O,O,X,X
JZIOSLT,O,O,O,X,X
JZLTISO,O,O,O,X,O
JZLTIOS,O,O,O,X,O
JZLTSIO,O,O,O,X,O
JZLTSOI,O,O,O,X,O
JZLTOIS,O,O,O,X,O
JZLTOSI,O,O,O,X,O
JZLITSO,O,O,O,X,O
JZLITOS,O,O,O,X,O
JZLISTO,O,O,O,X,O
JZLISOT,O,O,O,X,O
JZLIOTS,O,O,O,X,O
JZLIOST,O,O,O,X,O
JZLSTIO,O,O,O,X,O
JZLSTOI,O,O,O,X,O
JZLSITO,O,O,O,X,O
JZLSIOT,O,O,O,X,O
JZLSOTI,O,O,O,X,O
JZLSOIT,O,O,O,X,O
JZLOTIS,O,O,O,X,O
JZLOTSI,O,O,O,X,O
JZLOITS,O,O,O,X,O
JZLOIST,O,O,O,X,O
JZLOSTI,O,O,O,X,O
JZLOSIT,O,O,O,X,O
JZSTILO,O,O,O,X,O
JZSTIOL,O,O,O,X,X
JZSTLIO,O,O,O,X,O
JZSTLOI,O,O,O,X,O
JZSTOIL,O,O,O,X,X
JZSTOLI,O,O,O,X,X
JZSITLO,O,O,O,X,O
JZSITOL,O,O,O,X,X
JZSILTO,O,O,O,X,O
JZSILOT,O,O,O,X,O
JZSIOTL,O,O,O,X,X
JZSIOLT,O,O,O,X,X
JZSLTIO,O,O,O,X,O
JZSLTOI,O,O,O,X,O
JZSLITO,O,O,O,X,O
JZSLIOT,O,O,O,X,O
JZSLOTI,O,O,O,X,O
JZSLOIT,O,O,O,X,O
JZSOTIL,O,O,O,X,X
JZSOTLI,O,O,O,X,X
JZSOITL,O,O,O,X,X
JZSOILT,O,O,O,X,X
JZSOLTI,O,O,O,X,X
JZSOLIT,O,O,O,X,X
JZOTILS,O,O,O,X,O
JZOTISL,O,O,O,X,X
JZOTLIS,O,O,O,X,O
JZOTLSI,O,O,O,X,O
JZOTSIL,O,O,O,X,X
JZOTSLI,O,O,O,X,X
JZOITLS,O,O,O,X,O
JZOITSL,O,O,O,X,X
JZOILTS,O,O,O,X,O
JZOILST,O,O,O,X,O
JZOISTL,O,O,O,X,X
JZOISLT,O,O,O,X,X
JZOLTIS,O,O,O,X,O
JZOLTSI,O,O,O,X,O
JZOLITS,O,O,O,X,O
JZOLIST,O,O,O,X,O
JZOLSTI,O,O,O,X,O
JZOLSIT,O,O,O,X,O
JZOSTIL,O,O,O,X,X
JZOSTLI,O,O,O,X,X
JZOSITL,O,O,O,X,X
JZOSILT,O,O,O,X,X
JZOSLTI,O,O,O,X,X
JZOSLIT,O,O,O,X,X
JOTILSZ,X,X,X,O,O
JOTILZS,X,X,X,X,O
JOTISLZ,O,X,X,O,X
JOTISZL,O,X,X,O,X
JOTIZLS,O,X,X,X,O
JOTIZSL,O,X,X,X,X
JOTLISZ,X,X,X,O,O
JOTLIZS,X,X,X,X,O
JOTLSIZ,X,X,X,O,O
JOTLSZI,X,X,X,O,O
JOTLZIS,X,X,X,X,O
JOTLZSI,X,X,X,X,O
JOTSILZ,O,X,X,O,X
JOTSIZL,O,X,X,O,X
JOTSLIZ,O,X,X,O,X
JOTSLZI,O,X,X,O,X
JOTSZIL,O,X,X,O,X
JOTSZLI,O,X,X,O,X
JOTZILS,O,X,X,X,O
JOTZISL,O,X,X,X,X
JOTZLIS,O,X,X,X,O
JOTZLSI,O,X,X,X,O
JOTZSIL,O,X,X,X,X
JOTZSLI,O,X,X,X,X
JOITLSZ,X,X,X,O,O
JOITLZS,X,X,X,X,O
JOITSLZ,O,X,X,O,X
JOITSZL,O,X,X,O,X
JOITZLS,O,X,X,X,O
JOITZSL,O,X,X,X,X
JOILTSZ,X,X,X,O,O
JOILTZS,X,X,X,X,O
JOILSTZ,X,X,X,O,O
JOILSZT,X,X,X,O,O
JOILZTS,X,X,X,X,O
JOILZST,X,X,X,X,O
JOISTLZ,O,X,X,O,X
JOISTZL,O,X,X,O,X
JOISLTZ,O,X,X,O,X
JOISLZT,O,X,X,O,X
JOISZTL,O,X,X,O,X
JOISZLT,O,X,X,O,X
JOIZTLS,O,X,X,X,O
JOIZTSL,O,X,X,X,X
JOIZLTS,O,X,X,X,O
JOIZLST,O,X,X,X,O
JOIZSTL,O,X,X,X,X
JOIZSLT,O,X,X,X,X
JOLTISZ,X,X,X,O,O
JOLTIZS,X,X,X,X,O
JOLTSIZ,X,X,X,O,O
JOLTSZI,X,X,X,O,O
JOLTZIS,X,X,X,X,O
JOLTZSI,X,X,X,X,O
JOLITSZ,X,X,X,O,O
JOLITZS,X,X,X,X,O
JOLISTZ,X,X,X,O,O
JOLISZT,X,X,X,O,O
JOLIZTS,X,X,X,X,O
JOLIZST,X,X,X,X,O
JOLSTIZ,X,X,X,O,O
JOLSTZI,X,X,X,O,O
JOLSITZ,X,X,X,O,O
JOLSIZT,X,X,X,O,O
JOLSZTI,X,X,X,O,O
JOLSZIT,X,X,X,O,O
JOLZTIS,X,X,X,X,O
JOLZTSI,X,X,X,X,O
JOLZITS,X,X,X,X,O
JOLZIST,X,X,X,X,O
JOLZSTI,X,X,X,X,O
JOLZSIT,X,X,X,X,O
JOSTILZ,O,X,X,O,X
JOSTIZL,O,X,X,O,X
JOSTLIZ,O,X,X,O,X
JOSTLZI,O,X,X,O,X
JOSTZIL,O,X,X,O,X
JOSTZLI,O,X,X,O,X
JOSITLZ,O,X,X,O,X
JOSITZL,O,X,X,O,X
JOSILTZ,O,X,X,O,X
JOSILZT,O,X,X,O,X
JOSIZTL,O,X,X,O,X
JOSIZLT,O,X,X,O,X
JOSLTIZ,O,X,X,O,X
JOSLTZI,O,X,X,O,X
JOSLITZ,O,X,X,O,X
JOSLIZT,O,X,X,O,X
JOSLZTI,O,X,X,O,X
JOSLZIT,O,X,X,O,X
JOSZTIL,O,X,X,O,X
JOSZTLI,O,X,X,O,X
JOSZITL,O,X,X,O,X
JOSZILT,O,X,X,O,X
JOSZLTI,O,X,X,O,X
JOSZLIT,O,X,X,O,X
JOZTILS,O,X,X,X,O
JOZTISL,O,X,X,X,X
JOZTLIS,O,X,X,X,O
JOZTLSI,O,X,X,X,O
JOZTSIL,O,X,X,X,X
JOZTSLI,O,X,X,X,X
JOZITLS,O,X,X,X,O
JOZITSL,O,X,X,X,X
JOZILTS,O,X,X,X,O
JOZILST,O,X,X,X,O
JOZISTL,O,X,X,X,X
JOZISLT,O,X,X,X,X
JOZLTIS,O,X,X,X,O
JOZLTSI,O,X,X,X,O
JOZLITS,O,X,X,X,O
JOZLIST,O,X,X,X,O
JOZLSTI,O,X,X,X,O
JOZLSIT,O,X,X,X,O
JOZSTIL,O,X,X,X,X
JOZSTLI,O,X,X,X,X
JOZSITL,O,X,X,X,X
JOZSILT,O,X,X,X,X
JOZSLTI,O,X,X,X,X
JOZSLIT,O,X,X,X,X
STILJZO,O,O,O,O,O
STILJOZ,O,O,O,X,O
STILZJO,O,O,O,O,X
STILZOJ,O,O,O,O,X
STILOJZ,X,O,O,O,O
STILOZJ,X,O,O,O,X
STIJLZO,O,O,X,O,O
STIJLOZ,O,O,X,X,O
STIJZLO,O,O,X,O,O
STIJZOL,O,O,X,O,X
STIJOLZ,O,X,X,O,X
STIJOZL,O,X,X,O,X
STIZLJO,O,O,O,O,X
STIZLOJ,O,O,O,O,X
STIZJLO,O,O,O,O,X
STIZJOL,O,O,O,O,X
STIZOLJ,O,O,O,O,X
STIZOJL,O,O,O,O,X
STIOLJZ,X,O,X,O,X
STIOLZJ,X,O,X,O,X
STIOJLZ,X,X,X,O,X
STIOJZL,X,X,X,O,X
STIOZLJ,X,O,X,O,X
STIOZJL,X,O,X,O,X
STLIJZO,O,O,O,O,O
STLIJOZ,O,O,O,X,O
STLIZJO,O,O,O,O,X
STLIZOJ,O,O,O,O,X
STLIOJZ,X,O,O,O,O
STLIOZJ,X,O,O,O,X
STLJIZO,O,O,O,O,O
STLJIOZ,O,O,O,X,O
STLJZIO,O,O,O,O,O
STLJZOI,O,O,O,O,O
STLJOIZ,O,O,O,X,O
STLJOZI,O,O,O,X,O
STLZIJO,O,O,O,O,X
STLZIOJ,O,O,O,O,X
STLZJIO,O,O,O,O,O
STLZJOI,O,O,O,O,O
STLZOIJ,O,O,O,O,X
STLZOJI,O,O,O,O,O
STLOIJZ,X,O,O,O,O
STLOIZJ,X,O,O,O,X
STLOJIZ,O,O,O,O,O
STLOJZI,O,O,O,O,O
STLOZIJ,O,O,O,O,X
STLOZJI,O,O,O,O,O
STJILZO,O,O,X,O,O
STJILOZ,O,O,X,X,O
STJIZLO,O,O,X,O,O
STJIZOL,O,O,X,O,X
STJIOLZ,O,X,X,O,X
STJIOZL,O,X,X,O,X
STJLIZO,O,O,X,O,O
STJLIOZ,O,O,X,X,O
STJLZIO,O,O,X,O,O
STJLZOI,O,O,X,O,O
STJLOIZ,O,O,X,X,O
STJLOZI,O,O,X,X,O
STJZILO,O,O,X,O,O
STJZIOL,O,O,X,O,X
STJZLIO,O,O,X,O,O
STJZLOI,O,O,X,O,O
STJZOIL,O,O,X,O,X
STJZOLI,O,O,X,O,X
STJOILZ,O,X,X,O,X
STJOIZL,O,X,X,O,X
STJOLIZ,O,X,X,O,X
STJOLZI,O,X,X,O,X
STJOZIL,O,X,X,O,X
STJOZLI,O,X,X,O,X
STZILJO,O,O,O,O,X
STZILOJ,O,O,O,O,X
STZIJLO,O,O,O,O,X
STZIJOL,O,O,O,O,X
STZIOLJ,O,O,O,O,X
STZIOJL,O,O,O,O,X
STZLIJO,O,O,O,O,X
STZLIOJ,O,O,O,O,X
STZLJIO,O,O,O,O,O
STZLJOI,O,O,O,O,O
STZLOIJ,O,O,O,O,X
STZLOJI,O,O,O,O,O
STZJILO,O,O,O,O,O
STZJIOL,O,O,O,O,X
STZJLIO,O,O,O,O,O
STZJLOI,O,O,O,O,O
STZJOIL,O,O,O,O,X
STZJOLI,O,O,O,O,X
STZOILJ,O,O,O,O,X
STZOIJL,O,O,O,O,X
STZOLIJ,O,O,O,O,X
STZOLJI,O,O,O,O,X
STZOJIL,O,O,O,O,X
STZOJLI,O,O,O,O,X
STOILJZ,X,O,X,O,X
STOILZJ,X,O,X,O,X
STOIJLZ,X,X,X,O,X
STOIJZL,X,X,X,O,X
STOIZLJ,X,O,X,O,X
STOIZJL,X,O,X,O,X
STOLIJZ,X,O,X,O,X
STOLIZJ,X,O,X,O,X
STOLJIZ,O,O,X,O,X
STOLJZI,O,O,X,O,X
STOLZIJ,O,O,X,O,X
STOLZJI,O,O,X,O,X
STOJILZ,O,X,X,O,X
STOJIZL,O,X,X,O,X
STOJLIZ,O,X,X,O,X
STOJLZI,O,X,X,O,X
STOJZIL,O,X,X,O,X
STOJZLI,O,X,X,O,X
STOZILJ,O,O,X,O,X
STOZIJL,O,O,X,O,X
STOZLIJ,O,O,X,O,X
STOZLJI,O,O,X,O,X
STOZJIL,O,O,X,O,X
STOZJLI,O,O,X,O,X
SITLJZO,O,O,O,O,O
SITLJOZ,O,O,O,X,O
SITLZJO,O,O,O,O,X
SITLZOJ,O,O,O,O,X
SITLOJZ,X,O,O,O,O
SITLOZJ,X,O,O,O,X
SITJLZO,O,O,X,O,O
SITJLOZ,O,O,X,X,O
SITJZLO,O,O,X,O,O
SITJZOL,O,O,X,O,X
SITJOLZ,O,X,X,O,X
SITJOZL,O,X,X,O,X
SITZLJO,O,O,O,O,X
SITZLOJ,O,O,O,O,X
SITZJLO,O,O,O,O,X
SITZJOL,O,O,O,O,X
SITZOLJ,O,O,O,O,X
SITZOJL,O,O,O,O,X
SITOLJZ,X,O,X,O,X
SITOLZJ,X,O,X,O,X
SITOJLZ,X,X,X,O,X
SITOJZL,X,X,X,O,X
SITOZLJ,X,O,X,O,X
SITOZJL,X,O,X,O,X
