sequence,v115@RhD8DeG8DeA8JeT/IvhFxgBVnBmlBCsBctB3sB,v115@RhD8DeG8DeA8Je2EJvhFRgBzhBUmBXsBCtBFtB,v115@RhD8DeG8DeA8JeT/IvhF2lBRhB3iB1rBSxBctB,v115@RhD8DeG8DeA8JeT/IvhFigBRiBFmBGsBctBXsB,v115@RhD8DeG8DeA8JeT/IvhFxgBliBmlBqrB/sBctB,v115@RhD8DeG8DeA8JeT/IvhFxgBmlBCnBXsBctBlsB,v115@RhD8DeG8DeA8JeT/IvhFxgB8mBmlBXsBCtBFtB,v115@RhD8DeG8DeA8JeT/IvhFigBFmBxnBurBcsBXtB,v115@RhD8DeG8DeA8JeT/IvhF2lB8mBSoBFmB3nBRxB,v115@RhD8DeG8DeA8Jei/IvhFliBRlB3mBTsBctBGrB,v115@RhD8DeG8DeA8JeT/IvhFxlB8rBCoBmlBFsBXtB
TLZJSOI,O,X,O,O,X,X,X,X,X,X,X
TLZJOIS,O,X,O,O,X,X,X,X,X,X,X
TLZJOSI,O,X,O,O,X,X,X,X,X,X,X
TLZSIJO,X,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,X,X,X,X,X,X
TLZSOJI,X,X,O,X,X,X,X,X,X,X,X
TLZOIJS,X,X,O,X,X,X,X,O,X,X,O
TLZOISJ,X,X,O,X,X,X,X,O,X,X,X
TLZOJIS,O,X,O,O,X,X,X,X,X,X,X
TLZOJSI,O,X,O,O,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,O,X,X,X
TLOIJZS,O,X,O,O,X,X,X,O,X,X,X
TLOISJZ,X,X,O,X,X,X,X,O,X,X,X
TLOISZJ,X,X,O,X,X,X,X,O,X,O,X
TLOIZJS,X,X,O,X,X,X,X,O,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,O,X,X,X
TLOJISZ,O,X,O,O,O,X,X,O,X,X,X
TLOJIZS,O,X,O,O,X,X,X,O,O,X,X
TLOJSIZ,O,X,O,O,O,X,X,X,X,X,X
TLOJSZI,O,X,O,O,O,X,X,X,X,X,X
TLOJZIS,O,X,O,O,X,X,X,X,X,X,X
TLOJZSI,O,X,O,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,O,X,X,X
TLOSIZJ,X,X,O,X,X,X,X,O,X,X,X
TLOSJIZ,O,X,O,O,O,X,X,X,X,X,X
TLOSJZI,O,X,O,O,O,X,X,X,X,X,X
TLOSZIJ,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,X,X,O,X,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,O,X,X,O
TLOZISJ,X,X,O,X,X,X,X,O,X,X,X
TLOZJIS,O,X,O,O,X,X,X,X,X,X,X
TLOZJSI,O,X,O,O,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,O,X,O,O,O,X,X,X,X,X,X
TJILSOZ,O,X,O,O,O,X,X,X,X,X,X
TJILZSO,O,X,O,O,X,X,X,X,X,X,X
TJILZOS,O,X,O,O,X,X,X,X,O,X,X
TJILOSZ,O,X,O,O,O,X,X,O,X,X,X
TJILOZS,O,X,O,O,X,X,X,O,O,X,X
TJISLZO,X,X,X,O,X,O,X,X,X,X,X
TJISLOZ,X,X,X,O,X,O,X,X,X,X,X
TJISZLO,X,O,X,O,X,X,X,X,X,X,X
TJISZOL,X,O,X,O,X,X,X,X,X,X,X
TJISOLZ,X,X,X,O,X,O,X,X,X,X,X
TJISOZL,X,X,X,O,X,X,X,X,X,X,X
TJIZLSO,X,X,X,O,X,X,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X,O,X,X
TJIZSLO,X,O,X,O,X,X,X,X,X,X,X
TJIZSOL,X,O,X,O,X,X,X,X,X,X,X
TJIZOLS,X,X,X,O,X,X,X,X,O,X,X
TJIZOSL,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,O,O,X,X,O,X,X,X
TJIOLZS,O,X,O,O,X,X,X,O,O,X,X
TJIOSLZ,X,X,X,O,X,O,X,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,X,X,X
TJIOZLS,X,X,X,O,X,X,X,X,O,X,X
TJIOZSL,X,X,X,O,X,X,X,X,X,X,X
TJLISZO,O,X,O,O,O,X,X,X,X,X,X
TJLISOZ,O,X,O,O,O,X,X,X,X,X,X
TJLIZSO,O,X,O,O,X,X,X,X,X,X,X
TJLIZOS,O,X,O,O,X,X,X,X,O,X,X
TJLIOSZ,O,X,O,O,O,X,X,O,X,X,X
TJLIOZS,O,X,O,O,X,X,X,O,O,X,X
TJLSIZO,O,X,O,O,O,X,X,X,X,X,X
TJLSIOZ,O,X,O,O,O,X,X,X,X,X,X
TJLSZIO,O,X,O,O,O,X,X,X,X,X,X
TJLSZOI,O,X,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,X,O,O,O,X,X,X,X,X,X
TJLSOZI,O,X,O,O,O,X,X,X,X,X,X
TJLZISO,O,X,O,O,X,X,X,X,X,X,X
TJLZIOS,O,X,O,O,X,X,X,X,X,X,X
TJLZSIO,O,X,O,O,X,X,X,X,X,X,X
TJLZSOI,O,X,O,O,X,X,X,X,X,X,X
TJLZOIS,O,X,O,O,X,X,X,X,X,X,X
TJLZOSI,O,X,O,O,X,X,X,X,X,X,X
TJLOISZ,O,X,O,O,O,X,X,O,X,X,X
TJLOIZS,O,X,O,O,X,X,X,O,O,X,X
TJLOSIZ,O,X,O,O,O,X,X,X,X,X,X
TJLOSZI,O,X,O,O,O,X,X,X,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X,X,X,X
TJLOZSI,O,X,O,O,X,X,X,X,X,X,X
TJSILZO,X,X,X,O,X,O,X,X,X,X,X
TJSILOZ,X,X,X,O,X,O,X,X,X,X,X
TJSIZLO,X,O,X,O,X,X,X,X,X,X,X
TJSIZOL,X,O,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,O,X,O,X,X,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X,X,X,X
TJSLIZO,X,X,O,O,X,O,X,X,X,X,X
TJSLIOZ,X,X,O,O,X,O,X,X,X,X,X
TJSLZIO,X,X,O,O,X,O,X,X,X,X,X
TJSLZOI,X,X,O,O,X,O,X,X,X,X,X
TJSLOIZ,X,X,O,O,X,O,X,X,X,X,X
TJSLOZI,X,X,O,O,X,O,X,X,X,X,X
TJSZILO,X,O,X,O,X,X,O,X,X,X,X
TJSZIOL,X,O,X,O,X,X,O,X,X,X,X
TJSZLIO,X,O,X,O,X,X,O,X,X,X,X
TJSZLOI,X,O,X,O,X,X,O,X,X,X,X
TJSZOIL,X,O,X,O,X,X,O,X,X,X,X
TJSZOLI,X,O,X,O,X,X,O,X,X,X,X
TJSOILZ,X,X,X,O,X,O,X,X,X,X,X
TJSOIZL,X,X,X,O,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,O,X,O,X,X,X,X,X
TJSOLZI,X,X,O,O,X,O,X,X,X,X,X
TJSOZIL,X,X,X,O,X,X,O,X,X,X,X
TJSOZLI,X,X,X,O,X,X,O,X,X,X,X
TJZILSO,X,X,X,O,X,X,X,X,X,X,X
TJZILOS,X,X,X,O,X,X,X,X,X,X,X
TJZISLO,X,O,X,O,X,X,X,X,X,X,X
TJZISOL,X,O,X,O,X,X,X,X,X,X,X
TJZIOLS,X,X,X,O,X,X,X,X,X,X,X
TJZIOSL,X,X,X,O,X,X,X,X,X,X,X
TJZLISO,X,X,O,O,X,X,X,X,X,X,X
TJZLIOS,X,X,O,O,X,X,X,X,X,X,X
TJZLSIO,X,X,O,O,X,X,X,X,X,X,X
TJZLSOI,X,X,O,O,X,X,X,X,X,X,X
TJZLOIS,X,X,O,O,X,X,X,X,X,X,X
TJZLOSI,X,X,O,O,X,X,X,X,X,X,X
TJZSILO,X,O,X,O,X,X,X,X,X,X,X
TJZSIOL,X,O,X,O,X,X,X,X,X,X,X
TJZSLIO,X,O,X,O,X,X,X,X,X,X,X
TJZSLOI,X,O,X,O,X,X,X,X,X,X,X
TJZSOIL,X,O,X,O,X,X,X,X,X,X,X
TJZSOLI,X,O,X,O,X,X,X,X,X,X,X
TJZOILS,X,X,X,O,X,X,X,X,X,X,X
TJZOISL,X,X,X,O,X,X,X,X,X,X,X
TJZOLIS,X,X,O,O,X,X,X,X,X,X,X
TJZOLSI,X,X,O,O,X,X,X,X,X,X,X
TJZOSIL,X,X,X,O,X,X,X,X,X,X,X
TJZOSLI,X,X,X,O,X,X,X,X,X,X,X
TJOILSZ,O,X,O,O,O,X,X,O,X,X,X
TJOILZS,O,X,O,O,X,X,X,O,O,X,X
TJOISLZ,X,X,X,O,X,O,X,X,X,X,X
TJOISZL,X,X,X,O,X,X,X,X,X,X,X
TJOIZLS,X,X,X,O,X,X,X,X,O,X,X
TJOIZSL,X,X,X,O,X,X,X,X,X,X,X
TJOLISZ,O,X,O,O,O,X,X,O,X,X,X
TJOLIZS,O,X,O,O,X,X,X,O,O,X,X
TJOLSIZ,O,X,O,O,O,X,X,X,X,X,X
TJOLSZI,O,X,O,O,O,X,X,X,X,X,X
TJOLZIS,O,X,O,O,X,X,X,X,X,X,X
TJOLZSI,O,X,O,O,X,X,X,X,X,X,X
TJOSILZ,X,X,X,O,X,O,X,X,X,X,X
TJOSIZL,X,X,X,O,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,O,X,O,X,X,X,X,X
TJOSLZI,X,X,O,O,X,O,X,X,X,X,X
TJOSZIL,X,X,X,O,X,X,O,X,X,X,X
TJOSZLI,X,X,X,O,X,X,O,X,X,X,X
TJOZILS,X,X,X,O,X,X,X,X,X,X,X
TJOZISL,X,X,X,O,X,X,X,X,X,X,X
TJOZLIS,X,X,O,O,X,X,X,X,X,X,X
TJOZLSI,X,X,O,O,X,X,X,X,X,X,X
TJOZSIL,X,X,X,O,X,X,X,X,X,X,X
TJOZSLI,X,X,X,O,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X,X,O,X,X,X
TSILOZJ,X,X,X,X,X,X,X,O,X,X,X
TSIJLZO,X,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X,X,X,X,X,X
