sequence,v115@/gA8IeA8GeC8AeA8EeE8DeA8JeT/IvhFulBFiBXjB0?mBStBRxB,v115@/gA8IeA8GeC8AeA8EeE8DeA8JeT/IvhFulBfoB6oBl?mBUnBRxB,v115@/gA8IeA8GeC8AeA8EeE8DeA8JeT/IvhFulBRiBSoBV?sBXtB0rB
TOJSLZI,X,X,O
TOJSZIL,X,X,O
TOJSZLI,X,X,O
TOJZILS,O,O,X
TOJZISL,O,O,X
TOJZLIS,O,X,X
TOJZLSI,O,X,X
TOJZSIL,O,X,X
TOJZSLI,O,X,X
TOSILJZ,X,O,O
TOSILZJ,X,O,O
TOSIJLZ,X,O,O
TOSIJZL,X,O,O
TOSIZLJ,X,O,O
TOSIZJL,X,O,O
TOSLIJZ,X,X,O
TOSLIZJ,X,X,O
TOSLJIZ,X,X,O
TOSLJZI,X,X,O
TOSLZIJ,X,X,O
TOSLZJI,X,X,O
TOSJILZ,X,O,O
TOSJIZL,X,O,O
TOSJLIZ,X,X,O
TOSJLZI,X,X,O
TOSJZIL,X,X,O
TOSJZLI,X,X,O
TOSZILJ,X,X,O
TOSZIJL,X,X,O
TOSZLIJ,X,X,O
TOSZLJI,X,X,O
TOSZJIL,X,X,O
TOSZJLI,X,X,O
TOZILJS,O,O,X
TOZILSJ,O,O,X
TOZIJLS,O,O,X
TOZIJSL,O,O,X
TOZISLJ,O,O,X
TOZISJL,O,O,X
TOZLIJS,O,X,X
TOZLISJ,O,X,X
TOZLJIS,O,X,X
TOZLJSI,O,X,X
TOZLSIJ,O,X,X
TOZLSJI,O,X,X
TOZJILS,O,O,X
TOZJISL,O,O,X
TOZJLIS,O,X,X
TOZJLSI,O,X,X
TOZJSIL,O,X,X
TOZJSLI,O,X,X
TOZSILJ,O,X,X
TOZSIJL,O,X,X
TOZSLIJ,O,X,X
TOZSLJI,O,X,X
TOZSJIL,O,X,X
TOZSJLI,O,X,X
ITLJSZO,O,O,X
ITLJSOZ,O,O,X
ITLJZSO,O,O,X
ITLJZOS,O,O,X
ITLJOSZ,O,O,X
ITLJOZS,O,O,X
ITLSJZO,O,O,X
ITLSJOZ,O,O,X
ITLSZJO,O,O,X
ITLSZOJ,O,O,X
ITLSOJZ,O,O,X
ITLSOZJ,O,O,X
ITLZJSO,O,O,X
ITLZJOS,O,O,X
ITLZSJO,O,O,X
ITLZSOJ,O,O,X
ITLZOJS,O,O,X
ITLZOSJ,O,O,X
ITLOJSZ,O,O,X
ITLOJZS,O,O,X
ITLOSJZ,O,O,X
ITLOSZJ,O,O,X
ITLOZJS,O,O,X
ITLOZSJ,O,O,X
ITJLSZO,O,O,X
ITJLSOZ,O,O,X
ITJLZSO,O,O,X
ITJLZOS,O,O,X
ITJLOSZ,O,O,X
ITJLOZS,O,O,X
ITJSLZO,X,O,X
ITJSLOZ,X,O,X
ITJSZLO,X,O,X
ITJSZOL,X,O,X
ITJSOLZ,X,O,X
ITJSOZL,X,O,X
ITJZLSO,O,O,X
ITJZLOS,O,O,X
ITJZSLO,O,O,X
ITJZSOL,O,O,X
ITJZOLS,O,O,X
ITJZOSL,O,O,X
ITJOLSZ,O,O,X
ITJOLZS,O,O,X
ITJOSLZ,X,O,X
ITJOSZL,X,O,X
ITJOZLS,O,O,X
ITJOZSL,O,O,X
ITSLJZO,X,O,X
ITSLJOZ,X,O,X
ITSLZJO,X,O,X
ITSLZOJ,X,O,X
ITSLOJZ,X,O,X
ITSLOZJ,X,O,X
ITSJLZO,X,O,X
ITSJLOZ,X,O,X
ITSJZLO,X,O,X
ITSJZOL,X,O,X
ITSJOLZ,X,O,X
ITSJOZL,X,O,X
ITSZLJO,X,O,X
ITSZLOJ,X,O,X
ITSZJLO,X,O,X
ITSZJOL,X,O,X
ITSZOLJ,X,O,X
ITSZOJL,X,O,X
ITSOLJZ,X,O,X
ITSOLZJ,X,O,X
ITSOJLZ,X,O,X
ITSOJZL,X,O,X
ITSOZLJ,X,O,X
ITSOZJL,X,O,X
ITZLJSO,O,O,X
ITZLJOS,O,O,X
ITZLSJO,O,O,X
ITZLSOJ,O,O,X
ITZLOJS,O,O,X
ITZLOSJ,O,O,X
ITZJLSO,O,O,X
ITZJLOS,O,O,X
ITZJSLO,O,O,X
ITZJSOL,O,O,X
ITZJOLS,O,O,X
ITZJOSL,O,O,X
ITZSLJO,O,O,X
ITZSLOJ,O,O,X
ITZSJLO,O,O,X
ITZSJOL,O,O,X
ITZSOLJ,O,O,X
ITZSOJL,O,O,X
ITZOLJS,O,O,X
ITZOLSJ,O,O,X
ITZOJLS,O,O,X
ITZOJSL,O,O,X
ITZOSLJ,O,O,X
ITZOSJL,O,O,X
ITOLJSZ,O,O,X
ITOLJZS,O,O,X
ITOLSJZ,O,O,X
ITOLSZJ,O,O,X
ITOLZJS,O,O,X
ITOLZSJ,O,O,X
ITOJLSZ,O,O,X
ITOJLZS,O,O,X
ITOJSLZ,X,O,X
ITOJSZL,X,O,X
ITOJZLS,O,O,X
ITOJZSL,O,O,X
ITOSLJZ,X,O,X
ITOSLZJ,X,O,X
ITOSJLZ,X,O,X
ITOSJZL,X,O,X
ITOSZLJ,X,O,X
ITOSZJL,X,O,X
ITOZLJS,O,O,X
ITOZLSJ,O,O,X
ITOZJLS,O,O,X
ITOZJSL,O,O,X
ITOZSLJ,O,O,X
ITOZSJL,O,O,X
ILTJSZO,O,O,X
ILTJSOZ,O,O,X
ILTJZSO,O,O,X
ILTJZOS,O,O,X
ILTJOSZ,O,O,X
ILTJOZS,O,O,X
ILTSJZO,O,O,X
ILTSJOZ,O,O,X
ILTSZJO,O,O,X
ILTSZOJ,O,O,X
ILTSOJZ,O,O,X
ILTSOZJ,O,O,X
ILTZJSO,O,O,X
ILTZJOS,O,O,X
ILTZSJO,O,O,X
ILTZSOJ,O,O,X
ILTZOJS,O,O,X
ILTZOSJ,O,O,X
ILTOJSZ,O,O,X
ILTOJZS,O,O,X
ILTOSJZ,O,O,X
ILTOSZJ,O,O,X
ILTOZJS,O,O,X
ILTOZSJ,O,O,X
ILJTSZO,O,O,X
ILJTSOZ,O,O,X
ILJTZSO,O,O,X
ILJTZOS,O,O,X
ILJTOSZ,O,O,X
ILJTOZS,O,O,X
ILJSTZO,O,O,X
ILJSTOZ,O,O,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,O,O,X
ILJSOZT,O,O,X
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,X
ILJOTZS,O,O,X
ILJOSTZ,O,O,X
ILJOSZT,O,O,X
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,O,O,X
ILSTJOZ,O,O,X
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,O,X
ILSTOZJ,O,O,X
ILSJTZO,O,O,X
ILSJTOZ,O,O,X
ILSJZTO,O,O,X
ILSJZOT,O,O,X
ILSJOTZ,O,O,X
ILSJOZT,O,O,X
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,O,X
ILSZJOT,O,O,X
ILSZOTJ,O,O,X
ILSZOJT,O,O,X
ILSOTJZ,O,O,X
ILSOTZJ,O,O,X
ILSOJTZ,O,O,X
ILSOJZT,O,O,X
ILSOZTJ,O,O,X
ILSOZJT,O,O,X
ILZTJSO,O,O,X
ILZTJOS,O,O,X
ILZTSJO,O,O,X
ILZTSOJ,O,O,X
ILZTOJS,O,O,X
ILZTOSJ,O,O,X
ILZJTSO,O,O,X
ILZJTOS,O,O,X
ILZJSTO,O,O,X
ILZJSOT,O,O,X
ILZJOTS,O,O,X
ILZJOST,O,O,X
ILZSTJO,O,O,X
ILZSTOJ,O,O,X
ILZSJTO,O,O,X
ILZSJOT,O,O,X
ILZSOTJ,O,O,X
ILZSOJT,O,O,X
ILZOTJS,O,O,X
ILZOTSJ,O,O,X
ILZOJTS,O,O,X
ILZOJST,O,O,X
ILZOSTJ,O,O,X
ILZOSJT,O,O,X
ILOTJSZ,O,O,X
ILOTJZS,O,O,X
ILOTSJZ,O,O,X
ILOTSZJ,O,O,X
ILOTZJS,O,O,X
ILOTZSJ,O,O,X
ILOJTSZ,O,O,X
