sequence,v115@QhB8FeE8CeE8Jem/IvhFtlBxhBXjB0kBzmByvB,v115@QhB8FeE8CeE8Jex/IvhF6mBOnBXjB0kBdrBTqB,v115@QhB8FeE8CeE8Je/EJvhFUgBGhBxiBNrBinBTqB,v115@QhB8FeE8CeE8JeT/IvhF/lBGhBxiBNrBinBUqB,v115@QhB8FeE8CeE8JeT/IvhF9mBOnBXjBRqB0qBiqB
TOLZSJI,O,O,O,O,X
TOJILSZ,X,X,O,X,O
TOJILZS,X,X,O,X,O
TOJISLZ,X,X,O,X,O
TOJISZL,X,X,O,X,O
TOJIZLS,X,X,X,X,O
TOJIZSL,X,X,O,O,O
TOJLISZ,X,X,O,X,O
TOJLIZS,X,X,O,O,O
TOJLSIZ,X,X,O,X,O
TOJLSZI,X,O,O,X,X
TOJLZIS,X,O,O,O,X
TOJLZSI,X,O,O,O,X
TOJSILZ,X,X,O,X,O
TOJSIZL,X,X,O,X,O
TOJSLIZ,X,X,O,X,O
TOJSLZI,X,O,O,X,X
TOJSZIL,X,O,O,X,O
TOJSZLI,X,O,O,X,X
TOJZILS,X,O,X,X,O
TOJZISL,X,O,O,O,O
TOJZLIS,X,O,O,O,X
TOJZLSI,X,O,O,O,X
TOJZSIL,X,O,O,O,O
TOJZSLI,X,O,O,O,X
TOSILJZ,O,X,O,X,O
TOSILZJ,O,X,O,X,X
TOSIJLZ,X,X,O,X,O
TOSIJZL,X,X,O,X,O
TOSIZLJ,O,X,O,O,X
TOSIZJL,X,X,O,O,O
TOSLIJZ,O,X,O,X,O
TOSLIZJ,O,X,O,O,X
TOSLJIZ,O,X,O,X,O
TOSLJZI,O,O,O,X,X
TOSLZIJ,O,O,O,O,X
TOSLZJI,O,O,O,O,X
TOSJILZ,X,X,O,X,O
TOSJIZL,X,X,O,X,O
TOSJLIZ,X,X,O,X,O
TOSJLZI,X,O,O,X,X
TOSJZIL,X,O,O,X,O
TOSJZLI,X,O,O,X,X
TOSZILJ,O,O,O,O,X
TOSZIJL,X,O,O,O,O
TOSZLIJ,O,O,O,O,X
TOSZLJI,O,O,O,O,X
TOSZJIL,X,O,O,O,O
TOSZJLI,O,O,O,O,X
TOZILJS,O,O,X,O,X
TOZILSJ,O,O,X,O,X
TOZIJLS,X,O,X,X,O
TOZIJSL,X,O,O,O,O
TOZISLJ,O,O,O,O,X
TOZISJL,X,O,O,O,O
TOZLIJS,O,O,O,O,X
TOZLISJ,O,O,O,O,X
TOZLJIS,O,O,O,O,X
TOZLJSI,O,O,O,O,X
TOZLSIJ,O,O,O,O,X
TOZLSJI,O,O,O,O,X
TOZJILS,X,O,X,X,O
TOZJISL,X,O,O,O,O
TOZJLIS,O,O,O,O,X
TOZJLSI,O,O,O,O,X
TOZJSIL,X,O,O,O,O
TOZJSLI,O,O,O,O,X
TOZSILJ,O,O,O,O,X
TOZSIJL,X,O,O,O,O
TOZSLIJ,O,O,O,O,X
TOZSLJI,O,O,O,O,X
TOZSJIL,X,O,O,O,O
TOZSJLI,O,O,O,O,X
ITLJSZO,X,O,O,X,O
ITLJSOZ,X,X,O,X,O
ITLJZSO,X,O,O,O,O
ITLJZOS,X,O,O,O,O
ITLJOSZ,X,X,O,X,O
ITLJOZS,X,X,O,O,O
ITLSJZO,X,O,O,X,O
ITLSJOZ,X,X,O,X,O
