sequence,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFOmB8mBziB5?oBqqBlsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFVmBUiBaoB5?oBzqBGsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeiBJvhFziB5oBGlB3?mBlsB0qB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFOmBliB5oBq?qBzmB8sB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhF0hB5oBuqBz?nBirBlsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeVFJvhFRhBGjB0mB6?sB/tBzqB
TOJSZIL,X,O,O,X,O,O
TOJSZLI,X,O,O,X,X,O
TOJZILS,O,O,X,O,X,X
TOJZISL,O,O,O,O,O,O
TOJZLIS,O,O,X,O,X,O
TOJZLSI,O,O,X,O,X,O
TOJZSIL,O,O,O,O,O,O
TOJZSLI,O,O,O,O,X,O
TOSILJZ,O,O,O,X,X,O
TOSILZJ,O,O,O,X,X,O
TOSIJLZ,O,O,O,X,O,O
TOSIJZL,X,O,O,X,O,O
TOSIZLJ,O,O,O,X,X,O
TOSIZJL,O,O,X,X,X,O
TOSLIJZ,O,O,O,X,X,O
TOSLIZJ,O,O,O,X,X,O
TOSLJIZ,O,O,O,X,X,O
TOSLJZI,O,O,O,X,X,O
TOSLZIJ,O,O,O,X,X,O
TOSLZJI,O,O,O,X,X,O
TOSJILZ,O,O,O,X,O,O
TOSJIZL,X,O,O,X,O,O
TOSJLIZ,O,O,O,X,O,O
TOSJLZI,O,O,O,X,O,O
TOSJZIL,X,O,O,X,O,O
TOSJZLI,X,O,O,X,X,O
TOSZILJ,O,O,O,X,X,O
TOSZIJL,O,O,X,X,X,O
TOSZLIJ,O,O,O,X,X,O
TOSZLJI,O,O,O,X,X,O
TOSZJIL,O,O,X,X,X,O
TOSZJLI,O,O,X,X,X,O
TOZILJS,O,O,X,O,X,O
TOZILSJ,O,O,X,O,X,O
TOZIJLS,O,O,X,O,X,X
TOZIJSL,O,O,O,O,X,O
TOZISLJ,O,O,O,O,X,O
TOZISJL,O,O,X,O,X,O
TOZLIJS,O,O,X,O,X,O
TOZLISJ,O,O,X,O,X,O
TOZLJIS,O,O,X,O,X,O
TOZLJSI,O,O,X,O,X,O
TOZLSIJ,O,O,X,O,X,O
TOZLSJI,O,O,X,O,X,O
TOZJILS,O,O,X,O,X,X
TOZJISL,O,O,O,O,X,O
TOZJLIS,O,O,X,O,X,O
TOZJLSI,O,O,X,O,X,O
TOZJSIL,O,O,O,O,X,O
TOZJSLI,O,O,O,O,X,O
TOZSILJ,O,O,O,O,X,O
TOZSIJL,O,O,X,O,X,O
TOZSLIJ,O,O,O,O,X,O
TOZSLJI,O,O,O,O,X,O
TOZSJIL,O,O,X,O,X,O
TOZSJLI,O,O,X,O,X,O
ITLJSZO,O,O,O,O,O,O
ITLJSOZ,O,O,O,O,O,O
ITLJZSO,O,O,X,O,O,X
ITLJZOS,O,O,X,O,O,X
ITLJOSZ,O,O,O,O,O,X
ITLJOZS,O,O,X,O,O,X
ITLSJZO,O,O,O,O,X,O
ITLSJOZ,O,O,O,O,X,O
ITLSZJO,O,X,O,O,X,O
ITLSZOJ,O,X,O,O,X,O
ITLSOJZ,O,O,O,O,X,O
ITLSOZJ,O,O,O,O,X,X
ITLZJSO,O,X,X,O,X,O
ITLZJOS,O,X,X,O,X,X
ITLZSJO,O,X,X,O,X,O
ITLZSOJ,O,X,X,O,X,O
ITLZOJS,O,X,X,O,X,X
ITLZOSJ,O,X,X,O,X,O
ITLOJSZ,O,O,O,O,O,X
ITLOJZS,O,O,X,O,O,X
ITLOSJZ,O,O,O,O,X,O
ITLOSZJ,O,O,O,O,X,X
ITLOZJS,O,O,X,O,X,X
ITLOZSJ,O,O,X,O,X,X
ITJLSZO,O,O,O,X,O,O
ITJLSOZ,O,O,O,X,O,O
ITJLZSO,O,O,X,X,O,X
ITJLZOS,O,O,X,X,O,X
ITJLOSZ,O,O,O,X,O,X
ITJLOZS,O,O,X,X,O,X
ITJSLZO,O,O,O,X,O,O
ITJSLOZ,O,O,O,X,O,O
ITJSZLO,X,O,O,X,O,O
ITJSZOL,X,O,O,X,O,O
ITJSOLZ,O,O,O,X,O,O
ITJSOZL,X,O,O,X,O,O
ITJZLSO,O,O,X,X,O,X
ITJZLOS,O,O,X,X,O,X
ITJZSLO,O,O,O,X,O,O
ITJZSOL,O,O,O,X,O,O
ITJZOLS,O,O,X,X,X,X
ITJZOSL,O,O,O,X,O,X
ITJOLSZ,O,O,O,X,O,X
ITJOLZS,O,O,X,X,O,X
ITJOSLZ,O,O,O,X,O,X
ITJOSZL,X,O,O,X,O,X
ITJOZLS,O,O,X,X,X,X
ITJOZSL,O,O,O,X,O,X
ITSLJZO,O,O,O,O,X,O
ITSLJOZ,O,O,O,O,X,O
ITSLZJO,O,X,O,O,X,O
ITSLZOJ,O,X,O,O,X,O
ITSLOJZ,O,O,O,O,X,O
ITSLOZJ,O,O,O,O,X,X
ITSJLZO,O,O,O,X,O,O
ITSJLOZ,O,O,O,X,O,O
ITSJZLO,X,O,O,X,O,O
ITSJZOL,X,O,O,X,O,O
ITSJOLZ,O,O,O,X,O,O
ITSJOZL,X,O,O,X,O,O
ITSZLJO,O,X,O,O,X,O
ITSZLOJ,O,X,O,O,X,O
ITSZJLO,O,X,X,O,X,O
ITSZJOL,O,X,X,X,X,O
ITSZOLJ,O,X,O,O,X,X
ITSZOJL,O,X,X,X,X,O
ITSOLJZ,O,O,O,X,X,O
ITSOLZJ,O,O,O,X,X,X
ITSOJLZ,O,O,O,X,O,O
ITSOJZL,X,O,O,X,O,O
ITSOZLJ,O,O,O,X,X,X
ITSOZJL,O,O,X,X,X,X
ITZLJSO,O,X,X,O,X,O
ITZLJOS,O,X,X,O,X,X
ITZLSJO,O,X,X,O,X,O
ITZLSOJ,O,X,X,O,X,O
ITZLOJS,O,X,X,O,X,X
ITZLOSJ,O,X,X,O,X,O
ITZJLSO,O,X,X,O,X,X
ITZJLOS,O,X,X,O,X,X
ITZJSLO,O,X,O,O,X,O
ITZJSOL,O,X,O,X,X,O
ITZJOLS,O,X,X,O,X,X
ITZJOSL,O,X,O,O,X,X
ITZSLJO,O,X,O,O,X,O
ITZSLOJ,O,X,O,O,X,O
ITZSJLO,O,X,X,O,X,O
ITZSJOL,O,X,X,X,X,O
ITZSOLJ,O,X,O,O,X,X
ITZSOJL,O,X,X,O,X,O
ITZOLJS,O,X,X,O,X,X
ITZOLSJ,O,X,X,O,X,X
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,O,O,X,X
ITZOSLJ,O,X,O,O,X,X
ITZOSJL,O,X,X,O,X,O
ITOLJSZ,O,O,O,O,O,X
ITOLJZS,O,O,X,O,O,X
ITOLSJZ,O,O,O,O,X,O
ITOLSZJ,O,O,O,O,X,X
ITOLZJS,O,O,X,O,X,X
ITOLZSJ,O,O,X,O,X,X
ITOJLSZ,O,O,O,O,O,X
ITOJLZS,O,O,X,O,O,X
ITOJSLZ,O,O,O,X,O,X
ITOJSZL,X,O,O,X,O,X
ITOJZLS,O,O,X,O,X,X
ITOJZSL,O,O,O,O,O,X
ITOSLJZ,O,O,O,X,X,O
ITOSLZJ,O,O,O,X,X,X
ITOSJLZ,O,O,O,X,O,O
ITOSJZL,X,O,O,X,O,O
ITOSZLJ,O,O,O,X,X,X
ITOSZJL,O,O,X,X,X,X
ITOZLJS,O,O,X,O,X,X
ITOZLSJ,O,O,X,O,X,X
ITOZJLS,O,O,X,O,X,X
ITOZJSL,O,O,O,O,X,X
ITOZSLJ,O,O,O,O,X,X
ITOZSJL,O,O,X,O,X,O
ILTJSZO,O,O,O,O,O,O
ILTJSOZ,O,O,O,O,O,O
ILTJZSO,O,O,X,O,O,X
ILTJZOS,O,O,X,O,O,X
ILTJOSZ,O,O,O,O,O,X
ILTJOZS,O,O,X,O,O,X
ILTSJZO,O,O,O,O,X,O
ILTSJOZ,O,O,O,O,X,O
ILTSZJO,O,X,O,O,X,O
ILTSZOJ,O,X,O,O,X,O
ILTSOJZ,O,O,O,O,X,O
ILTSOZJ,O,O,O,O,X,X
ILTZJSO,O,X,X,O,X,O
ILTZJOS,O,X,X,O,X,X
ILTZSJO,O,X,X,O,X,O
ILTZSOJ,O,X,X,O,X,O
ILTZOJS,O,X,X,O,X,X
ILTZOSJ,O,X,X,O,X,O
ILTOJSZ,O,O,O,O,O,X
ILTOJZS,O,O,X,O,O,X
ILTOSJZ,O,O,O,O,X,O
ILTOSZJ,O,O,O,O,X,X
ILTOZJS,O,O,X,O,X,X
ILTOZSJ,O,O,X,O,X,X
ILJTSZO,O,O,O,O,O,X
ILJTSOZ,O,O,O,O,O,X
ILJTZSO,O,O,X,O,O,X
ILJTZOS,O,O,X,O,O,X
ILJTOSZ,O,O,O,O,O,X
ILJTOZS,O,O,X,O,O,X
ILJSTZO,O,O,O,O,O,X
ILJSTOZ,O,O,O,O,O,X
ILJSZTO,O,O,O,O,O,X
ILJSZOT,O,O,X,O,O,X
ILJSOTZ,X,O,O,O,O,X
ILJSOZT,O,O,X,O,O,X
ILJZTSO,O,O,X,O,O,X
ILJZTOS,O,O,X,O,O,X
ILJZSTO,O,O,X,O,O,X
ILJZSOT,O,O,X,O,O,X
ILJZOTS,O,O,X,O,O,X
ILJZOST,O,O,X,O,O,X
ILJOTSZ,X,O,X,O,O,X
ILJOTZS,X,O,X,O,O,X
ILJOSTZ,X,O,X,O,O,X
ILJOSZT,O,O,X,O,O,X
ILJOZTS,O,O,X,O,O,X
ILJOZST,O,O,X,O,O,X
ILSTJZO,O,O,O,O,X,O
ILSTJOZ,O,O,O,O,X,O
ILSTZJO,O,X,O,O,X,O
ILSTZOJ,O,X,O,O,X,O
ILSTOJZ,O,O,O,O,X,O
ILSTOZJ,O,O,O,O,X,X
ILSJTZO,O,O,O,O,O,O
ILSJTOZ,O,O,O,O,O,O
ILSJZTO,O,O,O,O,O,O
ILSJZOT,O,O,X,O,O,X
ILSJOTZ,X,O,O,O,O,O
ILSJOZT,O,O,X,O,O,X
ILSZTJO,O,X,O,O,X,O
ILSZTOJ,O,X,O,O,X,O
ILSZJTO,O,O,O,O,X,O
ILSZJOT,O,X,X,O,X,X
ILSZOTJ,O,O,X,O,X,X
ILSZOJT,O,O,X,O,X,X
ILSOTJZ,O,O,O,O,X,O
ILSOTZJ,O,O,O,O,X,O
ILSOJTZ,X,O,O,O,O,O
ILSOJZT,O,O,X,O,O,X
ILSOZTJ,O,O,X,O,X,X
ILSOZJT,O,O,X,O,X,X
ILZTJSO,O,X,X,O,X,O
ILZTJOS,O,X,X,O,X,X
ILZTSJO,O,X,X,O,X,O
ILZTSOJ,O,X,X,O,X,O
ILZTOJS,O,X,X,O,X,X
ILZTOSJ,O,X,X,O,X,O
ILZJTSO,O,O,X,O,O,X
ILZJTOS,O,O,X,O,O,X
ILZJSTO,O,O,X,O,O,X
ILZJSOT,O,O,X,O,O,X
ILZJOTS,O,O,X,O,O,X
ILZJOST,O,O,X,O,O,X
ILZSTJO,O,X,X,O,X,O
ILZSTOJ,O,X,X,O,X,O
ILZSJTO,O,O,X,O,X,O
ILZSJOT,O,X,X,O,X,X
ILZSOTJ,O,O,X,O,X,X
ILZSOJT,O,O,X,O,X,X
ILZOTJS,O,O,X,O,X,X
ILZOTSJ,O,O,X,O,X,X
ILZOJTS,O,O,X,O,O,X
ILZOJST,O,O,X,O,O,X
ILZOSTJ,O,O,X,O,X,X
ILZOSJT,O,O,X,O,X,X
ILOTJSZ,O,O,X,O,O,O
ILOTJZS,O,O,X,O,O,X
ILOTSJZ,O,O,X,O,X,O
ILOTSZJ,O,O,X,O,X,O
ILOTZJS,O,O,X,O,X,O
ILOTZSJ,O,O,X,O,X,O
ILOJTSZ,X,O,X,O,O,X
ILOJTZS,X,O,X,O,O,X
ILOJSTZ,X,O,X,O,O,X
ILOJSZT,O,O,X,O,O,X
ILOJZTS,O,O,X,O,O,X
ILOJZST,O,O,X,O,O,X
ILOSTJZ,O,O,X,O,X,O
ILOSTZJ,O,O,X,O,X,O
ILOSJTZ,X,O,X,O,O,O
ILOSJZT,O,O,X,O,O,X
ILOSZTJ,O,O,X,O,X,X
ILOSZJT,O,O,X,O,X,X
ILOZTJS,O,O,X,O,X,X
ILOZTSJ,O,O,X,O,X,X
ILOZJTS,O,O,X,O,O,X
ILOZJST,O,O,X,O,O,X
ILOZSTJ,O,O,X,O,X,X
ILOZSJT,O,O,X,O,X,X
IJTLSZO,O,O,O,X,O,X
IJTLSOZ,O,O,O,X,O,X
IJTLZSO,O,O,X,X,O,X
IJTLZOS,O,O,X,X,O,X
IJTLOSZ,O,O,O,X,O,X
IJTLOZS,O,O,X,X,O,X
IJTSLZO,O,O,O,X,O,X
IJTSLOZ,O,O,O,X,O,X
IJTSZLO,X,O,O,X,O,X
IJTSZOL,X,O,O,X,O,X
IJTSOLZ,O,O,O,X,O,X
IJTSOZL,X,O,O,X,O,X
IJTZLSO,O,O,X,X,O,X
IJTZLOS,O,O,X,X,O,X
IJTZSLO,O,O,O,X,O,X
IJTZSOL,O,O,O,X,O,X
IJTZOLS,O,O,X,X,X,X
IJTZOSL,O,O,O,X,O,X
IJTOLSZ,O,O,O,X,O,X
IJTOLZS,O,O,X,X,O,X
IJTOSLZ,O,O,O,X,O,X
IJTOSZL,X,O,O,X,O,X
IJTOZLS,O,O,X,X,X,X
IJTOZSL,O,O,O,X,O,X
IJLTSZO,O,O,O,O,O,X
IJLTSOZ,O,O,O,O,O,X
IJLTZSO,O,O,X,O,O,X
IJLTZOS,O,O,X,O,O,X
IJLTOSZ,O,O,O,O,O,X
IJLTOZS,O,O,X,O,O,X
IJLSTZO,O,O,O,O,O,X
IJLSTOZ,O,O,O,O,O,X
IJLSZTO,O,O,O,O,O,X
IJLSZOT,O,O,X,O,O,X
IJLSOTZ,X,O,O,O,O,X
IJLSOZT,O,O,X,O,O,X
IJLZTSO,O,O,X,O,O,X
IJLZTOS,O,O,X,O,O,X
IJLZSTO,O,O,X,O,O,X
IJLZSOT,O,O,X,O,O,X
IJLZOTS,O,O,X,O,O,X
IJLZOST,O,O,X,O,O,X
IJLOTSZ,X,O,X,O,O,X
IJLOTZS,X,O,X,O,O,X
IJLOSTZ,X,O,X,O,O,X
IJLOSZT,O,O,X,O,O,X
IJLOZTS,O,O,X,O,O,X
IJLOZST,O,O,X,O,O,X
IJSTLZO,O,O,O,X,O,X
IJSTLOZ,O,O,O,X,O,X
IJSTZLO,X,O,O,X,O,X
IJSTZOL,X,O,O,X,O,X
IJSTOLZ,O,O,O,X,O,X
IJSTOZL,X,O,O,X,O,X
IJSLTZO,O,O,O,O,O,X
IJSLTOZ,O,O,O,O,O,X
IJSLZTO,O,O,O,O,O,X
IJSLZOT,O,O,X,O,O,X
IJSLOTZ,X,O,O,O,O,X
IJSLOZT,O,O,X,O,O,X
IJSZTLO,X,O,O,O,O,X
IJSZTOL,X,O,O,X,O,X
IJSZLTO,X,O,O,O,O,X
IJSZLOT,X,O,X,O,O,X
IJSZOTL,X,O,X,X,O,X
IJSZOLT,X,O,X,X,O,X
IJSOTLZ,X,O,O,X,O,X
IJSOTZL,X,O,O,X,O,X
IJSOLTZ,X,O,O,X,O,X
IJSOLZT,X,O,X,X,O,X
IJSOZTL,X,O,X,X,O,X
IJSOZLT,X,O,X,X,O,X
IJZTLSO,O,O,X,O,O,X
IJZTLOS,O,O,X,O,O,X
IJZTSLO,O,O,O,O,O,X
IJZTSOL,O,O,O,X,O,X
IJZTOLS,O,O,X,O,X,X
IJZTOSL,O,O,O,O,O,X
IJZLTSO,O,O,X,O,O,X
IJZLTOS,O,O,X,O,O,X
IJZLSTO,O,O,X,O,O,X
IJZLSOT,O,O,X,O,O,X
IJZLOTS,O,O,X,O,O,X
IJZLOST,O,O,X,O,O,X
IJZSTLO,O,O,O,O,O,X
IJZSTOL,O,O,O,X,O,X
IJZSLTO,O,O,O,O,O,X
IJZSLOT,O,O,X,O,O,X
IJZSOTL,X,O,X,X,O,X
IJZSOLT,X,O,X,X,O,X
IJZOTLS,O,O,X,O,X,X
IJZOTSL,O,O,X,O,O,X
IJZOLTS,O,O,X,O,O,X
IJZOLST,O,O,X,O,O,X
IJZOSTL,X,O,X,O,O,X
IJZOSLT,X,O,X,O,O,X
IJOTLSZ,X,O,O,O,O,X
IJOTLZS,X,O,X,O,O,X
IJOTSLZ,X,O,O,X,O,X
IJOTSZL,X,O,O,X,O,X
IJOTZLS,X,O,X,O,X,X
IJOTZSL,X,O,O,O,O,X
IJOLTSZ,X,O,X,O,O,X
IJOLTZS,X,O,X,O,O,X
IJOLSTZ,X,O,X,O,O,X
IJOLSZT,X,O,X,O,O,X
IJOLZTS,X,O,X,O,O,X
IJOLZST,X,O,X,O,O,X
IJOSTLZ,X,O,O,X,O,X
IJOSTZL,X,O,O,X,O,X
IJOSLTZ,X,O,O,O,O,X
IJOSLZT,X,O,X,O,O,X
IJOSZTL,X,O,X,O,O,X
IJOSZLT,X,O,X,O,O,X
IJOZTLS,X,O,X,O,X,X
IJOZTSL,X,O,X,O,O,X
IJOZLTS,X,O,X,O,O,X
IJOZLST,X,O,X,O,O,X
IJOZSTL,X,O,X,O,O,X
IJOZSLT,X,O,X,O,O,X
ISTLJZO,O,O,O,O,X,O
ISTLJOZ,O,O,O,O,X,O
ISTLZJO,O,X,O,O,X,O
ISTLZOJ,O,X,O,O,X,O
ISTLOJZ,O,O,O,O,X,O
ISTLOZJ,O,O,O,O,X,X
ISTJLZO,O,O,O,X,O,O
ISTJLOZ,O,O,O,X,O,O
ISTJZLO,X,O,O,X,O,O
ISTJZOL,X,O,O,X,O,O
ISTJOLZ,O,O,O,X,O,O
ISTJOZL,X,O,O,X,O,O
ISTZLJO,O,X,O,O,X,O
ISTZLOJ,O,X,O,O,X,O
ISTZJLO,O,X,X,O,X,O
ISTZJOL,O,X,X,X,X,O
ISTZOLJ,O,X,O,O,X,X
ISTZOJL,O,X,X,X,X,O
ISTOLJZ,O,O,O,X,X,O
ISTOLZJ,O,O,O,X,X,X
ISTOJLZ,O,O,O,X,O,O
ISTOJZL,X,O,O,X,O,O
ISTOZLJ,O,O,O,X,X,X
ISTOZJL,O,O,X,X,X,X
ISLTJZO,O,O,O,O,X,O
ISLTJOZ,O,O,O,O,X,O
ISLTZJO,O,X,O,O,X,O
ISLTZOJ,O,X,O,O,X,O
ISLTOJZ,O,O,O,O,X,O
ISLTOZJ,O,O,O,O,X,X
ISLJTZO,O,O,O,O,O,O
ISLJTOZ,O,O,O,O,O,O
ISLJZTO,O,O,O,O,O,O
ISLJZOT,O,O,X,O,O,X
ISLJOTZ,X,O,O,O,O,O
ISLJOZT,O,O,X,O,O,X
ISLZTJO,O,X,O,O,X,O
ISLZTOJ,O,X,O,O,X,O
ISLZJTO,O,O,O,O,X,O
ISLZJOT,O,X,X,O,X,X
ISLZOTJ,O,O,X,O,X,X
ISLZOJT,O,O,X,O,X,X
ISLOTJZ,O,O,O,O,X,O
ISLOTZJ,O,O,O,O,X,O
ISLOJTZ,X,O,O,O,O,O
ISLOJZT,O,O,X,O,O,X
ISLOZTJ,O,O,X,O,X,X
ISLOZJT,O,O,X,O,X,X
ISJTLZO,O,O,O,X,O,O
ISJTLOZ,O,O,O,X,O,O
ISJTZLO,X,O,O,X,O,O
ISJTZOL,X,O,O,X,O,O
ISJTOLZ,O,O,O,X,O,O
ISJTOZL,X,O,O,X,O,O
ISJLTZO,O,O,O,O,O,O
ISJLTOZ,O,O,O,O,O,O
ISJLZTO,O,O,O,O,O,O
ISJLZOT,O,O,X,O,O,X
ISJLOTZ,X,O,O,O,O,O
ISJLOZT,O,O,X,O,O,X
ISJZTLO,X,O,O,O,O,O
ISJZTOL,X,O,O,X,O,O
ISJZLTO,X,O,O,O,O,X
ISJZLOT,X,O,X,O,O,X
ISJZOTL,X,O,X,X,O,X
ISJZOLT,X,O,X,X,O,X
ISJOTLZ,X,O,O,X,O,O
ISJOTZL,X,O,O,X,O,O
ISJOLTZ,X,O,O,X,O,O
ISJOLZT,X,O,X,X,O,X
ISJOZTL,X,O,X,X,O,X
ISJOZLT,X,O,X,X,O,X
ISZTLJO,O,X,O,O,X,O
ISZTLOJ,O,X,O,O,X,O
ISZTJLO,O,X,X,O,X,O
ISZTJOL,O,X,X,X,X,O
ISZTOLJ,O,X,O,O,X,X
ISZTOJL,O,X,X,O,X,O
ISZLTJO,O,X,O,O,X,O
ISZLTOJ,O,X,O,O,X,O
ISZLJTO,O,O,O,O,X,O
ISZLJOT,O,X,X,O,X,X
ISZLOTJ,O,O,X,O,X,X
ISZLOJT,O,O,X,O,X,X
ISZJTLO,O,O,X,O,O,O
ISZJTOL,O,O,X,X,O,O
ISZJLTO,O,O,X,O,O,X
ISZJLOT,O,X,X,O,O,X
ISZJOTL,X,X,X,X,O,X
ISZJOLT,X,X,X,X,O,X
ISZOTLJ,X,O,X,O,X,X
ISZOTJL,X,O,X,O,X,X
ISZOLTJ,X,O,X,O,X,X
ISZOLJT,X,O,X,O,X,X
ISZOJTL,X,O,X,O,O,X
ISZOJLT,X,O,X,O,O,X
ISOTLJZ,O,O,O,X,X,O
ISOTLZJ,O,O,O,X,X,O
ISOTJLZ,O,O,O,X,O,O
ISOTJZL,X,O,X,X,O,O
ISOTZLJ,O,O,O,X,X,O
ISOTZJL,X,O,X,X,X,O
ISOLTJZ,O,O,O,O,X,O
ISOLTZJ,O,O,O,O,X,O
ISOLJTZ,X,O,O,O,O,O
ISOLJZT,O,O,X,O,O,X
ISOLZTJ,O,O,X,O,X,X
ISOLZJT,O,O,X,O,X,X
ISOJTLZ,X,O,X,X,O,O
ISOJTZL,X,O,X,X,O,O
ISOJLTZ,X,O,X,O,O,O
ISOJLZT,X,O,X,O,O,X
ISOJZTL,X,O,X,O,O,X
ISOJZLT,X,O,X,O,O,X
ISOZTLJ,X,O,X,O,X,X
ISOZTJL,X,O,X,O,X,X
ISOZLTJ,X,O,X,O,X,X
ISOZLJT,X,O,X,O,X,X
ISOZJTL,X,O,X,O,O,X
ISOZJLT,X,O,X,O,O,X
IZTLJSO,O,X,X,O,X,O
IZTLJOS,O,X,X,O,X,X
IZTLSJO,O,X,X,O,X,O
IZTLSOJ,O,X,X,O,X,O
IZTLOJS,O,X,X,O,X,X
IZTLOSJ,O,X,X,O,X,O
IZTJLSO,O,X,X,O,X,X
IZTJLOS,O,X,X,O,X,X
IZTJSLO,O,X,O,O,X,O
IZTJSOL,O,X,O,X,X,O
IZTJOLS,O,X,X,O,X,X
IZTJOSL,O,X,O,O,X,X
IZTSLJO,O,X,O,O,X,O
IZTSLOJ,O,X,O,O,X,O
IZTSJLO,O,X,X,O,X,O
IZTSJOL,O,X,X,X,X,O
IZTSOLJ,O,X,O,O,X,X
IZTSOJL,O,X,X,O,X,O
IZTOLJS,O,X,X,O,X,X
IZTOLSJ,O,X,X,O,X,X
IZTOJLS,O,X,X,O,X,X
IZTOJSL,O,X,O,O,X,X
IZTOSLJ,O,X,O,O,X,X
IZTOSJL,O,X,X,O,X,O
IZLTJSO,O,X,X,O,X,O
IZLTJOS,O,X,X,O,X,X
IZLTSJO,O,X,X,O,X,O
IZLTSOJ,O,X,X,O,X,O
IZLTOJS,O,X,X,O,X,X
IZLTOSJ,O,X,X,O,X,O
IZLJTSO,O,O,X,O,O,X
IZLJTOS,O,O,X,O,O,X
IZLJSTO,O,O,X,O,O,X
IZLJSOT,O,O,X,O,O,X
IZLJOTS,O,O,X,O,O,X
IZLJOST,O,O,X,O,O,X
IZLSTJO,O,X,X,O,X,O
IZLSTOJ,O,X,X,O,X,O
IZLSJTO,O,O,X,O,X,O
IZLSJOT,O,X,X,O,X,X
IZLSOTJ,O,O,X,O,X,X
IZLSOJT,O,O,X,O,X,X
IZLOTJS,O,O,X,O,X,X
IZLOTSJ,O,O,X,O,X,X
IZLOJTS,O,O,X,O,O,X
IZLOJST,O,O,X,O,O,X
IZLOSTJ,O,O,X,O,X,X
IZLOSJT,O,O,X,O,X,X
IZJTLSO,O,O,X,O,O,X
IZJTLOS,O,O,X,O,O,X
IZJTSLO,O,O,O,O,O,X
IZJTSOL,O,O,O,X,O,X
IZJTOLS,O,O,X,O,X,X
IZJTOSL,O,O,O,O,O,X
IZJLTSO,O,O,X,O,O,X
IZJLTOS,O,O,X,O,O,X
IZJLSTO,O,O,X,O,O,X
IZJLSOT,O,O,X,O,O,X
IZJLOTS,O,O,X,O,O,X
IZJLOST,O,O,X,O,O,X
IZJSTLO,O,O,O,O,O,X
IZJSTOL,O,O,O,X,O,X
IZJSLTO,O,O,O,O,O,X
IZJSLOT,O,O,X,O,O,X
IZJSOTL,X,O,X,X,O,X
IZJSOLT,X,O,X,X,O,X
IZJOTLS,O,O,X,O,X,X
IZJOTSL,O,O,X,O,O,X
IZJOLTS,O,O,X,O,O,X
IZJOLST,O,O,X,O,O,X
IZJOSTL,X,O,X,O,O,X
IZJOSLT,X,O,X,O,O,X
IZSTLJO,O,X,O,O,X,O
IZSTLOJ,O,X,O,O,X,O
IZSTJLO,O,X,X,O,X,O
IZSTJOL,O,X,X,X,X,O
IZSTOLJ,O,X,O,O,X,X
IZSTOJL,O,X,X,O,X,O
IZSLTJO,O,X,O,O,X,O
IZSLTOJ,O,X,O,O,X,O
IZSLJTO,O,O,O,O,X,O
IZSLJOT,O,X,X,O,X,X
IZSLOTJ,O,O,X,O,X,X
IZSLOJT,O,O,X,O,X,X
IZSJTLO,O,O,X,O,O,O
IZSJTOL,O,O,X,X,O,O
IZSJLTO,O,O,X,O,O,X
IZSJLOT,O,X,X,O,O,X
IZSJOTL,X,X,X,X,O,X
IZSJOLT,X,X,X,X,O,X
IZSOTLJ,X,O,X,O,X,X
IZSOTJL,X,O,X,O,X,X
IZSOLTJ,X,O,X,O,X,X
IZSOLJT,X,O,X,O,X,X
IZSOJTL,X,O,X,O,O,X
IZSOJLT,X,O,X,O,O,X
IZOTLJS,O,O,X,O,X,X
IZOTLSJ,O,O,X,O,X,X
IZOTJLS,O,O,X,O,X,X
IZOTJSL,O,O,X,O,X,X
IZOTSLJ,O,O,X,O,X,X
IZOTSJL,O,O,X,O,X,X
IZOLTJS,O,O,X,O,X,X
IZOLTSJ,O,O,X,O,X,X
IZOLJTS,O,O,X,O,O,X
IZOLJST,O,O,X,O,O,X
IZOLSTJ,O,O,X,O,X,X
IZOLSJT,O,O,X,O,X,X
IZOJTLS,O,O,X,O,X,X
IZOJTSL,O,O,X,O,O,X
IZOJLTS,O,O,X,O,O,X
IZOJLST,O,O,X,O,O,X
IZOJSTL,X,O,X,O,O,X
IZOJSLT,X,O,X,O,O,X
IZOSTLJ,X,O,X,O,X,X
IZOSTJL,X,O,X,O,X,X
IZOSLTJ,X,O,X,O,X,X
IZOSLJT,X,O,X,O,X,X
IZOSJTL,X,O,X,O,O,X
IZOSJLT,X,O,X,O,O,X
IOTLJSZ,O,O,O,O,O,O
IOTLJZS,O,O,X,O,O,X
IOTLSJZ,O,O,O,O,X,O
IOTLSZJ,O,O,O,O,X,O
IOTLZJS,O,O,X,O,X,O
IOTLZSJ,O,O,X,O,X,O
IOTJLSZ,O,O,O,O,O,O
IOTJLZS,O,O,X,O,O,X
IOTJSLZ,O,O,O,X,O,O
IOTJSZL,X,O,O,X,O,O
IOTJZLS,O,O,X,O,X,X
IOTJZSL,O,O,O,O,O,O
IOTSLJZ,O,O,O,X,X,O
IOTSLZJ,O,O,O,X,X,O
IOTSJLZ,O,O,O,X,O,O
IOTSJZL,X,O,O,X,O,O
IOTSZLJ,O,O,O,X,X,O
IOTSZJL,O,O,X,X,X,O
