sequence,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeT/IvhFlgBanB5oB/?qBOrB0pB,v115@EhB8HeB8FeA8AeB8AeA8DeD8Kem/IvhFUhBanB5oBT?kBfrBVvB,v115@EhB8HeB8FeA8AeB8AeA8DeD8Ke0/IvhFlgBanB5oB/?pBOrBTqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeUBJvhFanB5oB/pBF?lBzqBmpB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeT/IvhFanB5oB/qBF?mB0pBmqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeOEJvhF8kBanB5oBF?mBXqBzqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeaHJvhF5oBTkB/qBF?mB0pBmqB
IZTJOLS,O,X,X,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,O,O,X
IZTSLOJ,O,O,X,X,O,O,O
IZTSJLO,O,O,X,X,O,O,X
IZTSJOL,O,O,X,X,O,O,X
IZTSOLJ,O,O,X,X,O,O,O
IZTSOJL,O,O,X,X,O,O,X
IZTOLJS,O,O,X,X,X,X,X
IZTOLSJ,O,O,X,O,O,X,X
IZTOJLS,O,O,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X
IZTOSLJ,O,O,X,O,O,X,X
IZTOSJL,O,O,X,O,O,X,X
IZLTJSO,O,O,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X
IZLTSJO,O,O,X,X,O,O,X
IZLTSOJ,O,O,X,X,O,O,O
IZLTOJS,O,O,X,X,X,X,X
IZLTOSJ,O,O,X,O,O,X,X
IZLJTSO,O,X,O,X,X,X,X
IZLJTOS,O,X,O,X,X,X,X
IZLJSTO,O,X,O,X,O,X,X
IZLJSOT,O,X,O,X,O,X,X
IZLJOTS,O,X,O,X,X,X,X
IZLJOST,O,X,O,O,O,X,X
IZLSTJO,O,X,O,X,O,O,X
IZLSTOJ,O,X,O,X,O,O,O
IZLSJTO,O,X,O,X,O,O,X
IZLSJOT,O,X,O,X,O,O,X
IZLSOTJ,O,X,O,O,O,O,O
IZLSOJT,O,X,O,O,O,O,X
IZLOTJS,O,O,X,X,X,X,X
IZLOTSJ,O,O,O,O,O,X,X
IZLOJTS,O,O,X,X,X,X,X
IZLOJST,O,X,X,O,O,X,X
IZLOSTJ,O,X,O,O,O,X,O
IZLOSJT,O,X,O,O,O,X,X
IZJTLSO,O,X,O,X,X,X,X
IZJTLOS,O,X,O,X,X,X,X
IZJTSLO,O,X,O,X,X,X,X
IZJTSOL,O,X,O,X,X,X,X
IZJTOLS,O,X,O,X,X,X,X
IZJTOSL,O,X,O,X,X,X,X
IZJLTSO,O,X,O,X,X,X,X
IZJLTOS,O,X,O,X,X,X,X
IZJLSTO,O,X,O,X,O,X,X
IZJLSOT,O,X,O,X,O,X,X
IZJLOTS,O,X,O,X,X,X,X
IZJLOST,O,X,O,O,O,X,X
IZJSTLO,O,X,O,X,O,X,X
IZJSTOL,O,X,O,X,O,X,X
IZJSLTO,O,X,O,X,O,X,X
IZJSLOT,O,X,O,X,O,X,X
IZJSOTL,O,X,O,X,O,X,X
IZJSOLT,O,X,O,X,O,X,X
IZJOTLS,O,X,O,X,X,X,X
IZJOTSL,O,X,O,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X
IZJOLST,O,X,O,O,O,X,X
IZJOSTL,O,X,O,O,O,X,X
IZJOSLT,O,X,O,O,O,X,X
IZSTLJO,O,X,O,X,O,O,X
IZSTLOJ,O,X,O,X,O,O,O
IZSTJLO,O,X,O,X,O,O,X
IZSTJOL,O,X,O,X,O,O,X
IZSTOLJ,O,X,O,X,O,O,O
IZSTOJL,O,X,O,X,O,O,X
IZSLTJO,O,X,O,X,O,O,X
IZSLTOJ,O,X,O,X,O,O,O
IZSLJTO,O,X,O,X,O,O,X
IZSLJOT,O,X,O,X,O,O,X
IZSLOTJ,O,X,O,O,O,O,O
IZSLOJT,O,X,O,O,O,O,X
IZSJTLO,O,X,O,X,O,O,X
IZSJTOL,O,X,O,X,O,O,X
IZSJLTO,O,X,O,X,O,O,X
IZSJLOT,O,X,O,X,O,O,X
IZSJOTL,O,X,O,X,O,O,X
IZSJOLT,O,X,O,X,O,O,X
IZSOTLJ,O,X,O,O,O,O,O
IZSOTJL,O,X,O,O,O,O,X
IZSOLTJ,O,X,O,O,O,O,O
IZSOLJT,O,X,O,O,O,O,X
IZSOJTL,O,X,O,O,O,O,X
IZSOJLT,O,X,O,O,O,O,X
IZOTLJS,O,O,X,X,X,X,X
IZOTLSJ,O,O,O,O,O,X,X
IZOTJLS,O,O,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X
IZOTSLJ,O,O,O,O,O,X,X
IZOTSJL,O,O,O,O,O,X,X
IZOLTJS,O,O,X,X,X,X,X
IZOLTSJ,O,O,O,O,O,X,X
IZOLJTS,O,O,X,X,X,X,X
IZOLJST,O,X,X,O,O,X,X
IZOLSTJ,O,X,O,O,O,X,O
IZOLSJT,O,X,O,O,O,X,X
IZOJTLS,O,O,O,X,X,X,X
IZOJTSL,O,O,O,X,X,X,X
IZOJLTS,O,O,O,X,X,X,X
IZOJLST,O,X,O,O,O,X,X
IZOJSTL,O,X,O,O,O,X,X
IZOJSLT,O,X,O,O,O,X,X
IZOSTLJ,O,X,O,O,O,X,O
IZOSTJL,O,X,O,O,O,X,X
IZOSLTJ,O,X,O,O,O,X,O
IZOSLJT,O,X,O,O,O,X,X
IZOSJTL,O,X,O,O,O,X,X
IZOSJLT,O,X,O,O,O,X,X
IOTLJSZ,X,O,O,X,X,X,X
IOTLJZS,X,O,X,X,X,X,X
IOTLSJZ,X,O,O,O,X,X,O
IOTLSZJ,X,O,O,O,O,O,O
IOTLZJS,X,O,X,X,X,X,X
IOTLZSJ,X,O,O,O,X,X,X
IOTJLSZ,X,O,O,X,X,X,X
IOTJLZS,X,O,O,X,X,X,X
IOTJSLZ,X,O,O,X,X,X,X
IOTJSZL,X,O,O,X,X,X,X
IOTJZLS,X,O,O,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X
IOTSLJZ,X,O,O,O,X,X,O
IOTSLZJ,X,O,O,O,O,O,O
IOTSJLZ,X,O,O,O,X,X,O
IOTSJZL,X,O,O,O,X,X,X
IOTSZLJ,X,O,O,O,O,O,O
IOTSZJL,X,O,O,O,O,O,X
IOTZLJS,X,O,X,X,X,X,X
IOTZLSJ,X,O,O,O,X,X,X
IOTZJLS,X,O,X,X,X,X,X
IOTZJSL,X,O,X,X,X,X,X
IOTZSLJ,X,O,O,O,X,X,X
IOTZSJL,X,O,O,O,X,X,X
IOLTJSZ,X,O,O,X,X,X,X
IOLTJZS,X,O,X,X,X,X,X
IOLTSJZ,X,O,O,O,X,X,O
IOLTSZJ,X,O,O,O,O,O,O
IOLTZJS,X,O,X,X,X,X,X
IOLTZSJ,X,O,O,O,X,X,X
IOLJTSZ,O,O,O,X,X,X,X
IOLJTZS,X,O,O,X,X,X,X
IOLJSTZ,O,O,O,O,X,X,O
IOLJSZT,O,X,O,O,X,X,X
IOLJZTS,O,O,O,X,X,X,X
IOLJZST,O,X,O,O,X,X,X
IOLSTJZ,X,O,O,O,X,X,O
IOLSTZJ,O,O,O,O,O,O,O
IOLSJTZ,X,O,O,O,X,X,O
IOLSJZT,X,X,O,O,X,X,X
IOLSZTJ,O,X,O,O,O,O,O
IOLSZJT,O,X,O,O,O,O,X
IOLZTJS,O,O,X,X,X,X,X
IOLZTSJ,O,O,O,O,O,X,X
IOLZJTS,O,O,X,X,X,X,X
IOLZJST,O,X,X,O,O,X,X
IOLZSTJ,O,X,O,O,O,X,O
IOLZSJT,O,X,O,O,O,X,X
IOJTLSZ,O,O,O,X,X,X,X
IOJTLZS,X,O,O,X,X,X,X
IOJTSLZ,O,O,O,X,X,X,X
IOJTSZL,O,O,O,X,X,X,X
IOJTZLS,X,O,O,X,X,X,X
IOJTZSL,X,O,O,X,X,X,X
IOJLTSZ,O,O,O,X,X,X,X
IOJLTZS,X,O,O,X,X,X,X
IOJLSTZ,O,O,O,O,X,X,O
IOJLSZT,O,X,O,O,X,X,X
IOJLZTS,O,O,O,X,X,X,X
IOJLZST,O,X,O,O,X,X,X
IOJSTLZ,O,O,O,O,X,X,O
IOJSTZL,O,O,O,O,X,X,X
IOJSLTZ,O,O,O,O,X,X,O
IOJSLZT,O,X,O,O,X,X,X
IOJSZTL,O,X,O,O,X,X,X
IOJSZLT,O,X,O,O,X,X,X
IOJZTLS,O,O,O,X,X,X,X
IOJZTSL,O,O,O,X,X,X,X
IOJZLTS,O,O,O,X,X,X,X
IOJZLST,O,X,O,O,X,X,X
IOJZSTL,O,X,O,O,X,X,X
IOJZSLT,O,X,O,O,X,X,X
IOSTLJZ,X,O,O,O,X,X,O
IOSTLZJ,O,O,O,O,O,O,O
IOSTJLZ,X,O,O,O,X,X,O
IOSTJZL,X,O,O,O,X,X,X
IOSTZLJ,O,O,O,O,O,O,O
IOSTZJL,O,O,O,O,O,O,X
IOSLTJZ,X,O,O,O,X,X,O
IOSLTZJ,O,O,O,O,O,O,O
IOSLJTZ,X,O,O,O,X,X,O
IOSLJZT,X,X,O,O,X,X,X
IOSLZTJ,O,X,O,O,O,O,O
IOSLZJT,O,X,O,O,O,O,X
IOSJTLZ,O,O,O,O,X,X,O
IOSJTZL,O,O,O,O,X,X,X
IOSJLTZ,O,O,O,O,X,X,O
IOSJLZT,O,X,O,O,X,X,X
IOSJZTL,O,X,O,O,X,X,X
IOSJZLT,O,X,O,O,X,X,X
IOSZTLJ,O,X,O,O,O,O,O
IOSZTJL,O,X,O,O,O,O,X
IOSZLTJ,O,X,O,O,O,O,O
IOSZLJT,O,X,O,O,O,O,X
IOSZJTL,O,X,O,O,O,O,X
IOSZJLT,O,X,O,O,O,O,X
IOZTLJS,O,O,X,X,X,X,X
IOZTLSJ,O,O,O,O,O,X,X
IOZTJLS,O,O,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X
IOZTSLJ,O,O,O,O,O,X,X
IOZTSJL,O,O,O,O,O,X,X
IOZLTJS,O,O,X,X,X,X,X
IOZLTSJ,O,O,O,O,O,X,X
IOZLJTS,O,O,X,X,X,X,X
IOZLJST,O,X,X,O,O,X,X
IOZLSTJ,O,X,O,O,O,X,O
IOZLSJT,O,X,O,O,O,X,X
IOZJTLS,O,O,O,X,X,X,X
IOZJTSL,O,O,O,X,X,X,X
IOZJLTS,O,O,O,X,X,X,X
IOZJLST,O,X,O,O,O,X,X
IOZJSTL,O,X,O,O,O,X,X
IOZJSLT,O,X,O,O,O,X,X
IOZSTLJ,O,X,O,O,O,X,O
IOZSTJL,O,X,O,O,O,X,X
IOZSLTJ,O,X,O,O,O,X,O
IOZSLJT,O,X,O,O,O,X,X
IOZSJTL,O,X,O,O,O,X,X
IOZSJLT,O,X,O,O,O,X,X
LTIJSZO,O,O,O,X,O,O,X
LTIJSOZ,O,O,O,X,X,X,O
LTIJZSO,O,O,O,X,X,X,X
LTIJZOS,O,X,O,X,X,X,X
LTIJOSZ,O,O,O,X,X,X,X
LTIJOZS,X,O,O,X,X,X,X
LTISJZO,O,O,O,X,O,O,X
LTISJOZ,X,O,O,X,X,X,O
LTISZJO,O,O,O,X,O,O,X
LTISZOJ,O,O,O,X,O,O,O
LTISOJZ,X,O,O,O,X,X,O
LTISOZJ,O,O,O,O,O,O,O
LTIZJSO,O,O,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X,X
LTIZSJO,O,O,X,X,O,O,X
LTIZSOJ,O,O,X,X,O,O,O
LTIZOJS,O,O,X,X,X,X,X
LTIZOSJ,O,O,X,O,O,X,X
LTIOJSZ,X,O,O,X,X,X,X
LTIOJZS,X,O,X,X,X,X,X
LTIOSJZ,X,O,O,O,X,X,O
LTIOSZJ,X,O,O,O,O,O,O
LTIOZJS,X,O,X,X,X,X,X
LTIOZSJ,X,O,O,O,X,X,X
LTJISZO,O,O,O,X,O,O,X
LTJISOZ,O,O,O,X,X,X,O
LTJIZSO,O,O,O,X,X,X,X
LTJIZOS,O,X,O,X,X,X,X
LTJIOSZ,O,O,O,X,X,X,X
LTJIOZS,X,O,O,X,X,X,X
LTJSIZO,O,O,O,X,O,O,X
LTJSIOZ,O,O,O,X,X,X,O
LTJSZIO,O,O,O,X,O,O,X
LTJSZOI,O,O,O,X,O,O,X
LTJSOIZ,O,O,O,X,X,X,O
LTJSOZI,O,O,O,X,X,X,X
LTJZISO,O,O,O,X,X,X,X
LTJZIOS,O,X,O,X,X,X,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,O,X,O,X,X,X,X
LTJZOSI,O,X,O,X,X,X,X
LTJOISZ,O,O,O,X,X,X,X
LTJOIZS,X,O,O,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X
LTJOSZI,O,O,O,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X
LTJOZSI,X,O,O,X,X,X,X
LTSIJZO,O,O,O,X,O,O,X
LTSIJOZ,X,O,O,X,X,X,O
LTSIZJO,O,O,O,X,O,O,X
LTSIZOJ,O,O,O,X,O,O,O
LTSIOJZ,X,O,O,O,X,X,O
LTSIOZJ,O,O,O,O,O,O,O
LTSJIZO,O,O,O,X,O,O,X
LTSJIOZ,X,O,O,X,X,X,O
LTSJZIO,O,O,O,X,O,O,X
LTSJZOI,O,O,O,X,O,O,X
LTSJOIZ,X,O,O,X,X,X,O
LTSJOZI,X,O,O,X,X,X,X
LTSZIJO,O,O,O,X,O,O,X
LTSZIOJ,O,O,O,X,O,O,O
LTSZJIO,O,O,O,X,O,O,X
LTSZJOI,O,O,O,X,O,O,X
LTSZOIJ,O,O,O,X,O,O,O
LTSZOJI,O,O,O,X,O,O,X
LTSOIJZ,X,O,O,O,X,X,O
LTSOIZJ,O,O,O,O,O,O,O
LTSOJIZ,X,O,O,O,X,X,O
LTSOJZI,X,O,O,O,X,X,X
LTSOZIJ,O,O,O,O,O,O,O
LTSOZJI,O,O,O,O,O,O,X
LTZIJSO,O,O,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X
LTZISJO,O,O,X,X,O,O,X
LTZISOJ,O,O,X,X,O,O,O
LTZIOJS,O,O,X,X,X,X,X
LTZIOSJ,O,O,X,O,O,X,X
LTZJISO,O,O,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X,X
LTZJSIO,O,O,X,X,X,X,X
LTZJSOI,O,O,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X,X
LTZSIJO,O,O,X,X,O,O,X
LTZSIOJ,O,O,X,X,O,O,O
LTZSJIO,O,O,X,X,O,O,X
LTZSJOI,O,O,X,X,O,O,X
LTZSOIJ,O,O,X,X,O,O,O
LTZSOJI,O,O,X,X,O,O,X
LTZOIJS,O,O,X,X,X,X,X
LTZOISJ,O,O,X,O,O,X,X
LTZOJIS,O,O,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X
LTZOSIJ,O,O,X,O,O,X,X
LTZOSJI,O,O,X,O,O,X,X
LTOIJSZ,X,O,O,X,X,X,X
LTOIJZS,X,O,X,X,X,X,X
LTOISJZ,X,O,O,O,X,X,O
LTOISZJ,X,O,O,O,O,O,O
LTOIZJS,X,O,X,X,X,X,X
LTOIZSJ,X,O,O,O,X,X,X
LTOJISZ,X,O,O,X,X,X,X
LTOJIZS,X,O,X,X,X,X,X
LTOJSIZ,X,O,O,X,X,X,X
LTOJSZI,X,O,O,X,X,X,X
LTOJZIS,X,O,X,X,X,X,X
LTOJZSI,X,O,X,X,X,X,X
LTOSIJZ,X,O,O,O,X,X,O
LTOSIZJ,X,O,O,O,O,O,O
LTOSJIZ,X,O,O,O,X,X,O
LTOSJZI,X,O,O,O,X,X,X
LTOSZIJ,X,O,O,O,O,O,O
LTOSZJI,X,O,O,O,O,O,X
LTOZIJS,X,O,X,X,X,X,X
LTOZISJ,X,O,O,O,X,X,X
LTOZJIS,X,O,X,X,X,X,X
LTOZJSI,X,O,X,X,X,X,X
LTOZSIJ,X,O,O,O,X,X,X
LTOZSJI,X,O,O,O,X,X,X
LITJSZO,O,O,O,X,O,O,X
LITJSOZ,O,O,O,X,X,X,O
LITJZSO,O,O,O,X,X,X,X
LITJZOS,O,X,O,X,X,X,X
LITJOSZ,O,O,O,X,X,X,X
LITJOZS,X,O,O,X,X,X,X
LITSJZO,O,O,O,X,O,O,X
LITSJOZ,X,O,O,X,X,X,O
LITSZJO,O,O,O,X,O,O,X
LITSZOJ,O,O,O,X,O,O,O
LITSOJZ,X,O,O,O,X,X,O
LITSOZJ,O,O,O,O,O,O,O
LITZJSO,O,O,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X
LITZSJO,O,O,X,X,O,O,X
LITZSOJ,O,O,X,X,O,O,O
LITZOJS,O,O,X,X,X,X,X
LITZOSJ,O,O,X,O,O,X,X
LITOJSZ,X,O,O,X,X,X,X
LITOJZS,X,O,X,X,X,X,X
LITOSJZ,X,O,O,O,X,X,O
LITOSZJ,X,O,O,O,O,O,O
LITOZJS,X,O,X,X,X,X,X
LITOZSJ,X,O,O,O,X,X,X
LIJTSZO,O,O,O,X,O,O,X
LIJTSOZ,O,O,O,X,X,X,O
LIJTZSO,O,O,O,X,X,X,X
LIJTZOS,O,X,O,X,X,X,X
LIJTOSZ,O,O,O,X,X,X,X
LIJTOZS,X,O,O,X,X,X,X
LIJSTZO,O,X,O,X,O,O,X
LIJSTOZ,O,X,O,X,X,X,O
LIJSZTO,O,X,O,X,O,O,X
LIJSZOT,O,X,O,X,O,O,X
LIJSOTZ,O,X,O,O,X,X,O
LIJSOZT,O,X,O,O,X,X,X
LIJZTSO,O,X,O,X,X,X,X
LIJZTOS,O,X,O,X,X,X,X
LIJZSTO,O,X,O,X,O,X,X
LIJZSOT,O,X,O,X,O,X,X
LIJZOTS,O,X,O,X,X,X,X
LIJZOST,O,X,O,O,O,X,X
LIJOTSZ,O,O,O,X,X,X,X
LIJOTZS,X,O,O,X,X,X,X
LIJOSTZ,O,O,O,O,X,X,O
LIJOSZT,O,X,O,O,X,X,X
LIJOZTS,O,O,O,X,X,X,X
LIJOZST,O,X,O,O,X,X,X
LISTJZO,O,O,O,X,O,O,X
LISTJOZ,X,O,O,X,X,X,O
LISTZJO,O,O,O,X,O,O,X
LISTZOJ,O,O,O,X,O,O,O
LISTOJZ,X,O,O,O,X,X,O
LISTOZJ,O,O,O,O,O,O,O
LISJTZO,O,X,O,X,O,O,X
LISJTOZ,O,X,O,X,X,X,O
LISJZTO,O,X,O,X,O,O,X
LISJZOT,O,X,O,X,O,O,X
LISJOTZ,O,X,O,O,X,X,O
LISJOZT,O,X,O,O,X,X,X
LISZTJO,O,X,O,X,O,O,X
LISZTOJ,O,X,O,X,O,O,O
LISZJTO,O,X,O,X,O,O,X
LISZJOT,O,X,O,X,O,O,X
LISZOTJ,O,X,O,O,O,O,O
LISZOJT,O,X,O,O,O,O,X
LISOTJZ,X,O,O,O,X,X,O
LISOTZJ,O,O,O,O,O,O,O
LISOJTZ,X,O,O,O,X,X,O
LISOJZT,X,X,O,O,X,X,X
LISOZTJ,O,X,O,O,O,O,O
LISOZJT,O,X,O,O,O,O,X
LIZTJSO,O,O,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X
LIZTSJO,O,O,X,X,O,O,X
LIZTSOJ,O,O,X,X,O,O,O
LIZTOJS,O,O,X,X,X,X,X
LIZTOSJ,O,O,X,O,O,X,X
LIZJTSO,O,X,O,X,X,X,X
LIZJTOS,O,X,O,X,X,X,X
LIZJSTO,O,X,O,X,O,X,X
LIZJSOT,O,X,O,X,O,X,X
LIZJOTS,O,X,O,X,X,X,X
LIZJOST,O,X,O,O,O,X,X
LIZSTJO,O,X,O,X,O,O,X
LIZSTOJ,O,X,O,X,O,O,O
LIZSJTO,O,X,O,X,O,O,X
LIZSJOT,O,X,O,X,O,O,X
LIZSOTJ,O,X,O,O,O,O,O
LIZSOJT,O,X,O,O,O,O,X
LIZOTJS,O,O,X,X,X,X,X
LIZOTSJ,O,O,O,O,O,X,X
LIZOJTS,O,O,X,X,X,X,X
LIZOJST,O,X,X,O,O,X,X
LIZOSTJ,O,X,O,O,O,X,O
LIZOSJT,O,X,O,O,O,X,X
LIOTJSZ,X,O,O,X,X,X,X
LIOTJZS,X,O,X,X,X,X,X
LIOTSJZ,X,O,O,O,X,X,O
LIOTSZJ,X,O,O,O,O,O,O
LIOTZJS,X,O,X,X,X,X,X
LIOTZSJ,X,O,O,O,X,X,X
LIOJTSZ,O,O,O,X,X,X,X
LIOJTZS,X,O,O,X,X,X,X
LIOJSTZ,O,O,O,O,X,X,O
LIOJSZT,O,X,O,O,X,X,X
LIOJZTS,O,O,O,X,X,X,X
LIOJZST,O,X,O,O,X,X,X
LIOSTJZ,X,O,O,O,X,X,O
LIOSTZJ,O,O,O,O,O,O,O
LIOSJTZ,X,O,O,O,X,X,O
LIOSJZT,X,X,O,O,X,X,X
LIOSZTJ,O,X,O,O,O,O,O
LIOSZJT,O,X,O,O,O,O,X
LIOZTJS,O,O,X,X,X,X,X
LIOZTSJ,O,O,O,O,O,X,X
LIOZJTS,O,O,X,X,X,X,X
LIOZJST,O,X,X,O,O,X,X
LIOZSTJ,O,X,O,O,O,X,O
LIOZSJT,O,X,O,O,O,X,X
LJTISZO,O,O,O,X,O,O,X
LJTISOZ,O,O,O,X,X,X,O
LJTIZSO,O,O,O,X,X,X,X
LJTIZOS,O,X,O,X,X,X,X
LJTIOSZ,O,O,O,X,X,X,X
LJTIOZS,X,O,O,X,X,X,X
LJTSIZO,O,O,O,X,O,O,X
LJTSIOZ,O,O,O,X,X,X,O
LJTSZIO,O,O,O,X,O,O,X
LJTSZOI,O,O,O,X,O,O,X
LJTSOIZ,O,O,O,X,X,X,O
LJTSOZI,O,O,O,X,X,X,X
LJTZISO,O,O,O,X,X,X,X
LJTZIOS,O,X,O,X,X,X,X
LJTZSIO,O,O,O,X,X,X,X
LJTZSOI,O,O,O,X,X,X,X
LJTZOIS,O,X,O,X,X,X,X
LJTZOSI,O,X,O,X,X,X,X
LJTOISZ,O,O,O,X,X,X,X
LJTOIZS,X,O,O,X,X,X,X
LJTOSIZ,O,O,O,X,X,X,X
LJTOSZI,O,O,O,X,X,X,X
LJTOZIS,X,O,O,X,X,X,X
LJTOZSI,X,O,O,X,X,X,X
LJITSZO,O,O,O,X,O,O,X
LJITSOZ,O,O,O,X,X,X,O
LJITZSO,O,O,O,X,X,X,X
LJITZOS,O,X,O,X,X,X,X
LJITOSZ,O,O,O,X,X,X,X
LJITOZS,X,O,O,X,X,X,X
LJISTZO,O,X,O,X,O,O,X
LJISTOZ,O,X,O,X,X,X,O
LJISZTO,O,X,O,X,O,O,X
LJISZOT,O,X,O,X,O,O,X
LJISOTZ,O,X,O,O,X,X,O
LJISOZT,O,X,O,O,X,X,X
LJIZTSO,O,X,O,X,X,X,X
LJIZTOS,O,X,O,X,X,X,X
LJIZSTO,O,X,O,X,O,X,X
LJIZSOT,O,X,O,X,O,X,X
LJIZOTS,O,X,O,X,X,X,X
LJIZOST,O,X,O,O,O,X,X
LJIOTSZ,O,O,O,X,X,X,X
LJIOTZS,X,O,O,X,X,X,X
LJIOSTZ,O,O,O,O,X,X,O
LJIOSZT,O,X,O,O,X,X,X
LJIOZTS,O,O,O,X,X,X,X
LJIOZST,O,X,O,O,X,X,X
LJSTIZO,O,X,O,X,O,O,X
LJSTIOZ,O,X,O,X,X,X,O
LJSTZIO,O,X,O,X,O,O,X
LJSTZOI,O,X,O,X,O,O,X
LJSTOIZ,O,X,O,X,X,X,O
LJSTOZI,O,X,O,X,X,X,X
LJSITZO,O,X,O,X,O,O,X
LJSITOZ,O,X,O,X,X,X,O
LJSIZTO,O,X,O,X,O,O,X
LJSIZOT,O,X,O,X,O,O,X
LJSIOTZ,O,X,O,O,X,X,O
LJSIOZT,O,X,O,O,X,X,X
LJSZTIO,O,X,O,X,O,O,X
LJSZTOI,O,X,O,X,O,O,X
LJSZITO,O,X,O,X,O,O,X
LJSZIOT,O,X,O,X,O,O,X
LJSZOTI,O,X,O,X,O,O,X
LJSZOIT,O,X,O,X,O,O,X
LJSOTIZ,O,X,O,O,X,X,O
LJSOTZI,O,X,O,O,X,X,X
LJSOITZ,O,X,O,O,X,X,O
LJSOIZT,O,X,O,O,X,X,X
LJSOZTI,O,X,O,O,X,X,X
LJSOZIT,O,X,O,O,X,X,X
LJZTISO,O,X,O,X,X,X,X
LJZTIOS,O,X,O,X,X,X,X
LJZTSIO,O,X,O,X,X,X,X
LJZTSOI,O,X,O,X,X,X,X
LJZTOIS,O,X,O,X,X,X,X
LJZTOSI,O,X,O,X,X,X,X
LJZITSO,O,X,O,X,X,X,X
LJZITOS,O,X,O,X,X,X,X
LJZISTO,O,X,O,X,O,X,X
LJZISOT,O,X,O,X,O,X,X
LJZIOTS,O,X,O,X,X,X,X
LJZIOST,O,X,O,O,O,X,X
LJZSTIO,O,X,O,X,O,X,X
LJZSTOI,O,X,O,X,O,X,X
LJZSITO,O,X,O,X,O,X,X
LJZSIOT,O,X,O,X,O,X,X
LJZSOTI,O,X,O,X,O,X,X
LJZSOIT,O,X,O,X,O,X,X
LJZOTIS,O,X,O,X,X,X,X
LJZOTSI,O,X,O,X,X,X,X
LJZOITS,O,X,O,X,X,X,X
LJZOIST,O,X,O,O,O,X,X
LJZOSTI,O,X,O,O,O,X,X
LJZOSIT,O,X,O,O,O,X,X
LJOTISZ,O,O,O,X,X,X,X
LJOTIZS,X,O,O,X,X,X,X
LJOTSIZ,O,O,O,X,X,X,X
LJOTSZI,O,O,O,X,X,X,X
LJOTZIS,X,O,O,X,X,X,X
LJOTZSI,X,O,O,X,X,X,X
LJOITSZ,O,O,O,X,X,X,X
LJOITZS,X,O,O,X,X,X,X
LJOISTZ,O,O,O,O,X,X,O
LJOISZT,O,X,O,O,X,X,X
LJOIZTS,O,O,O,X,X,X,X
LJOIZST,O,X,O,O,X,X,X
LJOSTIZ,O,O,O,O,X,X,O
LJOSTZI,O,O,O,O,X,X,X
LJOSITZ,O,O,O,O,X,X,O
LJOSIZT,O,X,O,O,X,X,X
LJOSZTI,O,X,O,O,X,X,X
LJOSZIT,O,X,O,O,X,X,X
LJOZTIS,O,O,O,X,X,X,X
LJOZTSI,O,O,O,X,X,X,X
LJOZITS,O,O,O,X,X,X,X
LJOZIST,O,X,O,O,X,X,X
LJOZSTI,O,X,O,O,X,X,X
LJOZSIT,O,X,O,O,X,X,X
LSTIJZO,O,O,O,X,O,O,X
LSTIJOZ,X,O,O,X,X,X,O
LSTIZJO,O,O,O,X,O,O,X
LSTIZOJ,O,O,O,X,O,O,O
LSTIOJZ,X,O,O,O,X,X,O
LSTIOZJ,O,O,O,O,O,O,O
LSTJIZO,O,O,O,X,O,O,X
LSTJIOZ,X,O,O,X,X,X,O
LSTJZIO,O,O,O,X,O,O,X
LSTJZOI,O,O,O,X,O,O,X
LSTJOIZ,X,O,O,X,X,X,O
LSTJOZI,X,O,O,X,X,X,X
LSTZIJO,O,O,O,X,O,O,X
LSTZIOJ,O,O,O,X,O,O,O
LSTZJIO,O,O,O,X,O,O,X
LSTZJOI,O,O,O,X,O,O,X
LSTZOIJ,O,O,O,X,O,O,O
LSTZOJI,O,O,O,X,O,O,X
LSTOIJZ,X,O,O,O,X,X,O
LSTOIZJ,O,O,O,O,O,O,O
LSTOJIZ,X,O,O,O,X,X,O
LSTOJZI,X,O,O,O,X,X,X
LSTOZIJ,O,O,O,O,O,O,O
LSTOZJI,O,O,O,O,O,O,X
LSITJZO,O,O,O,X,O,O,X
