sequence,v115@MhB8GeC8CeB8AeD8BeA8JeOEJvhFxgB0iB6oBfqBll?BzsB,v115@MhB8GeC8CeB8AeD8BeA8Jem/IvhFFhBxiBTkBcqBCo?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Jei/IvhFFhBxiB3kBcqBGo?BzsB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFxgB0iBllBStBmp?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFXhB0iB6oBxpBzs?BFqB,v115@MhB8GeC8CeB8AeD8BeA8Jex/IvhFXhBTjBikBWtBFq?B0sB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFXhBliBxpBCtBOq?BctB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFFhBxiBcqBqsBTt?B3pB
TZJOLIS,X,O,O,O,X,O,X,O
TZJOLSI,X,O,O,O,X,O,X,O
TZJOSIL,X,O,O,O,X,X,X,X
TZJOSLI,X,O,O,O,X,O,X,X
TZSILJO,O,O,O,O,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,O,X,X,X,X
TZSIJOL,O,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,X,O,X,X
TZSLIOJ,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,O,X,O,X,X
TZSLJOI,O,O,O,O,X,O,X,O
TZSLOIJ,O,O,O,X,X,X,X,O
TZSLOJI,O,O,O,X,X,X,X,O
TZSJILO,O,O,O,O,X,X,X,X
TZSJIOL,O,O,O,O,X,X,X,X
TZSJLIO,O,O,O,O,X,O,X,X
TZSJLOI,O,O,O,O,X,O,X,O
TZSJOIL,O,O,O,O,X,X,X,X
TZSJOLI,O,O,O,O,X,O,X,X
TZSOILJ,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,X,O,X,O,X,X,X,X
TZOILSJ,X,X,O,X,X,X,X,X
TZOIJLS,X,O,O,O,X,X,X,X
TZOIJSL,X,O,O,O,X,X,X,X
TZOISLJ,X,O,O,X,X,X,X,X
TZOISJL,X,O,O,X,X,X,X,X
TZOLIJS,X,O,X,O,X,X,X,O
TZOLISJ,X,X,O,X,X,X,X,O
TZOLJIS,X,O,O,O,X,X,X,O
TZOLJSI,X,O,O,O,X,X,X,O
TZOLSIJ,X,O,O,X,X,X,X,O
TZOLSJI,X,O,O,X,X,X,X,O
TZOJILS,X,O,O,O,X,X,X,X
TZOJISL,X,O,O,O,X,X,X,X
TZOJLIS,X,O,O,O,X,X,X,O
TZOJLSI,X,O,O,O,X,X,X,O
TZOJSIL,X,O,O,O,X,X,X,X
TZOJSLI,X,O,O,O,X,X,X,X
TZOSILJ,X,O,O,X,X,X,X,X
TZOSIJL,X,O,O,X,X,X,X,X
TZOSLIJ,X,O,O,X,X,X,X,X
TZOSLJI,X,O,O,X,X,X,X,X
TZOSJIL,X,O,O,X,X,X,X,X
TZOSJLI,X,O,O,X,X,X,X,X
TOILJSZ,X,X,X,O,O,X,X,X
TOILJZS,O,X,X,O,O,X,X,X
TOILSJZ,O,X,X,X,O,X,X,X
TOILSZJ,O,X,X,X,O,X,X,X
TOILZJS,O,X,X,O,O,X,X,X
TOILZSJ,O,X,O,X,O,X,X,X
TOIJLSZ,X,X,X,O,O,X,X,X
TOIJLZS,O,X,O,O,O,X,X,X
TOIJSLZ,X,X,X,O,O,X,X,X
TOIJSZL,X,X,O,O,O,X,X,X
TOIJZLS,O,X,O,O,O,X,X,X
TOIJZSL,X,X,O,O,O,X,X,X
TOISLJZ,O,X,X,X,O,X,X,X
TOISLZJ,O,X,X,X,O,X,X,X
TOISJLZ,O,X,X,X,O,X,X,X
TOISJZL,O,X,X,X,O,X,X,X
TOISZLJ,O,X,O,X,O,X,X,X
TOISZJL,O,X,O,X,O,X,X,X
TOIZLJS,O,O,X,O,O,X,X,X
TOIZLSJ,O,X,O,X,O,X,X,X
TOIZJLS,O,O,O,O,O,X,X,X
TOIZJSL,X,O,O,O,O,X,X,X
TOIZSLJ,O,X,O,X,O,X,X,X
TOIZSJL,O,O,O,X,O,X,X,X
TOLIJSZ,X,X,X,O,O,O,X,X
TOLIJZS,O,X,X,O,O,O,X,O
TOLISJZ,O,X,X,X,O,O,X,X
TOLISZJ,O,X,X,X,O,X,X,O
TOLIZJS,O,X,X,O,O,X,X,O
TOLIZSJ,O,X,O,X,O,X,X,O
TOLJISZ,X,X,X,O,X,O,X,X
TOLJIZS,O,X,O,O,X,O,X,O
TOLJSIZ,O,X,X,O,X,O,X,X
TOLJSZI,O,X,X,O,X,O,X,X
TOLJZIS,O,X,O,O,X,O,X,O
TOLJZSI,O,X,O,O,X,O,X,O
TOLSIJZ,O,X,X,X,O,O,X,X
TOLSIZJ,O,X,X,X,O,X,X,O
TOLSJIZ,O,X,X,X,X,O,X,X
TOLSJZI,O,X,X,X,X,O,X,X
TOLSZIJ,O,X,X,X,O,X,X,O
TOLSZJI,O,X,X,X,X,X,X,O
TOLZIJS,O,X,X,O,O,X,X,O
TOLZISJ,O,X,O,X,O,X,X,O
TOLZJIS,O,X,O,O,X,X,X,O
TOLZJSI,O,X,O,O,X,X,X,O
TOLZSIJ,O,X,O,X,O,X,X,O
TOLZSJI,O,X,O,X,X,X,X,O
TOJILSZ,X,X,X,O,X,O,X,X
TOJILZS,O,X,O,O,X,O,X,X
TOJISLZ,X,X,X,O,X,O,X,X
TOJISZL,X,X,O,O,X,X,X,X
TOJIZLS,O,X,O,O,X,X,X,X
TOJIZSL,X,X,O,O,X,X,X,X
TOJLISZ,X,X,X,O,X,O,X,X
TOJLIZS,O,X,O,O,X,O,X,X
TOJLSIZ,O,X,X,O,X,O,X,X
TOJLSZI,O,X,X,O,X,O,X,X
TOJLZIS,O,X,O,O,X,O,X,X
TOJLZSI,O,X,O,O,X,O,X,X
TOJSILZ,O,X,X,O,X,O,X,X
TOJSIZL,O,X,O,O,X,X,X,X
TOJSLIZ,O,X,X,O,X,O,X,X
TOJSLZI,O,X,X,O,X,O,X,X
TOJSZIL,O,X,O,O,X,X,X,X
TOJSZLI,O,X,O,O,X,O,X,X
TOJZILS,O,X,O,O,X,X,X,X
TOJZISL,X,X,O,O,X,X,X,X
TOJZLIS,O,X,O,O,X,O,X,X
TOJZLSI,O,X,O,O,X,O,X,X
TOJZSIL,O,X,O,O,X,X,X,X
TOJZSLI,O,X,O,O,X,O,X,X
TOSILJZ,O,X,X,X,O,X,X,X
TOSILZJ,O,X,X,X,O,X,X,X
TOSIJLZ,O,X,X,X,O,X,X,X
TOSIJZL,O,X,X,X,O,X,X,X
TOSIZLJ,O,O,O,X,O,X,X,X
TOSIZJL,O,O,O,X,O,X,X,X
TOSLIJZ,O,X,X,X,O,O,X,X
TOSLIZJ,O,O,X,X,O,X,X,X
TOSLJIZ,O,X,X,X,X,O,X,X
TOSLJZI,O,X,X,X,X,O,X,X
TOSLZIJ,O,O,X,X,O,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X
TOSJILZ,O,X,X,X,X,O,X,X
TOSJIZL,O,X,O,X,X,X,X,X
TOSJLIZ,O,X,X,X,X,O,X,X
TOSJLZI,O,X,X,X,X,O,X,X
TOSJZIL,O,X,O,X,X,X,X,X
TOSJZLI,O,X,O,X,X,O,X,X
TOSZILJ,O,O,O,X,O,X,X,X
TOSZIJL,O,O,O,X,O,X,X,X
TOSZLIJ,O,O,O,X,O,X,X,X
TOSZLJI,O,O,O,X,X,X,X,X
TOSZJIL,O,O,O,X,X,X,X,X
TOSZJLI,O,O,O,X,X,X,X,X
TOZILJS,O,O,X,O,O,X,X,X
TOZILSJ,O,X,O,X,O,X,X,X
TOZIJLS,O,O,O,O,O,X,X,X
TOZIJSL,X,O,O,O,O,X,X,X
TOZISLJ,O,O,O,X,O,X,X,X
TOZISJL,O,O,O,X,O,X,X,X
TOZLIJS,O,O,X,O,O,X,X,O
TOZLISJ,O,X,O,X,O,X,X,O
TOZLJIS,O,O,O,O,X,X,X,O
TOZLJSI,O,O,O,O,X,X,X,O
TOZLSIJ,O,O,O,X,O,X,X,O
TOZLSJI,O,O,O,X,X,X,X,O
TOZJILS,O,O,O,O,X,X,X,X
TOZJISL,X,O,O,O,X,X,X,X
TOZJLIS,O,O,O,O,X,X,X,O
TOZJLSI,O,O,O,O,X,X,X,O
TOZJSIL,O,O,O,O,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X,X
TOZSILJ,O,O,O,X,O,X,X,X
TOZSIJL,O,O,O,X,O,X,X,X
TOZSLIJ,O,O,O,X,O,X,X,X
TOZSLJI,O,O,O,X,X,X,X,X
TOZSJIL,O,O,O,X,X,X,X,X
TOZSJLI,O,O,O,X,X,X,X,X
ITLJSZO,X,X,X,O,X,O,O,X
ITLJSOZ,X,X,X,O,X,O,O,X
ITLJZSO,O,X,X,O,X,O,O,X
ITLJZOS,X,X,X,O,X,O,O,X
ITLJOSZ,X,X,X,O,X,O,O,X
ITLJOZS,X,X,X,O,X,O,O,X
ITLSJZO,O,X,X,O,X,O,O,X
ITLSJOZ,X,X,X,O,X,O,O,X
ITLSZJO,O,X,X,O,X,O,O,X
ITLSZOJ,X,X,X,X,X,X,O,X
ITLSOJZ,X,X,X,X,X,O,O,X
ITLSOZJ,X,X,X,X,X,X,O,X
ITLZJSO,O,O,X,O,X,O,O,X
ITLZJOS,X,O,X,O,X,O,O,O
ITLZSJO,O,X,O,O,X,O,O,X
ITLZSOJ,X,X,O,X,X,X,O,X
ITLZOJS,X,O,X,O,X,X,O,O
ITLZOSJ,X,X,X,X,X,X,O,O
ITLOJSZ,X,X,X,O,X,O,O,X
ITLOJZS,X,X,X,O,X,O,O,O
ITLOSJZ,X,X,X,X,X,O,O,X
ITLOSZJ,X,X,X,X,X,X,O,O
ITLOZJS,X,X,X,O,X,X,O,O
ITLOZSJ,X,X,X,X,X,X,O,O
ITJLSZO,X,X,X,O,X,O,X,X
ITJLSOZ,X,X,X,O,X,O,X,X
ITJLZSO,O,X,O,O,X,O,X,X
ITJLZOS,X,X,X,O,X,O,X,X
ITJLOSZ,X,X,X,O,X,O,X,X
ITJLOZS,X,X,X,O,X,O,X,X
ITJSLZO,X,X,X,O,X,O,X,X
ITJSLOZ,X,X,X,O,X,O,X,X
ITJSZLO,X,X,O,O,X,X,X,X
ITJSZOL,X,X,O,O,X,X,X,X
ITJSOLZ,X,X,X,O,O,O,X,X
ITJSOZL,X,X,X,O,O,X,X,X
ITJZLSO,O,O,O,O,X,X,X,X
ITJZLOS,X,O,X,O,X,X,X,X
ITJZSLO,X,O,O,O,X,X,X,X
ITJZSOL,X,O,O,O,X,X,X,X
ITJZOLS,X,O,X,O,X,X,X,X
ITJZOSL,X,O,O,O,X,X,X,X
ITJOLSZ,X,X,X,O,O,O,X,X
ITJOLZS,O,X,X,O,O,O,X,X
ITJOSLZ,X,X,X,O,O,O,X,X
ITJOSZL,X,X,X,O,O,X,X,X
ITJOZLS,O,X,X,O,O,X,X,X
ITJOZSL,X,X,O,O,O,X,X,X
ITSLJZO,O,O,X,O,X,O,O,X
ITSLJOZ,X,X,X,O,X,O,O,X
ITSLZJO,O,O,X,O,X,O,O,X
ITSLZOJ,X,O,X,X,X,X,O,X
ITSLOJZ,X,X,X,X,X,O,O,X
ITSLOZJ,X,O,X,X,X,X,O,X
ITSJLZO,O,X,X,O,X,O,X,X
ITSJLOZ,X,X,X,O,X,O,X,X
ITSJZLO,O,O,X,O,X,X,X,X
ITSJZOL,X,O,X,O,X,X,X,X
ITSJOLZ,O,X,X,O,O,O,X,X
ITSJOZL,O,X,X,O,O,X,X,X
ITSZLJO,O,O,O,O,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,X,X
ITSZJLO,O,O,O,O,X,X,X,X
ITSZJOL,X,O,X,O,X,X,X,X
ITSZOLJ,X,O,O,X,X,X,X,X
ITSZOJL,X,O,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,O,X,O,X
ITSOLZJ,O,X,X,X,O,X,O,X
ITSOJLZ,O,X,X,X,O,X,X,X
ITSOJZL,O,X,X,X,O,X,X,X
ITSOZLJ,O,O,X,X,O,X,X,X
ITSOZJL,O,O,X,X,O,X,X,X
ITZLJSO,O,O,X,O,X,X,X,X
ITZLJOS,X,O,X,O,X,X,X,O
ITZLSJO,O,X,O,O,X,X,X,X
ITZLSOJ,X,X,O,X,X,X,X,X
ITZLOJS,X,O,X,O,X,X,X,O
ITZLOSJ,X,X,X,X,X,X,X,O
ITZJLSO,O,O,O,O,X,X,X,X
ITZJLOS,X,O,X,O,X,X,X,O
ITZJSLO,X,O,O,O,X,X,X,X
ITZJSOL,X,O,O,O,X,X,X,X
ITZJOLS,X,O,X,O,X,X,X,X
ITZJOSL,X,O,O,O,X,X,X,X
ITZSLJO,O,O,O,O,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X,X
ITZSJLO,O,O,O,O,X,X,X,X
ITZSJOL,X,O,O,O,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X,X
ITZSOJL,X,O,O,X,X,X,X,X
ITZOLJS,X,O,X,O,X,X,X,X
ITZOLSJ,X,X,O,X,X,X,X,X
ITZOJLS,X,O,O,O,X,X,X,X
ITZOJSL,X,O,O,O,X,X,X,X
ITZOSLJ,X,O,O,X,X,X,X,X
ITZOSJL,X,O,O,X,X,X,X,X
ITOLJSZ,X,X,X,O,O,X,O,X
ITOLJZS,O,X,X,O,O,X,O,X
ITOLSJZ,O,X,X,X,O,X,O,X
ITOLSZJ,O,X,X,X,O,X,O,X
ITOLZJS,O,X,X,O,O,X,O,X
ITOLZSJ,O,X,O,X,O,X,O,X
ITOJLSZ,X,X,X,O,O,X,X,X
ITOJLZS,O,X,O,O,O,X,X,X
ITOJSLZ,X,X,X,O,O,X,X,X
ITOJSZL,X,X,O,O,O,X,X,X
ITOJZLS,O,X,O,O,O,X,X,X
ITOJZSL,X,X,O,O,O,X,X,X
ITOSLJZ,O,X,X,X,O,X,O,X
ITOSLZJ,O,X,X,X,O,X,O,X
ITOSJLZ,O,X,X,X,O,X,X,X
ITOSJZL,O,X,X,X,O,X,X,X
ITOSZLJ,O,X,O,X,O,X,X,X
ITOSZJL,O,X,O,X,O,X,X,X
ITOZLJS,O,O,X,O,O,X,X,X
ITOZLSJ,O,X,O,X,O,X,X,X
ITOZJLS,O,O,O,O,O,X,X,X
ITOZJSL,X,O,O,O,O,X,X,X
ITOZSLJ,O,X,O,X,O,X,X,X
ITOZSJL,O,O,O,X,O,X,X,X
ILTJSZO,X,X,X,O,X,X,O,X
ILTJSOZ,X,X,X,O,X,X,O,X
ILTJZSO,O,X,X,O,X,X,O,X
ILTJZOS,X,X,X,O,X,X,O,X
ILTJOSZ,X,X,X,O,X,X,O,X
ILTJOZS,X,X,X,O,X,X,O,X
ILTSJZO,O,X,X,O,X,X,O,X
ILTSJOZ,X,X,X,O,X,X,O,X
ILTSZJO,O,X,X,O,X,X,O,X
ILTSZOJ,X,X,X,X,X,X,O,X
ILTSOJZ,X,X,X,X,X,X,O,X
ILTSOZJ,X,X,X,X,X,X,O,X
ILTZJSO,O,O,X,O,X,X,O,X
ILTZJOS,X,O,X,O,X,X,O,O
ILTZSJO,O,X,O,O,X,X,O,X
ILTZSOJ,X,X,O,X,X,X,O,X
ILTZOJS,X,O,X,O,X,X,O,O
ILTZOSJ,X,X,X,X,X,X,O,O
ILTOJSZ,X,X,X,O,X,X,O,X
ILTOJZS,X,X,X,O,X,X,O,O
ILTOSJZ,X,X,X,X,X,X,O,X
ILTOSZJ,X,X,X,X,X,X,O,O
ILTOZJS,X,X,X,O,X,X,O,O
ILTOZSJ,X,X,X,X,X,X,O,O
ILJTSZO,X,X,X,O,X,X,O,X
ILJTSOZ,X,X,X,O,X,X,O,X
ILJTZSO,O,X,X,O,X,X,O,X
ILJTZOS,X,X,X,O,X,X,O,X
ILJTOSZ,X,X,X,O,X,X,O,X
ILJTOZS,X,X,X,O,X,X,O,X
ILJSTZO,O,X,X,X,X,X,O,X
ILJSTOZ,O,X,X,X,X,X,O,X
ILJSZTO,O,X,X,X,X,X,O,X
ILJSZOT,O,X,X,X,X,X,O,X
ILJSOTZ,X,X,X,X,O,O,O,X
ILJSOZT,O,X,X,X,O,X,O,X
ILJZTSO,O,X,X,O,X,X,O,X
ILJZTOS,X,X,X,O,X,X,O,X
ILJZSTO,O,X,X,X,X,X,O,X
ILJZSOT,O,X,X,X,X,X,O,X
ILJZOTS,X,X,X,O,X,X,O,X
ILJZOST,O,X,X,X,X,X,O,X
ILJOTSZ,X,X,X,O,O,X,O,X
ILJOTZS,O,X,X,O,O,X,O,X
ILJOSTZ,X,X,X,X,O,O,O,X
ILJOSZT,O,X,X,X,O,X,O,X
ILJOZTS,O,X,X,O,O,X,O,X
ILJOZST,O,X,X,X,O,X,O,X
ILSTJZO,O,X,X,O,X,X,O,X
ILSTJOZ,O,X,X,O,X,X,O,X
ILSTZJO,O,X,X,O,X,X,O,X
ILSTZOJ,O,X,X,X,X,X,O,X
ILSTOJZ,O,X,X,X,X,X,O,X
ILSTOZJ,O,X,X,X,X,X,O,X
ILSJTZO,O,X,X,X,X,X,O,X
ILSJTOZ,O,X,X,X,X,X,O,X
ILSJZTO,O,X,X,X,X,X,O,X
ILSJZOT,O,X,X,X,X,X,O,X
ILSJOTZ,O,X,X,X,O,O,O,X
ILSJOZT,O,X,X,X,O,X,O,X
ILSZTJO,O,X,X,O,X,X,O,X
ILSZTOJ,O,X,X,X,X,X,O,X
ILSZJTO,O,X,X,X,X,X,O,X
ILSZJOT,O,X,X,X,X,X,O,X
ILSZOTJ,X,X,X,X,X,X,O,X
ILSZOJT,O,X,X,X,X,X,O,X
ILSOTJZ,O,X,X,X,O,X,O,X
ILSOTZJ,O,X,X,X,O,X,O,X
ILSOJTZ,O,X,X,X,O,X,O,X
ILSOJZT,O,X,X,X,O,X,O,X
ILSOZTJ,O,X,X,X,O,X,O,X
ILSOZJT,O,X,X,X,O,X,O,X
ILZTJSO,O,O,X,O,X,X,O,X
ILZTJOS,X,O,X,O,X,X,O,O
ILZTSJO,O,X,O,O,X,X,O,X
ILZTSOJ,X,X,O,X,X,X,O,X
ILZTOJS,X,O,X,O,X,X,O,O
ILZTOSJ,X,X,X,X,X,X,O,O
ILZJTSO,O,O,X,O,X,X,O,X
ILZJTOS,X,O,X,O,X,X,O,O
ILZJSTO,O,X,X,X,X,X,O,X
ILZJSOT,O,X,X,X,X,X,O,X
ILZJOTS,X,X,X,O,X,X,O,O
ILZJOST,O,X,X,X,X,X,O,O
ILZSTJO,O,X,O,O,X,X,O,X
ILZSTOJ,O,X,O,X,X,X,O,X
ILZSJTO,O,X,O,X,X,X,O,X
ILZSJOT,O,X,X,X,X,X,O,X
ILZSOTJ,X,X,O,X,X,X,O,X
ILZSOJT,O,X,X,X,X,X,O,X
ILZOTJS,X,O,X,O,X,X,O,O
ILZOTSJ,X,X,X,X,X,X,O,O
ILZOJTS,X,O,X,X,X,X,O,O
ILZOJST,O,X,X,X,X,X,O,O
ILZOSTJ,X,X,X,X,X,X,O,O
ILZOSJT,O,X,X,X,X,X,O,O
ILOTJSZ,X,X,X,O,O,X,O,X
ILOTJZS,O,X,X,O,O,X,O,O
ILOTSJZ,O,X,X,X,O,X,O,X
ILOTSZJ,O,X,X,X,O,X,O,O
ILOTZJS,O,X,X,O,O,X,O,O
ILOTZSJ,O,X,X,X,O,X,O,O
ILOJTSZ,X,X,X,X,O,X,O,X
ILOJTZS,O,X,X,X,O,X,O,O
ILOJSTZ,O,X,X,X,O,X,O,X
ILOJSZT,O,X,X,X,O,X,O,X
ILOJZTS,O,X,X,X,O,X,O,O
ILOJZST,O,X,X,X,O,X,O,O
ILOSTJZ,O,X,X,X,O,X,O,X
ILOSTZJ,O,X,X,X,O,X,O,O
ILOSJTZ,O,X,X,X,O,X,O,X
ILOSJZT,O,X,X,X,O,X,O,X
ILOSZTJ,O,X,X,X,O,X,O,O
ILOSZJT,O,X,X,X,O,X,O,O
ILOZTJS,O,O,X,O,O,X,O,O
ILOZTSJ,O,X,X,X,O,X,O,O
ILOZJTS,O,O,X,X,O,X,O,O
ILOZJST,O,X,X,X,O,X,O,O
ILOZSTJ,O,X,X,X,O,X,O,O
ILOZSJT,O,X,X,X,O,X,O,O
IJTLSZO,X,X,X,O,X,O,X,X
IJTLSOZ,X,X,X,O,X,O,X,X
IJTLZSO,O,X,O,O,X,O,X,X
IJTLZOS,X,X,X,O,X,O,X,X
IJTLOSZ,X,X,X,O,X,O,X,X
IJTLOZS,X,X,X,O,X,O,X,X
IJTSLZO,X,X,X,O,X,O,X,X
IJTSLOZ,X,X,X,O,X,O,X,X
IJTSZLO,X,X,O,O,X,X,X,X
IJTSZOL,X,X,O,O,X,X,X,X
IJTSOLZ,X,X,X,O,O,O,X,X
IJTSOZL,X,X,X,O,O,X,X,X
IJTZLSO,O,O,O,O,X,X,X,X
IJTZLOS,X,O,X,O,X,X,X,X
IJTZSLO,X,O,O,O,X,X,X,X
IJTZSOL,X,O,O,O,X,X,X,X
IJTZOLS,X,O,X,O,X,X,X,X
IJTZOSL,X,O,O,O,X,X,X,X
IJTOLSZ,X,X,X,O,O,O,X,X
IJTOLZS,O,X,X,O,O,O,X,X
IJTOSLZ,X,X,X,O,O,O,X,X
IJTOSZL,X,X,X,O,O,X,X,X
IJTOZLS,O,X,X,O,O,X,X,X
IJTOZSL,X,X,O,O,O,X,X,X
IJLTSZO,X,X,X,O,X,X,O,X
IJLTSOZ,X,X,X,O,X,X,O,X
IJLTZSO,O,X,O,O,X,X,O,X
IJLTZOS,X,X,X,O,X,X,O,X
IJLTOSZ,X,X,X,O,X,X,O,X
IJLTOZS,X,X,X,O,X,X,O,X
IJLSTZO,O,X,X,X,X,X,O,X
IJLSTOZ,O,X,X,X,X,X,O,X
IJLSZTO,O,X,X,X,X,X,O,X
IJLSZOT,O,X,X,X,X,X,O,X
IJLSOTZ,X,X,X,X,O,O,O,X
IJLSOZT,O,X,X,X,O,X,O,X
IJLZTSO,O,X,O,O,X,X,O,X
IJLZTOS,X,X,X,O,X,X,O,X
IJLZSTO,O,X,O,X,X,X,O,X
IJLZSOT,O,X,O,X,X,X,O,X
IJLZOTS,X,X,X,O,X,X,O,X
IJLZOST,O,X,X,X,X,X,O,X
IJLOTSZ,X,X,X,O,O,X,O,X
IJLOTZS,O,X,X,O,O,X,O,X
IJLOSTZ,X,X,X,X,O,O,O,X
IJLOSZT,O,X,X,X,O,X,O,X
IJLOZTS,O,X,X,O,O,X,O,X
IJLOZST,O,X,X,X,O,X,O,X
IJSTLZO,O,X,X,X,X,O,X,X
IJSTLOZ,O,X,X,X,X,O,X,X
IJSTZLO,O,X,O,X,X,X,X,X
IJSTZOL,O,X,O,X,X,X,X,X
IJSTOLZ,O,X,X,X,O,O,X,X
IJSTOZL,O,X,X,X,O,X,X,X
IJSLTZO,O,X,X,X,X,X,O,X
IJSLTOZ,O,X,X,X,X,X,O,X
IJSLZTO,O,X,X,X,X,X,O,X
IJSLZOT,O,X,X,X,X,X,O,X
IJSLOTZ,O,X,X,X,O,O,O,X
IJSLOZT,O,X,X,X,O,X,O,X
IJSZTLO,O,X,O,X,X,X,X,X
IJSZTOL,O,X,O,X,X,X,X,X
IJSZLTO,O,X,O,X,X,X,X,X
IJSZLOT,O,X,O,X,X,X,X,X
IJSZOTL,O,X,O,X,O,X,X,X
IJSZOLT,O,X,O,X,O,X,X,X
IJSOTLZ,O,X,X,X,O,O,X,X
IJSOTZL,O,X,X,X,O,X,X,X
IJSOLTZ,O,X,X,X,O,O,O,X
IJSOLZT,O,X,X,X,O,X,O,X
IJSOZTL,O,X,X,X,O,X,X,X
IJSOZLT,O,X,X,X,O,X,X,X
IJZTLSO,O,O,O,O,X,X,X,X
IJZTLOS,X,O,X,O,X,X,X,X
IJZTSLO,X,O,O,O,X,X,X,X
IJZTSOL,X,O,O,O,X,X,X,X
IJZTOLS,X,O,X,O,X,X,X,X
IJZTOSL,X,O,O,O,X,X,X,X
IJZLTSO,O,O,O,O,X,X,X,X
IJZLTOS,X,O,X,O,X,X,X,X
IJZLSTO,O,X,O,X,X,X,X,X
IJZLSOT,O,X,O,X,X,X,X,X
IJZLOTS,X,X,X,O,X,X,X,X
IJZLOST,O,X,X,X,X,X,X,X
IJZSTLO,O,O,O,X,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X,X
IJZSLTO,O,X,O,X,X,X,X,X
IJZSLOT,O,X,O,X,X,X,X,X
IJZSOTL,X,X,O,X,O,X,X,X
IJZSOLT,O,X,O,X,O,X,X,X
IJZOTLS,O,O,X,O,O,X,X,X
IJZOTSL,X,O,O,O,O,X,X,X
IJZOLTS,O,O,X,O,O,X,X,X
IJZOLST,O,X,X,X,O,X,X,X
IJZOSTL,X,O,O,X,O,X,X,X
IJZOSLT,O,X,O,X,O,X,X,X
IJOTLSZ,X,X,X,O,O,O,X,X
IJOTLZS,O,X,X,O,O,O,X,X
IJOTSLZ,X,X,X,O,O,O,X,X
IJOTSZL,X,X,X,O,O,X,X,X
IJOTZLS,O,X,X,O,O,X,X,X
IJOTZSL,X,X,O,O,O,X,X,X
IJOLTSZ,X,X,X,O,O,X,O,X
IJOLTZS,O,X,X,O,O,X,O,X
IJOLSTZ,O,X,X,X,O,O,O,X
IJOLSZT,O,X,X,X,O,X,O,X
IJOLZTS,O,X,X,O,O,X,O,X
IJOLZST,O,X,X,X,O,X,O,X
IJOSTLZ,O,X,X,X,O,O,X,X
IJOSTZL,O,X,X,X,O,X,X,X
IJOSLTZ,O,X,X,X,O,O,O,X
IJOSLZT,O,X,X,X,O,X,O,X
IJOSZTL,O,X,X,X,O,X,X,X
IJOSZLT,O,X,X,X,O,X,X,X
IJOZTLS,O,O,X,O,O,X,X,X
IJOZTSL,X,O,O,O,O,X,X,X
IJOZLTS,O,O,X,O,O,X,X,X
IJOZLST,O,X,X,X,O,X,X,X
IJOZSTL,O,O,O,X,O,X,X,X
IJOZSLT,O,X,O,X,O,X,X,X
ISTLJZO,O,O,X,O,X,O,O,X
ISTLJOZ,O,X,X,O,X,O,O,X
ISTLZJO,O,O,X,O,X,O,O,X
ISTLZOJ,O,O,X,X,X,X,O,X
ISTLOJZ,O,X,X,X,X,O,O,X
ISTLOZJ,O,O,X,X,X,X,O,X
ISTJLZO,O,X,X,O,X,O,X,X
ISTJLOZ,O,X,X,O,X,O,X,X
ISTJZLO,O,O,X,O,X,X,X,X
ISTJZOL,O,O,X,O,X,X,X,X
ISTJOLZ,O,X,X,O,O,O,X,X
ISTJOZL,O,X,X,O,O,X,X,X
ISTZLJO,O,O,O,O,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X,X
ISTZJLO,O,O,O,O,X,X,X,X
ISTZJOL,O,O,X,O,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X,X
ISTOLJZ,O,X,X,X,O,X,O,X
ISTOLZJ,O,X,X,X,O,X,O,X
ISTOJLZ,O,X,X,X,O,X,X,X
ISTOJZL,O,X,X,X,O,X,X,X
ISTOZLJ,O,O,X,X,O,X,X,X
ISTOZJL,O,O,X,X,O,X,X,X
ISLTJZO,O,O,X,O,X,X,O,X
ISLTJOZ,O,X,X,O,X,X,O,X
ISLTZJO,O,O,X,O,X,X,O,X
ISLTZOJ,O,O,X,X,X,X,O,X
