sequence,v115@9gB8HeC8GeA8IeC8CeC8Ke0AJvhFlhB3iB5oBysBGq?BTrB,v115@9gB8HeC8GeA8IeC8CeC8KelAJvhFcmBiiB5oBznBGq?B3rB,v115@9gB8HeC8GeA8IeC8CeC8Ke8FJvhFumBaoB5oBTnBXl?BVwB,v115@9gB8HeC8GeA8IeC8CeC8Ke0AJvhF/nBaoB5oB1rBGq?BTrB,v115@9gB8HeC8GeA8IeC8CeC8KeTBJvhFmiB5oBqqB0nBXl?BlrB
JTOISZL,O,O,O,O,X
JTOIZLS,O,X,O,X,X
JTOIZSL,O,X,O,O,X
JTOLISZ,O,O,O,X,X
JTOLIZS,O,X,O,X,X
JTOLSIZ,O,O,O,X,X
JTOLSZI,O,O,O,X,X
JTOLZIS,O,X,O,X,X
JTOLZSI,O,X,O,X,X
JTOSILZ,O,O,O,O,X
JTOSIZL,O,O,O,O,X
JTOSLIZ,O,O,O,O,X
JTOSLZI,O,O,O,O,X
JTOSZIL,O,O,O,O,X
JTOSZLI,O,O,O,O,X
JTOZILS,O,X,O,X,X
JTOZISL,O,X,O,O,X
JTOZLIS,O,X,O,X,X
JTOZLSI,O,X,O,X,X
JTOZSIL,O,X,O,O,X
JTOZSLI,O,X,O,O,X
JITLSZO,O,X,X,O,X
JITLSOZ,O,X,X,O,X
JITLZSO,O,X,X,O,X
JITLZOS,O,X,O,X,X
JITLOSZ,O,X,O,X,X
JITLOZS,O,X,O,X,X
JITSLZO,X,O,X,O,X
JITSLOZ,X,X,X,O,X
JITSZLO,X,O,X,O,X
JITSZOL,X,O,O,O,X
JITSOLZ,X,O,O,O,X
JITSOZL,X,O,O,O,X
JITZLSO,O,X,X,O,X
JITZLOS,O,X,O,X,X
JITZSLO,O,X,X,O,X
JITZSOL,X,X,O,O,X
JITZOLS,O,X,O,X,X
JITZOSL,X,X,O,O,X
JITOLSZ,O,O,O,X,X
JITOLZS,O,X,O,X,X
JITOSLZ,O,O,O,O,X
JITOSZL,O,O,O,O,X
JITOZLS,O,X,O,X,X
JITOZSL,O,X,O,O,X
JILTSZO,O,X,X,O,X
JILTSOZ,O,X,X,O,X
JILTZSO,O,X,X,O,O
JILTZOS,O,X,O,X,O
JILTOSZ,O,X,O,X,X
JILTOZS,O,X,O,X,O
JILSTZO,O,O,X,O,X
JILSTOZ,O,X,X,O,X
JILSZTO,O,O,X,O,X
JILSZOT,O,O,X,X,X
JILSOTZ,O,O,X,O,X
JILSOZT,O,O,X,X,X
JILZTSO,O,X,X,O,O
JILZTOS,O,X,X,X,O
JILZSTO,O,X,X,O,O
JILZSOT,O,X,X,X,X
JILZOTS,O,X,X,X,O
JILZOST,O,X,X,X,X
JILOTSZ,O,O,O,X,X
JILOTZS,O,X,O,X,X
JILOSTZ,O,O,X,O,X
JILOSZT,O,O,X,X,X
JILOZTS,O,X,X,X,X
JILOZST,O,O,X,X,X
JISTLZO,X,O,X,O,X
JISTLOZ,X,X,X,O,X
JISTZLO,X,O,X,O,X
JISTZOL,X,O,X,O,X
JISTOLZ,X,O,X,O,X
JISTOZL,X,O,X,O,X
JISLTZO,O,O,X,O,X
JISLTOZ,O,X,X,O,X
JISLZTO,O,O,X,O,X
JISLZOT,O,O,X,X,X
JISLOTZ,O,O,X,O,X
JISLOZT,O,O,X,X,X
JISZTLO,O,O,X,O,X
JISZTOL,X,O,X,O,X
JISZLTO,O,O,X,O,X
JISZLOT,O,O,X,X,X
JISZOTL,X,O,X,X,X
JISZOLT,X,O,X,X,X
JISOTLZ,O,O,X,O,X
JISOTZL,O,O,X,O,X
JISOLTZ,O,O,X,O,X
JISOLZT,O,O,X,X,X
JISOZTL,O,O,X,X,X
JISOZLT,O,O,X,X,X
JIZTLSO,O,X,X,O,O
JIZTLOS,O,X,X,X,O
JIZTSLO,O,X,X,O,X
JIZTSOL,X,X,X,O,X
JIZTOLS,O,X,X,X,X
JIZTOSL,X,X,X,O,X
JIZLTSO,O,X,X,O,O
JIZLTOS,O,X,X,X,O
JIZLSTO,O,X,X,O,O
JIZLSOT,O,X,X,X,X
JIZLOTS,O,X,X,X,O
JIZLOST,O,X,X,X,X
JIZSTLO,O,O,X,O,X
JIZSTOL,X,O,X,O,X
JIZSLTO,O,O,X,O,O
JIZSLOT,O,O,X,X,X
JIZSOTL,X,O,X,X,X
JIZSOLT,X,O,X,X,X
JIZOTLS,O,X,X,X,X
JIZOTSL,O,X,X,O,X
JIZOLTS,O,X,X,X,O
JIZOLST,O,O,X,X,X
JIZOSTL,O,O,X,X,X
JIZOSLT,O,O,X,X,X
JIOTLSZ,O,O,O,X,X
JIOTLZS,O,X,O,X,X
JIOTSLZ,O,O,O,O,X
JIOTSZL,O,O,O,O,X
JIOTZLS,O,X,O,X,X
JIOTZSL,O,X,O,O,X
JIOLTSZ,O,O,O,X,X
JIOLTZS,O,X,O,X,X
JIOLSTZ,O,O,X,O,X
JIOLSZT,O,O,X,X,X
JIOLZTS,O,X,X,X,X
JIOLZST,O,O,X,X,X
JIOSTLZ,O,O,X,O,X
JIOSTZL,O,O,X,O,X
JIOSLTZ,O,O,X,O,X
JIOSLZT,O,O,X,X,X
JIOSZTL,O,O,X,X,X
JIOSZLT,O,O,X,X,X
JIOZTLS,O,X,X,X,X
JIOZTSL,O,X,X,O,X
JIOZLTS,O,X,X,X,X
JIOZLST,O,O,X,X,X
JIOZSTL,O,O,X,X,X
JIOZSLT,O,O,X,X,X
JLTISZO,O,X,X,O,X
JLTISOZ,O,X,X,O,X
JLTIZSO,O,X,X,O,O
JLTIZOS,O,X,O,X,O
JLTIOSZ,O,X,O,X,X
JLTIOZS,O,X,O,X,O
JLTSIZO,O,X,X,O,X
JLTSIOZ,O,X,X,O,X
JLTSZIO,O,X,X,O,X
JLTSZOI,O,X,X,O,X
JLTSOIZ,O,X,X,O,X
JLTSOZI,O,X,X,O,X
JLTZISO,O,X,X,O,O
JLTZIOS,O,X,O,X,O
JLTZSIO,O,X,X,O,O
JLTZSOI,O,X,X,O,O
JLTZOIS,O,X,O,X,O
JLTZOSI,O,X,O,X,O
JLTOISZ,O,X,O,X,X
JLTOIZS,O,X,O,X,O
JLTOSIZ,O,X,O,X,X
JLTOSZI,O,X,O,X,X
JLTOZIS,O,X,O,X,O
JLTOZSI,O,X,O,X,O
JLITSZO,O,X,X,O,X
JLITSOZ,O,X,X,O,X
JLITZSO,O,X,X,O,O
JLITZOS,O,X,O,X,O
JLITOSZ,O,X,O,X,X
JLITOZS,O,X,O,X,O
JLISTZO,O,O,X,O,X
JLISTOZ,O,X,X,O,X
JLISZTO,O,O,X,O,X
JLISZOT,O,O,X,X,X
JLISOTZ,O,O,X,O,X
JLISOZT,O,O,X,X,X
JLIZTSO,O,X,X,O,O
JLIZTOS,O,X,X,X,O
JLIZSTO,O,X,X,O,O
JLIZSOT,O,X,X,X,X
JLIZOTS,O,X,X,X,O
JLIZOST,O,X,X,X,X
JLIOTSZ,O,O,O,X,X
JLIOTZS,O,X,O,X,X
JLIOSTZ,O,O,X,O,X
JLIOSZT,O,O,X,X,X
JLIOZTS,O,X,X,X,X
JLIOZST,O,O,X,X,X
JLSTIZO,O,O,X,O,X
JLSTIOZ,O,X,X,O,X
JLSTZIO,O,O,X,O,X
JLSTZOI,O,O,X,O,X
JLSTOIZ,O,X,X,O,X
JLSTOZI,O,X,X,O,X
JLSITZO,O,O,X,O,X
JLSITOZ,O,X,X,O,X
JLSIZTO,O,O,X,O,X
JLSIZOT,O,O,X,X,X
JLSIOTZ,O,O,X,O,X
JLSIOZT,O,O,X,X,X
JLSZTIO,O,O,X,O,X
JLSZTOI,O,O,X,O,X
JLSZITO,O,O,X,O,X
JLSZIOT,O,O,X,X,X
JLSZOTI,O,O,X,X,X
JLSZOIT,O,O,X,X,X
JLSOTIZ,O,O,X,O,X
JLSOTZI,O,O,X,O,X
JLSOITZ,O,O,X,O,X
JLSOIZT,O,O,X,X,X
JLSOZTI,O,O,X,X,X
JLSOZIT,O,O,X,X,X
JLZTISO,O,X,X,O,O
JLZTIOS,O,X,X,X,O
JLZTSIO,O,X,X,O,O
JLZTSOI,O,X,X,O,O
JLZTOIS,O,X,X,X,O
JLZTOSI,O,X,X,X,O
JLZITSO,O,X,X,O,O
JLZITOS,O,X,X,X,O
JLZISTO,O,X,X,O,O
JLZISOT,O,X,X,X,X
JLZIOTS,O,X,X,X,O
JLZIOST,O,X,X,X,X
JLZSTIO,O,X,X,O,O
JLZSTOI,O,X,X,O,O
JLZSITO,O,X,X,O,O
JLZSIOT,O,X,X,X,X
JLZSOTI,O,X,X,X,X
JLZSOIT,O,X,X,X,X
JLZOTIS,O,X,X,X,O
JLZOTSI,O,X,X,X,O
JLZOITS,O,X,X,X,O
JLZOIST,O,X,X,X,X
JLZOSTI,O,X,X,X,X
JLZOSIT,O,X,X,X,X
JLOTISZ,O,O,O,X,X
JLOTIZS,O,X,O,X,X
JLOTSIZ,O,O,O,X,X
JLOTSZI,O,O,O,X,X
JLOTZIS,O,X,O,X,X
JLOTZSI,O,X,O,X,X
JLOITSZ,O,O,O,X,X
JLOITZS,O,X,O,X,X
JLOISTZ,O,O,X,O,X
JLOISZT,O,O,X,X,X
JLOIZTS,O,X,X,X,X
JLOIZST,O,O,X,X,X
JLOSTIZ,O,O,X,O,X
JLOSTZI,O,O,X,O,X
JLOSITZ,O,O,X,O,X
JLOSIZT,O,O,X,X,X
JLOSZTI,O,O,X,X,X
JLOSZIT,O,O,X,X,X
JLOZTIS,O,X,X,X,X
JLOZTSI,O,X,X,X,X
JLOZITS,O,X,X,X,X
JLOZIST,O,O,X,X,X
JLOZSTI,O,O,X,X,X
JLOZSIT,O,O,X,X,X
JSTILZO,X,O,X,O,X
JSTILOZ,X,X,X,O,X
JSTIZLO,X,O,X,O,X
JSTIZOL,X,O,X,O,X
JSTIOLZ,X,O,X,O,X
JSTIOZL,X,O,X,O,X
JSTLIZO,X,O,X,O,X
JSTLIOZ,X,X,X,O,X
JSTLZIO,X,O,X,O,X
JSTLZOI,X,O,X,O,X
JSTLOIZ,X,X,X,O,X
JSTLOZI,X,X,X,O,X
JSTZILO,X,O,X,O,X
JSTZIOL,X,O,X,O,X
JSTZLIO,X,O,X,O,X
JSTZLOI,X,O,X,O,X
JSTZOIL,X,O,X,O,X
JSTZOLI,X,O,X,O,X
JSTOILZ,X,O,X,O,X
JSTOIZL,X,O,X,O,X
JSTOLIZ,X,O,X,O,X
JSTOLZI,X,O,X,O,X
JSTOZIL,X,O,X,O,X
JSTOZLI,X,O,X,O,X
JSITLZO,X,O,X,O,X
JSITLOZ,X,X,X,O,X
JSITZLO,X,O,X,O,X
JSITZOL,X,O,X,O,X
JSITOLZ,X,O,X,O,X
JSITOZL,X,O,X,O,X
JSILTZO,O,O,X,O,X
JSILTOZ,O,X,X,O,X
JSILZTO,O,O,X,O,X
JSILZOT,O,O,X,X,X
JSILOTZ,O,O,X,O,X
JSILOZT,O,O,X,X,X
JSIZTLO,O,O,X,O,X
JSIZTOL,X,O,X,O,X
JSIZLTO,O,O,X,O,X
JSIZLOT,O,O,X,X,X
JSIZOTL,X,O,X,X,X
JSIZOLT,X,O,X,X,X
JSIOTLZ,O,O,X,O,X
JSIOTZL,O,O,X,O,X
JSIOLTZ,O,O,X,O,X
JSIOLZT,O,O,X,X,X
JSIOZTL,O,O,X,X,X
JSIOZLT,O,O,X,X,X
JSLTIZO,O,O,X,O,X
JSLTIOZ,O,X,X,O,X
JSLTZIO,O,O,X,O,X
JSLTZOI,O,O,X,O,X
JSLTOIZ,O,X,X,O,X
JSLTOZI,O,X,X,O,X
JSLITZO,O,O,X,O,X
JSLITOZ,O,X,X,O,X
JSLIZTO,O,O,X,O,X
JSLIZOT,O,O,X,X,X
JSLIOTZ,O,O,X,O,X
JSLIOZT,O,O,X,X,X
JSLZTIO,O,O,X,O,X
JSLZTOI,O,O,X,O,X
JSLZITO,O,O,X,O,X
JSLZIOT,O,O,X,X,X
JSLZOTI,O,O,X,X,X
JSLZOIT,O,O,X,X,X
JSLOTIZ,O,O,X,O,X
JSLOTZI,O,O,X,O,X
JSLOITZ,O,O,X,O,X
JSLOIZT,O,O,X,X,X
JSLOZTI,O,O,X,X,X
JSLOZIT,O,O,X,X,X
JSZTILO,O,O,X,O,X
JSZTIOL,X,O,X,O,X
JSZTLIO,O,O,X,O,X
JSZTLOI,O,O,X,O,X
JSZTOIL,X,O,X,O,X
JSZTOLI,X,O,X,O,X
JSZITLO,O,O,X,O,X
JSZITOL,X,O,X,O,X
JSZILTO,O,O,X,O,X
JSZILOT,O,O,X,X,X
JSZIOTL,X,O,X,X,X
JSZIOLT,X,O,X,X,X
JSZLTIO,O,O,X,O,X
JSZLTOI,O,O,X,O,X
JSZLITO,O,O,X,O,X
JSZLIOT,O,O,X,X,X
JSZLOTI,O,O,X,X,X
JSZLOIT,O,O,X,X,X
JSZOTIL,X,O,X,X,X
JSZOTLI,X,O,X,X,X
JSZOITL,X,O,X,X,X
JSZOILT,X,O,X,X,X
JSZOLTI,X,O,X,X,X
JSZOLIT,X,O,X,X,X
JSOTILZ,O,O,X,O,X
JSOTIZL,O,O,X,O,X
JSOTLIZ,O,O,X,O,X
JSOTLZI,O,O,X,O,X
JSOTZIL,O,O,X,O,X
JSOTZLI,O,O,X,O,X
JSOITLZ,O,O,X,O,X
JSOITZL,O,O,X,O,X
JSOILTZ,O,O,X,O,X
JSOILZT,O,O,X,X,X
JSOIZTL,O,O,X,X,X
JSOIZLT,O,O,X,X,X
JSOLTIZ,O,O,X,O,X
JSOLTZI,O,O,X,O,X
JSOLITZ,O,O,X,O,X
JSOLIZT,O,O,X,X,X
JSOLZTI,O,O,X,X,X
JSOLZIT,O,O,X,X,X
JSOZTIL,O,O,X,X,X
JSOZTLI,O,O,X,X,X
JSOZITL,O,O,X,X,X
JSOZILT,O,O,X,X,X
JSOZLTI,O,O,X,X,X
JSOZLIT,O,O,X,X,X
JZTILSO,O,X,X,O,O
JZTILOS,O,X,X,X,O
JZTISLO,O,X,X,O,X
JZTISOL,X,X,X,O,X
JZTIOLS,O,X,X,X,X
JZTIOSL,X,X,X,O,X
JZTLISO,O,X,X,O,O
JZTLIOS,O,X,X,X,O
JZTLSIO,O,X,X,O,O
JZTLSOI,O,X,X,O,O
JZTLOIS,O,X,X,X,O
JZTLOSI,O,X,X,X,O
JZTSILO,O,X,X,O,X
JZTSIOL,X,X,X,O,X
JZTSLIO,O,X,X,O,X
JZTSLOI,O,X,X,O,X
JZTSOIL,X,X,X,O,X
JZTSOLI,X,X,X,O,X
JZTOILS,O,X,X,X,X
JZTOISL,X,X,X,O,X
JZTOLIS,O,X,X,X,X
JZTOLSI,O,X,X,X,X
JZTOSIL,X,X,X,O,X
JZTOSLI,X,X,X,O,X
JZITLSO,O,X,X,O,O
JZITLOS,O,X,X,X,O
JZITSLO,O,X,X,O,X
JZITSOL,X,X,X,O,X
JZITOLS,O,X,X,X,X
JZITOSL,X,X,X,O,X
JZILTSO,O,X,X,O,O
JZILTOS,O,X,X,X,O
JZILSTO,O,X,X,O,O
JZILSOT,O,X,X,X,X
JZILOTS,O,X,X,X,O
JZILOST,O,X,X,X,X
JZISTLO,O,O,X,O,X
JZISTOL,X,O,X,O,X
JZISLTO,O,O,X,O,O
JZISLOT,O,O,X,X,X
JZISOTL,X,O,X,X,X
JZISOLT,X,O,X,X,X
JZIOTLS,O,X,X,X,X
JZIOTSL,O,X,X,O,X
JZIOLTS,O,X,X,X,O
JZIOLST,O,O,X,X,X
JZIOSTL,O,O,X,X,X
JZIOSLT,O,O,X,X,X
JZLTISO,O,X,X,O,O
JZLTIOS,O,X,X,X,O
JZLTSIO,O,X,X,O,O
JZLTSOI,O,X,X,O,O
JZLTOIS,O,X,X,X,O
JZLTOSI,O,X,X,X,O
JZLITSO,O,X,X,O,O
JZLITOS,O,X,X,X,O
JZLISTO,O,X,X,O,O
JZLISOT,O,X,X,X,X
JZLIOTS,O,X,X,X,O
JZLIOST,O,X,X,X,X
JZLSTIO,O,X,X,O,O
JZLSTOI,O,X,X,O,O
JZLSITO,O,X,X,O,O
JZLSIOT,O,X,X,X,X
JZLSOTI,O,X,X,X,X
JZLSOIT,O,X,X,X,X
JZLOTIS,O,X,X,X,O
JZLOTSI,O,X,X,X,O
JZLOITS,O,X,X,X,O
JZLOIST,O,X,X,X,X
JZLOSTI,O,X,X,X,X
JZLOSIT,O,X,X,X,X
JZSTILO,O,O,X,O,X
JZSTIOL,X,O,X,O,X
JZSTLIO,O,O,X,O,X
JZSTLOI,O,O,X,O,X
JZSTOIL,X,O,X,O,X
JZSTOLI,X,O,X,O,X
JZSITLO,O,O,X,O,X
JZSITOL,X,O,X,O,X
JZSILTO,O,O,X,O,O
JZSILOT,O,O,X,X,X
JZSIOTL,X,O,X,X,X
JZSIOLT,X,O,X,X,X
JZSLTIO,O,O,X,O,O
JZSLTOI,O,O,X,O,O
JZSLITO,O,O,X,O,O
JZSLIOT,O,O,X,X,X
JZSLOTI,O,O,X,X,X
JZSLOIT,O,O,X,X,X
JZSOTIL,X,O,X,X,X
JZSOTLI,X,O,X,X,X
JZSOITL,X,O,X,X,X
JZSOILT,X,O,X,X,X
JZSOLTI,X,O,X,X,X
JZSOLIT,X,O,X,X,X
JZOTILS,O,X,X,X,X
JZOTISL,O,X,X,O,X
JZOTLIS,O,X,X,X,X
JZOTLSI,O,X,X,X,X
JZOTSIL,O,X,X,O,X
JZOTSLI,O,X,X,O,X
JZOITLS,O,X,X,X,X
JZOITSL,O,X,X,O,X
JZOILTS,O,X,X,X,O
JZOILST,O,O,X,X,X
JZOISTL,O,O,X,X,X
JZOISLT,O,O,X,X,X
JZOLTIS,O,X,X,X,O
JZOLTSI,O,X,X,X,O
JZOLITS,O,X,X,X,O
JZOLIST,O,O,X,X,X
JZOLSTI,O,O,X,X,X
JZOLSIT,O,O,X,X,X
JZOSTIL,O,O,X,X,X
JZOSTLI,O,O,X,X,X
JZOSITL,O,O,X,X,X
JZOSILT,O,O,X,X,X
JZOSLTI,O,O,X,X,X
JZOSLIT,O,O,X,X,X
JOTILSZ,O,O,O,X,X
JOTILZS,O,X,O,X,X
JOTISLZ,O,O,O,O,X
JOTISZL,O,O,O,O,X
JOTIZLS,O,X,O,X,X
JOTIZSL,O,X,O,O,X
JOTLISZ,O,O,O,X,X
JOTLIZS,O,X,O,X,X
JOTLSIZ,O,O,O,X,X
JOTLSZI,O,O,O,X,X
JOTLZIS,O,X,O,X,X
JOTLZSI,O,X,O,X,X
JOTSILZ,O,O,O,O,X
JOTSIZL,O,O,O,O,X
JOTSLIZ,O,O,O,O,X
JOTSLZI,O,O,O,O,X
JOTSZIL,O,O,O,O,X
JOTSZLI,O,O,O,O,X
JOTZILS,O,X,O,X,X
JOTZISL,O,X,O,O,X
JOTZLIS,O,X,O,X,X
JOTZLSI,O,X,O,X,X
JOTZSIL,O,X,O,O,X
JOTZSLI,O,X,O,O,X
JOITLSZ,O,O,O,X,X
JOITLZS,O,X,O,X,X
JOITSLZ,O,O,O,O,X
JOITSZL,O,O,O,O,X
JOITZLS,O,X,O,X,X
JOITZSL,O,X,O,O,X
JOILTSZ,O,O,O,X,X
JOILTZS,O,X,O,X,X
JOILSTZ,O,O,X,O,X
JOILSZT,O,O,X,X,X
JOILZTS,O,X,X,X,X
JOILZST,O,O,X,X,X
JOISTLZ,O,O,X,O,X
JOISTZL,O,O,X,O,X
JOISLTZ,O,O,X,O,X
JOISLZT,O,O,X,X,X
JOISZTL,O,O,X,X,X
JOISZLT,O,O,X,X,X
JOIZTLS,O,X,X,X,X
JOIZTSL,O,X,X,O,X
JOIZLTS,O,X,X,X,X
JOIZLST,O,O,X,X,X
JOIZSTL,O,O,X,X,X
JOIZSLT,O,O,X,X,X
JOLTISZ,O,O,O,X,X
JOLTIZS,O,X,O,X,X
JOLTSIZ,O,O,O,X,X
JOLTSZI,O,O,O,X,X
JOLTZIS,O,X,O,X,X
JOLTZSI,O,X,O,X,X
JOLITSZ,O,O,O,X,X
JOLITZS,O,X,O,X,X
JOLISTZ,O,O,X,O,X
JOLISZT,O,O,X,X,X
JOLIZTS,O,X,X,X,X
JOLIZST,O,O,X,X,X
JOLSTIZ,O,O,X,O,X
JOLSTZI,O,O,X,O,X
JOLSITZ,O,O,X,O,X
JOLSIZT,O,O,X,X,X
JOLSZTI,O,O,X,X,X
JOLSZIT,O,O,X,X,X
JOLZTIS,O,X,X,X,X
JOLZTSI,O,X,X,X,X
JOLZITS,O,X,X,X,X
JOLZIST,O,O,X,X,X
JOLZSTI,O,O,X,X,X
JOLZSIT,O,O,X,X,X
JOSTILZ,O,O,X,O,X
JOSTIZL,O,O,X,O,X
JOSTLIZ,O,O,X,O,X
JOSTLZI,O,O,X,O,X
JOSTZIL,O,O,X,O,X
JOSTZLI,O,O,X,O,X
JOSITLZ,O,O,X,O,X
JOSITZL,O,O,X,O,X
JOSILTZ,O,O,X,O,X
JOSILZT,O,O,X,X,X
JOSIZTL,O,O,X,X,X
JOSIZLT,O,O,X,X,X
JOSLTIZ,O,O,X,O,X
JOSLTZI,O,O,X,O,X
JOSLITZ,O,O,X,O,X
JOSLIZT,O,O,X,X,X
JOSLZTI,O,O,X,X,X
JOSLZIT,O,O,X,X,X
JOSZTIL,O,O,X,X,X
JOSZTLI,O,O,X,X,X
JOSZITL,O,O,X,X,X
JOSZILT,O,O,X,X,X
JOSZLTI,O,O,X,X,X
JOSZLIT,O,O,X,X,X
JOZTILS,O,X,X,X,X
JOZTISL,O,X,X,O,X
JOZTLIS,O,X,X,X,X
JOZTLSI,O,X,X,X,X
JOZTSIL,O,X,X,O,X
JOZTSLI,O,X,X,O,X
JOZITLS,O,X,X,X,X
JOZITSL,O,X,X,O,X
JOZILTS,O,X,X,X,X
JOZILST,O,O,X,X,X
JOZISTL,O,O,X,X,X
JOZISLT,O,O,X,X,X
JOZLTIS,O,X,X,X,X
JOZLTSI,O,X,X,X,X
JOZLITS,O,X,X,X,X
JOZLIST,O,O,X,X,X
JOZLSTI,O,O,X,X,X
JOZLSIT,O,O,X,X,X
JOZSTIL,O,O,X,X,X
JOZSTLI,O,O,X,X,X
JOZSITL,O,O,X,X,X
JOZSILT,O,O,X,X,X
JOZSLTI,O,O,X,X,X
JOZSLIT,O,O,X,X,X
STILJZO,X,O,X,O,X
STILJOZ,X,X,X,O,X
STILZJO,X,O,X,O,X
STILZOJ,X,O,O,X,X
STILOJZ,X,X,O,O,X
STILOZJ,X,X,O,X,X
STIJLZO,X,O,X,O,X
STIJLOZ,X,X,X,O,X
STIJZLO,X,O,X,O,X
STIJZOL,X,O,O,O,X
STIJOLZ,X,O,O,O,X
STIJOZL,X,O,O,O,X
STIZLJO,X,O,X,O,X
STIZLOJ,X,O,O,X,X
STIZJLO,X,O,X,O,X
STIZJOL,X,O,O,O,X
STIZOLJ,X,O,O,X,X
STIZOJL,X,O,O,X,X
STIOLJZ,X,O,O,O,X
STIOLZJ,X,O,O,X,X
STIOJLZ,X,O,O,O,X
STIOJZL,X,O,O,O,X
STIOZLJ,X,O,O,X,X
STIOZJL,X,O,O,X,X
STLIJZO,X,O,X,O,X
STLIJOZ,X,X,X,O,X
STLIZJO,X,O,X,O,X
STLIZOJ,X,O,O,X,X
STLIOJZ,X,X,O,O,X
STLIOZJ,X,X,O,X,X
STLJIZO,X,O,X,O,X
STLJIOZ,X,X,X,O,X
STLJZIO,X,O,X,O,X
STLJZOI,X,O,X,O,X
STLJOIZ,X,X,X,O,X
STLJOZI,X,X,X,O,X
STLZIJO,X,O,X,O,X
STLZIOJ,X,O,O,X,X
STLZJIO,X,O,X,O,X
STLZJOI,X,O,X,O,X
STLZOIJ,X,O,O,X,X
STLZOJI,X,X,O,X,X
STLOIJZ,X,X,O,O,X
STLOIZJ,X,X,O,X,X
STLOJIZ,X,X,O,O,X
STLOJZI,X,X,O,O,X
STLOZIJ,X,X,O,X,X
STLOZJI,X,X,O,X,X
STJILZO,X,O,X,O,X
STJILOZ,X,X,X,O,X
STJIZLO,X,O,X,O,X
STJIZOL,X,O,O,O,X
STJIOLZ,X,O,O,O,X
STJIOZL,X,O,O,O,X
STJLIZO,X,O,X,O,X
STJLIOZ,X,X,X,O,X
STJLZIO,X,O,X,O,X
STJLZOI,X,O,X,O,X
STJLOIZ,X,X,X,O,X
STJLOZI,X,X,X,O,X
STJZILO,X,O,X,O,X
STJZIOL,X,O,O,O,X
STJZLIO,X,O,X,O,X
STJZLOI,X,O,X,O,X
STJZOIL,X,O,O,O,X
STJZOLI,X,O,O,O,X
STJOILZ,X,O,O,O,X
STJOIZL,X,O,O,O,X
STJOLIZ,X,O,O,O,X
STJOLZI,X,O,O,O,X
STJOZIL,X,O,O,O,X
STJOZLI,X,O,O,O,X
STZILJO,X,O,X,O,X
STZILOJ,X,O,O,X,X
STZIJLO,X,O,X,O,X
STZIJOL,X,O,O,O,X
STZIOLJ,X,O,O,X,X
STZIOJL,X,O,O,X,X
STZLIJO,X,O,X,O,X
STZLIOJ,X,O,O,X,X
STZLJIO,X,O,X,O,X
STZLJOI,X,O,X,O,X
STZLOIJ,X,O,O,X,X
STZLOJI,X,O,O,X,X
STZJILO,X,O,X,O,X
STZJIOL,X,O,O,O,X
STZJLIO,X,O,X,O,X
STZJLOI,X,O,X,O,X
STZJOIL,X,O,O,O,X
STZJOLI,X,O,O,O,X
STZOILJ,X,O,O,X,X
STZOIJL,X,O,O,X,X
STZOLIJ,X,O,O,X,X
STZOLJI,X,O,O,X,X
STZOJIL,X,O,O,X,X
STZOJLI,X,O,O,X,X
STOILJZ,X,O,O,O,X
STOILZJ,X,O,O,X,X
STOIJLZ,X,O,O,O,X
STOIJZL,X,O,O,O,X
STOIZLJ,X,O,O,X,X
STOIZJL,X,O,O,X,X
STOLIJZ,X,O,O,O,X
STOLIZJ,X,O,O,X,X
STOLJIZ,X,O,O,O,X
STOLJZI,X,O,O,O,X
STOLZIJ,X,O,O,X,X
STOLZJI,X,O,O,X,X
STOJILZ,X,O,O,O,X
STOJIZL,X,O,O,O,X
STOJLIZ,X,O,O,O,X
STOJLZI,X,O,O,O,X
STOJZIL,X,O,O,O,X
STOJZLI,X,O,O,O,X
STOZILJ,X,O,O,X,X
STOZIJL,X,O,O,X,X
STOZLIJ,X,O,O,X,X
STOZLJI,X,O,O,X,X
STOZJIL,X,O,O,X,X
STOZJLI,X,O,O,X,X
SITLJZO,X,O,X,O,X
SITLJOZ,X,X,X,O,X
SITLZJO,X,O,X,O,X
SITLZOJ,X,O,O,X,X
SITLOJZ,X,X,O,O,X
SITLOZJ,X,X,O,X,X
SITJLZO,X,O,X,O,X
SITJLOZ,X,X,X,O,X
SITJZLO,X,O,X,O,X
SITJZOL,X,O,O,O,X
SITJOLZ,X,O,O,O,X
SITJOZL,X,O,O,O,X
SITZLJO,X,O,X,O,X
SITZLOJ,X,O,O,X,X
SITZJLO,X,O,X,O,X
SITZJOL,X,O,O,O,X
SITZOLJ,X,O,O,X,X
SITZOJL,X,O,O,X,X
SITOLJZ,X,O,O,O,X
SITOLZJ,X,O,O,X,X
SITOJLZ,X,O,O,O,X
SITOJZL,X,O,O,O,X
SITOZLJ,X,O,O,X,X
SITOZJL,X,O,O,X,X
SILTJZO,O,O,X,O,X
SILTJOZ,O,X,X,O,X
SILTZJO,O,O,X,O,O
SILTZOJ,O,O,O,X,O
SILTOJZ,O,X,O,O,X
SILTOZJ,O,X,O,X,O
SILJTZO,O,O,X,O,X
SILJTOZ,O,X,X,O,X
SILJZTO,O,O,X,O,X
SILJZOT,O,O,X,X,X
SILJOTZ,O,O,X,O,X
SILJOZT,O,O,X,X,X
SILZTJO,O,O,X,O,O
SILZTOJ,O,O,X,X,O
