sequence,v115@HhA8IeC8FeF8CeB8Je0/IvhFxgBdnBCjBzlBXoBWxB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBOmBxiBtrBXoBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihB3iBcoBGlB9rBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihBcnBTjBGlB9rB3sB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBNmBTjBRsBXsBGsB
LTSZIJO,X,O,O,O,O
LTSZIOJ,X,O,O,O,O
LTSZJIO,X,O,O,O,X
LTSZJOI,X,O,O,O,X
LTSZOIJ,X,O,O,O,O
LTSZOJI,X,O,O,O,X
LTSOIJZ,X,O,X,X,O
LTSOIZJ,X,O,O,O,O
LTSOJIZ,X,O,O,O,X
LTSOJZI,X,O,O,O,X
LTSOZIJ,X,O,O,O,O
LTSOZJI,X,O,O,O,X
LTZIJSO,X,O,O,X,O
LTZIJOS,X,X,O,X,O
LTZISJO,X,O,O,X,O
LTZISOJ,X,O,O,X,O
LTZIOJS,X,X,O,X,O
LTZIOSJ,X,X,O,X,O
LTZJISO,X,O,O,X,O
LTZJIOS,X,X,O,X,O
LTZJSIO,X,O,O,X,X
LTZJSOI,X,O,O,X,X
LTZJOIS,X,X,O,X,O
LTZJOSI,X,O,O,X,X
LTZSIJO,X,O,O,X,O
LTZSIOJ,X,O,O,X,O
LTZSJIO,X,O,O,X,X
LTZSJOI,X,O,O,X,X
LTZSOIJ,X,O,O,X,O
LTZSOJI,X,O,O,X,X
LTZOIJS,X,X,O,X,O
LTZOISJ,X,X,O,X,O
LTZOJIS,X,X,O,X,O
LTZOJSI,X,O,O,X,X
LTZOSIJ,X,O,O,X,O
LTZOSJI,X,O,O,X,X
LTOIJSZ,X,X,O,X,O
LTOIJZS,X,X,O,X,O
LTOISJZ,X,X,X,X,O
LTOISZJ,X,X,O,O,O
LTOIZJS,X,X,O,X,O
LTOIZSJ,X,X,O,X,O
LTOJISZ,X,X,O,O,O
LTOJIZS,X,X,O,X,O
LTOJSIZ,X,O,O,O,X
LTOJSZI,X,O,O,O,X
LTOJZIS,X,X,O,X,O
LTOJZSI,X,O,O,X,X
LTOSIJZ,X,O,X,X,O
LTOSIZJ,X,O,O,O,O
LTOSJIZ,X,O,O,O,X
LTOSJZI,X,O,O,O,X
LTOSZIJ,X,O,O,O,O
LTOSZJI,X,O,O,O,X
LTOZIJS,X,X,O,X,O
LTOZISJ,X,X,O,X,O
LTOZJIS,X,X,O,X,O
LTOZJSI,X,O,O,X,X
LTOZSIJ,X,O,O,X,O
LTOZSJI,X,O,O,X,X
LITJSZO,X,O,X,X,O
LITJSOZ,X,O,X,X,O
LITJZSO,X,O,O,X,O
LITJZOS,X,X,X,X,O
LITJOSZ,X,X,X,X,O
LITJOZS,X,X,O,X,O
LITSJZO,X,O,X,X,O
LITSJOZ,X,O,X,X,O
LITSZJO,X,O,O,O,O
LITSZOJ,X,O,O,O,O
LITSOJZ,X,O,X,X,O
LITSOZJ,X,O,O,O,O
LITZJSO,X,O,O,X,O
LITZJOS,X,X,X,X,O
LITZSJO,X,O,O,X,O
LITZSOJ,X,O,O,X,O
LITZOJS,X,X,O,X,O
LITZOSJ,X,X,O,X,O
LITOJSZ,X,X,X,X,O
LITOJZS,X,X,O,X,O
LITOSJZ,X,X,X,X,O
LITOSZJ,X,X,O,O,O
LITOZJS,X,X,O,X,O
LITOZSJ,X,X,O,X,O
LIJTSZO,X,O,O,O,O
LIJTSOZ,X,O,O,O,O
LIJTZSO,X,O,O,X,O
LIJTZOS,X,X,O,X,O
LIJTOSZ,X,X,O,O,O
LIJTOZS,X,X,O,X,O
LIJSTZO,X,O,X,O,X
LIJSTOZ,X,O,X,O,X
LIJSZTO,X,O,X,O,X
LIJSZOT,X,O,X,O,X
LIJSOTZ,X,X,X,O,X
LIJSOZT,X,O,X,O,X
LIJZTSO,X,O,O,X,O
LIJZTOS,X,X,O,X,O
LIJZSTO,X,O,O,X,X
LIJZSOT,X,O,X,X,X
LIJZOTS,X,X,O,X,O
LIJZOST,X,X,O,X,X
LIJOTSZ,X,X,O,O,O
LIJOTZS,X,X,O,X,O
LIJOSTZ,X,X,X,O,X
LIJOSZT,X,X,X,O,X
LIJOZTS,X,X,O,X,O
LIJOZST,X,X,O,X,X
LISTJZO,X,O,X,X,O
LISTJOZ,X,O,X,X,O
LISTZJO,X,O,X,O,O
LISTZOJ,X,O,X,O,O
LISTOJZ,X,O,X,X,O
LISTOZJ,X,O,X,O,O
LISJTZO,X,O,X,O,X
LISJTOZ,X,O,X,O,X
LISJZTO,X,O,X,O,X
LISJZOT,X,O,X,O,X
LISJOTZ,X,X,X,O,X
LISJOZT,X,O,X,O,X
LISZTJO,X,O,X,O,O
LISZTOJ,X,O,X,O,O
LISZJTO,X,O,X,O,X
LISZJOT,X,O,X,O,X
LISZOTJ,X,O,X,O,O
LISZOJT,X,O,X,O,X
LISOTJZ,X,O,X,X,O
LISOTZJ,X,O,X,O,O
LISOJTZ,X,X,X,O,X
LISOJZT,X,O,X,O,X
LISOZTJ,X,O,X,O,O
LISOZJT,X,O,X,O,X
LIZTJSO,X,O,O,X,O
LIZTJOS,X,X,X,X,O
LIZTSJO,X,O,O,X,O
LIZTSOJ,X,O,O,X,O
LIZTOJS,X,X,O,X,O
LIZTOSJ,X,X,O,X,O
LIZJTSO,X,O,O,X,O
LIZJTOS,X,X,O,X,O
LIZJSTO,X,O,O,X,X
LIZJSOT,X,O,X,X,X
LIZJOTS,X,X,O,X,O
LIZJOST,X,X,O,X,X
LIZSTJO,X,O,O,X,O
LIZSTOJ,X,O,O,X,O
LIZSJTO,X,O,O,X,X
LIZSJOT,X,O,X,X,X
LIZSOTJ,X,O,X,X,O
LIZSOJT,X,O,X,X,X
LIZOTJS,X,X,O,X,O
LIZOTSJ,X,X,O,X,O
LIZOJTS,X,X,O,X,O
LIZOJST,X,X,O,X,X
LIZOSTJ,X,X,O,X,O
LIZOSJT,X,X,O,X,X
LIOTJSZ,X,X,X,X,O
LIOTJZS,X,X,O,X,O
LIOTSJZ,X,X,X,X,O
LIOTSZJ,X,X,O,O,O
LIOTZJS,X,X,O,X,O
LIOTZSJ,X,X,O,X,O
LIOJTSZ,X,X,O,O,O
LIOJTZS,X,X,O,X,O
LIOJSTZ,X,X,X,O,X
LIOJSZT,X,X,X,O,X
LIOJZTS,X,X,O,X,O
LIOJZST,X,X,O,X,X
LIOSTJZ,X,X,X,X,O
LIOSTZJ,X,X,X,O,O
LIOSJTZ,X,X,X,O,X
LIOSJZT,X,X,X,O,X
LIOSZTJ,X,X,X,O,O
LIOSZJT,X,X,X,O,X
LIOZTJS,X,X,O,X,O
LIOZTSJ,X,X,O,X,O
LIOZJTS,X,X,O,X,O
LIOZJST,X,X,O,X,X
LIOZSTJ,X,X,O,X,O
LIOZSJT,X,X,O,X,X
LJTISZO,O,O,O,O,O
LJTISOZ,O,O,O,O,O
LJTIZSO,O,O,O,X,O
LJTIZOS,X,X,O,X,O
LJTIOSZ,X,X,O,O,O
LJTIOZS,X,X,O,X,O
LJTSIZO,O,O,O,O,X
LJTSIOZ,O,O,O,O,X
LJTSZIO,O,O,O,O,X
LJTSZOI,O,O,O,O,X
LJTSOIZ,O,O,O,O,X
LJTSOZI,O,O,O,O,X
LJTZISO,O,O,O,X,O
LJTZIOS,X,X,O,X,O
LJTZSIO,O,O,O,X,X
LJTZSOI,O,O,O,X,X
LJTZOIS,O,X,O,X,O
LJTZOSI,O,O,O,X,X
LJTOISZ,O,X,O,O,O
LJTOIZS,O,X,O,X,O
LJTOSIZ,O,O,O,O,X
LJTOSZI,O,O,O,O,X
LJTOZIS,O,X,O,X,O
LJTOZSI,O,O,O,X,X
LJITSZO,X,O,O,O,O
LJITSOZ,X,O,O,O,O
LJITZSO,X,O,O,X,O
LJITZOS,X,X,O,X,O
LJITOSZ,X,X,O,O,O
LJITOZS,X,X,O,X,O
LJISTZO,X,O,X,O,X
LJISTOZ,X,O,X,O,X
LJISZTO,X,O,X,O,X
LJISZOT,X,O,X,O,X
LJISOTZ,X,X,X,O,X
LJISOZT,X,O,X,O,X
LJIZTSO,X,O,O,X,O
LJIZTOS,X,X,O,X,O
LJIZSTO,X,O,O,X,X
LJIZSOT,X,O,X,X,X
LJIZOTS,X,X,O,X,O
LJIZOST,X,X,O,X,X
LJIOTSZ,X,X,O,O,O
LJIOTZS,X,X,O,X,O
LJIOSTZ,X,X,X,O,X
LJIOSZT,X,X,X,O,X
LJIOZTS,X,X,O,X,O
LJIOZST,X,X,O,X,X
LJSTIZO,O,O,X,O,X
LJSTIOZ,O,O,X,O,X
LJSTZIO,O,O,X,O,X
LJSTZOI,O,O,X,O,X
LJSTOIZ,O,O,X,O,X
LJSTOZI,O,O,X,O,X
LJSITZO,O,O,X,O,X
LJSITOZ,O,O,X,O,X
LJSIZTO,O,O,X,O,X
LJSIZOT,O,O,X,O,X
LJSIOTZ,O,X,X,O,X
LJSIOZT,O,O,X,O,X
LJSZTIO,O,O,X,O,X
LJSZTOI,O,O,X,O,X
LJSZITO,O,O,X,O,X
LJSZIOT,O,O,X,O,X
LJSZOTI,O,O,X,O,X
LJSZOIT,O,O,X,O,X
LJSOTIZ,O,O,X,O,X
LJSOTZI,O,O,X,O,X
LJSOITZ,O,X,X,O,X
LJSOIZT,O,O,X,O,X
LJSOZTI,O,O,X,O,X
LJSOZIT,O,O,X,O,X
LJZTISO,O,O,O,X,O
LJZTIOS,X,X,O,X,O
LJZTSIO,O,O,O,X,X
LJZTSOI,O,O,O,X,X
LJZTOIS,O,X,O,X,O
LJZTOSI,O,O,O,X,X
LJZITSO,O,O,O,X,O
LJZITOS,X,X,O,X,O
LJZISTO,O,O,O,X,X
LJZISOT,X,O,X,X,X
LJZIOTS,X,X,O,X,O
LJZIOST,X,X,O,X,X
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,O,O,X,X
LJZSIOT,O,O,X,X,X
LJZSOTI,O,O,X,X,X
LJZSOIT,O,O,X,X,X
LJZOTIS,O,X,O,X,O
LJZOTSI,O,O,O,X,X
LJZOITS,O,X,O,X,O
LJZOIST,O,X,O,X,X
LJZOSTI,O,O,O,X,X
LJZOSIT,O,O,O,X,X
LJOTISZ,O,X,O,O,O
LJOTIZS,O,X,O,X,O
LJOTSIZ,O,O,O,O,X
LJOTSZI,O,O,O,O,X
LJOTZIS,O,X,O,X,O
LJOTZSI,O,O,O,X,X
LJOITSZ,O,X,O,O,O
LJOITZS,O,X,O,X,O
LJOISTZ,O,X,X,O,X
LJOISZT,O,X,X,O,X
LJOIZTS,O,X,O,X,O
LJOIZST,O,X,O,X,X
LJOSTIZ,O,O,X,O,X
LJOSTZI,O,O,X,O,X
LJOSITZ,O,X,X,O,X
LJOSIZT,O,O,X,O,X
LJOSZTI,O,O,X,O,X
LJOSZIT,O,O,X,O,X
LJOZTIS,O,X,O,X,O
LJOZTSI,O,O,O,X,X
LJOZITS,O,X,O,X,O
LJOZIST,O,X,O,X,X
LJOZSTI,O,O,O,X,X
LJOZSIT,O,O,O,X,X
LSTIJZO,X,O,X,X,O
LSTIJOZ,X,O,X,X,O
LSTIZJO,X,O,X,O,O
LSTIZOJ,X,O,X,O,O
LSTIOJZ,X,O,X,X,O
LSTIOZJ,X,O,X,O,O
LSTJIZO,X,O,X,O,X
LSTJIOZ,X,O,X,O,X
LSTJZIO,X,O,X,O,X
LSTJZOI,X,O,X,O,X
LSTJOIZ,X,O,X,O,X
LSTJOZI,X,O,X,O,X
LSTZIJO,X,O,X,O,O
LSTZIOJ,X,O,X,O,O
LSTZJIO,X,O,X,O,X
LSTZJOI,X,O,X,O,X
LSTZOIJ,X,O,X,O,O
LSTZOJI,O,O,X,O,X
LSTOIJZ,X,O,X,X,O
LSTOIZJ,X,O,X,O,O
LSTOJIZ,O,O,X,O,X
LSTOJZI,O,O,X,O,X
LSTOZIJ,X,O,X,O,O
LSTOZJI,O,O,X,O,X
LSITJZO,X,O,X,X,O
LSITJOZ,X,O,X,X,O
LSITZJO,X,O,X,O,O
LSITZOJ,X,O,X,O,O
LSITOJZ,X,O,X,X,O
LSITOZJ,X,O,X,O,O
LSIJTZO,X,O,X,O,X
LSIJTOZ,X,O,X,O,X
LSIJZTO,X,O,X,O,X
LSIJZOT,X,O,X,O,X
LSIJOTZ,X,X,X,O,X
LSIJOZT,X,O,X,O,X
LSIZTJO,X,O,X,O,O
LSIZTOJ,X,O,X,O,O
LSIZJTO,X,O,X,O,X
LSIZJOT,X,O,X,O,X
LSIZOTJ,X,O,X,O,O
LSIZOJT,O,O,X,O,X
LSIOTJZ,X,O,X,X,O
LSIOTZJ,X,O,X,O,O
LSIOJTZ,O,X,X,O,X
LSIOJZT,O,O,X,O,X
LSIOZTJ,X,O,X,O,O
LSIOZJT,O,O,X,O,X
LSJTIZO,X,O,X,O,X
LSJTIOZ,X,O,X,O,X
LSJTZIO,X,O,X,O,X
LSJTZOI,X,O,X,O,X
LSJTOIZ,X,O,X,O,X
LSJTOZI,X,O,X,O,X
LSJITZO,X,O,X,O,X
LSJITOZ,X,O,X,O,X
LSJIZTO,X,O,X,O,X
LSJIZOT,X,O,X,O,X
LSJIOTZ,X,X,X,O,X
LSJIOZT,X,O,X,O,X
LSJZTIO,X,O,X,O,X
LSJZTOI,X,O,X,O,X
LSJZITO,X,O,X,O,X
LSJZIOT,X,O,X,O,X
LSJZOTI,O,O,X,O,X
LSJZOIT,O,O,X,O,X
LSJOTIZ,O,O,X,O,X
LSJOTZI,O,O,X,O,X
LSJOITZ,O,X,X,O,X
LSJOIZT,O,O,X,O,X
LSJOZTI,O,O,X,O,X
LSJOZIT,O,O,X,O,X
LSZTIJO,X,O,X,O,O
LSZTIOJ,X,O,X,O,O
LSZTJIO,X,O,X,O,X
LSZTJOI,X,O,X,O,X
LSZTOIJ,X,O,X,O,O
LSZTOJI,O,O,X,O,X
LSZITJO,X,O,X,O,O
LSZITOJ,X,O,X,O,O
LSZIJTO,X,O,X,O,X
LSZIJOT,X,O,X,O,X
LSZIOTJ,X,O,X,O,O
LSZIOJT,O,O,X,O,X
LSZJTIO,X,O,X,O,X
LSZJTOI,X,O,X,O,X
LSZJITO,X,O,X,O,X
LSZJIOT,X,O,X,O,X
LSZJOTI,O,O,X,O,X
LSZJOIT,O,O,X,O,X
LSZOTIJ,X,O,X,O,O
LSZOTJI,O,O,X,O,X
LSZOITJ,X,O,X,O,O
LSZOIJT,O,O,X,O,X
LSZOJTI,O,O,X,O,X
LSZOJIT,O,O,X,O,X
LSOTIJZ,X,O,X,X,O
LSOTIZJ,X,O,X,O,O
LSOTJIZ,O,O,X,O,X
LSOTJZI,O,O,X,O,X
LSOTZIJ,X,O,X,O,O
LSOTZJI,O,O,X,O,X
LSOITJZ,X,O,X,X,O
LSOITZJ,X,O,X,O,O
LSOIJTZ,O,X,X,O,X
LSOIJZT,O,O,X,O,X
LSOIZTJ,X,O,X,O,O
LSOIZJT,O,O,X,O,X
LSOJTIZ,O,O,X,O,X
LSOJTZI,O,O,X,O,X
LSOJITZ,O,X,X,O,X
LSOJIZT,O,O,X,O,X
LSOJZTI,O,O,X,O,X
LSOJZIT,O,O,X,O,X
LSOZTIJ,X,O,X,O,O
LSOZTJI,O,O,X,O,X
LSOZITJ,X,O,X,O,O
LSOZIJT,O,O,X,O,X
LSOZJTI,O,O,X,O,X
LSOZJIT,O,O,X,O,X
LZTIJSO,X,O,O,X,O
LZTIJOS,X,X,O,X,O
LZTISJO,X,O,O,X,O
LZTISOJ,X,O,O,X,O
LZTIOJS,X,X,O,X,O
LZTIOSJ,X,X,O,X,O
LZTJISO,X,O,O,X,O
LZTJIOS,X,X,O,X,O
LZTJSIO,X,O,O,X,X
LZTJSOI,X,O,O,X,X
LZTJOIS,X,X,O,X,O
LZTJOSI,X,O,O,X,X
LZTSIJO,X,O,O,X,O
LZTSIOJ,X,O,O,X,O
LZTSJIO,X,O,O,X,X
LZTSJOI,X,O,O,X,X
LZTSOIJ,X,O,O,X,O
LZTSOJI,X,O,O,X,X
LZTOIJS,X,X,O,X,O
LZTOISJ,X,X,O,X,O
LZTOJIS,X,X,O,X,O
LZTOJSI,X,O,O,X,X
LZTOSIJ,X,O,O,X,O
LZTOSJI,X,O,O,X,X
LZITJSO,X,O,O,X,O
LZITJOS,X,X,X,X,O
LZITSJO,X,O,O,X,O
LZITSOJ,X,O,O,X,O
LZITOJS,X,X,O,X,O
LZITOSJ,X,X,O,X,O
LZIJTSO,O,O,O,X,O
LZIJTOS,X,X,O,X,O
LZIJSTO,O,O,O,X,X
LZIJSOT,X,O,X,X,X
LZIJOTS,X,X,O,X,O
LZIJOST,X,X,O,X,X
LZISTJO,X,O,O,X,O
LZISTOJ,X,O,O,X,O
LZISJTO,X,O,O,X,X
LZISJOT,X,O,X,X,X
LZISOTJ,X,O,X,X,O
LZISOJT,X,O,X,X,X
LZIOTJS,X,X,O,X,O
LZIOTSJ,X,X,O,X,O
LZIOJTS,O,X,O,X,O
LZIOJST,O,X,O,X,X
LZIOSTJ,X,X,O,X,O
LZIOSJT,O,X,O,X,X
LZJTISO,O,O,O,X,O
LZJTIOS,X,X,O,X,O
LZJTSIO,O,O,O,X,X
LZJTSOI,O,O,O,X,X
LZJTOIS,O,X,O,X,O
LZJTOSI,O,O,O,X,X
LZJITSO,O,O,O,X,O
LZJITOS,X,X,O,X,O
LZJISTO,O,O,O,X,X
LZJISOT,X,O,X,X,X
LZJIOTS,X,X,O,X,O
LZJIOST,X,X,O,X,X
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,O,O,X,X
LZJSIOT,O,O,X,X,X
LZJSOTI,O,O,X,X,X
LZJSOIT,O,O,X,X,X
LZJOTIS,O,X,O,X,O
LZJOTSI,O,O,O,X,X
LZJOITS,O,X,O,X,O
LZJOIST,O,X,O,X,X
LZJOSTI,O,O,O,X,X
LZJOSIT,O,O,O,X,X
LZSTIJO,X,O,O,X,O
LZSTIOJ,X,O,O,X,O
LZSTJIO,X,O,O,X,X
LZSTJOI,X,O,O,X,X
LZSTOIJ,X,O,O,X,O
LZSTOJI,O,O,O,X,X
LZSITJO,X,O,O,X,O
LZSITOJ,X,O,O,X,O
LZSIJTO,X,O,O,X,X
LZSIJOT,X,O,X,X,X
LZSIOTJ,X,O,X,X,O
LZSIOJT,O,O,X,X,X
LZSJTIO,X,O,O,X,X
LZSJTOI,X,O,O,X,X
LZSJITO,X,O,O,X,X
LZSJIOT,X,O,X,X,X
LZSJOTI,O,O,X,X,X
LZSJOIT,O,O,X,X,X
LZSOTIJ,X,O,X,X,O
LZSOTJI,O,O,X,X,X
LZSOITJ,X,O,X,X,O
LZSOIJT,O,O,X,X,X
LZSOJTI,O,O,X,X,X
LZSOJIT,O,O,X,X,X
LZOTIJS,X,X,O,X,O
LZOTISJ,X,X,O,X,O
LZOTJIS,X,X,O,X,O
LZOTJSI,X,O,O,X,X
LZOTSIJ,X,O,O,X,O
LZOTSJI,X,O,O,X,X
LZOITJS,X,X,O,X,O
LZOITSJ,X,X,O,X,O
LZOIJTS,O,X,O,X,O
LZOIJST,O,X,O,X,X
LZOISTJ,X,X,O,X,O
LZOISJT,O,X,O,X,X
LZOJTIS,O,X,O,X,O
LZOJTSI,O,O,O,X,X
LZOJITS,O,X,O,X,O
LZOJIST,O,X,O,X,X
LZOJSTI,O,O,O,X,X
LZOJSIT,O,O,O,X,X
LZOSTIJ,X,O,O,X,O
LZOSTJI,O,O,O,X,X
LZOSITJ,X,O,O,X,O
LZOSIJT,O,O,O,X,X
LZOSJTI,O,O,O,X,X
LZOSJIT,O,O,O,X,X
LOTIJSZ,X,X,O,X,O
LOTIJZS,X,X,O,X,O
LOTISJZ,X,X,X,X,O
LOTISZJ,X,X,O,O,O
LOTIZJS,X,X,O,X,O
LOTIZSJ,X,X,O,X,O
LOTJISZ,X,X,O,O,O
LOTJIZS,X,X,O,X,O
LOTJSIZ,X,O,O,O,X
LOTJSZI,X,O,O,O,X
LOTJZIS,X,X,O,X,O
LOTJZSI,X,O,O,X,X
LOTSIJZ,X,O,X,X,O
LOTSIZJ,X,O,O,O,O
LOTSJIZ,X,O,O,O,X
LOTSJZI,X,O,O,O,X
LOTSZIJ,X,O,O,O,O
LOTSZJI,X,O,O,O,X
LOTZIJS,X,X,O,X,O
LOTZISJ,X,X,O,X,O
LOTZJIS,X,X,O,X,O
LOTZJSI,X,O,O,X,X
LOTZSIJ,X,O,O,X,O
LOTZSJI,X,O,O,X,X
LOITJSZ,X,X,X,X,O
LOITJZS,X,X,O,X,O
LOITSJZ,X,X,X,X,O
LOITSZJ,X,X,O,O,O
LOITZJS,X,X,O,X,O
LOITZSJ,X,X,O,X,O
LOIJTSZ,O,X,O,O,O
LOIJTZS,O,X,O,X,O
LOIJSTZ,O,X,X,O,X
LOIJSZT,O,X,X,O,X
LOIJZTS,O,X,O,X,O
LOIJZST,O,X,O,X,X
LOISTJZ,X,X,X,X,O
LOISTZJ,X,X,X,O,O
LOISJTZ,O,X,X,O,X
LOISJZT,O,X,X,O,X
LOISZTJ,X,X,X,O,O
LOISZJT,O,X,X,O,X
LOIZTJS,X,X,O,X,O
LOIZTSJ,X,X,O,X,O
LOIZJTS,O,X,O,X,O
LOIZJST,O,X,O,X,X
LOIZSTJ,X,X,O,X,O
LOIZSJT,O,X,O,X,X
LOJTISZ,O,X,O,O,O
LOJTIZS,O,X,O,X,O
LOJTSIZ,O,O,O,O,X
LOJTSZI,O,O,O,O,X
LOJTZIS,O,X,O,X,O
LOJTZSI,O,O,O,X,X
LOJITSZ,O,X,O,O,O
LOJITZS,O,X,O,X,O
LOJISTZ,O,X,X,O,X
LOJISZT,O,X,X,O,X
LOJIZTS,O,X,O,X,O
LOJIZST,O,X,O,X,X
LOJSTIZ,O,O,X,O,X
LOJSTZI,O,O,X,O,X
LOJSITZ,O,X,X,O,X
LOJSIZT,O,O,X,O,X
LOJSZTI,O,O,X,O,X
LOJSZIT,O,O,X,O,X
LOJZTIS,O,X,O,X,O
LOJZTSI,O,O,O,X,X
LOJZITS,O,X,O,X,O
LOJZIST,O,X,O,X,X
LOJZSTI,O,O,O,X,X
LOJZSIT,O,O,O,X,X
LOSTIJZ,X,O,X,X,O
LOSTIZJ,X,O,X,O,O
LOSTJIZ,O,O,X,O,X
LOSTJZI,O,O,X,O,X
LOSTZIJ,X,O,X,O,O
LOSTZJI,O,O,X,O,X
LOSITJZ,X,O,X,X,O
LOSITZJ,X,O,X,O,O
LOSIJTZ,O,X,X,O,X
LOSIJZT,O,O,X,O,X
LOSIZTJ,X,O,X,O,O
LOSIZJT,O,O,X,O,X
LOSJTIZ,O,O,X,O,X
LOSJTZI,O,O,X,O,X
LOSJITZ,O,X,X,O,X
LOSJIZT,O,O,X,O,X
LOSJZTI,O,O,X,O,X
LOSJZIT,O,O,X,O,X
LOSZTIJ,X,O,X,O,O
LOSZTJI,O,O,X,O,X
LOSZITJ,X,O,X,O,O
LOSZIJT,O,O,X,O,X
LOSZJTI,O,O,X,O,X
LOSZJIT,O,O,X,O,X
LOZTIJS,X,X,O,X,O
LOZTISJ,X,X,O,X,O
LOZTJIS,X,X,O,X,O
LOZTJSI,X,O,O,X,X
LOZTSIJ,X,O,O,X,O
LOZTSJI,X,O,O,X,X
LOZITJS,X,X,O,X,O
LOZITSJ,X,X,O,X,O
LOZIJTS,O,X,O,X,O
LOZIJST,O,X,O,X,X
LOZISTJ,X,X,O,X,O
LOZISJT,O,X,O,X,X
LOZJTIS,O,X,O,X,O
LOZJTSI,O,O,O,X,X
LOZJITS,O,X,O,X,O
LOZJIST,O,X,O,X,X
LOZJSTI,O,O,O,X,X
LOZJSIT,O,O,O,X,X
LOZSTIJ,X,O,O,X,O
LOZSTJI,O,O,O,X,X
LOZSITJ,X,O,O,X,O
LOZSIJT,O,O,O,X,X
LOZSJTI,O,O,O,X,X
LOZSJIT,O,O,O,X,X
JTILSZO,O,O,O,O,O
JTILSOZ,O,O,O,O,O
JTILZSO,O,O,O,X,O
JTILZOS,X,X,O,X,O
JTILOSZ,X,X,O,O,O
JTILOZS,X,X,O,X,O
JTISLZO,O,O,O,O,X
JTISLOZ,O,O,O,O,X
JTISZLO,O,O,O,O,X
JTISZOL,O,O,O,O,X
JTISOLZ,O,O,O,O,X
JTISOZL,O,O,O,O,X
JTIZLSO,O,O,O,X,O
JTIZLOS,X,X,O,X,O
JTIZSLO,O,O,O,O,X
JTIZSOL,O,O,O,O,X
JTIZOLS,O,X,O,X,O
JTIZOSL,O,X,O,O,X
JTIOLSZ,O,X,O,O,O
JTIOLZS,O,X,O,X,O
JTIOSLZ,O,X,O,O,X
JTIOSZL,O,X,O,O,X
JTIOZLS,O,X,O,X,O
JTIOZSL,O,X,O,O,X
JTLISZO,O,O,O,O,O
JTLISOZ,O,O,O,O,O
JTLIZSO,O,O,O,X,O
JTLIZOS,X,X,O,X,O
JTLIOSZ,X,X,O,O,O
JTLIOZS,X,X,O,X,O
JTLSIZO,O,O,O,O,X
JTLSIOZ,O,O,O,O,X
JTLSZIO,O,O,O,O,X
JTLSZOI,O,O,O,O,X
JTLSOIZ,O,O,O,O,X
JTLSOZI,O,O,O,O,X
JTLZISO,O,O,O,X,O
JTLZIOS,X,X,O,X,O
JTLZSIO,O,O,O,X,X
JTLZSOI,O,O,O,X,X
JTLZOIS,O,X,O,X,O
JTLZOSI,O,O,O,X,X
JTLOISZ,O,X,O,O,O
JTLOIZS,O,X,O,X,O
JTLOSIZ,O,O,O,O,X
JTLOSZI,O,O,O,O,X
JTLOZIS,O,X,O,X,O
JTLOZSI,O,O,O,X,X
JTSILZO,O,O,O,O,X
JTSILOZ,O,O,O,O,X
JTSIZLO,O,O,O,O,X
JTSIZOL,O,O,O,O,X
JTSIOLZ,O,O,O,O,X
JTSIOZL,O,O,O,O,X
JTSLIZO,O,O,O,O,X
JTSLIOZ,O,O,O,O,X
JTSLZIO,O,O,O,O,X
JTSLZOI,O,O,O,O,X
JTSLOIZ,O,O,O,O,X
JTSLOZI,O,O,O,O,X
JTSZILO,O,O,O,O,X
JTSZIOL,O,O,O,O,X
JTSZLIO,O,O,O,O,X
JTSZLOI,O,O,O,O,X
JTSZOIL,O,O,O,O,X
JTSZOLI,O,O,O,O,X
JTSOILZ,O,O,O,O,X
JTSOIZL,O,O,O,O,X
JTSOLIZ,O,O,O,O,X
JTSOLZI,O,O,O,O,X
JTSOZIL,O,O,O,O,X
JTSOZLI,O,O,O,O,X
JTZILSO,O,O,O,X,O
JTZILOS,X,X,O,X,O
JTZISLO,O,O,O,O,X
JTZISOL,O,O,O,O,X
JTZIOLS,O,X,O,X,O
JTZIOSL,O,X,O,O,X
JTZLISO,O,O,O,X,O
JTZLIOS,X,X,O,X,O
JTZLSIO,O,O,O,X,X
JTZLSOI,O,O,O,X,X
JTZLOIS,O,X,O,X,O
JTZLOSI,O,O,O,X,X
JTZSILO,O,O,O,O,X
JTZSIOL,O,O,O,O,X
JTZSLIO,O,O,O,O,X
JTZSLOI,O,O,O,O,X
JTZSOIL,O,O,O,O,X
JTZSOLI,O,O,O,O,X
JTZOILS,O,X,O,X,O
JTZOISL,O,X,O,O,X
JTZOLIS,O,X,O,X,O
JTZOLSI,O,O,O,X,X
JTZOSIL,O,O,O,O,X
JTZOSLI,O,O,O,O,X
JTOILSZ,O,X,O,O,O
JTOILZS,O,X,O,X,O
JTOISLZ,O,X,O,O,X
JTOISZL,O,X,O,O,X
JTOIZLS,O,X,O,X,O
JTOIZSL,O,X,O,O,X
JTOLISZ,O,X,O,O,O
JTOLIZS,O,X,O,X,O
