sequence,v115@PhE8EeF8EeA8Je2EJvhFRgBCjBfrBlmB0sBzrB,v115@PhE8EeF8EeA8JeT/IvhF/lBamBWnBxnB1wB0sB,v115@PhE8EeF8EeA8JeT/IvhFmgBfnBxiB0lBqsB1wB,v115@PhE8EeF8EeA8JeT/IvhF/lB1mBxiBqsBmrBUrB,v115@PhE8EeF8EeA8JeT/IvhFxgBymB+nB0lB1wBXtB,v115@PhE8EeF8EeA8JeT/IvhFxgB6nBllBcrBesBXtB,v115@PhE8EeF8EeA8JeT/IvhF2lBCjBUnBfrBlmBRxB
TOIJSLZ,X,O,X,X,X,X,X
TOIJSZL,X,O,X,X,X,X,X
TOIJZLS,X,X,X,X,O,O,O
TOIJZSL,X,O,X,X,O,O,X
TOISLJZ,X,O,X,O,X,X,X
TOISLZJ,X,O,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X
TOISZLJ,X,O,X,X,X,X,X
TOISZJL,X,O,X,X,X,O,X
TOIZLJS,X,X,O,X,O,O,O
TOIZLSJ,X,X,O,X,O,X,X
TOIZJLS,X,X,O,X,O,O,O
TOIZJSL,X,O,X,X,O,O,X
TOIZSLJ,X,O,X,X,O,X,X
TOIZSJL,X,O,X,X,O,O,X
TOLIJSZ,X,O,X,O,X,X,X
TOLIJZS,X,X,X,O,O,X,O
TOLISJZ,X,O,O,O,X,X,X
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,X,X,O,X,O,O,O
TOLIZSJ,X,X,O,X,O,X,X
TOLJISZ,X,O,X,O,X,X,X
TOLJIZS,X,X,X,O,O,X,O
TOLJSIZ,X,O,O,O,X,X,X
TOLJSZI,X,O,O,O,O,X,X
TOLJZIS,X,X,O,O,O,X,X
TOLJZSI,X,X,O,O,O,X,X
TOLSIJZ,X,O,O,O,X,X,X
TOLSIZJ,X,O,O,X,X,X,X
TOLSJIZ,X,O,O,O,X,X,X
TOLSJZI,X,O,O,O,O,X,X
TOLSZIJ,X,O,O,X,O,X,X
TOLSZJI,X,O,O,X,O,X,X
TOLZIJS,X,X,O,X,O,O,X
TOLZISJ,X,X,O,X,O,X,X
TOLZJIS,X,X,O,X,O,O,X
TOLZJSI,X,X,O,X,O,O,X
TOLZSIJ,X,X,O,X,O,X,X
TOLZSJI,X,X,O,X,O,X,X
TOJILSZ,X,O,X,X,X,X,X
TOJILZS,X,X,X,X,O,X,O
TOJISLZ,X,O,X,X,X,X,X
TOJISZL,X,O,X,X,X,X,X
TOJIZLS,X,X,X,X,O,O,O
TOJIZSL,X,O,X,X,O,O,X
TOJLISZ,X,O,X,O,X,X,X
TOJLIZS,X,X,X,O,O,X,O
TOJLSIZ,X,O,O,O,X,X,X
TOJLSZI,X,O,O,O,O,X,X
TOJLZIS,X,X,O,O,O,O,X
TOJLZSI,X,X,O,O,O,O,X
TOJSILZ,X,O,X,X,X,X,X
TOJSIZL,X,O,X,X,X,X,X
TOJSLIZ,X,O,X,O,X,X,X
TOJSLZI,X,O,X,O,O,X,X
TOJSZIL,X,O,X,X,O,X,X
TOJSZLI,X,O,X,X,O,X,X
TOJZILS,X,X,O,X,O,O,X
TOJZISL,X,O,X,X,O,O,X
TOJZLIS,X,X,O,X,O,O,X
TOJZLSI,X,X,O,X,O,O,X
TOJZSIL,X,O,X,X,O,O,X
TOJZSLI,X,O,O,X,O,O,X
TOSILJZ,X,O,X,O,X,X,X
TOSILZJ,X,O,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X
TOSIJZL,X,O,X,X,X,X,X
TOSIZLJ,X,O,X,X,X,X,X
TOSIZJL,X,O,X,X,X,O,X
TOSLIJZ,X,O,O,O,X,X,X
TOSLIZJ,X,O,O,X,X,X,X
TOSLJIZ,X,O,O,O,X,X,X
TOSLJZI,X,O,O,O,O,X,X
TOSLZIJ,X,O,O,X,O,X,X
TOSLZJI,X,O,O,X,O,X,X
TOSJILZ,X,O,X,X,X,X,X
TOSJIZL,X,O,X,X,X,X,X
TOSJLIZ,X,O,X,O,X,X,X
TOSJLZI,X,O,X,O,O,X,X
TOSJZIL,X,O,X,X,O,X,X
TOSJZLI,X,O,X,X,O,X,X
TOSZILJ,X,O,X,X,O,X,X
TOSZIJL,X,O,X,X,O,O,X
TOSZLIJ,X,O,O,X,O,X,X
TOSZLJI,X,O,O,X,O,X,X
TOSZJIL,X,O,X,X,O,O,X
TOSZJLI,X,O,O,X,O,O,X
TOZILJS,X,X,O,X,O,O,X
TOZILSJ,X,X,O,X,O,X,X
TOZIJLS,X,X,O,X,O,O,X
TOZIJSL,X,O,X,X,O,O,X
TOZISLJ,X,O,X,X,O,X,X
TOZISJL,X,O,X,X,O,O,X
TOZLIJS,X,X,O,X,O,O,X
TOZLISJ,X,X,O,X,O,X,X
TOZLJIS,X,X,O,X,O,O,X
TOZLJSI,X,X,O,X,O,O,X
TOZLSIJ,X,X,O,X,O,X,X
TOZLSJI,X,X,O,X,O,X,X
TOZJILS,X,X,O,X,O,O,X
TOZJISL,X,O,X,X,O,O,X
TOZJLIS,X,X,O,X,O,O,X
TOZJLSI,X,X,O,X,O,O,X
TOZJSIL,X,O,X,X,O,O,X
TOZJSLI,X,O,O,X,O,O,X
TOZSILJ,X,O,X,X,O,X,X
TOZSIJL,X,O,X,X,O,O,X
TOZSLIJ,X,O,O,X,O,X,X
TOZSLJI,X,O,O,X,O,X,X
TOZSJIL,X,O,X,X,O,O,X
TOZSJLI,X,O,O,X,O,O,X
ITLJSZO,X,O,X,O,X,X,X
ITLJSOZ,X,O,X,O,X,X,X
ITLJZSO,X,X,X,O,O,X,X
ITLJZOS,X,X,X,O,O,X,O
ITLJOSZ,X,O,X,O,X,X,X
ITLJOZS,X,X,X,O,O,X,O
ITLSJZO,X,O,O,O,X,X,X
ITLSJOZ,X,O,O,O,X,X,X
ITLSZJO,X,O,O,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X
ITLSOJZ,X,O,O,O,X,X,X
ITLSOZJ,X,O,O,X,X,X,X
ITLZJSO,X,X,O,X,O,O,X
ITLZJOS,X,X,O,X,O,O,O
ITLZSJO,X,X,O,X,O,X,X
ITLZSOJ,X,X,O,X,O,X,X
ITLZOJS,X,X,O,X,O,O,O
ITLZOSJ,X,X,O,X,O,X,X
ITLOJSZ,X,O,X,O,X,X,X
ITLOJZS,X,X,X,O,O,X,O
ITLOSJZ,X,O,O,O,X,X,X
ITLOSZJ,X,O,O,X,X,X,X
ITLOZJS,X,X,O,X,O,O,O
ITLOZSJ,X,X,O,X,O,X,X
ITJLSZO,X,O,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X
ITJLZSO,X,X,X,X,O,X,X
ITJLZOS,X,X,X,X,O,X,O
ITJLOSZ,X,O,X,X,X,X,X
ITJLOZS,X,X,X,X,O,X,O
ITJSLZO,X,O,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X
ITJZLSO,X,X,X,X,O,O,X
ITJZLOS,X,X,X,X,O,O,O
ITJZSLO,X,O,X,X,O,O,X
ITJZSOL,X,O,X,X,O,O,X
ITJZOLS,X,X,X,X,O,O,O
ITJZOSL,X,O,X,X,O,O,X
ITJOLSZ,X,O,X,X,X,X,X
ITJOLZS,X,X,X,X,O,X,O
ITJOSLZ,X,O,X,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X
ITJOZLS,X,X,X,X,O,O,O
ITJOZSL,X,O,X,X,O,O,X
ITSLJZO,X,O,X,O,X,X,X
ITSLJOZ,X,O,X,O,X,X,X
ITSLZJO,X,O,X,X,X,X,X
ITSLZOJ,X,O,X,X,X,X,X
ITSLOJZ,X,O,X,O,X,X,X
ITSLOZJ,X,O,X,X,X,X,X
ITSJLZO,X,O,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,X,X
ITSJZLO,X,O,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X
ITSZLJO,X,O,X,X,X,X,X
ITSZLOJ,X,O,X,X,X,X,X
ITSZJLO,X,O,X,X,X,O,X
ITSZJOL,X,O,X,X,X,O,X
ITSZOLJ,X,O,X,X,X,X,X
ITSZOJL,X,O,X,X,X,O,X
ITSOLJZ,X,O,X,O,X,X,X
ITSOLZJ,X,O,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X
ITSOZLJ,X,O,X,X,X,X,X
ITSOZJL,X,O,X,X,X,O,X
ITZLJSO,X,X,O,X,O,O,X
ITZLJOS,X,X,O,X,O,O,O
ITZLSJO,X,X,O,X,O,X,X
ITZLSOJ,X,X,O,X,O,X,X
ITZLOJS,X,X,O,X,O,O,O
ITZLOSJ,X,X,O,X,O,X,X
ITZJLSO,X,X,O,X,O,O,X
ITZJLOS,X,X,O,X,O,O,O
ITZJSLO,X,O,X,X,O,O,X
ITZJSOL,X,O,X,X,O,O,X
ITZJOLS,X,X,O,X,O,O,O
ITZJOSL,X,O,X,X,O,O,X
ITZSLJO,X,O,X,X,O,X,X
ITZSLOJ,X,O,X,X,O,X,X
ITZSJLO,X,O,X,X,O,O,X
ITZSJOL,X,O,X,X,O,O,X
ITZSOLJ,X,O,X,X,O,X,X
ITZSOJL,X,O,X,X,O,O,X
ITZOLJS,X,X,O,X,O,O,O
ITZOLSJ,X,X,O,X,O,X,X
ITZOJLS,X,X,O,X,O,O,O
ITZOJSL,X,O,X,X,O,O,X
ITZOSLJ,X,O,X,X,O,X,X
ITZOSJL,X,O,X,X,O,O,X
ITOLJSZ,X,O,X,O,X,X,X
ITOLJZS,X,X,X,O,O,X,O
ITOLSJZ,X,O,O,O,X,X,X
ITOLSZJ,X,O,O,X,X,X,X
ITOLZJS,X,X,O,X,O,O,O
ITOLZSJ,X,X,O,X,O,X,X
ITOJLSZ,X,O,X,X,X,X,X
ITOJLZS,X,X,X,X,O,X,O
ITOJSLZ,X,O,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X
ITOJZLS,X,X,X,X,O,O,O
ITOJZSL,X,O,X,X,O,O,X
ITOSLJZ,X,O,X,O,X,X,X
ITOSLZJ,X,O,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X
ITOSZLJ,X,O,X,X,X,X,X
ITOSZJL,X,O,X,X,X,O,X
ITOZLJS,X,X,O,X,O,O,O
ITOZLSJ,X,X,O,X,O,X,X
ITOZJLS,X,X,O,X,O,O,O
ITOZJSL,X,O,X,X,O,O,X
ITOZSLJ,X,O,X,X,O,X,X
ITOZSJL,X,O,X,X,O,O,X
ILTJSZO,X,O,X,O,X,X,X
ILTJSOZ,X,O,X,O,X,X,X
ILTJZSO,X,X,X,O,X,X,X
ILTJZOS,X,X,X,O,X,X,O
ILTJOSZ,X,O,X,O,X,X,X
ILTJOZS,X,X,X,O,X,X,O
ILTSJZO,X,O,O,O,X,X,X
ILTSJOZ,X,O,O,O,X,X,X
ILTSZJO,X,O,O,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X
ILTSOJZ,X,O,O,O,X,X,X
ILTSOZJ,X,O,O,X,X,X,X
ILTZJSO,X,X,O,X,X,X,X
ILTZJOS,X,X,O,X,X,X,O
ILTZSJO,X,X,O,X,X,X,X
ILTZSOJ,X,X,O,X,X,X,X
ILTZOJS,X,X,O,X,X,X,O
ILTZOSJ,X,X,O,X,X,X,X
ILTOJSZ,X,O,X,O,X,X,X
ILTOJZS,X,X,X,O,X,X,O
ILTOSJZ,X,O,O,O,X,X,X
ILTOSZJ,X,O,O,X,X,X,X
ILTOZJS,X,X,O,X,X,X,O
ILTOZSJ,X,X,O,X,X,X,X
ILJTSZO,O,X,X,O,X,X,X
ILJTSOZ,X,X,X,O,X,X,X
ILJTZSO,O,X,X,O,X,X,X
ILJTZOS,X,X,X,O,X,X,O
ILJTOSZ,X,X,X,O,X,X,X
ILJTOZS,X,X,X,O,X,X,O
ILJSTZO,O,X,X,O,X,X,X
ILJSTOZ,X,X,X,O,X,X,X
ILJSZTO,O,X,X,O,X,X,X
ILJSZOT,O,X,X,O,X,X,O
ILJSOTZ,X,X,X,O,X,X,X
ILJSOZT,O,X,X,O,X,X,O
ILJZTSO,O,X,X,O,X,X,X
ILJZTOS,X,X,X,O,X,X,O
ILJZSTO,O,X,X,O,X,X,X
ILJZSOT,O,X,X,O,X,X,O
ILJZOTS,X,X,X,O,X,X,O
ILJZOST,O,X,X,O,X,X,O
ILJOTSZ,X,X,X,O,X,X,X
ILJOTZS,X,X,X,O,X,X,O
ILJOSTZ,X,X,X,O,X,X,X
ILJOSZT,O,X,X,O,X,X,O
ILJOZTS,X,X,X,O,X,X,O
ILJOZST,O,X,X,O,X,X,O
ILSTJZO,O,O,X,O,X,X,X
ILSTJOZ,X,O,X,O,X,X,X
ILSTZJO,O,O,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X
ILSTOJZ,X,O,X,O,X,X,X
ILSTOZJ,X,O,X,X,X,X,X
ILSJTZO,O,X,X,O,X,X,X
ILSJTOZ,X,X,X,O,X,X,X
ILSJZTO,O,X,X,O,X,X,X
ILSJZOT,O,X,X,O,X,X,O
ILSJOTZ,X,X,X,O,X,X,X
ILSJOZT,O,X,X,O,X,X,O
ILSZTJO,O,O,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X
ILSZJTO,O,X,X,O,X,X,X
ILSZJOT,O,X,X,O,X,X,O
ILSZOTJ,O,O,X,X,X,X,X
ILSZOJT,O,X,X,O,X,X,O
ILSOTJZ,X,O,X,O,X,X,X
ILSOTZJ,X,O,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X,X
ILSOJZT,O,X,X,O,X,X,O
ILSOZTJ,O,O,X,X,X,X,X
ILSOZJT,O,X,X,O,X,X,O
ILZTJSO,X,X,O,X,X,X,X
ILZTJOS,X,X,O,X,X,X,O
ILZTSJO,X,X,O,X,X,X,X
ILZTSOJ,X,X,O,X,X,X,X
ILZTOJS,X,X,O,X,X,X,O
ILZTOSJ,X,X,O,X,X,X,X
ILZJTSO,O,X,O,O,X,X,X
ILZJTOS,X,X,O,O,X,X,O
ILZJSTO,O,X,X,O,X,X,X
ILZJSOT,O,X,X,O,X,X,O
ILZJOTS,X,X,O,O,X,X,O
ILZJOST,O,X,X,O,X,X,O
ILZSTJO,O,O,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X
ILZSJOT,O,X,X,O,X,X,O
ILZSOTJ,O,O,X,X,X,X,X
ILZSOJT,O,X,X,O,X,X,O
ILZOTJS,X,X,O,X,X,X,O
ILZOTSJ,X,X,O,X,X,X,X
ILZOJTS,X,X,O,O,X,X,O
ILZOJST,X,X,X,O,X,X,O
ILZOSTJ,X,O,X,X,X,X,X
ILZOSJT,X,X,X,O,X,X,O
ILOTJSZ,X,O,X,O,X,X,X
ILOTJZS,X,X,X,O,X,X,O
ILOTSJZ,X,O,O,O,X,X,X
ILOTSZJ,X,O,O,X,X,X,X
ILOTZJS,X,X,O,X,X,X,O
ILOTZSJ,X,X,O,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,X
ILOJTZS,X,X,X,O,X,X,O
ILOJSTZ,X,X,X,O,X,X,X
ILOJSZT,X,X,X,O,X,X,O
ILOJZTS,X,X,X,O,X,X,O
ILOJZST,X,X,X,O,X,X,O
ILOSTJZ,X,O,X,O,X,X,X
ILOSTZJ,X,O,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X,X
ILOSJZT,X,X,X,O,X,X,O
ILOSZTJ,X,O,X,X,X,X,X
ILOSZJT,X,X,X,O,X,X,O
ILOZTJS,X,X,O,X,X,X,O
ILOZTSJ,X,X,O,X,X,X,X
ILOZJTS,X,X,O,O,X,X,O
ILOZJST,X,X,X,O,X,X,O
ILOZSTJ,X,O,X,X,X,X,X
ILOZSJT,X,X,X,O,X,X,O
IJTLSZO,O,O,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X
IJTLZSO,O,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,X,O
IJTLOSZ,X,O,X,X,X,X,X
IJTLOZS,X,X,X,X,X,X,O
IJTSLZO,O,O,X,X,X,X,X
IJTSLOZ,X,O,X,X,X,X,X
IJTSZLO,O,O,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,X
IJTSOZL,X,O,X,X,X,X,X
IJTZLSO,O,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,X,O
IJTZSLO,O,O,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X
IJTZOLS,X,X,X,X,X,X,O
IJTZOSL,X,O,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,X,X
IJTOLZS,X,X,X,X,X,X,O
IJTOSLZ,X,O,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X,O
IJTOZSL,X,O,X,X,X,X,X
IJLTSZO,O,X,X,O,X,X,X
IJLTSOZ,X,X,X,O,X,X,X
IJLTZSO,O,X,X,O,X,X,X
IJLTZOS,X,X,X,O,X,X,O
IJLTOSZ,X,X,X,O,X,X,X
IJLTOZS,X,X,X,O,X,X,O
IJLSTZO,O,X,X,O,X,X,X
IJLSTOZ,X,X,X,O,X,X,X
IJLSZTO,O,X,X,O,X,X,X
IJLSZOT,O,X,X,O,X,X,O
IJLSOTZ,X,X,X,O,X,X,X
IJLSOZT,O,X,X,O,X,X,O
IJLZTSO,O,X,X,O,X,O,X
IJLZTOS,X,X,X,O,X,O,O
IJLZSTO,O,X,X,O,X,X,X
IJLZSOT,O,X,X,O,X,X,O
IJLZOTS,X,X,X,O,X,O,O
IJLZOST,O,X,X,O,X,X,O
IJLOTSZ,X,X,X,O,X,X,X
IJLOTZS,X,X,X,O,X,X,O
IJLOSTZ,X,X,X,O,X,X,X
IJLOSZT,O,X,X,O,X,X,O
IJLOZTS,X,X,X,O,X,O,O
IJLOZST,O,X,X,O,X,X,O
IJSTLZO,O,O,X,X,X,X,X
IJSTLOZ,X,O,X,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X
IJSLTZO,O,X,X,O,X,X,X
IJSLTOZ,X,X,X,O,X,X,X
IJSLZTO,O,X,X,O,X,X,X
IJSLZOT,O,X,X,O,X,X,O
IJSLOTZ,X,X,X,O,X,X,X
IJSLOZT,O,X,X,O,X,X,O
IJSZTLO,O,O,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X
IJSZLTO,O,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,X,O
IJSZOTL,O,O,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,O
IJSOTLZ,X,O,X,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,X,X
IJSOLZT,O,X,X,O,X,X,O
IJSOZTL,O,O,X,X,X,X,X
IJSOZLT,O,X,X,X,X,X,O
IJZTLSO,O,X,X,X,X,O,X
IJZTLOS,X,X,X,X,X,O,O
IJZTSLO,O,X,X,X,X,O,X
IJZTSOL,O,X,X,X,X,O,X
IJZTOLS,X,X,X,X,X,O,O
IJZTOSL,X,X,X,X,X,O,X
IJZLTSO,O,X,X,X,X,O,X
IJZLTOS,X,X,X,X,X,O,O
IJZLSTO,O,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,O
IJZLOTS,X,X,X,X,X,O,O
IJZLOST,O,X,X,X,X,X,O
IJZSTLO,O,O,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X
IJZSLTO,O,X,X,X,X,X,X
IJZSLOT,O,X,X,X,X,X,O
IJZSOTL,O,O,X,X,X,X,X
IJZSOLT,O,X,X,X,X,X,O
IJZOTLS,X,X,X,X,X,O,O
IJZOTSL,X,X,X,X,X,O,X
IJZOLTS,X,X,X,X,X,O,O
IJZOLST,O,X,X,X,X,X,O
IJZOSTL,O,O,X,X,X,X,X
IJZOSLT,O,X,X,X,X,X,O
IJOTLSZ,X,O,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,O
IJOTSLZ,X,O,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,O
IJOTZSL,X,O,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X
IJOLTZS,X,X,X,O,X,X,O
IJOLSTZ,X,X,X,O,X,X,X
IJOLSZT,O,X,X,O,X,X,O
IJOLZTS,X,X,X,O,X,O,O
IJOLZST,O,X,X,O,X,X,O
IJOSTLZ,X,O,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X
IJOSLTZ,X,X,X,O,X,X,X
IJOSLZT,O,X,X,O,X,X,O
IJOSZTL,O,O,X,X,X,X,X
IJOSZLT,O,X,X,X,X,X,O
IJOZTLS,X,X,X,X,X,O,O
IJOZTSL,X,X,X,X,X,O,X
IJOZLTS,X,X,X,X,X,O,O
IJOZLST,O,X,X,X,X,X,O
IJOZSTL,O,O,X,X,X,X,X
IJOZSLT,O,X,X,X,X,X,O
ISTLJZO,O,O,X,O,X,X,X
ISTLJOZ,X,O,X,O,X,X,X
ISTLZJO,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,X,O,X,O,X,X,X
ISTLOZJ,X,O,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X
ISTOLJZ,X,O,X,O,X,X,X
ISTOLZJ,X,O,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,X
ISTOZJL,X,O,X,X,X,X,X
ISLTJZO,O,O,X,O,X,X,X
ISLTJOZ,X,O,X,O,X,X,X
ISLTZJO,O,O,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X
ISLTOJZ,X,O,X,O,X,X,X
ISLTOZJ,X,O,X,X,X,X,X
ISLJTZO,O,X,X,O,X,X,X
ISLJTOZ,X,X,X,O,X,X,X
ISLJZTO,O,X,X,O,X,X,X
ISLJZOT,O,X,X,O,X,X,O
ISLJOTZ,X,X,X,O,X,X,X
ISLJOZT,O,X,X,O,X,X,O
ISLZTJO,O,O,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,X
ISLZJTO,O,X,X,O,X,X,X
ISLZJOT,O,X,X,O,X,X,O
ISLZOTJ,O,O,X,X,X,X,X
ISLZOJT,O,X,X,O,X,X,O
ISLOTJZ,X,O,X,O,X,X,X
ISLOTZJ,X,O,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,X
ISLOJZT,O,X,X,O,X,X,O
ISLOZTJ,O,O,X,X,X,X,X
ISLOZJT,O,X,X,O,X,X,O
ISJTLZO,O,O,X,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X
ISJTZLO,O,O,X,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X
ISJLTZO,O,X,X,O,X,X,X
ISJLTOZ,X,X,X,O,X,X,X
ISJLZTO,O,X,X,O,X,X,X
ISJLZOT,O,X,X,O,X,X,O
ISJLOTZ,X,X,X,O,X,X,X
ISJLOZT,O,X,X,O,X,X,O
ISJZTLO,O,O,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X
ISJZLTO,O,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,X,O
ISJZOTL,O,O,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,O
ISJOTLZ,X,O,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,X,X
ISJOLZT,O,X,X,O,X,X,O
ISJOZTL,O,O,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,O
ISZTLJO,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X
ISZLJTO,O,X,X,O,X,X,X
ISZLJOT,O,X,X,O,X,X,O
ISZLOTJ,O,O,X,X,X,X,X
ISZLOJT,O,X,X,O,X,X,O
ISZJTLO,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X
ISZJLTO,O,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,O
ISZJOTL,O,O,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,O
ISZOTLJ,O,O,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X
ISZOLJT,O,X,X,O,X,X,O
ISZOJTL,O,O,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,O
ISOTLJZ,X,O,X,O,X,X,X
ISOTLZJ,X,O,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X
ISOTZLJ,X,O,X,X,X,X,X
ISOTZJL,X,O,X,X,X,X,X
ISOLTJZ,X,O,X,O,X,X,X
ISOLTZJ,X,O,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,X,X
ISOLJZT,O,X,X,O,X,X,O
ISOLZTJ,O,O,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X,O
ISOJTLZ,X,O,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X
ISOJLZT,O,X,X,O,X,X,O
ISOJZTL,O,O,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,O
ISOZTLJ,O,O,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X
ISOZLJT,O,X,X,O,X,X,O
ISOZJTL,O,O,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,O
IZTLJSO,X,X,O,X,O,O,X
IZTLJOS,X,X,O,X,O,O,O
IZTLSJO,X,X,O,X,O,X,X
IZTLSOJ,X,X,O,X,O,X,X
IZTLOJS,X,X,O,X,O,O,O
IZTLOSJ,X,X,O,X,O,X,X
IZTJLSO,X,X,O,X,O,O,X
IZTJLOS,X,X,O,X,O,O,O
IZTJSLO,X,O,X,X,O,O,X
IZTJSOL,X,O,X,X,O,O,X
IZTJOLS,X,X,O,X,O,O,O
IZTJOSL,X,O,X,X,O,O,X
IZTSLJO,X,O,X,X,O,X,X
IZTSLOJ,X,O,X,X,O,X,X
IZTSJLO,X,O,X,X,O,O,X
IZTSJOL,X,O,X,X,O,O,X
IZTSOLJ,X,O,X,X,O,X,X
IZTSOJL,X,O,X,X,O,O,X
IZTOLJS,X,X,O,X,O,O,O
IZTOLSJ,X,X,O,X,O,X,X
IZTOJLS,X,X,O,X,O,O,O
IZTOJSL,X,O,X,X,O,O,X
IZTOSLJ,X,O,X,X,O,X,X
