sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
TJOLSIZ,O,X,X,X,O
TJOLSZI,O,X,X,X,O
TJOLZIS,X,X,O,O,O
TJOLZSI,O,X,X,O,O
TJOSILZ,O,X,X,X,O
TJOSIZL,O,X,X,O,X
TJOSLIZ,O,X,X,X,O
TJOSLZI,O,X,X,X,O
TJOSZIL,O,X,X,O,X
TJOSZLI,O,X,X,O,X
TJOZILS,X,X,O,O,O
TJOZISL,X,X,X,O,X
TJOZLIS,X,X,O,O,O
TJOZLSI,O,X,X,O,O
TJOZSIL,O,X,X,O,X
TJOZSLI,O,X,X,O,X
TSILJZO,O,O,X,X,X
TSILJOZ,X,O,X,X,X
TSILZJO,O,O,X,X,X
TSILZOJ,O,O,X,X,X
TSILOJZ,O,O,X,X,X
TSILOZJ,O,O,X,X,X
TSIJLZO,O,O,X,X,X
TSIJLOZ,X,O,X,X,X
TSIJZLO,O,O,X,X,X
TSIJZOL,X,O,X,X,X
TSIJOLZ,X,O,X,X,X
TSIJOZL,X,O,X,X,X
TSIZLJO,O,O,X,X,X
TSIZLOJ,O,O,X,X,X
TSIZJLO,O,O,X,X,X
TSIZJOL,X,O,X,X,X
TSIZOLJ,O,O,X,X,X
TSIZOJL,O,O,X,X,X
TSIOLJZ,O,O,X,X,X
TSIOLZJ,O,O,X,X,X
TSIOJLZ,O,O,X,X,X
TSIOJZL,O,O,X,X,X
TSIOZLJ,O,O,X,X,X
TSIOZJL,O,O,X,X,X
TSLIJZO,O,O,X,X,X
TSLIJOZ,X,O,X,X,X
TSLIZJO,O,O,X,X,X
TSLIZOJ,O,O,X,X,X
TSLIOJZ,O,O,X,X,X
TSLIOZJ,O,O,X,X,X
TSLJIZO,O,O,X,X,O
TSLJIOZ,X,O,X,X,O
TSLJZIO,O,X,X,X,O
TSLJZOI,O,X,X,X,O
TSLJOIZ,O,O,X,X,O
TSLJOZI,O,X,X,X,O
TSLZIJO,O,O,X,X,X
TSLZIOJ,O,O,X,X,X
TSLZJIO,O,X,X,X,X
TSLZJOI,O,X,X,X,X
TSLZOIJ,O,O,X,X,X
TSLZOJI,O,X,X,X,X
TSLOIJZ,O,O,X,X,X
TSLOIZJ,O,O,X,X,X
TSLOJIZ,O,O,X,X,O
