sequence,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFRgBcmBOnBTjB6q?B1wB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFFgBxhBTjBqqBmm?B0rB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFRgBFiBTjB6qB0m?B2wB,v115@OhA8BeA8AeA8DeF8DeC8Jex/IvhFOnBTjBlkBCmB0r?BXrB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFUgBFhBOnBTjBSr?BRwB
TOLSJIZ,O,O,O,X,X
TOLSJZI,O,O,O,X,X
TOLSZIJ,O,O,O,X,X
TOLSZJI,O,O,X,X,X
TOLZIJS,O,X,X,O,X
TOLZISJ,O,O,X,O,X
TOLZJIS,O,O,X,O,X
TOLZJSI,O,O,X,O,X
TOLZSIJ,O,O,O,O,X
TOLZSJI,O,O,X,O,X
TOJILSZ,O,X,O,X,X
TOJILZS,O,X,X,O,X
TOJISLZ,O,X,O,X,X
TOJISZL,O,X,O,O,X
TOJIZLS,O,X,X,O,X
TOJIZSL,O,X,X,O,X
TOJLISZ,O,X,O,X,X
TOJLIZS,O,X,X,O,X
TOJLSIZ,O,X,O,X,X
TOJLSZI,O,X,O,X,X
TOJLZIS,O,X,O,O,X
TOJLZSI,O,X,O,O,X
TOJSILZ,O,X,O,X,O
TOJSIZL,O,X,O,O,O
TOJSLIZ,O,X,O,X,X
TOJSLZI,O,X,O,X,X
TOJSZIL,O,X,O,O,X
TOJSZLI,O,X,O,O,X
TOJZILS,O,X,O,O,X
TOJZISL,O,X,O,O,X
TOJZLIS,O,X,O,O,X
TOJZLSI,O,X,O,O,X
TOJZSIL,O,X,O,O,X
TOJZSLI,O,X,O,O,X
TOSILJZ,O,O,O,X,O
TOSILZJ,O,O,O,X,O
TOSIJLZ,O,O,O,X,O
TOSIJZL,O,X,O,O,O
TOSIZLJ,O,O,O,O,O
TOSIZJL,O,O,O,O,O
TOSLIJZ,O,O,O,X,X
TOSLIZJ,O,O,O,X,X
TOSLJIZ,O,O,O,X,X
TOSLJZI,O,O,O,X,X
TOSLZIJ,O,O,O,X,X
TOSLZJI,O,O,X,X,X
TOSJILZ,O,O,O,X,O
TOSJIZL,O,X,O,O,O
