sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
TZIOSLJ,X,O,X,X
TZIOSJL,O,X,X,X
TZLIJSO,O,X,X,X
TZLIJOS,O,X,X,X
TZLISJO,O,X,X,X
TZLISOJ,O,O,X,X
TZLIOJS,O,X,X,X
TZLIOSJ,O,O,X,X
TZLJISO,O,X,X,X
TZLJIOS,O,X,X,X
TZLJSIO,O,X,X,X
TZLJSOI,O,X,X,X
TZLJOIS,O,X,X,X
TZLJOSI,O,X,X,X
TZLSIJO,O,X,X,X
TZLSIOJ,O,O,X,X
TZLSJIO,O,X,X,X
TZLSJOI,O,X,X,X
TZLSOIJ,O,O,X,X
TZLSOJI,O,X,X,X
TZLOIJS,O,X,X,X
TZLOISJ,O,O,X,X
TZLOJIS,O,X,X,X
TZLOJSI,O,X,X,X
TZLOSIJ,O,O,X,X
TZLOSJI,O,X,X,X
TZJILSO,X,X,X,X
TZJILOS,X,X,X,X
TZJISLO,X,X,X,X
TZJISOL,X,X,X,X
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,X,X,X
TZJLIOS,X,X,X,X
TZJLSIO,X,X,X,X
TZJLSOI,X,X,X,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,X,X,X
TZJSIOL,X,X,X,X
TZJSLIO,X,X,X,X
TZJSLOI,X,X,X,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,X,X,X
TZSILOJ,X,O,X,X
TZSIJLO,X,X,X,X
TZSIJOL,O,X,X,X
TZSIOLJ,X,O,X,X
TZSIOJL,O,X,X,X
TZSLIJO,X,X,X,X
TZSLIOJ,X,O,X,X
TZSLJIO,X,X,X,X
TZSLJOI,X,X,X,X
TZSLOIJ,X,O,X,X
TZSLOJI,X,X,X,X
TZSJILO,X,X,X,X
TZSJIOL,O,X,X,X
TZSJLIO,X,X,X,X
TZSJLOI,X,X,X,X
TZSJOIL,O,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,O,X,X
TZSOIJL,O,X,X,X
TZSOLIJ,X,O,X,X
TZSOLJI,X,X,X,X
TZSOJIL,O,X,X,X
TZSOJLI,X,X,X,X
TZOILJS,O,X,X,X
TZOILSJ,O,O,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,O,X,X
TZOISJL,O,X,X,X
TZOLIJS,O,X,X,X
TZOLISJ,O,O,X,X
TZOLJIS,O,X,X,X
TZOLJSI,O,X,X,X
TZOLSIJ,O,O,X,X
TZOLSJI,O,X,X,X
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,O,X,X
TZOSIJL,O,X,X,X
TZOSLIJ,X,O,X,X
TZOSLJI,X,X,X,X
TZOSJIL,O,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,X,X,X
TOILSZJ,X,O,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,O,X,X
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,O,X
TOIJSZL,X,X,O,X
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,X
TOISLJZ,X,X,X,X
TOISLZJ,X,O,X,X
TOISJLZ,X,X,O,X
TOISJZL,X,X,O,X
TOISZLJ,X,O,X,X
TOISZJL,O,X,X,X
TOIZLJS,O,X,X,X
TOIZLSJ,O,O,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,X,O,X,X
TOIZSJL,O,X,X,X
TOLIJSZ,X,X,X,X
TOLIJZS,X,X,X,X
TOLISJZ,X,X,X,X
TOLISZJ,X,O,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,O,X,X
TOLJISZ,X,X,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,X,X,X
TOLJSZI,X,X,X,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,X,X,X,X
TOLSIZJ,X,O,X,X
TOLSJIZ,X,X,X,X
TOLSJZI,X,X,X,X
TOLSZIJ,X,O,X,X
TOLSZJI,X,X,X,X
TOLZIJS,X,X,X,X
TOLZISJ,X,O,X,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,X
TOLZSIJ,X,O,X,X
TOLZSJI,X,X,X,X
TOJILSZ,X,X,X,X
TOJILZS,X,X,X,X
TOJISLZ,X,X,O,X
TOJISZL,X,X,O,X
TOJIZLS,X,X,X,X
TOJIZSL,X,X,X,X
TOJLISZ,X,X,X,X
TOJLIZS,X,X,X,X
TOJLSIZ,X,X,X,X
TOJLSZI,X,X,X,X
TOJLZIS,X,X,X,X
TOJLZSI,X,X,X,X
TOJSILZ,X,X,O,X
TOJSIZL,X,X,O,X
TOJSLIZ,X,X,X,X
TOJSLZI,X,X,X,X
TOJSZIL,X,X,X,X
TOJSZLI,X,X,X,X
TOJZILS,X,X,X,X
TOJZISL,X,X,X,X
TOJZLIS,X,X,X,X
TOJZLSI,X,X,X,X
TOJZSIL,X,X,X,X
TOJZSLI,X,X,X,X
TOSILJZ,X,X,X,X
TOSILZJ,X,O,X,X
TOSIJLZ,X,X,O,X
TOSIJZL,X,X,O,X
TOSIZLJ,X,O,X,X
TOSIZJL,O,X,X,X
TOSLIJZ,X,X,X,X
TOSLIZJ,X,O,X,X
TOSLJIZ,X,X,X,X
TOSLJZI,X,X,X,X
TOSLZIJ,X,O,X,X
TOSLZJI,X,X,X,X
TOSJILZ,X,X,X,X
