sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TLOZSJI,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,O
TJILSOZ,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X
TJISLZO,X,X,O,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X
TJISZLO,X,X,O,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,X
TJIZSLO,X,X,O,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,O
TJLISOZ,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,O
TJLSIOZ,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,O
TJLSZOI,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X
TJLZIOS,X,O,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X
