sequence,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBemBUnBF?oBCnBXtB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBSoBlmBX?mBmnB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFigBumB3iBz?lBlsBctB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF/lBTjBimB1?sBGmB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF2lB/nBcoB1?rBCmBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBm?lBllBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBl?lBmlBzsB
TZOSJLI,X,X,X,X,X,X,X
TOILJSZ,X,O,O,O,X,X,X
TOILJZS,O,O,O,X,X,X,X
TOILSJZ,X,O,O,O,X,X,X
TOILSZJ,X,O,X,O,X,X,O
TOILZJS,O,O,O,X,X,X,X
TOILZSJ,X,O,X,O,X,X,O
TOIJLSZ,X,O,O,O,X,X,X
TOIJLZS,O,O,O,X,X,X,X
TOIJSLZ,X,X,O,O,X,X,X
TOIJSZL,O,X,O,X,O,X,X
TOIJZLS,O,O,O,X,X,X,X
TOIJZSL,O,X,O,X,O,X,X
TOISLJZ,X,O,O,O,X,X,X
TOISLZJ,X,O,X,O,X,X,X
TOISJLZ,X,X,O,O,X,X,X
TOISJZL,O,X,O,X,O,X,X
TOISZLJ,X,O,X,O,X,X,X
TOISZJL,O,X,X,X,O,X,X
TOIZLJS,O,O,O,X,X,X,X
TOIZLSJ,X,O,X,O,X,X,O
TOIZJLS,O,O,O,X,X,X,X
TOIZJSL,O,X,O,X,O,X,X
TOIZSLJ,X,O,X,O,X,X,X
TOIZSJL,O,X,X,X,O,X,X
TOLIJSZ,X,O,O,O,X,X,X
TOLIJZS,O,O,O,X,X,X,X
TOLISJZ,X,O,O,O,X,X,X
TOLISZJ,X,O,X,O,X,X,O
TOLIZJS,O,O,O,X,X,X,X
TOLIZSJ,X,O,X,O,X,X,O
TOLJISZ,X,O,O,O,X,X,X
TOLJIZS,O,O,O,X,X,X,X
TOLJSIZ,X,X,O,O,X,X,X
TOLJSZI,X,X,X,X,X,X,X
TOLJZIS,O,X,O,X,X,X,X
TOLJZSI,X,X,X,X,X,X,X
TOLSIJZ,X,O,O,O,X,X,X
TOLSIZJ,X,O,X,O,X,X,O
TOLSJIZ,X,X,O,O,X,X,X
TOLSJZI,X,X,X,X,X,X,X
TOLSZIJ,X,X,X,O,X,X,O
TOLSZJI,X,X,X,X,X,X,X
TOLZIJS,O,O,O,X,X,X,X
TOLZISJ,X,O,X,O,X,X,O
TOLZJIS,O,O,O,X,X,X,X
TOLZJSI,X,X,X,X,X,X,X
TOLZSIJ,X,O,X,O,X,X,O
TOLZSJI,X,X,X,X,X,X,X
TOJILSZ,X,O,O,O,X,X,X
TOJILZS,O,O,O,X,X,X,X
TOJISLZ,X,X,O,O,X,X,X
TOJISZL,O,X,O,X,O,X,X
TOJIZLS,O,O,O,X,X,X,X
TOJIZSL,O,X,O,X,O,X,X
TOJLISZ,X,O,O,O,X,X,X
TOJLIZS,O,O,O,X,X,X,X
TOJLSIZ,X,X,O,O,X,X,X
TOJLSZI,X,X,X,X,X,X,X
TOJLZIS,O,X,O,X,X,X,X
TOJLZSI,X,X,X,X,X,X,X
TOJSILZ,X,X,O,O,X,X,X
TOJSIZL,O,X,O,X,O,X,X
TOJSLIZ,X,X,O,O,X,X,X
TOJSLZI,X,X,X,X,X,X,X
TOJSZIL,O,X,X,X,O,X,X
TOJSZLI,X,X,X,X,X,X,X
TOJZILS,O,O,O,X,X,X,X
TOJZISL,O,X,O,X,O,X,X
TOJZLIS,O,O,O,X,X,X,X
TOJZLSI,X,X,X,X,X,X,X
TOJZSIL,O,X,X,X,O,X,X
TOJZSLI,X,X,X,X,X,X,X
TOSILJZ,X,O,O,O,X,X,X
TOSILZJ,X,O,X,O,X,X,X
TOSIJLZ,X,X,O,O,X,X,X
TOSIJZL,O,X,O,X,O,X,X
TOSIZLJ,X,O,X,O,X,X,X
TOSIZJL,O,X,X,X,O,X,X
TOSLIJZ,X,O,O,O,X,X,X
TOSLIZJ,X,O,X,O,X,X,X
TOSLJIZ,X,X,O,O,X,X,X
TOSLJZI,X,X,X,X,X,X,X
TOSLZIJ,X,X,X,O,X,X,X
TOSLZJI,X,X,X,X,X,X,X
TOSJILZ,X,X,O,O,X,X,X
TOSJIZL,O,X,O,X,O,X,X
TOSJLIZ,X,X,O,O,X,X,X
TOSJLZI,X,X,X,X,X,X,X
TOSJZIL,O,X,X,X,O,X,X
TOSJZLI,X,X,X,X,X,X,X
TOSZILJ,X,O,X,O,X,X,X
TOSZIJL,O,X,X,X,O,X,X
TOSZLIJ,X,O,X,O,X,X,X
TOSZLJI,X,X,X,X,X,X,X
TOSZJIL,O,X,X,X,O,X,X
TOSZJLI,X,X,X,X,X,X,X
TOZILJS,O,O,O,X,X,X,X
TOZILSJ,X,O,X,O,X,X,O
TOZIJLS,O,O,O,X,X,X,X
TOZIJSL,O,X,O,X,O,X,X
TOZISLJ,X,O,X,O,X,X,X
TOZISJL,O,X,X,X,O,X,X
TOZLIJS,O,O,O,X,X,X,X
TOZLISJ,X,O,X,O,X,X,O
TOZLJIS,O,O,O,X,X,X,X
TOZLJSI,X,X,X,X,X,X,X
TOZLSIJ,X,O,X,O,X,X,O
TOZLSJI,X,X,X,X,X,X,X
TOZJILS,O,O,O,X,X,X,X
TOZJISL,O,X,O,X,O,X,X
TOZJLIS,O,O,O,X,X,X,X
TOZJLSI,X,X,X,X,X,X,X
TOZJSIL,O,X,X,X,O,X,X
TOZJSLI,X,X,X,X,X,X,X
TOZSILJ,X,O,X,O,X,X,X
TOZSIJL,O,X,X,X,O,X,X
TOZSLIJ,X,O,X,O,X,X,X
TOZSLJI,X,X,X,X,X,X,X
TOZSJIL,O,X,X,X,O,X,X
TOZSJLI,X,X,X,X,X,X,X
ITLJSZO,X,X,X,X,O,O,O
ITLJSOZ,X,X,X,O,X,X,X
ITLJZSO,X,X,X,X,O,O,O
ITLJZOS,O,X,X,X,X,X,X
ITLJOSZ,X,O,O,O,X,X,X
ITLJOZS,O,O,O,X,X,X,X
ITLSJZO,X,X,X,X,O,O,O
ITLSJOZ,X,X,X,O,X,X,X
ITLSZJO,X,X,X,X,O,O,O
ITLSZOJ,X,X,X,O,X,X,O
ITLSOJZ,X,O,X,O,X,X,X
ITLSOZJ,X,O,X,O,X,X,O
ITLZJSO,X,X,X,X,O,O,O
ITLZJOS,O,O,X,X,X,X,X
ITLZSJO,X,X,X,X,O,O,O
ITLZSOJ,X,O,X,O,X,X,O
ITLZOJS,O,O,X,X,X,X,X
ITLZOSJ,X,O,X,O,X,X,O
ITLOJSZ,X,O,O,O,X,X,X
ITLOJZS,O,O,O,X,X,X,X
ITLOSJZ,X,O,O,O,X,X,X
ITLOSZJ,X,O,X,O,X,X,O
ITLOZJS,O,O,O,X,X,X,X
ITLOZSJ,X,O,X,O,X,X,O
ITJLSZO,X,X,X,X,O,O,O
ITJLSOZ,X,X,X,O,X,X,X
ITJLZSO,X,X,X,X,O,O,O
ITJLZOS,O,X,X,X,X,X,X
ITJLOSZ,X,O,O,O,X,X,X
ITJLOZS,O,O,O,X,X,X,X
ITJSLZO,X,X,X,X,O,X,X
ITJSLOZ,X,X,X,O,X,X,X
ITJSZLO,X,X,X,X,O,X,X
ITJSZOL,O,X,X,X,O,X,X
ITJSOLZ,X,X,O,O,X,X,X
ITJSOZL,O,X,O,X,O,X,X
ITJZLSO,X,X,X,X,O,O,O
ITJZLOS,O,O,X,X,X,X,X
ITJZSLO,X,X,X,X,O,X,X
ITJZSOL,O,X,X,X,O,X,X
ITJZOLS,O,O,O,X,X,X,X
ITJZOSL,O,X,O,X,O,X,X
ITJOLSZ,X,O,O,O,X,X,X
ITJOLZS,O,O,O,X,X,X,X
ITJOSLZ,X,X,O,O,X,X,X
ITJOSZL,O,X,O,X,O,X,X
ITJOZLS,O,O,O,X,X,X,X
ITJOZSL,O,X,O,X,O,X,X
ITSLJZO,X,X,X,X,O,X,O
ITSLJOZ,X,X,X,O,X,X,X
ITSLZJO,X,X,X,X,O,X,O
ITSLZOJ,X,X,X,O,X,X,O
ITSLOJZ,X,O,X,O,X,X,X
ITSLOZJ,X,O,X,O,X,X,O
ITSJLZO,X,X,X,X,O,X,X
ITSJLOZ,X,X,X,O,X,X,X
ITSJZLO,X,X,X,X,O,X,X
ITSJZOL,O,X,X,X,O,X,X
ITSJOLZ,X,X,O,O,X,X,X
ITSJOZL,O,X,O,X,O,X,X
ITSZLJO,X,X,X,X,O,X,O
ITSZLOJ,X,O,X,O,X,X,O
ITSZJLO,X,X,X,X,O,X,X
ITSZJOL,O,X,X,X,O,X,X
ITSZOLJ,X,O,X,O,X,X,X
ITSZOJL,O,X,X,X,O,X,X
ITSOLJZ,X,O,O,O,X,X,X
ITSOLZJ,X,O,X,O,X,X,X
ITSOJLZ,X,X,O,O,X,X,X
ITSOJZL,O,X,O,X,O,X,X
ITSOZLJ,X,O,X,O,X,X,X
ITSOZJL,O,X,X,X,O,X,X
ITZLJSO,X,X,X,X,O,O,O
ITZLJOS,O,O,X,X,X,X,X
ITZLSJO,X,X,X,X,O,O,O
ITZLSOJ,X,O,X,O,X,X,O
ITZLOJS,O,O,X,X,X,X,X
ITZLOSJ,X,O,X,O,X,X,O
ITZJLSO,X,X,X,X,O,O,O
ITZJLOS,O,O,X,X,X,X,X
ITZJSLO,X,X,X,X,O,X,X
ITZJSOL,O,X,X,X,O,X,X
ITZJOLS,O,O,O,X,X,X,X
ITZJOSL,O,X,O,X,O,X,X
ITZSLJO,X,X,X,X,O,X,O
ITZSLOJ,X,O,X,O,X,X,O
ITZSJLO,X,X,X,X,O,X,X
ITZSJOL,O,X,X,X,O,X,X
ITZSOLJ,X,O,X,O,X,X,X
ITZSOJL,O,X,X,X,O,X,X
ITZOLJS,O,O,O,X,X,X,X
ITZOLSJ,X,O,X,O,X,X,O
ITZOJLS,O,O,O,X,X,X,X
ITZOJSL,O,X,O,X,O,X,X
ITZOSLJ,X,O,X,O,X,X,X
ITZOSJL,O,X,X,X,O,X,X
ITOLJSZ,X,O,O,O,X,X,X
ITOLJZS,O,O,O,X,X,X,X
ITOLSJZ,X,O,O,O,X,X,X
ITOLSZJ,X,O,X,O,X,X,O
ITOLZJS,O,O,O,X,X,X,X
ITOLZSJ,X,O,X,O,X,X,O
ITOJLSZ,X,O,O,O,X,X,X
ITOJLZS,O,O,O,X,X,X,X
ITOJSLZ,X,X,O,O,X,X,X
ITOJSZL,O,X,O,X,O,X,X
ITOJZLS,O,O,O,X,X,X,X
ITOJZSL,O,X,O,X,O,X,X
ITOSLJZ,X,O,O,O,X,X,X
ITOSLZJ,X,O,X,O,X,X,X
ITOSJLZ,X,X,O,O,X,X,X
ITOSJZL,O,X,O,X,O,X,X
ITOSZLJ,X,O,X,O,X,X,X
ITOSZJL,O,X,X,X,O,X,X
ITOZLJS,O,O,O,X,X,X,X
ITOZLSJ,X,O,X,O,X,X,O
ITOZJLS,O,O,O,X,X,X,X
ITOZJSL,O,X,O,X,O,X,X
ITOZSLJ,X,O,X,O,X,X,X
ITOZSJL,O,X,X,X,O,X,X
ILTJSZO,X,X,X,X,O,O,O
ILTJSOZ,X,X,X,O,X,X,X
ILTJZSO,X,X,X,X,O,O,O
ILTJZOS,O,X,X,X,X,X,X
ILTJOSZ,X,O,O,O,X,X,X
ILTJOZS,O,O,O,X,X,X,X
ILTSJZO,X,X,X,X,O,O,O
ILTSJOZ,X,X,X,O,X,X,X
ILTSZJO,X,X,X,X,O,O,O
ILTSZOJ,X,X,X,O,X,X,O
ILTSOJZ,X,O,X,O,X,X,X
ILTSOZJ,X,O,X,O,X,X,O
ILTZJSO,X,X,X,X,O,O,O
ILTZJOS,O,O,X,X,X,X,X
ILTZSJO,X,X,X,X,O,O,O
ILTZSOJ,X,O,X,O,X,X,O
ILTZOJS,O,O,X,X,X,X,X
ILTZOSJ,X,O,X,O,X,X,O
ILTOJSZ,X,O,O,O,X,X,X
ILTOJZS,O,O,O,X,X,X,X
ILTOSJZ,X,O,O,O,X,X,X
ILTOSZJ,X,O,X,O,X,X,O
ILTOZJS,O,O,O,X,X,X,X
ILTOZSJ,X,O,X,O,X,X,O
ILJTSZO,X,X,X,X,O,O,O
ILJTSOZ,X,X,X,O,X,X,X
ILJTZSO,X,X,X,X,O,O,O
ILJTZOS,O,X,X,X,X,X,X
ILJTOSZ,X,O,O,O,X,X,X
ILJTOZS,O,O,O,X,X,X,X
ILJSTZO,X,X,X,X,X,O,O
ILJSTOZ,X,X,X,O,X,X,X
ILJSZTO,X,X,X,X,X,O,O
ILJSZOT,X,X,X,X,X,O,X
ILJSOTZ,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,O,X
ILJZTSO,X,X,X,X,O,O,O
ILJZTOS,O,X,X,X,X,X,X
ILJZSTO,X,X,X,X,X,O,O
ILJZSOT,X,X,X,X,X,O,X
ILJZOTS,O,X,X,X,X,X,X
ILJZOST,X,X,X,X,X,O,X
ILJOTSZ,X,O,O,X,X,X,X
ILJOTZS,O,O,O,X,X,X,X
ILJOSTZ,X,X,O,X,X,X,X
ILJOSZT,X,X,X,X,X,O,X
ILJOZTS,O,X,O,X,X,X,X
ILJOZST,X,X,X,X,X,O,X
ILSTJZO,X,X,X,X,X,O,O
ILSTJOZ,X,X,X,O,X,X,X
ILSTZJO,X,X,X,X,X,O,O
ILSTZOJ,X,X,X,O,X,X,O
ILSTOJZ,X,O,X,O,X,X,X
ILSTOZJ,X,O,X,O,X,X,O
ILSJTZO,X,X,X,X,X,O,O
ILSJTOZ,X,X,X,O,X,X,X
ILSJZTO,X,X,X,X,X,O,O
ILSJZOT,X,X,X,X,X,O,X
ILSJOTZ,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,O,X
ILSZTJO,X,X,X,X,X,O,O
ILSZTOJ,X,X,X,O,X,X,O
ILSZJTO,X,X,X,X,X,O,O
ILSZJOT,X,X,X,X,X,O,X
ILSZOTJ,X,X,X,X,X,X,O
ILSZOJT,X,X,X,X,X,O,X
ILSOTJZ,X,O,O,O,X,X,X
ILSOTZJ,X,O,X,O,X,X,O
ILSOJTZ,X,X,O,X,X,X,X
ILSOJZT,X,X,X,X,X,O,X
ILSOZTJ,X,X,X,X,X,X,O
ILSOZJT,X,X,X,X,X,O,X
ILZTJSO,X,X,X,X,O,O,O
ILZTJOS,O,O,X,X,X,X,X
ILZTSJO,X,X,X,X,O,O,O
ILZTSOJ,X,O,X,O,X,X,O
ILZTOJS,O,O,X,X,X,X,X
ILZTOSJ,X,O,X,O,X,X,O
ILZJTSO,X,X,X,X,O,O,O
ILZJTOS,O,O,X,X,X,X,X
ILZJSTO,X,X,X,X,X,O,O
ILZJSOT,X,X,X,X,X,O,X
ILZJOTS,O,O,X,X,X,X,X
ILZJOST,X,X,X,X,X,O,X
ILZSTJO,X,X,X,X,X,O,O
ILZSTOJ,X,O,X,O,X,X,O
ILZSJTO,X,X,X,X,X,O,O
ILZSJOT,X,X,X,X,X,O,X
ILZSOTJ,X,O,X,X,X,X,O
ILZSOJT,X,X,X,X,X,O,X
ILZOTJS,O,O,O,X,X,X,X
ILZOTSJ,X,O,X,X,X,X,O
ILZOJTS,O,O,O,X,X,X,X
ILZOJST,X,X,X,X,X,O,X
ILZOSTJ,X,O,X,X,X,X,O
ILZOSJT,X,X,X,X,X,O,X
ILOTJSZ,X,O,O,O,X,X,X
ILOTJZS,O,O,O,X,X,X,X
ILOTSJZ,X,O,O,O,X,X,X
ILOTSZJ,X,O,X,O,X,X,O
ILOTZJS,O,O,O,X,X,X,X
ILOTZSJ,X,O,X,O,X,X,O
ILOJTSZ,X,O,O,X,X,X,X
ILOJTZS,O,O,O,X,X,X,X
ILOJSTZ,X,X,O,X,X,X,X
ILOJSZT,X,X,X,X,X,O,X
ILOJZTS,O,X,O,X,X,X,X
ILOJZST,X,X,X,X,X,O,X
ILOSTJZ,X,O,O,O,X,X,X
ILOSTZJ,X,O,X,O,X,X,O
ILOSJTZ,X,X,O,X,X,X,X
ILOSJZT,X,X,X,X,X,O,X
ILOSZTJ,X,X,X,X,X,X,O
ILOSZJT,X,X,X,X,X,O,X
ILOZTJS,O,O,O,X,X,X,X
ILOZTSJ,X,O,X,X,X,X,O
ILOZJTS,O,O,O,X,X,X,X
ILOZJST,X,X,X,X,X,O,X
ILOZSTJ,X,O,X,X,X,X,O
ILOZSJT,X,X,X,X,X,O,X
IJTLSZO,X,X,X,X,O,O,O
IJTLSOZ,X,X,X,O,X,X,X
IJTLZSO,X,X,X,X,O,O,O
IJTLZOS,O,X,X,X,X,X,X
IJTLOSZ,X,O,O,O,X,X,X
IJTLOZS,O,O,O,X,X,X,X
IJTSLZO,X,X,X,X,O,X,X
IJTSLOZ,X,X,X,O,X,X,X
IJTSZLO,X,X,X,X,O,X,X
IJTSZOL,O,X,X,X,O,X,X
IJTSOLZ,X,X,O,O,X,X,X
IJTSOZL,O,X,O,X,O,X,X
IJTZLSO,X,X,X,X,O,O,O
IJTZLOS,O,O,X,X,X,X,X
IJTZSLO,X,X,X,X,O,X,X
IJTZSOL,O,X,X,X,O,X,X
IJTZOLS,O,O,O,X,X,X,X
IJTZOSL,O,X,O,X,O,X,X
IJTOLSZ,X,O,O,O,X,X,X
IJTOLZS,O,O,O,X,X,X,X
IJTOSLZ,X,X,O,O,X,X,X
IJTOSZL,O,X,O,X,O,X,X
IJTOZLS,O,O,O,X,X,X,X
IJTOZSL,O,X,O,X,O,X,X
IJLTSZO,X,X,X,X,O,O,O
IJLTSOZ,X,X,X,O,X,X,X
IJLTZSO,X,X,X,X,O,O,O
IJLTZOS,O,X,X,X,X,X,X
IJLTOSZ,X,O,O,O,X,X,X
IJLTOZS,O,O,O,X,X,X,X
IJLSTZO,X,X,X,X,X,O,O
IJLSTOZ,X,X,X,O,X,X,X
IJLSZTO,X,X,X,X,X,O,O
IJLSZOT,X,X,X,X,X,O,X
IJLSOTZ,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,O,X
IJLZTSO,X,X,X,X,O,O,O
IJLZTOS,O,X,X,X,X,X,X
IJLZSTO,X,X,X,X,X,O,O
IJLZSOT,X,X,X,X,X,O,X
IJLZOTS,O,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,O,X
IJLOTSZ,X,O,O,X,X,X,X
IJLOTZS,O,O,O,X,X,X,X
IJLOSTZ,X,X,O,X,X,X,X
IJLOSZT,X,X,X,X,X,O,X
IJLOZTS,O,X,O,X,X,X,X
IJLOZST,X,X,X,X,X,O,X
IJSTLZO,X,X,X,X,O,X,X
IJSTLOZ,X,X,X,O,X,X,X
IJSTZLO,X,X,X,X,O,X,X
IJSTZOL,O,X,X,X,O,X,X
IJSTOLZ,X,X,O,O,X,X,X
IJSTOZL,O,X,O,X,O,X,X
IJSLTZO,X,X,X,X,X,O,X
IJSLTOZ,X,X,X,O,X,X,X
IJSLZTO,X,X,X,X,X,O,X
IJSLZOT,X,X,X,X,X,O,X
IJSLOTZ,X,X,X,X,X,X,X
IJSLOZT,X,X,X,X,X,O,X
IJSZTLO,X,X,X,X,O,X,X
IJSZTOL,O,X,X,X,O,X,X
IJSZLTO,X,X,X,X,X,O,X
IJSZLOT,X,X,X,X,X,O,X
IJSZOTL,O,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,O,X,X,X
IJSOTZL,O,X,O,X,X,X,X
IJSOLTZ,X,X,O,X,X,X,X
IJSOLZT,X,X,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X
IJZTLSO,X,X,X,X,O,O,O
IJZTLOS,O,O,X,X,X,X,X
IJZTSLO,X,X,X,X,O,X,X
IJZTSOL,O,X,X,X,O,X,X
IJZTOLS,O,O,O,X,X,X,X
IJZTOSL,O,X,O,X,O,X,X
IJZLTSO,X,X,X,X,O,O,O
IJZLTOS,O,O,X,X,X,X,X
IJZLSTO,X,X,X,X,X,O,O
IJZLSOT,X,X,X,X,X,O,X
IJZLOTS,O,O,X,X,X,X,X
IJZLOST,X,X,X,X,X,O,X
IJZSTLO,X,X,X,X,O,X,X
IJZSTOL,O,X,X,X,O,X,X
IJZSLTO,X,X,X,X,X,O,X
IJZSLOT,X,X,X,X,X,O,X
IJZSOTL,O,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,X,X
IJZOTLS,O,O,O,X,X,X,X
IJZOTSL,O,X,O,X,O,X,X
IJZOLTS,O,O,O,X,X,X,X
IJZOLST,X,X,X,X,X,O,X
IJZOSTL,O,X,X,X,X,X,X
IJZOSLT,X,X,X,X,X,X,X
IJOTLSZ,X,O,O,O,X,X,X
IJOTLZS,O,O,O,X,X,X,X
IJOTSLZ,X,X,O,O,X,X,X
IJOTSZL,O,X,O,X,O,X,X
IJOTZLS,O,O,O,X,X,X,X
IJOTZSL,O,X,O,X,O,X,X
IJOLTSZ,X,O,O,X,X,X,X
IJOLTZS,O,O,O,X,X,X,X
IJOLSTZ,X,X,O,X,X,X,X
IJOLSZT,X,X,X,X,X,O,X
IJOLZTS,O,X,O,X,X,X,X
IJOLZST,X,X,X,X,X,O,X
IJOSTLZ,X,X,O,O,X,X,X
IJOSTZL,O,X,O,X,X,X,X
IJOSLTZ,X,X,O,X,X,X,X
IJOSLZT,X,X,X,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,X,X
IJOZTLS,O,O,O,X,X,X,X
IJOZTSL,O,X,O,X,O,X,X
IJOZLTS,O,O,O,X,X,X,X
IJOZLST,X,X,X,X,X,O,X
IJOZSTL,O,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,X,X
ISTLJZO,X,X,X,X,O,X,O
ISTLJOZ,X,X,X,O,X,X,X
ISTLZJO,X,X,X,X,O,X,O
ISTLZOJ,X,X,X,O,X,X,O
ISTLOJZ,X,O,X,O,X,X,X
ISTLOZJ,X,O,X,O,X,X,O
ISTJLZO,X,X,X,X,O,X,X
ISTJLOZ,X,X,X,O,X,X,X
ISTJZLO,X,X,X,X,O,X,X
ISTJZOL,O,X,X,X,O,X,X
ISTJOLZ,X,X,O,O,X,X,X
ISTJOZL,O,X,O,X,O,X,X
ISTZLJO,X,X,X,X,O,X,O
ISTZLOJ,X,O,X,O,X,X,O
ISTZJLO,X,X,X,X,O,X,X
ISTZJOL,O,X,X,X,O,X,X
ISTZOLJ,X,O,X,O,X,X,X
ISTZOJL,O,X,X,X,O,X,X
ISTOLJZ,X,O,O,O,X,X,X
ISTOLZJ,X,O,X,O,X,X,X
ISTOJLZ,X,X,O,O,X,X,X
ISTOJZL,O,X,O,X,O,X,X
ISTOZLJ,X,O,X,O,X,X,X
ISTOZJL,O,X,X,X,O,X,X
ISLTJZO,X,X,X,X,X,O,O
ISLTJOZ,X,X,X,O,X,X,X
ISLTZJO,X,X,X,X,X,O,O
ISLTZOJ,X,X,X,O,X,X,O
ISLTOJZ,X,O,X,O,X,X,X
ISLTOZJ,X,O,X,O,X,X,O
ISLJTZO,X,X,X,X,X,O,O
ISLJTOZ,X,X,X,O,X,X,X
ISLJZTO,X,X,X,X,X,O,O
ISLJZOT,X,X,X,X,X,O,X
ISLJOTZ,X,X,X,X,X,X,X
ISLJOZT,X,X,X,X,X,O,X
ISLZTJO,X,X,X,X,X,O,O
ISLZTOJ,X,X,X,O,X,X,O
ISLZJTO,X,X,X,X,X,O,O
ISLZJOT,X,X,X,X,X,O,X
ISLZOTJ,X,X,X,X,X,X,O
ISLZOJT,X,X,X,X,X,O,X
ISLOTJZ,X,O,O,O,X,X,X
ISLOTZJ,X,O,X,O,X,X,O
ISLOJTZ,X,X,O,X,X,X,X
ISLOJZT,X,X,X,X,X,O,X
ISLOZTJ,X,X,X,X,X,X,O
ISLOZJT,X,X,X,X,X,O,X
ISJTLZO,X,X,X,X,O,X,X
ISJTLOZ,X,X,X,O,X,X,X
ISJTZLO,X,X,X,X,O,X,X
ISJTZOL,O,X,X,X,O,X,X
ISJTOLZ,X,X,O,O,X,X,X
ISJTOZL,O,X,O,X,O,X,X
ISJLTZO,X,X,X,X,X,O,X
ISJLTOZ,X,X,X,O,X,X,X
ISJLZTO,X,X,X,X,X,O,X
ISJLZOT,X,X,X,X,X,O,X
ISJLOTZ,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,O,X
ISJZTLO,X,X,X,X,O,X,X
ISJZTOL,O,X,X,X,O,X,X
ISJZLTO,X,X,X,X,X,O,X
ISJZLOT,X,X,X,X,X,O,X
ISJZOTL,O,X,X,X,X,X,X
ISJZOLT,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,O,X,X,X
ISJOTZL,O,X,O,X,X,X,X
ISJOLTZ,X,X,O,X,X,X,X
ISJOLZT,X,X,X,X,X,X,X
ISJOZTL,O,X,X,X,X,X,X
ISJOZLT,X,X,X,X,X,X,X
ISZTLJO,X,X,X,X,O,X,O
ISZTLOJ,X,O,X,O,X,X,O
ISZTJLO,X,X,X,X,O,X,X
ISZTJOL,O,X,X,X,O,X,X
ISZTOLJ,X,O,X,O,X,X,X
ISZTOJL,O,X,X,X,O,X,X
ISZLTJO,X,X,X,X,X,O,O
ISZLTOJ,X,O,X,O,X,X,O
ISZLJTO,X,X,X,X,X,O,O
ISZLJOT,X,X,X,X,X,O,X
ISZLOTJ,X,O,X,X,X,X,O
ISZLOJT,X,X,X,X,X,O,X
ISZJTLO,X,X,X,X,O,X,X
ISZJTOL,O,X,X,X,O,X,X
ISZJLTO,X,X,X,X,X,O,X
ISZJLOT,X,X,X,X,X,O,X
ISZJOTL,O,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,X,X
ISZOTLJ,X,O,X,O,X,X,X
ISZOTJL,O,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X
ISOTLJZ,X,O,O,O,X,X,X
ISOTLZJ,X,O,X,O,X,X,X
ISOTJLZ,X,X,O,O,X,X,X
ISOTJZL,O,X,O,X,X,X,X
ISOTZLJ,X,O,X,O,X,X,X
ISOTZJL,O,X,X,X,X,X,X
ISOLTJZ,X,O,O,O,X,X,X
ISOLTZJ,X,O,X,O,X,X,X
ISOLJTZ,X,X,O,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X
ISOLZJT,X,X,X,X,X,X,X
ISOJTLZ,X,X,O,O,X,X,X
ISOJTZL,O,X,O,X,X,X,X
ISOJLTZ,X,X,O,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,O,X,X,X
ISOZTJL,O,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,O,O,O
IZTLJOS,O,O,X,X,X,X,X
IZTLSJO,X,X,X,X,O,O,O
IZTLSOJ,X,O,X,O,X,X,O
IZTLOJS,O,O,X,X,X,X,X
IZTLOSJ,X,O,X,O,X,X,O
IZTJLSO,X,X,X,X,O,O,O
IZTJLOS,O,O,X,X,X,X,X
IZTJSLO,X,X,X,X,O,X,X
IZTJSOL,O,X,X,X,O,X,X
