sequence,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFukB1lB0iB6oBXq?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nBTjB0kBllB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBOpBllBStBzp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeT/IvhFxiBllBusBctBip?BXqB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iB6oBlkB3lB2u?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBctB6s?BzpB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nB0kBllBToB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFTjBfqBllBWtBCq?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBStBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTjBKpBfqBllBWt?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Je0AJvhFxiBlkBqsBToBOp?BXqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhF0iB6oBupB3lBzs?BFqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFCgBllBGoBXoBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBllBStBmpBTp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBllBStBmpBTp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTkBllBGoBXoByu?B0sB
IZTLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJLOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZTJSLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSJOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZLJSTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZLSJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZLSOJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZLOTJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOJTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJTLSO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZJTSLO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZJLSTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJSLTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJSOLT,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJOTLS,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOLTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJOLST,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJOSLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTLJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTJLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSLJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSLOJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSJOLT,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZSOLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOJTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOTLJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOTJLS,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IZOTJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOTSJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOLTJS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJTS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJTLS,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IZOJTSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJSTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSTJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTLJZS,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X
IOTLSJZ,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTLSZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLZJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTLZSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTJLSZ,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTJLZS,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
IOTJSLZ,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTJSZL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTJZLS,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
IOTJZSL,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJLS,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOTZJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLTJSZ,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOLTJZS,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X
IOLTSJZ,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLTZJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJTSZ,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOLJTZS,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X,X
IOLJSTZ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOLSTZJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSJTZ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSZTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZTJS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZJTS,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZJST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZSJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJTLSZ,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOJTLZS,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
IOJTSLZ,O,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X
IOJTSZL,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X
IOJTZLS,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
IOJTZSL,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOJLTSZ,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOJLTZS,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X,X
IOJLSTZ,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJLZTS,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IOJSTZL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOJSLTZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOJSLZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJSZTL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOJSZLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZTLS,O,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X
IOJZTSL,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOJZLTS,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOJZLST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZSTL,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSTLJZ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
IOSTLZJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSTJLZ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IOSTJZL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOSTZLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSTZJL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLTJZ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLTZJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLJTZ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLJZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLZTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLZJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSJTLZ,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IOSJTZL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOSJLTZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOSJLZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSJZTL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOSJZLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZTLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZTJL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZJTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZTLJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOZTLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZTJLS,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOZTJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZTSJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZLTJS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLJTS,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZLJST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZLSJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJTLS,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X
IOZJTSL,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
IOZJLTS,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJLST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJSTL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOZJSLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSTLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSTJL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOZSLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSJTL,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOZSJLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTIJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
LTIJZSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIJOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
LTIJOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
LTISJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
LTISZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTIZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
LTIOJZS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
LTIOSJZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
LTIOSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LTJIZSO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
LTJIOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
LTJIOZS,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
LTJSIZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJSIOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
LTJSZIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJSZOI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,X
LTJSOIZ,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,O
LTJSOZI,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,O
LTJZISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTJZSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
LTJZOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTJZOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTJOISZ,O,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O
LTJOIZS,O,X,O,X,O,X,O,X,O,X,X,X,O,O,O,O
LTJOSIZ,O,O,O,X,O,X,X,O,O,O,X,X,O,O,O,O
LTJOSZI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,O
LTJOZIS,O,O,O,O,O,X,O,X,O,X,X,X,O,O,O,O
LTJOZSI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O
LTSIJZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
LTSIZJO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSIOJZ,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTSIOZJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSJIZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSJIOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
LTSJZIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTSJZOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
LTSJOIZ,O,O,X,X,O,X,X,O,O,O,O,X,X,O,O,O
LTSJOZI,O,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O
LTSZIJO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSZJIO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTSZJOI,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X
LTSZOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSZOJI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSOIJZ,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
LTSOIZJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X,O,O,O,X,X,X,O,O
LTSOJZI,O,O,O,X,X,X,O,X,O,O,O,X,X,X,O,O
LTSOZIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSOZJI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
LTZIJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTZJSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
LTZJOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTZJOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTZSIJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZSJIO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,O,O,O,X,X,O,X,O,X,X,O,O,X
LTZSOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZSOJI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
LTZOIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
