sequence,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFUgBFhBmiB5oBCn?BTqB,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFalBFhB8mBziB5o?B+qB,v115@RhA8CeA8AeC8AeB8BeE8KeT/IvhF/lBFhBmiB5oBCn?BUqB
TOLIJZS,O,X,O
TOLISJZ,O,X,X
TOLISZJ,O,X,X
TOLIZJS,O,X,O
TOLIZSJ,O,X,O
TOLJISZ,O,X,X
TOLJIZS,O,X,O
TOLJSIZ,O,X,X
TOLJSZI,O,X,X
TOLJZIS,O,X,O
TOLJZSI,O,X,O
TOLSIJZ,O,X,X
TOLSIZJ,O,X,X
TOLSJIZ,O,X,X
TOLSJZI,O,X,X
TOLSZIJ,O,X,X
TOLSZJI,O,X,X
TOLZIJS,O,X,O
TOLZISJ,O,X,O
TOLZJIS,O,X,O
TOLZJSI,O,X,O
TOLZSIJ,O,X,O
TOLZSJI,O,X,O
TOJILSZ,O,X,X
TOJILZS,O,X,O
TOJISLZ,O,O,X
TOJISZL,O,O,X
TOJIZLS,X,O,O
TOJIZSL,O,O,O
TOJLISZ,O,X,X
TOJLIZS,O,X,O
TOJLSIZ,O,X,X
TOJLSZI,O,X,X
TOJLZIS,O,X,O
TOJLZSI,O,X,O
TOJSILZ,O,O,X
TOJSIZL,O,O,X
TOJSLIZ,O,O,X
TOJSLZI,O,O,X
TOJSZIL,O,O,X
TOJSZLI,O,O,X
TOJZILS,X,O,O
TOJZISL,O,O,O
TOJZLIS,X,O,O
TOJZLSI,X,O,O
TOJZSIL,O,O,O
TOJZSLI,O,O,O
TOSILJZ,O,O,X
TOSILZJ,O,O,X
TOSIJLZ,O,O,X
TOSIJZL,O,O,X
TOSIZLJ,O,O,X
TOSIZJL,O,O,X
TOSLIJZ,O,O,X
TOSLIZJ,O,O,X
TOSLJIZ,O,O,X
TOSLJZI,O,O,X
TOSLZIJ,O,O,X
TOSLZJI,O,O,X
TOSJILZ,O,O,X
TOSJIZL,O,O,X
TOSJLIZ,O,O,X
TOSJLZI,O,O,X
TOSJZIL,O,O,X
TOSJZLI,O,O,X
TOSZILJ,O,O,X
TOSZIJL,O,O,X
TOSZLIJ,O,O,X
TOSZLJI,O,O,X
TOSZJIL,O,O,X
TOSZJLI,O,O,X
TOZILJS,O,O,O
TOZILSJ,O,X,O
TOZIJLS,X,O,O
TOZIJSL,O,O,O
TOZISLJ,O,O,O
TOZISJL,O,O,O
TOZLIJS,O,O,O
TOZLISJ,O,X,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,O,X,O
TOZLSJI,O,X,O
TOZJILS,X,O,O
TOZJISL,O,O,O
TOZJLIS,X,O,O
TOZJLSI,X,O,O
TOZJSIL,O,O,O
TOZJSLI,O,O,O
TOZSILJ,O,O,O
TOZSIJL,O,O,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,O,O
TOZSJLI,O,O,O
ITLJSZO,O,X,X
