sequence,v115@9gA8IeA8IeA8DeB8CeA8BeF8KeRAJvhFcmB/nBGlB6?tBFoBzpB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFThB/nBOqB6?tB0qBFtB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFThB/nB0lB6?tBOqBFtB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFcmBTiBOqBX?oBllB6tB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFcmBTiBOqB6?tBlqBXtB,v115@9gA8IeA8IeA8DeB8CeA8BeF8KelAJvhFcmBTiBeoB5?oBCqBfqB,v115@9gA8IeA8IeA8DeB8CeA8BeF8KeRAJvhFcmBTiBWqBV?tB6tBXqB
IZTJSOL,X,X,X,O,X,X,O
IZTJOLS,X,X,X,X,O,O,O
IZTJOSL,X,X,X,O,X,X,O
IZTSLJO,X,X,X,X,X,X,X
IZTSLOJ,X,X,O,X,X,X,X
IZTSJLO,X,X,X,X,X,X,X
IZTSJOL,X,X,X,O,X,X,X
IZTSOLJ,X,X,O,X,X,X,X
IZTSOJL,X,X,X,O,X,X,X
IZTOLJS,X,X,X,X,O,X,X
IZTOLSJ,X,X,O,X,X,X,X
IZTOJLS,X,X,X,X,O,X,O
IZTOJSL,X,X,X,O,X,X,O
IZTOSLJ,X,X,O,X,X,X,X
IZTOSJL,X,X,X,O,X,X,X
IZLTJSO,X,X,X,X,X,O,X
IZLTJOS,X,X,X,X,O,O,X
IZLTSJO,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,X,X,X
IZLTOJS,X,X,X,X,O,X,X
IZLTOSJ,X,X,O,X,X,X,X
IZLJTSO,O,X,X,X,X,O,X
IZLJTOS,X,X,X,X,O,O,X
IZLJSTO,O,X,X,X,X,O,X
IZLJSOT,O,O,O,O,O,O,X
IZLJOTS,X,X,X,X,O,O,X
IZLJOST,O,O,O,O,O,O,X
IZLSTJO,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X
IZLSJTO,O,X,X,X,X,O,X
IZLSJOT,O,O,O,O,O,O,X
IZLSOTJ,X,X,O,X,X,X,X
IZLSOJT,O,O,O,O,O,X,X
IZLOTJS,X,X,X,X,O,X,X
IZLOTSJ,X,X,O,X,X,X,X
IZLOJTS,O,X,X,X,O,O,X
IZLOJST,O,O,O,O,O,O,X
IZLOSTJ,X,X,O,X,X,X,X
IZLOSJT,O,O,O,O,O,X,X
IZJTLSO,O,X,X,X,X,O,O
IZJTLOS,X,X,X,X,O,O,O
IZJTSLO,O,X,X,X,X,X,O
IZJTSOL,X,X,X,O,X,X,O
IZJTOLS,X,X,X,X,O,O,O
IZJTOSL,X,X,X,O,X,X,O
IZJLTSO,O,X,X,X,X,O,O
IZJLTOS,X,X,X,X,O,O,O
IZJLSTO,O,X,X,X,X,O,X
IZJLSOT,O,O,O,O,O,O,X
IZJLOTS,X,X,X,X,O,O,O
IZJLOST,O,O,O,O,O,O,X
IZJSTLO,O,X,X,X,X,X,O
IZJSTOL,X,X,X,O,X,X,O
IZJSLTO,O,X,X,X,X,O,X
IZJSLOT,O,O,O,O,O,O,X
IZJSOTL,X,X,X,O,X,X,O
IZJSOLT,O,O,O,O,O,O,X
IZJOTLS,X,X,X,X,O,O,O
IZJOTSL,X,X,X,O,X,X,O
IZJOLTS,X,X,X,X,O,O,O
IZJOLST,O,O,O,O,O,O,X
IZJOSTL,X,X,X,O,X,X,O
IZJOSLT,O,O,O,O,O,O,X
IZSTLJO,X,X,X,X,X,X,X
IZSTLOJ,X,X,O,X,X,X,X
IZSTJLO,X,X,X,X,X,X,X
IZSTJOL,X,X,X,O,X,X,X
IZSTOLJ,X,X,O,X,X,X,X
IZSTOJL,X,X,X,O,X,X,X
IZSLTJO,X,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X
IZSLJTO,O,X,X,X,X,O,X
IZSLJOT,O,O,O,O,O,O,X
IZSLOTJ,X,X,O,X,X,X,X
IZSLOJT,O,O,O,O,O,X,X
IZSJTLO,O,X,X,X,X,X,X
IZSJTOL,X,X,X,O,X,X,X
IZSJLTO,O,X,X,X,X,O,X
IZSJLOT,O,O,O,O,O,O,X
IZSJOTL,X,X,X,O,X,X,X
IZSJOLT,O,O,O,O,O,O,X
IZSOTLJ,X,X,O,X,X,X,X
IZSOTJL,X,X,X,O,X,X,X
IZSOLTJ,X,X,O,X,X,X,X
IZSOLJT,O,O,O,O,O,X,X
IZSOJTL,O,X,X,O,X,X,X
IZSOJLT,O,O,O,O,O,X,X
IZOTLJS,X,X,X,X,O,X,X
IZOTLSJ,X,X,O,X,X,X,X
IZOTJLS,X,X,X,X,O,X,O
IZOTJSL,X,X,X,O,X,X,O
IZOTSLJ,X,X,O,X,X,X,X
IZOTSJL,X,X,X,O,X,X,X
IZOLTJS,X,X,X,X,O,X,X
IZOLTSJ,X,X,O,X,X,X,X
IZOLJTS,O,X,X,X,O,O,X
IZOLJST,O,O,O,O,O,O,X
IZOLSTJ,X,X,O,X,X,X,X
IZOLSJT,O,O,O,O,O,X,X
IZOJTLS,O,X,X,X,O,O,O
IZOJTSL,O,X,X,O,X,X,O
IZOJLTS,O,X,X,X,O,O,O
IZOJLST,O,O,O,O,O,O,X
IZOJSTL,O,X,X,O,X,X,O
IZOJSLT,O,O,O,O,O,O,X
IZOSTLJ,X,X,O,X,X,X,X
IZOSTJL,X,X,X,O,X,X,X
IZOSLTJ,X,X,O,X,X,X,X
IZOSLJT,O,O,O,O,O,X,X
IZOSJTL,O,X,X,O,X,X,X
IZOSJLT,O,O,O,O,O,X,X
IOTLJSZ,X,O,X,X,X,X,X
IOTLJZS,X,X,X,X,O,X,X
IOTLSJZ,X,O,X,X,X,X,X
IOTLSZJ,X,X,O,X,X,X,X
IOTLZJS,X,X,X,X,O,X,X
IOTLZSJ,X,X,O,X,X,X,X
IOTJLSZ,X,O,X,X,X,X,X
IOTJLZS,X,X,X,X,O,X,X
IOTJSLZ,X,O,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,O,X,O
IOTJZSL,X,X,X,O,X,X,O
IOTSLJZ,X,O,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,X
IOTSZLJ,X,X,O,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X
IOTZLJS,X,X,X,X,O,X,X
IOTZLSJ,X,X,O,X,X,X,X
IOTZJLS,X,X,X,X,O,X,O
IOTZJSL,X,X,X,O,X,X,O
IOTZSLJ,X,X,O,X,X,X,X
IOTZSJL,X,X,X,O,X,X,X
IOLTJSZ,X,O,X,X,X,X,X
IOLTJZS,X,X,X,X,O,X,X
IOLTSJZ,X,O,X,X,X,X,X
IOLTSZJ,X,X,O,X,X,X,X
IOLTZJS,X,X,X,X,O,X,X
IOLTZSJ,X,X,O,X,X,X,X
IOLJTSZ,X,O,X,X,X,X,X
IOLJTZS,X,X,X,X,O,O,X
IOLJSTZ,X,O,X,X,X,X,X
IOLJSZT,O,O,O,O,O,O,X
IOLJZTS,O,X,X,X,O,O,X
IOLJZST,O,O,O,O,O,O,X
IOLSTJZ,X,O,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,X
IOLSJZT,O,O,O,O,O,X,X
IOLSZTJ,X,X,O,X,X,X,X
IOLSZJT,O,O,O,O,O,X,X
IOLZTJS,X,X,X,X,O,X,X
IOLZTSJ,X,X,O,X,X,X,X
IOLZJTS,O,X,X,X,O,O,X
IOLZJST,O,O,O,O,O,O,X
IOLZSTJ,X,X,O,X,X,X,X
IOLZSJT,O,O,O,O,O,X,X
IOJTLSZ,X,O,X,X,X,X,X
IOJTLZS,X,X,X,X,O,O,X
IOJTSLZ,X,O,X,X,X,X,X
IOJTSZL,X,X,X,O,X,X,X
IOJTZLS,X,X,X,X,O,O,O
IOJTZSL,X,X,X,O,X,X,O
IOJLTSZ,X,O,X,X,X,X,X
IOJLTZS,X,X,X,X,O,O,X
IOJLSTZ,X,O,X,X,X,X,X
IOJLSZT,O,O,O,O,O,O,X
IOJLZTS,O,X,X,X,O,O,X
IOJLZST,O,O,O,O,O,O,X
IOJSTLZ,X,O,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X
IOJSLTZ,X,O,X,X,X,X,X
IOJSLZT,O,O,O,O,O,O,X
IOJSZTL,O,X,X,O,X,X,X
IOJSZLT,O,O,O,O,O,O,X
IOJZTLS,O,X,X,X,O,O,O
IOJZTSL,O,X,X,O,X,X,O
IOJZLTS,O,X,X,X,O,O,O
IOJZLST,O,O,O,O,O,O,X
IOJZSTL,O,X,X,O,X,X,O
IOJZSLT,O,O,O,O,O,O,X
IOSTLJZ,X,O,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X
IOSTZLJ,X,X,O,X,X,X,X
IOSTZJL,X,X,X,O,X,X,X
IOSLTJZ,X,O,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X
IOSLJZT,O,O,O,O,O,X,X
IOSLZTJ,X,X,O,X,X,X,X
IOSLZJT,O,O,O,O,O,X,X
IOSJTLZ,X,O,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X
IOSJLTZ,X,O,X,X,X,X,X
IOSJLZT,O,O,O,O,O,X,X
IOSJZTL,O,X,X,O,X,X,X
IOSJZLT,O,O,O,O,O,X,X
IOSZTLJ,X,X,O,X,X,X,X
IOSZTJL,X,X,X,O,X,X,X
IOSZLTJ,X,X,O,X,X,X,X
IOSZLJT,O,O,O,O,O,X,X
IOSZJTL,O,X,X,O,X,X,X
IOSZJLT,O,O,O,O,O,X,X
IOZTLJS,X,X,X,X,O,X,X
IOZTLSJ,X,X,O,X,X,X,X
IOZTJLS,X,X,X,X,O,X,O
IOZTJSL,X,X,X,O,X,X,O
IOZTSLJ,X,X,O,X,X,X,X
IOZTSJL,X,X,X,O,X,X,X
IOZLTJS,X,X,X,X,O,X,X
IOZLTSJ,X,X,O,X,X,X,X
IOZLJTS,O,X,X,X,O,O,X
IOZLJST,O,O,O,O,O,O,X
IOZLSTJ,X,X,O,X,X,X,X
IOZLSJT,O,O,O,O,O,X,X
IOZJTLS,O,X,X,X,O,O,O
IOZJTSL,O,X,X,O,X,X,O
IOZJLTS,O,X,X,X,O,O,O
IOZJLST,O,O,O,O,O,O,X
IOZJSTL,O,X,X,O,X,X,O
IOZJSLT,O,O,O,O,O,O,X
IOZSTLJ,X,X,O,X,X,X,X
IOZSTJL,X,X,X,O,X,X,X
IOZSLTJ,X,X,O,X,X,X,X
IOZSLJT,O,O,O,O,O,X,X
IOZSJTL,O,X,X,O,X,X,X
IOZSJLT,O,O,O,O,O,X,X
LTIJSZO,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,X,X
LTIJZSO,X,X,X,X,X,O,X
LTIJZOS,X,X,X,X,O,O,X
LTIJOSZ,X,O,X,X,X,X,X
LTIJOZS,X,X,X,X,O,O,X
LTISJZO,X,X,X,X,X,X,X
LTISJOZ,X,O,X,X,X,X,X
LTISZJO,X,X,X,X,X,X,X
LTISZOJ,X,X,O,X,X,X,X
LTISOJZ,X,O,X,X,X,X,X
LTISOZJ,X,X,O,X,X,X,X
LTIZJSO,X,X,X,X,X,O,X
LTIZJOS,X,X,X,X,O,O,X
LTIZSJO,X,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,X,X,X
LTIZOJS,X,X,X,X,O,X,X
LTIZOSJ,X,X,O,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,X
LTIOJZS,X,X,X,X,O,X,X
LTIOSJZ,X,O,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,X,X
LTIOZJS,X,X,X,X,O,X,X
LTIOZSJ,X,X,O,X,X,X,X
LTJISZO,X,X,X,X,X,X,X
LTJISOZ,X,O,X,X,X,X,X
LTJIZSO,X,X,X,X,X,O,X
LTJIZOS,X,X,X,X,O,O,X
LTJIOSZ,X,O,X,X,X,X,X
LTJIOZS,X,X,X,X,O,O,X
LTJSIZO,X,X,X,X,X,X,X
LTJSIOZ,X,O,X,X,X,X,X
LTJSZIO,O,X,X,X,X,X,X
LTJSZOI,O,X,X,X,X,X,X
LTJSOIZ,X,O,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,O,O
LTJZIOS,X,X,X,X,O,O,O
LTJZSIO,O,X,X,X,X,X,O
LTJZSOI,O,X,X,X,X,X,O
LTJZOIS,X,X,X,X,O,O,O
LTJZOSI,X,X,X,X,X,X,O
LTJOISZ,X,O,X,X,X,X,X
LTJOIZS,X,X,X,X,O,O,X
LTJOSIZ,X,O,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X
LTJOZIS,X,X,X,X,O,O,O
LTJOZSI,X,X,X,X,X,X,O
LTSIJZO,X,X,X,X,X,X,X
LTSIJOZ,X,O,X,X,X,X,X
LTSIZJO,X,X,X,X,X,X,X
LTSIZOJ,X,X,O,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,X
LTSIOZJ,X,X,O,X,X,X,X
LTSJIZO,X,X,X,X,X,X,X
LTSJIOZ,X,O,X,X,X,X,X
LTSJZIO,O,X,X,X,X,X,X
LTSJZOI,O,X,X,X,X,X,X
LTSJOIZ,X,O,X,X,X,X,X
LTSJOZI,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X
LTSZIOJ,X,X,O,X,X,X,X
LTSZJIO,O,X,X,X,X,X,X
LTSZJOI,O,X,X,X,X,X,X
LTSZOIJ,X,X,O,X,X,X,X
LTSZOJI,O,X,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,X
LTSOIZJ,X,X,O,X,X,X,X
LTSOJIZ,X,O,X,X,X,X,X
LTSOJZI,O,X,X,X,X,X,X
LTSOZIJ,X,X,O,X,X,X,X
LTSOZJI,O,X,X,X,X,X,X
LTZIJSO,X,X,X,X,X,O,X
LTZIJOS,X,X,X,X,O,O,X
LTZISJO,X,X,X,X,X,X,X
LTZISOJ,X,X,O,X,X,X,X
LTZIOJS,X,X,X,X,O,X,X
LTZIOSJ,X,X,O,X,X,X,X
LTZJISO,O,X,X,X,X,O,O
LTZJIOS,X,X,X,X,O,O,O
LTZJSIO,O,X,X,X,X,X,O
LTZJSOI,O,X,X,X,X,X,O
LTZJOIS,X,X,X,X,O,O,O
LTZJOSI,X,X,X,X,X,X,O
LTZSIJO,X,X,X,X,X,X,X
LTZSIOJ,X,X,O,X,X,X,X
LTZSJIO,O,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X,X
LTZSOIJ,X,X,O,X,X,X,X
LTZSOJI,O,X,X,X,X,X,X
LTZOIJS,X,X,X,X,O,X,X
LTZOISJ,X,X,O,X,X,X,X
LTZOJIS,O,X,X,X,O,O,O
LTZOJSI,O,X,X,X,X,X,O
LTZOSIJ,X,X,O,X,X,X,X
LTZOSJI,O,X,X,X,X,X,X
LTOIJSZ,X,O,X,X,X,X,X
LTOIJZS,X,X,X,X,O,X,X
LTOISJZ,X,O,X,X,X,X,X
LTOISZJ,X,X,O,X,X,X,X
LTOIZJS,X,X,X,X,O,X,X
LTOIZSJ,X,X,O,X,X,X,X
LTOJISZ,X,O,X,X,X,X,X
LTOJIZS,X,X,X,X,O,O,X
LTOJSIZ,X,O,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,X
LTOJZIS,O,X,X,X,O,O,O
LTOJZSI,O,X,X,X,X,X,O
LTOSIJZ,X,O,X,X,X,X,X
LTOSIZJ,X,X,O,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X
LTOSJZI,O,X,X,X,X,X,X
LTOSZIJ,X,X,O,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X
LTOZIJS,X,X,X,X,O,X,X
LTOZISJ,X,X,O,X,X,X,X
LTOZJIS,O,X,X,X,O,O,O
LTOZJSI,O,X,X,X,X,X,O
LTOZSIJ,X,X,O,X,X,X,X
LTOZSJI,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,X
LITJSOZ,X,O,X,X,X,X,X
LITJZSO,X,X,X,X,X,O,X
LITJZOS,X,X,X,X,O,O,X
LITJOSZ,X,O,X,X,X,X,X
LITJOZS,X,X,X,X,O,O,X
LITSJZO,X,X,X,X,X,X,X
LITSJOZ,X,O,X,X,X,X,X
LITSZJO,X,X,X,X,X,X,X
LITSZOJ,X,X,O,X,X,X,X
LITSOJZ,X,O,X,X,X,X,X
LITSOZJ,X,X,O,X,X,X,X
LITZJSO,X,X,X,X,X,O,X
LITZJOS,X,X,X,X,O,O,X
LITZSJO,X,X,X,X,X,X,X
LITZSOJ,X,X,O,X,X,X,X
LITZOJS,X,X,X,X,O,X,X
LITZOSJ,X,X,O,X,X,X,X
LITOJSZ,X,O,X,X,X,X,X
LITOJZS,X,X,X,X,O,X,X
LITOSJZ,X,O,X,X,X,X,X
LITOSZJ,X,X,O,X,X,X,X
LITOZJS,X,X,X,X,O,X,X
LITOZSJ,X,X,O,X,X,X,X
LIJTSZO,X,X,X,X,X,X,X
LIJTSOZ,X,O,X,X,X,X,X
LIJTZSO,X,X,X,X,X,O,X
LIJTZOS,X,X,X,X,O,O,X
LIJTOSZ,X,O,X,X,X,X,X
LIJTOZS,X,X,X,X,O,O,X
LIJSTZO,X,X,X,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,X
LIJSZTO,O,X,X,X,X,O,X
LIJSZOT,O,O,O,O,O,O,X
LIJSOTZ,X,O,X,X,X,X,X
LIJSOZT,X,O,O,O,O,O,X
LIJZTSO,O,X,X,X,X,O,X
LIJZTOS,X,X,X,X,O,O,X
LIJZSTO,O,X,X,X,X,O,X
LIJZSOT,O,O,O,O,O,O,X
LIJZOTS,X,X,X,X,O,O,X
LIJZOST,O,O,O,O,O,O,X
LIJOTSZ,X,O,X,X,X,X,X
LIJOTZS,X,X,X,X,O,O,X
LIJOSTZ,X,O,X,X,X,X,X
LIJOSZT,X,O,O,O,O,O,X
LIJOZTS,X,X,X,X,O,O,X
LIJOZST,X,O,O,O,O,O,X
LISTJZO,X,X,X,X,X,X,X
LISTJOZ,X,O,X,X,X,X,X
LISTZJO,X,X,X,X,X,X,X
LISTZOJ,X,X,O,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X
LISTOZJ,X,X,O,X,X,X,X
LISJTZO,X,X,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,X
LISJZTO,O,X,X,X,X,O,X
LISJZOT,O,O,O,O,O,O,X
LISJOTZ,X,O,X,X,X,X,X
LISJOZT,X,O,O,O,O,O,X
LISZTJO,X,X,X,X,X,X,X
LISZTOJ,X,X,O,X,X,X,X
LISZJTO,O,X,X,X,X,O,X
LISZJOT,O,O,O,O,O,O,X
LISZOTJ,X,X,O,X,X,X,X
LISZOJT,O,O,O,O,O,X,X
LISOTJZ,X,O,X,X,X,X,X
LISOTZJ,X,X,O,X,X,X,X
LISOJTZ,X,O,X,X,X,X,X
LISOJZT,O,O,O,O,O,X,X
LISOZTJ,X,X,O,X,X,X,X
LISOZJT,O,O,O,O,O,X,X
LIZTJSO,X,X,X,X,X,O,X
LIZTJOS,X,X,X,X,O,O,X
LIZTSJO,X,X,X,X,X,X,X
LIZTSOJ,X,X,O,X,X,X,X
LIZTOJS,X,X,X,X,O,X,X
LIZTOSJ,X,X,O,X,X,X,X
LIZJTSO,O,X,X,X,X,O,X
LIZJTOS,X,X,X,X,O,O,X
LIZJSTO,O,X,X,X,X,O,X
LIZJSOT,O,O,O,O,O,O,X
LIZJOTS,X,X,X,X,O,O,X
LIZJOST,O,O,O,O,O,O,X
LIZSTJO,X,X,X,X,X,X,X
LIZSTOJ,X,X,O,X,X,X,X
LIZSJTO,O,X,X,X,X,O,X
LIZSJOT,O,O,O,O,O,O,X
LIZSOTJ,X,X,O,X,X,X,X
LIZSOJT,O,O,O,O,O,X,X
LIZOTJS,X,X,X,X,O,X,X
LIZOTSJ,X,X,O,X,X,X,X
LIZOJTS,O,X,X,X,O,O,X
LIZOJST,O,O,O,O,O,O,X
LIZOSTJ,X,X,O,X,X,X,X
LIZOSJT,O,O,O,O,O,X,X
LIOTJSZ,X,O,X,X,X,X,X
LIOTJZS,X,X,X,X,O,X,X
LIOTSJZ,X,O,X,X,X,X,X
LIOTSZJ,X,X,O,X,X,X,X
LIOTZJS,X,X,X,X,O,X,X
LIOTZSJ,X,X,O,X,X,X,X
LIOJTSZ,X,O,X,X,X,X,X
LIOJTZS,X,X,X,X,O,O,X
LIOJSTZ,X,O,X,X,X,X,X
LIOJSZT,O,O,O,O,O,O,X
LIOJZTS,O,X,X,X,O,O,X
LIOJZST,O,O,O,O,O,O,X
LIOSTJZ,X,O,X,X,X,X,X
LIOSTZJ,X,X,O,X,X,X,X
LIOSJTZ,X,O,X,X,X,X,X
LIOSJZT,O,O,O,O,O,X,X
LIOSZTJ,X,X,O,X,X,X,X
LIOSZJT,O,O,O,O,O,X,X
LIOZTJS,X,X,X,X,O,X,X
LIOZTSJ,X,X,O,X,X,X,X
LIOZJTS,O,X,X,X,O,O,X
LIOZJST,O,O,O,O,O,O,X
LIOZSTJ,X,X,O,X,X,X,X
LIOZSJT,O,O,O,O,O,X,X
LJTISZO,X,X,X,X,X,X,X
LJTISOZ,X,O,X,X,X,X,X
LJTIZSO,X,X,X,X,X,O,X
LJTIZOS,X,X,X,X,O,O,X
LJTIOSZ,X,O,X,X,X,X,X
LJTIOZS,X,X,X,X,O,O,X
LJTSIZO,X,X,X,X,X,X,X
LJTSIOZ,X,O,X,X,X,X,X
LJTSZIO,O,X,X,X,X,X,X
LJTSZOI,O,X,X,X,X,X,X
LJTSOIZ,X,O,X,X,X,X,X
LJTSOZI,X,X,X,X,X,X,X
LJTZISO,O,X,X,X,X,O,O
LJTZIOS,X,X,X,X,O,O,O
LJTZSIO,O,X,X,X,X,X,O
LJTZSOI,O,X,X,X,X,X,O
LJTZOIS,X,X,X,X,O,O,O
LJTZOSI,X,X,X,X,X,X,O
LJTOISZ,X,O,X,X,X,X,X
LJTOIZS,X,X,X,X,O,O,X
LJTOSIZ,X,O,X,X,X,X,X
LJTOSZI,X,X,X,X,X,X,X
LJTOZIS,X,X,X,X,O,O,O
LJTOZSI,X,X,X,X,X,X,O
LJITSZO,X,X,X,X,X,X,X
LJITSOZ,X,O,X,X,X,X,X
LJITZSO,X,X,X,X,X,O,X
LJITZOS,X,X,X,X,O,O,X
LJITOSZ,X,O,X,X,X,X,X
LJITOZS,X,X,X,X,O,O,X
LJISTZO,X,X,X,X,X,X,X
LJISTOZ,X,O,X,X,X,X,X
LJISZTO,O,X,X,X,X,O,X
LJISZOT,O,O,O,O,O,O,X
LJISOTZ,X,O,X,X,X,X,X
LJISOZT,X,O,O,O,O,O,X
LJIZTSO,O,X,X,X,X,O,X
LJIZTOS,X,X,X,X,O,O,X
LJIZSTO,O,X,X,X,X,O,X
LJIZSOT,O,O,O,O,O,O,X
LJIZOTS,X,X,X,X,O,O,X
LJIZOST,O,O,O,O,O,O,X
LJIOTSZ,X,O,X,X,X,X,X
LJIOTZS,X,X,X,X,O,O,X
LJIOSTZ,X,O,X,X,X,X,X
LJIOSZT,X,O,O,O,O,O,X
LJIOZTS,X,X,X,X,O,O,X
LJIOZST,X,O,O,O,O,O,X
LJSTIZO,X,X,X,X,X,X,X
LJSTIOZ,X,O,X,X,X,X,X
LJSTZIO,O,X,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X,X
LJSTOIZ,X,O,X,X,X,X,X
LJSTOZI,X,X,X,X,X,X,X
LJSITZO,X,X,X,X,X,X,X
LJSITOZ,X,O,X,X,X,X,X
LJSIZTO,O,X,X,X,X,O,X
LJSIZOT,O,O,O,O,O,O,X
LJSIOTZ,X,O,X,X,X,X,X
LJSIOZT,X,O,O,O,O,O,X
LJSZTIO,O,X,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X,X
LJSZITO,O,X,X,X,X,O,X
LJSZIOT,O,O,O,O,O,O,X
LJSZOTI,O,X,X,X,X,X,X
LJSZOIT,O,O,O,O,O,O,X
LJSOTIZ,X,O,X,X,X,X,X
LJSOTZI,O,X,X,X,X,X,X
LJSOITZ,X,O,X,X,X,X,X
LJSOIZT,O,O,O,O,O,O,X
LJSOZTI,O,X,X,X,X,X,X
LJSOZIT,O,O,O,O,O,O,X
LJZTISO,O,X,X,X,X,O,O
LJZTIOS,X,X,X,X,O,O,O
LJZTSIO,O,X,X,X,X,X,O
LJZTSOI,O,X,X,X,X,X,O
LJZTOIS,X,X,X,X,O,O,O
LJZTOSI,X,X,X,X,X,X,O
LJZITSO,O,X,X,X,X,O,O
LJZITOS,X,X,X,X,O,O,O
LJZISTO,O,X,X,X,X,O,X
LJZISOT,O,O,O,O,O,O,X
LJZIOTS,X,X,X,X,O,O,O
LJZIOST,O,O,O,O,O,O,X
LJZSTIO,O,X,X,X,X,X,X
LJZSTOI,O,X,X,X,X,X,X
LJZSITO,O,X,X,X,X,O,X
LJZSIOT,O,O,O,O,O,O,X
LJZSOTI,O,X,X,X,X,X,X
LJZSOIT,O,O,O,O,O,O,X
LJZOTIS,O,X,X,X,O,O,O
LJZOTSI,O,X,X,X,X,X,O
LJZOITS,O,X,X,X,O,O,O
LJZOIST,O,O,O,O,O,O,X
LJZOSTI,O,X,X,X,X,X,X
LJZOSIT,O,O,O,O,O,O,X
LJOTISZ,X,O,X,X,X,X,X
LJOTIZS,X,X,X,X,O,O,X
LJOTSIZ,X,O,X,X,X,X,X
LJOTSZI,O,X,X,X,X,X,X
LJOTZIS,O,X,X,X,O,O,O
LJOTZSI,O,X,X,X,X,X,O
LJOITSZ,X,O,X,X,X,X,X
LJOITZS,X,X,X,X,O,O,X
LJOISTZ,X,O,X,X,X,X,X
LJOISZT,O,O,O,O,O,O,X
LJOIZTS,O,X,X,X,O,O,X
LJOIZST,O,O,O,O,O,O,X
LJOSTIZ,X,O,X,X,X,X,X
LJOSTZI,O,X,X,X,X,X,X
LJOSITZ,X,O,X,X,X,X,X
LJOSIZT,O,O,O,O,O,O,X
LJOSZTI,O,X,X,X,X,X,X
LJOSZIT,O,O,O,O,O,O,X
LJOZTIS,O,X,X,X,O,O,O
LJOZTSI,O,X,X,X,X,X,O
LJOZITS,O,X,X,X,O,O,O
LJOZIST,O,O,O,O,O,O,X
LJOZSTI,O,X,X,X,X,X,X
LJOZSIT,O,O,O,O,O,O,X
LSTIJZO,X,X,X,X,X,X,X
LSTIJOZ,X,O,X,X,X,X,X
LSTIZJO,X,X,X,X,X,X,X
LSTIZOJ,X,X,O,X,X,X,X
LSTIOJZ,X,O,X,X,X,X,X
LSTIOZJ,X,X,O,X,X,X,X
LSTJIZO,X,X,X,X,X,X,X
LSTJIOZ,X,O,X,X,X,X,X
LSTJZIO,O,X,X,X,X,X,X
LSTJZOI,O,X,X,X,X,X,X
LSTJOIZ,X,O,X,X,X,X,X
LSTJOZI,X,X,X,X,X,X,X
LSTZIJO,X,X,X,X,X,X,X
LSTZIOJ,X,X,O,X,X,X,X
LSTZJIO,O,X,X,X,X,X,X
LSTZJOI,O,X,X,X,X,X,X
LSTZOIJ,X,X,O,X,X,X,X
LSTZOJI,O,X,X,X,X,X,X
LSTOIJZ,X,O,X,X,X,X,X
LSTOIZJ,X,X,O,X,X,X,X
LSTOJIZ,X,O,X,X,X,X,X
LSTOJZI,O,X,X,X,X,X,X
LSTOZIJ,X,X,O,X,X,X,X
LSTOZJI,O,X,X,X,X,X,X
