sequence,v115@GhA8BeA8FeD8FeF8OeT/IvhFlgBRiBXmBinBWxBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhF0gBlhBaoBRrBWyBXsB,v115@GhA8BeA8FeD8FeF8OeT/IvhFxgB2nBCmBlrB3sBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhFlgB3hBmnBRrBSxBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhF6lB2mBRiBlrBUtB3sB,v115@GhA8BeA8FeD8FeF8OeT/IvhF6lB2mBRiB3nB0rBVyB,v115@GhA8BeA8FeD8FeF8OeT/IvhF0gBxhBFnBGrB3sBKtB
TOILZSJ,X,X,O,O,O,O,X
TOIJLSZ,O,O,O,O,O,X,X
TOIJLZS,O,O,O,O,O,X,X
TOIJSLZ,X,O,O,O,O,X,X
TOIJSZL,X,O,X,X,X,X,X
TOIJZLS,X,O,X,X,O,X,X
TOIJZSL,X,O,X,X,O,X,X
TOISLJZ,O,X,O,O,X,O,X
TOISLZJ,O,X,O,O,X,O,X
TOISJLZ,O,O,O,O,X,O,X
TOISJZL,O,O,X,X,X,O,X
TOISZLJ,O,X,O,O,X,O,X
TOISZJL,O,O,X,X,X,O,X
TOIZLJS,O,O,O,O,O,O,X
TOIZLSJ,O,X,O,O,O,O,X
TOIZJLS,X,O,X,X,O,O,X
TOIZJSL,X,O,X,X,O,O,X
TOIZSLJ,O,X,O,O,X,O,X
TOIZSJL,O,O,X,X,X,O,X
TOLIJSZ,X,X,O,O,O,X,X
TOLIJZS,X,X,O,O,O,X,X
TOLISJZ,X,X,O,O,X,O,X
TOLISZJ,X,X,O,O,X,O,X
TOLIZJS,X,X,O,O,O,O,X
TOLIZSJ,X,X,O,O,O,O,X
TOLJISZ,O,X,O,O,O,X,X
TOLJIZS,O,X,O,O,O,X,X
TOLJSIZ,O,X,O,O,O,O,X
TOLJSZI,X,X,O,X,O,O,X
TOLJZIS,O,X,O,X,O,O,X
TOLJZSI,X,X,O,X,O,O,X
TOLSIJZ,O,X,O,O,X,O,X
TOLSIZJ,O,X,O,O,X,O,X
TOLSJIZ,O,X,O,X,O,O,X
TOLSJZI,O,X,O,X,O,O,X
TOLSZIJ,O,X,O,X,O,O,X
TOLSZJI,O,X,O,X,O,O,X
TOLZIJS,O,X,O,O,O,O,X
TOLZISJ,O,X,O,O,O,O,X
TOLZJIS,O,X,O,X,O,O,X
TOLZJSI,X,X,O,X,O,O,X
TOLZSIJ,O,X,O,X,O,O,X
TOLZSJI,O,X,O,X,O,O,X
TOJILSZ,O,O,O,O,O,X,X
TOJILZS,O,O,O,O,O,X,X
TOJISLZ,X,O,O,O,O,X,X
TOJISZL,X,O,X,X,X,X,X
TOJIZLS,X,O,X,X,O,X,X
TOJIZSL,X,O,X,X,O,X,X
TOJLISZ,O,O,O,O,O,X,X
TOJLIZS,O,O,O,O,O,X,X
TOJLSIZ,O,X,O,X,O,O,X
TOJLSZI,O,X,O,X,O,O,X
TOJLZIS,O,O,O,X,O,O,X
TOJLZSI,X,O,O,X,O,O,X
TOJSILZ,O,X,O,X,O,O,O
TOJSIZL,O,X,X,X,X,O,O
TOJSLIZ,O,X,O,X,O,O,O
TOJSLZI,O,X,O,X,O,O,O
TOJSZIL,O,X,X,X,O,O,O
TOJSZLI,O,X,O,X,O,O,O
TOJZILS,X,O,X,X,O,O,X
TOJZISL,X,O,X,X,O,O,X
TOJZLIS,O,O,O,X,O,O,X
TOJZLSI,X,O,O,X,O,O,X
TOJZSIL,O,X,X,X,O,O,O
TOJZSLI,O,O,X,X,O,O,O
TOSILJZ,O,X,O,O,X,O,X
TOSILZJ,O,X,O,O,X,O,X
TOSIJLZ,O,X,O,O,X,O,O
TOSIJZL,O,X,X,X,X,O,O
TOSIZLJ,O,X,O,O,X,O,X
TOSIZJL,O,X,X,X,X,O,X
TOSLIJZ,O,X,O,O,X,O,X
TOSLIZJ,O,X,O,O,X,O,X
TOSLJIZ,O,X,O,X,O,O,O
TOSLJZI,O,X,O,X,O,O,O
TOSLZIJ,O,X,O,X,O,O,X
TOSLZJI,O,X,O,X,O,O,X
TOSJILZ,O,X,O,X,O,O,O
TOSJIZL,O,X,X,X,X,O,O
TOSJLIZ,O,X,O,X,O,O,O
TOSJLZI,O,X,O,X,O,O,O
TOSJZIL,O,X,X,X,O,O,O
TOSJZLI,O,X,O,X,O,O,O
TOSZILJ,O,X,O,X,X,O,X
TOSZIJL,O,X,X,X,X,O,X
TOSZLIJ,O,X,O,X,O,O,X
TOSZLJI,O,X,O,X,O,O,X
TOSZJIL,O,X,X,X,O,O,O
TOSZJLI,O,X,O,X,O,O,O
TOZILJS,O,O,O,O,O,O,X
TOZILSJ,O,X,O,O,O,O,X
TOZIJLS,X,O,X,X,O,O,X
TOZIJSL,X,O,X,X,O,O,X
TOZISLJ,O,X,O,O,X,O,X
TOZISJL,O,O,X,X,X,O,X
TOZLIJS,O,O,O,O,O,O,X
TOZLISJ,O,X,O,O,O,O,X
TOZLJIS,O,O,O,X,O,O,X
TOZLJSI,X,O,O,X,O,O,X
TOZLSIJ,O,X,O,X,O,O,X
TOZLSJI,O,X,O,X,O,O,X
TOZJILS,X,O,X,X,O,O,X
TOZJISL,X,O,X,X,O,O,X
TOZJLIS,O,O,O,X,O,O,X
TOZJLSI,X,O,O,X,O,O,X
TOZJSIL,O,X,X,X,O,O,O
TOZJSLI,O,O,X,X,O,O,O
TOZSILJ,O,X,O,X,X,O,X
TOZSIJL,O,O,X,X,X,O,X
TOZSLIJ,O,X,O,X,O,O,X
TOZSLJI,O,X,O,X,O,O,X
TOZSJIL,O,X,X,X,O,O,O
TOZSJLI,O,O,O,X,O,O,O
ITLJSZO,X,O,O,O,X,X,X
ITLJSOZ,X,O,O,O,O,X,X
ITLJZSO,X,O,X,O,O,X,X
ITLJZOS,X,O,O,O,O,X,X
ITLJOSZ,X,O,O,O,O,X,X
ITLJOZS,X,O,O,O,O,X,X
ITLSJZO,X,X,O,O,X,O,X
ITLSJOZ,X,X,O,O,X,O,X
ITLSZJO,X,X,O,O,X,O,X
ITLSZOJ,X,X,O,O,X,O,X
ITLSOJZ,X,X,O,O,X,O,X
ITLSOZJ,X,X,O,O,X,O,X
ITLZJSO,X,O,X,O,O,O,X
ITLZJOS,X,O,O,O,O,O,X
ITLZSJO,X,X,O,O,O,O,X
ITLZSOJ,X,X,O,O,O,O,X
ITLZOJS,X,O,O,O,O,O,X
ITLZOSJ,X,X,O,O,O,O,X
ITLOJSZ,X,O,O,O,O,X,X
ITLOJZS,X,O,O,O,O,X,X
ITLOSJZ,X,X,O,O,X,O,X
ITLOSZJ,X,X,O,O,X,O,X
ITLOZJS,X,O,O,O,O,O,X
ITLOZSJ,X,X,O,O,O,O,X
ITJLSZO,X,O,O,O,X,X,X
ITJLSOZ,O,O,O,O,O,X,X
ITJLZSO,X,O,X,O,O,X,X
ITJLZOS,O,O,O,O,O,X,X
ITJLOSZ,O,O,O,O,O,X,X
ITJLOZS,O,O,O,O,O,X,X
ITJSLZO,X,O,O,O,X,X,X
ITJSLOZ,X,O,O,O,O,X,X
ITJSZLO,X,O,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X
ITJSOLZ,X,O,O,O,O,X,X
ITJSOZL,X,O,X,X,X,X,X
ITJZLSO,X,O,X,X,O,X,X
ITJZLOS,X,O,X,X,O,X,X
ITJZSLO,X,O,X,X,O,X,X
ITJZSOL,X,O,X,X,O,X,X
ITJZOLS,X,O,X,X,O,X,X
ITJZOSL,X,O,X,X,O,X,X
ITJOLSZ,O,O,O,O,O,X,X
ITJOLZS,O,O,O,O,O,X,X
ITJOSLZ,X,O,O,O,O,X,X
ITJOSZL,X,O,X,X,X,X,X
ITJOZLS,X,O,X,X,O,X,X
ITJOZSL,X,O,X,X,O,X,X
ITSLJZO,X,X,O,O,X,O,X
ITSLJOZ,X,X,O,O,X,O,X
ITSLZJO,X,X,O,O,X,O,X
ITSLZOJ,X,X,O,O,X,O,X
ITSLOJZ,O,X,O,O,X,O,X
ITSLOZJ,O,X,O,O,X,O,X
ITSJLZO,O,O,O,O,X,O,X
ITSJLOZ,O,O,O,O,X,O,X
ITSJZLO,X,O,X,X,X,O,X
ITSJZOL,O,O,X,X,X,O,X
ITSJOLZ,O,O,O,O,X,O,X
ITSJOZL,O,O,X,X,X,O,X
ITSZLJO,O,X,O,O,X,O,X
ITSZLOJ,O,X,O,O,X,O,X
ITSZJLO,X,O,X,X,X,O,X
ITSZJOL,O,O,X,X,X,O,X
ITSZOLJ,O,X,O,O,X,O,X
ITSZOJL,O,O,X,X,X,O,X
ITSOLJZ,O,X,O,O,X,O,X
ITSOLZJ,O,X,O,O,X,O,X
ITSOJLZ,O,O,O,O,X,O,X
ITSOJZL,O,O,X,X,X,O,X
ITSOZLJ,O,X,O,O,X,O,X
ITSOZJL,O,O,X,X,X,O,X
ITZLJSO,X,O,X,O,O,O,X
ITZLJOS,O,O,O,O,O,O,X
ITZLSJO,X,X,O,O,O,O,X
ITZLSOJ,O,X,O,O,O,O,X
ITZLOJS,O,O,O,O,O,O,X
ITZLOSJ,O,X,O,O,O,O,X
ITZJLSO,X,O,X,X,O,O,X
ITZJLOS,X,O,X,X,O,O,X
ITZJSLO,X,O,X,X,O,O,X
ITZJSOL,X,O,X,X,O,O,X
ITZJOLS,X,O,X,X,O,O,X
ITZJOSL,X,O,X,X,O,O,X
ITZSLJO,O,X,O,O,X,O,X
ITZSLOJ,O,X,O,O,X,O,X
ITZSJLO,X,O,X,X,X,O,X
ITZSJOL,O,O,X,X,X,O,X
ITZSOLJ,O,X,O,O,X,O,X
ITZSOJL,O,O,X,X,X,O,X
ITZOLJS,O,O,O,O,O,O,X
ITZOLSJ,O,X,O,O,O,O,X
ITZOJLS,X,O,X,X,O,O,X
ITZOJSL,X,O,X,X,O,O,X
ITZOSLJ,O,X,O,O,X,O,X
ITZOSJL,O,O,X,X,X,O,X
ITOLJSZ,X,O,O,O,O,X,X
ITOLJZS,X,O,O,O,O,X,X
ITOLSJZ,X,X,O,O,X,O,X
ITOLSZJ,X,X,O,O,X,O,X
ITOLZJS,X,O,O,O,O,O,X
ITOLZSJ,X,X,O,O,O,O,X
ITOJLSZ,O,O,O,O,O,X,X
ITOJLZS,O,O,O,O,O,X,X
ITOJSLZ,X,O,O,O,O,X,X
ITOJSZL,X,O,X,X,X,X,X
ITOJZLS,X,O,X,X,O,X,X
ITOJZSL,X,O,X,X,O,X,X
ITOSLJZ,O,X,O,O,X,O,X
ITOSLZJ,O,X,O,O,X,O,X
ITOSJLZ,O,O,O,O,X,O,X
ITOSJZL,O,O,X,X,X,O,X
ITOSZLJ,O,X,O,O,X,O,X
ITOSZJL,O,O,X,X,X,O,X
ITOZLJS,O,O,O,O,O,O,X
ITOZLSJ,O,X,O,O,O,O,X
ITOZJLS,X,O,X,X,O,O,X
ITOZJSL,X,O,X,X,O,O,X
ITOZSLJ,O,X,O,O,X,O,X
ITOZSJL,O,O,X,X,X,O,X
ILTJSZO,X,O,O,O,X,X,X
ILTJSOZ,X,O,O,O,O,X,X
ILTJZSO,X,O,X,O,O,X,X
ILTJZOS,X,O,O,O,O,X,X
ILTJOSZ,X,O,O,O,O,X,X
ILTJOZS,X,O,O,O,O,X,X
ILTSJZO,X,X,O,O,X,O,X
ILTSJOZ,X,X,O,O,X,O,X
ILTSZJO,X,X,O,O,X,O,X
ILTSZOJ,X,X,O,O,X,O,X
ILTSOJZ,X,X,O,O,X,O,X
ILTSOZJ,X,X,O,O,X,O,X
ILTZJSO,X,O,X,O,O,O,X
ILTZJOS,X,O,O,O,O,O,X
ILTZSJO,X,X,O,O,O,O,X
ILTZSOJ,X,X,O,O,O,O,X
ILTZOJS,X,O,O,O,O,O,X
ILTZOSJ,X,X,O,O,O,O,X
ILTOJSZ,X,O,O,O,O,X,X
ILTOJZS,X,O,O,O,O,X,X
ILTOSJZ,X,X,O,O,X,O,X
ILTOSZJ,X,X,O,O,X,O,X
ILTOZJS,X,O,O,O,O,O,X
ILTOZSJ,X,X,O,O,O,O,X
ILJTSZO,X,O,O,O,X,X,X
ILJTSOZ,X,O,O,O,X,X,X
ILJTZSO,X,O,X,O,X,X,X
ILJTZOS,X,O,O,O,X,X,X
ILJTOSZ,X,O,O,O,X,X,X
ILJTOZS,X,O,O,O,X,X,X
ILJSTZO,X,O,X,O,X,X,X
ILJSTOZ,X,O,X,O,X,X,X
ILJSZTO,X,O,X,O,X,X,X
ILJSZOT,X,O,X,O,X,X,X
ILJSOTZ,X,O,X,O,X,X,X
ILJSOZT,X,O,X,O,X,X,X
ILJZTSO,X,O,X,O,X,X,X
ILJZTOS,X,O,X,O,X,X,X
ILJZSTO,X,O,X,O,X,X,X
ILJZSOT,X,O,X,O,X,X,X
ILJZOTS,X,O,X,O,X,X,X
ILJZOST,X,O,X,O,X,X,X
ILJOTSZ,X,O,O,O,X,X,X
ILJOTZS,X,O,O,O,X,X,X
ILJOSTZ,X,O,X,O,X,X,X
ILJOSZT,X,O,X,O,X,X,X
ILJOZTS,X,O,X,O,X,X,X
ILJOZST,X,O,X,O,X,X,X
ILSTJZO,X,X,O,O,X,X,X
ILSTJOZ,X,X,O,O,X,X,X
ILSTZJO,X,X,O,O,X,X,X
ILSTZOJ,X,X,O,O,X,X,X
ILSTOJZ,X,X,O,O,X,X,X
ILSTOZJ,X,X,O,O,X,X,X
ILSJTZO,X,X,X,O,X,X,X
ILSJTOZ,X,X,X,O,X,X,X
ILSJZTO,X,X,X,O,X,X,X
ILSJZOT,X,X,X,O,X,X,X
ILSJOTZ,X,X,O,O,X,X,X
ILSJOZT,X,X,X,O,X,X,X
ILSZTJO,X,X,X,O,X,X,X
ILSZTOJ,X,X,X,O,X,X,X
ILSZJTO,X,X,X,O,X,X,X
ILSZJOT,X,X,X,O,X,X,X
ILSZOTJ,X,X,X,O,X,X,X
ILSZOJT,X,X,X,O,X,X,X
ILSOTJZ,X,X,O,O,X,X,X
ILSOTZJ,X,X,O,O,X,X,X
ILSOJTZ,X,X,O,O,X,X,X
ILSOJZT,X,X,X,O,X,X,X
ILSOZTJ,X,X,X,O,X,X,X
ILSOZJT,X,X,X,O,X,X,X
ILZTJSO,X,O,X,O,O,X,X
ILZTJOS,X,O,O,O,O,X,X
ILZTSJO,X,X,O,O,O,X,X
ILZTSOJ,X,X,O,O,O,X,X
ILZTOJS,X,O,O,O,O,X,X
ILZTOSJ,X,X,O,O,O,X,X
ILZJTSO,X,O,X,O,X,X,X
ILZJTOS,X,O,X,O,X,X,X
ILZJSTO,X,O,X,O,X,X,X
ILZJSOT,X,O,X,O,X,X,X
ILZJOTS,X,O,X,O,X,X,X
ILZJOST,X,O,X,O,X,X,X
ILZSTJO,X,X,X,O,X,X,X
ILZSTOJ,X,X,X,O,X,X,X
ILZSJTO,X,X,X,O,X,X,X
ILZSJOT,X,X,X,O,X,X,X
ILZSOTJ,X,X,X,O,X,X,X
ILZSOJT,X,X,X,O,X,X,X
ILZOTJS,X,O,O,O,O,X,X
ILZOTSJ,X,X,O,O,O,X,X
ILZOJTS,X,O,X,O,X,X,X
ILZOJST,X,O,X,O,X,X,X
ILZOSTJ,X,X,X,O,X,X,X
ILZOSJT,X,X,X,O,X,X,X
ILOTJSZ,X,O,O,O,O,X,X
ILOTJZS,X,O,O,O,O,X,X
ILOTSJZ,X,X,O,O,X,O,X
ILOTSZJ,X,X,O,O,X,O,X
ILOTZJS,X,O,O,O,O,O,X
ILOTZSJ,X,X,O,O,O,O,X
ILOJTSZ,X,O,O,O,X,X,X
ILOJTZS,X,O,O,O,X,X,X
ILOJSTZ,X,O,X,O,X,X,X
ILOJSZT,X,O,X,O,X,X,X
ILOJZTS,X,O,X,O,X,X,X
ILOJZST,X,O,X,O,X,X,X
ILOSTJZ,X,X,O,O,X,X,X
ILOSTZJ,X,X,O,O,X,X,X
ILOSJTZ,X,X,O,O,X,X,X
ILOSJZT,X,X,X,O,X,X,X
ILOSZTJ,X,X,X,O,X,X,X
ILOSZJT,X,X,X,O,X,X,X
ILOZTJS,X,O,O,O,O,X,X
ILOZTSJ,X,X,O,O,O,X,X
ILOZJTS,X,O,X,O,X,X,X
ILOZJST,X,O,X,O,X,X,X
ILOZSTJ,X,X,X,O,X,X,X
ILOZSJT,X,X,X,O,X,X,X
IJTLSZO,X,O,O,O,X,X,X
IJTLSOZ,O,O,O,O,X,X,X
IJTLZSO,X,O,X,O,X,X,X
IJTLZOS,O,O,O,O,X,X,X
IJTLOSZ,O,O,O,O,X,X,X
IJTLOZS,O,O,O,O,X,X,X
IJTSLZO,X,O,O,O,X,X,X
IJTSLOZ,X,O,O,O,X,X,X
IJTSZLO,X,O,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X
IJTSOLZ,X,O,O,O,X,X,X
IJTSOZL,X,O,X,X,X,X,X
IJTZLSO,X,O,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X
IJTZSLO,X,O,X,X,X,X,X
IJTZSOL,X,O,X,X,X,X,X
IJTZOLS,X,O,X,X,X,X,X
IJTZOSL,X,O,X,X,X,X,X
IJTOLSZ,O,O,O,O,X,X,X
IJTOLZS,O,O,O,O,X,X,X
IJTOSLZ,X,O,O,O,X,X,X
IJTOSZL,X,O,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X
IJTOZSL,X,O,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,X
IJLTSOZ,O,O,O,O,X,X,X
IJLTZSO,X,O,X,O,X,X,X
IJLTZOS,O,O,O,O,X,X,X
IJLTOSZ,O,O,O,O,X,X,X
IJLTOZS,O,O,O,O,X,X,X
IJLSTZO,O,O,X,O,X,X,X
IJLSTOZ,O,O,X,O,X,X,X
IJLSZTO,O,O,X,O,X,X,X
IJLSZOT,O,O,X,O,X,X,X
IJLSOTZ,O,O,X,O,X,X,X
IJLSOZT,O,O,X,O,X,X,X
IJLZTSO,X,O,X,O,X,X,X
IJLZTOS,O,O,X,O,X,X,X
IJLZSTO,O,O,X,O,X,X,X
IJLZSOT,O,O,X,O,X,X,X
IJLZOTS,O,O,X,O,X,X,X
IJLZOST,O,O,X,O,X,X,X
IJLOTSZ,O,O,O,O,X,X,X
IJLOTZS,O,O,O,O,X,X,X
IJLOSTZ,O,O,X,O,X,X,X
IJLOSZT,O,O,X,O,X,X,X
IJLOZTS,O,O,X,O,X,X,X
IJLOZST,O,O,X,O,X,X,X
IJSTLZO,O,O,O,O,X,X,O
IJSTLOZ,O,O,O,O,X,X,O
IJSTZLO,X,O,X,X,X,X,O
IJSTZOL,O,O,X,X,X,X,O
IJSTOLZ,O,O,O,O,X,X,O
IJSTOZL,O,O,X,X,X,X,O
IJSLTZO,O,O,X,O,X,X,X
IJSLTOZ,O,O,X,O,X,X,X
IJSLZTO,O,O,X,O,X,X,X
IJSLZOT,O,O,X,O,X,X,X
IJSLOTZ,O,O,X,O,X,X,X
IJSLOZT,O,O,X,O,X,X,X
IJSZTLO,X,O,X,X,X,X,O
IJSZTOL,O,O,X,X,X,X,O
IJSZLTO,X,O,X,X,X,X,X
IJSZLOT,X,O,X,X,X,X,X
IJSZOTL,O,O,X,X,X,X,O
IJSZOLT,X,O,X,X,X,X,X
IJSOTLZ,O,O,O,O,X,X,O
IJSOTZL,O,O,X,X,X,X,O
IJSOLTZ,O,O,X,O,X,X,X
IJSOLZT,O,O,X,O,X,X,X
IJSOZTL,O,O,X,X,X,X,O
IJSOZLT,X,O,X,X,X,X,X
IJZTLSO,X,O,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X
IJZTSLO,X,O,X,X,X,X,X
IJZTSOL,X,O,X,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X
IJZTOSL,X,O,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X
IJZLSOT,X,O,X,X,X,X,X
IJZLOTS,X,O,X,X,X,X,X
IJZLOST,X,O,X,X,X,X,X
IJZSTLO,X,O,X,X,X,X,O
IJZSTOL,X,O,X,X,X,X,O
IJZSLTO,X,O,X,X,X,X,X
IJZSLOT,X,O,X,X,X,X,X
IJZSOTL,X,O,X,X,X,X,O
IJZSOLT,X,O,X,X,X,X,X
IJZOTLS,X,O,X,X,X,X,X
IJZOTSL,X,O,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X
IJZOLST,X,O,X,X,X,X,X
IJZOSTL,X,O,X,X,X,X,O
IJZOSLT,X,O,X,X,X,X,X
IJOTLSZ,O,O,O,O,X,X,X
IJOTLZS,O,O,O,O,X,X,X
IJOTSLZ,X,O,O,O,X,X,X
IJOTSZL,X,O,X,X,X,X,X
IJOTZLS,X,O,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X,X
IJOLTSZ,O,O,O,O,X,X,X
IJOLTZS,O,O,O,O,X,X,X
IJOLSTZ,O,O,X,O,X,X,X
IJOLSZT,O,O,X,O,X,X,X
IJOLZTS,O,O,X,O,X,X,X
IJOLZST,O,O,X,O,X,X,X
IJOSTLZ,O,O,O,O,X,X,O
IJOSTZL,O,O,X,X,X,X,O
IJOSLTZ,O,O,X,O,X,X,X
IJOSLZT,O,O,X,O,X,X,X
IJOSZTL,O,O,X,X,X,X,O
IJOSZLT,X,O,X,X,X,X,X
IJOZTLS,X,O,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X
IJOZLST,X,O,X,X,X,X,X
IJOZSTL,X,O,X,X,X,X,O
IJOZSLT,X,O,X,X,X,X,X
ISTLJZO,X,X,O,O,X,X,X
ISTLJOZ,X,X,O,O,X,X,X
ISTLZJO,X,X,O,O,X,X,X
ISTLZOJ,X,X,O,O,X,X,X
ISTLOJZ,O,X,O,O,X,X,X
ISTLOZJ,O,X,O,O,X,X,X
ISTJLZO,O,O,O,O,X,X,O
ISTJLOZ,O,O,O,O,X,X,O
ISTJZLO,X,O,X,X,X,X,O
ISTJZOL,O,O,X,X,X,X,O
ISTJOLZ,O,O,O,O,X,X,O
ISTJOZL,O,O,X,X,X,X,O
ISTZLJO,O,X,O,O,X,X,X
ISTZLOJ,O,X,O,O,X,X,X
ISTZJLO,X,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X
ISTZOLJ,O,X,O,O,X,X,X
ISTZOJL,O,O,X,X,X,X,X
ISTOLJZ,O,X,O,O,X,X,X
ISTOLZJ,O,X,O,O,X,X,X
ISTOJLZ,O,O,O,O,X,X,O
ISTOJZL,O,O,X,X,X,X,O
ISTOZLJ,O,X,O,O,X,X,X
ISTOZJL,O,O,X,X,X,X,X
ISLTJZO,X,X,O,O,X,X,X
ISLTJOZ,X,X,O,O,X,X,X
ISLTZJO,X,X,O,O,X,X,X
ISLTZOJ,X,X,O,O,X,X,X
ISLTOJZ,O,X,O,O,X,X,X
ISLTOZJ,O,X,O,O,X,X,X
ISLJTZO,X,X,X,O,X,X,X
ISLJTOZ,X,X,X,O,X,X,X
ISLJZTO,X,X,X,O,X,X,X
ISLJZOT,X,X,X,O,X,X,X
ISLJOTZ,X,X,O,O,X,X,X
ISLJOZT,X,X,X,O,X,X,X
ISLZTJO,X,X,X,O,X,X,X
ISLZTOJ,X,X,X,O,X,X,X
ISLZJTO,X,X,X,O,X,X,X
ISLZJOT,X,X,X,O,X,X,X
ISLZOTJ,X,X,X,O,X,X,X
ISLZOJT,X,X,X,O,X,X,X
ISLOTJZ,O,X,O,O,X,X,X
ISLOTZJ,O,X,O,O,X,X,X
ISLOJTZ,X,X,O,O,X,X,X
ISLOJZT,X,X,X,O,X,X,X
ISLOZTJ,X,X,X,O,X,X,X
ISLOZJT,X,X,X,O,X,X,X
ISJTLZO,O,O,O,O,X,X,O
ISJTLOZ,O,O,O,O,X,X,O
ISJTZLO,X,O,X,X,X,X,O
ISJTZOL,O,O,X,X,X,X,O
ISJTOLZ,O,O,O,O,X,X,O
ISJTOZL,O,O,X,X,X,X,O
ISJLTZO,O,O,X,O,X,X,X
ISJLTOZ,O,O,X,O,X,X,X
ISJLZTO,O,O,X,O,X,X,X
ISJLZOT,O,O,X,O,X,X,X
ISJLOTZ,O,O,O,O,X,X,X
ISJLOZT,O,O,X,O,X,X,X
ISJZTLO,X,O,X,X,X,X,O
ISJZTOL,O,O,X,X,X,X,O
ISJZLTO,X,O,X,X,X,X,X
ISJZLOT,X,O,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,O
ISJZOLT,X,O,X,X,X,X,X
ISJOTLZ,O,O,O,O,X,X,O
ISJOTZL,O,O,X,X,X,X,O
ISJOLTZ,O,O,O,O,X,X,X
ISJOLZT,O,O,X,O,X,X,X
ISJOZTL,O,O,X,X,X,X,O
ISJOZLT,X,O,X,X,X,X,X
ISZTLJO,O,X,O,O,X,X,X
ISZTLOJ,O,X,O,O,X,X,X
ISZTJLO,X,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X
ISZTOLJ,O,X,O,O,X,X,X
ISZTOJL,O,O,X,X,X,X,X
ISZLTJO,O,X,X,O,X,X,X
ISZLTOJ,O,X,X,O,X,X,X
ISZLJTO,O,X,X,O,X,X,X
ISZLJOT,O,X,X,O,X,X,X
ISZLOTJ,O,X,X,O,X,X,X
ISZLOJT,O,X,X,O,X,X,X
ISZJTLO,X,O,X,X,X,X,O
ISZJTOL,O,O,X,X,X,X,O
ISZJLTO,X,O,X,X,X,X,X
ISZJLOT,X,O,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,O
ISZJOLT,X,O,X,X,X,X,X
ISZOTLJ,O,X,O,O,X,X,X
ISZOTJL,O,O,X,X,X,X,X
ISZOLTJ,O,X,X,O,X,X,X
ISZOLJT,O,X,X,O,X,X,X
ISZOJTL,O,O,X,X,X,X,O
ISZOJLT,X,O,X,X,X,X,X
ISOTLJZ,O,X,O,O,X,X,X
ISOTLZJ,O,X,O,O,X,X,X
ISOTJLZ,O,O,O,O,X,X,O
ISOTJZL,O,O,X,X,X,X,O
ISOTZLJ,O,X,O,O,X,X,X
ISOTZJL,O,O,X,X,X,X,X
ISOLTJZ,O,X,O,O,X,X,X
ISOLTZJ,O,X,O,O,X,X,X
ISOLJTZ,X,X,O,O,X,X,X
ISOLJZT,X,X,X,O,X,X,X
ISOLZTJ,X,X,X,O,X,X,X
ISOLZJT,X,X,X,O,X,X,X
ISOJTLZ,O,O,O,O,X,X,O
ISOJTZL,O,O,X,X,X,X,O
ISOJLTZ,O,O,O,O,X,X,X
ISOJLZT,O,O,X,O,X,X,X
ISOJZTL,O,O,X,X,X,X,O
ISOJZLT,X,O,X,X,X,X,X
ISOZTLJ,O,X,O,O,X,X,X
ISOZTJL,O,O,X,X,X,X,X
ISOZLTJ,O,X,X,O,X,X,X
ISOZLJT,O,X,X,O,X,X,X
ISOZJTL,O,O,X,X,X,X,O
ISOZJLT,X,O,X,X,X,X,X
IZTLJSO,X,O,X,O,O,X,X
IZTLJOS,O,O,O,O,O,X,X
IZTLSJO,X,X,O,O,O,X,X
IZTLSOJ,O,X,O,O,O,X,X
IZTLOJS,O,O,O,O,O,X,X
IZTLOSJ,O,X,O,O,O,X,X
IZTJLSO,X,O,X,X,O,X,X
IZTJLOS,X,O,X,X,O,X,X
IZTJSLO,X,O,X,X,O,X,X
IZTJSOL,X,O,X,X,O,X,X
IZTJOLS,X,O,X,X,O,X,X
IZTJOSL,X,O,X,X,O,X,X
IZTSLJO,O,X,O,O,X,X,X
IZTSLOJ,O,X,O,O,X,X,X
IZTSJLO,X,O,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X
IZTSOLJ,O,X,O,O,X,X,X
IZTSOJL,O,O,X,X,X,X,X
