sequence,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFUgBFhBmiB5oBCn?BTqB,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFalBFhB8mBziB5o?B+qB,v115@RhA8CeA8AeC8AeB8BeE8KeT/IvhF/lBFhBmiB5oBCn?BUqB
ITOLJZS,X,X,X
ITOLSJZ,O,X,X
ITOLSZJ,O,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,X,X,X
ITOJLZS,X,X,X
ITOJSLZ,X,X,X
ITOJSZL,O,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,O,X,X
ITOSLZJ,O,X,X
ITOSJLZ,X,X,X
ITOSJZL,O,X,X
ITOSZLJ,O,X,X
ITOSZJL,O,X,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,O,X,X
ILTJSOZ,X,X,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,O,X,X
ILTJOZS,X,X,X
ILTSJZO,O,X,X
ILTSJOZ,X,X,X
ILTSZJO,O,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,O,X,X
ILTOJZS,X,X,X
ILTOSJZ,O,X,X
ILTOSZJ,O,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,O,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,O,X,X
ILJTOZS,X,X,X
ILJSTZO,O,X,X
ILJSTOZ,X,X,X
ILJSZTO,O,X,X
ILJSZOT,X,X,X
ILJSOTZ,O,X,X
ILJSOZT,O,X,X
ILJZTSO,X,X,X
ILJZTOS,X,X,X
ILJZSTO,X,X,O
ILJZSOT,X,X,O
ILJZOTS,X,X,X
ILJZOST,X,X,O
ILJOTSZ,O,X,X
ILJOTZS,X,X,X
ILJOSTZ,O,X,X
ILJOSZT,O,X,X
ILJOZTS,X,X,X
ILJOZST,X,X,O
ILSTJZO,O,X,X
ILSTJOZ,X,X,X
ILSTZJO,O,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,O,X,X
ILSJTOZ,X,X,X
ILSJZTO,O,X,X
ILSJZOT,X,X,X
ILSJOTZ,O,X,X
ILSJOZT,O,X,X
ILSZTJO,O,X,X
ILSZTOJ,X,X,X
ILSZJTO,O,X,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,O,X,X
ILSOTZJ,O,X,X
ILSOJTZ,O,X,X
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,X,X,X
ILZTJOS,X,X,X
ILZTSJO,X,X,X
ILZTSOJ,X,X,X
ILZTOJS,X,X,X
ILZTOSJ,X,X,X
ILZJTSO,X,X,X
ILZJTOS,X,X,X
ILZJSTO,X,X,O
ILZJSOT,X,X,O
ILZJOTS,X,X,X
ILZJOST,X,X,O
ILZSTJO,X,X,O
ILZSTOJ,X,X,O
ILZSJTO,X,X,O
ILZSJOT,X,X,O
ILZSOTJ,X,X,O
ILZSOJT,X,X,O
ILZOTJS,X,X,X
ILZOTSJ,X,X,X
ILZOJTS,X,X,X
ILZOJST,X,X,O
ILZOSTJ,X,X,O
ILZOSJT,X,X,O
ILOTJSZ,O,X,X
ILOTJZS,X,X,X
ILOTSJZ,O,X,X
ILOTSZJ,O,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,O,X,X
ILOJTZS,X,X,X
ILOJSTZ,O,X,X
