sequence,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBFtBGtB,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBGtBFtB,v115@RhD8FeH8Lei/IvhF8mBGjBRlB3nBFmBTtB,v115@RhD8FeH8LeT/IvhFigBRiBFmBXnBGtBctB,v115@RhD8FeH8LeT/IvhF2lB8mB5oBatBFrB3sB,v115@RhD8FeH8LeT/IvhF2lB8mB5oB3nBFmBatB
IOLJSZT,X,O,O,X,O,O
IOLJZTS,X,X,X,X,O,X
IOLJZST,X,O,O,X,O,O
IOLSTJZ,O,O,O,X,X,X
IOLSTZJ,O,O,O,X,X,X
IOLSJTZ,O,O,O,X,X,X
IOLSJZT,O,O,O,X,O,O
IOLSZTJ,O,O,O,X,X,X
IOLSZJT,O,O,O,X,O,O
IOLZTJS,X,X,X,X,O,X
IOLZTSJ,O,X,X,X,X,X
IOLZJTS,X,X,X,X,O,X
IOLZJST,X,O,O,X,O,O
IOLZSTJ,O,O,O,X,X,X
IOLZSJT,O,O,O,X,O,O
IOJTLSZ,X,X,O,O,X,X
IOJTLZS,X,X,X,X,O,X
IOJTSLZ,X,X,O,O,X,X
IOJTSZL,X,X,O,O,X,O
IOJTZLS,X,X,X,X,O,X
IOJTZSL,X,X,X,X,X,O
IOJLTSZ,X,X,O,O,X,X
IOJLTZS,X,X,X,X,O,X
IOJLSTZ,X,O,O,X,X,X
IOJLSZT,X,O,O,X,O,O
IOJLZTS,X,X,X,X,O,X
IOJLZST,X,O,O,X,O,O
IOJSTLZ,X,O,O,O,X,X
IOJSTZL,X,X,O,O,X,O
IOJSLTZ,X,O,O,X,X,X
IOJSLZT,X,O,O,X,O,O
IOJSZTL,X,X,O,X,X,O
IOJSZLT,X,O,O,X,O,O
IOJZTLS,X,X,X,X,O,X
IOJZTSL,X,X,X,X,X,O
IOJZLTS,X,X,X,X,O,X
IOJZLST,X,O,O,X,O,O
IOJZSTL,X,O,O,X,X,O
IOJZSLT,X,O,O,X,O,O
IOSTLJZ,O,O,O,O,X,X
IOSTLZJ,O,O,O,X,X,X
IOSTJLZ,O,X,O,O,X,X
IOSTJZL,X,X,O,O,X,O
IOSTZLJ,O,X,O,X,X,X
IOSTZJL,X,X,O,X,X,O
IOSLTJZ,O,O,O,X,X,X
IOSLTZJ,O,O,O,X,X,X
IOSLJTZ,O,O,O,X,X,X
IOSLJZT,O,O,O,X,O,O
IOSLZTJ,O,O,O,X,X,X
IOSLZJT,O,O,O,X,O,O
IOSJTLZ,X,O,O,O,X,X
IOSJTZL,X,X,O,O,X,O
IOSJLTZ,O,O,O,X,X,X
IOSJLZT,O,O,O,X,O,O
IOSJZTL,X,X,O,X,X,O
IOSJZLT,X,O,O,X,O,O
IOSZTLJ,X,X,O,X,X,X
IOSZTJL,X,X,O,X,X,O
IOSZLTJ,O,O,O,X,X,X
IOSZLJT,O,O,O,X,O,O
IOSZJTL,X,X,O,X,X,O
IOSZJLT,X,X,O,X,O,O
IOZTLJS,X,X,X,X,O,X
IOZTLSJ,O,X,X,X,X,X
IOZTJLS,X,X,X,X,O,X
IOZTJSL,X,X,X,X,X,O
IOZTSLJ,O,X,X,X,X,X
IOZTSJL,O,X,X,X,X,O
IOZLTJS,X,X,X,X,O,X
IOZLTSJ,O,X,X,X,X,X
IOZLJTS,X,X,X,X,O,X
IOZLJST,X,O,O,X,O,O
IOZLSTJ,O,O,O,X,X,X
IOZLSJT,O,O,O,X,O,O
IOZJTLS,X,X,X,X,O,X
IOZJTSL,X,X,X,X,X,O
IOZJLTS,X,X,X,X,O,X
IOZJLST,X,O,O,X,O,O
IOZJSTL,X,O,O,X,X,O
IOZJSLT,X,O,O,X,O,O
IOZSTLJ,O,O,O,X,X,X
IOZSTJL,O,X,O,X,X,O
IOZSLTJ,O,O,O,X,X,X
IOZSLJT,O,O,O,X,O,O
IOZSJTL,X,O,O,X,X,O
IOZSJLT,O,O,O,X,O,O
LTIJSZO,X,X,X,O,X,X
LTIJSOZ,X,X,X,O,X,X
LTIJZSO,X,X,X,X,X,X
LTIJZOS,X,X,X,X,O,X
LTIJOSZ,X,X,X,O,X,X
LTIJOZS,X,X,X,X,O,X
LTISJZO,X,X,O,O,X,X
LTISJOZ,O,X,X,O,X,X
LTISZJO,X,X,O,X,X,X
LTISZOJ,O,X,X,X,X,X
LTISOJZ,O,X,X,O,X,X
LTISOZJ,O,X,X,X,X,X
LTIZJSO,X,X,X,X,X,X
LTIZJOS,X,X,X,X,O,X
LTIZSJO,O,X,O,X,X,X
LTIZSOJ,O,X,X,X,X,X
LTIZOJS,X,X,X,X,O,X
LTIZOSJ,O,X,X,X,X,X
LTIOJSZ,X,X,O,O,X,X
LTIOJZS,X,X,X,X,O,X
LTIOSJZ,O,X,O,O,X,X
LTIOSZJ,O,X,O,X,X,X
LTIOZJS,X,X,X,X,O,X
LTIOZSJ,O,X,X,X,X,X
LTJISZO,X,X,X,O,X,X
LTJISOZ,X,X,X,O,X,X
LTJIZSO,X,X,X,X,X,X
LTJIZOS,X,X,X,X,O,X
LTJIOSZ,X,X,X,O,X,X
LTJIOZS,X,X,X,X,O,X
LTJSIZO,X,X,X,O,X,X
LTJSIOZ,O,O,X,O,X,X
LTJSZIO,X,X,X,O,X,X
LTJSZOI,X,X,X,O,X,X
LTJSOIZ,O,O,X,O,X,X
LTJSOZI,X,X,X,O,X,X
LTJZISO,X,X,X,X,X,X
LTJZIOS,X,X,X,X,O,X
LTJZSIO,O,O,X,O,X,X
LTJZSOI,O,O,X,O,X,X
LTJZOIS,X,X,X,X,O,X
LTJZOSI,O,O,X,O,X,X
LTJOISZ,X,X,X,O,X,X
LTJOIZS,X,X,X,X,O,X
LTJOSIZ,O,O,X,O,X,X
LTJOSZI,X,X,X,O,X,X
LTJOZIS,X,X,X,X,O,X
LTJOZSI,O,O,X,O,X,X
LTSIJZO,X,X,O,O,X,X
LTSIJOZ,O,X,X,O,X,X
LTSIZJO,X,X,O,X,X,X
LTSIZOJ,O,X,X,X,X,X
LTSIOJZ,O,O,X,O,X,X
LTSIOZJ,O,O,X,X,X,X
LTSJIZO,X,X,O,O,X,X
LTSJIOZ,O,O,X,O,X,X
LTSJZIO,X,X,O,O,X,X
LTSJZOI,X,X,X,O,X,X
LTSJOIZ,O,O,X,O,X,X
LTSJOZI,X,X,X,O,X,X
LTSZIJO,O,X,O,X,X,X
LTSZIOJ,O,X,X,X,X,X
LTSZJIO,O,X,O,O,X,X
LTSZJOI,O,X,X,O,X,X
LTSZOIJ,O,X,X,X,X,X
LTSZOJI,O,X,X,O,X,X
LTSOIJZ,O,O,X,O,X,X
LTSOIZJ,O,O,X,X,X,X
LTSOJIZ,O,O,X,O,X,X
LTSOJZI,X,X,X,O,X,X
LTSOZIJ,O,X,X,X,X,X
LTSOZJI,O,X,X,O,X,X
LTZIJSO,X,X,X,X,X,X
LTZIJOS,X,X,X,X,O,X
LTZISJO,O,X,O,X,X,X
LTZISOJ,O,X,X,X,X,X
LTZIOJS,X,X,X,X,O,X
LTZIOSJ,O,X,X,X,X,X
LTZJISO,X,X,X,X,X,X
LTZJIOS,X,X,X,X,O,X
LTZJSIO,O,O,X,O,X,X
LTZJSOI,O,O,X,O,X,X
LTZJOIS,X,X,X,X,O,X
LTZJOSI,O,O,X,O,X,X
LTZSIJO,O,X,O,X,X,X
LTZSIOJ,O,O,X,X,X,X
LTZSJIO,O,O,O,O,X,X
LTZSJOI,O,O,X,O,X,X
LTZSOIJ,O,O,X,X,X,X
LTZSOJI,O,O,X,O,X,X
LTZOIJS,X,X,X,X,O,X
LTZOISJ,O,X,X,X,X,X
LTZOJIS,X,X,X,X,O,X
LTZOJSI,O,O,X,O,X,X
LTZOSIJ,O,O,X,X,X,X
LTZOSJI,O,O,X,O,X,X
LTOIJSZ,X,X,O,O,X,X
LTOIJZS,X,X,X,X,O,X
LTOISJZ,O,X,O,O,X,X
LTOISZJ,O,X,O,X,X,X
LTOIZJS,X,X,X,X,O,X
LTOIZSJ,O,X,X,X,X,X
LTOJISZ,X,X,O,O,X,X
LTOJIZS,X,X,X,X,O,X
LTOJSIZ,O,O,O,O,X,X
LTOJSZI,X,X,O,O,X,X
LTOJZIS,X,X,X,X,O,X
LTOJZSI,O,O,X,O,X,X
LTOSIJZ,O,O,O,O,X,X
LTOSIZJ,O,O,O,X,X,X
LTOSJIZ,O,O,O,O,X,X
LTOSJZI,X,X,O,O,X,X
LTOSZIJ,O,X,O,X,X,X
LTOSZJI,O,X,O,O,X,X
LTOZIJS,X,X,X,X,O,X
LTOZISJ,O,X,X,X,X,X
LTOZJIS,X,X,X,X,O,X
LTOZJSI,O,O,X,O,X,X
LTOZSIJ,O,O,X,X,X,X
LTOZSJI,O,O,X,O,X,X
LITJSZO,X,X,X,O,X,X
LITJSOZ,X,X,X,O,X,X
LITJZSO,X,X,X,X,X,X
LITJZOS,X,X,X,X,O,X
LITJOSZ,X,X,X,O,X,X
LITJOZS,X,X,X,X,O,X
LITSJZO,X,X,O,O,X,X
LITSJOZ,O,X,X,O,X,X
LITSZJO,X,X,O,X,X,X
LITSZOJ,O,X,X,X,X,X
LITSOJZ,O,X,X,O,X,X
LITSOZJ,O,X,X,X,X,X
LITZJSO,X,X,X,X,X,X
LITZJOS,X,X,X,X,O,X
LITZSJO,O,X,O,X,X,X
LITZSOJ,O,X,X,X,X,X
LITZOJS,X,X,X,X,O,X
LITZOSJ,O,X,X,X,X,X
LITOJSZ,X,X,O,O,X,X
LITOJZS,X,X,X,X,O,X
LITOSJZ,O,X,O,O,X,X
LITOSZJ,O,X,O,X,X,X
LITOZJS,X,X,X,X,O,X
LITOZSJ,O,X,X,X,X,X
LIJTSZO,X,X,X,O,X,X
LIJTSOZ,X,X,X,O,X,X
LIJTZSO,X,X,X,X,X,X
LIJTZOS,X,X,X,X,O,X
LIJTOSZ,X,X,X,O,X,X
LIJTOZS,X,X,X,X,O,X
LIJSTZO,X,X,O,X,X,X
LIJSTOZ,X,O,X,X,X,X
LIJSZTO,X,X,O,X,X,X
LIJSZOT,X,O,O,X,O,O
LIJSOTZ,X,O,X,X,X,X
LIJSOZT,X,O,O,X,O,O
LIJZTSO,X,X,X,X,X,X
LIJZTOS,X,X,X,X,O,X
LIJZSTO,X,O,O,X,X,X
LIJZSOT,X,O,O,X,O,O
LIJZOTS,X,X,X,X,O,X
LIJZOST,X,O,X,X,O,O
LIJOTSZ,X,X,O,O,X,X
LIJOTZS,X,X,X,X,O,X
LIJOSTZ,X,O,O,X,X,X
LIJOSZT,X,O,O,X,O,O
LIJOZTS,X,X,X,X,O,X
LIJOZST,X,O,O,X,O,O
LISTJZO,X,X,O,X,X,X
LISTJOZ,O,X,X,X,X,X
LISTZJO,X,X,O,X,X,X
LISTZOJ,O,X,X,X,X,X
LISTOJZ,O,O,X,X,X,X
LISTOZJ,O,O,X,X,X,X
LISJTZO,X,X,O,X,X,X
LISJTOZ,X,O,X,X,X,X
LISJZTO,X,X,O,X,X,X
LISJZOT,X,O,O,X,O,O
LISJOTZ,O,O,X,X,X,X
LISJOZT,O,O,O,X,O,O
LISZTJO,X,X,O,X,X,X
LISZTOJ,X,X,X,X,X,X
LISZJTO,X,X,O,X,X,X
LISZJOT,X,X,O,X,O,O
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,O,O,X,O,O
LISOTJZ,O,O,O,X,X,X
LISOTZJ,O,O,O,X,X,X
LISOJTZ,O,O,O,X,X,X
LISOJZT,O,O,O,X,O,O
LISOZTJ,O,O,O,X,X,X
LISOZJT,O,O,O,X,O,O
LIZTJSO,X,X,X,X,X,X
LIZTJOS,X,X,X,X,O,X
LIZTSJO,O,X,O,X,X,X
LIZTSOJ,O,X,X,X,X,X
LIZTOJS,X,X,X,X,O,X
LIZTOSJ,O,X,X,X,X,X
LIZJTSO,X,X,X,X,X,X
LIZJTOS,X,X,X,X,O,X
LIZJSTO,X,O,O,X,X,X
LIZJSOT,X,O,O,X,O,O
LIZJOTS,X,X,X,X,O,X
LIZJOST,X,O,X,X,O,O
LIZSTJO,O,X,O,X,X,X
LIZSTOJ,O,O,X,X,X,X
LIZSJTO,X,O,O,X,X,X
LIZSJOT,O,O,O,X,O,O
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,O,O,O,X,O,O
LIZOTJS,X,X,X,X,O,X
LIZOTSJ,O,X,X,X,X,X
LIZOJTS,X,X,X,X,O,X
LIZOJST,X,O,O,X,O,O
LIZOSTJ,O,O,O,X,X,X
LIZOSJT,O,O,O,X,O,O
LIOTJSZ,X,X,O,O,X,X
LIOTJZS,X,X,X,X,O,X
LIOTSJZ,O,X,O,O,X,X
LIOTSZJ,O,X,O,X,X,X
LIOTZJS,X,X,X,X,O,X
LIOTZSJ,O,X,X,X,X,X
LIOJTSZ,X,X,O,O,X,X
LIOJTZS,X,X,X,X,O,X
LIOJSTZ,X,O,O,X,X,X
LIOJSZT,X,O,O,X,O,O
LIOJZTS,X,X,X,X,O,X
LIOJZST,X,O,O,X,O,O
LIOSTJZ,O,O,O,X,X,X
LIOSTZJ,O,O,O,X,X,X
LIOSJTZ,O,O,O,X,X,X
LIOSJZT,O,O,O,X,O,O
LIOSZTJ,O,O,O,X,X,X
LIOSZJT,O,O,O,X,O,O
LIOZTJS,X,X,X,X,O,X
LIOZTSJ,O,X,X,X,X,X
LIOZJTS,X,X,X,X,O,X
LIOZJST,X,O,O,X,O,O
LIOZSTJ,O,O,O,X,X,X
LIOZSJT,O,O,O,X,O,O
LJTISZO,X,X,X,O,X,X
LJTISOZ,X,X,X,O,X,X
LJTIZSO,X,X,X,X,X,X
LJTIZOS,X,X,X,X,O,X
LJTIOSZ,X,X,X,O,X,X
LJTIOZS,X,X,X,X,O,X
LJTSIZO,X,X,X,O,X,X
LJTSIOZ,O,O,X,O,X,X
LJTSZIO,X,X,X,O,X,X
LJTSZOI,X,X,X,O,X,X
LJTSOIZ,O,O,X,O,X,X
LJTSOZI,X,X,X,O,X,X
LJTZISO,X,X,X,X,X,X
LJTZIOS,X,X,X,X,O,X
LJTZSIO,O,O,X,O,X,X
LJTZSOI,O,O,X,O,X,X
LJTZOIS,X,X,X,X,O,X
LJTZOSI,O,O,X,O,X,X
LJTOISZ,X,X,X,O,X,X
LJTOIZS,X,X,X,X,O,X
LJTOSIZ,O,O,X,O,X,X
LJTOSZI,X,X,X,O,X,X
LJTOZIS,X,X,X,X,O,X
LJTOZSI,O,O,X,O,X,X
LJITSZO,X,X,X,O,X,X
LJITSOZ,X,X,X,O,X,X
LJITZSO,X,X,X,X,X,X
LJITZOS,X,X,X,X,O,X
LJITOSZ,X,X,X,O,X,X
LJITOZS,X,X,X,X,O,X
LJISTZO,X,X,O,X,X,X
LJISTOZ,X,O,X,X,X,X
LJISZTO,X,X,O,X,X,X
LJISZOT,X,O,O,X,O,O
LJISOTZ,X,O,X,X,X,X
LJISOZT,X,O,O,X,O,O
LJIZTSO,X,X,X,X,X,X
LJIZTOS,X,X,X,X,O,X
LJIZSTO,X,O,O,X,X,X
LJIZSOT,X,O,O,X,O,O
LJIZOTS,X,X,X,X,O,X
LJIZOST,X,O,X,X,O,O
LJIOTSZ,X,X,O,O,X,X
LJIOTZS,X,X,X,X,O,X
LJIOSTZ,X,O,O,X,X,X
LJIOSZT,X,O,O,X,O,O
LJIOZTS,X,X,X,X,O,X
LJIOZST,X,O,O,X,O,O
LJSTIZO,X,X,O,O,X,X
LJSTIOZ,O,O,X,O,X,X
LJSTZIO,X,X,O,O,X,X
LJSTZOI,X,X,X,O,X,X
LJSTOIZ,O,O,X,O,X,X
LJSTOZI,X,X,X,O,X,X
LJSITZO,X,X,O,X,X,X
LJSITOZ,X,O,X,X,X,X
LJSIZTO,X,X,O,X,X,X
LJSIZOT,X,O,O,X,O,O
LJSIOTZ,O,O,X,X,X,X
LJSIOZT,O,O,O,X,O,O
LJSZTIO,X,O,O,X,X,X
LJSZTOI,X,O,X,X,X,X
LJSZITO,X,O,O,X,X,X
LJSZIOT,X,O,O,X,O,O
LJSZOTI,X,O,X,X,X,X
LJSZOIT,X,O,O,X,O,O
LJSOTIZ,O,O,X,O,X,X
LJSOTZI,X,X,X,O,X,X
LJSOITZ,O,O,X,X,X,X
LJSOIZT,O,O,O,X,O,O
LJSOZTI,X,O,X,X,X,X
LJSOZIT,X,O,O,X,O,O
LJZTISO,X,X,X,X,X,X
LJZTIOS,X,X,X,X,O,X
LJZTSIO,O,O,X,O,X,X
LJZTSOI,O,O,X,O,X,X
LJZTOIS,X,X,X,X,O,X
LJZTOSI,O,O,X,O,X,X
LJZITSO,X,X,X,X,X,X
LJZITOS,X,X,X,X,O,X
LJZISTO,X,O,O,X,X,X
LJZISOT,X,O,O,X,O,O
LJZIOTS,X,X,X,X,O,X
LJZIOST,X,O,X,X,O,O
LJZSTIO,O,O,O,X,X,X
LJZSTOI,O,O,X,X,X,X
LJZSITO,X,O,O,X,X,X
LJZSIOT,O,O,O,X,O,O
LJZSOTI,O,O,X,X,X,X
LJZSOIT,O,O,O,X,O,O
LJZOTIS,X,X,X,X,O,X
LJZOTSI,O,O,X,O,X,X
LJZOITS,X,X,X,X,O,X
LJZOIST,X,O,X,X,O,O
LJZOSTI,O,O,X,X,X,X
LJZOSIT,O,O,X,X,O,O
LJOTISZ,X,X,O,O,X,X
LJOTIZS,X,X,X,X,O,X
LJOTSIZ,O,O,O,O,X,X
LJOTSZI,X,X,O,O,X,X
LJOTZIS,X,X,X,X,O,X
LJOTZSI,O,O,X,O,X,X
LJOITSZ,X,X,O,O,X,X
LJOITZS,X,X,X,X,O,X
LJOISTZ,X,O,O,X,X,X
LJOISZT,X,O,O,X,O,O
LJOIZTS,X,X,X,X,O,X
LJOIZST,X,O,O,X,O,O
LJOSTIZ,O,O,O,O,X,X
LJOSTZI,X,X,O,O,X,X
LJOSITZ,O,O,O,X,X,X
LJOSIZT,O,O,O,X,O,O
LJOSZTI,X,O,O,X,X,X
LJOSZIT,X,O,O,X,O,O
LJOZTIS,X,X,X,X,O,X
LJOZTSI,O,O,X,O,X,X
LJOZITS,X,X,X,X,O,X
LJOZIST,X,O,O,X,O,O
LJOZSTI,O,O,O,X,X,X
LJOZSIT,O,O,O,X,O,O
LSTIJZO,X,X,O,O,X,X
LSTIJOZ,O,X,X,O,X,X
LSTIZJO,X,X,O,X,X,X
LSTIZOJ,O,X,X,X,X,X
LSTIOJZ,O,O,X,O,X,X
LSTIOZJ,O,O,X,X,X,X
LSTJIZO,X,X,O,O,X,X
LSTJIOZ,O,O,X,O,X,X
LSTJZIO,X,X,O,O,X,X
LSTJZOI,X,X,X,O,X,X
LSTJOIZ,O,O,X,O,X,X
LSTJOZI,X,X,X,O,X,X
LSTZIJO,O,X,O,X,X,X
LSTZIOJ,O,X,X,X,X,X
LSTZJIO,O,X,O,O,X,X
LSTZJOI,O,X,X,O,X,X
LSTZOIJ,O,X,X,X,X,X
LSTZOJI,O,X,X,O,X,X
LSTOIJZ,O,O,X,O,X,X
LSTOIZJ,O,O,X,X,X,X
LSTOJIZ,O,O,X,O,X,X
LSTOJZI,X,X,X,O,X,X
LSTOZIJ,O,X,X,X,X,X
LSTOZJI,O,X,X,O,X,X
LSITJZO,X,X,O,X,X,X
LSITJOZ,O,X,X,X,X,X
LSITZJO,X,X,O,X,X,X
LSITZOJ,O,X,X,X,X,X
LSITOJZ,O,O,X,X,X,X
LSITOZJ,O,O,X,X,X,X
LSIJTZO,X,X,O,X,X,X
LSIJTOZ,X,O,X,X,X,X
LSIJZTO,X,X,O,X,X,X
LSIJZOT,X,O,O,X,O,O
LSIJOTZ,O,O,X,X,X,X
LSIJOZT,O,O,O,X,O,O
LSIZTJO,X,X,O,X,X,X
LSIZTOJ,X,X,X,X,X,X
LSIZJTO,X,X,O,X,X,X
LSIZJOT,X,X,O,X,O,O
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,O,O,X,O,O
LSIOTJZ,O,O,O,X,X,X
LSIOTZJ,O,O,O,X,X,X
LSIOJTZ,O,O,O,X,X,X
LSIOJZT,O,O,O,X,O,O
LSIOZTJ,O,O,O,X,X,X
LSIOZJT,O,O,O,X,O,O
LSJTIZO,X,X,O,O,X,X
LSJTIOZ,O,O,X,O,X,X
LSJTZIO,X,X,O,O,X,X
LSJTZOI,X,X,X,O,X,X
LSJTOIZ,O,O,X,O,X,X
LSJTOZI,X,X,X,O,X,X
LSJITZO,X,X,O,X,X,X
LSJITOZ,X,O,X,X,X,X
LSJIZTO,X,X,O,X,X,X
LSJIZOT,X,O,O,X,O,O
LSJIOTZ,O,O,X,X,X,X
LSJIOZT,O,O,O,X,O,O
LSJZTIO,X,O,O,X,X,X
LSJZTOI,X,O,X,X,X,X
LSJZITO,X,O,O,X,X,X
LSJZIOT,X,O,O,X,O,O
LSJZOTI,X,O,X,X,X,X
LSJZOIT,X,O,O,X,O,O
LSJOTIZ,O,O,X,O,X,X
LSJOTZI,X,X,X,O,X,X
LSJOITZ,O,O,X,X,X,X
LSJOIZT,O,O,O,X,O,O
LSJOZTI,X,O,X,X,X,X
LSJOZIT,X,O,O,X,O,O
LSZTIJO,O,X,O,X,X,X
LSZTIOJ,O,O,X,X,X,X
LSZTJIO,O,O,O,X,X,X
LSZTJOI,O,O,X,X,X,X
LSZTOIJ,O,O,X,X,X,X
LSZTOJI,O,O,X,X,X,X
LSZITJO,O,X,O,X,X,X
LSZITOJ,O,O,X,X,X,X
LSZIJTO,X,O,O,X,X,X
LSZIJOT,O,O,O,X,O,O
LSZIOTJ,O,O,X,X,X,X
LSZIOJT,O,O,O,X,O,O
LSZJTIO,O,O,O,X,X,X
LSZJTOI,O,O,X,X,X,X
LSZJITO,X,O,O,X,X,X
LSZJIOT,O,O,O,X,O,O
LSZJOTI,O,O,X,X,X,X
LSZJOIT,O,O,O,X,O,O
LSZOTIJ,O,O,X,X,X,X
LSZOTJI,O,O,X,X,X,X
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,O,O,X,O,O
LSZOJTI,O,O,X,X,X,X
LSZOJIT,O,O,O,X,O,O
LSOTIJZ,O,O,O,O,X,X
LSOTIZJ,O,O,O,X,X,X
LSOTJIZ,O,O,O,O,X,X
LSOTJZI,X,X,O,O,X,X
LSOTZIJ,O,X,O,X,X,X
LSOTZJI,O,X,O,O,X,X
LSOITJZ,O,O,O,X,X,X
LSOITZJ,O,O,O,X,X,X
LSOIJTZ,O,O,O,X,X,X
LSOIJZT,O,O,O,X,O,O
LSOIZTJ,O,O,O,X,X,X
LSOIZJT,O,O,O,X,O,O
LSOJTIZ,O,O,O,O,X,X
LSOJTZI,X,X,O,O,X,X
LSOJITZ,O,O,O,X,X,X
LSOJIZT,O,O,O,X,O,O
LSOJZTI,X,O,O,X,X,X
LSOJZIT,X,O,O,X,O,O
LSOZTIJ,O,O,O,X,X,X
LSOZTJI,O,O,O,X,X,X
LSOZITJ,O,O,O,X,X,X
LSOZIJT,O,O,O,X,O,O
LSOZJTI,O,O,O,X,X,X
LSOZJIT,O,O,O,X,O,O
LZTIJSO,X,X,X,X,X,X
LZTIJOS,X,X,X,X,O,X
LZTISJO,O,X,O,X,X,X
LZTISOJ,O,X,X,X,X,X
LZTIOJS,X,X,X,X,O,X
LZTIOSJ,O,X,X,X,X,X
LZTJISO,X,X,X,X,X,X
LZTJIOS,X,X,X,X,O,X
LZTJSIO,O,O,X,O,X,X
LZTJSOI,O,O,X,O,X,X
LZTJOIS,X,X,X,X,O,X
LZTJOSI,O,O,X,O,X,X
LZTSIJO,O,X,O,X,X,X
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,O,O,O,X,X
LZTSJOI,O,O,X,O,X,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,O,X,X
LZTOIJS,X,X,X,X,O,X
LZTOISJ,O,X,X,X,X,X
LZTOJIS,X,X,X,X,O,X
LZTOJSI,O,O,X,O,X,X
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,X,O,X,X
LZITJSO,X,X,X,X,X,X
LZITJOS,X,X,X,X,O,X
LZITSJO,O,X,O,X,X,X
LZITSOJ,O,X,X,X,X,X
LZITOJS,X,X,X,X,O,X
LZITOSJ,O,X,X,X,X,X
LZIJTSO,X,X,X,X,X,X
LZIJTOS,X,X,X,X,O,X
LZIJSTO,X,O,O,X,X,X
LZIJSOT,X,O,O,X,O,O
LZIJOTS,X,X,X,X,O,X
LZIJOST,X,O,X,X,O,O
LZISTJO,O,X,O,X,X,X
LZISTOJ,O,O,X,X,X,X
LZISJTO,X,O,O,X,X,X
LZISJOT,O,O,O,X,O,O
LZISOTJ,O,O,X,X,X,X
LZISOJT,O,O,O,X,O,O
LZIOTJS,X,X,X,X,O,X
LZIOTSJ,O,X,X,X,X,X
LZIOJTS,X,X,X,X,O,X
LZIOJST,X,O,O,X,O,O
LZIOSTJ,O,O,O,X,X,X
LZIOSJT,O,O,O,X,O,O
LZJTISO,X,X,X,X,X,X
LZJTIOS,X,X,X,X,O,X
LZJTSIO,O,O,X,O,X,X
LZJTSOI,O,O,X,O,X,X
LZJTOIS,X,X,X,X,O,X
LZJTOSI,O,O,X,O,X,X
LZJITSO,X,X,X,X,X,X
LZJITOS,X,X,X,X,O,X
LZJISTO,X,O,O,X,X,X
LZJISOT,X,O,O,X,O,O
LZJIOTS,X,X,X,X,O,X
LZJIOST,X,O,X,X,O,O
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,O,X,X,X,X
LZJSITO,X,O,O,X,X,X
LZJSIOT,O,O,O,X,O,O
LZJSOTI,O,O,X,X,X,X
LZJSOIT,O,O,O,X,O,O
LZJOTIS,X,X,X,X,O,X
LZJOTSI,O,O,X,O,X,X
LZJOITS,X,X,X,X,O,X
LZJOIST,X,O,X,X,O,O
LZJOSTI,O,O,X,X,X,X
LZJOSIT,O,O,X,X,O,O
LZSTIJO,O,X,O,X,X,X
LZSTIOJ,O,O,X,X,X,X
LZSTJIO,O,O,O,X,X,X
LZSTJOI,O,O,X,X,X,X
LZSTOIJ,O,O,X,X,X,X
LZSTOJI,O,O,X,X,X,X
LZSITJO,O,X,O,X,X,X
LZSITOJ,O,O,X,X,X,X
LZSIJTO,X,O,O,X,X,X
LZSIJOT,O,O,O,X,O,O
LZSIOTJ,O,O,X,X,X,X
LZSIOJT,O,O,O,X,O,O
LZSJTIO,O,O,O,X,X,X
LZSJTOI,O,O,X,X,X,X
LZSJITO,X,O,O,X,X,X
LZSJIOT,O,O,O,X,O,O
LZSJOTI,O,O,X,X,X,X
LZSJOIT,O,O,O,X,O,O
LZSOTIJ,O,O,X,X,X,X
LZSOTJI,O,O,X,X,X,X
LZSOITJ,O,O,X,X,X,X
LZSOIJT,O,O,O,X,O,O
LZSOJTI,O,O,X,X,X,X
LZSOJIT,O,O,O,X,O,O
LZOTIJS,X,X,X,X,O,X
LZOTISJ,O,X,X,X,X,X
LZOTJIS,X,X,X,X,O,X
LZOTJSI,O,O,X,O,X,X
LZOTSIJ,O,O,X,X,X,X
LZOTSJI,O,O,X,O,X,X
LZOITJS,X,X,X,X,O,X
LZOITSJ,O,X,X,X,X,X
LZOIJTS,X,X,X,X,O,X
LZOIJST,X,O,O,X,O,O
LZOISTJ,O,O,O,X,X,X
LZOISJT,O,O,O,X,O,O
LZOJTIS,X,X,X,X,O,X
LZOJTSI,O,O,X,O,X,X
LZOJITS,X,X,X,X,O,X
LZOJIST,X,O,O,X,O,O
LZOJSTI,O,O,O,X,X,X
LZOJSIT,O,O,O,X,O,O
LZOSTIJ,O,O,O,X,X,X
LZOSTJI,O,O,O,X,X,X
LZOSITJ,O,O,O,X,X,X
LZOSIJT,O,O,O,X,O,O
LZOSJTI,O,O,O,X,X,X
