sequence,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Ke0/IvhFlhBziB?5oBarBXlBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Kel/IvhFamBziB?5oBXlB+rBUsB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeXAJvhFlhBziB?5oBarB0kBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeVFJvhF3hBziB?5oB0kBarBWxB
LJTSIOZ,O,O,O,O
LJTSZIO,O,O,O,X
LJTSZOI,O,O,O,X
LJTSOIZ,O,O,O,O
LJTSOZI,O,O,O,X
LJTZISO,O,X,O,X
LJTZIOS,O,X,O,X
LJTZSIO,O,X,O,X
LJTZSOI,O,X,O,X
LJTZOIS,O,X,O,X
LJTZOSI,O,X,O,X
LJTOISZ,O,O,O,O
LJTOIZS,O,X,O,X
LJTOSIZ,O,O,O,O
LJTOSZI,O,O,O,X
LJTOZIS,O,X,O,X
LJTOZSI,O,X,O,X
LJITSZO,O,O,O,X
LJITSOZ,O,O,O,O
LJITZSO,O,X,O,X
LJITZOS,O,X,O,X
LJITOSZ,O,O,O,O
LJITOZS,O,X,O,X
LJISTZO,O,O,O,X
LJISTOZ,O,O,O,O
LJISZTO,O,O,O,X
LJISZOT,O,O,O,X
LJISOTZ,O,O,O,O
LJISOZT,O,O,O,X
LJIZTSO,O,X,O,X
LJIZTOS,O,X,O,X
LJIZSTO,O,O,O,X
LJIZSOT,O,O,O,X
LJIZOTS,O,X,O,X
LJIZOST,O,O,O,X
LJIOTSZ,O,O,O,O
LJIOTZS,O,X,O,X
LJIOSTZ,O,O,O,O
LJIOSZT,O,O,O,X
LJIOZTS,O,X,O,X
LJIOZST,O,O,O,X
LJSTIZO,O,O,O,X
LJSTIOZ,O,O,O,O
LJSTZIO,O,O,O,X
LJSTZOI,O,O,O,X
LJSTOIZ,O,O,O,O
LJSTOZI,O,O,O,X
LJSITZO,O,O,O,X
LJSITOZ,O,O,O,O
LJSIZTO,O,O,O,X
LJSIZOT,O,O,O,X
LJSIOTZ,O,O,O,O
LJSIOZT,O,O,O,X
LJSZTIO,O,O,O,X
LJSZTOI,O,O,O,X
LJSZITO,O,O,O,X
LJSZIOT,O,O,O,X
LJSZOTI,O,O,O,X
LJSZOIT,O,O,O,X
LJSOTIZ,O,O,O,O
LJSOTZI,O,O,O,X
LJSOITZ,O,O,O,O
LJSOIZT,O,O,O,X
LJSOZTI,O,O,O,X
LJSOZIT,O,O,O,X
LJZTISO,O,X,O,X
LJZTIOS,O,X,O,X
LJZTSIO,O,X,O,X
LJZTSOI,O,X,O,X
LJZTOIS,O,X,O,X
LJZTOSI,O,X,O,X
LJZITSO,O,X,O,X
LJZITOS,O,X,O,X
LJZISTO,O,O,O,X
LJZISOT,O,O,O,X
LJZIOTS,O,X,O,X
LJZIOST,O,O,O,X
LJZSTIO,O,O,O,X
LJZSTOI,O,O,O,X
LJZSITO,O,O,O,X
LJZSIOT,O,O,O,X
LJZSOTI,O,O,O,X
LJZSOIT,O,O,O,X
LJZOTIS,O,X,O,X
LJZOTSI,O,X,O,X
LJZOITS,O,X,O,X
LJZOIST,O,O,O,X
LJZOSTI,O,O,O,X
LJZOSIT,O,O,O,X
LJOTISZ,O,O,O,O
LJOTIZS,O,X,O,X
LJOTSIZ,O,O,O,O
LJOTSZI,O,O,O,X
LJOTZIS,O,X,O,X
LJOTZSI,O,X,O,X
LJOITSZ,O,O,O,O
LJOITZS,O,X,O,X
LJOISTZ,O,O,O,O
LJOISZT,O,O,O,X
LJOIZTS,O,X,O,X
LJOIZST,O,O,O,X
LJOSTIZ,O,O,O,O
LJOSTZI,O,O,O,X
LJOSITZ,O,O,O,O
LJOSIZT,O,O,O,X
LJOSZTI,O,O,O,X
LJOSZIT,O,O,O,X
LJOZTIS,O,X,O,X
LJOZTSI,O,X,O,X
LJOZITS,O,X,O,X
LJOZIST,O,O,O,X
LJOZSTI,O,O,O,X
LJOZSIT,O,O,O,X
LSTIJZO,X,O,X,X
LSTIJOZ,X,O,O,X
LSTIZJO,X,X,X,X
LSTIZOJ,O,X,O,X
LSTIOJZ,X,O,O,O
LSTIOZJ,O,X,O,O
LSTJIZO,X,O,X,X
LSTJIOZ,X,O,O,X
LSTJZIO,X,O,X,X
LSTJZOI,X,O,X,X
LSTJOIZ,X,O,O,X
LSTJOZI,X,O,X,X
LSTZIJO,X,X,X,X
LSTZIOJ,O,X,O,X
LSTZJIO,X,X,X,X
LSTZJOI,X,X,X,X
LSTZOIJ,O,X,O,X
LSTZOJI,X,X,X,X
LSTOIJZ,X,O,O,O
LSTOIZJ,O,X,O,O
LSTOJIZ,X,O,O,X
LSTOJZI,X,O,X,X
LSTOZIJ,O,X,O,X
LSTOZJI,X,X,X,X
LSITJZO,X,O,X,X
LSITJOZ,X,O,O,X
LSITZJO,X,X,X,X
LSITZOJ,O,X,O,X
LSITOJZ,X,O,O,O
LSITOZJ,O,X,O,O
LSIJTZO,X,O,X,X
LSIJTOZ,X,O,O,X
LSIJZTO,X,O,X,X
LSIJZOT,X,O,X,X
LSIJOTZ,X,O,O,X
LSIJOZT,X,O,X,X
LSIZTJO,X,X,X,X
LSIZTOJ,O,X,O,X
LSIZJTO,X,X,X,X
LSIZJOT,X,X,X,X
LSIZOTJ,O,X,O,X
LSIZOJT,X,X,X,X
LSIOTJZ,X,O,O,O
LSIOTZJ,O,X,O,O
LSIOJTZ,X,O,O,X
LSIOJZT,X,O,X,X
LSIOZTJ,O,X,O,X
LSIOZJT,X,X,X,X
LSJTIZO,X,O,X,X
LSJTIOZ,X,O,O,X
LSJTZIO,X,O,X,X
LSJTZOI,X,O,X,X
LSJTOIZ,X,O,O,X
LSJTOZI,X,O,X,X
LSJITZO,X,O,X,X
LSJITOZ,X,O,O,X
LSJIZTO,X,O,X,X
LSJIZOT,X,O,X,X
LSJIOTZ,X,O,O,X
LSJIOZT,X,O,X,X
LSJZTIO,X,O,X,X
LSJZTOI,X,O,X,X
LSJZITO,X,O,X,X
LSJZIOT,X,O,X,X
LSJZOTI,X,O,X,X
LSJZOIT,X,O,X,X
LSJOTIZ,X,O,O,X
LSJOTZI,X,O,X,X
LSJOITZ,X,O,O,X
LSJOIZT,X,O,X,X
LSJOZTI,X,O,X,X
LSJOZIT,X,O,X,X
LSZTIJO,X,X,X,X
LSZTIOJ,O,X,O,X
LSZTJIO,X,X,X,X
LSZTJOI,X,X,X,X
LSZTOIJ,O,X,O,X
LSZTOJI,X,X,X,X
LSZITJO,X,X,X,X
LSZITOJ,O,X,O,X
LSZIJTO,X,X,X,X
LSZIJOT,X,X,X,X
LSZIOTJ,O,X,O,X
LSZIOJT,X,X,X,X
LSZJTIO,X,X,X,X
LSZJTOI,X,X,X,X
LSZJITO,X,X,X,X
LSZJIOT,X,X,X,X
LSZJOTI,X,X,X,X
LSZJOIT,X,X,X,X
LSZOTIJ,O,X,O,X
LSZOTJI,X,X,X,X
LSZOITJ,O,X,O,X
LSZOIJT,X,X,X,X
LSZOJTI,X,X,X,X
LSZOJIT,X,X,X,X
LSOTIJZ,X,O,O,O
LSOTIZJ,O,X,O,O
LSOTJIZ,X,O,O,X
LSOTJZI,X,O,X,X
LSOTZIJ,O,X,O,X
LSOTZJI,X,X,X,X
LSOITJZ,X,O,O,O
LSOITZJ,O,X,O,O
LSOIJTZ,X,O,O,X
LSOIJZT,X,O,X,X
LSOIZTJ,O,X,O,X
LSOIZJT,X,X,X,X
LSOJTIZ,X,O,O,X
LSOJTZI,X,O,X,X
LSOJITZ,X,O,O,X
LSOJIZT,X,O,X,X
LSOJZTI,X,O,X,X
LSOJZIT,X,O,X,X
LSOZTIJ,O,X,O,X
LSOZTJI,X,X,X,X
LSOZITJ,O,X,O,X
LSOZIJT,X,X,X,X
LSOZJTI,X,X,X,X
LSOZJIT,X,X,X,X
LZTIJSO,X,X,X,X
LZTIJOS,O,X,X,X
LZTISJO,X,X,X,X
LZTISOJ,O,X,O,X
LZTIOJS,O,X,X,X
LZTIOSJ,O,X,O,X
LZTJISO,X,X,X,X
LZTJIOS,O,X,X,X
LZTJSIO,X,X,X,X
LZTJSOI,X,X,X,X
LZTJOIS,O,X,X,X
LZTJOSI,X,X,X,X
LZTSIJO,X,X,X,X
LZTSIOJ,O,X,O,X
LZTSJIO,X,X,X,X
LZTSJOI,X,X,X,X
LZTSOIJ,O,X,O,X
LZTSOJI,X,X,X,X
LZTOIJS,O,X,X,X
LZTOISJ,O,X,O,X
LZTOJIS,O,X,X,X
LZTOJSI,X,X,X,X
LZTOSIJ,O,X,O,X
LZTOSJI,X,X,X,X
LZITJSO,X,X,X,X
LZITJOS,O,X,X,X
LZITSJO,X,X,X,X
LZITSOJ,O,X,O,X
LZITOJS,O,X,X,X
LZITOSJ,O,X,O,X
LZIJTSO,O,X,X,X
LZIJTOS,O,X,X,X
LZIJSTO,O,X,X,X
LZIJSOT,O,X,X,X
LZIJOTS,O,X,X,X
LZIJOST,O,X,X,X
LZISTJO,X,X,X,X
LZISTOJ,O,X,O,X
LZISJTO,X,X,X,X
LZISJOT,X,X,X,X
LZISOTJ,O,X,O,X
LZISOJT,X,X,X,X
LZIOTJS,O,X,X,X
LZIOTSJ,O,X,O,X
LZIOJTS,O,X,X,X
LZIOJST,O,X,X,X
LZIOSTJ,O,X,O,X
LZIOSJT,X,X,X,X
LZJTISO,O,X,X,X
LZJTIOS,O,X,X,X
LZJTSIO,O,X,X,X
LZJTSOI,O,X,X,X
LZJTOIS,O,X,X,X
LZJTOSI,O,X,X,X
LZJITSO,O,X,X,X
LZJITOS,O,X,X,X
LZJISTO,O,X,X,X
LZJISOT,O,X,X,X
LZJIOTS,O,X,X,X
LZJIOST,O,X,X,X
LZJSTIO,O,X,X,X
LZJSTOI,O,X,X,X
LZJSITO,O,X,X,X
LZJSIOT,O,X,X,X
LZJSOTI,O,X,X,X
LZJSOIT,O,X,X,X
LZJOTIS,O,X,X,X
LZJOTSI,O,X,X,X
LZJOITS,O,X,X,X
LZJOIST,O,X,X,X
LZJOSTI,O,X,X,X
LZJOSIT,O,X,X,X
LZSTIJO,X,X,X,X
LZSTIOJ,O,X,O,X
LZSTJIO,X,X,X,X
LZSTJOI,X,X,X,X
LZSTOIJ,O,X,O,X
LZSTOJI,X,X,X,X
LZSITJO,X,X,X,X
LZSITOJ,O,X,O,X
LZSIJTO,X,X,X,X
LZSIJOT,X,X,X,X
LZSIOTJ,O,X,O,X
LZSIOJT,X,X,X,X
LZSJTIO,X,X,X,X
LZSJTOI,X,X,X,X
LZSJITO,X,X,X,X
LZSJIOT,X,X,X,X
LZSJOTI,X,X,X,X
LZSJOIT,X,X,X,X
LZSOTIJ,O,X,O,X
LZSOTJI,X,X,X,X
LZSOITJ,O,X,O,X
LZSOIJT,X,X,X,X
LZSOJTI,X,X,X,X
LZSOJIT,X,X,X,X
LZOTIJS,O,X,X,X
LZOTISJ,O,X,O,X
LZOTJIS,O,X,X,X
LZOTJSI,X,X,X,X
LZOTSIJ,O,X,O,X
LZOTSJI,X,X,X,X
LZOITJS,O,X,X,X
LZOITSJ,O,X,O,X
LZOIJTS,O,X,X,X
LZOIJST,O,X,X,X
LZOISTJ,O,X,O,X
LZOISJT,X,X,X,X
LZOJTIS,O,X,X,X
LZOJTSI,O,X,X,X
LZOJITS,O,X,X,X
LZOJIST,O,X,X,X
LZOJSTI,O,X,X,X
LZOJSIT,O,X,X,X
LZOSTIJ,O,X,O,X
LZOSTJI,X,X,X,X
LZOSITJ,O,X,O,X
LZOSIJT,X,X,X,X
LZOSJTI,X,X,X,X
LZOSJIT,X,X,X,X
LOTIJSZ,X,X,O,O
LOTIJZS,O,X,X,X
LOTISJZ,X,X,O,O
LOTISZJ,O,X,O,O
LOTIZJS,O,X,X,X
LOTIZSJ,O,X,O,X
LOTJISZ,X,X,O,O
LOTJIZS,O,X,X,X
LOTJSIZ,X,X,O,O
LOTJSZI,X,X,X,X
LOTJZIS,O,X,X,X
LOTJZSI,X,X,X,X
LOTSIJZ,X,X,O,O
LOTSIZJ,O,X,O,O
LOTSJIZ,X,X,O,X
LOTSJZI,X,X,X,X
LOTSZIJ,O,X,O,X
LOTSZJI,X,X,X,X
LOTZIJS,O,X,X,X
LOTZISJ,O,X,O,X
LOTZJIS,O,X,X,X
LOTZJSI,X,X,X,X
LOTZSIJ,O,X,O,X
LOTZSJI,X,X,X,X
LOITJSZ,X,X,O,O
LOITJZS,O,X,X,X
LOITSJZ,X,X,O,O
LOITSZJ,O,X,O,O
LOITZJS,O,X,X,X
LOITZSJ,O,X,O,X
LOIJTSZ,O,O,O,O
LOIJTZS,O,X,O,X
LOIJSTZ,O,O,O,O
LOIJSZT,O,O,O,X
LOIJZTS,O,X,O,X
LOIJZST,O,O,O,X
LOISTJZ,X,O,O,O
LOISTZJ,O,X,O,O
LOISJTZ,X,O,O,X
LOISJZT,X,O,X,X
LOISZTJ,O,X,O,X
LOISZJT,X,X,X,X
LOIZTJS,O,X,X,X
LOIZTSJ,O,X,O,X
LOIZJTS,O,X,X,X
LOIZJST,O,X,X,X
LOIZSTJ,O,X,O,X
LOIZSJT,X,X,X,X
LOJTISZ,O,O,O,O
LOJTIZS,O,X,O,X
LOJTSIZ,O,O,O,O
LOJTSZI,O,O,O,X
LOJTZIS,O,X,O,X
LOJTZSI,O,X,O,X
LOJITSZ,O,O,O,O
LOJITZS,O,X,O,X
LOJISTZ,O,O,O,O
LOJISZT,O,O,O,X
LOJIZTS,O,X,O,X
LOJIZST,O,O,O,X
LOJSTIZ,O,O,O,O
LOJSTZI,O,O,O,X
LOJSITZ,O,O,O,O
LOJSIZT,O,O,O,X
LOJSZTI,O,O,O,X
LOJSZIT,O,O,O,X
LOJZTIS,O,X,O,X
LOJZTSI,O,X,O,X
LOJZITS,O,X,O,X
LOJZIST,O,O,O,X
LOJZSTI,O,O,O,X
LOJZSIT,O,O,O,X
LOSTIJZ,X,O,O,O
LOSTIZJ,O,X,O,O
LOSTJIZ,X,O,O,X
LOSTJZI,X,O,X,X
LOSTZIJ,O,X,O,X
LOSTZJI,X,X,X,X
LOSITJZ,X,O,O,O
LOSITZJ,O,X,O,O
LOSIJTZ,X,O,O,X
LOSIJZT,X,O,X,X
LOSIZTJ,O,X,O,X
LOSIZJT,X,X,X,X
LOSJTIZ,X,O,O,X
LOSJTZI,X,O,X,X
LOSJITZ,X,O,O,X
LOSJIZT,X,O,X,X
LOSJZTI,X,O,X,X
LOSJZIT,X,O,X,X
LOSZTIJ,O,X,O,X
LOSZTJI,X,X,X,X
LOSZITJ,O,X,O,X
LOSZIJT,X,X,X,X
LOSZJTI,X,X,X,X
LOSZJIT,X,X,X,X
LOZTIJS,O,X,X,X
LOZTISJ,O,X,O,X
LOZTJIS,O,X,X,X
LOZTJSI,X,X,X,X
LOZTSIJ,O,X,O,X
LOZTSJI,X,X,X,X
LOZITJS,O,X,X,X
LOZITSJ,O,X,O,X
LOZIJTS,O,X,X,X
LOZIJST,O,X,X,X
LOZISTJ,O,X,O,X
LOZISJT,X,X,X,X
LOZJTIS,O,X,X,X
LOZJTSI,O,X,X,X
LOZJITS,O,X,X,X
LOZJIST,O,X,X,X
LOZJSTI,O,X,X,X
LOZJSIT,O,X,X,X
LOZSTIJ,O,X,O,X
LOZSTJI,X,X,X,X
LOZSITJ,O,X,O,X
LOZSIJT,X,X,X,X
LOZSJTI,X,X,X,X
LOZSJIT,X,X,X,X
JTILSZO,O,O,O,X
JTILSOZ,O,O,O,O
JTILZSO,O,X,O,X
JTILZOS,O,X,O,X
JTILOSZ,O,O,O,O
JTILOZS,O,X,O,X
JTISLZO,X,O,X,X
JTISLOZ,X,O,X,O
JTISZLO,X,O,X,X
JTISZOL,X,O,X,O
JTISOLZ,X,O,X,O
JTISOZL,X,O,X,O
JTIZLSO,O,X,X,X
JTIZLOS,O,X,X,X
JTIZSLO,X,X,X,X
JTIZSOL,X,X,X,O
JTIZOLS,O,X,X,X
JTIZOSL,X,X,X,O
JTIOLSZ,O,O,O,O
JTIOLZS,O,X,O,X
JTIOSLZ,X,O,X,O
JTIOSZL,X,O,X,O
JTIOZLS,O,X,X,X
JTIOZSL,X,X,X,O
JTLISZO,O,O,O,X
JTLISOZ,O,O,O,O
JTLIZSO,O,X,O,X
JTLIZOS,O,X,O,X
JTLIOSZ,O,O,O,O
JTLIOZS,O,X,O,X
JTLSIZO,O,O,O,X
JTLSIOZ,O,O,O,O
JTLSZIO,O,O,O,X
JTLSZOI,O,O,O,X
JTLSOIZ,O,O,O,O
JTLSOZI,O,O,O,X
JTLZISO,O,X,O,X
JTLZIOS,O,X,O,X
JTLZSIO,O,X,O,X
JTLZSOI,O,X,O,X
JTLZOIS,O,X,O,X
JTLZOSI,O,X,O,X
JTLOISZ,O,O,O,O
JTLOIZS,O,X,O,X
JTLOSIZ,O,O,O,O
JTLOSZI,O,O,O,X
JTLOZIS,O,X,O,X
JTLOZSI,O,X,O,X
JTSILZO,X,O,X,X
JTSILOZ,X,O,X,O
JTSIZLO,X,O,X,X
JTSIZOL,X,O,X,O
JTSIOLZ,X,O,X,O
JTSIOZL,X,O,X,O
JTSLIZO,X,O,X,X
JTSLIOZ,X,O,X,O
JTSLZIO,X,O,X,X
JTSLZOI,X,O,X,X
JTSLOIZ,X,O,X,O
JTSLOZI,X,O,X,X
JTSZILO,X,O,X,X
JTSZIOL,X,O,X,O
JTSZLIO,X,O,X,X
JTSZLOI,X,O,X,X
JTSZOIL,X,O,X,O
JTSZOLI,X,O,X,X
JTSOILZ,X,O,X,O
JTSOIZL,X,O,X,O
JTSOLIZ,X,O,X,O
JTSOLZI,X,O,X,X
JTSOZIL,X,O,X,O
JTSOZLI,X,O,X,X
JTZILSO,O,X,X,X
JTZILOS,O,X,X,X
JTZISLO,X,X,X,X
JTZISOL,X,X,X,O
JTZIOLS,O,X,X,X
JTZIOSL,X,X,X,O
JTZLISO,O,X,X,X
JTZLIOS,O,X,X,X
JTZLSIO,O,X,X,X
JTZLSOI,O,X,X,X
JTZLOIS,O,X,X,X
JTZLOSI,O,X,X,X
JTZSILO,X,X,X,X
JTZSIOL,X,X,X,O
JTZSLIO,X,X,X,X
JTZSLOI,X,X,X,X
JTZSOIL,X,X,X,O
JTZSOLI,X,X,X,X
JTZOILS,O,X,X,X
JTZOISL,X,X,X,O
JTZOLIS,O,X,X,X
JTZOLSI,O,X,X,X
JTZOSIL,X,X,X,O
JTZOSLI,X,X,X,X
JTOILSZ,O,O,O,O
JTOILZS,O,X,O,X
JTOISLZ,X,O,X,O
JTOISZL,X,O,X,O
JTOIZLS,O,X,X,X
JTOIZSL,X,X,X,O
JTOLISZ,O,O,O,O
JTOLIZS,O,X,O,X
JTOLSIZ,O,O,O,O
JTOLSZI,O,O,O,X
JTOLZIS,O,X,O,X
JTOLZSI,O,X,O,X
JTOSILZ,X,O,X,O
JTOSIZL,X,O,X,O
JTOSLIZ,X,O,X,O
JTOSLZI,X,O,X,X
JTOSZIL,X,O,X,O
JTOSZLI,X,O,X,X
JTOZILS,O,X,X,X
JTOZISL,X,X,X,O
JTOZLIS,O,X,X,X
JTOZLSI,O,X,X,X
JTOZSIL,X,X,X,O
JTOZSLI,X,X,X,X
JITLSZO,O,O,O,X
JITLSOZ,O,O,O,O
JITLZSO,O,X,O,X
JITLZOS,O,X,O,X
JITLOSZ,O,O,O,O
JITLOZS,O,X,O,X
JITSLZO,X,O,X,X
JITSLOZ,X,O,X,O
JITSZLO,X,O,X,X
JITSZOL,X,O,X,O
JITSOLZ,X,O,X,O
JITSOZL,X,O,X,O
JITZLSO,O,X,X,X
JITZLOS,O,X,X,X
JITZSLO,X,X,X,X
JITZSOL,X,X,X,O
JITZOLS,O,X,X,X
JITZOSL,X,X,X,O
JITOLSZ,O,O,O,O
JITOLZS,O,X,O,X
JITOSLZ,X,O,X,O
JITOSZL,X,O,X,O
JITOZLS,O,X,X,X
JITOZSL,X,X,X,O
JILTSZO,O,O,O,X
JILTSOZ,O,O,O,O
JILTZSO,O,X,O,X
JILTZOS,O,X,O,X
JILTOSZ,O,O,O,O
JILTOZS,O,X,O,X
JILSTZO,O,O,O,X
JILSTOZ,O,O,O,O
JILSZTO,O,O,O,X
JILSZOT,O,O,O,X
JILSOTZ,O,O,O,O
JILSOZT,O,O,O,X
JILZTSO,O,X,O,X
JILZTOS,O,X,O,X
JILZSTO,O,O,O,X
JILZSOT,O,O,O,X
JILZOTS,O,X,O,X
JILZOST,O,O,O,X
JILOTSZ,O,O,O,O
JILOTZS,O,X,O,X
JILOSTZ,O,O,O,O
JILOSZT,O,O,O,X
JILOZTS,O,X,O,X
JILOZST,O,O,O,X
JISTLZO,X,O,X,X
JISTLOZ,X,O,X,O
JISTZLO,X,O,X,X
JISTZOL,X,O,X,O
JISTOLZ,X,O,X,O
JISTOZL,X,O,X,O
JISLTZO,O,O,O,X
JISLTOZ,O,O,O,O
JISLZTO,O,O,O,X
JISLZOT,O,O,O,X
JISLOTZ,O,O,O,O
JISLOZT,O,O,O,X
JISZTLO,X,O,X,X
JISZTOL,X,O,X,O
JISZLTO,O,O,X,X
JISZLOT,O,O,X,X
JISZOTL,X,O,X,O
JISZOLT,O,O,X,X
JISOTLZ,X,O,X,O
JISOTZL,X,O,X,O
JISOLTZ,O,O,O,O
JISOLZT,O,O,O,X
JISOZTL,X,O,X,O
JISOZLT,O,O,X,X
JIZTLSO,O,X,X,X
JIZTLOS,O,X,X,X
JIZTSLO,X,X,X,X
JIZTSOL,X,X,X,O
JIZTOLS,O,X,X,X
JIZTOSL,X,X,X,O
JIZLTSO,O,X,O,X
JIZLTOS,O,X,O,X
JIZLSTO,O,O,O,X
JIZLSOT,O,O,O,X
JIZLOTS,O,X,O,X
JIZLOST,O,O,O,X
JIZSTLO,X,O,X,X
JIZSTOL,X,O,X,O
JIZSLTO,O,O,X,X
JIZSLOT,O,O,X,X
JIZSOTL,X,O,X,O
JIZSOLT,O,O,X,X
JIZOTLS,O,X,X,X
JIZOTSL,X,X,X,O
JIZOLTS,O,X,O,X
JIZOLST,O,O,O,X
JIZOSTL,X,O,X,O
JIZOSLT,O,O,X,X
JIOTLSZ,O,O,O,O
JIOTLZS,O,X,O,X
JIOTSLZ,X,O,X,O
JIOTSZL,X,O,X,O
JIOTZLS,O,X,X,X
JIOTZSL,X,X,X,O
JIOLTSZ,O,O,O,O
JIOLTZS,O,X,O,X
JIOLSTZ,O,O,O,O
JIOLSZT,O,O,O,X
JIOLZTS,O,X,O,X
JIOLZST,O,O,O,X
JIOSTLZ,X,O,X,O
JIOSTZL,X,O,X,O
JIOSLTZ,O,O,O,O
JIOSLZT,O,O,O,X
JIOSZTL,X,O,X,O
JIOSZLT,O,O,X,X
JIOZTLS,O,X,X,X
JIOZTSL,X,X,X,O
JIOZLTS,O,X,O,X
JIOZLST,O,O,O,X
JIOZSTL,X,O,X,O
JIOZSLT,O,O,X,X
JLTISZO,O,O,O,X
JLTISOZ,O,O,O,O
JLTIZSO,O,X,O,X
JLTIZOS,O,X,O,X
JLTIOSZ,O,O,O,O
JLTIOZS,O,X,O,X
JLTSIZO,O,O,O,X
JLTSIOZ,O,O,O,O
JLTSZIO,O,O,O,X
JLTSZOI,O,O,O,X
JLTSOIZ,O,O,O,O
JLTSOZI,O,O,O,X
JLTZISO,O,X,O,X
JLTZIOS,O,X,O,X
JLTZSIO,O,X,O,X
JLTZSOI,O,X,O,X
JLTZOIS,O,X,O,X
JLTZOSI,O,X,O,X
JLTOISZ,O,O,O,O
JLTOIZS,O,X,O,X
JLTOSIZ,O,O,O,O
JLTOSZI,O,O,O,X
JLTOZIS,O,X,O,X
JLTOZSI,O,X,O,X
JLITSZO,O,O,O,X
JLITSOZ,O,O,O,O
JLITZSO,O,X,O,X
JLITZOS,O,X,O,X
JLITOSZ,O,O,O,O
JLITOZS,O,X,O,X
JLISTZO,O,O,O,X
JLISTOZ,O,O,O,O
JLISZTO,O,O,O,X
JLISZOT,O,O,O,X
JLISOTZ,O,O,O,O
JLISOZT,O,O,O,X
JLIZTSO,O,X,O,X
JLIZTOS,O,X,O,X
JLIZSTO,O,O,O,X
JLIZSOT,O,O,O,X
JLIZOTS,O,X,O,X
JLIZOST,O,O,O,X
JLIOTSZ,O,O,O,O
JLIOTZS,O,X,O,X
JLIOSTZ,O,O,O,O
JLIOSZT,O,O,O,X
JLIOZTS,O,X,O,X
JLIOZST,O,O,O,X
JLSTIZO,O,O,O,X
JLSTIOZ,O,O,O,O
JLSTZIO,O,O,O,X
JLSTZOI,O,O,O,X
JLSTOIZ,O,O,O,O
JLSTOZI,O,O,O,X
JLSITZO,O,O,O,X
JLSITOZ,O,O,O,O
JLSIZTO,O,O,O,X
JLSIZOT,O,O,O,X
JLSIOTZ,O,O,O,O
JLSIOZT,O,O,O,X
JLSZTIO,O,O,O,X
JLSZTOI,O,O,O,X
JLSZITO,O,O,O,X
JLSZIOT,O,O,O,X
JLSZOTI,O,O,O,X
JLSZOIT,O,O,O,X
JLSOTIZ,O,O,O,O
JLSOTZI,O,O,O,X
JLSOITZ,O,O,O,O
JLSOIZT,O,O,O,X
JLSOZTI,O,O,O,X
JLSOZIT,O,O,O,X
JLZTISO,O,X,O,X
JLZTIOS,O,X,O,X
JLZTSIO,O,X,O,X
JLZTSOI,O,X,O,X
JLZTOIS,O,X,O,X
JLZTOSI,O,X,O,X
JLZITSO,O,X,O,X
JLZITOS,O,X,O,X
JLZISTO,O,O,O,X
JLZISOT,O,O,O,X
JLZIOTS,O,X,O,X
JLZIOST,O,O,O,X
JLZSTIO,O,O,O,X
JLZSTOI,O,O,O,X
JLZSITO,O,O,O,X
JLZSIOT,O,O,O,X
JLZSOTI,O,O,O,X
JLZSOIT,O,O,O,X
JLZOTIS,O,X,O,X
JLZOTSI,O,X,O,X
JLZOITS,O,X,O,X
JLZOIST,O,O,O,X
JLZOSTI,O,O,O,X
JLZOSIT,O,O,O,X
JLOTISZ,O,O,O,O
JLOTIZS,O,X,O,X
JLOTSIZ,O,O,O,O
JLOTSZI,O,O,O,X
JLOTZIS,O,X,O,X
JLOTZSI,O,X,O,X
JLOITSZ,O,O,O,O
JLOITZS,O,X,O,X
JLOISTZ,O,O,O,O
JLOISZT,O,O,O,X
JLOIZTS,O,X,O,X
JLOIZST,O,O,O,X
JLOSTIZ,O,O,O,O
JLOSTZI,O,O,O,X
JLOSITZ,O,O,O,O
JLOSIZT,O,O,O,X
JLOSZTI,O,O,O,X
JLOSZIT,O,O,O,X
JLOZTIS,O,X,O,X
JLOZTSI,O,X,O,X
JLOZITS,O,X,O,X
JLOZIST,O,O,O,X
JLOZSTI,O,O,O,X
JLOZSIT,O,O,O,X
JSTILZO,X,O,X,X
JSTILOZ,X,O,X,O
JSTIZLO,X,O,X,X
JSTIZOL,X,O,X,O
JSTIOLZ,X,O,X,O
JSTIOZL,X,O,X,O
JSTLIZO,X,O,X,X
JSTLIOZ,X,O,X,O
JSTLZIO,X,O,X,X
JSTLZOI,X,O,X,X
JSTLOIZ,X,O,X,O
JSTLOZI,X,O,X,X
JSTZILO,X,O,X,X
JSTZIOL,X,O,X,O
JSTZLIO,X,O,X,X
JSTZLOI,X,O,X,X
JSTZOIL,X,O,X,O
JSTZOLI,X,O,X,X
JSTOILZ,X,O,X,O
JSTOIZL,X,O,X,O
JSTOLIZ,X,O,X,O
JSTOLZI,X,O,X,X
JSTOZIL,X,O,X,O
JSTOZLI,X,O,X,X
JSITLZO,X,O,X,X
JSITLOZ,X,O,X,O
JSITZLO,X,O,X,X
JSITZOL,X,O,X,O
JSITOLZ,X,O,X,O
JSITOZL,X,O,X,O
JSILTZO,O,O,O,X
JSILTOZ,O,O,O,O
