sequence,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFGhBTiBcpBx?qBXsBlqB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhF3gBcpBxmBG?nBlqBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Je0AJvhFxhB3kBqrBT?nBlqBOpB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFCgB+mBTiBV?qBXsB8qB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFzfBfmBlhBG?qBCsBcsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeT/IvhFxgBXiBcsBi?pBGrBlqB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFTiBcpBxlBG?mBlqBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFGgBSnBzkB8?qBlmBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Je0AJvhFxhB3kBSsBl?qBOpBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jex/IvhF1mB6nBOpBX?lB8qBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFukBclBTnBC?rB/rBFsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFqkBUhBTnBG?rB/qBFsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFCgB+mBVqBT?nB8qBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFGhBcpBTnBx?qBlqBXsB
IZLOJST,O,O,X,X,X,O,X,O,X,X,O,O,X,X
IZLOSTJ,O,O,X,X,X,O,X,O,X,X,X,X,X,O
IZLOSJT,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IZJTLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJTSLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOLS,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZJTOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJLTSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZJLSTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,O,O,X,X,X,X,O,X,X,X
IZJLOTS,X,X,X,X,X,O,X,X,X,X,O,X,X,O
IZJLOST,O,X,X,X,O,O,X,X,X,X,O,O,X,X
IZJSTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZJSOTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZJSOLT,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZJOTLS,X,X,X,X,X,X,X,X,X,X,O,X,O,O
IZJOTSL,X,X,X,X,X,X,X,O,X,X,X,X,O,O
IZJOLTS,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZJOLST,O,X,X,X,O,X,X,O,X,X,O,O,X,X
IZJOSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJOSLT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZSTLJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X
IZSTJLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSTJOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSTOJL,O,X,X,O,X,X,O,O,X,X,X,X,X,X
IZSLTJO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X
IZSLJTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZSLOTJ,O,X,X,X,X,O,O,O,X,X,X,X,X,O
IZSLOJT,O,X,X,X,X,O,X,O,X,X,O,X,X,X
IZSJTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZSJOTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSJOLT,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IZSOTLJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O
IZSOTJL,O,X,X,O,X,X,O,O,X,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,O,O,O,X,X,X,X,X,O
IZSOLJT,O,X,X,X,X,O,X,O,X,X,O,X,X,X
IZSOJTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,O,X,O,X,X,O,X,X,X
IZOTLJS,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IZOTJLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IZOTJSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IZOTSLJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IZOTSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IZOLTJS,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IZOLJTS,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZOLJST,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IZOLSTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IZOLSJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IZOJTSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IZOJLTS,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZOJLST,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IZOJSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJSLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IZOSTJL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IZOSLTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IZOSLJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IZOSJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOTLJSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
IOTLJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTLSJZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOTLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTJLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJSLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTJSZL,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOTJZLS,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IOTJZSL,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTSLJZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOTSZJL,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOTZLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOTZJLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOTZJSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOTZSLJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOTZSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOLTJSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
IOLTJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOLTSJZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLTSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOLTZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,O,X,X,X,X,O,X,O,X,X
IOLJTZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOLJSZT,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLJZTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLJZST,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOLSTJZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOLSJZT,X,X,X,X,O,X,X,O,X,X,X,O,X,X
IOLSZTJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IOLZTJS,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOLZTSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLZJTS,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOLZJST,X,O,X,X,X,X,X,O,X,X,O,O,X,X
IOLZSTJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOLZSJT,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IOJTLSZ,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOJTLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTSLZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOJTSZL,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOJTZLS,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IOJTZSL,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,O,X,O,X,X,X,X,O,X,O,X,X
IOJLTZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJLSTZ,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IOJLSZT,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJLZST,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOJSTLZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOJSTZL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOJSLTZ,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IOJSLZT,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOJSZTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJSZLT,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOJZTSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOJZLTS,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOJZLST,O,O,X,X,O,X,X,O,X,X,O,O,X,X
IOJZSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IOSTLJZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSTJZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOSLTJZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSLJTZ,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IOSLJZT,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOSLZTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSLZJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSJTLZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOSJTZL,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSJLTZ,X,X,X,O,O,X,X,X,X,O,X,O,X,X
IOSJLZT,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOSJZTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSJZLT,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSZTJL,O,O,X,O,X,X,X,O,X,X,X,X,X,O
IOSZLTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSZLJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSZJTL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZTLJS,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOZTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOZTJLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOZTJSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOZTSLJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZTSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZLTJS,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOZLTSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOZLJTS,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOZLJST,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IOZLSTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZLSJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZJTLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOZJTSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
IOZJLTS,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOZJLST,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IOZJSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZSTJL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZSLTJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZSLJT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZSJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,O,X,X,O,X,X,X
LTIJSZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTISJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTISJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTISZJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTISZOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTISOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTISOZJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X
LTIZJSO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIZSJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTIZSOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTIZOJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTIZOSJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIOJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTIOSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTIOZJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTIOZSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTJISZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJISOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTJIOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJSIZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJSIOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJSZOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTJSOIZ,X,X,O,O,O,X,X,X,O,O,X,X,X,X
LTJSOZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTJZISO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTJZIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTJZSOI,X,X,O,X,X,O,X,X,O,X,X,X,X,X
LTJZOIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJZOSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,X,X,O,X,O,X,X,X,X,O,X,O,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTJOSIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTJOZIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJOZSI,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTSIJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTSIJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTSIZJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSIOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTSIOZJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X
LTSJIZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTSJIOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTSJZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSJZOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSJOIZ,X,X,O,O,O,X,X,X,O,O,X,X,X,X
LTSJOZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTSZIJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTSZIOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSZJIO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTSZJOI,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSZOIJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSZOJI,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSOIJZ,X,X,O,O,X,X,X,X,O,O,X,X,X,X
LTSOIZJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSOJIZ,X,X,O,O,X,X,X,X,O,O,X,X,X,X
LTSOJZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTSOZIJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTSOZJI,X,O,O,X,X,X,O,X,O,O,X,X,X,X
LTZIJSO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTZIJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZISJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LTZISOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTZIOJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTZIOSJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTZJISO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTZJIOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTZJSIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTZJSOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTZJOIS,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTZJOSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTZSIOJ,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTZSJIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LTZSJOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTZSOIJ,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTZSOJI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTZOIJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTZOISJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
LTZOJIS,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTZOJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTZOSJI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
LTOIJSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
LTOIJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTOISJZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTOISZJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOIZJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTOIZSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOJISZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
LTOJIZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTOJSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTOJSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTOJZIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTOJZSI,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTOSIJZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTOSIZJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOSJIZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTOSJZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
LTOSZIJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOSZJI,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LTOZIJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTOZISJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOZJIS,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTOZJSI,X,O,O,X,X,O,X,X,X,O,X,X,X,X
LTOZSIJ,X,O,O,X,X,O,X,X,O,X,X,X,X,X
LTOZSJI,X,O,O,X,X,O,X,X,O,O,X,X,X,X
LITJSZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LITJSOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LITJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LITJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITSJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LITSJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LITSZJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITSZOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LITSOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LITSOZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LITZJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LITZSJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITZSOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LITZOJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LITZOSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LITOJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LITOSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LITOSZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LITOZJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LITOZSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LIJTSZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LIJTSOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LIJTZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJTZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LIJTOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJSTZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LIJSZTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJSZOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,O,O,X,X,X,X,O,X,O,X,X
LIJSOZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LIJZTSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJZTOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LIJZSTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJZSOT,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LIJZOTS,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LIJZOST,O,X,X,X,O,O,X,X,X,X,O,O,X,X
LIJOTSZ,X,X,X,X,O,X,X,X,X,O,X,O,X,X
LIJOTZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJOSTZ,X,X,X,X,O,X,X,X,X,O,X,O,X,X
LIJOSZT,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LIJOZTS,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LIJOZST,X,X,X,X,O,O,X,X,X,X,O,O,X,X
LISTJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LISTJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
