sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TSIOZJL,O,O,X,O,X
TSLIJZO,O,O,X,O,X
TSLIJOZ,O,O,X,O,X
TSLIZJO,O,O,X,O,X
TSLIZOJ,O,O,X,O,X
TSLIOJZ,O,O,X,O,X
TSLIOZJ,O,O,X,O,X
TSLJIZO,O,O,X,O,X
TSLJIOZ,O,O,X,O,X
TSLJZIO,O,O,O,O,X
TSLJZOI,O,O,O,O,X
TSLJOIZ,O,O,X,O,X
TSLJOZI,O,O,O,O,X
TSLZIJO,O,O,X,O,X
TSLZIOJ,O,O,O,O,X
TSLZJIO,O,O,O,O,X
TSLZJOI,O,O,O,O,X
TSLZOIJ,O,O,O,O,X
TSLZOJI,O,O,O,O,X
TSLOIJZ,O,O,X,O,X
TSLOIZJ,O,O,X,O,X
TSLOJIZ,O,O,X,O,X
TSLOJZI,O,O,O,O,X
TSLOZIJ,O,O,O,O,X
TSLOZJI,O,O,O,O,X
TSJILZO,O,X,X,O,X
TSJILOZ,O,X,X,O,X
TSJIZLO,O,O,X,O,X
TSJIZOL,O,O,X,O,X
TSJIOLZ,O,X,X,O,X
TSJIOZL,O,O,X,O,X
TSJLIZO,O,O,X,O,X
TSJLIOZ,O,O,X,O,X
TSJLZIO,O,O,X,O,X
TSJLZOI,O,O,X,O,X
TSJLOIZ,O,O,X,O,X
TSJLOZI,O,O,X,O,X
TSJZILO,O,O,X,O,X
TSJZIOL,O,O,O,O,X
TSJZLIO,O,O,X,O,X
TSJZLOI,O,O,X,O,X
TSJZOIL,O,O,O,O,X
