sequence,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFFjBmlBfsB6?sBctBTqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8Je3AJvhFcmBxiBVsBG?oBTqByxB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjBOqB8?qBFsBXtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjB2qBU?sBFtB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeGBJvhFxiBilBToB3?qBFsB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JezBJvhFFjBilB+sBc?tBRrB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFGjBKqBzlBf?sBVtB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeFCJvhFXjBxlBStBU?mBTqB2xB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFmlBfsBlnBc?tBTqBCtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFTjBWsBiqBX?tBcsBlqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhFFjBKqBxmBc?tB3mBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhF1mBXjBKqBc?tBxrBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFWsBToBiqBc?sBlqBXtB
TIOSZJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,O,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,O,O,X,X,X,O,X,X,X,X,O,X
TLIJSOZ,X,O,O,X,X,X,O,X,X,X,X,X,X
TLIJZSO,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIJZOS,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIJOSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,X,O,X,X,X,X,O,X
TLISJZO,X,X,O,X,X,X,O,X,X,X,X,O,X
TLISJOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLISZJO,X,O,O,X,X,X,O,X,X,X,X,O,X
TLISZOJ,X,O,O,X,X,X,X,X,X,X,X,O,X
TLISOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLISOZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
TLIZJSO,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIZJOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIZSJO,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIZSOJ,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIZOJS,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIOJSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,X,O,X,X,X,X,O,X
TLIOSJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,X,O,X,X,X,X,O,X
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,X,O,X
TLJISZO,X,O,O,X,X,X,O,X,X,X,X,O,X
TLJISOZ,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,X,X,X,X,X,O,X
TLJIZOS,X,O,O,X,X,X,X,X,X,X,X,O,X
TLJIOSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,O,O,X,X,X,O,X
TLJSIZO,X,O,O,X,X,X,O,X,X,O,X,X,X
TLJSIOZ,X,O,O,X,X,X,O,O,X,O,X,X,X
TLJSZIO,X,O,O,X,X,X,O,X,X,O,X,X,X
TLJSZOI,X,O,O,X,X,X,O,O,X,O,X,X,X
TLJSOIZ,X,O,O,X,X,X,O,O,X,O,X,X,X
TLJSOZI,X,O,O,X,X,X,O,O,X,O,X,X,X
TLJZISO,O,O,O,O,X,X,X,X,X,X,X,O,X
TLJZIOS,X,O,O,O,X,X,X,X,X,X,O,O,X
TLJZSIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TLJZSOI,O,O,O,O,X,X,O,O,X,X,O,X,X
TLJZOIS,X,O,O,O,X,X,O,O,X,X,O,X,X
TLJZOSI,O,O,O,O,X,X,O,O,X,X,O,X,X
TLJOISZ,X,O,X,X,O,X,O,O,X,X,X,X,O
TLJOIZS,X,O,X,X,X,X,O,O,X,X,O,X,O
TLJOSIZ,X,O,O,X,X,X,O,O,X,X,X,X,O
TLJOSZI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLJOZIS,X,O,O,O,X,X,O,O,X,X,O,X,O
TLJOZSI,X,O,O,O,X,X,O,O,X,X,O,X,O
TLSIJZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSIZJO,X,O,O,X,X,X,O,X,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TLSIOZJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLSJIZO,X,O,O,X,X,X,O,X,X,O,X,X,X
TLSJIOZ,X,O,O,X,O,X,O,X,X,O,X,X,X
TLSJZIO,X,O,O,X,X,X,O,X,X,O,X,X,X
TLSJZOI,X,O,O,X,O,X,O,X,X,O,X,X,X
TLSJOIZ,X,O,O,X,O,X,O,O,X,O,X,X,X
TLSJOZI,X,O,O,X,O,X,O,X,X,O,X,X,X
TLSZIJO,X,O,O,X,X,X,O,X,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,O,O,X,X,X,O,X,X,X,X,X,X
TLSZJOI,X,O,O,X,O,X,O,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLSZOJI,X,O,O,X,O,X,O,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TLSOIZJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLSOJIZ,X,O,O,X,O,X,O,O,X,O,X,X,X
TLSOJZI,X,O,O,X,O,X,O,X,X,O,X,X,X
TLSOZIJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TLSOZJI,X,O,O,X,O,X,O,X,X,X,X,X,X
TLZIJSO,O,O,O,O,X,X,X,X,X,X,X,O,X
TLZIJOS,X,O,X,O,X,X,X,X,X,X,O,O,X
TLZISJO,O,O,O,X,X,X,X,X,X,X,X,O,X
TLZISOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TLZIOJS,O,O,X,O,X,X,X,X,X,X,O,O,X
