sequence,v115@GhA8IeA8BeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBz?iB0rBXrB,v115@GhA8IeA8BeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBz?iBXrB0rB,v115@GhA8IeA8BeA8CeD8AeB8DeC8JeZEJvhFukB3gBtmBz?iB8qBywB,v115@GhA8IeA8BeA8CeD8AeB8DeC8JexAJvhFziB3kBCrBO?pBdsBUrB
JSIZTLO,O,O,O,X
JSIZTOL,O,O,O,X
JSIZLTO,X,X,O,X
JSIZLOT,X,X,O,X
JSIZOTL,O,O,O,X
JSIZOLT,X,X,O,X
JSIOTLZ,O,O,X,X
JSIOTZL,O,O,O,X
JSIOLTZ,X,O,X,X
JSIOLZT,X,X,O,X
JSIOZTL,O,O,O,X
JSIOZLT,X,X,O,X
JSLTIZO,X,O,X,O
JSLTIOZ,X,O,X,O
JSLTZIO,X,O,X,O
JSLTZOI,X,O,X,O
JSLTOIZ,X,O,X,O
JSLTOZI,X,O,X,O
JSLITZO,X,O,X,O
JSLITOZ,X,O,X,O
JSLIZTO,X,X,O,O
JSLIZOT,X,X,O,O
JSLIOTZ,X,O,X,O
JSLIOZT,X,X,O,O
JSLZTIO,X,X,O,O
JSLZTOI,X,X,O,O
JSLZITO,X,X,O,O
JSLZIOT,X,X,O,O
JSLZOTI,X,X,O,O
JSLZOIT,X,X,O,O
JSLOTIZ,X,O,X,O
JSLOTZI,X,O,X,O
JSLOITZ,X,O,X,O
JSLOIZT,X,X,O,O
JSLOZTI,X,X,O,O
JSLOZIT,X,X,O,O
JSZTILO,O,O,O,X
JSZTIOL,O,O,O,X
JSZTLIO,O,O,O,X
JSZTLOI,O,O,O,X
JSZTOIL,O,O,O,X
JSZTOLI,O,O,O,X
JSZITLO,O,O,O,X
JSZITOL,O,O,O,X
JSZILTO,X,X,O,X
JSZILOT,X,X,O,X
JSZIOTL,O,O,O,X
JSZIOLT,X,X,O,X
JSZLTIO,X,X,O,X
JSZLTOI,X,X,O,X
JSZLITO,X,X,O,X
JSZLIOT,X,X,O,X
JSZLOTI,X,X,O,X
JSZLOIT,X,X,O,X
JSZOTIL,O,O,O,X
JSZOTLI,O,O,O,X
JSZOITL,O,O,O,X
JSZOILT,X,X,O,X
JSZOLTI,X,X,O,X
JSZOLIT,X,X,O,X
JSOTILZ,O,O,X,X
JSOTIZL,O,O,O,X
JSOTLIZ,O,O,X,X
JSOTLZI,X,O,X,X
JSOTZIL,O,O,O,X
JSOTZLI,O,O,O,X
JSOITLZ,O,O,X,X
JSOITZL,O,O,O,X
JSOILTZ,X,O,X,X
JSOILZT,X,X,O,X
JSOIZTL,O,O,O,X
JSOIZLT,X,X,O,X
JSOLTIZ,X,O,X,O
JSOLTZI,X,O,X,O
JSOLITZ,X,O,X,O
JSOLIZT,X,X,O,O
JSOLZTI,X,X,O,O
JSOLZIT,X,X,O,O
JSOZTIL,O,O,O,X
JSOZTLI,O,O,O,X
JSOZITL,O,O,O,X
JSOZILT,X,X,O,X
JSOZLTI,X,X,O,X
JSOZLIT,X,X,O,X
JZTILSO,O,X,O,X
JZTILOS,O,O,O,X
JZTISLO,O,O,O,X
JZTISOL,O,O,O,X
JZTIOLS,O,O,O,X
JZTIOSL,O,O,O,X
JZTLISO,O,X,O,X
JZTLIOS,O,O,O,X
JZTLSIO,O,X,O,X
JZTLSOI,O,X,O,X
JZTLOIS,O,O,O,X
JZTLOSI,O,X,O,X
JZTSILO,O,O,O,X
JZTSIOL,O,O,O,X
JZTSLIO,O,O,O,X
JZTSLOI,O,O,O,X
JZTSOIL,O,O,O,X
JZTSOLI,O,O,O,X
JZTOILS,O,O,O,X
JZTOISL,O,O,O,X
JZTOLIS,O,O,O,X
JZTOLSI,O,X,O,X
JZTOSIL,O,O,O,X
JZTOSLI,O,O,O,X
JZITLSO,O,X,O,X
JZITLOS,O,O,O,X
JZITSLO,O,O,O,X
JZITSOL,O,O,O,X
JZITOLS,O,O,O,X
JZITOSL,O,O,O,X
JZILTSO,O,X,O,X
JZILTOS,O,X,O,X
JZILSTO,X,X,O,X
JZILSOT,X,X,O,X
JZILOTS,O,X,O,X
JZILOST,X,X,O,X
JZISTLO,O,O,O,X
JZISTOL,O,O,O,X
JZISLTO,X,X,O,X
JZISLOT,X,X,O,X
JZISOTL,O,O,O,X
JZISOLT,X,X,O,X
JZIOTLS,O,O,O,X
JZIOTSL,O,O,O,X
JZIOLTS,O,X,O,X
JZIOLST,X,X,O,X
JZIOSTL,O,O,O,X
JZIOSLT,X,X,O,X
JZLTISO,O,X,O,X
JZLTIOS,O,X,O,X
JZLTSIO,O,X,O,X
JZLTSOI,O,X,O,X
JZLTOIS,O,X,O,X
JZLTOSI,O,X,O,X
JZLITSO,O,X,O,X
JZLITOS,O,X,O,X
JZLISTO,X,X,O,X
JZLISOT,X,X,O,X
JZLIOTS,O,X,O,X
JZLIOST,X,X,O,X
JZLSTIO,X,X,O,X
JZLSTOI,X,X,O,X
JZLSITO,X,X,O,X
JZLSIOT,X,X,O,X
JZLSOTI,X,X,O,X
JZLSOIT,X,X,O,X
JZLOTIS,O,X,O,X
JZLOTSI,O,X,O,X
JZLOITS,O,X,O,X
JZLOIST,X,X,O,X
JZLOSTI,X,X,O,X
JZLOSIT,X,X,O,X
JZSTILO,O,O,O,X
JZSTIOL,O,O,O,X
JZSTLIO,O,O,O,X
JZSTLOI,O,O,O,X
JZSTOIL,O,O,O,X
JZSTOLI,O,O,O,X
JZSITLO,O,O,O,X
JZSITOL,O,O,O,X
JZSILTO,X,X,O,X
JZSILOT,X,X,O,X
JZSIOTL,O,O,O,X
JZSIOLT,X,X,O,X
JZSLTIO,X,X,O,X
JZSLTOI,X,X,O,X
JZSLITO,X,X,O,X
JZSLIOT,X,X,O,X
JZSLOTI,X,X,O,X
JZSLOIT,X,X,O,X
JZSOTIL,O,O,O,X
JZSOTLI,O,O,O,X
JZSOITL,O,O,O,X
JZSOILT,X,X,O,X
JZSOLTI,X,X,O,X
JZSOLIT,X,X,O,X
JZOTILS,O,O,O,X
JZOTISL,O,O,O,X
JZOTLIS,O,O,O,X
JZOTLSI,O,X,O,X
JZOTSIL,O,O,O,X
JZOTSLI,O,O,O,X
JZOITLS,O,O,O,X
JZOITSL,O,O,O,X
JZOILTS,O,X,O,X
JZOILST,X,X,O,X
JZOISTL,O,O,O,X
JZOISLT,X,X,O,X
JZOLTIS,O,X,O,X
JZOLTSI,O,X,O,X
JZOLITS,O,X,O,X
JZOLIST,X,X,O,X
JZOLSTI,X,X,O,X
JZOLSIT,X,X,O,X
JZOSTIL,O,O,O,X
JZOSTLI,O,O,O,X
JZOSITL,O,O,O,X
JZOSILT,X,X,O,X
JZOSLTI,X,X,O,X
JZOSLIT,X,X,O,X
JOTILSZ,O,O,X,X
JOTILZS,O,O,O,X
JOTISLZ,O,O,X,X
JOTISZL,O,O,O,X
JOTIZLS,O,O,O,X
JOTIZSL,O,O,O,X
JOTLISZ,O,O,X,X
JOTLIZS,O,O,O,X
JOTLSIZ,O,O,X,X
JOTLSZI,X,O,X,X
JOTLZIS,O,O,O,X
JOTLZSI,O,X,O,X
JOTSILZ,O,O,X,X
JOTSIZL,O,O,O,X
JOTSLIZ,O,O,X,X
JOTSLZI,X,O,X,X
JOTSZIL,O,O,O,X
JOTSZLI,O,O,O,X
JOTZILS,O,O,O,X
JOTZISL,O,O,O,X
JOTZLIS,O,O,O,X
JOTZLSI,O,X,O,X
JOTZSIL,O,O,O,X
JOTZSLI,O,O,O,X
JOITLSZ,O,O,X,X
JOITLZS,O,O,O,X
JOITSLZ,O,O,X,X
JOITSZL,O,O,O,X
JOITZLS,O,O,O,X
JOITZSL,O,O,O,X
JOILTSZ,O,O,X,X
JOILTZS,O,O,O,X
JOILSTZ,X,O,X,X
JOILSZT,X,X,O,X
JOILZTS,O,X,O,X
JOILZST,X,X,O,X
JOISTLZ,O,O,X,X
JOISTZL,O,O,O,X
JOISLTZ,X,O,X,X
JOISLZT,X,X,O,X
JOISZTL,O,O,O,X
JOISZLT,X,X,O,X
JOIZTLS,O,O,O,X
JOIZTSL,O,O,O,X
JOIZLTS,O,X,O,X
JOIZLST,X,X,O,X
JOIZSTL,O,O,O,X
JOIZSLT,X,X,O,X
JOLTISZ,O,O,X,X
JOLTIZS,O,O,O,X
JOLTSIZ,O,O,X,X
JOLTSZI,X,O,X,X
JOLTZIS,O,O,O,X
JOLTZSI,O,X,O,X
JOLITSZ,O,O,X,X
JOLITZS,O,O,O,X
JOLISTZ,X,O,X,X
JOLISZT,X,X,O,X
JOLIZTS,O,X,O,X
JOLIZST,X,X,O,X
JOLSTIZ,X,O,X,O
JOLSTZI,X,O,X,O
JOLSITZ,X,O,X,O
JOLSIZT,X,X,O,O
JOLSZTI,X,X,O,O
JOLSZIT,X,X,O,O
JOLZTIS,O,X,O,X
JOLZTSI,O,X,O,X
JOLZITS,O,X,O,X
JOLZIST,X,X,O,X
JOLZSTI,X,X,O,X
JOLZSIT,X,X,O,X
JOSTILZ,O,O,X,X
JOSTIZL,O,O,O,X
JOSTLIZ,O,O,X,X
JOSTLZI,X,O,X,X
JOSTZIL,O,O,O,X
JOSTZLI,O,O,O,X
JOSITLZ,O,O,X,X
JOSITZL,O,O,O,X
JOSILTZ,X,O,X,X
JOSILZT,X,X,O,X
JOSIZTL,O,O,O,X
JOSIZLT,X,X,O,X
JOSLTIZ,X,O,X,O
JOSLTZI,X,O,X,O
JOSLITZ,X,O,X,O
JOSLIZT,X,X,O,O
JOSLZTI,X,X,O,O
JOSLZIT,X,X,O,O
JOSZTIL,O,O,O,X
JOSZTLI,O,O,O,X
JOSZITL,O,O,O,X
JOSZILT,X,X,O,X
JOSZLTI,X,X,O,X
JOSZLIT,X,X,O,X
JOZTILS,O,O,O,X
JOZTISL,O,O,O,X
JOZTLIS,O,O,O,X
JOZTLSI,O,X,O,X
JOZTSIL,O,O,O,X
JOZTSLI,O,O,O,X
JOZITLS,O,O,O,X
JOZITSL,O,O,O,X
JOZILTS,O,X,O,X
JOZILST,X,X,O,X
JOZISTL,O,O,O,X
JOZISLT,X,X,O,X
JOZLTIS,O,X,O,X
JOZLTSI,O,X,O,X
JOZLITS,O,X,O,X
JOZLIST,X,X,O,X
JOZLSTI,X,X,O,X
JOZLSIT,X,X,O,X
JOZSTIL,O,O,O,X
JOZSTLI,O,O,O,X
JOZSITL,O,O,O,X
JOZSILT,X,X,O,X
JOZSLTI,X,X,O,X
JOZSLIT,X,X,O,X
STILJZO,X,O,X,O
STILJOZ,O,O,X,O
STILZJO,X,O,X,O
STILZOJ,X,O,X,O
STILOJZ,O,O,X,O
STILOZJ,X,O,X,O
STIJLZO,X,O,X,X
STIJLOZ,O,O,X,X
STIJZLO,O,O,O,X
STIJZOL,O,O,O,X
STIJOLZ,O,O,X,X
STIJOZL,O,O,O,X
STIZLJO,O,O,O,X
STIZLOJ,O,O,O,X
STIZJLO,O,O,O,X
STIZJOL,O,O,O,X
STIZOLJ,O,O,O,X
STIZOJL,O,O,O,X
STIOLJZ,O,O,X,X
STIOLZJ,X,O,X,X
STIOJLZ,O,O,X,X
STIOJZL,O,O,O,X
STIOZLJ,O,O,O,X
STIOZJL,O,O,O,X
STLIJZO,X,O,X,O
STLIJOZ,O,O,X,O
STLIZJO,X,O,X,O
STLIZOJ,X,O,X,O
STLIOJZ,O,O,X,O
STLIOZJ,X,O,X,O
STLJIZO,X,O,X,O
STLJIOZ,O,O,X,O
STLJZIO,X,O,X,O
STLJZOI,X,O,X,O
STLJOIZ,O,O,X,O
STLJOZI,X,O,X,O
STLZIJO,X,O,X,O
STLZIOJ,X,O,X,O
STLZJIO,X,O,X,O
STLZJOI,X,O,X,O
STLZOIJ,X,O,X,O
STLZOJI,X,O,X,O
STLOIJZ,O,O,X,O
STLOIZJ,X,O,X,O
STLOJIZ,O,O,X,O
STLOJZI,X,O,X,O
STLOZIJ,X,O,X,O
STLOZJI,X,O,X,O
STJILZO,X,O,X,X
STJILOZ,O,O,X,X
STJIZLO,O,O,O,X
STJIZOL,O,O,O,X
STJIOLZ,O,O,X,X
STJIOZL,O,O,O,X
STJLIZO,X,O,X,X
STJLIOZ,O,O,X,X
STJLZIO,X,O,X,X
STJLZOI,X,O,X,X
STJLOIZ,O,O,X,X
STJLOZI,X,O,X,X
STJZILO,O,O,O,X
STJZIOL,O,O,O,X
STJZLIO,O,O,O,X
STJZLOI,O,O,O,X
STJZOIL,O,O,O,X
STJZOLI,O,O,O,X
STJOILZ,O,O,X,X
STJOIZL,O,O,O,X
STJOLIZ,O,O,X,X
STJOLZI,X,O,X,X
STJOZIL,O,O,O,X
STJOZLI,O,O,O,X
STZILJO,O,O,O,X
STZILOJ,O,O,O,X
STZIJLO,O,O,O,X
STZIJOL,O,O,O,X
STZIOLJ,O,O,O,X
STZIOJL,O,O,O,X
STZLIJO,O,O,O,X
STZLIOJ,O,O,O,X
STZLJIO,O,O,O,X
STZLJOI,O,O,O,X
STZLOIJ,O,O,O,X
STZLOJI,O,O,O,X
STZJILO,O,O,O,X
STZJIOL,O,O,O,X
STZJLIO,O,O,O,X
STZJLOI,O,O,O,X
STZJOIL,O,O,O,X
STZJOLI,O,O,O,X
STZOILJ,O,O,O,X
STZOIJL,O,O,O,X
STZOLIJ,O,O,O,X
STZOLJI,O,O,O,X
STZOJIL,O,O,O,X
STZOJLI,O,O,O,X
STOILJZ,O,O,X,X
STOILZJ,X,O,X,X
STOIJLZ,O,O,X,X
STOIJZL,O,O,O,X
STOIZLJ,O,O,O,X
STOIZJL,O,O,O,X
STOLIJZ,O,O,X,O
STOLIZJ,X,O,X,O
STOLJIZ,O,O,X,O
STOLJZI,X,O,X,O
STOLZIJ,X,O,X,O
STOLZJI,X,O,X,O
STOJILZ,O,O,X,X
STOJIZL,O,O,O,X
STOJLIZ,O,O,X,X
STOJLZI,X,O,X,X
STOJZIL,O,O,O,X
STOJZLI,O,O,O,X
STOZILJ,O,O,O,X
STOZIJL,O,O,O,X
STOZLIJ,O,O,O,X
STOZLJI,O,O,O,X
STOZJIL,O,O,O,X
STOZJLI,O,O,O,X
SITLJZO,X,O,X,O
SITLJOZ,O,O,X,O
SITLZJO,X,O,X,O
SITLZOJ,X,O,X,O
SITLOJZ,O,O,X,O
SITLOZJ,X,O,X,O
SITJLZO,X,O,X,X
SITJLOZ,O,O,X,X
SITJZLO,O,O,O,X
SITJZOL,O,O,O,X
SITJOLZ,O,O,X,X
SITJOZL,O,O,O,X
SITZLJO,O,O,O,X
SITZLOJ,O,O,O,X
SITZJLO,O,O,O,X
SITZJOL,O,O,O,X
SITZOLJ,O,O,O,X
SITZOJL,O,O,O,X
SITOLJZ,O,O,X,X
SITOLZJ,X,O,X,X
SITOJLZ,O,O,X,X
SITOJZL,O,O,O,X
SITOZLJ,O,O,O,X
SITOZJL,O,O,O,X
SILTJZO,X,O,X,O
SILTJOZ,O,O,X,O
SILTZJO,X,O,X,O
SILTZOJ,X,O,X,O
SILTOJZ,O,O,X,O
SILTOZJ,X,O,X,O
SILJTZO,X,O,X,O
SILJTOZ,X,O,X,O
SILJZTO,X,X,O,O
SILJZOT,X,X,O,O
SILJOTZ,X,O,X,O
SILJOZT,X,X,O,O
SILZTJO,X,O,O,O
SILZTOJ,X,O,O,O
SILZJTO,X,X,O,O
SILZJOT,X,X,O,O
SILZOTJ,X,O,O,O
SILZOJT,X,X,O,O
SILOTJZ,O,O,X,O
SILOTZJ,X,O,X,O
SILOJTZ,X,O,X,O
SILOJZT,X,X,O,O
SILOZTJ,X,O,O,O
SILOZJT,X,X,O,O
SIJTLZO,X,O,X,X
SIJTLOZ,O,O,X,X
SIJTZLO,O,O,O,X
SIJTZOL,O,O,O,X
SIJTOLZ,O,O,X,X
SIJTOZL,O,O,O,X
SIJLTZO,X,O,X,O
SIJLTOZ,X,O,X,O
SIJLZTO,X,X,O,O
SIJLZOT,X,X,O,O
SIJLOTZ,X,O,X,O
SIJLOZT,X,X,O,O
SIJZTLO,O,O,O,X
SIJZTOL,O,O,O,X
SIJZLTO,X,X,O,X
SIJZLOT,X,X,O,X
SIJZOTL,O,O,O,X
SIJZOLT,X,X,O,X
SIJOTLZ,O,O,X,X
SIJOTZL,O,O,O,X
SIJOLTZ,X,O,X,X
SIJOLZT,X,X,O,X
SIJOZTL,O,O,O,X
SIJOZLT,X,X,O,X
SIZTLJO,O,O,O,X
SIZTLOJ,O,O,O,X
SIZTJLO,O,O,O,X
SIZTJOL,O,O,O,X
SIZTOLJ,O,O,O,X
SIZTOJL,O,O,O,X
SIZLTJO,O,O,O,O
SIZLTOJ,O,O,O,O
SIZLJTO,X,X,O,O
SIZLJOT,X,X,O,O
SIZLOTJ,O,O,O,O
SIZLOJT,X,X,O,O
SIZJTLO,O,O,O,X
SIZJTOL,O,O,O,X
SIZJLTO,X,X,O,X
SIZJLOT,X,X,O,X
SIZJOTL,O,O,O,X
SIZJOLT,X,X,O,X
SIZOTLJ,O,O,O,X
SIZOTJL,O,O,O,X
SIZOLTJ,O,O,O,X
SIZOLJT,X,X,O,X
SIZOJTL,O,O,O,X
SIZOJLT,X,X,O,X
SIOTLJZ,O,O,X,X
SIOTLZJ,X,O,X,X
SIOTJLZ,O,O,X,X
SIOTJZL,O,O,O,X
SIOTZLJ,O,O,O,X
SIOTZJL,O,O,O,X
SIOLTJZ,O,O,X,O
SIOLTZJ,X,O,X,O
SIOLJTZ,X,O,X,O
SIOLJZT,X,X,O,O
SIOLZTJ,X,O,O,O
SIOLZJT,X,X,O,O
SIOJTLZ,O,O,X,X
SIOJTZL,O,O,O,X
SIOJLTZ,X,O,X,X
SIOJLZT,X,X,O,X
SIOJZTL,O,O,O,X
SIOJZLT,X,X,O,X
SIOZTLJ,O,O,O,X
SIOZTJL,O,O,O,X
SIOZLTJ,O,O,O,X
SIOZLJT,X,X,O,X
SIOZJTL,O,O,O,X
SIOZJLT,X,X,O,X
SLTIJZO,X,O,X,O
SLTIJOZ,O,O,X,O
SLTIZJO,X,O,X,O
SLTIZOJ,X,O,X,O
SLTIOJZ,O,O,X,O
SLTIOZJ,X,O,X,O
SLTJIZO,X,O,X,O
SLTJIOZ,O,O,X,O
SLTJZIO,X,O,X,O
SLTJZOI,X,O,X,O
SLTJOIZ,O,O,X,O
SLTJOZI,X,O,X,O
SLTZIJO,X,O,X,O
SLTZIOJ,X,O,X,O
SLTZJIO,X,O,X,O
SLTZJOI,X,O,X,O
SLTZOIJ,X,O,X,O
SLTZOJI,X,O,X,O
SLTOIJZ,O,O,X,O
SLTOIZJ,X,O,X,O
SLTOJIZ,O,O,X,O
SLTOJZI,X,O,X,O
SLTOZIJ,X,O,X,O
SLTOZJI,X,O,X,O
SLITJZO,X,O,X,O
SLITJOZ,O,O,X,O
SLITZJO,X,O,X,O
SLITZOJ,X,O,X,O
SLITOJZ,O,O,X,O
SLITOZJ,X,O,X,O
SLIJTZO,X,O,X,O
SLIJTOZ,X,O,X,O
SLIJZTO,X,X,O,O
SLIJZOT,X,X,O,O
SLIJOTZ,X,O,X,O
SLIJOZT,X,X,O,O
SLIZTJO,X,O,O,O
SLIZTOJ,X,O,O,O
SLIZJTO,X,X,O,O
SLIZJOT,X,X,O,O
SLIZOTJ,X,O,O,O
SLIZOJT,X,X,O,O
SLIOTJZ,O,O,X,O
SLIOTZJ,X,O,X,O
SLIOJTZ,X,O,X,O
SLIOJZT,X,X,O,O
SLIOZTJ,X,O,O,O
SLIOZJT,X,X,O,O
SLJTIZO,X,O,X,O
SLJTIOZ,X,O,X,O
SLJTZIO,X,O,X,O
SLJTZOI,X,O,X,O
SLJTOIZ,X,O,X,O
SLJTOZI,X,O,X,O
SLJITZO,X,O,X,O
SLJITOZ,X,O,X,O
SLJIZTO,X,X,O,O
SLJIZOT,X,X,O,O
SLJIOTZ,X,O,X,O
SLJIOZT,X,X,O,O
SLJZTIO,X,X,O,O
SLJZTOI,X,X,O,O
SLJZITO,X,X,O,O
SLJZIOT,X,X,O,O
SLJZOTI,X,X,O,O
SLJZOIT,X,X,O,O
SLJOTIZ,X,O,X,O
SLJOTZI,X,O,X,O
SLJOITZ,X,O,X,O
SLJOIZT,X,X,O,O
SLJOZTI,X,X,O,O
SLJOZIT,X,X,O,O
SLZTIJO,X,O,O,O
SLZTIOJ,X,O,O,O
SLZTJIO,X,O,O,O
SLZTJOI,X,O,O,O
SLZTOIJ,X,O,O,O
SLZTOJI,X,O,O,O
SLZITJO,X,O,O,O
SLZITOJ,X,O,O,O
SLZIJTO,X,X,O,O
SLZIJOT,X,X,O,O
SLZIOTJ,X,O,O,O
SLZIOJT,X,X,O,O
SLZJTIO,X,X,O,O
SLZJTOI,X,X,O,O
SLZJITO,X,X,O,O
SLZJIOT,X,X,O,O
SLZJOTI,X,X,O,O
SLZJOIT,X,X,O,O
SLZOTIJ,X,O,O,O
SLZOTJI,X,O,O,O
SLZOITJ,X,O,O,O
SLZOIJT,X,X,O,O
SLZOJTI,X,X,O,O
SLZOJIT,X,X,O,O
SLOTIJZ,O,O,X,O
SLOTIZJ,X,O,X,O
SLOTJIZ,O,O,X,O
SLOTJZI,X,O,X,O
SLOTZIJ,X,O,X,O
SLOTZJI,X,O,X,O
SLOITJZ,O,O,X,O
SLOITZJ,X,O,X,O
SLOIJTZ,X,O,X,O
SLOIJZT,X,X,O,O
SLOIZTJ,X,O,O,O
SLOIZJT,X,X,O,O
SLOJTIZ,X,O,X,O
SLOJTZI,X,O,X,O
SLOJITZ,X,O,X,O
SLOJIZT,X,X,O,O
SLOJZTI,X,X,O,O
SLOJZIT,X,X,O,O
SLOZTIJ,X,O,O,O
SLOZTJI,X,O,O,O
SLOZITJ,X,O,O,O
SLOZIJT,X,X,O,O
SLOZJTI,X,X,O,O
SLOZJIT,X,X,O,O
SJTILZO,X,O,X,X
SJTILOZ,O,O,X,X
SJTIZLO,O,O,O,X
SJTIZOL,O,O,O,X
SJTIOLZ,O,O,X,X
SJTIOZL,O,O,O,X
SJTLIZO,X,O,X,X
SJTLIOZ,O,O,X,X
SJTLZIO,X,O,X,X
SJTLZOI,X,O,X,X
SJTLOIZ,O,O,X,X
SJTLOZI,X,O,X,X
SJTZILO,O,O,O,X
SJTZIOL,O,O,O,X
SJTZLIO,O,O,O,X
SJTZLOI,O,O,O,X
SJTZOIL,O,O,O,X
SJTZOLI,O,O,O,X
SJTOILZ,O,O,X,X
SJTOIZL,O,O,O,X
SJTOLIZ,O,O,X,X
SJTOLZI,X,O,X,X
SJTOZIL,O,O,O,X
SJTOZLI,O,O,O,X
SJITLZO,X,O,X,X
SJITLOZ,O,O,X,X
SJITZLO,O,O,O,X
SJITZOL,O,O,O,X
SJITOLZ,O,O,X,X
SJITOZL,O,O,O,X
SJILTZO,X,O,X,O
SJILTOZ,X,O,X,O
SJILZTO,X,X,O,O
SJILZOT,X,X,O,O
SJILOTZ,X,O,X,O
SJILOZT,X,X,O,O
SJIZTLO,O,O,O,X
SJIZTOL,O,O,O,X
SJIZLTO,X,X,O,X
SJIZLOT,X,X,O,X
SJIZOTL,O,O,O,X
SJIZOLT,X,X,O,X
SJIOTLZ,O,O,X,X
SJIOTZL,O,O,O,X
SJIOLTZ,X,O,X,X
SJIOLZT,X,X,O,X
SJIOZTL,O,O,O,X
SJIOZLT,X,X,O,X
SJLTIZO,X,O,X,O
SJLTIOZ,X,O,X,O
SJLTZIO,X,O,X,O
SJLTZOI,X,O,X,O
SJLTOIZ,X,O,X,O
SJLTOZI,X,O,X,O
SJLITZO,X,O,X,O
SJLITOZ,X,O,X,O
SJLIZTO,X,X,O,O
SJLIZOT,X,X,O,O
SJLIOTZ,X,O,X,O
SJLIOZT,X,X,O,O
SJLZTIO,X,X,O,O
SJLZTOI,X,X,O,O
SJLZITO,X,X,O,O
SJLZIOT,X,X,O,O
SJLZOTI,X,X,O,O
SJLZOIT,X,X,O,O
SJLOTIZ,X,O,X,O
SJLOTZI,X,O,X,O
SJLOITZ,X,O,X,O
SJLOIZT,X,X,O,O
SJLOZTI,X,X,O,O
SJLOZIT,X,X,O,O
SJZTILO,O,O,O,X
SJZTIOL,O,O,O,X
SJZTLIO,O,O,O,X
SJZTLOI,O,O,O,X
SJZTOIL,O,O,O,X
SJZTOLI,O,O,O,X
SJZITLO,O,O,O,X
SJZITOL,O,O,O,X
SJZILTO,X,X,O,X
SJZILOT,X,X,O,X
SJZIOTL,O,O,O,X
SJZIOLT,X,X,O,X
SJZLTIO,X,X,O,X
SJZLTOI,X,X,O,X
SJZLITO,X,X,O,X
SJZLIOT,X,X,O,X
SJZLOTI,X,X,O,X
SJZLOIT,X,X,O,X
SJZOTIL,O,O,O,X
SJZOTLI,O,O,O,X
SJZOITL,O,O,O,X
SJZOILT,X,X,O,X
SJZOLTI,X,X,O,X
SJZOLIT,X,X,O,X
SJOTILZ,O,O,X,X
SJOTIZL,O,O,O,X
SJOTLIZ,O,O,X,X
SJOTLZI,X,O,X,X
SJOTZIL,O,O,O,X
SJOTZLI,O,O,O,X
SJOITLZ,O,O,X,X
SJOITZL,O,O,O,X
SJOILTZ,X,O,X,X
SJOILZT,X,X,O,X
SJOIZTL,O,O,O,X
SJOIZLT,X,X,O,X
SJOLTIZ,X,O,X,O
SJOLTZI,X,O,X,O
SJOLITZ,X,O,X,O
SJOLIZT,X,X,O,O
SJOLZTI,X,X,O,O
SJOLZIT,X,X,O,O
SJOZTIL,O,O,O,X
SJOZTLI,O,O,O,X
SJOZITL,O,O,O,X
SJOZILT,X,X,O,X
SJOZLTI,X,X,O,X
SJOZLIT,X,X,O,X
SZTILJO,O,O,O,X
SZTILOJ,O,O,O,X
SZTIJLO,O,O,O,X
SZTIJOL,O,O,O,X
SZTIOLJ,O,O,O,X
SZTIOJL,O,O,O,X
SZTLIJO,O,O,O,X
SZTLIOJ,O,O,O,X
SZTLJIO,O,O,O,X
SZTLJOI,O,O,O,X
SZTLOIJ,O,O,O,X
SZTLOJI,O,O,O,X
SZTJILO,O,O,O,X
SZTJIOL,O,O,O,X
SZTJLIO,O,O,O,X
SZTJLOI,O,O,O,X
SZTJOIL,O,O,O,X
SZTJOLI,O,O,O,X
SZTOILJ,O,O,O,X
SZTOIJL,O,O,O,X
SZTOLIJ,O,O,O,X
SZTOLJI,O,O,O,X
SZTOJIL,O,O,O,X
SZTOJLI,O,O,O,X
SZITLJO,O,O,O,X
SZITLOJ,O,O,O,X
SZITJLO,O,O,O,X
SZITJOL,O,O,O,X
SZITOLJ,O,O,O,X
SZITOJL,O,O,O,X
SZILTJO,O,O,O,O
SZILTOJ,O,O,O,O
SZILJTO,X,X,O,O
SZILJOT,X,X,O,O
SZILOTJ,O,O,O,O
SZILOJT,X,X,O,O
SZIJTLO,O,O,O,X
SZIJTOL,O,O,O,X
SZIJLTO,X,X,O,X
SZIJLOT,X,X,O,X
SZIJOTL,O,O,O,X
SZIJOLT,X,X,O,X
SZIOTLJ,O,O,O,X
SZIOTJL,O,O,O,X
SZIOLTJ,O,O,O,X
SZIOLJT,X,X,O,X
SZIOJTL,O,O,O,X
SZIOJLT,X,X,O,X
SZLTIJO,O,O,O,O
SZLTIOJ,O,O,O,O
SZLTJIO,O,O,O,O
SZLTJOI,O,O,O,O
SZLTOIJ,O,O,O,O
SZLTOJI,O,O,O,O
SZLITJO,O,O,O,O
SZLITOJ,O,O,O,O
SZLIJTO,X,X,O,O
SZLIJOT,X,X,O,O
SZLIOTJ,O,O,O,O
SZLIOJT,X,X,O,O
SZLJTIO,X,X,O,O
SZLJTOI,X,X,O,O
SZLJITO,X,X,O,O
SZLJIOT,X,X,O,O
SZLJOTI,X,X,O,O
SZLJOIT,X,X,O,O
SZLOTIJ,O,O,O,O
SZLOTJI,O,O,O,O
