sequence,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFxgBmiBilBF?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBziBFlBm?mB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBVnBaoBm?kB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeOEJvhFVlBUhBRiBi?nBzpB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBK?sBznBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBTkBeqBF?nB8sBisB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFanBziBxkBl?pB3sBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBliBTkBe?qBysBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFVmBikBmnB3?nBzpBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JexAJvhFmiBTkBilBF?nB3sB0pB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBFlBmmBz?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFOlBXhBRnB0?pBisBlsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBeoBypBF?nB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeKEJvhFUhBRiBFlB2?sB3sBzpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBy?sBTsBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhB2pBFnB8?sBzpBisB
ZLJIOST,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJSTIO,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X,X
ZLJSTOI,O,O,O,X,O,O,O,O,X,X,X,O,O,O,O,O
ZLJSITO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZLJSIOT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLJSOTI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
ZLJSOIT,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
ZLJOTIS,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZLJOTSI,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,X
ZLJOITS,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZLJOIST,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZLJOSTI,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZLJOSIT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZLSTIJO,O,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X
ZLSTIOJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLSTJIO,O,O,O,O,X,X,O,O,X,O,X,O,X,O,X,X
ZLSTJOI,O,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O
ZLSTOIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLSTOJI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLSITJO,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
ZLSITOJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLSIJTO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLSIJOT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLSIOTJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X
ZLSIOJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLSJTIO,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,X
ZLSJTOI,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O
ZLSJITO,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
ZLSJIOT,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLSJOTI,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZLSJOIT,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZLSOTIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLSOTJI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLSOITJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X
ZLSOIJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLSOJTI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLSOJIT,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLOTIJS,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
ZLOTISJ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZLOTJIS,O,X,O,O,X,O,X,O,X,X,O,O,X,X,X,X
ZLOTJSI,O,X,O,O,X,O,X,O,X,X,O,O,X,O,X,X
ZLOTSIJ,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLOTSJI,O,X,O,O,O,X,O,X,X,X,O,O,X,X,X,X
ZLOITJS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLOITSJ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOIJTS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOIJST,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOISTJ,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
ZLOISJT,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
ZLOJTIS,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZLOJTSI,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,X
ZLOJITS,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZLOJIST,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZLOJSTI,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZLOJSIT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZLOSTIJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLOSTJI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZLOSITJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X
ZLOSIJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLOSJTI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLOSJIT,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZJTILSO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZJTILOS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJTISLO,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZJTISOL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJTIOLS,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O
ZJTIOSL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJTLISO,O,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X
ZJTLIOS,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
ZJTLSIO,O,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X
ZJTLSOI,O,O,O,O,X,O,O,X,O,X,O,O,O,O,X,O
ZJTLOIS,O,O,O,X,X,O,X,X,O,X,O,O,O,X,X,O
ZJTLOSI,O,O,O,X,X,O,X,X,O,X,O,O,O,O,X,O
ZJTSILO,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZJTSIOL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJTSLIO,O,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X
ZJTSLOI,O,O,O,O,X,O,O,X,X,X,O,O,O,X,X,O
ZJTSOIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJTSOLI,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJTOILS,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O
ZJTOISL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJTOLIS,O,O,O,X,X,O,X,X,O,X,O,O,X,X,X,O
ZJTOLSI,O,O,O,X,X,O,X,X,O,X,O,O,X,X,X,O
ZJTOSIL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJTOSLI,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJITLSO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJITLOS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJITSLO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJITSOL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJITOLS,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O
ZJITOSL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJILTSO,X,O,O,X,X,X,X,O,X,X,O,O,X,O,X,X
ZJILTOS,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ZJILSTO,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJILSOT,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJILOTS,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ZJILOST,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJISTLO,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJISTOL,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,O
ZJISLTO,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJISLOT,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJISOTL,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJISOLT,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJIOTLS,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X
ZJIOTSL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJIOLTS,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJIOLST,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJIOSTL,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJIOSLT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJLTISO,O,O,O,X,X,X,O,O,X,X,O,O,O,O,X,X
ZJLTIOS,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
ZJLTSIO,O,O,O,X,X,X,O,O,X,X,O,O,O,O,X,X
ZJLTSOI,O,O,O,X,X,O,O,O,O,X,O,O,O,O,X,O
ZJLTOIS,O,O,O,X,X,O,X,O,O,X,O,O,O,X,X,O
ZJLTOSI,O,O,O,X,X,O,X,O,O,X,O,O,O,O,X,O
ZJLITSO,O,O,O,X,X,X,X,O,X,X,O,O,X,O,X,X
ZJLITOS,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ZJLISTO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJLISOT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLIOTS,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ZJLIOST,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLSTIO,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X,X
ZJLSTOI,O,O,O,X,O,O,O,O,X,X,X,O,O,O,O,O
ZJLSITO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJLSIOT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSOTI,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
ZJLSOIT,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
ZJLOTIS,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZJLOTSI,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,X
ZJLOITS,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZJLOIST,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZJLOSTI,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZJLOSIT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZJSTILO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZJSTIOL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJSTLIO,O,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X
ZJSTLOI,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,O
ZJSTOIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJSTOLI,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJSITLO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJSITOL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJSILTO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJSILOT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSIOTL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJSIOLT,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJSLTIO,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,X
ZJSLTOI,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O
ZJSLITO,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
ZJSLIOT,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLOTI,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZJSLOIT,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZJSOTIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJSOTLI,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZJSOITL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJSOILT,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X
ZJSOLTI,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X
ZJSOLIT,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X
ZJOTILS,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZJOTISL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJOTLIS,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,O
ZJOTLSI,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,O
ZJOTSIL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJOTSLI,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJOITLS,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X
ZJOITSL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJOILTS,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZJOILST,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
ZJOISTL,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJOISLT,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
ZJOLTIS,O,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X
ZJOLTSI,O,X,O,X,X,O,X,O,O,X,O,O,X,O,X,X
ZJOLITS,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZJOLIST,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
ZJOLSTI,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
ZJOLSIT,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
ZJOSTIL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJOSTLI,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJOSITL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJOSILT,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
ZJOSLTI,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
ZJOSLIT,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
ZSTILJO,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X
ZSTILOJ,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
ZSTIJLO,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X
ZSTIJOL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSTIOLJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSTIOJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSTLIJO,O,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X
ZSTLIOJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSTLJIO,O,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X
ZSTLJOI,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O
ZSTLOIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSTLOJI,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X
ZSTJILO,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X
ZSTJIOL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSTJLIO,O,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X
ZSTJLOI,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O
ZSTJOIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSTJOLI,O,O,O,O,X,O,O,X,X,O,O,O,X,X,X,O
ZSTOILJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSTOIJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSTOLIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSTOLJI,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X
ZSTOJIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSTOJLI,O,O,O,O,X,O,O,X,X,O,O,O,X,X,X,O
ZSITLJO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSITLOJ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
ZSITJLO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSITJOL,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,O
ZSITOLJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSITOJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSILTJO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X
ZSILTOJ,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X
ZSILJTO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZSILJOT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSILOTJ,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSILOJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSIJTLO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTOL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O
ZSIJLTO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZSIJLOT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZSIJOTL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZSIJOLT,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
ZSIOTLJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSIOTJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSIOLTJ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSIOLJT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSIOJTL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZSIOJLT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZSLTIJO,O,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X
ZSLTIOJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSLTJIO,O,O,O,O,X,X,O,O,X,O,X,O,X,O,X,X
ZSLTJOI,O,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O
ZSLTOIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSLTOJI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSLITJO,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
ZSLITOJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSLIJTO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZSLIJOT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSLIOTJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X
ZSLIOJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSLJTIO,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,X
ZSLJTOI,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O
ZSLJITO,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
ZSLJIOT,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSLJOTI,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZSLJOIT,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZSLOTIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSLOTJI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSLOITJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X
ZSLOIJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSLOJTI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSLOJIT,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSJTILO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSJTIOL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSJTLIO,O,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X
ZSJTLOI,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,O
ZSJTOIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSJTOLI,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSJITLO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSJITOL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZSJILTO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZSJILOT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZSJIOTL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZSJIOLT,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
ZSJLTIO,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,X
ZSJLTOI,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O
ZSJLITO,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
ZSJLIOT,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSJLOTI,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZSJLOIT,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X
ZSJOTIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSJOTLI,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSJOITL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZSJOILT,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X
ZSJOLTI,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X
ZSJOLIT,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X
ZSOTILJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSOTIJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSOTLIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSOTLJI,O,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X
ZSOTJIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSOTJLI,O,O,O,O,X,O,O,X,X,O,O,O,X,X,X,O
ZSOITLJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSOITJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSOILTJ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSOILJT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSOIJTL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZSOIJLT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZSOLTIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSOLTJI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
ZSOLITJ,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X
ZSOLIJT,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSOLJTI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSOLJIT,O,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSOJTIL,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSOJTLI,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSOJITL,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZSOJILT,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
ZSOJLTI,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
ZSOJLIT,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
ZOTILJS,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZOTILSJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOTIJLS,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X
ZOTIJSL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZOTISLJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOTISJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZOTLIJS,O,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X
ZOTLISJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZOTLJIS,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X
ZOTLJSI,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X
ZOTLSIJ,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZOTLSJI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X
ZOTJILS,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZOTJISL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZOTJLIS,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,O
ZOTJLSI,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,O
ZOTJSIL,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZOTJSLI,O,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZOTSILJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOTSIJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZOTSLIJ,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
