sequence,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nBXsB0sB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nB0sBXsB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB3hBt?nB8rByxB,v115@GhA8IeC8BeA8CeD8AeB8DeA8Je2EJvhFRgB9mBiiBc?qBXsBzsB
TSZIOJL,O,O,O,O
TSZLIJO,O,O,O,O
TSZLIOJ,O,O,O,O
TSZLJIO,O,O,O,O
TSZLJOI,O,O,O,O
TSZLOIJ,O,O,O,O
TSZLOJI,O,O,O,O
TSZJILO,O,O,O,O
TSZJIOL,O,O,O,O
TSZJLIO,O,O,O,O
TSZJLOI,O,O,O,O
TSZJOIL,O,O,O,O
TSZJOLI,O,O,O,O
TSZOILJ,O,O,O,O
TSZOIJL,O,O,O,O
TSZOLIJ,O,O,O,O
TSZOLJI,O,O,O,O
TSZOJIL,O,O,O,O
TSZOJLI,O,O,O,O
TSOILJZ,O,O,X,X
TSOILZJ,O,X,X,X
TSOIJLZ,O,O,X,X
TSOIJZL,O,O,O,X
TSOIZLJ,O,O,O,X
TSOIZJL,O,O,O,X
TSOLIJZ,O,O,X,X
TSOLIZJ,O,X,X,X
TSOLJIZ,O,O,X,X
TSOLJZI,O,X,X,X
TSOLZIJ,O,X,X,O
TSOLZJI,O,X,X,O
TSOJILZ,O,O,X,X
TSOJIZL,O,O,O,X
TSOJLIZ,O,O,X,X
TSOJLZI,O,X,X,X
TSOJZIL,O,O,O,X
TSOJZLI,O,O,O,X
TSOZILJ,O,O,O,O
TSOZIJL,O,O,O,O
TSOZLIJ,O,O,O,O
TSOZLJI,O,O,O,O
TSOZJIL,O,O,O,O
TSOZJLI,O,O,O,O
TZILJSO,X,O,O,O
TZILJOS,O,O,O,X
TZILSJO,X,O,O,O
TZILSOJ,X,O,O,O
TZILOJS,O,O,O,X
TZILOSJ,X,O,O,X
TZIJLSO,X,O,O,O
TZIJLOS,O,O,O,X
TZIJSLO,O,O,O,O
TZIJSOL,O,O,O,O
TZIJOLS,O,O,O,X
TZIJOSL,O,O,O,O
TZISLJO,O,O,O,O
TZISLOJ,O,O,O,O
TZISJLO,O,O,O,O
TZISJOL,O,O,O,O
TZISOLJ,O,O,O,O
TZISOJL,O,O,O,O
TZIOLJS,O,O,O,X
TZIOLSJ,X,O,O,X
TZIOJLS,O,O,O,X
TZIOJSL,O,O,O,O
TZIOSLJ,O,O,O,O
TZIOSJL,O,O,O,O
TZLIJSO,X,O,O,O
TZLIJOS,O,O,O,X
TZLISJO,X,O,O,O
TZLISOJ,X,O,O,O
TZLIOJS,O,O,O,X
TZLIOSJ,X,O,O,X
TZLJISO,X,O,O,O
TZLJIOS,O,O,O,X
TZLJSIO,X,O,O,O
TZLJSOI,X,O,O,O
TZLJOIS,O,O,O,X
TZLJOSI,X,O,O,X
TZLSIJO,X,O,O,O
TZLSIOJ,X,O,O,O
TZLSJIO,X,O,O,O
TZLSJOI,X,O,O,O
TZLSOIJ,X,O,O,O
TZLSOJI,X,O,O,O
TZLOIJS,O,O,O,X
TZLOISJ,X,O,O,X
TZLOJIS,O,O,O,X
TZLOJSI,X,O,O,X
TZLOSIJ,X,O,O,X
TZLOSJI,X,O,O,X
TZJILSO,X,O,O,O
TZJILOS,O,O,O,X
TZJISLO,O,O,O,O
TZJISOL,O,O,O,O
TZJIOLS,O,O,O,X
TZJIOSL,O,O,O,O
TZJLISO,X,O,O,O
TZJLIOS,O,O,O,X
TZJLSIO,X,O,O,O
TZJLSOI,X,O,O,O
TZJLOIS,O,O,O,X
TZJLOSI,X,O,O,X
TZJSILO,O,O,O,O
TZJSIOL,O,O,O,O
TZJSLIO,O,O,O,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,O,O
TZJSOLI,O,O,O,O
TZJOILS,O,O,O,X
TZJOISL,O,O,O,O
TZJOLIS,O,O,O,X
TZJOLSI,X,O,O,X
TZJOSIL,O,O,O,O
TZJOSLI,O,O,O,O
TZSILJO,O,O,O,O
TZSILOJ,O,O,O,O
TZSIJLO,O,O,O,O
TZSIJOL,O,O,O,O
TZSIOLJ,O,O,O,O
TZSIOJL,O,O,O,O
TZSLIJO,O,O,O,O
TZSLIOJ,O,O,O,O
TZSLJIO,O,O,O,O
TZSLJOI,O,O,O,O
TZSLOIJ,O,O,O,O
TZSLOJI,O,O,O,O
TZSJILO,O,O,O,O
TZSJIOL,O,O,O,O
TZSJLIO,O,O,O,O
TZSJLOI,O,O,O,O
TZSJOIL,O,O,O,O
TZSJOLI,O,O,O,O
TZSOILJ,O,O,O,O
TZSOIJL,O,O,O,O
TZSOLIJ,O,O,O,O
TZSOLJI,O,O,O,O
TZSOJIL,O,O,O,O
TZSOJLI,O,O,O,O
TZOILJS,O,O,O,X
TZOILSJ,X,O,O,X
TZOIJLS,O,O,O,X
TZOIJSL,O,O,O,O
TZOISLJ,O,O,O,O
TZOISJL,O,O,O,O
TZOLIJS,O,O,O,X
TZOLISJ,X,O,O,X
TZOLJIS,O,O,O,X
TZOLJSI,X,O,O,X
TZOLSIJ,X,O,O,X
TZOLSJI,X,O,O,X
TZOJILS,O,O,O,X
TZOJISL,O,O,O,O
TZOJLIS,O,O,O,X
TZOJLSI,X,O,O,X
TZOJSIL,O,O,O,O
TZOJSLI,O,O,O,O
TZOSILJ,O,O,O,O
TZOSIJL,O,O,O,O
TZOSLIJ,O,O,O,O
TZOSLJI,O,O,O,O
TZOSJIL,O,O,O,O
TZOSJLI,O,O,O,O
TOILJSZ,O,O,X,X
TOILJZS,O,O,O,X
TOILSJZ,O,O,X,X
TOILSZJ,O,X,X,X
TOILZJS,O,O,O,X
TOILZSJ,X,O,O,X
TOIJLSZ,O,O,X,X
TOIJLZS,O,O,O,X
TOIJSLZ,O,O,X,X
TOIJSZL,O,O,O,X
TOIJZLS,O,O,O,X
TOIJZSL,O,O,O,X
TOISLJZ,O,O,X,X
TOISLZJ,O,X,X,X
TOISJLZ,O,O,X,X
TOISJZL,O,O,O,X
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,O,X
TOIZLSJ,X,O,O,X
TOIZJLS,O,O,O,X
TOIZJSL,O,O,O,X
TOIZSLJ,O,O,O,X
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,X,X
TOLIJZS,O,O,O,X
TOLISJZ,O,O,X,X
TOLISZJ,O,X,X,X
TOLIZJS,O,O,O,X
TOLIZSJ,X,O,O,X
TOLJISZ,O,O,X,X
TOLJIZS,O,O,O,X
