sequence,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBT?jBXrB0rB,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBT?jB0rBXrB,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB3gBtmBT?jB8qBywB
ITOLJZS,X,O,X
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,O,X,X
ITOJLZS,X,O,X
ITOJSLZ,O,X,X
ITOJSZL,X,X,X
ITOJZLS,X,O,X
ITOJZSL,X,X,O
ITOSLJZ,O,X,X
ITOSLZJ,X,X,X
ITOSJLZ,O,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,X,O,X
ITOZLSJ,X,X,X
ITOZJLS,X,O,X
ITOZJSL,X,X,O
ITOZSLJ,X,X,X
ITOZSJL,X,X,O
ILTJSZO,X,X,X
ILTJSOZ,X,X,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,O,X,X
ILTJOZS,X,O,X
ILTSJZO,X,X,X
ILTSJOZ,X,X,X
ILTSZJO,X,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,O,X,X
ILTOJZS,X,O,X
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,X,X
ILJTOZS,X,X,X
ILJSTZO,X,X,X
ILJSTOZ,X,X,X
ILJSZTO,X,X,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,X,X,X
ILJZTSO,X,X,X
ILJZTOS,X,X,X
ILJZSTO,X,X,X
ILJZSOT,X,X,X
ILJZOTS,X,X,X
ILJZOST,X,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,X,X,X
ILJOZTS,X,X,X
ILJOZST,X,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,X
