sequence,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeFAJvhF3iB5oB?UmBTsBurByvB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeUAJvhFliB5oB?3mBTsByvBGrB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KezAJvhF3iB5oB?WsBVwBaqBUsB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeFAJvhFzhB5oB?UmBXsBusByvB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeGBJvhFliB5oB?/sB0rBaqBzqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeUAJvhFzhB5oB?KrBFsBusB3qB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8Ke3AJvhFzhB5oB?KrBFsBusBUqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8Ke3AJvhF1mB5oB?+sBinBTrBUqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeUAJvhF1mB5oB?+sBinBTrB3qB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KezAJvhFUiB5oB?WsBVwBaqB3sB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeKGJvhFzhB5oB?XsBusB0qBFqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeyFJvhF5oBUnB?XrBusBFqBzrB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeWGJvhF5oBTnB?0rBaqBXrBlsB
ITJSOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
ITJSOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
ITJZLSO,X,X,O,X,X,X,X,X,X,O,X,X,X
ITJZLOS,X,X,O,X,X,X,X,X,X,O,X,X,X
ITJZSLO,X,X,O,O,X,X,X,X,X,O,X,X,X
ITJZSOL,X,X,O,O,X,X,X,X,X,O,X,X,X
ITJZOLS,O,X,O,X,X,X,X,X,O,O,X,X,O
ITJZOSL,O,O,O,X,X,X,X,X,O,O,X,X,X
ITJOLSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
ITJOLZS,X,X,O,X,X,O,O,X,O,O,X,X,X
ITJOSLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
ITJOSZL,O,O,O,X,X,X,X,O,O,O,X,X,X
ITJOZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
ITJOZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
ITSLJZO,X,X,O,X,X,O,O,X,X,X,O,X,X
ITSLJOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ITSLZJO,X,X,X,O,O,O,O,X,X,X,O,O,X
ITSLZOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
ITSLOJZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ITSLOZJ,O,X,X,X,X,O,O,X,X,X,O,X,X
ITSJLZO,X,X,O,X,X,X,X,X,X,O,X,X,X
ITSJLOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
ITSJZLO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITSJZOL,X,X,O,O,O,X,X,X,X,O,X,X,X
ITSJOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
ITSJOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
ITSZLJO,X,X,X,O,O,X,X,X,X,X,X,O,X
ITSZLOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ITSZJLO,X,X,O,O,O,X,X,X,X,X,X,O,X
ITSZJOL,X,X,O,O,O,X,X,X,X,X,X,X,X
ITSZOLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITSZOJL,O,O,O,O,O,X,X,X,X,X,X,X,X
ITSOLJZ,X,O,O,X,X,O,O,O,X,X,O,X,X
ITSOLZJ,O,O,X,X,X,O,O,X,X,X,O,X,X
ITSOJLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
ITSOJZL,O,O,O,X,X,X,X,O,X,O,X,X,X
ITSOZLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITSOZJL,O,O,O,O,O,X,X,O,X,X,X,X,X
ITZLJSO,X,X,X,X,X,O,O,X,X,X,X,X,X
ITZLJOS,X,X,X,X,X,O,O,X,X,X,X,X,X
ITZLSJO,X,X,X,O,X,O,O,X,X,X,X,X,X
ITZLSOJ,X,X,X,O,X,O,O,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,O,O,X,X,X,X,X,X
ITZLOSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ITZJLSO,X,X,O,X,X,X,X,X,X,O,X,X,X
ITZJLOS,X,X,O,X,X,X,X,X,X,O,X,X,X
ITZJSLO,X,X,O,O,O,X,X,X,X,O,X,X,X
ITZJSOL,X,X,O,O,O,X,X,X,X,O,X,X,X
ITZJOLS,O,X,O,X,X,X,X,X,O,O,X,X,O
ITZJOSL,O,O,O,X,X,X,X,X,O,O,X,X,X
ITZSLJO,X,X,X,O,O,X,X,X,X,X,X,X,X
ITZSLOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ITZSJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZSJOL,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITZSOJL,O,O,O,O,O,X,X,X,X,X,X,X,X
ITZOLJS,O,X,X,X,X,O,O,X,O,X,X,X,O
ITZOLSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ITZOJLS,O,X,O,X,X,X,X,X,O,O,X,X,O
ITZOJSL,O,O,O,X,X,X,X,X,O,O,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ITZOSJL,O,O,O,O,X,X,X,X,O,X,X,X,X
ITOLJSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
ITOLJZS,X,X,O,X,X,O,O,X,O,O,X,X,X
ITOLSJZ,X,O,O,X,X,O,O,O,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOLZJS,O,X,X,X,X,O,O,X,O,X,X,X,X
ITOLZSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOJLSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
ITOJLZS,X,X,O,X,X,O,O,X,O,O,X,X,X
ITOJSLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
ITOJSZL,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOJZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
ITOJZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOSLJZ,X,O,O,X,X,O,O,O,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOSJLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
ITOSJZL,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOSZLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ITOSZJL,O,O,O,O,O,X,X,O,O,X,X,X,X
ITOZLJS,O,X,X,X,X,O,O,X,O,X,X,X,X
ITOZLSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ITOZJLS,O,X,O,X,X,X,X,X,O,O,X,X,X
ITOZJSL,O,O,O,X,X,X,X,O,O,O,X,X,X
ITOZSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ITOZSJL,O,O,O,O,X,X,X,O,O,X,X,X,X
ILTJSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTJOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTSJZO,X,X,O,X,X,O,O,X,X,X,X,X,X
ILTSJOZ,X,X,O,X,X,O,O,X,X,X,X,X,X
ILTSZJO,X,X,X,O,O,O,O,X,X,X,X,O,X
ILTSZOJ,X,X,X,O,O,O,O,X,X,X,X,X,X
ILTSOJZ,X,X,O,X,X,O,O,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,O,O,X,X,X,X,X,X
ILTZJSO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILTZJOS,X,X,X,X,X,O,O,X,X,X,X,X,X
ILTZSJO,X,X,X,O,X,O,O,X,X,X,X,X,X
ILTZSOJ,X,X,X,O,X,O,O,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,O,O,X,X,X,X,X,X
ILTZOSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ILTOJSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTOJZS,X,X,O,X,X,O,O,X,X,O,X,X,X
ILTOSJZ,X,O,O,X,X,O,O,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,O,O,X,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTZSO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJTOZS,X,X,X,X,X,O,O,X,X,X,X,X,X
ILJSTZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILJSZTO,X,X,X,X,X,X,X,X,X,X,X,O,X
ILJSZOT,X,X,X,X,X,X,X,X,X,X,X,O,X
ILJSOTZ,X,X,X,X,X,X,X,O,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJZTSO,X,X,X,X,X,O,X,X,X,X,X,X,X
ILJZTOS,X,X,X,X,X,O,X,X,X,X,X,X,X
ILJZSTO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJZSOT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOTS,X,X,X,X,X,X,X,X,O,X,X,X,O
ILJZOST,X,X,X,X,X,X,X,X,X,X,X,X,O
ILJOTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
ILJOTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJOSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTJZO,X,X,O,X,X,O,O,X,X,X,O,X,X
ILSTJOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ILSTZJO,X,X,X,O,O,O,O,X,X,X,O,O,X
ILSTZOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
ILSTOJZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ILSTOZJ,O,X,X,X,X,O,O,X,X,X,O,X,X
ILSJTZO,X,X,X,X,X,X,O,X,X,X,O,X,X
ILSJTOZ,X,X,X,X,X,X,O,X,X,X,O,X,X
ILSJZTO,X,X,X,X,X,X,X,X,X,X,O,O,X
ILSJZOT,X,X,X,X,X,X,X,X,X,X,O,O,X
ILSJOTZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X,O,X,X
ILSZTJO,X,X,X,O,O,O,O,X,X,X,O,O,X
ILSZTOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
ILSZJTO,X,X,X,O,O,X,X,X,X,X,O,O,X
ILSZJOT,X,X,X,O,O,X,X,X,X,X,O,O,X
ILSZOTJ,X,X,X,O,O,X,X,X,X,X,O,X,X
ILSZOJT,X,X,X,O,O,X,X,X,X,X,O,O,X
ILSOTJZ,X,X,X,X,X,X,O,O,X,X,O,X,X
ILSOTZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
ILSOJTZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ILSOJZT,X,X,X,X,X,X,X,X,X,X,O,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,X,X,O,X,X
ILSOZJT,O,X,X,X,X,X,X,X,X,X,O,O,X
ILZTJSO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILZTJOS,X,X,X,X,X,O,O,X,X,X,X,X,X
ILZTSJO,X,X,X,O,X,O,O,X,X,X,X,X,X
ILZTSOJ,X,X,X,O,X,O,O,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,O,O,X,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ILZJTSO,X,X,X,X,X,O,X,X,X,X,X,X,X
ILZJTOS,X,X,X,X,X,O,X,X,X,X,X,X,X
ILZJSTO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZJSOT,X,X,X,X,O,X,X,X,X,X,X,X,X
ILZJOTS,X,X,X,X,X,X,X,X,O,X,X,X,O
ILZJOST,X,X,X,X,X,X,X,X,X,X,X,X,O
ILZSTJO,X,X,X,O,O,O,O,X,X,X,X,O,X
ILZSTOJ,X,X,X,O,O,O,O,X,X,X,X,X,X
ILZSJTO,X,X,X,O,O,X,X,X,X,X,X,O,X
ILZSJOT,X,X,X,O,O,X,X,X,X,X,X,O,X
ILZSOTJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,O,O,X,X,X,X,X,X,O,X
ILZOTJS,O,X,X,X,X,O,X,X,O,X,X,X,O
ILZOTSJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,X,O,X,X,X,O
ILZOJST,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZOSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X,X,X,X,O
ILOTJSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOTJZS,X,X,O,X,X,O,O,X,O,O,X,X,X
ILOTSJZ,X,O,O,X,X,O,O,O,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,O,O,X,O,X,X,X,X
ILOTZSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOJSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOJZTS,X,X,X,X,X,X,X,X,O,X,X,X,X
ILOJZST,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,X,O,X,X,X,X,O,O,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOSJZT,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X,X,X,X,X,O,X
ILOZTJS,O,X,X,X,X,O,X,X,O,X,X,X,X
ILOZTSJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X,X,O,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IJTLSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTLOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
IJTSLZO,X,X,O,X,X,X,X,X,X,O,X,X,X
IJTSLOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
IJTSZLO,X,X,O,O,O,X,X,X,X,O,X,X,X
IJTSZOL,X,X,O,O,O,X,X,X,X,O,X,X,X
IJTSOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
IJTSOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
IJTZLSO,X,X,O,X,X,X,X,X,X,O,X,X,X
IJTZLOS,X,X,O,X,X,X,X,X,X,O,X,X,X
IJTZSLO,X,X,O,O,X,X,X,X,X,O,X,X,X
IJTZSOL,X,X,O,O,X,X,X,X,X,O,X,X,X
IJTZOLS,O,X,O,X,X,X,X,X,O,O,X,X,O
IJTZOSL,O,O,O,X,X,X,X,X,O,O,X,X,X
IJTOLSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJTOLZS,X,X,O,X,X,O,O,X,O,O,X,X,X
IJTOSLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
IJTOSZL,O,O,O,X,X,X,X,O,O,O,X,X,X
IJTOZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
IJTOZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
IJLTSZO,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTZSO,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLSTZO,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLSZTO,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLSZOT,X,X,X,X,X,X,X,X,X,X,X,O,X
IJLSOTZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZTOS,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZSTO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,X,O,X,X,X,O
IJLZOST,X,X,X,X,X,X,X,X,X,X,X,X,O
IJLOTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSTZLO,X,X,O,O,O,X,X,X,X,X,X,X,X
IJSTZOL,X,X,O,O,O,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,O,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,O,X,X,X,O,X,X
IJSLTOZ,X,X,X,X,X,X,O,X,X,X,O,X,X
IJSLZTO,X,X,X,X,X,X,X,X,X,X,O,O,X
IJSLZOT,X,X,X,X,X,X,X,X,X,X,O,O,X
IJSLOTZ,X,X,X,X,X,X,X,O,X,X,O,X,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJSZTLO,X,X,X,O,O,X,X,X,X,X,X,O,X
IJSZTOL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSZLTO,X,X,X,O,O,X,X,X,X,X,X,O,X
IJSZLOT,X,X,X,O,O,X,X,X,X,X,X,O,X
IJSZOTL,X,X,X,O,O,X,X,O,O,X,X,X,X
IJSZOLT,X,X,X,O,O,X,X,X,X,X,X,O,O
IJSOTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,O,O,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,X,O,X,X,O,X,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJSOZTL,O,X,X,X,X,X,X,O,O,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLOS,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTSLO,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZTSOL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X,O,X,X,X,O
IJZTOSL,O,O,X,X,X,X,X,X,O,X,X,X,X
IJZLTSO,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLTOS,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLSTO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,X,X,X,O,X,X,X,O
IJZLOST,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZSTLO,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZSTOL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZSLTO,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZSLOT,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,O,O,X,X,O,O,X,X,X,X
IJZSOLT,X,X,X,O,O,X,X,X,X,X,X,X,O
IJZOTLS,O,X,X,X,X,X,X,X,O,X,X,X,O
IJZOTSL,O,O,X,X,X,X,X,O,O,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X,X,O,X,X,X,O
IJZOLST,O,X,X,X,X,X,X,X,X,X,X,X,O
IJZOSTL,O,O,X,X,O,X,X,O,O,X,X,X,X
IJZOSLT,O,O,X,X,O,X,X,X,X,X,X,X,O
IJOTLSZ,X,X,O,X,X,X,X,O,X,O,X,X,X
IJOTLZS,X,X,O,X,X,X,X,X,O,O,X,X,X
IJOTSLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
IJOTSZL,O,O,O,X,X,X,X,O,O,O,X,X,X
IJOTZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
IJOTZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,O,O,X,X,X,X
IJOSLTZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJOSLZT,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,O,O,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,X,X,X,O,X,X,X,O
IJOZTSL,O,O,X,X,X,X,X,O,O,X,X,X,X
IJOZLTS,O,X,X,X,X,X,X,X,O,X,X,X,O
IJOZLST,O,X,X,X,X,X,X,X,X,X,X,X,O
IJOZSTL,O,O,X,X,X,X,X,O,O,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,X,X,X,X,X,O
ISTLJZO,X,X,O,X,X,O,O,X,X,X,O,X,X
ISTLJOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ISTLZJO,X,X,X,O,O,O,O,X,X,X,O,O,X
ISTLZOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
ISTLOJZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ISTLOZJ,O,X,X,X,X,O,O,X,X,X,O,X,X
ISTJLZO,X,X,O,X,X,X,X,X,X,O,X,X,X
ISTJLOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
ISTJZLO,X,X,O,O,O,X,X,X,X,O,X,X,X
ISTJZOL,X,X,O,O,O,X,X,X,X,O,X,X,X
ISTJOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
ISTJOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
ISTZLJO,X,X,X,O,O,X,X,X,X,X,X,O,X
ISTZLOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ISTZJLO,X,X,O,O,O,X,X,X,X,X,X,O,X
ISTZJOL,X,X,O,O,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ISTZOJL,O,O,O,O,O,X,X,X,X,X,X,X,X
ISTOLJZ,X,O,O,X,X,O,O,O,X,X,O,X,X
ISTOLZJ,O,O,X,X,X,O,O,X,X,X,O,X,X
ISTOJLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
ISTOJZL,O,O,O,X,X,X,X,O,X,O,X,X,X
ISTOZLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ISTOZJL,O,O,O,O,O,X,X,O,X,X,X,X,X
ISLTJZO,X,X,O,X,X,O,O,X,X,X,O,X,X
ISLTJOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ISLTZJO,X,X,X,O,O,O,O,X,X,X,O,O,X
ISLTZOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
ISLTOJZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ISLTOZJ,O,X,X,X,X,O,O,X,X,X,O,X,X
ISLJTZO,X,X,X,X,X,X,O,X,X,X,O,X,X
ISLJTOZ,X,X,X,X,X,X,O,X,X,X,O,X,X
ISLJZTO,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLJZOT,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLJOTZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLZTJO,X,X,X,O,O,O,O,X,X,X,O,O,X
ISLZTOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
ISLZJTO,X,X,X,O,O,X,X,X,X,X,O,O,X
ISLZJOT,X,X,X,O,O,X,X,X,X,X,O,O,X
ISLZOTJ,X,X,X,O,O,X,X,X,X,X,O,X,X
ISLZOJT,X,X,X,O,O,X,X,X,X,X,O,O,X
ISLOTJZ,X,X,X,X,X,X,O,O,X,X,O,X,X
ISLOTZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
ISLOJTZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ISLOJZT,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X,X,O,X,X
ISLOZJT,O,X,X,X,X,X,X,X,X,X,O,O,X
ISJTLZO,X,X,O,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,X,X,O,X,X,X,X,X,X,X,X,X,X
ISJTZLO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISJTZOL,X,X,O,O,O,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,O,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,O,X,X,X,O,X,X
ISJLTOZ,X,X,X,X,X,X,O,X,X,X,O,X,X
ISJLZTO,X,X,X,X,X,X,X,X,X,X,O,O,X
ISJLZOT,X,X,X,X,X,X,X,X,X,X,O,O,X
ISJLOTZ,X,X,X,X,X,X,X,O,X,X,O,X,X
