sequence,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFxiBFlB8qB6?sBToB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFTiB6oBRlB8?sBlqB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBUlBGmB/?sBToBVwB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qB+?rB/sBTtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qBT?oBGsB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JezBJvhFfoB6oBRlBl?qBGsBUrB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhF/nBRlBToB0?qBlrBCtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeWHJvhFTjBRlBXnBl?qBCtBUrB
TJISZOL,X,O,O,O,X,O,X,X
TJISOLZ,X,X,O,O,O,O,X,X
TJISOZL,X,X,O,O,X,O,X,X
TJIZLSO,X,O,X,O,O,X,X,X
TJIZLOS,X,O,X,X,O,X,X,X
TJIZSLO,X,O,O,O,O,O,X,X
TJIZSOL,X,O,O,O,O,O,X,X
TJIZOLS,X,O,X,X,O,X,X,X
TJIZOSL,X,O,X,O,O,O,X,X
TJIOLSZ,X,X,X,X,O,O,X,X
TJIOLZS,X,O,X,X,O,X,X,X
TJIOSLZ,X,X,O,O,O,O,X,X
TJIOSZL,X,X,O,O,X,O,X,X
TJIOZLS,X,O,X,X,O,X,X,X
TJIOZSL,X,O,X,O,O,O,X,X
TJLISZO,O,O,O,X,O,O,X,X
TJLISOZ,X,X,O,X,O,O,X,O
TJLIZSO,O,O,X,X,O,X,X,X
TJLIZOS,O,O,X,X,O,X,X,O
TJLIOSZ,X,X,X,X,O,O,X,O
TJLIOZS,X,O,X,X,O,X,X,O
TJLSIZO,O,O,O,O,O,O,X,X
TJLSIOZ,X,O,O,X,O,O,X,X
TJLSZIO,O,O,O,O,O,O,X,X
TJLSZOI,O,O,X,O,X,O,X,X
TJLSOIZ,O,X,O,O,X,O,X,X
TJLSOZI,O,O,O,O,X,O,X,X
TJLZISO,O,O,X,O,O,X,X,X
TJLZIOS,O,O,X,X,O,X,X,X
TJLZSIO,O,O,X,O,O,X,X,X
TJLZSOI,O,O,X,O,X,X,X,X
TJLZOIS,O,O,X,X,O,X,X,X
TJLZOSI,O,O,X,O,O,X,X,X
TJLOISZ,O,X,X,X,O,X,X,O
TJLOIZS,O,X,X,X,O,X,X,O
TJLOSIZ,O,X,O,O,O,O,X,X
TJLOSZI,O,X,O,O,O,O,X,X
TJLOZIS,O,X,X,X,O,X,X,X
TJLOZSI,O,X,X,O,O,X,X,X
TJSILZO,X,O,O,O,O,O,X,X
TJSILOZ,X,O,O,O,O,O,X,X
TJSIZLO,X,O,O,O,X,O,X,X
TJSIZOL,X,O,O,O,X,O,X,X
TJSIOLZ,X,O,O,O,O,O,X,X
TJSIOZL,X,O,O,O,X,O,X,X
TJSLIZO,O,O,O,O,O,O,X,X
TJSLIOZ,X,O,O,O,O,O,X,X
TJSLZIO,O,O,O,O,O,O,X,X
TJSLZOI,O,O,O,O,X,O,X,X
TJSLOIZ,O,X,O,O,X,O,X,X
TJSLOZI,O,O,O,O,X,O,X,X
TJSZILO,O,O,O,O,O,O,X,X
TJSZIOL,O,O,O,O,O,O,X,X
TJSZLIO,O,O,O,O,O,O,X,X
TJSZLOI,O,O,O,O,X,O,X,X
TJSZOIL,O,O,O,O,O,X,X,X
TJSZOLI,O,O,O,O,O,O,X,X
TJSOILZ,X,X,O,O,O,O,X,X
TJSOIZL,O,X,O,O,X,O,X,X
TJSOLIZ,O,X,O,O,O,O,X,X
TJSOLZI,O,O,O,O,O,O,X,X
TJSOZIL,O,O,O,O,O,X,X,X
TJSOZLI,O,O,O,O,O,O,X,X
