sequence,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nB6tBOtBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nBOtB6tBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBunB?coBFlB3qBSyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?FlB8sB+tB3qB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBSoB?FlBUoB3qBWyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?1qBGtBUqBXtB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBGjB?1qBqsB/tBUqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBFlB?GoB3qBUtBCtB
TSIOLJZ,X,X,O,O,O,X,O,X
TSIOLZJ,O,X,O,X,X,X,O,O
TSIOJLZ,X,X,O,O,O,O,X,X
TSIOJZL,X,O,X,O,O,O,X,O
TSIOZLJ,O,O,O,X,X,X,X,O
TSIOZJL,O,O,X,O,O,X,X,O
TSLIJZO,X,X,O,O,O,X,O,X
TSLIJOZ,X,X,O,O,O,X,O,X
TSLIZJO,O,X,O,X,X,X,O,O
TSLIZOJ,O,X,O,X,X,X,O,O
TSLIOJZ,X,X,O,O,O,X,O,X
TSLIOZJ,O,X,O,X,X,X,O,O
TSLJIZO,X,X,O,O,O,X,O,X
TSLJIOZ,X,X,O,O,O,X,O,X
TSLJZIO,X,X,O,O,O,X,O,X
TSLJZOI,X,X,O,O,O,X,O,X
TSLJOIZ,X,X,O,O,O,X,O,X
TSLJOZI,X,X,O,O,O,X,O,X
TSLZIJO,O,X,O,X,X,X,O,O
TSLZIOJ,O,X,O,X,X,X,O,O
TSLZJIO,O,X,O,X,X,X,O,O
TSLZJOI,X,X,O,X,X,X,O,O
TSLZOIJ,O,X,O,X,X,X,O,O
TSLZOJI,X,X,O,X,X,X,O,O
TSLOIJZ,X,X,O,O,O,X,O,X
TSLOIZJ,O,X,O,X,X,X,O,O
TSLOJIZ,X,X,O,O,O,X,O,X
TSLOJZI,X,X,O,O,O,X,O,X
TSLOZIJ,O,X,O,X,X,X,O,O
TSLOZJI,O,X,O,X,X,X,O,O
TSJILZO,X,X,O,O,O,O,X,X
TSJILOZ,X,X,O,O,O,O,X,X
TSJIZLO,X,O,X,O,O,O,X,O
TSJIZOL,X,O,X,O,O,O,X,O
TSJIOLZ,X,X,O,O,O,O,X,X
TSJIOZL,X,O,X,O,O,O,X,O
TSJLIZO,X,X,O,O,O,O,X,X
TSJLIOZ,X,X,O,O,O,O,X,X
TSJLZIO,X,X,O,O,O,O,X,X
TSJLZOI,X,X,O,O,O,O,X,X
TSJLOIZ,X,X,O,O,O,O,X,X
TSJLOZI,X,X,O,O,O,O,X,X
TSJZILO,X,O,X,O,O,O,X,O
TSJZIOL,X,O,X,O,O,O,X,O
TSJZLIO,X,O,X,O,O,O,X,O
TSJZLOI,X,X,X,O,O,O,X,O
TSJZOIL,X,O,X,O,O,O,X,O
TSJZOLI,X,X,X,O,O,O,X,O
TSJOILZ,X,X,O,O,O,O,X,X
TSJOIZL,X,O,X,O,O,O,X,O
TSJOLIZ,X,X,O,O,O,O,X,X
TSJOLZI,X,X,O,O,O,O,X,X
TSJOZIL,X,O,X,O,O,O,X,O
TSJOZLI,X,O,X,O,O,O,X,O
TSZILJO,O,O,O,X,X,X,X,O
TSZILOJ,O,X,O,X,X,X,X,O
TSZIJLO,O,O,X,O,O,X,X,O
TSZIJOL,X,O,X,O,O,X,X,O
TSZIOLJ,O,X,O,X,X,X,X,O
TSZIOJL,X,O,X,O,O,X,X,O
TSZLIJO,O,O,O,X,X,X,X,O
TSZLIOJ,O,X,O,X,X,X,X,O
TSZLJIO,O,O,O,X,X,X,X,O
TSZLJOI,X,X,O,X,X,X,X,O
TSZLOIJ,O,X,O,X,X,X,X,O
TSZLOJI,X,X,O,X,X,X,X,O
TSZJILO,O,O,X,O,O,X,X,O
TSZJIOL,X,O,X,O,O,X,X,O
TSZJLIO,O,O,X,O,O,X,X,O
TSZJLOI,X,X,X,O,O,X,X,O
TSZJOIL,X,O,X,O,O,X,X,O
TSZJOLI,X,X,X,O,O,X,X,O
TSZOILJ,O,X,O,X,X,X,X,O
TSZOIJL,X,O,X,O,O,X,X,O
TSZOLIJ,O,X,O,X,X,X,X,O
TSZOLJI,X,X,O,X,X,X,X,O
TSZOJIL,X,O,X,O,O,X,X,O
TSZOJLI,X,X,X,O,O,X,X,O
TSOILJZ,X,X,O,O,O,X,O,X
TSOILZJ,O,X,O,X,X,X,O,O
TSOIJLZ,X,X,O,O,O,O,X,X
TSOIJZL,X,O,X,O,O,O,X,O
TSOIZLJ,O,O,O,X,X,X,X,O
TSOIZJL,O,O,X,O,O,X,X,O
TSOLIJZ,X,X,O,O,O,X,O,X
TSOLIZJ,O,X,O,X,X,X,O,O
TSOLJIZ,X,X,O,O,O,X,O,X
TSOLJZI,X,X,O,O,O,X,O,X
TSOLZIJ,O,X,O,X,X,X,O,O
TSOLZJI,O,X,O,X,X,X,O,O
TSOJILZ,X,X,O,O,O,O,X,X
TSOJIZL,X,O,X,O,O,O,X,O
TSOJLIZ,X,X,O,O,O,O,X,X
TSOJLZI,X,X,O,O,O,O,X,X
TSOJZIL,X,O,X,O,O,O,X,O
TSOJZLI,X,O,X,O,O,O,X,O
TSOZILJ,O,O,O,X,X,X,X,O
TSOZIJL,O,O,X,O,O,X,X,O
TSOZLIJ,O,O,O,X,X,X,X,O
TSOZLJI,O,O,O,X,X,X,X,O
TSOZJIL,O,O,X,O,O,X,X,O
TSOZJLI,O,O,X,O,O,X,X,O
TZILJSO,O,O,O,X,X,X,X,X
TZILJOS,X,X,O,X,X,X,X,X
TZILSJO,O,O,O,X,X,X,O,X
TZILSOJ,O,X,O,X,X,X,O,X
TZILOJS,O,X,O,X,X,X,X,X
TZILOSJ,O,X,O,X,X,X,O,X
TZIJLSO,O,O,X,O,X,X,X,X
TZIJLOS,X,X,X,O,O,X,X,X
TZIJSLO,O,O,X,O,X,O,X,X
TZIJSOL,X,O,X,O,X,O,X,X
TZIJOLS,X,O,X,O,O,X,X,X
TZIJOSL,X,O,X,O,X,O,X,O
TZISLJO,O,O,X,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X
TZISJOL,X,O,X,X,X,X,X,X
TZISOLJ,O,X,X,X,X,X,X,X
TZISOJL,X,O,X,X,X,X,X,X
TZIOLJS,O,O,O,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,O,X
TZIOJLS,O,O,X,O,O,X,X,X
TZIOJSL,O,O,X,O,X,O,X,O
TZIOSLJ,O,O,X,X,X,X,X,X
