sequence,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nB6tBOtBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nBOtB6tBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBunB?coBFlB3qBSyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?FlB8sB+tB3qB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBSoB?FlBUoB3qBWyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?1qBGtBUqBXtB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBGjB?1qBqsB/tBUqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBFlB?GoB3qBUtBCtB
LISZTJO,O,X,O,X,X,X,O,X
LISZTOJ,O,X,O,X,X,X,O,X
LISZJTO,O,X,O,X,X,X,O,X
LISZJOT,X,X,O,X,X,X,O,X
LISZOTJ,O,X,O,X,X,X,X,X
LISZOJT,O,X,O,X,X,X,O,X
LISOTJZ,X,X,O,X,X,X,O,X
LISOTZJ,O,X,O,X,X,X,O,X
LISOJTZ,X,X,X,X,X,X,O,X
LISOJZT,X,X,O,O,X,X,O,X
LISOZTJ,O,X,O,X,X,X,X,X
LISOZJT,O,X,O,X,X,X,O,X
LIZTJSO,O,O,O,X,X,X,X,X
LIZTJOS,X,X,O,X,X,X,X,X
LIZTSJO,O,O,O,X,X,X,O,X
LIZTSOJ,O,X,O,X,X,X,O,X
LIZTOJS,O,X,O,X,X,X,X,X
LIZTOSJ,O,X,O,X,X,X,O,X
LIZJTSO,O,O,O,X,X,X,X,X
LIZJTOS,X,X,O,X,X,X,X,X
LIZJSTO,O,O,O,X,X,X,X,X
LIZJSOT,X,X,O,X,X,X,X,X
LIZJOTS,O,O,O,X,X,X,X,X
LIZJOST,O,O,O,X,X,X,X,X
LIZSTJO,O,O,O,X,X,X,O,X
LIZSTOJ,O,X,O,X,X,X,O,X
LIZSJTO,O,O,O,X,X,X,O,X
LIZSJOT,X,X,O,X,X,X,O,X
LIZSOTJ,O,X,O,X,X,X,X,X
LIZSOJT,O,X,O,X,X,X,O,X
LIZOTJS,O,O,O,X,X,X,X,X
LIZOTSJ,O,O,O,X,X,X,X,X
LIZOJTS,O,O,O,X,X,X,X,X
LIZOJST,O,O,O,X,X,X,X,X
LIZOSTJ,O,O,O,X,X,X,X,X
LIZOSJT,O,O,O,X,X,X,O,X
LIOTJSZ,X,X,X,X,X,X,O,X
LIOTJZS,O,O,O,X,X,X,X,X
LIOTSJZ,X,X,X,X,X,X,O,X
LIOTSZJ,O,X,O,X,X,X,O,X
LIOTZJS,O,O,O,X,X,X,X,X
LIOTZSJ,O,O,O,X,X,X,O,X
LIOJTSZ,X,X,X,X,X,O,X,X
LIOJTZS,O,O,X,X,X,O,X,X
LIOJSTZ,X,X,X,X,X,O,O,X
LIOJSZT,X,X,X,X,X,X,O,X
LIOJZTS,O,O,O,O,X,O,X,X
LIOJZST,O,O,O,O,X,X,X,X
LIOSTJZ,X,X,O,X,X,X,O,X
LIOSTZJ,O,X,O,X,X,X,O,X
LIOSJTZ,X,X,X,X,X,X,O,X
LIOSJZT,X,X,O,X,X,X,O,X
LIOSZTJ,O,X,O,X,X,X,X,X
LIOSZJT,O,X,O,X,X,X,O,X
LIOZTJS,O,O,O,X,X,X,X,X
LIOZTSJ,O,O,O,X,X,X,X,X
LIOZJTS,O,O,O,X,X,X,X,X
LIOZJST,O,O,O,X,X,X,X,X
LIOZSTJ,O,O,O,X,X,X,X,X
LIOZSJT,O,O,O,X,X,X,O,X
LJTISZO,X,X,X,X,X,O,O,X
LJTISOZ,X,X,X,X,O,O,O,X
LJTIZSO,O,O,O,O,X,O,X,X
LJTIZOS,X,X,O,O,O,O,X,X
LJTIOSZ,X,X,X,X,O,O,O,X
LJTIOZS,O,O,O,O,O,O,X,X
LJTSIZO,X,X,X,X,O,O,O,X
LJTSIOZ,X,X,X,X,O,O,O,X
LJTSZIO,X,X,X,X,O,O,O,X
LJTSZOI,X,X,X,X,O,O,O,X
LJTSOIZ,X,X,X,X,O,O,O,X
LJTSOZI,X,X,X,X,O,O,O,X
LJTZISO,O,O,O,O,X,O,X,X
LJTZIOS,X,X,O,O,O,O,X,X
LJTZSIO,O,O,O,O,X,O,X,X
LJTZSOI,X,X,O,O,X,O,X,X
LJTZOIS,X,X,O,O,O,O,X,X
LJTZOSI,X,X,O,O,O,O,X,X
LJTOISZ,X,X,X,X,O,O,O,X
LJTOIZS,O,O,O,O,O,O,X,X
LJTOSIZ,X,X,X,X,O,O,O,X
LJTOSZI,X,X,X,X,O,O,O,X
LJTOZIS,O,O,O,O,O,O,X,X
LJTOZSI,O,O,O,O,O,O,X,X
LJITSZO,X,X,X,X,X,O,O,X
LJITSOZ,X,X,X,X,O,O,O,X
LJITZSO,O,O,O,O,X,O,X,X
LJITZOS,X,X,O,O,O,O,X,X
LJITOSZ,X,X,X,X,O,O,O,X
LJITOZS,O,O,O,O,O,O,X,X
LJISTZO,X,X,X,X,O,X,O,X
LJISTOZ,X,X,X,X,O,O,O,X
LJISZTO,X,X,O,O,X,X,O,X
LJISZOT,X,X,O,O,X,X,O,X
LJISOTZ,X,X,X,X,O,O,O,X
LJISOZT,X,X,O,O,X,X,O,X
LJIZTSO,O,O,O,O,X,X,X,X
LJIZTOS,X,X,O,O,O,O,X,X
LJIZSTO,O,O,O,O,X,X,X,X
LJIZSOT,X,X,O,O,X,X,X,X
LJIZOTS,O,O,O,O,X,O,X,X
LJIZOST,O,O,O,O,X,X,X,X
LJIOTSZ,X,X,X,X,O,O,X,X
LJIOTZS,O,O,X,X,O,O,X,X
LJIOSTZ,X,X,X,X,O,O,O,X
LJIOSZT,X,X,X,X,X,X,O,X
LJIOZTS,O,O,O,O,X,O,X,X
LJIOZST,O,O,O,O,X,X,X,X
LJSTIZO,X,X,O,O,O,X,O,X
LJSTIOZ,X,X,O,O,O,O,O,X
LJSTZIO,X,X,O,O,O,O,O,X
LJSTZOI,X,X,O,O,O,O,O,X
LJSTOIZ,X,X,O,O,O,O,O,X
LJSTOZI,X,X,O,O,O,O,O,X
LJSITZO,X,X,X,X,O,X,O,X
LJSITOZ,X,X,X,X,O,O,O,X
LJSIZTO,X,X,O,O,X,X,O,X
LJSIZOT,X,X,O,O,X,X,O,X
LJSIOTZ,X,X,X,X,O,O,O,X
LJSIOZT,X,X,O,O,X,X,O,X
LJSZTIO,X,X,O,O,O,X,O,X
LJSZTOI,X,X,O,O,O,X,O,X
LJSZITO,X,X,O,O,X,X,O,X
LJSZIOT,X,X,O,O,X,X,O,X
LJSZOTI,X,X,O,O,O,X,O,X
LJSZOIT,X,X,O,O,X,X,O,X
LJSOTIZ,X,X,O,O,O,O,O,X
LJSOTZI,X,X,O,O,O,O,O,X
LJSOITZ,X,X,X,X,O,O,O,X
LJSOIZT,X,X,O,O,X,X,O,X
LJSOZTI,X,X,O,O,O,X,O,X
LJSOZIT,X,X,O,O,X,X,O,X
LJZTISO,O,O,O,O,X,O,X,X
LJZTIOS,X,X,O,O,O,O,X,X
LJZTSIO,O,O,O,O,X,O,X,X
LJZTSOI,X,X,O,O,X,O,X,X
LJZTOIS,X,X,O,O,O,O,X,X
LJZTOSI,X,X,O,O,O,O,X,X
LJZITSO,O,O,O,O,X,X,X,X
LJZITOS,X,X,O,O,O,O,X,X
LJZISTO,O,O,O,O,X,X,X,X
LJZISOT,X,X,O,O,X,X,X,X
LJZIOTS,O,O,O,O,X,O,X,X
LJZIOST,O,O,O,O,X,X,X,X
LJZSTIO,O,O,O,O,O,X,X,X
LJZSTOI,X,X,O,O,O,X,X,X
LJZSITO,O,O,O,O,X,X,X,X
LJZSIOT,X,X,O,O,X,X,X,X
LJZSOTI,X,X,O,O,O,X,X,X
LJZSOIT,X,X,O,O,X,X,X,X
LJZOTIS,O,O,O,O,O,O,X,X
LJZOTSI,O,O,O,O,O,O,X,X
LJZOITS,O,O,O,O,X,O,X,X
LJZOIST,O,O,O,O,X,X,X,X
LJZOSTI,O,O,O,O,O,X,X,X
LJZOSIT,O,O,O,O,X,X,X,X
LJOTISZ,X,X,X,X,O,O,O,X
LJOTIZS,O,O,O,O,O,O,X,X
LJOTSIZ,X,X,X,X,O,O,O,X
LJOTSZI,X,X,X,X,O,O,O,X
LJOTZIS,O,O,O,O,O,O,X,X
LJOTZSI,O,O,O,O,O,O,X,X
LJOITSZ,X,X,X,X,O,O,X,X
LJOITZS,O,O,X,X,O,O,X,X
LJOISTZ,X,X,X,X,O,O,O,X
LJOISZT,X,X,X,X,X,X,O,X
LJOIZTS,O,O,O,O,X,O,X,X
LJOIZST,O,O,O,O,X,X,X,X
LJOSTIZ,X,X,O,O,O,O,O,X
LJOSTZI,X,X,O,O,O,O,O,X
LJOSITZ,X,X,X,X,O,O,O,X
LJOSIZT,X,X,O,O,X,X,O,X
LJOSZTI,X,X,O,O,O,X,O,X
LJOSZIT,X,X,O,O,X,X,O,X
LJOZTIS,O,O,O,O,O,O,X,X
LJOZTSI,O,O,O,O,O,O,X,X
LJOZITS,O,O,O,O,X,O,X,X
LJOZIST,O,O,O,O,X,X,X,X
LJOZSTI,O,O,O,O,O,X,X,X
LJOZSIT,O,O,O,O,X,X,X,X
LSTIJZO,X,X,O,O,O,X,O,X
LSTIJOZ,X,X,O,O,O,X,O,X
LSTIZJO,O,X,O,X,X,X,O,O
LSTIZOJ,O,X,O,X,X,X,O,O
LSTIOJZ,X,X,O,O,O,X,O,X
LSTIOZJ,O,X,O,X,X,X,O,O
LSTJIZO,X,X,O,O,O,X,O,X
LSTJIOZ,X,X,O,O,O,X,O,X
LSTJZIO,X,X,O,O,O,X,O,X
LSTJZOI,X,X,O,O,O,X,O,X
LSTJOIZ,X,X,O,O,O,X,O,X
LSTJOZI,X,X,O,O,O,X,O,X
LSTZIJO,O,X,O,X,X,X,O,O
LSTZIOJ,O,X,O,X,X,X,O,O
LSTZJIO,O,X,O,X,X,X,O,O
LSTZJOI,X,X,O,X,X,X,O,O
LSTZOIJ,O,X,O,X,X,X,O,O
LSTZOJI,X,X,O,X,X,X,O,O
LSTOIJZ,X,X,O,O,O,X,O,X
LSTOIZJ,O,X,O,X,X,X,O,O
LSTOJIZ,X,X,O,O,O,X,O,X
LSTOJZI,X,X,O,O,O,X,O,X
LSTOZIJ,O,X,O,X,X,X,O,O
LSTOZJI,O,X,O,X,X,X,O,O
LSITJZO,X,X,O,X,X,X,O,X
LSITJOZ,X,X,O,X,X,X,O,X
LSITZJO,O,X,O,X,X,X,O,X
LSITZOJ,O,X,O,X,X,X,O,X
LSITOJZ,X,X,O,X,X,X,O,X
LSITOZJ,O,X,O,X,X,X,O,X
LSIJTZO,X,X,X,X,X,X,O,X
LSIJTOZ,X,X,X,X,X,X,O,X
LSIJZTO,X,X,O,O,X,X,O,X
LSIJZOT,X,X,O,O,X,X,O,X
LSIJOTZ,X,X,X,X,X,X,O,X
LSIJOZT,X,X,O,O,X,X,O,X
LSIZTJO,O,X,O,X,X,X,O,X
LSIZTOJ,O,X,O,X,X,X,O,X
LSIZJTO,O,X,O,X,X,X,O,X
LSIZJOT,X,X,O,X,X,X,O,X
LSIZOTJ,O,X,O,X,X,X,X,X
LSIZOJT,O,X,O,X,X,X,O,X
LSIOTJZ,X,X,O,X,X,X,O,X
LSIOTZJ,O,X,O,X,X,X,O,X
LSIOJTZ,X,X,X,X,X,X,O,X
LSIOJZT,X,X,O,O,X,X,O,X
LSIOZTJ,O,X,O,X,X,X,X,X
LSIOZJT,O,X,O,X,X,X,O,X
LSJTIZO,X,X,O,O,O,X,O,X
LSJTIOZ,X,X,O,O,O,X,O,X
LSJTZIO,X,X,O,O,O,X,O,X
LSJTZOI,X,X,O,O,O,X,O,X
LSJTOIZ,X,X,O,O,O,X,O,X
LSJTOZI,X,X,O,O,O,X,O,X
LSJITZO,X,X,X,X,O,X,O,X
LSJITOZ,X,X,X,X,O,X,O,X
LSJIZTO,X,X,O,O,X,X,O,X
LSJIZOT,X,X,O,O,X,X,O,X
LSJIOTZ,X,X,X,X,O,X,O,X
LSJIOZT,X,X,O,O,X,X,O,X
LSJZTIO,X,X,O,O,O,X,O,X
LSJZTOI,X,X,O,O,O,X,O,X
LSJZITO,X,X,O,O,X,X,O,X
LSJZIOT,X,X,O,O,X,X,O,X
LSJZOTI,X,X,O,O,O,X,O,X
LSJZOIT,X,X,O,O,X,X,O,X
LSJOTIZ,X,X,O,O,O,X,O,X
LSJOTZI,X,X,O,O,O,X,O,X
LSJOITZ,X,X,X,X,O,X,O,X
LSJOIZT,X,X,O,O,X,X,O,X
LSJOZTI,X,X,O,O,O,X,O,X
LSJOZIT,X,X,O,O,X,X,O,X
LSZTIJO,O,X,O,X,X,X,O,O
LSZTIOJ,O,X,O,X,X,X,O,O
LSZTJIO,O,X,O,X,X,X,O,O
LSZTJOI,X,X,O,X,X,X,O,O
LSZTOIJ,O,X,O,X,X,X,O,O
LSZTOJI,X,X,O,X,X,X,O,O
LSZITJO,O,X,O,X,X,X,O,X
LSZITOJ,O,X,O,X,X,X,O,X
LSZIJTO,O,X,O,X,X,X,O,X
LSZIJOT,X,X,O,X,X,X,O,X
LSZIOTJ,O,X,O,X,X,X,X,X
LSZIOJT,O,X,O,X,X,X,O,X
LSZJTIO,O,X,O,X,X,X,O,O
LSZJTOI,X,X,O,X,X,X,O,O
LSZJITO,O,X,O,X,X,X,O,X
LSZJIOT,X,X,O,X,X,X,O,X
LSZJOTI,X,X,O,X,X,X,O,O
LSZJOIT,X,X,O,X,X,X,O,X
LSZOTIJ,O,X,O,X,X,X,O,O
LSZOTJI,O,X,O,X,X,X,O,O
LSZOITJ,O,X,O,X,X,X,X,X
LSZOIJT,O,X,O,X,X,X,O,X
LSZOJTI,O,X,O,X,X,X,O,O
LSZOJIT,O,X,O,X,X,X,O,X
LSOTIJZ,X,X,O,O,O,X,O,X
LSOTIZJ,O,X,O,X,X,X,O,O
LSOTJIZ,X,X,O,O,O,X,O,X
LSOTJZI,X,X,O,O,O,X,O,X
LSOTZIJ,O,X,O,X,X,X,O,O
LSOTZJI,O,X,O,X,X,X,O,O
LSOITJZ,X,X,O,X,X,X,O,X
LSOITZJ,O,X,O,X,X,X,O,X
LSOIJTZ,X,X,X,X,X,X,O,X
LSOIJZT,X,X,O,O,X,X,O,X
LSOIZTJ,O,X,O,X,X,X,X,X
LSOIZJT,O,X,O,X,X,X,O,X
LSOJTIZ,X,X,O,O,O,X,O,X
LSOJTZI,X,X,O,O,O,X,O,X
LSOJITZ,X,X,X,X,O,X,O,X
LSOJIZT,X,X,O,O,X,X,O,X
LSOJZTI,X,X,O,O,O,X,O,X
LSOJZIT,X,X,O,O,X,X,O,X
LSOZTIJ,O,X,O,X,X,X,O,O
LSOZTJI,O,X,O,X,X,X,O,O
LSOZITJ,O,X,O,X,X,X,X,X
LSOZIJT,O,X,O,X,X,X,O,X
LSOZJTI,O,X,O,X,X,X,O,O
LSOZJIT,O,X,O,X,X,X,O,X
LZTIJSO,O,O,O,X,X,X,X,X
LZTIJOS,X,X,O,X,X,X,X,X
LZTISJO,O,O,O,X,X,X,O,X
LZTISOJ,O,X,O,X,X,X,O,X
LZTIOJS,O,X,O,X,X,X,X,X
LZTIOSJ,O,X,O,X,X,X,O,X
LZTJISO,O,O,O,X,X,X,X,X
LZTJIOS,X,X,O,X,X,X,X,X
LZTJSIO,O,O,O,X,X,X,X,X
LZTJSOI,X,X,O,X,X,X,X,X
LZTJOIS,X,X,O,X,X,X,X,X
LZTJOSI,X,X,O,X,X,X,X,O
LZTSIJO,O,O,O,X,X,X,O,X
LZTSIOJ,O,X,O,X,X,X,O,X
LZTSJIO,O,O,O,X,X,X,O,X
LZTSJOI,X,X,O,X,X,X,O,X
LZTSOIJ,O,X,O,X,X,X,O,X
LZTSOJI,X,X,O,X,X,X,O,X
LZTOIJS,O,X,O,X,X,X,X,X
LZTOISJ,O,X,O,X,X,X,O,X
LZTOJIS,O,X,O,X,X,X,X,X
LZTOJSI,O,X,O,X,X,X,X,O
LZTOSIJ,O,X,O,X,X,X,O,X
LZTOSJI,O,X,O,X,X,X,O,X
LZITJSO,O,O,O,X,X,X,X,X
LZITJOS,X,X,O,X,X,X,X,X
LZITSJO,O,O,O,X,X,X,O,X
LZITSOJ,O,X,O,X,X,X,O,X
LZITOJS,O,X,O,X,X,X,X,X
LZITOSJ,O,X,O,X,X,X,O,X
LZIJTSO,O,O,O,X,X,X,X,X
LZIJTOS,X,X,O,X,X,X,X,X
LZIJSTO,O,O,O,X,X,X,X,X
LZIJSOT,X,X,O,X,X,X,X,X
LZIJOTS,O,O,O,X,X,X,X,X
LZIJOST,O,O,O,X,X,X,X,X
LZISTJO,O,O,O,X,X,X,O,X
LZISTOJ,O,X,O,X,X,X,O,X
LZISJTO,O,O,O,X,X,X,O,X
LZISJOT,X,X,O,X,X,X,O,X
LZISOTJ,O,X,O,X,X,X,X,X
LZISOJT,O,X,O,X,X,X,O,X
LZIOTJS,O,O,O,X,X,X,X,X
LZIOTSJ,O,O,O,X,X,X,X,X
LZIOJTS,O,O,O,X,X,X,X,X
LZIOJST,O,O,O,X,X,X,X,X
LZIOSTJ,O,O,O,X,X,X,X,X
LZIOSJT,O,O,O,X,X,X,O,X
LZJTISO,O,O,O,X,X,X,X,X
LZJTIOS,X,X,O,X,X,X,X,X
LZJTSIO,O,O,O,X,X,X,X,X
LZJTSOI,X,X,O,X,X,X,X,X
LZJTOIS,X,X,O,X,X,X,X,X
LZJTOSI,X,X,O,X,X,X,X,O
LZJITSO,O,O,O,X,X,X,X,X
LZJITOS,X,X,O,X,X,X,X,X
LZJISTO,O,O,O,X,X,X,X,X
LZJISOT,X,X,O,X,X,X,X,X
LZJIOTS,O,O,O,X,X,X,X,X
LZJIOST,O,O,O,X,X,X,X,X
LZJSTIO,O,O,O,X,X,X,X,O
LZJSTOI,X,X,O,X,X,X,X,O
LZJSITO,O,O,O,X,X,X,X,X
LZJSIOT,X,X,O,X,X,X,X,X
LZJSOTI,X,X,O,X,X,X,X,O
LZJSOIT,X,X,O,X,X,X,X,X
LZJOTIS,O,O,O,X,X,X,X,X
LZJOTSI,O,O,O,X,X,X,X,O
LZJOITS,O,O,O,X,X,X,X,X
LZJOIST,O,O,O,X,X,X,X,X
LZJOSTI,O,O,O,X,X,X,X,O
LZJOSIT,O,O,O,X,X,X,X,X
LZSTIJO,O,O,O,X,X,X,O,O
LZSTIOJ,O,X,O,X,X,X,O,O
LZSTJIO,O,O,O,X,X,X,O,O
LZSTJOI,X,X,O,X,X,X,O,O
LZSTOIJ,O,X,O,X,X,X,O,O
LZSTOJI,X,X,O,X,X,X,O,O
LZSITJO,O,O,O,X,X,X,O,X
LZSITOJ,O,X,O,X,X,X,O,X
LZSIJTO,O,O,O,X,X,X,O,X
LZSIJOT,X,X,O,X,X,X,O,X
LZSIOTJ,O,X,O,X,X,X,X,X
LZSIOJT,O,X,O,X,X,X,O,X
LZSJTIO,O,O,O,X,X,X,O,O
LZSJTOI,X,X,O,X,X,X,O,O
LZSJITO,O,O,O,X,X,X,O,X
LZSJIOT,X,X,O,X,X,X,O,X
LZSJOTI,X,X,O,X,X,X,O,O
LZSJOIT,X,X,O,X,X,X,O,X
LZSOTIJ,O,X,O,X,X,X,O,O
LZSOTJI,O,X,O,X,X,X,O,O
LZSOITJ,O,X,O,X,X,X,X,X
LZSOIJT,O,X,O,X,X,X,O,X
LZSOJTI,O,X,O,X,X,X,O,O
LZSOJIT,O,X,O,X,X,X,O,X
LZOTIJS,O,O,O,X,X,X,X,X
LZOTISJ,O,O,O,X,X,X,O,X
LZOTJIS,O,O,O,X,X,X,X,X
LZOTJSI,O,O,O,X,X,X,X,O
LZOTSIJ,O,O,O,X,X,X,O,X
LZOTSJI,O,O,O,X,X,X,O,X
LZOITJS,O,O,O,X,X,X,X,X
LZOITSJ,O,O,O,X,X,X,X,X
LZOIJTS,O,O,O,X,X,X,X,X
LZOIJST,O,O,O,X,X,X,X,X
LZOISTJ,O,O,O,X,X,X,X,X
LZOISJT,O,O,O,X,X,X,O,X
LZOJTIS,O,O,O,X,X,X,X,X
LZOJTSI,O,O,O,X,X,X,X,O
LZOJITS,O,O,O,X,X,X,X,X
LZOJIST,O,O,O,X,X,X,X,X
LZOJSTI,O,O,O,X,X,X,X,O
LZOJSIT,O,O,O,X,X,X,X,X
LZOSTIJ,O,O,O,X,X,X,O,O
LZOSTJI,O,O,O,X,X,X,O,O
LZOSITJ,O,O,O,X,X,X,X,X
LZOSIJT,O,O,O,X,X,X,O,X
LZOSJTI,O,O,O,X,X,X,O,O
LZOSJIT,O,O,O,X,X,X,O,X
LOTIJSZ,X,X,X,X,O,O,O,X
LOTIJZS,O,O,O,O,O,X,X,X
LOTISJZ,X,X,X,X,X,X,O,X
LOTISZJ,O,X,O,X,X,X,O,X
LOTIZJS,O,O,O,X,X,X,X,X
LOTIZSJ,O,O,O,X,X,X,O,X
LOTJISZ,X,X,X,X,O,O,O,X
LOTJIZS,O,O,O,O,O,X,X,X
LOTJSIZ,X,X,X,X,O,O,O,X
LOTJSZI,X,X,X,X,O,O,O,X
LOTJZIS,O,O,O,O,O,O,X,X
LOTJZSI,O,O,O,O,O,O,X,X
LOTSIJZ,X,X,O,X,X,X,O,X
LOTSIZJ,O,X,O,X,X,X,O,X
LOTSJIZ,X,X,O,X,X,X,O,X
LOTSJZI,X,X,O,X,X,X,O,X
LOTSZIJ,O,X,O,X,X,X,O,X
LOTSZJI,O,X,O,X,X,X,O,X
LOTZIJS,O,O,O,X,X,X,X,X
LOTZISJ,O,O,O,X,X,X,O,X
LOTZJIS,O,O,O,X,X,X,X,X
LOTZJSI,O,O,O,X,X,X,X,O
LOTZSIJ,O,O,O,X,X,X,O,X
LOTZSJI,O,O,O,X,X,X,O,X
LOITJSZ,X,X,X,X,X,X,O,X
LOITJZS,O,O,O,X,X,X,X,X
LOITSJZ,X,X,X,X,X,X,O,X
LOITSZJ,O,X,O,X,X,X,O,X
LOITZJS,O,O,O,X,X,X,X,X
LOITZSJ,O,O,O,X,X,X,O,X
LOIJTSZ,X,X,X,X,X,O,X,X
LOIJTZS,O,O,X,X,X,O,X,X
LOIJSTZ,X,X,X,X,X,O,O,X
LOIJSZT,X,X,X,X,X,X,O,X
LOIJZTS,O,O,O,O,X,O,X,X
LOIJZST,O,O,O,O,X,X,X,X
LOISTJZ,X,X,O,X,X,X,O,X
LOISTZJ,O,X,O,X,X,X,O,X
LOISJTZ,X,X,X,X,X,X,O,X
LOISJZT,X,X,O,X,X,X,O,X
LOISZTJ,O,X,O,X,X,X,X,X
LOISZJT,O,X,O,X,X,X,O,X
LOIZTJS,O,O,O,X,X,X,X,X
LOIZTSJ,O,O,O,X,X,X,X,X
LOIZJTS,O,O,O,X,X,X,X,X
LOIZJST,O,O,O,X,X,X,X,X
LOIZSTJ,O,O,O,X,X,X,X,X
LOIZSJT,O,O,O,X,X,X,O,X
LOJTISZ,X,X,X,X,O,O,O,X
LOJTIZS,O,O,O,O,O,O,X,X
LOJTSIZ,X,X,X,X,O,O,O,X
LOJTSZI,X,X,X,X,O,O,O,X
LOJTZIS,O,O,O,O,O,O,X,X
LOJTZSI,O,O,O,O,O,O,X,X
LOJITSZ,X,X,X,X,O,O,X,X
LOJITZS,O,O,X,X,O,O,X,X
LOJISTZ,X,X,X,X,O,O,O,X
LOJISZT,X,X,X,X,X,X,O,X
LOJIZTS,O,O,O,O,X,O,X,X
LOJIZST,O,O,O,O,X,X,X,X
LOJSTIZ,X,X,O,O,O,O,O,X
LOJSTZI,X,X,O,O,O,O,O,X
LOJSITZ,X,X,X,X,O,O,O,X
LOJSIZT,X,X,O,O,X,X,O,X
LOJSZTI,X,X,O,O,O,X,O,X
LOJSZIT,X,X,O,O,X,X,O,X
LOJZTIS,O,O,O,O,O,O,X,X
LOJZTSI,O,O,O,O,O,O,X,X
LOJZITS,O,O,O,O,X,O,X,X
LOJZIST,O,O,O,O,X,X,X,X
LOJZSTI,O,O,O,O,O,X,X,X
LOJZSIT,O,O,O,O,X,X,X,X
LOSTIJZ,X,X,O,O,O,X,O,X
LOSTIZJ,O,X,O,X,X,X,O,O
LOSTJIZ,X,X,O,O,O,X,O,X
LOSTJZI,X,X,O,O,O,X,O,X
LOSTZIJ,O,X,O,X,X,X,O,O
LOSTZJI,O,X,O,X,X,X,O,O
LOSITJZ,X,X,O,X,X,X,O,X
LOSITZJ,O,X,O,X,X,X,O,X
LOSIJTZ,X,X,X,X,X,X,O,X
LOSIJZT,X,X,O,O,X,X,O,X
LOSIZTJ,O,X,O,X,X,X,X,X
LOSIZJT,O,X,O,X,X,X,O,X
LOSJTIZ,X,X,O,O,O,X,O,X
LOSJTZI,X,X,O,O,O,X,O,X
LOSJITZ,X,X,X,X,O,X,O,X
LOSJIZT,X,X,O,O,X,X,O,X
LOSJZTI,X,X,O,O,O,X,O,X
LOSJZIT,X,X,O,O,X,X,O,X
LOSZTIJ,O,X,O,X,X,X,O,O
LOSZTJI,O,X,O,X,X,X,O,O
LOSZITJ,O,X,O,X,X,X,X,X
LOSZIJT,O,X,O,X,X,X,O,X
LOSZJTI,O,X,O,X,X,X,O,O
LOSZJIT,O,X,O,X,X,X,O,X
LOZTIJS,O,O,O,X,X,X,X,X
LOZTISJ,O,O,O,X,X,X,O,X
LOZTJIS,O,O,O,X,X,X,X,X
LOZTJSI,O,O,O,X,X,X,X,O
LOZTSIJ,O,O,O,X,X,X,O,X
LOZTSJI,O,O,O,X,X,X,O,X
LOZITJS,O,O,O,X,X,X,X,X
LOZITSJ,O,O,O,X,X,X,X,X
LOZIJTS,O,O,O,X,X,X,X,X
LOZIJST,O,O,O,X,X,X,X,X
LOZISTJ,O,O,O,X,X,X,X,X
LOZISJT,O,O,O,X,X,X,O,X
LOZJTIS,O,O,O,X,X,X,X,X
LOZJTSI,O,O,O,X,X,X,X,O
LOZJITS,O,O,O,X,X,X,X,X
LOZJIST,O,O,O,X,X,X,X,X
LOZJSTI,O,O,O,X,X,X,X,O
LOZJSIT,O,O,O,X,X,X,X,X
LOZSTIJ,O,O,O,X,X,X,O,O
LOZSTJI,O,O,O,X,X,X,O,O
LOZSITJ,O,O,O,X,X,X,X,X
LOZSIJT,O,O,O,X,X,X,O,X
LOZSJTI,O,O,O,X,X,X,O,O
LOZSJIT,O,O,O,X,X,X,O,X
JTILSZO,X,X,X,X,X,O,O,X
JTILSOZ,X,X,X,X,O,O,O,X
JTILZSO,O,O,O,O,X,X,X,X
JTILZOS,X,X,O,O,O,O,X,X
JTILOSZ,X,X,X,X,O,O,O,X
JTILOZS,O,O,O,O,O,O,X,X
JTISLZO,X,X,X,X,X,O,X,X
JTISLOZ,X,X,X,X,O,O,X,X
JTISZLO,X,O,X,O,X,O,X,X
JTISZOL,X,O,X,O,X,O,X,X
JTISOLZ,X,X,X,X,O,O,X,X
JTISOZL,X,O,X,O,X,O,X,X
JTIZLSO,O,O,X,O,X,O,X,X
JTIZLOS,X,X,X,O,O,O,X,X
JTIZSLO,O,O,X,O,X,O,X,X
JTIZSOL,X,O,X,O,X,O,X,X
JTIZOLS,X,O,X,O,O,O,X,X
JTIZOSL,X,O,X,O,X,O,X,X
JTIOLSZ,X,X,X,X,O,O,O,X
JTIOLZS,O,O,O,O,O,O,X,X
JTIOSLZ,X,X,X,X,O,O,X,X
JTIOSZL,X,O,X,O,X,O,X,X
JTIOZLS,O,O,X,O,O,O,X,X
