sequence,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBOnBXjBStB0rBFrB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB6oBmnBxrBcrBXsB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB3hBGjBUoBxrBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBVnBUmBXoBGoBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgBRiB+oB3nB0rBirB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBUmBFnBXoBGoBywB
TZIJLOS,O,O,O,X,X,X
TZIJSLO,X,X,O,X,O,X
TZIJSOL,X,X,O,O,O,O
TZIJOLS,O,O,O,X,X,X
TZIJOSL,X,X,O,O,O,O
TZISLJO,X,X,O,X,X,X
TZISLOJ,X,X,O,O,X,O
TZISJLO,X,X,O,X,X,X
TZISJOL,X,X,O,O,X,O
TZISOLJ,X,X,O,O,X,O
TZISOJL,X,X,O,O,X,O
TZIOLJS,O,O,O,X,X,X
TZIOLSJ,O,X,O,O,X,O
TZIOJLS,O,O,O,X,X,X
TZIOJSL,X,X,O,O,O,O
TZIOSLJ,X,X,O,O,X,O
TZIOSJL,X,X,O,O,X,O
TZLIJSO,O,O,O,O,X,X
TZLIJOS,O,O,O,O,X,X
TZLISJO,O,X,O,O,X,X
TZLISOJ,O,X,O,O,X,O
TZLIOJS,O,O,O,O,X,X
TZLIOSJ,O,X,O,O,X,O
TZLJISO,O,O,O,O,X,X
TZLJIOS,O,O,O,O,X,X
TZLJSIO,O,X,X,O,O,X
TZLJSOI,O,X,X,O,O,X
TZLJOIS,O,O,O,O,X,X
TZLJOSI,O,X,X,O,O,X
TZLSIJO,O,X,X,O,X,X
TZLSIOJ,O,X,X,O,X,O
TZLSJIO,O,X,X,O,X,X
TZLSJOI,O,X,X,O,X,X
TZLSOIJ,O,X,X,O,X,O
TZLSOJI,O,X,X,O,X,O
TZLOIJS,O,O,O,O,X,X
TZLOISJ,O,X,O,O,X,O
TZLOJIS,O,O,O,O,X,X
