sequence,v115@NhA8IeE8CeF8JeT/IvhFOlB/mBRiBSoBtqB0pB,v115@NhA8IeE8CeF8JeNEJvhF3gBRiBSoBTmBUlBWvB,v115@NhA8IeE8CeF8JeOEJvhF/mBRiBSoBtpB0lBTqB,v115@NhA8IeE8CeF8JeNEJvhFUgB/mBGiBTjBRqBSvB
TZOIJSL,O,O,X,O
TZOISLJ,O,O,X,O
TZOISJL,O,X,X,O
TZOLIJS,O,O,X,X
TZOLISJ,O,O,X,X
TZOLJIS,O,O,X,X
TZOLJSI,O,O,O,O
TZOLSIJ,O,O,O,X
TZOLSJI,O,O,O,O
TZOJILS,O,O,X,X
TZOJISL,O,O,X,O
TZOJLIS,O,O,X,X
TZOJLSI,O,O,O,O
TZOJSIL,O,O,O,O
TZOJSLI,O,O,O,O
TZOSILJ,O,O,O,O
TZOSIJL,O,X,O,O
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,O
TZOSJIL,O,X,O,O
TZOSJLI,O,X,O,O
TOILJSZ,X,O,O,X
TOILJZS,X,O,X,X
TOILSJZ,X,O,O,O
TOILSZJ,X,O,X,O
TOILZJS,X,O,X,X
TOILZSJ,X,O,X,O
TOIJLSZ,X,O,O,X
TOIJLZS,X,O,X,X
TOIJSLZ,X,O,O,O
TOIJSZL,X,O,O,O
TOIJZLS,X,O,X,X
TOIJZSL,X,O,X,O
TOISLJZ,X,O,O,O
TOISLZJ,X,O,X,O
TOISJLZ,X,O,O,O
TOISJZL,X,O,O,O
TOISZLJ,X,O,X,O
TOISZJL,X,X,X,O
TOIZLJS,X,O,X,X
TOIZLSJ,X,O,X,O
TOIZJLS,X,O,X,X
TOIZJSL,X,O,X,O
TOIZSLJ,X,O,X,O
TOIZSJL,X,X,X,O
TOLIJSZ,X,O,O,X
TOLIJZS,X,O,X,X
TOLISJZ,X,O,O,O
TOLISZJ,X,O,X,O
TOLIZJS,X,O,X,X
TOLIZSJ,X,O,X,O
TOLJISZ,X,O,O,X
TOLJIZS,X,O,X,X
TOLJSIZ,O,O,O,O
TOLJSZI,O,O,O,O
TOLJZIS,O,O,X,X
TOLJZSI,O,O,O,O
TOLSIJZ,O,O,O,O
TOLSIZJ,O,O,X,O
TOLSJIZ,O,O,O,O
TOLSJZI,O,O,O,O
TOLSZIJ,O,O,X,X
TOLSZJI,O,O,X,O
TOLZIJS,O,O,X,X
TOLZISJ,O,O,X,X
TOLZJIS,O,O,X,X
TOLZJSI,O,O,O,O
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,O
TOJILSZ,X,O,O,X
TOJILZS,X,O,X,X
TOJISLZ,X,O,O,O
TOJISZL,X,O,O,O
TOJIZLS,X,O,X,X
TOJIZSL,X,O,X,O
TOJLISZ,X,O,O,X
TOJLIZS,X,O,X,X
TOJLSIZ,O,O,O,O
TOJLSZI,O,O,O,O
TOJLZIS,O,O,X,X
TOJLZSI,O,O,O,O
TOJSILZ,O,O,O,O
TOJSIZL,O,O,O,O
TOJSLIZ,O,O,O,O
TOJSLZI,O,O,O,O
TOJSZIL,O,O,O,O
TOJSZLI,O,O,O,O
TOJZILS,O,O,X,X
TOJZISL,O,O,X,O
TOJZLIS,O,O,X,X
TOJZLSI,O,O,O,O
TOJZSIL,O,O,O,O
TOJZSLI,O,O,O,O
TOSILJZ,O,O,O,O
TOSILZJ,O,O,X,O
TOSIJLZ,O,O,O,O
TOSIJZL,O,O,O,O
TOSIZLJ,O,O,X,O
TOSIZJL,O,X,X,O
TOSLIJZ,O,O,O,O
TOSLIZJ,O,O,X,O
TOSLJIZ,O,O,O,O
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,X,X
TOSLZJI,O,O,X,O
TOSJILZ,O,O,O,O
TOSJIZL,O,O,O,O
TOSJLIZ,O,O,O,O
TOSJLZI,O,O,O,O
TOSJZIL,O,O,O,O
