sequence,v115@JhA8GeF8DeA8DeA8AeC8Jei/IvhFlhBTjBxsBfrBcs?BWvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhFlhBTjBxsB/pBcs?ByvB,v115@JhA8GeF8DeA8DeA8AeC8JeT/IvhFlgB3hBUjBOsBSt?BRvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhF1mBxiBcsBToB/p?ByvB,v115@JhA8GeF8DeA8DeA8AeC8Je0BJvhFxiBGoBisB/pBzq?BFqB,v115@JhA8GeF8DeA8DeA8AeC8JexBJvhF8nB+oBasB/pBzq?BFqB
TLOJISZ,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X
TLOJZIS,X,X,X,X,X,X
TLOJZSI,X,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X
TLOSZIJ,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X
TLOZISJ,X,X,X,O,X,X
TLOZJIS,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X
TLOZSIJ,X,X,X,O,X,X
TLOZSJI,X,X,X,O,X,X
TJILSZO,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X
TJISZOL,X,X,O,X,X,X
TJISOLZ,X,X,X,X,X,X
TJISOZL,X,X,O,X,X,X
TJIZLSO,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X
TJIZOLS,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X
TJIOLSZ,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X
TJIOZLS,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X
TJLISZO,X,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X
TJLIZSO,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,X
TJLIOZS,X,X,X,X,O,X
TJLSIZO,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,O,X
TJLSZIO,X,X,X,X,X,X
TJLSZOI,X,X,O,X,X,X
TJLSOIZ,X,X,X,X,O,X
TJLSOZI,X,X,O,X,O,X
TJLZISO,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X
TJLZSOI,X,X,O,X,X,O
TJLZOIS,X,X,X,X,X,O
TJLZOSI,X,X,O,X,X,O
TJLOISZ,X,X,X,X,O,X
TJLOIZS,X,X,X,X,O,X
TJLOSIZ,X,X,X,X,O,X
TJLOSZI,X,X,O,X,O,X
TJLOZIS,X,X,X,X,O,X
TJLOZSI,X,X,O,X,O,X
TJSILZO,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X
TJSIZOL,X,X,O,X,X,X
TJSIOLZ,X,X,X,X,X,X
TJSIOZL,X,X,O,X,X,X
TJSLIZO,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X
TJSLOIZ,X,X,X,X,X,X
TJSLOZI,X,X,O,X,X,X
TJSZILO,X,X,X,X,X,X
TJSZIOL,X,X,O,X,X,X
TJSZLIO,X,X,X,X,X,X
TJSZLOI,X,X,O,X,X,X
TJSZOIL,X,X,O,X,X,X
TJSZOLI,X,X,O,X,X,X
TJSOILZ,X,X,X,X,X,X
TJSOIZL,X,X,O,X,X,X
TJSOLIZ,X,X,X,X,X,X
TJSOLZI,X,X,O,X,X,X
TJSOZIL,X,X,O,X,X,X
TJSOZLI,X,X,O,X,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X
TJZISOL,X,X,O,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,X,X,O,X,X,X
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,O,X,X,O
TJZLOIS,X,X,X,X,X,O
TJZLOSI,X,X,O,X,X,O
TJZSILO,X,X,X,X,X,X
TJZSIOL,X,X,O,X,X,X
TJZSLIO,X,X,X,X,X,X
TJZSLOI,X,X,O,X,X,X
TJZSOIL,X,X,O,X,X,X
TJZSOLI,X,X,O,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,X,X,O,O,X,X
TJZOLIS,X,X,X,X,X,X
TJZOLSI,X,X,O,X,X,X
TJZOSIL,X,X,O,O,X,X
TJZOSLI,X,X,O,O,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X
TJOISZL,X,X,O,X,X,X
TJOIZLS,X,X,X,X,X,X
TJOIZSL,X,X,O,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,X,X,O,X,X,X
TJOLZIS,X,X,X,X,X,X
TJOLZSI,X,X,O,X,X,X
TJOSILZ,X,X,X,X,X,X
TJOSIZL,X,X,O,X,X,X
TJOSLIZ,X,X,X,X,X,X
TJOSLZI,X,X,O,X,X,X
TJOSZIL,X,X,O,X,X,X
TJOSZLI,X,X,O,X,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,X,X,O,O,X,X
TJOZLIS,X,X,X,X,X,X
TJOZLSI,X,X,O,X,X,X
TJOZSIL,X,X,O,O,X,X
TJOZSLI,X,X,O,O,X,X
TSILJZO,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X
TSIJZOL,X,X,O,X,X,X
TSIJOLZ,X,X,X,X,X,X
