sequence,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgBzhB+nB6?oBllB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Jex/IvhF8lB+mB6oBl?kBTnBXsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBz?lBurBcsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgB+nB6oB0?lBlmBzrB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBW?rBTnB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFUgBRhB+nB6?oBVrBzrB
TOJSZIL,O,O,X,X,O,O
TOJSZLI,O,O,X,X,O,O
TOJZILS,O,O,X,X,X,X
TOJZISL,O,O,X,X,X,X
TOJZLIS,O,O,X,X,X,X
TOJZLSI,O,O,X,X,X,X
TOJZSIL,O,O,X,X,X,X
TOJZSLI,O,O,X,X,X,X
TOSILJZ,O,X,O,X,O,O
TOSILZJ,O,O,O,X,O,O
TOSIJLZ,O,X,O,X,O,O
TOSIJZL,O,X,X,X,O,O
TOSIZLJ,O,O,O,X,O,O
TOSIZJL,O,O,O,X,X,O
TOSLIJZ,O,X,O,X,O,O
TOSLIZJ,O,O,O,X,O,O
TOSLJIZ,O,X,O,X,O,O
TOSLJZI,O,O,O,X,O,O
TOSLZIJ,O,O,O,X,O,O
TOSLZJI,O,O,O,X,O,O
TOSJILZ,O,X,O,X,O,O
TOSJIZL,O,X,X,X,O,O
TOSJLIZ,O,X,O,X,O,O
TOSJLZI,O,O,O,X,O,O
TOSJZIL,O,O,O,X,O,O
TOSJZLI,O,O,O,X,O,O
TOSZILJ,O,O,O,X,O,O
TOSZIJL,O,O,O,X,X,O
TOSZLIJ,O,O,O,X,O,O
TOSZLJI,O,O,O,X,O,O
TOSZJIL,O,O,O,X,O,O
TOSZJLI,O,O,O,X,O,O
TOZILJS,X,O,X,X,X,X
TOZILSJ,X,O,O,X,X,X
TOZIJLS,O,O,X,X,X,X
TOZIJSL,O,O,X,X,X,X
TOZISLJ,O,O,O,X,X,X
TOZISJL,O,O,O,X,X,X
TOZLIJS,X,O,X,X,X,X
TOZLISJ,X,O,O,X,X,X
TOZLJIS,O,O,O,X,X,X
TOZLJSI,O,O,O,X,X,X
TOZLSIJ,O,O,O,X,X,X
TOZLSJI,O,O,O,X,X,X
TOZJILS,O,O,O,X,X,X
TOZJISL,O,O,O,X,X,X
TOZJLIS,O,O,O,X,X,X
TOZJLSI,O,O,O,X,X,X
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,O,X,X,X
TOZSILJ,O,O,O,X,X,X
TOZSIJL,O,O,O,X,X,X
TOZSLIJ,O,O,O,X,X,X
TOZSLJI,O,O,O,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,O,X,X,X,X,O
ITLJSOZ,O,X,X,X,X,O
ITLJZSO,O,O,X,X,X,O
ITLJZOS,O,O,X,X,X,X
ITLJOSZ,O,X,X,X,X,O
ITLJOZS,X,O,X,X,X,X
ITLSJZO,O,X,X,X,X,O
ITLSJOZ,O,X,X,X,X,O
ITLSZJO,O,O,X,X,X,O
ITLSZOJ,O,O,X,X,X,O
ITLSOJZ,O,X,X,X,X,O
ITLSOZJ,O,O,X,X,X,O
ITLZJSO,O,O,X,X,X,O
ITLZJOS,O,O,X,X,X,X
ITLZSJO,O,O,X,X,X,O
ITLZSOJ,O,O,X,X,X,O
ITLZOJS,X,O,X,X,X,X
ITLZOSJ,X,O,X,X,X,X
ITLOJSZ,X,X,X,X,X,O
ITLOJZS,X,O,X,X,X,X
ITLOSJZ,X,X,X,X,X,O
ITLOSZJ,X,O,X,X,X,O
ITLOZJS,X,O,X,X,X,X
ITLOZSJ,X,O,X,X,X,X
ITJLSZO,O,X,X,X,X,O
ITJLSOZ,O,X,X,X,X,O
ITJLZSO,O,O,X,X,X,O
ITJLZOS,O,O,X,X,X,X
ITJLOSZ,O,X,X,X,X,O
ITJLOZS,X,O,X,X,X,X
ITJSLZO,O,X,X,X,X,O
ITJSLOZ,O,X,X,X,X,O
ITJSZLO,O,X,X,X,X,O
ITJSZOL,O,X,X,X,X,O
ITJSOLZ,O,X,X,X,X,O
ITJSOZL,O,X,X,X,X,O
ITJZLSO,O,O,X,X,X,O
ITJZLOS,O,O,X,X,X,X
ITJZSLO,O,O,X,X,X,O
ITJZSOL,O,O,X,X,X,O
ITJZOLS,O,O,X,X,X,X
ITJZOSL,O,O,X,X,X,X
ITJOLSZ,O,X,X,X,X,O
ITJOLZS,X,O,X,X,X,X
ITJOSLZ,O,X,X,X,X,O
ITJOSZL,O,X,X,X,X,O
ITJOZLS,X,O,X,X,X,X
ITJOZSL,X,O,X,X,X,X
ITSLJZO,O,X,X,X,X,O
ITSLJOZ,O,X,X,X,X,O
ITSLZJO,O,O,X,X,X,O
ITSLZOJ,O,O,X,X,X,O
ITSLOJZ,O,X,X,X,X,O
ITSLOZJ,O,O,X,X,X,O
ITSJLZO,O,X,X,X,X,O
ITSJLOZ,O,X,X,X,X,O
ITSJZLO,O,X,X,X,X,O
ITSJZOL,O,X,X,X,X,O
ITSJOLZ,O,X,X,X,X,O
ITSJOZL,O,X,X,X,X,O
ITSZLJO,O,O,X,X,X,O
ITSZLOJ,O,O,X,X,X,O
ITSZJLO,O,O,X,X,X,O
ITSZJOL,O,O,X,X,X,O
ITSZOLJ,O,O,X,X,X,O
ITSZOJL,O,O,X,X,X,O
ITSOLJZ,O,X,X,X,X,O
ITSOLZJ,O,O,X,X,X,O
ITSOJLZ,O,X,X,X,X,O
ITSOJZL,O,X,X,X,X,O
ITSOZLJ,O,O,X,X,X,O
ITSOZJL,O,O,X,X,X,O
ITZLJSO,O,O,X,X,X,O
ITZLJOS,O,O,X,X,X,X
ITZLSJO,O,O,X,X,X,O
ITZLSOJ,O,O,X,X,X,O
ITZLOJS,X,O,X,X,X,X
ITZLOSJ,X,O,X,X,X,X
ITZJLSO,O,O,X,X,X,O
ITZJLOS,O,O,X,X,X,X
ITZJSLO,O,O,X,X,X,O
ITZJSOL,O,O,X,X,X,O
ITZJOLS,O,O,X,X,X,X
ITZJOSL,O,O,X,X,X,X
ITZSLJO,O,O,X,X,X,O
ITZSLOJ,O,O,X,X,X,O
ITZSJLO,O,O,X,X,X,O
ITZSJOL,O,O,X,X,X,O
ITZSOLJ,O,O,X,X,X,O
ITZSOJL,O,O,X,X,X,O
ITZOLJS,X,O,X,X,X,X
ITZOLSJ,X,O,X,X,X,X
ITZOJLS,O,O,X,X,X,X
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,O,O,X,X,X,X
ITZOSJL,O,O,X,X,X,X
ITOLJSZ,X,X,X,X,X,O
ITOLJZS,X,O,X,X,X,X
ITOLSJZ,X,X,X,X,X,O
ITOLSZJ,X,O,X,X,X,O
ITOLZJS,X,O,X,X,X,X
ITOLZSJ,X,O,X,X,X,X
ITOJLSZ,X,X,X,X,X,O
ITOJLZS,X,O,X,X,X,X
ITOJSLZ,X,X,X,X,X,O
ITOJSZL,X,X,X,X,X,O
ITOJZLS,X,O,X,X,X,X
ITOJZSL,X,O,X,X,X,X
ITOSLJZ,X,X,X,X,X,O
ITOSLZJ,X,O,X,X,X,O
ITOSJLZ,X,X,X,X,X,O
ITOSJZL,X,X,X,X,X,O
ITOSZLJ,X,O,X,X,X,O
ITOSZJL,X,O,X,X,X,O
ITOZLJS,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X
ITOZJLS,X,O,X,X,X,X
ITOZJSL,X,O,X,X,X,X
ITOZSLJ,X,O,X,X,X,X
ITOZSJL,X,O,X,X,X,X
ILTJSZO,O,X,X,X,X,O
ILTJSOZ,O,X,X,X,X,O
ILTJZSO,O,O,X,X,X,O
ILTJZOS,O,O,X,X,X,X
ILTJOSZ,O,X,X,X,X,O
ILTJOZS,X,O,X,X,X,X
ILTSJZO,O,X,X,X,X,O
ILTSJOZ,O,X,X,X,X,O
ILTSZJO,O,O,X,X,X,O
ILTSZOJ,O,O,X,X,X,O
ILTSOJZ,O,X,X,X,X,O
ILTSOZJ,O,O,X,X,X,O
ILTZJSO,O,O,X,X,X,O
ILTZJOS,O,O,X,X,X,X
ILTZSJO,O,O,X,X,X,O
ILTZSOJ,O,O,X,X,X,O
ILTZOJS,X,O,X,X,X,X
ILTZOSJ,X,O,X,X,X,X
ILTOJSZ,X,X,X,X,X,O
ILTOJZS,X,O,X,X,X,X
ILTOSJZ,X,X,X,X,X,O
ILTOSZJ,X,O,X,X,X,O
ILTOZJS,X,O,X,X,X,X
ILTOZSJ,X,O,X,X,X,X
ILJTSZO,O,X,X,O,X,O
ILJTSOZ,O,X,X,X,X,O
ILJTZSO,O,O,X,O,X,O
ILJTZOS,O,O,X,X,X,X
ILJTOSZ,O,X,X,X,X,O
ILJTOZS,X,O,X,X,X,X
ILJSTZO,O,X,X,O,X,O
ILJSTOZ,O,X,X,X,O,O
ILJSZTO,O,X,X,O,X,O
ILJSZOT,O,X,X,O,X,O
ILJSOTZ,O,X,X,X,O,X
ILJSOZT,O,X,X,O,O,X
ILJZTSO,O,O,X,O,X,X
ILJZTOS,O,O,X,X,X,X
ILJZSTO,O,X,X,O,X,X
ILJZSOT,O,X,X,O,X,X
ILJZOTS,O,O,X,X,X,X
ILJZOST,O,X,X,X,X,X
ILJOTSZ,O,X,X,X,O,X
ILJOTZS,X,O,X,X,X,X
ILJOSTZ,O,X,X,X,O,X
ILJOSZT,O,X,X,X,O,X
ILJOZTS,X,O,X,X,X,X
ILJOZST,X,X,X,X,O,X
ILSTJZO,O,X,X,O,X,O
ILSTJOZ,O,X,X,X,O,O
ILSTZJO,O,X,O,O,X,O
ILSTZOJ,O,X,O,X,X,O
ILSTOJZ,O,X,O,X,O,O
ILSTOZJ,O,X,O,X,O,O
ILSJTZO,O,X,X,O,X,O
ILSJTOZ,O,X,X,X,O,O
ILSJZTO,O,X,X,O,X,O
ILSJZOT,O,X,X,O,X,O
ILSJOTZ,O,X,X,X,O,X
ILSJOZT,O,X,X,O,O,X
ILSZTJO,O,X,O,O,X,O
ILSZTOJ,O,X,O,X,X,O
ILSZJTO,O,X,O,O,X,O
ILSZJOT,O,X,O,O,X,O
ILSZOTJ,X,X,O,X,X,X
ILSZOJT,O,X,O,O,X,O
ILSOTJZ,O,X,O,X,O,X
ILSOTZJ,O,X,O,X,O,X
ILSOJTZ,O,X,O,X,O,X
ILSOJZT,O,X,X,O,O,X
ILSOZTJ,X,X,O,X,O,X
ILSOZJT,O,X,O,O,O,X
ILZTJSO,O,O,X,X,X,X
ILZTJOS,O,O,X,X,X,X
ILZTSJO,O,O,O,X,X,X
ILZTSOJ,O,O,O,X,X,X
ILZTOJS,X,O,X,X,X,X
ILZTOSJ,X,O,X,X,X,X
ILZJTSO,O,O,O,O,X,X
ILZJTOS,O,O,X,X,X,X
ILZJSTO,O,X,O,O,X,X
ILZJSOT,O,X,O,O,X,X
ILZJOTS,O,O,O,X,X,X
ILZJOST,O,X,O,X,X,X
ILZSTJO,O,X,O,O,X,X
ILZSTOJ,O,X,O,X,X,X
ILZSJTO,O,X,O,O,X,X
ILZSJOT,O,X,O,O,X,X
ILZSOTJ,X,X,O,X,X,X
ILZSOJT,O,X,O,O,X,X
ILZOTJS,X,O,X,X,X,X
ILZOTSJ,X,O,O,X,X,X
ILZOJTS,X,O,O,X,X,X
ILZOJST,X,X,O,X,X,X
ILZOSTJ,X,X,O,X,X,X
ILZOSJT,X,X,O,X,X,X
ILOTJSZ,X,X,X,X,O,X
ILOTJZS,X,O,X,X,X,X
ILOTSJZ,X,X,O,X,O,X
ILOTSZJ,X,O,O,X,O,X
ILOTZJS,X,O,X,X,X,X
ILOTZSJ,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,O,X
ILOJTZS,X,O,X,X,X,X
ILOJSTZ,X,X,O,X,O,X
ILOJSZT,X,X,X,X,O,X
ILOJZTS,X,O,X,X,X,X
ILOJZST,X,X,X,X,O,X
ILOSTJZ,X,X,O,X,O,X
ILOSTZJ,X,X,O,X,O,X
ILOSJTZ,X,X,O,X,O,X
ILOSJZT,X,X,X,X,O,X
ILOSZTJ,X,X,O,X,O,X
ILOSZJT,X,X,O,X,O,X
ILOZTJS,X,O,X,X,X,X
ILOZTSJ,X,O,O,X,X,X
ILOZJTS,X,O,O,X,X,X
ILOZJST,X,X,O,X,O,X
ILOZSTJ,X,X,O,X,O,X
ILOZSJT,X,X,O,X,O,X
IJTLSZO,O,X,X,O,X,O
IJTLSOZ,O,X,X,X,X,O
IJTLZSO,O,O,X,O,X,O
IJTLZOS,O,O,X,X,X,X
IJTLOSZ,O,X,X,X,X,O
IJTLOZS,X,O,X,X,X,X
IJTSLZO,O,X,X,O,X,O
IJTSLOZ,O,X,X,X,X,O
IJTSZLO,O,X,X,O,X,O
IJTSZOL,O,X,X,O,X,O
IJTSOLZ,O,X,X,X,X,O
IJTSOZL,O,X,X,X,X,O
IJTZLSO,O,O,X,O,X,O
IJTZLOS,O,O,X,X,X,X
IJTZSLO,O,O,X,O,X,O
IJTZSOL,O,O,X,O,X,O
IJTZOLS,O,O,X,X,X,X
IJTZOSL,O,O,X,X,X,X
IJTOLSZ,O,X,X,X,X,O
IJTOLZS,X,O,X,X,X,X
IJTOSLZ,O,X,X,X,X,O
IJTOSZL,O,X,X,X,X,O
IJTOZLS,X,O,X,X,X,X
IJTOZSL,X,O,X,X,X,X
IJLTSZO,O,X,X,O,X,O
IJLTSOZ,O,X,X,X,X,O
IJLTZSO,O,O,X,O,X,O
IJLTZOS,O,O,X,X,X,X
IJLTOSZ,O,X,X,X,X,O
IJLTOZS,X,O,X,X,X,X
IJLSTZO,O,X,X,O,X,O
IJLSTOZ,O,X,X,X,O,O
IJLSZTO,O,X,X,O,X,O
IJLSZOT,O,X,X,O,X,O
IJLSOTZ,O,X,X,X,O,X
IJLSOZT,O,X,X,O,O,X
IJLZTSO,O,O,X,O,X,X
IJLZTOS,O,O,X,X,X,X
IJLZSTO,O,X,X,O,X,X
IJLZSOT,O,X,X,O,X,X
IJLZOTS,O,O,X,X,X,X
IJLZOST,O,X,X,X,X,X
IJLOTSZ,O,X,X,X,O,X
IJLOTZS,X,O,X,X,X,X
IJLOSTZ,O,X,X,X,O,X
IJLOSZT,O,X,X,X,O,X
IJLOZTS,X,O,X,X,X,X
IJLOZST,X,X,X,X,O,X
IJSTLZO,O,X,X,O,X,O
IJSTLOZ,O,X,X,X,O,O
IJSTZLO,O,X,X,O,X,O
IJSTZOL,O,X,X,O,X,O
IJSTOLZ,O,X,X,X,O,O
IJSTOZL,O,X,X,X,O,O
IJSLTZO,O,X,X,O,X,O
IJSLTOZ,O,X,X,X,O,O
IJSLZTO,O,X,X,O,X,O
IJSLZOT,O,X,X,O,X,O
IJSLOTZ,O,X,X,X,O,X
IJSLOZT,O,X,X,O,O,X
IJSZTLO,O,X,X,O,X,O
IJSZTOL,O,X,X,O,X,O
IJSZLTO,O,X,X,O,X,O
IJSZLOT,O,X,X,O,X,O
IJSZOTL,O,X,X,O,X,X
IJSZOLT,O,X,X,O,X,O
IJSOTLZ,O,X,X,X,O,X
IJSOTZL,O,X,X,X,O,X
IJSOLTZ,O,X,X,X,O,X
IJSOLZT,O,X,X,O,O,X
IJSOZTL,O,X,X,O,O,X
IJSOZLT,O,X,X,O,O,X
IJZTLSO,O,O,X,O,X,X
IJZTLOS,O,O,X,X,X,X
IJZTSLO,O,O,X,O,X,X
IJZTSOL,O,O,X,O,X,X
IJZTOLS,O,O,X,X,X,X
IJZTOSL,O,O,X,X,X,X
IJZLTSO,O,O,X,O,X,X
IJZLTOS,O,O,X,X,X,X
IJZLSTO,O,X,X,O,X,X
IJZLSOT,O,X,X,O,X,X
IJZLOTS,O,O,X,X,X,X
IJZLOST,O,X,X,X,X,X
IJZSTLO,O,X,X,O,X,X
IJZSTOL,O,X,X,O,X,X
IJZSLTO,O,X,X,O,X,X
IJZSLOT,O,X,X,O,X,X
IJZSOTL,O,X,X,O,X,X
IJZSOLT,O,X,X,O,X,X
IJZOTLS,O,O,X,X,X,X
IJZOTSL,O,O,X,X,X,X
IJZOLTS,O,O,X,X,X,X
IJZOLST,O,X,X,X,X,X
IJZOSTL,O,X,X,X,X,X
IJZOSLT,O,X,X,X,X,X
IJOTLSZ,O,X,X,X,O,X
IJOTLZS,X,O,X,X,X,X
IJOTSLZ,O,X,X,X,O,X
IJOTSZL,O,X,X,X,O,X
IJOTZLS,X,O,X,X,X,X
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,O,X,X,X,O,X
IJOLTZS,X,O,X,X,X,X
IJOLSTZ,O,X,X,X,O,X
IJOLSZT,O,X,X,X,O,X
IJOLZTS,X,O,X,X,X,X
IJOLZST,X,X,X,X,O,X
IJOSTLZ,O,X,X,X,O,X
IJOSTZL,O,X,X,X,O,X
IJOSLTZ,O,X,X,X,O,X
IJOSLZT,O,X,X,X,O,X
IJOSZTL,X,X,X,X,O,X
IJOSZLT,O,X,X,X,O,X
IJOZTLS,X,O,X,X,X,X
IJOZTSL,X,O,X,X,X,X
IJOZLTS,X,O,X,X,X,X
IJOZLST,X,X,X,X,O,X
IJOZSTL,X,X,X,X,O,X
IJOZSLT,X,X,X,X,O,X
ISTLJZO,O,X,X,O,X,O
ISTLJOZ,O,X,X,X,O,O
ISTLZJO,O,X,O,O,X,O
ISTLZOJ,O,X,O,X,X,O
ISTLOJZ,O,X,O,X,O,O
ISTLOZJ,O,X,O,X,O,O
ISTJLZO,O,X,X,O,X,O
ISTJLOZ,O,X,X,X,O,O
ISTJZLO,O,X,X,O,X,O
ISTJZOL,O,X,X,O,X,O
ISTJOLZ,O,X,X,X,O,O
ISTJOZL,O,X,X,X,O,O
ISTZLJO,O,X,O,O,X,O
ISTZLOJ,O,X,O,X,X,O
ISTZJLO,O,X,O,O,X,O
ISTZJOL,O,X,O,O,X,O
ISTZOLJ,O,X,O,X,X,O
ISTZOJL,O,X,O,O,X,O
ISTOLJZ,O,X,O,X,O,O
ISTOLZJ,O,X,O,X,O,O
ISTOJLZ,O,X,O,X,O,O
ISTOJZL,O,X,X,X,O,O
ISTOZLJ,O,X,O,X,O,O
ISTOZJL,O,X,O,X,X,O
ISLTJZO,O,X,X,O,X,O
ISLTJOZ,O,X,X,X,O,O
ISLTZJO,O,X,O,O,X,O
ISLTZOJ,O,X,O,X,X,O
ISLTOJZ,O,X,O,X,O,O
ISLTOZJ,O,X,O,X,O,O
ISLJTZO,O,X,X,O,X,O
ISLJTOZ,O,X,X,X,O,O
ISLJZTO,O,X,X,O,X,O
ISLJZOT,O,X,X,O,X,O
ISLJOTZ,O,X,X,X,O,X
ISLJOZT,O,X,X,O,O,X
ISLZTJO,O,X,O,O,X,O
ISLZTOJ,O,X,O,X,X,O
ISLZJTO,O,X,O,O,X,O
ISLZJOT,O,X,O,O,X,O
ISLZOTJ,X,X,O,X,X,X
ISLZOJT,O,X,O,O,X,O
ISLOTJZ,O,X,O,X,O,X
ISLOTZJ,O,X,O,X,O,X
ISLOJTZ,O,X,O,X,O,X
ISLOJZT,O,X,X,O,O,X
ISLOZTJ,X,X,O,X,O,X
ISLOZJT,O,X,O,O,O,X
ISJTLZO,O,X,X,O,X,O
ISJTLOZ,O,X,X,X,O,O
ISJTZLO,O,X,X,O,X,O
ISJTZOL,O,X,X,O,X,O
ISJTOLZ,O,X,X,X,O,O
ISJTOZL,O,X,X,X,O,O
ISJLTZO,O,X,X,O,X,O
ISJLTOZ,O,X,X,X,O,O
ISJLZTO,O,X,X,O,X,O
ISJLZOT,O,X,X,O,X,O
ISJLOTZ,O,X,X,X,O,X
ISJLOZT,O,X,X,O,O,X
ISJZTLO,O,X,X,O,X,O
ISJZTOL,O,X,X,O,X,O
ISJZLTO,O,X,X,O,X,O
ISJZLOT,O,X,X,O,X,O
ISJZOTL,O,X,X,O,X,X
ISJZOLT,O,X,X,O,X,O
ISJOTLZ,O,X,X,X,O,X
ISJOTZL,O,X,X,X,O,X
ISJOLTZ,O,X,X,X,O,X
ISJOLZT,O,X,X,O,O,X
ISJOZTL,O,X,X,O,O,X
ISJOZLT,O,X,X,O,O,X
ISZTLJO,O,X,O,O,X,O
ISZTLOJ,O,X,O,X,X,O
ISZTJLO,O,X,O,O,X,O
ISZTJOL,O,X,O,O,X,O
ISZTOLJ,O,X,O,X,X,O
ISZTOJL,O,X,O,O,X,O
ISZLTJO,O,X,O,O,X,O
ISZLTOJ,O,X,O,X,X,O
ISZLJTO,O,X,O,O,X,O
ISZLJOT,O,X,O,O,X,O
ISZLOTJ,X,X,O,X,X,X
ISZLOJT,O,X,O,O,X,O
ISZJTLO,O,X,O,O,X,O
ISZJTOL,O,X,O,O,X,O
ISZJLTO,O,X,O,O,X,O
ISZJLOT,O,X,O,O,X,O
ISZJOTL,O,X,O,O,X,X
ISZJOLT,O,X,O,O,X,O
ISZOTLJ,O,X,O,X,X,X
ISZOTJL,O,X,O,O,X,X
ISZOLTJ,X,X,O,X,X,X
ISZOLJT,O,X,O,O,X,O
ISZOJTL,O,X,O,O,X,X
ISZOJLT,O,X,O,O,X,O
ISOTLJZ,O,X,O,X,O,X
ISOTLZJ,O,X,O,X,O,X
ISOTJLZ,O,X,O,X,O,X
ISOTJZL,O,X,X,X,O,X
ISOTZLJ,O,X,O,X,O,X
ISOTZJL,O,X,O,X,X,X
ISOLTJZ,O,X,O,X,O,X
ISOLTZJ,O,X,O,X,O,X
ISOLJTZ,O,X,O,X,O,X
ISOLJZT,O,X,X,O,O,X
ISOLZTJ,X,X,O,X,O,X
ISOLZJT,O,X,O,O,O,X
ISOJTLZ,O,X,O,X,O,X
ISOJTZL,O,X,X,X,O,X
ISOJLTZ,O,X,O,X,O,X
ISOJLZT,O,X,X,O,O,X
ISOJZTL,O,X,X,O,O,X
ISOJZLT,O,X,X,O,O,X
ISOZTLJ,X,X,O,X,O,X
ISOZTJL,O,X,O,O,X,X
ISOZLTJ,X,X,O,X,O,X
ISOZLJT,O,X,O,O,O,X
ISOZJTL,O,X,O,O,O,X
ISOZJLT,O,X,O,O,O,X
IZTLJSO,O,O,X,X,X,X
IZTLJOS,O,O,X,X,X,X
IZTLSJO,O,O,O,X,X,X
IZTLSOJ,O,O,O,X,X,X
IZTLOJS,X,O,X,X,X,X
IZTLOSJ,X,O,X,X,X,X
IZTJLSO,O,O,X,O,X,X
IZTJLOS,O,O,X,X,X,X
IZTJSLO,O,O,X,O,X,X
IZTJSOL,O,O,X,O,X,X
IZTJOLS,O,O,X,X,X,X
IZTJOSL,O,O,X,X,X,X
IZTSLJO,O,O,O,O,X,X
IZTSLOJ,O,O,O,X,X,X
IZTSJLO,O,O,O,O,X,X
IZTSJOL,O,O,X,O,X,X
IZTSOLJ,O,O,O,X,X,X
IZTSOJL,O,O,X,O,X,X
IZTOLJS,X,O,X,X,X,X
IZTOLSJ,X,O,X,X,X,X
IZTOJLS,O,O,X,X,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,O,O,X,X,X,X
IZTOSJL,O,O,X,X,X,X
IZLTJSO,O,O,X,X,X,X
IZLTJOS,O,O,X,X,X,X
IZLTSJO,O,O,O,X,X,X
IZLTSOJ,O,O,O,X,X,X
IZLTOJS,X,O,X,X,X,X
IZLTOSJ,X,O,X,X,X,X
IZLJTSO,O,O,O,O,X,X
IZLJTOS,O,O,X,X,X,X
IZLJSTO,O,X,O,O,X,X
IZLJSOT,O,X,O,O,X,X
IZLJOTS,O,O,O,X,X,X
IZLJOST,O,X,O,X,X,X
IZLSTJO,O,X,O,O,X,X
IZLSTOJ,O,X,O,X,X,X
IZLSJTO,O,X,O,O,X,X
IZLSJOT,O,X,O,O,X,X
IZLSOTJ,X,X,O,X,X,X
IZLSOJT,O,X,O,O,X,X
IZLOTJS,X,O,X,X,X,X
IZLOTSJ,X,O,O,X,X,X
IZLOJTS,X,O,O,X,X,X
IZLOJST,X,X,O,X,X,X
IZLOSTJ,X,X,O,X,X,X
IZLOSJT,X,X,O,X,X,X
IZJTLSO,O,O,O,O,X,X
IZJTLOS,O,O,X,X,X,X
IZJTSLO,O,O,O,O,X,X
IZJTSOL,O,O,O,O,X,X
IZJTOLS,O,O,X,X,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,O,O,O,O,X,X
IZJLTOS,O,O,X,X,X,X
IZJLSTO,O,X,O,O,X,X
IZJLSOT,O,X,O,O,X,X
IZJLOTS,O,O,O,X,X,X
IZJLOST,O,X,O,X,X,X
IZJSTLO,O,X,O,O,X,X
IZJSTOL,O,X,O,O,X,X
IZJSLTO,O,X,O,O,X,X
IZJSLOT,O,X,O,O,X,X
IZJSOTL,O,X,O,O,X,X
IZJSOLT,O,X,O,O,X,X
IZJOTLS,O,O,O,X,X,X
IZJOTSL,O,O,O,X,X,X
IZJOLTS,O,O,O,X,X,X
IZJOLST,O,X,O,X,X,X
IZJOSTL,O,X,O,X,X,X
IZJOSLT,O,X,O,X,X,X
IZSTLJO,O,X,O,O,X,X
IZSTLOJ,O,X,O,X,X,X
IZSTJLO,O,X,O,O,X,X
IZSTJOL,O,X,O,O,X,X
IZSTOLJ,O,X,O,X,X,X
IZSTOJL,O,X,O,O,X,X
IZSLTJO,O,X,O,O,X,X
IZSLTOJ,O,X,O,X,X,X
IZSLJTO,O,X,O,O,X,X
IZSLJOT,O,X,O,O,X,X
IZSLOTJ,X,X,O,X,X,X
IZSLOJT,O,X,O,O,X,X
IZSJTLO,O,X,O,O,X,X
IZSJTOL,O,X,O,O,X,X
IZSJLTO,O,X,O,O,X,X
IZSJLOT,O,X,O,O,X,X
IZSJOTL,O,X,O,O,X,X
IZSJOLT,O,X,O,O,X,X
IZSOTLJ,O,X,O,X,X,X
IZSOTJL,O,X,O,O,X,X
IZSOLTJ,X,X,O,X,X,X
IZSOLJT,O,X,O,O,X,X
IZSOJTL,O,X,O,O,X,X
IZSOJLT,O,X,O,O,X,X
IZOTLJS,X,O,X,X,X,X
IZOTLSJ,X,O,O,X,X,X
IZOTJLS,O,O,X,X,X,X
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,O,O,O,X,X,X
IZOTSJL,O,O,O,X,X,X
IZOLTJS,X,O,X,X,X,X
IZOLTSJ,X,O,O,X,X,X
IZOLJTS,X,O,O,X,X,X
IZOLJST,X,X,O,X,X,X
IZOLSTJ,X,X,O,X,X,X
IZOLSJT,X,X,O,X,X,X
IZOJTLS,O,O,O,X,X,X
IZOJTSL,O,O,O,X,X,X
IZOJLTS,O,O,O,X,X,X
IZOJLST,O,X,O,X,X,X
IZOJSTL,O,X,O,X,X,X
IZOJSLT,O,X,O,X,X,X
IZOSTLJ,O,X,O,X,X,X
IZOSTJL,O,X,O,X,X,X
IZOSLTJ,X,X,O,X,X,X
IZOSLJT,O,X,O,X,X,X
IZOSJTL,O,X,O,X,X,X
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,X,X,X,X,O,X
IOTLJZS,X,O,X,X,X,X
IOTLSJZ,X,X,O,X,O,X
IOTLSZJ,X,O,O,X,O,X
IOTLZJS,X,O,X,X,X,X
IOTLZSJ,X,O,X,X,X,X
IOTJLSZ,X,X,X,X,O,X
IOTJLZS,X,O,X,X,X,X
IOTJSLZ,X,X,X,X,O,X
IOTJSZL,X,X,X,X,O,X
IOTJZLS,X,O,X,X,X,X
IOTJZSL,X,O,X,X,X,X
IOTSLJZ,X,X,O,X,O,X
IOTSLZJ,X,O,O,X,O,X
IOTSJLZ,X,X,O,X,O,X
IOTSJZL,X,X,X,X,O,X
IOTSZLJ,X,O,O,X,O,X
IOTSZJL,X,O,X,X,X,X
