sequence,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBGiBTlB0rBlsBirB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBqlB/mB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFmgBXlBSrB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBRhBqnBfrBUsBlrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBUhBFiBfrBRsBSxB,v115@FhB8HeC8HeE8DeB8JeT/IvhFigBGiB8rBRqB3sBFrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFqnBVqBRmBmlBUsB3rB,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBTlBOrB0nBCnBVxB,v115@FhB8HeC8HeE8DeB8JeqHJvhFlkBRmBmkBzlBUsB3rB
TZLIJOS,X,X,X,X,X,X,O,X,O
TZLISJO,X,X,X,X,X,X,X,X,O
TZLISOJ,X,X,X,X,X,X,O,X,O
TZLIOJS,X,X,X,X,X,X,O,X,O
TZLIOSJ,X,X,X,X,X,X,O,X,O
TZLJISO,X,X,X,X,X,X,X,X,O
TZLJIOS,X,X,X,X,X,X,O,X,O
TZLJSIO,O,X,X,O,X,X,X,X,X
TZLJSOI,O,O,O,O,X,X,X,O,X
TZLJOIS,X,X,X,X,X,X,O,X,X
TZLJOSI,O,O,X,O,X,X,X,O,X
TZLSIJO,O,X,X,O,X,X,X,X,O
TZLSIOJ,X,X,X,X,X,X,O,X,O
TZLSJIO,O,X,X,O,X,X,X,X,X
TZLSJOI,O,O,O,O,X,X,X,O,X
TZLSOIJ,O,X,X,X,X,X,O,X,X
TZLSOJI,O,X,O,O,X,X,X,O,X
TZLOIJS,X,X,X,X,X,X,O,X,O
TZLOISJ,X,X,X,X,X,X,O,X,O
TZLOJIS,X,X,X,X,X,X,O,X,X
TZLOJSI,O,X,X,O,X,X,X,O,X
TZLOSIJ,O,X,X,X,X,X,O,X,X
TZLOSJI,O,X,X,O,X,X,X,O,X
TZJILSO,X,O,X,X,X,X,X,X,O
TZJILOS,X,O,X,X,X,X,O,X,O
TZJISLO,O,X,X,X,X,X,X,X,X
TZJISOL,O,X,X,X,X,X,X,O,X
TZJIOLS,X,O,X,X,X,X,O,X,X
TZJIOSL,O,X,X,X,X,X,X,O,X
TZJLISO,X,X,X,X,X,X,X,X,O
TZJLIOS,X,X,X,X,X,X,O,X,O
TZJLSIO,O,X,X,O,X,X,X,X,X
TZJLSOI,O,O,X,O,X,X,X,O,X
TZJLOIS,X,X,X,X,X,X,O,X,X
TZJLOSI,O,O,X,O,X,X,X,O,X
TZJSILO,O,X,X,X,X,X,X,X,X
TZJSIOL,O,X,X,X,X,X,X,O,X
TZJSLIO,O,X,X,O,X,X,X,X,X
TZJSLOI,O,X,X,O,X,X,X,O,X
TZJSOIL,O,X,X,X,X,X,X,O,X
TZJSOLI,O,X,X,O,X,X,X,O,X
TZJOILS,X,O,X,X,X,X,O,X,X
TZJOISL,O,X,X,X,X,X,X,O,X
TZJOLIS,X,X,X,X,X,X,O,X,X
TZJOLSI,O,O,X,O,X,X,X,O,X
TZJOSIL,O,X,X,X,X,X,X,O,X
TZJOSLI,O,X,X,O,X,X,X,O,X
TZSILJO,O,X,O,X,X,X,X,X,O
TZSILOJ,X,X,O,X,X,X,O,X,O
TZSIJLO,O,X,X,X,X,X,X,X,X
TZSIJOL,O,X,X,X,X,X,X,O,X
TZSIOLJ,O,X,O,X,X,X,O,X,X
TZSIOJL,O,X,X,X,X,X,X,O,X
TZSLIJO,O,X,X,O,X,X,X,X,O
TZSLIOJ,X,X,X,X,X,X,O,X,O
TZSLJIO,O,X,X,O,X,X,X,X,X
TZSLJOI,O,X,O,O,X,X,X,O,X
TZSLOIJ,O,X,X,X,X,X,O,X,X
TZSLOJI,O,X,O,O,X,X,X,O,X
TZSJILO,O,X,X,X,X,X,X,X,X
TZSJIOL,O,X,X,X,X,X,X,O,X
TZSJLIO,O,X,X,O,X,X,X,X,X
TZSJLOI,O,X,X,O,X,X,X,O,X
TZSJOIL,O,X,X,X,X,X,X,O,X
TZSJOLI,O,X,X,O,X,X,X,O,X
TZSOILJ,O,X,O,X,X,X,O,X,X
TZSOIJL,O,X,X,X,X,X,X,O,X
TZSOLIJ,O,X,X,X,X,X,O,X,X
TZSOLJI,O,X,O,O,X,X,X,O,X
TZSOJIL,O,X,X,X,X,X,X,O,X
TZSOJLI,O,X,X,O,X,X,X,O,X
TZOILJS,X,X,X,X,X,X,O,X,O
TZOILSJ,X,X,X,X,X,X,O,X,O
TZOIJLS,X,O,X,X,X,X,O,X,X
TZOIJSL,O,X,X,X,X,X,X,O,X
TZOISLJ,O,X,O,X,X,X,O,X,X
TZOISJL,O,X,X,X,X,X,X,O,X
TZOLIJS,X,X,X,X,X,X,O,X,O
TZOLISJ,X,X,X,X,X,X,O,X,O
TZOLJIS,X,X,X,X,X,X,O,X,X
TZOLJSI,O,X,X,O,X,X,X,O,X
TZOLSIJ,O,X,X,X,X,X,O,X,X
TZOLSJI,O,X,X,O,X,X,X,O,X
TZOJILS,X,O,X,X,X,X,O,X,X
TZOJISL,O,X,X,X,X,X,X,O,X
TZOJLIS,X,X,X,X,X,X,O,X,X
TZOJLSI,O,O,X,O,X,X,X,O,X
TZOJSIL,O,X,X,X,X,X,X,O,X
TZOJSLI,O,X,X,O,X,X,X,O,X
TZOSILJ,O,X,O,X,X,X,O,X,X
TZOSIJL,O,X,X,X,X,X,X,O,X
TZOSLIJ,O,X,X,X,X,X,O,X,X
TZOSLJI,O,X,O,O,X,X,X,O,X
TZOSJIL,O,X,X,X,X,X,X,O,X
TZOSJLI,O,X,X,O,X,X,X,O,X
TOILJSZ,X,X,X,X,O,X,O,X,X
TOILJZS,X,X,X,X,X,X,O,X,X
TOILSJZ,X,X,X,X,O,O,O,X,X
TOILSZJ,X,X,X,X,X,O,O,X,X
TOILZJS,X,X,X,X,X,X,O,X,X
TOILZSJ,X,X,X,X,X,X,O,X,X
TOIJLSZ,X,O,X,X,O,X,O,X,X
TOIJLZS,X,O,X,X,X,X,O,X,X
TOIJSLZ,O,X,X,X,O,X,X,X,X
TOIJSZL,O,X,X,X,O,X,X,X,X
TOIJZLS,X,O,X,X,X,X,X,X,X
TOIJZSL,X,X,X,X,O,X,X,X,X
TOISLJZ,O,X,O,X,O,O,O,X,X
TOISLZJ,O,X,O,X,X,O,O,X,X
TOISJLZ,O,X,O,X,O,O,X,X,X
TOISJZL,O,X,X,X,O,X,X,X,X
TOISZLJ,O,X,O,X,X,O,X,X,X
TOISZJL,O,X,X,X,O,O,X,X,X
TOIZLJS,X,X,X,X,X,X,O,X,X
TOIZLSJ,X,X,X,X,X,X,O,X,X
TOIZJLS,X,O,X,X,X,X,O,X,X
TOIZJSL,O,X,X,X,O,X,X,X,X
TOIZSLJ,O,X,O,X,X,X,O,X,X
TOIZSJL,O,X,X,X,O,X,X,X,X
TOLIJSZ,X,X,X,X,X,X,O,X,X
TOLIJZS,X,X,X,X,X,X,O,X,X
TOLISJZ,X,X,X,X,X,X,O,X,X
TOLISZJ,X,X,X,X,X,X,O,X,X
TOLIZJS,X,X,X,X,X,X,O,X,X
TOLIZSJ,X,X,X,X,X,X,O,X,X
TOLJISZ,X,X,X,X,X,X,O,X,X
TOLJIZS,X,X,X,X,X,X,O,X,X
TOLJSIZ,O,X,X,O,X,X,X,X,X
TOLJSZI,X,X,X,O,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X,O,X,X
TOLJZSI,X,X,X,O,X,X,X,X,X
TOLSIJZ,O,X,X,X,X,X,O,X,X
TOLSIZJ,O,X,X,X,X,X,O,X,X
TOLSJIZ,O,X,X,O,X,X,X,X,X
TOLSJZI,X,X,X,O,X,X,X,X,X
TOLSZIJ,O,X,X,X,X,X,O,X,X
TOLSZJI,O,X,X,O,X,X,X,X,X
TOLZIJS,X,X,X,X,X,X,O,X,O
TOLZISJ,X,X,X,X,X,X,O,X,O
TOLZJIS,X,X,X,X,X,X,O,X,X
TOLZJSI,O,X,X,O,X,X,X,X,X
TOLZSIJ,O,X,X,X,X,X,O,X,X
TOLZSJI,O,X,X,O,X,X,X,X,X
TOJILSZ,X,O,X,X,O,X,O,X,X
TOJILZS,X,O,X,X,X,X,O,X,X
TOJISLZ,O,X,X,X,O,X,X,X,X
TOJISZL,O,X,X,X,O,X,X,X,X
TOJIZLS,X,O,X,X,X,X,X,X,X
TOJIZSL,X,X,X,X,O,X,X,X,X
TOJLISZ,X,O,X,X,X,X,O,X,X
TOJLIZS,X,O,X,X,X,X,O,X,X
TOJLSIZ,O,O,X,O,X,X,X,X,X
TOJLSZI,X,O,X,O,X,X,X,X,X
TOJLZIS,X,X,X,X,X,X,O,X,X
TOJLZSI,X,O,X,O,X,X,X,X,X
TOJSILZ,O,X,X,X,O,X,X,X,X
TOJSIZL,O,X,X,X,O,X,X,O,X
TOJSLIZ,O,X,X,O,X,X,X,X,X
TOJSLZI,X,X,X,O,X,X,X,X,X
TOJSZIL,O,X,X,X,O,X,X,O,X
TOJSZLI,O,X,X,O,O,X,X,O,X
TOJZILS,X,O,X,X,X,X,O,X,X
TOJZISL,O,X,X,X,X,X,X,X,X
TOJZLIS,X,X,X,X,X,X,O,X,X
TOJZLSI,O,O,X,O,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X,X,O,X
TOJZSLI,O,X,X,O,X,X,X,O,X
TOSILJZ,O,X,O,X,O,O,O,X,X
TOSILZJ,O,X,O,X,X,O,O,X,X
TOSIJLZ,O,X,O,X,O,O,X,X,X
TOSIJZL,O,X,X,X,O,X,X,O,X
TOSIZLJ,O,X,O,X,X,O,X,X,X
TOSIZJL,O,X,X,X,O,O,X,O,X
TOSLIJZ,O,X,O,X,X,X,O,X,X
TOSLIZJ,O,X,O,X,X,X,O,X,X
TOSLJIZ,O,X,O,O,X,X,X,X,X
TOSLJZI,X,X,O,O,X,X,X,X,X
TOSLZIJ,O,X,X,X,X,X,O,X,X
TOSLZJI,O,X,O,O,X,X,X,X,X
TOSJILZ,O,X,O,X,O,O,X,X,X
TOSJIZL,O,X,X,X,O,X,X,O,X
TOSJLIZ,O,X,O,O,X,X,X,X,X
TOSJLZI,X,X,O,O,X,X,X,X,X
TOSJZIL,O,X,X,X,O,O,X,O,X
TOSJZLI,O,X,X,O,O,X,X,O,X
TOSZILJ,O,X,O,X,X,O,O,X,X
TOSZIJL,O,X,X,X,X,O,X,O,X
TOSZLIJ,O,X,X,X,X,X,O,X,X
TOSZLJI,O,X,O,O,X,X,X,O,X
TOSZJIL,O,X,X,X,X,O,X,O,X
TOSZJLI,O,X,X,O,X,X,X,O,X
TOZILJS,X,X,X,X,X,X,O,X,O
TOZILSJ,X,X,X,X,X,X,O,X,O
TOZIJLS,X,O,X,X,X,X,O,X,X
TOZIJSL,O,X,X,X,X,X,X,O,X
TOZISLJ,O,X,O,X,X,X,O,X,X
TOZISJL,O,X,X,X,X,X,X,O,X
TOZLIJS,X,X,X,X,X,X,O,X,O
TOZLISJ,X,X,X,X,X,X,O,X,O
TOZLJIS,X,X,X,X,X,X,O,X,X
TOZLJSI,O,X,X,O,X,X,X,O,X
TOZLSIJ,O,X,X,X,X,X,O,X,X
TOZLSJI,O,X,X,O,X,X,X,O,X
TOZJILS,X,O,X,X,X,X,O,X,X
TOZJISL,O,X,X,X,X,X,X,O,X
TOZJLIS,X,X,X,X,X,X,O,X,X
TOZJLSI,O,O,X,O,X,X,X,O,X
TOZJSIL,O,X,X,X,X,X,X,O,X
TOZJSLI,O,X,X,O,X,X,X,O,X
TOZSILJ,O,X,O,X,X,X,O,X,X
TOZSIJL,O,X,X,X,X,X,X,O,X
TOZSLIJ,O,X,X,X,X,X,O,X,X
TOZSLJI,O,X,O,O,X,X,X,O,X
TOZSJIL,O,X,X,X,X,X,X,O,X
TOZSJLI,O,X,X,O,X,X,X,O,X
ITLJSZO,X,O,O,X,O,X,X,X,X
ITLJSOZ,X,O,O,X,O,X,X,X,X
ITLJZSO,X,O,O,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,X,X,X,X
ITLJOSZ,X,O,X,X,O,X,O,X,X
ITLJOZS,X,O,X,X,X,X,O,X,X
ITLSJZO,X,O,O,X,O,X,X,X,X
ITLSJOZ,X,O,O,X,O,O,X,X,X
ITLSZJO,X,O,O,X,O,O,X,X,X
ITLSZOJ,X,X,O,X,X,O,X,X,X
ITLSOJZ,X,X,O,X,O,O,O,X,X
ITLSOZJ,X,X,O,X,X,O,O,X,X
ITLZJSO,X,O,O,X,X,X,X,X,O
ITLZJOS,X,O,X,X,X,X,O,X,O
ITLZSJO,X,O,O,X,X,X,X,X,O
ITLZSOJ,X,X,O,X,X,X,O,X,O
ITLZOJS,X,X,X,X,X,X,O,X,O
ITLZOSJ,X,X,X,X,X,X,O,X,O
ITLOJSZ,X,X,X,X,O,X,O,X,X
ITLOJZS,X,X,X,X,X,X,O,X,X
ITLOSJZ,X,X,X,X,O,O,O,X,X
ITLOSZJ,X,X,X,X,X,O,O,X,X
ITLOZJS,X,X,X,X,X,X,O,X,X
ITLOZSJ,X,X,X,X,X,X,O,X,X
ITJLSZO,X,O,X,X,O,X,X,X,X
ITJLSOZ,X,O,X,X,O,X,X,X,X
ITJLZSO,X,O,X,X,X,X,X,X,X
ITJLZOS,X,O,X,X,X,X,X,X,X
ITJLOSZ,X,O,X,X,O,X,O,X,X
ITJLOZS,X,O,X,X,X,X,O,X,X
ITJSLZO,O,X,X,X,O,X,X,X,X
ITJSLOZ,O,X,X,X,O,X,X,X,X
ITJSZLO,O,X,X,X,O,X,X,X,X
ITJSZOL,O,X,X,X,O,X,X,X,X
ITJSOLZ,O,X,X,X,O,X,X,X,X
ITJSOZL,O,X,X,X,O,X,X,X,X
ITJZLSO,X,O,X,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,X,X
ITJZSLO,O,X,X,X,O,X,X,X,X
ITJZSOL,O,X,X,X,O,X,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X,X
ITJZOSL,O,X,X,X,O,X,X,X,X
ITJOLSZ,X,O,X,X,O,X,O,X,X
ITJOLZS,X,O,X,X,X,X,O,X,X
ITJOSLZ,O,X,X,X,O,X,X,X,X
ITJOSZL,O,X,X,X,O,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X,X
ITJOZSL,X,X,X,X,O,X,X,X,X
ITSLJZO,O,O,O,X,O,X,X,X,X
ITSLJOZ,O,O,O,X,O,O,X,X,X
ITSLZJO,O,O,O,X,O,O,X,X,X
ITSLZOJ,X,X,O,X,X,O,X,X,X
ITSLOJZ,X,X,O,X,O,O,O,X,X
ITSLOZJ,X,X,O,X,X,O,O,X,X
ITSJLZO,O,X,O,X,O,X,X,X,X
ITSJLOZ,O,X,O,X,O,O,X,X,X
ITSJZLO,O,X,X,X,O,X,X,X,X
ITSJZOL,O,X,X,X,O,X,X,X,X
ITSJOLZ,O,X,O,X,O,O,X,X,X
ITSJOZL,O,X,X,X,O,X,X,X,X
ITSZLJO,O,O,O,X,O,O,X,X,X
ITSZLOJ,X,X,O,X,X,O,X,X,X
ITSZJLO,O,X,X,X,O,O,X,X,X
ITSZJOL,O,X,X,X,O,O,X,X,X
ITSZOLJ,O,X,O,X,X,O,X,X,X
ITSZOJL,O,X,X,X,O,O,X,X,X
ITSOLJZ,O,X,O,X,O,O,O,X,X
ITSOLZJ,O,X,O,X,X,O,O,X,X
ITSOJLZ,O,X,O,X,O,O,X,X,X
ITSOJZL,O,X,X,X,O,X,X,X,X
ITSOZLJ,O,X,O,X,X,O,X,X,X
ITSOZJL,O,X,X,X,O,O,X,X,X
ITZLJSO,X,O,O,X,X,X,X,X,O
ITZLJOS,X,O,X,X,X,X,O,X,O
ITZLSJO,X,O,O,X,X,X,X,X,O
ITZLSOJ,X,X,O,X,X,X,O,X,O
ITZLOJS,X,X,X,X,X,X,O,X,O
ITZLOSJ,X,X,X,X,X,X,O,X,O
ITZJLSO,X,O,X,X,X,X,X,X,O
ITZJLOS,X,O,X,X,X,X,O,X,O
ITZJSLO,O,X,X,X,O,X,X,X,X
ITZJSOL,O,X,X,X,O,X,X,X,X
ITZJOLS,X,O,X,X,X,X,O,X,X
ITZJOSL,O,X,X,X,O,X,X,X,X
ITZSLJO,O,O,O,X,O,X,X,X,O
ITZSLOJ,X,X,O,X,X,X,O,X,O
ITZSJLO,O,X,X,X,O,X,X,X,X
ITZSJOL,O,X,X,X,O,X,X,X,X
ITZSOLJ,O,X,O,X,X,X,O,X,X
ITZSOJL,O,X,X,X,O,X,X,X,X
ITZOLJS,X,X,X,X,X,X,O,X,O
ITZOLSJ,X,X,X,X,X,X,O,X,O
ITZOJLS,X,O,X,X,X,X,O,X,X
ITZOJSL,O,X,X,X,O,X,X,X,X
ITZOSLJ,O,X,O,X,X,X,O,X,X
ITZOSJL,O,X,X,X,O,X,X,X,X
ITOLJSZ,X,X,X,X,O,X,O,X,X
ITOLJZS,X,X,X,X,X,X,O,X,X
ITOLSJZ,X,X,X,X,O,O,O,X,X
ITOLSZJ,X,X,X,X,X,O,O,X,X
ITOLZJS,X,X,X,X,X,X,O,X,X
ITOLZSJ,X,X,X,X,X,X,O,X,X
ITOJLSZ,X,O,X,X,O,X,O,X,X
ITOJLZS,X,O,X,X,X,X,O,X,X
ITOJSLZ,O,X,X,X,O,X,X,X,X
ITOJSZL,O,X,X,X,O,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X
ITOJZSL,X,X,X,X,O,X,X,X,X
ITOSLJZ,O,X,O,X,O,O,O,X,X
ITOSLZJ,O,X,O,X,X,O,O,X,X
ITOSJLZ,O,X,O,X,O,O,X,X,X
ITOSJZL,O,X,X,X,O,X,X,X,X
ITOSZLJ,O,X,O,X,X,O,X,X,X
ITOSZJL,O,X,X,X,O,O,X,X,X
ITOZLJS,X,X,X,X,X,X,O,X,X
ITOZLSJ,X,X,X,X,X,X,O,X,X
ITOZJLS,X,O,X,X,X,X,O,X,X
ITOZJSL,O,X,X,X,O,X,X,X,X
ITOZSLJ,O,X,O,X,X,X,O,X,X
ITOZSJL,O,X,X,X,O,X,X,X,X
ILTJSZO,X,O,O,X,O,X,X,X,X
ILTJSOZ,X,O,O,X,O,X,X,X,X
ILTJZSO,X,O,O,X,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X,X
ILTJOSZ,X,O,X,X,O,X,O,X,X
ILTJOZS,X,O,X,X,X,X,O,X,X
ILTSJZO,X,O,O,X,O,X,X,X,X
ILTSJOZ,X,O,O,X,O,O,X,X,X
ILTSZJO,X,O,O,X,O,O,X,X,X
ILTSZOJ,X,X,O,X,X,O,X,X,X
ILTSOJZ,X,X,O,X,O,O,O,X,X
ILTSOZJ,X,X,O,X,X,O,O,X,X
ILTZJSO,X,O,O,X,X,X,X,X,O
ILTZJOS,X,O,X,X,X,X,O,X,O
ILTZSJO,X,O,O,X,X,X,X,X,O
ILTZSOJ,X,X,O,X,X,X,O,X,O
ILTZOJS,X,X,X,X,X,X,O,X,O
ILTZOSJ,X,X,X,X,X,X,O,X,O
ILTOJSZ,X,X,X,X,O,X,O,X,X
ILTOJZS,X,X,X,X,X,X,O,X,X
ILTOSJZ,X,X,X,X,O,O,O,X,X
ILTOSZJ,X,X,X,X,X,O,O,X,X
ILTOZJS,X,X,X,X,X,X,O,X,X
ILTOZSJ,X,X,X,X,X,X,O,X,X
ILJTSZO,X,O,O,X,O,X,X,X,X
ILJTSOZ,X,O,O,X,O,X,X,X,X
ILJTZSO,X,O,O,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X,X
ILJTOSZ,X,O,X,X,O,X,X,X,X
ILJTOZS,X,O,X,X,X,X,X,X,X
ILJSTZO,X,O,O,X,O,X,X,X,X
ILJSTOZ,X,O,O,O,O,O,X,X,X
ILJSZTO,X,O,O,O,O,O,X,X,X
ILJSZOT,X,O,O,O,O,O,X,X,X
ILJSOTZ,X,O,O,O,O,O,X,X,X
ILJSOZT,X,O,O,O,O,O,X,X,X
ILJZTSO,X,O,O,X,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X,X,X
ILJZSTO,X,O,O,O,X,X,X,X,X
ILJZSOT,X,O,O,O,X,X,X,X,X
ILJZOTS,X,O,X,X,X,X,X,X,X
ILJZOST,X,O,O,O,X,X,X,X,X
ILJOTSZ,X,O,X,X,O,X,X,X,X
ILJOTZS,X,O,X,X,X,X,X,X,X
ILJOSTZ,X,O,O,O,O,O,X,X,X
ILJOSZT,X,O,O,O,O,O,X,X,X
ILJOZTS,X,O,X,X,X,X,X,X,X
ILJOZST,X,O,O,O,X,X,X,X,X
ILSTJZO,X,O,O,X,O,X,X,X,X
ILSTJOZ,X,O,O,O,O,O,X,X,X
ILSTZJO,X,O,O,X,O,O,X,X,X
ILSTZOJ,X,X,O,X,X,O,X,X,X
ILSTOJZ,X,X,O,X,O,O,X,X,X
ILSTOZJ,X,X,O,X,X,O,X,X,X
ILSJTZO,X,O,O,X,O,X,X,X,X
ILSJTOZ,X,O,O,O,O,O,X,X,X
ILSJZTO,X,O,O,O,O,O,X,X,X
ILSJZOT,X,O,O,O,O,O,X,X,X
ILSJOTZ,X,O,O,O,O,O,X,X,X
ILSJOZT,X,O,O,O,O,O,X,X,X
ILSZTJO,X,O,O,O,O,O,X,X,X
ILSZTOJ,X,X,O,X,X,O,X,X,X
ILSZJTO,X,O,O,O,O,O,X,X,X
ILSZJOT,X,O,O,O,O,O,X,X,X
ILSZOTJ,X,X,O,X,X,O,X,X,X
ILSZOJT,X,O,O,O,X,O,X,X,X
ILSOTJZ,X,X,O,X,O,O,X,X,X
ILSOTZJ,X,X,O,X,X,O,X,X,X
ILSOJTZ,X,O,O,O,O,O,X,X,X
ILSOJZT,X,O,O,O,O,O,X,X,X
ILSOZTJ,X,X,O,X,X,O,X,X,X
ILSOZJT,X,O,O,O,X,O,X,X,X
ILZTJSO,X,O,O,X,X,X,X,X,O
ILZTJOS,X,O,X,X,X,X,O,X,O
ILZTSJO,X,O,O,X,X,X,X,X,O
ILZTSOJ,X,X,O,X,X,X,O,X,O
ILZTOJS,X,X,X,X,X,X,O,X,O
ILZTOSJ,X,X,X,X,X,X,O,X,O
ILZJTSO,X,O,O,X,X,X,X,X,O
ILZJTOS,X,O,X,X,X,X,X,X,O
ILZJSTO,X,O,O,O,X,X,X,X,X
ILZJSOT,X,O,O,O,X,X,X,X,X
ILZJOTS,X,O,X,X,X,X,X,X,X
ILZJOST,X,O,O,O,X,X,X,X,X
ILZSTJO,X,O,O,O,X,O,X,X,O
ILZSTOJ,X,X,O,X,X,O,X,X,O
ILZSJTO,X,O,O,O,X,O,X,X,X
ILZSJOT,X,O,O,O,X,O,X,X,X
ILZSOTJ,X,X,O,X,X,O,X,X,X
ILZSOJT,X,O,O,O,X,O,X,X,X
ILZOTJS,X,X,X,X,X,X,O,X,O
ILZOTSJ,X,X,X,X,X,X,O,X,O
ILZOJTS,X,O,X,X,X,X,X,X,X
ILZOJST,X,O,O,O,X,X,X,X,X
ILZOSTJ,X,X,O,X,X,O,X,X,X
ILZOSJT,X,O,O,O,X,O,X,X,X
ILOTJSZ,X,X,X,X,O,X,O,X,X
ILOTJZS,X,X,X,X,X,X,O,X,X
ILOTSJZ,X,X,X,X,O,O,O,X,X
ILOTSZJ,X,X,X,X,X,O,O,X,X
ILOTZJS,X,X,X,X,X,X,O,X,X
ILOTZSJ,X,X,X,X,X,X,O,X,X
ILOJTSZ,X,O,X,X,O,X,X,X,X
ILOJTZS,X,O,X,X,X,X,X,X,X
ILOJSTZ,X,O,O,O,O,O,X,X,X
ILOJSZT,X,O,O,O,O,O,X,X,X
ILOJZTS,X,O,X,X,X,X,X,X,X
ILOJZST,X,O,O,O,X,X,X,X,X
ILOSTJZ,X,X,O,X,O,O,X,X,X
ILOSTZJ,X,X,O,X,X,O,X,X,X
ILOSJTZ,X,O,O,O,O,O,X,X,X
ILOSJZT,X,O,O,O,O,O,X,X,X
ILOSZTJ,X,X,O,X,X,O,X,X,X
ILOSZJT,X,O,O,O,X,O,X,X,X
ILOZTJS,X,X,X,X,X,X,O,X,X
ILOZTSJ,X,X,X,X,X,X,O,X,X
ILOZJTS,X,O,X,X,X,X,X,X,X
ILOZJST,X,O,O,O,X,X,X,X,X
ILOZSTJ,X,X,O,X,X,O,X,X,X
ILOZSJT,X,O,O,O,X,O,X,X,X
IJTLSZO,X,O,X,X,O,X,X,X,X
IJTLSOZ,X,O,X,X,O,X,X,X,X
IJTLZSO,X,O,X,X,X,X,X,X,X
IJTLZOS,X,O,X,X,X,X,X,X,X
IJTLOSZ,X,O,X,X,O,X,X,X,X
IJTLOZS,X,O,X,X,X,X,X,X,X
IJTSLZO,X,X,X,X,O,X,X,X,X
IJTSLOZ,X,X,X,X,O,X,X,X,X
IJTSZLO,X,X,X,X,O,X,X,X,X
IJTSZOL,X,X,X,X,O,X,X,X,X
IJTSOLZ,X,X,X,X,O,X,X,X,X
IJTSOZL,X,X,X,X,O,X,X,X,X
IJTZLSO,X,O,X,X,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X,X,X
IJTZSLO,X,X,X,X,O,X,X,X,X
IJTZSOL,X,X,X,X,O,X,X,X,X
IJTZOLS,X,O,X,X,X,X,X,X,X
IJTZOSL,X,X,X,X,O,X,X,X,X
IJTOLSZ,X,O,X,X,O,X,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,O,X,X,X,X
IJTOSZL,X,X,X,X,O,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X,X
IJTOZSL,X,X,X,X,O,X,X,X,X
IJLTSZO,X,O,O,X,O,X,X,X,X
IJLTSOZ,X,O,O,X,O,X,X,X,X
IJLTZSO,X,O,O,X,X,X,X,X,X
IJLTZOS,X,O,X,X,X,X,X,X,X
IJLTOSZ,X,O,X,X,O,X,X,X,X
IJLTOZS,X,O,X,X,X,X,X,X,X
IJLSTZO,X,O,O,X,O,X,X,X,X
IJLSTOZ,X,O,O,O,O,O,X,X,X
IJLSZTO,X,O,O,O,O,O,X,X,X
IJLSZOT,X,O,O,O,O,O,X,X,X
IJLSOTZ,X,O,O,O,O,O,X,X,X
IJLSOZT,X,O,O,O,O,O,X,X,X
IJLZTSO,X,O,O,X,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X,X,X
IJLZSTO,X,O,O,O,X,X,X,X,X
IJLZSOT,X,O,O,O,X,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X,X,X
IJLZOST,X,O,O,O,X,X,X,X,X
IJLOTSZ,X,O,X,X,O,X,X,X,X
IJLOTZS,X,O,X,X,X,X,X,X,X
IJLOSTZ,X,O,O,O,O,O,X,X,X
IJLOSZT,X,O,O,O,O,O,X,X,X
IJLOZTS,X,O,X,X,X,X,X,X,X
IJLOZST,X,O,O,O,X,X,X,X,X
IJSTLZO,X,X,O,X,O,X,X,X,X
IJSTLOZ,X,X,O,X,O,O,X,X,X
IJSTZLO,X,X,X,X,O,X,X,X,X
IJSTZOL,X,X,X,X,O,X,X,X,X
IJSTOLZ,X,X,O,X,O,O,X,X,X
IJSTOZL,X,X,X,X,O,X,X,X,X
IJSLTZO,X,O,O,X,O,X,X,X,X
IJSLTOZ,X,O,O,O,O,O,X,X,X
IJSLZTO,X,O,O,O,O,O,X,X,X
IJSLZOT,X,O,O,O,O,O,X,X,X
IJSLOTZ,X,O,O,O,O,O,X,X,X
IJSLOZT,X,O,O,O,O,O,X,X,X
IJSZTLO,X,X,X,X,O,O,X,X,X
IJSZTOL,X,X,X,X,O,O,X,X,X
IJSZLTO,X,O,O,O,O,O,X,X,X
