sequence,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFCgBmhBFjBX?lBUsBTrB
TJZLOSI,X,O,X,O,X
TJZSILO,O,O,X,O,O
TJZSIOL,X,X,X,X,O
TJZSLIO,O,O,X,O,O
TJZSLOI,X,X,X,O,O
TJZSOIL,X,X,X,X,O
TJZSOLI,X,X,X,O,O
TJZOILS,X,O,X,O,X
TJZOISL,X,O,X,X,O
TJZOLIS,X,O,O,O,X
TJZOLSI,X,O,X,O,X
TJZOSIL,X,O,X,X,O
TJZOSLI,X,O,X,O,O
TJOILSZ,O,O,O,O,X
TJOILZS,O,O,O,O,X
TJOISLZ,O,O,X,X,X
TJOISZL,O,O,X,X,X
TJOIZLS,O,O,X,X,X
TJOIZSL,O,O,X,X,X
TJOLISZ,O,O,O,O,X
TJOLIZS,O,O,O,O,X
TJOLSIZ,O,O,O,O,X
TJOLSZI,O,X,O,X,X
TJOLZIS,O,O,O,O,X
TJOLZSI,X,O,X,O,X
TJOSILZ,O,O,O,X,X
TJOSIZL,O,O,X,X,X
TJOSLIZ,O,O,O,O,X
TJOSLZI,O,X,O,X,X
TJOSZIL,O,O,X,X,X
TJOSZLI,O,O,O,X,X
TJOZILS,O,O,X,O,X
TJOZISL,O,O,X,X,X
TJOZLIS,O,O,O,O,X
TJOZLSI,X,O,X,O,X
TJOZSIL,O,O,X,X,X
TJOZSLI,O,O,X,O,X
TSILJZO,O,O,O,X,O
TSILJOZ,O,O,O,O,X
TSILZJO,O,X,O,O,O
TSILZOJ,O,X,O,O,O
TSILOJZ,O,O,O,O,X
TSILOZJ,O,X,O,O,O
TSIJLZO,O,O,O,X,O
TSIJLOZ,O,O,O,O,X
TSIJZLO,O,O,O,X,O
TSIJZOL,X,X,X,X,O
TSIJOLZ,O,X,O,X,X
TSIJOZL,O,X,X,X,X
TSIZLJO,O,O,O,O,O
TSIZLOJ,O,O,O,O,O
TSIZJLO,O,O,O,O,O
TSIZJOL,X,X,X,X,O
TSIZOLJ,O,O,X,X,O
TSIZOJL,O,O,X,X,O
TSIOLJZ,O,O,O,X,X
TSIOLZJ,O,X,O,X,O
TSIOJLZ,O,O,O,X,X
TSIOJZL,O,O,X,X,X
TSIOZLJ,O,O,X,X,O
TSIOZJL,O,O,X,X,O
TSLIJZO,O,O,O,X,O
TSLIJOZ,O,O,O,O,X
TSLIZJO,O,X,O,O,O
TSLIZOJ,O,X,O,O,O
TSLIOJZ,O,O,O,O,X
TSLIOZJ,O,X,O,O,O
TSLJIZO,O,O,O,X,O
TSLJIOZ,O,O,O,O,X
TSLJZIO,O,X,O,X,O
TSLJZOI,X,X,O,X,O
TSLJOIZ,O,X,O,O,X
TSLJOZI,O,X,O,X,X
TSLZIJO,O,X,O,O,O
TSLZIOJ,O,X,O,O,O
TSLZJIO,O,X,O,O,O
TSLZJOI,X,X,O,O,O
TSLZOIJ,O,X,O,O,O
TSLZOJI,O,X,O,O,O
TSLOIJZ,O,O,O,O,X
TSLOIZJ,O,X,O,O,O
TSLOJIZ,O,O,O,O,X
TSLOJZI,O,X,O,X,X
TSLOZIJ,O,X,O,O,O
TSLOZJI,O,X,O,O,O
TSJILZO,O,O,O,X,O
TSJILOZ,O,O,O,O,X
TSJIZLO,O,O,O,X,O
TSJIZOL,X,X,X,X,O
TSJIOLZ,O,X,O,X,X
TSJIOZL,O,X,X,X,X
TSJLIZO,O,O,O,X,O
TSJLIOZ,O,O,O,O,X
TSJLZIO,O,X,O,X,O
TSJLZOI,X,X,O,X,O
TSJLOIZ,O,X,O,O,X
TSJLOZI,O,X,O,X,X
TSJZILO,O,O,O,X,O
TSJZIOL,X,X,X,X,O
TSJZLIO,O,O,O,X,O
TSJZLOI,X,X,O,X,O
TSJZOIL,X,X,X,X,O
TSJZOLI,X,X,O,X,O
TSJOILZ,O,X,O,X,X
TSJOIZL,O,X,X,X,X
TSJOLIZ,O,X,O,O,X
TSJOLZI,O,X,O,X,X
TSJOZIL,O,X,X,X,X
TSJOZLI,O,X,O,X,X
TSZILJO,O,O,O,O,O
TSZILOJ,O,O,O,O,O
TSZIJLO,O,O,O,O,O
TSZIJOL,X,X,X,X,O
TSZIOLJ,O,O,X,X,O
TSZIOJL,O,O,X,X,O
TSZLIJO,O,O,O,O,O
TSZLIOJ,O,O,O,O,O
TSZLJIO,O,O,O,O,O
TSZLJOI,X,X,O,O,O
TSZLOIJ,O,O,O,O,O
TSZLOJI,O,O,O,O,O
TSZJILO,O,O,O,O,O
TSZJIOL,X,X,X,X,O
TSZJLIO,O,O,O,O,O
TSZJLOI,X,X,O,O,O
TSZJOIL,X,X,X,X,O
TSZJOLI,X,X,O,O,O
TSZOILJ,O,O,X,X,O
TSZOIJL,O,O,X,X,O
TSZOLIJ,O,O,O,O,O
TSZOLJI,O,O,O,O,O
TSZOJIL,O,O,X,X,O
TSZOJLI,O,O,O,O,O
TSOILJZ,O,O,O,X,X
TSOILZJ,O,X,O,X,O
TSOIJLZ,O,O,O,X,X
TSOIJZL,O,O,X,X,X
TSOIZLJ,O,O,X,X,O
TSOIZJL,O,O,X,X,O
TSOLIJZ,O,O,O,O,X
TSOLIZJ,O,X,O,O,O
TSOLJIZ,O,O,O,O,X
TSOLJZI,O,X,O,X,X
TSOLZIJ,O,X,O,O,O
TSOLZJI,O,X,O,O,O
TSOJILZ,O,O,O,X,X
TSOJIZL,O,O,X,X,X
TSOJLIZ,O,O,O,O,X
TSOJLZI,O,X,O,X,X
TSOJZIL,O,O,X,X,X
TSOJZLI,O,O,O,X,X
TSOZILJ,O,O,X,X,O
TSOZIJL,O,O,X,X,O
TSOZLIJ,O,O,O,O,O
TSOZLJI,O,O,O,O,O
TSOZJIL,O,O,X,X,O
TSOZJLI,O,O,O,O,O
TZILJSO,O,O,X,O,O
TZILJOS,O,O,O,O,X
TZILSJO,X,O,O,O,O
TZILSOJ,X,O,O,O,O
TZILOJS,O,O,O,O,X
TZILOSJ,X,O,O,O,X
TZIJLSO,O,O,X,O,O
TZIJLOS,O,O,O,O,X
TZIJSLO,O,O,X,O,O
TZIJSOL,X,X,X,X,O
TZIJOLS,X,O,X,O,X
TZIJOSL,X,O,X,X,O
TZISLJO,O,O,O,O,O
TZISLOJ,O,O,O,O,O
TZISJLO,O,O,O,O,O
TZISJOL,X,X,X,X,O
TZISOLJ,O,O,X,X,O
TZISOJL,O,O,X,X,O
TZIOLJS,O,O,X,O,X
TZIOLSJ,X,O,X,O,X
TZIOJLS,O,O,X,O,X
TZIOJSL,O,O,X,X,O
TZIOSLJ,O,O,X,X,O
TZIOSJL,O,O,X,X,O
TZLIJSO,O,O,X,O,O
TZLIJOS,O,O,O,O,X
TZLISJO,X,O,O,O,O
TZLISOJ,X,O,O,O,O
TZLIOJS,O,O,O,O,X
TZLIOSJ,X,O,O,O,X
TZLJISO,O,O,X,O,O
TZLJIOS,O,O,O,O,X
TZLJSIO,X,O,X,O,O
TZLJSOI,X,X,X,O,O
TZLJOIS,X,O,O,O,X
TZLJOSI,X,O,X,O,X
TZLSIJO,X,O,O,O,O
TZLSIOJ,X,O,O,O,O
TZLSJIO,X,O,O,O,O
TZLSJOI,X,X,O,O,O
TZLSOIJ,X,O,O,O,O
TZLSOJI,X,O,O,O,O
TZLOIJS,O,O,O,O,X
TZLOISJ,X,O,O,O,X
TZLOJIS,O,O,O,O,X
TZLOJSI,X,O,X,O,X
TZLOSIJ,X,O,O,O,X
TZLOSJI,X,O,O,O,X
TZJILSO,O,O,X,O,O
TZJILOS,O,O,O,O,X
TZJISLO,O,O,X,O,O
TZJISOL,X,X,X,X,O
TZJIOLS,X,O,X,O,X
TZJIOSL,X,O,X,X,O
TZJLISO,O,O,X,O,O
TZJLIOS,O,O,O,O,X
TZJLSIO,X,O,X,O,O
TZJLSOI,X,X,X,O,O
TZJLOIS,X,O,O,O,X
TZJLOSI,X,O,X,O,X
TZJSILO,O,O,X,O,O
TZJSIOL,X,X,X,X,O
TZJSLIO,O,O,X,O,O
TZJSLOI,X,X,X,O,O
TZJSOIL,X,X,X,X,O
TZJSOLI,X,X,X,O,O
TZJOILS,X,O,X,O,X
TZJOISL,X,O,X,X,O
TZJOLIS,X,O,O,O,X
TZJOLSI,X,O,X,O,X
TZJOSIL,X,O,X,X,O
TZJOSLI,X,O,X,O,O
TZSILJO,O,O,O,O,O
TZSILOJ,O,O,O,O,O
TZSIJLO,O,O,O,O,O
TZSIJOL,X,X,X,X,O
TZSIOLJ,O,O,X,X,O
TZSIOJL,O,O,X,X,O
TZSLIJO,O,O,O,O,O
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,O,O,O
TZSLJOI,X,X,O,O,O
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,O,O,O
TZSJILO,O,O,O,O,O
TZSJIOL,X,X,X,X,O
TZSJLIO,O,O,O,O,O
TZSJLOI,X,X,O,O,O
TZSJOIL,X,X,X,X,O
TZSJOLI,X,X,O,O,O
TZSOILJ,O,O,X,X,O
TZSOIJL,O,O,X,X,O
TZSOLIJ,O,O,O,O,O
TZSOLJI,O,O,O,O,O
TZSOJIL,O,O,X,X,O
TZSOJLI,O,O,O,O,O
TZOILJS,O,O,X,O,X
TZOILSJ,X,O,X,O,X
TZOIJLS,O,O,X,O,X
TZOIJSL,O,O,X,X,O
TZOISLJ,O,O,X,X,O
TZOISJL,O,O,X,X,O
TZOLIJS,O,O,O,O,X
TZOLISJ,X,O,O,O,X
TZOLJIS,O,O,O,O,X
TZOLJSI,X,O,X,O,X
TZOLSIJ,X,O,O,O,X
TZOLSJI,X,O,O,O,X
TZOJILS,O,O,X,O,X
TZOJISL,O,O,X,X,O
TZOJLIS,O,O,O,O,X
TZOJLSI,X,O,X,O,X
TZOJSIL,O,O,X,X,O
TZOJSLI,O,O,X,O,O
TZOSILJ,O,O,X,X,O
TZOSIJL,O,O,X,X,O
TZOSLIJ,O,O,O,O,O
TZOSLJI,O,O,O,O,O
TZOSJIL,O,O,X,X,O
TZOSJLI,O,O,O,O,O
TOILJSZ,O,O,O,O,X
TOILJZS,O,O,O,O,X
TOILSJZ,O,O,O,O,X
TOILSZJ,O,X,O,O,X
TOILZJS,O,O,O,O,X
TOILZSJ,X,O,O,O,X
TOIJLSZ,O,O,O,O,X
TOIJLZS,O,O,O,O,X
TOIJSLZ,O,O,X,X,X
TOIJSZL,O,O,X,X,X
TOIJZLS,O,O,X,X,X
TOIJZSL,O,O,X,X,X
TOISLJZ,O,O,O,X,X
TOISLZJ,O,X,O,X,O
TOISJLZ,O,O,O,X,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,O,X,X,O
TOISZJL,O,O,X,X,O
TOIZLJS,O,O,X,O,X
TOIZLSJ,X,O,X,O,X
TOIZJLS,O,O,X,O,X
TOIZJSL,O,O,X,X,O
TOIZSLJ,O,O,X,X,O
TOIZSJL,O,O,X,X,O
TOLIJSZ,O,O,O,O,X
TOLIJZS,O,O,O,O,X
TOLISJZ,O,O,O,O,X
TOLISZJ,O,X,O,O,X
TOLIZJS,O,O,O,O,X
TOLIZSJ,X,O,O,O,X
TOLJISZ,O,O,O,O,X
TOLJIZS,O,O,O,O,X
TOLJSIZ,O,O,O,O,X
TOLJSZI,O,X,O,X,X
TOLJZIS,O,O,O,O,X
TOLJZSI,X,O,X,O,X
TOLSIJZ,O,O,O,O,X
TOLSIZJ,O,X,O,O,X
TOLSJIZ,O,O,O,O,X
TOLSJZI,O,X,O,X,X
TOLSZIJ,O,X,O,O,X
TOLSZJI,O,X,O,O,X
TOLZIJS,O,O,O,O,X
TOLZISJ,X,O,O,O,X
TOLZJIS,O,O,O,O,X
TOLZJSI,X,O,X,O,X
TOLZSIJ,X,O,O,O,X
TOLZSJI,X,O,O,O,X
TOJILSZ,O,O,O,O,X
TOJILZS,O,O,O,O,X
TOJISLZ,O,O,X,X,X
TOJISZL,O,O,X,X,X
TOJIZLS,O,O,X,X,X
TOJIZSL,O,O,X,X,X
TOJLISZ,O,O,O,O,X
TOJLIZS,O,O,O,O,X
TOJLSIZ,O,O,O,O,X
TOJLSZI,O,X,O,X,X
TOJLZIS,O,O,O,O,X
TOJLZSI,X,O,X,O,X
TOJSILZ,O,O,O,X,X
TOJSIZL,O,O,X,X,X
TOJSLIZ,O,O,O,O,X
TOJSLZI,O,X,O,X,X
TOJSZIL,O,O,X,X,X
TOJSZLI,O,O,O,X,X
TOJZILS,O,O,X,O,X
TOJZISL,O,O,X,X,X
TOJZLIS,O,O,O,O,X
TOJZLSI,X,O,X,O,X
TOJZSIL,O,O,X,X,X
TOJZSLI,O,O,X,O,X
TOSILJZ,O,O,O,X,X
TOSILZJ,O,X,O,X,O
TOSIJLZ,O,O,O,X,X
TOSIJZL,O,O,X,X,X
TOSIZLJ,O,O,X,X,O
TOSIZJL,O,O,X,X,O
TOSLIJZ,O,O,O,O,X
TOSLIZJ,O,X,O,O,O
TOSLJIZ,O,O,O,O,X
TOSLJZI,O,X,O,X,X
TOSLZIJ,O,X,O,O,O
TOSLZJI,O,X,O,O,O
TOSJILZ,O,O,O,X,X
TOSJIZL,O,O,X,X,X
TOSJLIZ,O,O,O,O,X
TOSJLZI,O,X,O,X,X
TOSJZIL,O,O,X,X,X
TOSJZLI,O,O,O,X,X
TOSZILJ,O,O,X,X,O
TOSZIJL,O,O,X,X,O
TOSZLIJ,O,O,O,O,O
TOSZLJI,O,O,O,O,O
TOSZJIL,O,O,X,X,O
TOSZJLI,O,O,O,O,O
TOZILJS,O,O,X,O,X
TOZILSJ,X,O,X,O,X
TOZIJLS,O,O,X,O,X
TOZIJSL,O,O,X,X,O
TOZISLJ,O,O,X,X,O
TOZISJL,O,O,X,X,O
TOZLIJS,O,O,O,O,X
TOZLISJ,X,O,O,O,X
TOZLJIS,O,O,O,O,X
TOZLJSI,X,O,X,O,X
TOZLSIJ,X,O,O,O,X
TOZLSJI,X,O,O,O,X
TOZJILS,O,O,X,O,X
TOZJISL,O,O,X,X,O
TOZJLIS,O,O,O,O,X
TOZJLSI,X,O,X,O,X
TOZJSIL,O,O,X,X,O
