sequence,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB9nBTjBGlB0mBXtB,v115@RhC8AeA8EeG8BeA8Jei/IvhFUhBRiB9oBGlBXnBzsB,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB3iB9oBGlB0mBzsB,v115@RhC8AeA8EeG8BeA8JeT/IvhF/lBRhBGjB0mB6sBNtB
TJZSIOL,X,X,X,O
TJZSLIO,X,O,O,X
TJZSLOI,X,O,X,X
TJZSOIL,X,X,X,O
TJZSOLI,X,X,X,X
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,O
TJZOSLI,X,X,X,X
TJOILSZ,X,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,X,X,X
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,X
TJOLISZ,X,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,X,O
TJOLSZI,X,X,X,O
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,O
TJOSILZ,X,X,X,O
TJOSIZL,X,X,X,O
TJOSLIZ,X,X,X,O
TJOSLZI,X,X,X,O
TJOSZIL,X,X,X,O
TJOSZLI,X,X,X,X
TJOZILS,X,X,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,O
TJOZSLI,X,X,X,X
TSILJZO,X,O,O,X
TSILJOZ,X,X,X,O
TSILZJO,X,O,O,X
TSILZOJ,X,X,X,X
TSILOJZ,X,X,X,O
TSILOZJ,X,X,X,X
TSIJLZO,X,O,O,X
TSIJLOZ,X,X,X,X
TSIJZLO,X,O,X,X
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,O
TSIJOZL,X,X,X,O
TSIZLJO,X,O,X,X
TSIZLOJ,X,X,X,X
TSIZJLO,X,O,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,X
TSIZOJL,X,X,X,X
TSIOLJZ,X,X,X,O
TSIOLZJ,X,X,X,X
TSIOJLZ,X,X,X,O
TSIOJZL,X,X,X,O
TSIOZLJ,X,X,X,X
TSIOZJL,X,X,X,X
TSLIJZO,X,O,O,X
TSLIJOZ,X,X,X,O
TSLIZJO,X,O,O,X
TSLIZOJ,X,X,X,X
TSLIOJZ,X,X,X,O
TSLIOZJ,X,X,X,X
TSLJIZO,X,O,O,X
TSLJIOZ,X,X,X,O
TSLJZIO,X,O,O,O
TSLJZOI,X,O,X,O
