sequence,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFFiB6oBUlBz?nBXrBGrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeWFJvhFxgBVnB/rBT?oBCoB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8Jez/IvhFUhBFiBXjBS?tBxqBWwB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFxhBTjBlmBW?tBUrB6qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeGAJvhFxhB6oBUlBz?nBXrBlrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFUiBFlB6rBX?oBGoBzqB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeCAJvhFFiBTjBWtBx?qB/rB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFTjBRmBWtBC?nBUrBlqB
TZJSOIL,O,O,X,O,O,X,X,O
TZJSOLI,O,O,X,O,O,X,X,X
TZJOILS,O,X,X,O,O,X,X,X
TZJOISL,X,O,X,O,X,X,O,O
TZJOLIS,O,X,X,O,O,X,X,X
TZJOLSI,O,O,X,O,O,X,X,X
TZJOSIL,O,O,X,O,O,X,X,O
TZJOSLI,O,O,X,O,O,X,X,X
TZSILJO,O,O,X,O,X,O,X,X
TZSILOJ,O,O,X,X,X,O,X,X
TZSIJLO,O,O,X,O,X,X,X,X
TZSIJOL,O,O,X,O,X,X,X,O
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,X,O,X,X,X,X
TZSLIJO,O,O,X,O,X,O,X,X
TZSLIOJ,O,O,X,X,X,O,X,X
TZSLJIO,O,O,X,O,X,O,X,X
TZSLJOI,X,O,X,O,X,O,X,X
TZSLOIJ,O,O,X,X,X,O,X,X
TZSLOJI,O,O,X,X,X,O,X,X
TZSJILO,O,O,X,O,X,X,X,X
TZSJIOL,O,O,X,O,X,X,X,O
TZSJLIO,O,O,X,O,X,O,X,X
TZSJLOI,X,O,X,O,X,O,X,X
TZSJOIL,O,O,X,O,O,X,X,O
TZSJOLI,O,O,X,O,O,X,X,X
TZSOILJ,O,O,X,X,O,X,X,X
TZSOIJL,O,O,X,O,O,X,X,X
TZSOLIJ,O,O,X,X,O,O,X,X
TZSOLJI,O,O,X,X,O,O,X,X
TZSOJIL,O,O,X,O,O,X,X,X
TZSOJLI,O,O,X,O,O,X,X,X
TZOILJS,O,X,O,X,O,X,X,X
TZOILSJ,O,X,O,X,X,X,X,X
TZOIJLS,O,X,O,O,O,X,X,X
TZOIJSL,X,O,X,O,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X
TZOISJL,O,O,X,O,X,X,X,X
TZOLIJS,O,X,O,X,O,O,X,X
TZOLISJ,O,X,O,X,X,O,X,X
TZOLJIS,O,X,X,X,O,O,X,X
TZOLJSI,O,O,X,X,O,O,X,X
TZOLSIJ,O,O,O,X,O,O,X,X
TZOLSJI,O,O,X,X,O,O,X,X
TZOJILS,O,X,X,O,O,X,X,X
TZOJISL,X,O,X,O,X,X,X,X
TZOJLIS,O,X,X,O,O,X,X,X
TZOJLSI,O,O,X,O,O,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X
TZOSILJ,O,O,X,X,O,X,X,X
TZOSIJL,O,O,X,O,O,X,X,X
TZOSLIJ,O,O,X,X,O,O,X,X
TZOSLJI,O,O,X,X,O,O,X,X
TZOSJIL,O,O,X,O,O,X,X,X
TZOSJLI,O,O,X,O,O,X,X,X
TOILJSZ,X,X,O,X,X,O,X,X
TOILJZS,X,X,O,X,X,O,X,X
TOILSJZ,X,X,O,X,X,O,X,X
TOILSZJ,O,X,O,X,O,O,X,X
TOILZJS,O,X,O,X,O,O,X,X
TOILZSJ,O,X,O,X,X,O,X,X
TOIJLSZ,X,X,O,X,X,X,O,X
TOIJLZS,X,X,O,O,X,X,X,X
TOIJSLZ,X,O,X,X,X,X,O,X
TOIJSZL,X,O,X,O,X,X,O,X
TOIJZLS,X,X,O,O,X,X,X,X
TOIJZSL,X,X,X,O,X,X,O,X
TOISLJZ,X,O,O,X,X,O,X,X
TOISLZJ,O,X,O,X,O,O,X,X
TOISJLZ,X,O,X,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X
TOISZLJ,O,X,O,X,O,X,X,X
TOISZJL,O,O,X,X,O,X,X,X
TOIZLJS,O,X,O,X,O,X,X,X
TOIZLSJ,O,X,O,X,X,X,X,X
TOIZJLS,O,X,O,O,O,X,X,X
TOIZJSL,X,O,X,O,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,X
TOIZSJL,O,O,X,O,X,X,X,X
TOLIJSZ,X,X,O,X,X,O,X,X
TOLIJZS,X,X,O,X,X,O,X,X
TOLISJZ,X,X,O,X,X,O,X,X
TOLISZJ,O,X,O,X,O,O,X,X
TOLIZJS,O,X,O,X,O,O,X,X
TOLIZSJ,O,X,O,X,X,O,X,X
TOLJISZ,X,X,O,X,X,O,X,X
TOLJIZS,X,X,O,X,X,O,X,X
TOLJSIZ,X,O,O,X,X,O,X,X
TOLJSZI,O,O,X,X,X,O,X,X
TOLJZIS,O,X,X,X,X,O,X,X
TOLJZSI,O,X,X,X,X,O,X,X
TOLSIJZ,X,O,O,X,X,O,X,X
TOLSIZJ,O,X,O,X,O,O,X,X
TOLSJIZ,X,O,O,X,X,O,X,X
TOLSJZI,O,O,X,X,X,O,X,X
TOLSZIJ,O,X,O,X,O,O,X,X
TOLSZJI,O,X,X,X,O,O,X,X
TOLZIJS,O,X,O,X,O,O,X,X
TOLZISJ,O,X,O,X,X,O,X,X
TOLZJIS,O,X,X,X,O,O,X,X
TOLZJSI,O,O,X,X,O,O,X,X
TOLZSIJ,O,O,O,X,O,O,X,X
TOLZSJI,O,O,X,X,O,O,X,X
TOJILSZ,X,X,O,X,X,X,O,X
TOJILZS,X,X,O,O,X,X,X,X
TOJISLZ,X,O,X,X,X,X,O,X
TOJISZL,X,O,X,O,X,X,O,X
TOJIZLS,X,X,O,O,X,X,X,X
TOJIZSL,X,X,X,O,X,X,O,X
TOJLISZ,X,X,O,X,X,O,O,X
TOJLIZS,X,X,O,O,X,O,X,X
TOJLSIZ,X,O,O,X,X,O,X,X
TOJLSZI,O,O,X,X,X,O,X,X
TOJLZIS,O,X,X,O,X,O,X,X
TOJLZSI,O,X,X,O,X,O,X,X
TOJSILZ,X,O,X,X,X,X,O,X
TOJSIZL,X,O,X,O,X,X,O,X
TOJSLIZ,X,O,X,X,X,O,X,X
TOJSLZI,O,O,X,X,X,O,X,X
TOJSZIL,O,O,X,O,X,X,X,X
TOJSZLI,O,O,X,O,X,X,X,X
TOJZILS,O,X,X,O,X,X,X,X
TOJZISL,X,O,X,O,X,X,O,X
TOJZLIS,O,X,X,O,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X
TOJZSIL,O,O,X,O,X,X,X,X
TOJZSLI,O,O,X,O,X,X,X,X
TOSILJZ,X,O,O,X,X,O,X,X
TOSILZJ,O,X,O,X,O,O,X,X
TOSIJLZ,X,O,X,X,X,X,X,X
TOSIJZL,X,O,X,X,X,X,X,X
TOSIZLJ,O,X,O,X,O,X,X,X
TOSIZJL,O,O,X,X,O,X,X,X
TOSLIJZ,X,O,O,X,X,O,X,X
TOSLIZJ,O,X,O,X,O,O,X,X
TOSLJIZ,X,O,O,X,X,O,X,X
TOSLJZI,O,O,X,X,X,O,X,X
TOSLZIJ,O,X,O,X,O,O,X,X
TOSLZJI,O,X,X,X,O,O,X,X
TOSJILZ,X,O,X,X,X,X,X,X
TOSJIZL,X,O,X,X,X,X,X,X
TOSJLIZ,X,O,X,X,X,O,X,X
TOSJLZI,O,O,X,X,X,O,X,X
TOSJZIL,O,O,X,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,X
TOSZILJ,O,O,X,X,O,X,X,X
TOSZIJL,O,O,X,X,O,X,X,X
TOSZLIJ,O,O,X,X,O,O,X,X
TOSZLJI,O,O,X,X,O,O,X,X
TOSZJIL,O,O,X,X,O,X,X,X
TOSZJLI,O,O,X,X,O,X,X,X
TOZILJS,O,X,O,X,O,X,X,X
TOZILSJ,O,X,O,X,X,X,X,X
TOZIJLS,O,X,O,O,O,X,X,X
TOZIJSL,X,O,X,O,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X
TOZISJL,O,O,X,O,X,X,X,X
TOZLIJS,O,X,O,X,O,O,X,X
TOZLISJ,O,X,O,X,X,O,X,X
TOZLJIS,O,X,X,X,O,O,X,X
TOZLJSI,O,O,X,X,O,O,X,X
TOZLSIJ,O,O,O,X,O,O,X,X
TOZLSJI,O,O,X,X,O,O,X,X
TOZJILS,O,X,X,O,O,X,X,X
TOZJISL,X,O,X,O,X,X,X,X
TOZJLIS,O,X,X,O,O,X,X,X
TOZJLSI,O,O,X,O,O,X,X,X
TOZJSIL,O,O,X,O,O,X,X,X
TOZJSLI,O,O,X,O,O,X,X,X
TOZSILJ,O,O,X,X,O,X,X,X
TOZSIJL,O,O,X,O,O,X,X,X
TOZSLIJ,O,O,X,X,O,O,X,X
TOZSLJI,O,O,X,X,O,O,X,X
TOZSJIL,O,O,X,O,O,X,X,X
TOZSJLI,O,O,X,O,O,X,X,X
ITLJSZO,X,X,O,X,X,O,O,X
ITLJSOZ,X,X,O,X,X,X,O,X
ITLJZSO,X,X,O,O,X,O,O,X
ITLJZOS,X,X,O,O,X,X,O,X
ITLJOSZ,X,X,O,X,X,X,O,X
ITLJOZS,X,X,O,O,X,X,O,X
ITLSJZO,X,X,O,X,X,O,X,X
ITLSJOZ,X,X,O,X,X,X,X,X
ITLSZJO,O,X,O,X,X,O,X,X
ITLSZOJ,O,X,O,X,X,O,X,X
ITLSOJZ,X,X,O,X,X,X,X,X
ITLSOZJ,X,X,O,X,X,O,X,X
ITLZJSO,O,X,O,O,X,O,X,X
ITLZJOS,O,X,O,O,X,X,X,X
ITLZSJO,O,X,O,O,X,O,X,X
ITLZSOJ,O,X,O,X,X,O,X,X
ITLZOJS,O,X,O,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,O,X,X
ITLOJSZ,X,X,O,X,X,X,X,X
ITLOJZS,X,X,O,X,X,X,X,X
ITLOSJZ,X,X,O,X,X,X,X,X
ITLOSZJ,X,X,O,X,X,O,X,X
ITLOZJS,X,X,O,X,X,X,X,X
ITLOZSJ,X,X,O,X,X,O,X,X
ITJLSZO,X,X,O,X,X,X,O,X
ITJLSOZ,X,X,O,X,X,X,O,X
ITJLZSO,X,X,O,O,X,X,O,X
ITJLZOS,X,X,O,O,X,X,O,X
ITJLOSZ,X,X,O,X,X,X,O,X
ITJLOZS,X,X,O,O,X,X,O,X
ITJSLZO,X,X,X,X,X,X,O,X
ITJSLOZ,X,O,X,X,X,X,O,X
ITJSZLO,X,X,X,O,X,X,O,X
ITJSZOL,X,O,X,O,X,X,O,X
ITJSOLZ,X,O,X,X,X,X,O,O
ITJSOZL,X,O,X,O,X,X,O,O
ITJZLSO,X,X,O,O,X,X,O,X
ITJZLOS,X,X,O,O,X,X,O,X
ITJZSLO,X,X,X,O,X,X,O,X
ITJZSOL,X,X,X,O,X,X,O,X
ITJZOLS,X,X,O,O,X,X,O,X
ITJZOSL,X,X,X,O,X,X,O,X
ITJOLSZ,X,X,O,X,X,X,O,X
ITJOLZS,X,X,O,O,X,X,O,X
ITJOSLZ,X,O,X,X,X,X,O,O
ITJOSZL,X,O,X,O,X,X,O,O
ITJOZLS,X,X,O,O,X,X,O,X
ITJOZSL,X,X,X,O,X,X,O,X
ITSLJZO,X,X,O,X,X,O,X,X
ITSLJOZ,X,O,O,X,X,X,X,X
ITSLZJO,O,X,O,X,X,O,X,X
ITSLZOJ,O,X,O,X,X,O,X,X
ITSLOJZ,X,O,O,X,X,X,X,X
ITSLOZJ,X,X,O,X,X,O,X,X
ITSJLZO,X,X,X,X,X,X,O,X
ITSJLOZ,X,O,X,X,X,X,O,X
ITSJZLO,X,X,X,O,X,X,O,X
ITSJZOL,X,O,X,O,X,X,O,X
ITSJOLZ,X,O,X,X,X,X,O,O
ITSJOZL,X,O,X,O,X,X,O,O
ITSZLJO,O,X,O,O,X,O,X,X
ITSZLOJ,O,X,O,X,X,O,X,X
ITSZJLO,O,X,X,O,X,X,X,X
ITSZJOL,O,O,X,O,X,X,X,X
ITSZOLJ,O,X,O,X,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X,X
ITSOLJZ,X,O,O,X,X,O,X,X
ITSOLZJ,O,X,O,X,X,O,X,X
ITSOJLZ,X,O,X,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X
ITSOZLJ,O,X,O,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,O,X,O,O,X,O,X,X
ITZLJOS,O,X,O,O,X,X,X,X
ITZLSJO,O,X,O,O,X,O,X,X
ITZLSOJ,O,X,O,X,X,O,X,X
ITZLOJS,O,X,O,X,X,X,X,X
ITZLOSJ,O,X,O,X,X,O,X,X
ITZJLSO,O,X,O,O,X,X,X,X
ITZJLOS,O,X,O,O,X,X,X,X
ITZJSLO,X,O,X,O,X,X,O,X
ITZJSOL,X,O,X,O,X,X,O,X
ITZJOLS,O,X,O,O,X,X,X,X
ITZJOSL,X,O,X,O,X,X,O,X
ITZSLJO,O,O,O,O,X,O,X,X
ITZSLOJ,O,O,O,X,X,O,X,X
ITZSJLO,O,O,X,O,X,X,X,X
ITZSJOL,O,O,X,O,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X
ITZSOJL,O,O,X,O,X,X,X,X
ITZOLJS,O,X,O,X,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,X,X
ITZOJLS,O,X,O,O,X,X,X,X
ITZOJSL,X,O,X,O,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X
ITZOSJL,O,O,X,O,X,X,X,X
ITOLJSZ,X,X,O,X,X,O,X,X
ITOLJZS,X,X,O,X,X,O,X,X
ITOLSJZ,X,X,O,X,X,O,X,X
ITOLSZJ,O,X,O,X,X,O,X,X
ITOLZJS,O,X,O,X,X,O,X,X
ITOLZSJ,O,X,O,X,X,O,X,X
ITOJLSZ,X,X,O,X,X,X,O,X
ITOJLZS,X,X,O,O,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,O,X
ITOJSZL,X,O,X,O,X,X,O,X
ITOJZLS,X,X,O,O,X,X,X,X
ITOJZSL,X,X,X,O,X,X,O,X
ITOSLJZ,X,O,O,X,X,O,X,X
ITOSLZJ,O,X,O,X,X,O,X,X
ITOSJLZ,X,O,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X
ITOSZLJ,O,X,O,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,X,O,X,X,X,X,X
ITOZLSJ,O,X,O,X,X,X,X,X
ITOZJLS,O,X,O,O,X,X,X,X
ITOZJSL,X,O,X,O,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X
ITOZSJL,O,O,X,O,X,X,X,X
ILTJSZO,X,X,O,X,X,O,O,X
ILTJSOZ,X,X,O,X,X,X,O,X
ILTJZSO,X,X,O,X,X,O,O,X
ILTJZOS,X,X,O,X,X,X,O,X
ILTJOSZ,X,X,O,X,X,X,O,X
ILTJOZS,X,X,O,X,X,X,O,X
ILTSJZO,X,X,O,X,X,O,X,X
ILTSJOZ,X,X,O,X,X,X,X,X
ILTSZJO,O,X,O,X,X,O,X,X
ILTSZOJ,O,X,O,X,X,O,X,X
ILTSOJZ,X,X,O,X,X,X,X,X
ILTSOZJ,X,X,O,X,X,O,X,X
ILTZJSO,O,X,O,X,X,O,X,X
ILTZJOS,O,X,O,X,X,X,X,X
ILTZSJO,O,X,O,X,X,O,X,X
ILTZSOJ,O,X,O,X,X,O,X,X
ILTZOJS,O,X,O,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,O,X,X
ILTOJSZ,X,X,O,X,X,X,X,X
ILTOJZS,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,X
ILTOSZJ,X,X,O,X,X,O,X,X
ILTOZJS,X,X,O,X,X,X,X,X
ILTOZSJ,X,X,O,X,X,O,X,X
ILJTSZO,X,X,O,X,X,X,O,X
ILJTSOZ,X,X,O,X,X,X,O,X
ILJTZSO,X,X,O,X,X,X,O,X
ILJTZOS,X,X,O,X,X,X,O,X
ILJTOSZ,X,X,O,X,X,X,O,X
ILJTOZS,X,X,O,X,X,X,O,X
ILJSTZO,X,X,O,X,X,X,O,X
ILJSTOZ,X,X,O,X,X,X,O,X
ILJSZTO,X,X,O,X,X,X,O,X
ILJSZOT,X,X,O,X,X,X,O,X
ILJSOTZ,X,X,O,X,X,X,O,O
ILJSOZT,X,X,O,X,X,X,O,O
ILJZTSO,X,X,O,X,X,X,O,X
ILJZTOS,X,X,O,X,X,X,O,X
ILJZSTO,X,X,O,X,X,X,O,X
ILJZSOT,X,X,O,X,X,X,O,X
ILJZOTS,X,X,O,X,X,X,O,X
ILJZOST,X,X,O,X,X,X,O,X
ILJOTSZ,X,X,O,X,X,X,O,X
ILJOTZS,X,X,O,X,X,X,O,X
ILJOSTZ,X,X,O,X,X,X,O,O
ILJOSZT,X,X,O,X,X,X,O,O
ILJOZTS,X,X,O,X,X,X,O,X
ILJOZST,X,X,O,X,X,X,O,X
ILSTJZO,X,X,O,X,X,O,X,X
ILSTJOZ,X,X,O,X,X,X,X,X
ILSTZJO,O,X,O,X,X,O,X,X
ILSTZOJ,O,X,O,X,X,O,X,X
ILSTOJZ,X,X,O,X,X,X,X,X
ILSTOZJ,X,X,O,X,X,O,X,X
ILSJTZO,X,X,O,X,X,X,O,X
ILSJTOZ,X,X,O,X,X,X,O,X
ILSJZTO,X,X,O,X,X,X,O,X
ILSJZOT,X,X,O,X,X,X,O,X
ILSJOTZ,X,X,O,X,X,X,O,O
ILSJOZT,X,X,O,X,X,X,O,O
ILSZTJO,O,X,O,X,X,O,X,X
ILSZTOJ,O,X,O,X,X,O,X,X
ILSZJTO,O,X,O,X,X,X,X,X
ILSZJOT,X,X,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,X,X,X
ILSZOJT,X,X,O,X,X,X,X,X
ILSOTJZ,X,X,O,X,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X,X
ILSOJTZ,X,X,O,X,X,X,X,X
ILSOJZT,X,X,O,X,X,X,X,X
ILSOZTJ,X,X,O,X,X,X,X,X
ILSOZJT,X,X,O,X,X,X,X,X
ILZTJSO,O,X,O,X,X,O,X,X
ILZTJOS,O,X,O,X,X,X,X,X
ILZTSJO,O,X,O,X,X,O,X,X
ILZTSOJ,O,X,O,X,X,O,X,X
ILZTOJS,O,X,O,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,O,X,X
ILZJTSO,O,X,O,X,X,X,O,X
ILZJTOS,O,X,O,X,X,X,O,X
ILZJSTO,O,X,O,X,X,X,O,X
ILZJSOT,X,X,O,X,X,X,O,X
ILZJOTS,X,X,O,X,X,X,O,X
ILZJOST,X,X,O,X,X,X,O,X
ILZSTJO,O,X,O,X,X,O,X,X
ILZSTOJ,O,X,O,X,X,O,X,X
ILZSJTO,O,X,O,X,X,X,X,X
ILZSJOT,X,X,O,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,X,X
ILZSOJT,X,X,O,X,X,X,X,X
ILZOTJS,O,X,O,X,X,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,X
ILZOJTS,X,X,O,X,X,X,X,X
ILZOJST,X,X,O,X,X,X,X,X
ILZOSTJ,O,X,O,X,X,X,X,X
ILZOSJT,X,X,O,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,X,X
ILOTJZS,X,X,O,X,X,X,X,X
ILOTSJZ,X,X,O,X,X,X,X,X
ILOTSZJ,X,X,O,X,X,X,X,X
ILOTZJS,X,X,O,X,X,X,X,X
ILOTZSJ,X,X,O,X,X,X,X,X
ILOJTSZ,X,X,O,X,X,X,O,X
ILOJTZS,X,X,O,X,X,X,O,X
ILOJSTZ,X,X,O,X,X,X,O,X
ILOJSZT,X,X,O,X,X,X,O,X
ILOJZTS,X,X,O,X,X,X,O,X
ILOJZST,X,X,O,X,X,X,O,X
ILOSTJZ,X,X,O,X,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X,X
ILOSJTZ,X,X,O,X,X,X,X,X
ILOSJZT,X,X,O,X,X,X,X,X
ILOSZTJ,X,X,O,X,X,X,X,X
ILOSZJT,X,X,O,X,X,X,X,X
ILOZTJS,X,X,O,X,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,X,X
ILOZJTS,X,X,O,X,X,X,X,X
ILOZJST,X,X,O,X,X,X,X,X
ILOZSTJ,X,X,O,X,X,X,X,X
ILOZSJT,X,X,O,X,X,X,X,X
IJTLSZO,X,X,O,X,X,X,O,X
IJTLSOZ,X,X,O,X,X,X,O,X
IJTLZSO,X,X,O,O,X,X,O,X
IJTLZOS,X,X,O,O,X,X,O,X
IJTLOSZ,X,X,O,X,X,X,O,X
IJTLOZS,X,X,O,O,X,X,O,X
IJTSLZO,X,X,X,X,X,X,O,X
IJTSLOZ,X,O,X,X,X,X,O,X
IJTSZLO,X,X,X,O,X,X,O,X
IJTSZOL,X,O,X,O,X,X,O,X
IJTSOLZ,X,O,X,X,X,X,O,O
IJTSOZL,X,O,X,O,X,X,O,O
IJTZLSO,X,X,O,O,X,X,O,X
IJTZLOS,X,X,O,O,X,X,O,X
IJTZSLO,X,X,X,O,X,X,O,X
IJTZSOL,X,X,X,O,X,X,O,X
IJTZOLS,X,X,O,O,X,X,O,X
IJTZOSL,X,X,X,O,X,X,O,X
IJTOLSZ,X,X,O,X,X,X,O,X
IJTOLZS,X,X,O,O,X,X,O,X
IJTOSLZ,X,O,X,X,X,X,O,O
IJTOSZL,X,O,X,O,X,X,O,O
IJTOZLS,X,X,O,O,X,X,O,X
IJTOZSL,X,X,X,O,X,X,O,X
IJLTSZO,X,X,O,X,X,X,O,X
IJLTSOZ,X,X,O,X,X,X,O,X
IJLTZSO,X,X,O,O,X,X,O,X
IJLTZOS,X,X,O,O,X,X,O,X
IJLTOSZ,X,X,O,X,X,X,O,X
IJLTOZS,X,X,O,O,X,X,O,X
IJLSTZO,X,X,O,X,X,X,O,X
IJLSTOZ,X,X,O,X,X,X,O,X
IJLSZTO,X,X,O,X,X,X,O,X
IJLSZOT,X,X,O,X,X,X,O,X
IJLSOTZ,X,X,O,X,X,X,O,O
IJLSOZT,X,X,O,X,X,X,O,O
IJLZTSO,X,X,O,X,X,X,O,X
IJLZTOS,X,X,O,X,X,X,O,X
IJLZSTO,X,X,O,X,X,X,O,X
IJLZSOT,X,X,O,X,X,X,O,X
IJLZOTS,X,X,O,X,X,X,O,X
IJLZOST,X,X,O,X,X,X,O,X
IJLOTSZ,X,X,O,X,X,X,O,X
IJLOTZS,X,X,O,O,X,X,O,X
IJLOSTZ,X,X,O,X,X,X,O,O
IJLOSZT,X,X,O,X,X,X,O,O
IJLOZTS,X,X,O,X,X,X,O,X
IJLOZST,X,X,O,X,X,X,O,X
IJSTLZO,X,X,X,X,X,X,O,X
IJSTLOZ,X,O,X,X,X,X,O,X
IJSTZLO,X,X,X,O,X,X,O,X
IJSTZOL,X,O,X,O,X,X,O,X
IJSTOLZ,X,O,X,X,X,X,O,O
IJSTOZL,X,O,X,O,X,X,O,O
IJSLTZO,X,X,X,X,X,X,O,X
IJSLTOZ,X,O,X,X,X,X,O,X
IJSLZTO,X,X,X,X,X,X,O,X
IJSLZOT,X,X,X,X,X,X,O,X
IJSLOTZ,X,O,X,X,X,X,O,O
IJSLOZT,X,X,X,X,X,X,O,O
IJSZTLO,X,X,X,O,X,X,O,X
IJSZTOL,X,O,X,O,X,X,O,O
IJSZLTO,X,X,X,X,X,X,O,X
IJSZLOT,X,X,X,X,X,X,O,O
IJSZOTL,X,O,X,O,X,X,O,O
IJSZOLT,X,X,X,X,X,X,O,O
IJSOTLZ,X,O,X,X,X,X,O,O
IJSOTZL,X,O,X,O,X,X,O,O
IJSOLTZ,X,O,X,X,X,X,O,O
IJSOLZT,X,X,X,X,X,X,O,O
IJSOZTL,X,O,X,O,X,X,O,O
IJSOZLT,X,X,X,X,X,X,O,O
IJZTLSO,X,X,O,O,X,X,O,X
IJZTLOS,X,X,O,O,X,X,O,X
IJZTSLO,X,O,X,O,X,X,O,X
IJZTSOL,X,O,X,O,X,X,O,O
IJZTOLS,X,X,O,O,X,X,O,X
IJZTOSL,X,O,X,O,X,X,O,O
IJZLTSO,X,X,O,X,X,X,O,X
IJZLTOS,X,X,O,X,X,X,O,X
IJZLSTO,X,X,O,X,X,X,O,X
IJZLSOT,X,X,O,X,X,X,O,O
IJZLOTS,X,X,O,X,X,X,O,X
IJZLOST,X,X,O,X,X,X,O,O
IJZSTLO,X,O,X,O,X,X,O,X
IJZSTOL,X,O,X,O,X,X,O,O
IJZSLTO,X,O,X,X,X,X,O,X
IJZSLOT,X,O,X,X,X,X,O,O
IJZSOTL,X,O,X,O,X,X,O,O
IJZSOLT,X,O,X,X,X,X,O,O
IJZOTLS,X,X,O,O,X,X,O,X
IJZOTSL,X,O,X,O,X,X,O,O
IJZOLTS,X,X,O,X,X,X,O,X
IJZOLST,X,X,O,X,X,X,O,O
IJZOSTL,X,O,X,O,X,X,O,O
IJZOSLT,X,O,X,X,X,X,O,O
IJOTLSZ,X,X,O,X,X,X,O,X
IJOTLZS,X,X,O,O,X,X,O,X
IJOTSLZ,X,O,X,X,X,X,O,O
IJOTSZL,X,O,X,O,X,X,O,O
IJOTZLS,X,X,O,O,X,X,O,X
IJOTZSL,X,X,X,O,X,X,O,X
IJOLTSZ,X,X,O,X,X,X,O,X
IJOLTZS,X,X,O,O,X,X,O,X
IJOLSTZ,X,X,O,X,X,X,O,O
IJOLSZT,X,X,O,X,X,X,O,O
IJOLZTS,X,X,O,X,X,X,O,X
IJOLZST,X,X,O,X,X,X,O,X
IJOSTLZ,X,O,X,X,X,X,O,O
IJOSTZL,X,O,X,O,X,X,O,O
IJOSLTZ,X,O,X,X,X,X,O,O
IJOSLZT,X,X,X,X,X,X,O,O
IJOSZTL,X,O,X,O,X,X,O,O
IJOSZLT,X,X,X,X,X,X,O,O
IJOZTLS,X,X,O,O,X,X,O,X
IJOZTSL,X,O,X,O,X,X,O,O
IJOZLTS,X,X,O,X,X,X,O,X
IJOZLST,X,X,O,X,X,X,O,O
IJOZSTL,X,O,X,O,X,X,O,O
IJOZSLT,X,O,X,X,X,X,O,O
ISTLJZO,X,X,O,X,X,O,X,X
ISTLJOZ,X,O,O,X,X,X,X,X
ISTLZJO,O,X,O,X,X,O,X,X
ISTLZOJ,O,X,O,X,X,O,X,X
ISTLOJZ,X,O,O,X,X,X,X,X
ISTLOZJ,X,X,O,X,X,O,X,X
ISTJLZO,X,X,X,X,X,X,O,X
ISTJLOZ,X,O,X,X,X,X,O,X
ISTJZLO,X,X,X,X,X,X,O,X
ISTJZOL,X,O,X,X,X,X,O,X
ISTJOLZ,X,O,X,X,X,X,O,O
ISTJOZL,X,O,X,X,X,X,O,O
ISTZLJO,O,X,O,X,X,O,X,X
ISTZLOJ,O,X,O,X,X,O,X,X
ISTZJLO,O,X,X,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X,X
ISTZOLJ,O,X,O,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X,X
ISTOLJZ,X,O,O,X,X,O,X,X
ISTOLZJ,O,X,O,X,X,O,X,X
ISTOJLZ,X,O,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X
ISTOZLJ,O,X,O,X,X,X,X,X
