sequence,v115@ChA8IeC8BeB8EeB8AeC8EeA8KeT/IvhFlgBmiB5oB/?qBKrBUsB,v115@ChA8IeC8BeB8EeB8AeC8EeA8Kei/IvhFzgBmiB5oBU?lBXrBVxB,v115@ChA8IeC8BeB8EeB8AeC8EeA8KeT/IvhFigBmiB5oB3?lBVwBUsB
TZLSIOJ,O,O,X
TZLSJIO,O,O,X
TZLSJOI,O,O,X
TZLSOIJ,O,O,X
TZLSOJI,O,O,X
TZLOIJS,O,O,X
TZLOISJ,O,O,X
TZLOJIS,O,O,X
TZLOJSI,O,O,X
TZLOSIJ,O,O,X
TZLOSJI,O,O,X
TZJILSO,O,O,X
TZJILOS,O,O,X
TZJISLO,O,O,O
TZJISOL,O,O,O
TZJIOLS,O,O,X
TZJIOSL,O,O,O
TZJLISO,O,O,X
TZJLIOS,O,O,X
TZJLSIO,O,O,X
TZJLSOI,O,O,X
TZJLOIS,O,O,X
TZJLOSI,O,O,X
TZJSILO,O,O,O
TZJSIOL,O,O,O
TZJSLIO,O,O,O
TZJSLOI,O,O,O
TZJSOIL,O,O,O
TZJSOLI,O,O,O
TZJOILS,O,O,X
TZJOISL,O,O,O
TZJOLIS,O,O,X
TZJOLSI,O,O,X
TZJOSIL,O,O,O
TZJOSLI,O,O,O
TZSILJO,O,O,O
TZSILOJ,O,O,O
TZSIJLO,O,O,O
TZSIJOL,O,O,O
TZSIOLJ,O,O,O
TZSIOJL,O,O,O
TZSLIJO,O,O,O
TZSLIOJ,O,O,O
TZSLJIO,O,O,O
TZSLJOI,O,O,O
TZSLOIJ,O,O,O
TZSLOJI,O,O,O
TZSJILO,O,O,O
TZSJIOL,O,O,O
TZSJLIO,O,O,O
TZSJLOI,O,O,O
TZSJOIL,O,O,O
TZSJOLI,O,O,O
TZSOILJ,O,O,O
TZSOIJL,O,O,O
TZSOLIJ,O,O,O
TZSOLJI,O,O,O
TZSOJIL,O,O,O
TZSOJLI,O,O,O
TZOILJS,O,O,X
TZOILSJ,O,O,X
TZOIJLS,O,O,X
TZOIJSL,O,O,O
TZOISLJ,O,O,O
TZOISJL,O,O,O
TZOLIJS,O,O,X
TZOLISJ,O,O,X
TZOLJIS,O,O,X
TZOLJSI,O,O,X
TZOLSIJ,O,O,X
TZOLSJI,O,O,X
TZOJILS,O,O,X
TZOJISL,O,O,O
TZOJLIS,O,O,X
TZOJLSI,O,O,X
TZOJSIL,O,O,O
TZOJSLI,O,O,O
TZOSILJ,O,O,O
TZOSIJL,O,O,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,O,O
TZOSJLI,O,O,O
TOILJSZ,O,O,O
TOILJZS,X,O,X
TOILSJZ,O,O,O
TOILSZJ,O,O,O
TOILZJS,X,O,X
