sequence,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBumB3iB5oB8s?BywB,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBUiB5oB+rBys?B3sB
TSOZILJ,X,X
TSOZIJL,X,X
TSOZLIJ,X,X
TSOZLJI,X,X
TSOZJIL,X,X
TSOZJLI,X,X
TZILJSO,O,X
TZILJOS,O,X
TZILSJO,O,X
TZILSOJ,O,X
TZILOJS,O,X
TZILOSJ,O,X
TZIJLSO,X,X
TZIJLOS,X,X
TZIJSLO,X,X
TZIJSOL,X,X
TZIJOLS,X,X
TZIJOSL,X,X
TZISLJO,X,X
TZISLOJ,X,X
TZISJLO,X,X
TZISJOL,O,X
TZISOLJ,X,X
TZISOJL,O,X
TZIOLJS,O,X
TZIOLSJ,O,X
TZIOJLS,X,X
TZIOJSL,X,X
TZIOSLJ,X,X
TZIOSJL,O,X
TZLIJSO,O,X
TZLIJOS,O,X
TZLISJO,O,X
TZLISOJ,O,X
TZLIOJS,O,X
TZLIOSJ,O,X
TZLJISO,O,X
TZLJIOS,O,X
TZLJSIO,O,X
TZLJSOI,O,X
TZLJOIS,O,X
TZLJOSI,O,X
TZLSIJO,O,X
TZLSIOJ,O,X
TZLSJIO,O,X
TZLSJOI,O,X
TZLSOIJ,O,X
TZLSOJI,O,X
TZLOIJS,O,X
TZLOISJ,O,X
TZLOJIS,O,X
TZLOJSI,O,X
TZLOSIJ,O,X
TZLOSJI,O,X
TZJILSO,X,X
TZJILOS,X,X
TZJISLO,X,X
TZJISOL,X,X
TZJIOLS,X,X
TZJIOSL,X,X
TZJLISO,X,X
TZJLIOS,X,X
TZJLSIO,X,X
TZJLSOI,X,X
TZJLOIS,X,X
TZJLOSI,X,X
TZJSILO,X,X
TZJSIOL,X,X
TZJSLIO,X,X
TZJSLOI,X,X
TZJSOIL,X,X
TZJSOLI,X,X
TZJOILS,X,X
TZJOISL,X,X
TZJOLIS,X,X
TZJOLSI,X,X
TZJOSIL,X,X
TZJOSLI,X,X
TZSILJO,X,X
TZSILOJ,X,X
TZSIJLO,X,X
TZSIJOL,O,X
TZSIOLJ,X,X
TZSIOJL,O,X
TZSLIJO,X,X
TZSLIOJ,X,X
TZSLJIO,X,X
TZSLJOI,X,X
TZSLOIJ,X,X
TZSLOJI,X,X
TZSJILO,X,X
TZSJIOL,O,X
TZSJLIO,X,X
TZSJLOI,X,X
TZSJOIL,O,X
TZSJOLI,X,X
TZSOILJ,X,X
TZSOIJL,O,X
TZSOLIJ,X,X
TZSOLJI,X,X
TZSOJIL,O,X
TZSOJLI,X,X
TZOILJS,O,X
TZOILSJ,O,X
TZOIJLS,X,X
TZOIJSL,X,X
TZOISLJ,X,X
TZOISJL,O,X
TZOLIJS,O,X
TZOLISJ,O,X
TZOLJIS,O,X
TZOLJSI,O,X
