sequence,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBOrB6sBzrB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBKrBzmB+sB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBanBunBcoBTmBxwB
TSJLIOZ,X,X,X
TSJLZIO,O,O,X
TSJLZOI,O,O,X
TSJLOIZ,X,X,X
TSJLOZI,X,O,X
TSJZILO,O,O,X
TSJZIOL,O,X,X
TSJZLIO,O,O,X
TSJZLOI,O,O,X
TSJZOIL,O,X,X
TSJZOLI,O,X,X
TSJOILZ,X,X,X
TSJOIZL,X,X,X
TSJOLIZ,X,X,X
TSJOLZI,O,X,X
TSJOZIL,O,X,X
TSJOZLI,O,X,X
TSZILJO,O,O,O
TSZILOJ,O,X,X
TSZIJLO,O,O,O
TSZIJOL,O,X,O
TSZIOLJ,O,X,O
TSZIOJL,O,X,O
TSZLIJO,O,O,X
TSZLIOJ,O,X,X
TSZLJIO,O,O,X
TSZLJOI,O,O,X
TSZLOIJ,X,X,X
TSZLOJI,X,X,X
TSZJILO,O,O,X
TSZJIOL,O,X,X
TSZJLIO,O,O,X
TSZJLOI,O,O,X
TSZJOIL,O,X,X
TSZJOLI,O,X,X
TSZOILJ,O,X,X
TSZOIJL,O,X,X
TSZOLIJ,O,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,X
TSZOJLI,X,X,X
TSOILJZ,X,X,X
TSOILZJ,X,X,X
TSOIJLZ,X,X,X
TSOIJZL,X,X,X
TSOIZLJ,X,X,X
TSOIZJL,X,X,X
TSOLIJZ,X,X,X
TSOLIZJ,X,X,X
TSOLJIZ,X,X,X
TSOLJZI,X,X,X
TSOLZIJ,O,X,X
TSOLZJI,X,X,X
TSOJILZ,X,X,X
TSOJIZL,X,X,X
TSOJLIZ,X,X,X
TSOJLZI,X,X,X
TSOJZIL,X,X,X
TSOJZLI,X,X,X
TSOZILJ,O,X,X
TSOZIJL,O,X,X
TSOZLIJ,O,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,X
TSOZJLI,X,X,X
TZILJSO,X,X,O
TZILJOS,X,X,X
TZILSJO,O,O,O
TZILSOJ,O,X,X
TZILOJS,X,X,X
TZILOSJ,X,X,X
TZIJLSO,X,O,O
TZIJLOS,X,X,X
TZIJSLO,O,O,O
TZIJSOL,O,X,O
TZIJOLS,X,X,O
TZIJOSL,X,X,O
TZISLJO,O,O,O
TZISLOJ,O,X,X
TZISJLO,O,O,O
TZISJOL,O,X,O
TZISOLJ,O,X,O
TZISOJL,O,X,O
TZIOLJS,X,X,O
TZIOLSJ,X,X,O
TZIOJLS,X,X,O
TZIOJSL,X,X,O
TZIOSLJ,X,X,O
TZIOSJL,X,X,O
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,O,O,X
TZLISOJ,O,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,X
TZLJISO,O,O,X
TZLJIOS,X,X,X
TZLJSIO,O,O,X
TZLJSOI,O,O,X
TZLJOIS,X,O,X
TZLJOSI,X,O,X
TZLSIJO,O,O,X
TZLSIOJ,O,X,X
TZLSJIO,O,O,X
TZLSJOI,O,O,X
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,X,X
TZLOISJ,O,X,X
TZLOJIS,O,X,X
TZLOJSI,O,X,X
TZLOSIJ,O,X,X
TZLOSJI,X,X,X
TZJILSO,X,O,O
TZJILOS,X,X,X
TZJISLO,O,O,O
TZJISOL,O,X,O
TZJIOLS,X,X,O
TZJIOSL,X,X,O
TZJLISO,O,O,X
TZJLIOS,X,X,X
TZJLSIO,O,O,X
TZJLSOI,O,O,X
TZJLOIS,X,O,X
TZJLOSI,X,O,X
TZJSILO,O,O,X
TZJSIOL,O,X,X
TZJSLIO,O,O,X
TZJSLOI,O,O,X
TZJSOIL,O,X,X
TZJSOLI,O,X,X
TZJOILS,X,O,X
TZJOISL,O,X,X
TZJOLIS,O,O,X
TZJOLSI,O,O,X
TZJOSIL,O,X,X
TZJOSLI,O,X,X
TZSILJO,O,O,O
TZSILOJ,O,X,X
TZSIJLO,O,O,O
TZSIJOL,O,X,O
TZSIOLJ,O,X,O
TZSIOJL,O,X,O
TZSLIJO,O,O,X
TZSLIOJ,O,X,X
TZSLJIO,O,O,X
TZSLJOI,O,O,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,O,O,X
TZSJIOL,O,X,X
TZSJLIO,O,O,X
TZSJLOI,O,O,X
TZSJOIL,O,X,X
TZSJOLI,O,X,X
TZSOILJ,O,X,X
TZSOIJL,O,X,X
TZSOLIJ,O,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,X
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,O,X,X
TZOISJL,O,X,X
TZOLIJS,X,X,X
TZOLISJ,O,X,X
TZOLJIS,O,X,X
TZOLJSI,O,X,X
TZOLSIJ,O,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,O,X,X
TZOJLIS,O,X,X
TZOJLSI,O,X,X
TZOJSIL,O,X,X
TZOJSLI,O,X,X
TZOSILJ,O,X,X
TZOSIJL,O,X,X
TZOSLIJ,O,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,X
TOILJZS,X,X,X
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,X,X
TOIJLZS,X,X,X
TOIJSLZ,X,X,X
TOIJSZL,X,X,X
TOIJZLS,X,X,X
TOIJZSL,X,X,X
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,X,X,X
TOLIJZS,X,X,X
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,X,X,X
TOLJIZS,X,X,X
TOLJSIZ,X,X,X
TOLJSZI,O,X,X
TOLJZIS,O,X,X
TOLJZSI,O,X,X
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,X
TOLSZIJ,O,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,X
TOLZISJ,O,X,X
TOLZJIS,O,X,X
TOLZJSI,O,X,X
TOLZSIJ,O,X,X
TOLZSJI,X,X,X
TOJILSZ,X,X,X
TOJILZS,X,X,X
TOJISLZ,X,X,X
TOJISZL,X,X,X
TOJIZLS,X,X,X
TOJIZSL,X,X,X
TOJLISZ,X,X,X
TOJLIZS,X,X,X
TOJLSIZ,X,X,X
TOJLSZI,O,X,X
TOJLZIS,O,X,X
TOJLZSI,O,X,X
TOJSILZ,X,X,X
TOJSIZL,X,X,X
TOJSLIZ,X,X,X
TOJSLZI,O,X,X
TOJSZIL,O,X,X
TOJSZLI,O,X,X
TOJZILS,X,X,X
TOJZISL,O,X,X
TOJZLIS,O,X,X
TOJZLSI,O,X,X
TOJZSIL,O,X,X
TOJZSLI,O,X,X
TOSILJZ,X,X,X
TOSILZJ,X,X,X
TOSIJLZ,X,X,X
