sequence,v115@EhC8IeA8CeA8EeE8DeB8Jex/IvhFlhBTkBilBXnB8s?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gBUiB2pBTmBys?BxwB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gB2pBxmB8sBas?BTrB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBxmB8sBzm?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhFRhB1pBmlBznBUs?B3rB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBTmBmnBUn?BxwB,v115@EhC8IeA8CeA8EeE8DeB8JeT/IvhFxgB2nBypB1rB3s?BUrB
TOILSJZ,O,X,X,X,X,O,X
TOILSZJ,O,X,X,X,X,O,X
TOILZJS,O,X,X,X,X,O,X
TOILZSJ,O,X,X,X,X,O,X
TOIJLSZ,O,X,X,X,O,O,X
TOIJLZS,O,X,X,X,O,O,X
TOIJSLZ,X,X,X,X,O,O,X
TOIJSZL,X,X,X,X,X,O,X
TOIJZLS,O,X,X,X,O,O,X
TOIJZSL,O,X,X,X,O,O,X
TOISLJZ,X,X,X,X,X,O,X
TOISLZJ,X,X,X,X,X,O,X
TOISJLZ,X,X,X,X,X,O,X
TOISJZL,X,X,X,X,X,O,X
TOISZLJ,X,X,X,X,X,O,X
TOISZJL,X,X,X,X,X,O,X
TOIZLJS,O,X,X,X,X,O,X
TOIZLSJ,O,X,X,X,X,O,X
TOIZJLS,O,X,X,X,O,O,X
TOIZJSL,O,X,X,X,O,O,X
TOIZSLJ,O,X,X,X,X,O,X
TOIZSJL,O,X,X,X,X,O,X
TOLIJSZ,O,X,X,X,O,O,X
TOLIJZS,O,X,X,X,O,O,X
TOLISJZ,O,X,X,X,X,O,X
TOLISZJ,O,X,X,X,X,O,X
TOLIZJS,O,X,X,X,X,O,X
TOLIZSJ,O,X,X,X,X,O,X
TOLJISZ,O,X,X,X,O,O,X
TOLJIZS,O,X,X,X,O,O,X
TOLJSIZ,O,X,X,X,O,X,X
TOLJSZI,X,X,X,O,O,X,X
TOLJZIS,O,X,X,O,O,X,X
TOLJZSI,O,X,X,O,O,X,X
TOLSIJZ,O,X,X,X,X,O,X
TOLSIZJ,O,X,X,X,X,O,X
TOLSJIZ,X,X,X,X,O,X,X
TOLSJZI,X,X,X,O,O,X,X
TOLSZIJ,X,X,X,O,X,X,X
TOLSZJI,X,X,X,O,X,X,X
TOLZIJS,O,X,X,X,X,X,X
TOLZISJ,O,X,X,O,X,X,X
TOLZJIS,O,X,X,O,O,X,X
TOLZJSI,O,X,X,O,O,X,X
TOLZSIJ,O,X,X,O,X,X,X
TOLZSJI,O,X,X,O,X,X,X
TOJILSZ,O,X,X,X,O,O,X
TOJILZS,O,X,X,X,O,O,X
TOJISLZ,X,X,X,X,O,O,X
TOJISZL,X,X,O,X,X,O,X
TOJIZLS,O,X,O,X,O,O,X
TOJIZSL,O,X,O,X,O,O,X
TOJLISZ,O,X,X,X,O,O,X
TOJLIZS,O,X,X,X,O,O,X
TOJLSIZ,O,X,X,X,O,X,X
TOJLSZI,X,X,O,O,O,X,X
TOJLZIS,O,X,O,O,O,X,X
TOJLZSI,O,X,O,O,O,X,X
TOJSILZ,X,X,X,X,O,X,X
TOJSIZL,X,X,O,X,X,X,X
TOJSLIZ,X,X,X,X,O,X,X
TOJSLZI,X,X,O,O,O,X,X
TOJSZIL,X,X,O,O,O,X,X
TOJSZLI,X,X,O,O,O,X,X
TOJZILS,O,X,O,O,O,X,X
TOJZISL,O,X,O,O,O,X,X
TOJZLIS,O,X,O,O,O,X,X
TOJZLSI,O,X,O,O,O,X,X
TOJZSIL,O,X,O,O,O,X,X
TOJZSLI,O,X,O,O,O,X,X
TOSILJZ,X,X,X,X,X,O,X
TOSILZJ,X,X,X,X,X,O,X
TOSIJLZ,X,X,X,X,X,O,X
TOSIJZL,X,X,X,X,X,O,X
TOSIZLJ,X,X,X,X,X,O,X
TOSIZJL,X,X,X,X,X,O,X
TOSLIJZ,X,X,X,X,X,O,X
TOSLIZJ,X,X,X,X,X,O,X
TOSLJIZ,X,X,X,X,O,X,X
TOSLJZI,X,X,X,O,O,X,X
TOSLZIJ,X,X,X,O,X,X,X
TOSLZJI,X,X,X,O,X,X,X
TOSJILZ,X,X,X,X,O,X,X
TOSJIZL,X,X,O,X,X,X,X
TOSJLIZ,X,X,X,X,O,X,X
TOSJLZI,X,X,O,O,O,X,X
TOSJZIL,X,X,O,O,O,X,X
TOSJZLI,X,X,O,O,O,X,X
TOSZILJ,X,X,X,O,X,X,X
TOSZIJL,X,X,O,X,X,X,X
TOSZLIJ,X,X,X,O,X,X,X
TOSZLJI,X,X,X,O,X,X,X
TOSZJIL,X,X,O,O,O,X,X
TOSZJLI,X,X,O,O,O,X,X
TOZILJS,O,X,X,X,X,X,X
TOZILSJ,O,X,X,O,X,X,X
TOZIJLS,O,X,O,X,O,X,X
TOZIJSL,O,X,O,X,O,X,X
TOZISLJ,O,X,X,O,X,X,X
TOZISJL,O,X,O,X,X,X,X
TOZLIJS,O,X,X,X,X,X,X
TOZLISJ,O,X,X,O,X,X,X
TOZLJIS,O,X,X,O,O,X,X
TOZLJSI,O,X,X,O,O,X,X
TOZLSIJ,O,X,X,O,X,X,X
TOZLSJI,O,X,X,O,X,X,X
TOZJILS,O,X,O,O,O,X,X
TOZJISL,O,X,O,O,O,X,X
TOZJLIS,O,X,O,O,O,X,X
TOZJLSI,O,X,O,O,O,X,X
TOZJSIL,O,X,O,O,O,X,X
TOZJSLI,O,X,O,O,O,X,X
TOZSILJ,O,X,X,O,X,X,X
TOZSIJL,O,X,O,X,X,X,X
TOZSLIJ,O,X,X,O,X,X,X
TOZSLJI,O,X,X,O,X,X,X
TOZSJIL,O,X,O,O,O,X,X
TOZSJLI,O,X,O,O,O,X,X
ITLJSZO,X,O,X,O,O,X,X
ITLJSOZ,X,O,X,X,O,O,X
ITLJZSO,X,O,X,O,O,X,X
ITLJZOS,X,O,X,O,O,O,X
ITLJOSZ,X,O,X,X,O,O,X
ITLJOZS,X,O,X,X,O,O,X
ITLSJZO,X,O,X,O,X,X,X
ITLSJOZ,X,O,X,X,X,O,X
ITLSZJO,X,O,X,O,X,X,X
ITLSZOJ,X,O,X,O,X,O,X
ITLSOJZ,X,X,X,X,X,O,X
ITLSOZJ,X,O,X,X,X,O,X
ITLZJSO,X,O,X,O,X,X,X
ITLZJOS,X,O,X,O,X,O,X
ITLZSJO,X,O,X,O,X,X,X
ITLZSOJ,X,O,X,O,X,O,X
ITLZOJS,X,X,X,X,X,O,X
ITLZOSJ,X,X,X,O,X,O,X
ITLOJSZ,X,O,X,X,O,O,X
ITLOJZS,X,O,X,X,O,O,X
ITLOSJZ,X,O,X,X,X,O,X
ITLOSZJ,X,O,X,X,X,O,X
ITLOZJS,X,O,X,X,X,O,X
ITLOZSJ,X,O,X,X,X,O,X
ITJLSZO,X,O,X,O,O,X,X
ITJLSOZ,X,O,X,X,O,O,X
ITJLZSO,X,O,X,O,O,X,X
ITJLZOS,X,O,X,O,O,O,X
ITJLOSZ,X,O,X,X,O,O,X
ITJLOZS,X,O,X,X,O,O,X
ITJSLZO,X,O,X,O,O,X,X
ITJSLOZ,X,O,X,X,O,O,X
ITJSZLO,X,O,X,O,X,X,X
ITJSZOL,X,O,X,O,X,X,X
ITJSOLZ,X,O,X,X,X,O,X
ITJSOZL,X,O,X,X,X,O,X
ITJZLSO,X,O,X,O,O,X,X
ITJZLOS,X,O,X,O,O,O,X
ITJZSLO,X,O,X,O,O,X,X
ITJZSOL,X,O,X,O,X,X,X
ITJZOLS,X,O,X,O,O,O,X
ITJZOSL,X,O,X,O,X,O,X
ITJOLSZ,X,O,X,X,O,O,X
ITJOLZS,X,O,X,X,O,O,X
ITJOSLZ,X,O,X,X,O,O,X
ITJOSZL,X,O,X,X,X,O,X
ITJOZLS,X,O,X,X,O,O,X
ITJOZSL,X,O,X,X,O,O,X
ITSLJZO,X,O,X,O,X,X,X
ITSLJOZ,X,O,X,X,X,O,X
ITSLZJO,X,O,X,O,X,X,X
ITSLZOJ,X,O,X,O,X,O,X
ITSLOJZ,X,O,X,X,X,O,X
ITSLOZJ,X,O,X,X,X,O,X
ITSJLZO,X,O,X,O,X,X,X
ITSJLOZ,X,O,X,X,X,O,X
ITSJZLO,X,O,X,O,X,X,X
ITSJZOL,X,O,X,O,X,X,X
ITSJOLZ,X,O,X,X,X,O,X
ITSJOZL,X,O,X,X,X,O,X
ITSZLJO,X,O,X,O,X,X,X
ITSZLOJ,X,O,X,O,X,O,X
ITSZJLO,X,X,X,O,X,X,X
ITSZJOL,X,X,X,O,X,X,X
ITSZOLJ,X,O,X,O,X,O,X
ITSZOJL,X,O,X,X,X,O,X
ITSOLJZ,X,O,X,X,X,O,X
ITSOLZJ,X,O,X,X,X,O,X
ITSOJLZ,X,O,X,X,X,O,X
ITSOJZL,X,O,X,X,X,O,X
ITSOZLJ,X,O,X,X,X,O,X
ITSOZJL,X,O,X,X,X,O,X
ITZLJSO,X,X,X,O,X,X,X
ITZLJOS,X,X,X,O,X,O,X
ITZLSJO,X,X,X,O,X,X,X
ITZLSOJ,X,X,X,O,X,O,X
ITZLOJS,X,X,X,X,X,O,X
ITZLOSJ,X,X,X,O,X,O,X
ITZJLSO,X,X,X,O,O,X,X
ITZJLOS,X,X,X,O,O,O,X
ITZJSLO,X,X,X,O,O,X,X
ITZJSOL,X,X,X,O,X,X,X
ITZJOLS,X,X,X,O,O,O,X
ITZJOSL,X,X,X,O,X,O,X
ITZSLJO,X,X,X,O,X,X,X
ITZSLOJ,X,X,X,O,X,O,X
ITZSJLO,X,X,X,O,X,X,X
ITZSJOL,X,X,X,O,X,X,X
ITZSOLJ,X,X,X,O,X,O,X
ITZSOJL,X,X,X,X,X,O,X
ITZOLJS,X,X,X,X,X,O,X
ITZOLSJ,X,X,X,O,X,O,X
ITZOJLS,X,X,X,X,X,O,X
ITZOJSL,X,X,X,X,X,O,X
ITZOSLJ,X,X,X,O,X,O,X
ITZOSJL,X,X,X,X,X,O,X
ITOLJSZ,X,O,X,X,O,O,X
ITOLJZS,X,O,X,X,O,O,X
ITOLSJZ,X,O,X,X,X,O,X
ITOLSZJ,X,O,X,X,X,O,X
ITOLZJS,X,O,X,X,X,O,X
ITOLZSJ,X,O,X,X,X,O,X
ITOJLSZ,X,O,X,X,O,O,X
ITOJLZS,X,O,X,X,O,O,X
ITOJSLZ,X,O,X,X,O,O,X
ITOJSZL,X,O,X,X,X,O,X
ITOJZLS,X,O,X,X,O,O,X
ITOJZSL,X,O,X,X,O,O,X
ITOSLJZ,X,O,X,X,X,O,X
ITOSLZJ,X,O,X,X,X,O,X
ITOSJLZ,X,O,X,X,X,O,X
ITOSJZL,X,O,X,X,X,O,X
ITOSZLJ,X,O,X,X,X,O,X
ITOSZJL,X,O,X,X,X,O,X
ITOZLJS,X,X,X,X,X,O,X
ITOZLSJ,X,X,X,X,X,O,X
ITOZJLS,X,O,X,X,O,O,X
ITOZJSL,X,O,X,X,O,O,X
ITOZSLJ,X,O,X,X,X,O,X
ITOZSJL,X,O,X,X,X,O,X
ILTJSZO,O,O,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,O,X
ILTJZSO,O,O,X,X,X,X,X
ILTJZOS,O,O,X,X,X,O,X
ILTJOSZ,O,O,X,X,X,O,X
ILTJOZS,O,O,X,X,X,O,X
ILTSJZO,O,O,X,X,X,X,X
ILTSJOZ,O,O,X,X,X,O,X
ILTSZJO,O,O,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,O,X
ILTSOJZ,O,X,X,X,X,O,X
ILTSOZJ,O,O,X,X,X,O,X
ILTZJSO,O,O,X,X,X,X,X
ILTZJOS,O,O,X,X,X,O,X
ILTZSJO,O,O,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,O,X
ILTZOJS,O,X,X,X,X,O,X
ILTZOSJ,O,X,X,X,X,O,X
ILTOJSZ,O,O,X,X,X,O,X
ILTOJZS,O,O,X,X,X,O,X
ILTOSJZ,O,O,X,X,X,O,X
ILTOSZJ,O,O,X,X,X,O,X
ILTOZJS,O,O,X,X,X,O,X
ILTOZSJ,O,O,X,X,X,O,X
ILJTSZO,O,O,X,X,X,X,X
ILJTSOZ,O,O,X,X,X,O,X
ILJTZSO,O,O,X,X,X,X,X
ILJTZOS,O,O,X,X,X,O,X
ILJTOSZ,O,O,X,X,X,O,X
ILJTOZS,O,O,X,X,X,O,X
ILJSTZO,O,O,X,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X
ILJZTOS,O,O,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X
ILJZOTS,O,O,X,X,X,X,X
ILJZOST,O,O,X,X,X,X,X
ILJOTSZ,O,O,X,X,X,O,X
ILJOTZS,O,O,X,X,X,O,X
ILJOSTZ,O,O,X,X,X,O,X
ILJOSZT,O,O,X,X,X,X,X
ILJOZTS,O,O,X,X,X,X,X
ILJOZST,O,O,X,X,X,X,X
ILSTJZO,O,O,X,X,X,X,O
ILSTJOZ,O,O,X,X,X,O,O
ILSTZJO,O,O,X,X,X,X,O
ILSTZOJ,O,O,X,X,X,O,O
ILSTOJZ,O,O,X,X,X,O,O
ILSTOZJ,O,O,X,X,X,O,O
ILSJTZO,O,O,X,X,X,X,O
ILSJTOZ,O,O,X,X,X,X,O
ILSJZTO,O,O,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,O
ILSJOTZ,X,O,X,X,X,X,O
ILSJOZT,X,O,X,X,X,X,O
ILSZTJO,O,O,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,O
ILSZOTJ,O,O,X,X,X,X,X
ILSZOJT,X,O,X,X,X,X,O
ILSOTJZ,X,O,X,X,X,O,O
ILSOTZJ,X,O,X,X,X,O,O
ILSOJTZ,X,O,X,X,X,O,O
ILSOJZT,X,O,X,X,X,X,O
ILSOZTJ,X,O,X,X,X,X,X
ILSOZJT,X,O,X,X,X,X,O
ILZTJSO,O,O,X,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X
ILZJTSO,O,O,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,X
ILZJOTS,O,O,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X
ILOTJSZ,O,O,X,X,X,O,X
ILOTJZS,O,O,X,X,X,O,X
ILOTSJZ,O,O,X,X,X,O,X
ILOTSZJ,O,O,X,X,X,O,X
ILOTZJS,O,O,X,X,X,O,X
ILOTZSJ,O,O,X,X,X,O,X
ILOJTSZ,O,O,X,X,X,O,X
ILOJTZS,O,O,X,X,X,O,X
ILOJSTZ,O,O,X,X,X,O,X
ILOJSZT,O,O,X,X,X,X,X
ILOJZTS,O,O,X,X,X,X,X
ILOJZST,O,O,X,X,X,X,X
ILOSTJZ,O,O,X,X,X,O,O
ILOSTZJ,O,O,X,X,X,O,O
ILOSJTZ,O,O,X,X,X,O,O
ILOSJZT,O,O,X,X,X,X,O
ILOSZTJ,O,O,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,O
ILOZTJS,O,O,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X
ILOZJTS,O,O,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X
IJTLSZO,X,O,X,O,O,X,X
IJTLSOZ,X,O,X,X,O,O,X
IJTLZSO,X,O,X,O,O,X,X
IJTLZOS,X,O,X,O,O,O,X
IJTLOSZ,X,O,X,X,O,O,X
IJTLOZS,X,O,X,X,O,O,X
IJTSLZO,X,O,X,O,O,X,X
IJTSLOZ,X,O,X,X,O,O,X
IJTSZLO,X,O,O,O,X,X,X
IJTSZOL,X,O,O,O,X,X,X
IJTSOLZ,X,O,X,X,X,O,X
IJTSOZL,X,O,O,X,X,O,X
IJTZLSO,X,O,O,O,O,X,X
IJTZLOS,X,O,X,O,O,O,X
IJTZSLO,X,O,O,O,O,X,X
IJTZSOL,X,O,O,O,X,X,X
IJTZOLS,X,O,O,O,O,O,X
IJTZOSL,X,O,O,O,X,O,X
IJTOLSZ,X,O,X,X,O,O,X
IJTOLZS,X,O,X,X,O,O,X
IJTOSLZ,X,O,X,X,O,O,X
IJTOSZL,X,O,O,X,X,O,X
IJTOZLS,X,O,O,X,O,O,X
IJTOZSL,X,O,O,X,O,O,X
IJLTSZO,O,O,X,X,O,X,X
IJLTSOZ,O,O,X,X,O,O,X
IJLTZSO,O,O,X,X,O,X,X
IJLTZOS,O,O,X,X,O,O,X
IJLTOSZ,O,O,X,X,O,O,X
IJLTOZS,O,O,X,X,O,O,X
IJLSTZO,O,O,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X
IJLSOTZ,X,O,X,X,X,X,X
IJLSOZT,X,O,X,X,X,X,X
IJLZTSO,O,O,X,X,X,X,X
IJLZTOS,O,O,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X
IJLZOTS,O,O,X,X,X,X,X
IJLZOST,O,O,X,X,X,X,X
IJLOTSZ,O,O,X,X,X,O,X
IJLOTZS,O,O,X,X,X,O,X
IJLOSTZ,O,O,X,X,X,O,X
IJLOSZT,O,O,X,X,X,X,X
IJLOZTS,O,O,X,X,X,X,X
IJLOZST,O,O,X,X,X,X,X
IJSTLZO,X,O,X,O,O,X,X
IJSTLOZ,X,O,X,X,O,O,X
IJSTZLO,X,O,O,O,X,X,X
IJSTZOL,X,O,O,O,X,X,X
IJSTOLZ,X,O,X,X,X,O,X
IJSTOZL,X,O,O,X,X,O,X
IJSLTZO,X,O,X,X,X,X,X
IJSLTOZ,X,O,X,X,X,X,X
IJSLZTO,X,O,X,X,X,X,X
IJSLZOT,X,O,X,X,X,X,X
IJSLOTZ,X,O,X,X,X,X,X
IJSLOZT,X,O,X,X,X,X,X
IJSZTLO,X,O,O,O,X,X,X
IJSZTOL,X,O,O,O,X,X,X
IJSZLTO,X,O,O,O,X,X,X
IJSZLOT,X,O,X,X,X,X,X
IJSZOTL,X,O,O,O,X,X,X
IJSZOLT,X,O,O,X,X,X,X
IJSOTLZ,X,O,X,X,X,O,X
IJSOTZL,X,O,O,X,X,O,X
IJSOLTZ,X,O,X,X,X,O,X
IJSOLZT,X,O,X,X,X,X,X
IJSOZTL,X,O,O,X,X,O,X
IJSOZLT,X,O,O,X,X,X,X
IJZTLSO,X,O,O,O,O,X,X
IJZTLOS,X,O,X,O,O,O,X
IJZTSLO,X,O,O,O,O,X,X
IJZTSOL,X,O,O,O,X,X,X
IJZTOLS,X,O,O,O,O,O,X
IJZTOSL,X,O,O,O,X,O,X
IJZLTSO,O,O,O,O,O,X,X
IJZLTOS,O,O,X,O,O,X,X
IJZLSTO,O,O,O,O,X,X,X
IJZLSOT,O,O,X,X,X,X,X
IJZLOTS,O,O,X,X,X,X,X
IJZLOST,O,O,X,X,X,X,X
IJZSTLO,O,O,O,O,O,X,X
IJZSTOL,O,O,O,O,X,X,X
IJZSLTO,O,O,O,O,X,X,X
IJZSLOT,O,O,X,X,X,X,X
IJZSOTL,O,O,O,O,X,X,X
IJZSOLT,O,O,O,X,X,X,X
IJZOTLS,O,O,O,O,O,O,X
IJZOTSL,O,O,O,O,X,O,X
IJZOLTS,O,O,O,X,X,X,X
IJZOLST,O,O,O,X,X,X,X
IJZOSTL,O,O,O,O,X,O,X
IJZOSLT,O,O,O,X,X,X,X
IJOTLSZ,O,O,X,X,O,O,X
IJOTLZS,O,O,X,X,O,O,X
IJOTSLZ,X,O,X,X,O,O,X
IJOTSZL,X,O,O,X,X,O,X
IJOTZLS,O,O,O,X,O,O,X
IJOTZSL,O,O,O,X,O,O,X
IJOLTSZ,O,O,X,X,O,O,X
IJOLTZS,O,O,X,X,O,O,X
IJOLSTZ,O,O,X,X,X,O,X
IJOLSZT,O,O,X,X,X,X,X
IJOLZTS,O,O,X,X,X,X,X
IJOLZST,O,O,X,X,X,X,X
IJOSTLZ,X,O,X,X,O,O,X
IJOSTZL,X,O,O,X,X,O,X
IJOSLTZ,O,O,X,X,X,O,X
IJOSLZT,O,O,X,X,X,X,X
IJOSZTL,O,O,O,X,X,O,X
IJOSZLT,O,O,O,X,X,X,X
IJOZTLS,O,O,O,X,O,O,X
IJOZTSL,O,O,O,X,O,O,X
IJOZLTS,O,O,O,X,O,X,X
IJOZLST,O,O,O,X,X,X,X
IJOZSTL,O,O,O,X,O,O,X
IJOZSLT,O,O,O,X,X,X,X
ISTLJZO,X,O,X,O,X,X,O
ISTLJOZ,X,O,X,X,X,O,O
ISTLZJO,X,O,X,O,X,X,O
ISTLZOJ,X,O,X,O,X,O,O
ISTLOJZ,X,O,X,X,X,O,O
ISTLOZJ,X,O,X,X,X,O,O
ISTJLZO,X,O,X,O,X,X,O
ISTJLOZ,X,O,X,X,X,O,O
ISTJZLO,X,O,X,O,X,X,O
ISTJZOL,X,O,X,O,X,X,X
ISTJOLZ,X,O,X,X,X,O,O
ISTJOZL,X,O,X,X,X,O,X
ISTZLJO,X,O,X,O,X,X,O
ISTZLOJ,X,O,X,O,X,O,O
ISTZJLO,X,X,X,O,X,X,O
ISTZJOL,X,X,X,O,X,X,X
ISTZOLJ,X,O,X,O,X,O,X
ISTZOJL,X,O,X,X,X,O,X
ISTOLJZ,X,O,X,X,X,O,O
ISTOLZJ,X,O,X,X,X,O,O
ISTOJLZ,X,O,X,X,X,O,O
ISTOJZL,X,O,X,X,X,O,X
ISTOZLJ,X,O,X,X,X,O,X
ISTOZJL,X,O,X,X,X,O,X
ISLTJZO,X,O,X,X,X,X,O
ISLTJOZ,X,O,X,X,X,O,O
ISLTZJO,X,O,X,X,X,X,O
ISLTZOJ,X,O,X,X,X,O,O
ISLTOJZ,X,O,X,X,X,O,O
ISLTOZJ,X,O,X,X,X,O,O
ISLJTZO,X,O,X,X,X,X,O
ISLJTOZ,X,O,X,X,X,X,O
ISLJZTO,X,O,X,X,X,X,X
ISLJZOT,X,O,X,X,X,X,O
ISLJOTZ,X,O,X,X,X,X,O
ISLJOZT,X,O,X,X,X,X,O
ISLZTJO,X,O,X,X,X,X,X
ISLZTOJ,X,O,X,X,X,X,X
ISLZJTO,X,O,X,X,X,X,X
ISLZJOT,X,O,X,X,X,X,O
ISLZOTJ,X,O,X,X,X,X,X
ISLZOJT,X,O,X,X,X,X,O
ISLOTJZ,X,O,X,X,X,O,O
ISLOTZJ,X,O,X,X,X,O,O
ISLOJTZ,X,O,X,X,X,O,O
ISLOJZT,X,O,X,X,X,X,O
ISLOZTJ,X,O,X,X,X,X,X
ISLOZJT,X,O,X,X,X,X,O
ISJTLZO,X,O,X,O,X,X,O
ISJTLOZ,X,O,X,X,X,O,O
ISJTZLO,X,O,O,O,X,X,O
ISJTZOL,X,O,O,O,X,X,X
ISJTOLZ,X,O,X,X,X,O,O
ISJTOZL,X,O,O,X,X,O,X
ISJLTZO,X,O,X,X,X,X,O
ISJLTOZ,X,O,X,X,X,X,O
ISJLZTO,X,O,X,X,X,X,X
ISJLZOT,X,O,X,X,X,X,O
ISJLOTZ,X,O,X,X,X,X,O
ISJLOZT,X,O,X,X,X,X,O
ISJZTLO,X,O,O,O,X,X,X
ISJZTOL,X,O,O,O,X,X,X
ISJZLTO,X,O,O,O,X,X,X
ISJZLOT,X,O,X,X,X,X,X
ISJZOTL,X,O,O,O,X,X,X
ISJZOLT,X,O,O,X,X,X,X
ISJOTLZ,X,O,X,X,X,O,X
ISJOTZL,X,O,O,X,X,O,X
ISJOLTZ,X,O,X,X,X,O,X
ISJOLZT,X,O,X,X,X,X,X
ISJOZTL,X,O,O,X,X,O,X
ISJOZLT,X,O,O,X,X,X,X
ISZTLJO,X,O,X,O,X,X,X
ISZTLOJ,X,O,X,O,X,O,X
ISZTJLO,X,X,O,O,X,X,X
ISZTJOL,X,X,O,O,X,X,X
ISZTOLJ,X,O,X,O,X,O,X
ISZTOJL,X,O,X,X,X,O,X
ISZLTJO,X,O,X,O,X,X,X
ISZLTOJ,X,O,X,O,X,X,X
ISZLJTO,X,O,O,X,X,X,X
ISZLJOT,X,O,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X
ISZJTLO,X,O,O,O,X,X,X
ISZJTOL,X,O,O,O,X,X,X
ISZJLTO,X,O,O,O,X,X,X
ISZJLOT,X,O,X,X,X,X,X
ISZJOTL,X,O,O,O,X,X,X
ISZJOLT,X,O,O,X,X,X,X
ISZOTLJ,X,O,X,O,X,O,X
ISZOTJL,X,O,O,X,X,O,X
ISZOLTJ,X,O,X,X,X,X,X
ISZOLJT,X,O,O,X,X,X,X
ISZOJTL,X,O,O,X,X,O,X
ISZOJLT,X,O,O,X,X,X,X
ISOTLJZ,X,O,X,X,X,O,X
ISOTLZJ,X,O,X,X,X,O,X
ISOTJLZ,X,O,X,X,X,O,X
ISOTJZL,X,O,X,X,X,O,X
ISOTZLJ,X,O,X,X,X,O,X
ISOTZJL,X,O,X,X,X,O,X
ISOLTJZ,X,O,X,X,X,O,X
ISOLTZJ,X,O,X,X,X,O,X
ISOLJTZ,X,O,X,X,X,O,X
ISOLJZT,X,O,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X
ISOJTLZ,X,O,X,X,X,O,X
ISOJTZL,X,O,O,X,X,O,X
ISOJLTZ,X,O,X,X,X,O,X
ISOJLZT,X,O,X,X,X,X,X
ISOJZTL,X,O,O,X,X,O,X
ISOJZLT,X,O,O,X,X,X,X
ISOZTLJ,X,O,X,X,X,O,X
ISOZTJL,X,O,O,X,X,O,X
ISOZLTJ,X,O,X,X,X,X,X
ISOZLJT,X,O,O,X,X,X,X
ISOZJTL,X,O,O,X,X,O,X
ISOZJLT,X,O,O,X,X,X,X
IZTLJSO,X,X,X,O,X,X,X
IZTLJOS,X,X,X,O,X,O,X
IZTLSJO,X,X,X,O,X,X,X
IZTLSOJ,X,X,X,O,X,O,X
IZTLOJS,X,X,X,X,X,O,X
IZTLOSJ,X,X,X,O,X,O,X
IZTJLSO,X,X,O,O,O,X,X
IZTJLOS,X,X,X,O,O,O,X
IZTJSLO,X,X,O,O,O,X,X
IZTJSOL,X,X,O,O,X,X,X
IZTJOLS,X,X,X,O,O,O,X
IZTJOSL,X,X,O,O,X,O,X
IZTSLJO,X,X,X,O,X,X,X
IZTSLOJ,X,X,X,O,X,O,X
