sequence,v115@LhC8HeB8BeB8DeE8JeT/IvhF/lBRhBunBcoBlpByvB,v115@LhC8HeB8BeB8DeE8Jel/IvhFRhBqnBTjB/pB0lB2vB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBGjBfrBznBlpBUqB,v115@LhC8HeB8BeB8DeE8Jel/IvhFRhBunBcoB/pBTlByvB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBWoBFlBXoB0pBzqB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBunBcoB1pBzqBXqB,v115@LhC8HeB8BeB8DeE8JeWIJvhFxkBTkB0lBXoBVvBirB
TOILZSJ,X,X,X,X,X,O,X
TOIJLSZ,X,X,O,X,O,X,O
TOIJLZS,X,X,O,X,O,O,O
TOIJSLZ,X,X,O,X,O,X,O
TOIJSZL,X,X,O,X,X,X,O
TOIJZLS,X,X,O,X,O,O,O
TOIJZSL,X,X,X,X,O,O,O
TOISLJZ,X,X,O,X,O,X,X
TOISLZJ,O,X,O,X,X,O,X
TOISJLZ,X,X,O,X,O,X,X
TOISJZL,O,X,O,X,X,X,X
TOISZLJ,O,X,O,X,X,O,X
TOISZJL,O,X,O,X,X,O,X
TOIZLJS,X,X,O,X,O,O,X
TOIZLSJ,X,X,X,X,O,O,X
TOIZJLS,X,X,O,X,O,O,X
TOIZJSL,O,X,X,X,O,O,X
TOIZSLJ,O,X,X,X,O,O,X
TOIZSJL,O,X,X,X,O,O,X
TOLIJSZ,X,O,O,X,O,X,X
TOLIJZS,X,X,O,X,O,O,X
TOLISJZ,X,O,O,X,O,X,X
TOLISZJ,X,O,X,X,X,O,X
TOLIZJS,X,X,O,X,O,O,X
TOLIZSJ,X,X,X,X,X,O,X
TOLJISZ,X,O,O,X,O,X,X
TOLJIZS,X,X,O,X,O,O,X
TOLJSIZ,X,O,O,X,O,X,X
TOLJSZI,X,O,O,X,O,X,X
TOLJZIS,X,O,O,X,O,O,X
TOLJZSI,X,O,X,X,O,O,X
TOLSIJZ,X,O,O,X,O,X,X
TOLSIZJ,O,O,O,X,X,O,X
TOLSJIZ,X,O,O,X,O,X,X
TOLSJZI,X,O,O,X,O,X,X
TOLSZIJ,O,O,O,X,X,O,X
TOLSZJI,O,O,O,X,X,O,X
TOLZIJS,X,X,O,X,O,O,X
TOLZISJ,X,X,X,X,X,O,X
TOLZJIS,X,X,O,X,O,O,X
TOLZJSI,O,X,X,X,O,O,X
TOLZSIJ,O,X,X,X,X,O,X
TOLZSJI,O,X,X,X,X,O,X
TOJILSZ,X,X,O,X,O,X,O
TOJILZS,X,X,O,X,O,O,O
TOJISLZ,X,X,O,X,O,X,O
TOJISZL,X,X,O,X,X,X,O
TOJIZLS,X,X,O,X,O,O,O
TOJIZSL,X,X,X,X,O,O,O
TOJLISZ,X,O,O,X,O,X,X
TOJLIZS,X,X,O,X,O,O,X
TOJLSIZ,X,O,O,X,O,X,X
TOJLSZI,X,O,O,X,O,X,X
TOJLZIS,X,O,O,X,O,O,X
TOJLZSI,X,O,X,X,O,O,X
TOJSILZ,X,O,O,X,O,X,X
TOJSIZL,O,O,O,X,X,X,X
TOJSLIZ,X,O,O,X,O,X,X
TOJSLZI,X,O,O,X,O,X,X
TOJSZIL,O,O,O,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X
TOJZILS,X,X,O,X,O,O,X
TOJZISL,O,X,X,X,O,O,X
TOJZLIS,X,O,O,X,O,O,X
TOJZLSI,O,O,X,X,O,O,X
TOJZSIL,O,O,O,X,O,O,X
TOJZSLI,O,O,O,X,O,O,X
TOSILJZ,X,O,O,X,O,X,X
TOSILZJ,O,O,O,X,X,O,X
TOSIJLZ,X,O,O,X,O,X,X
TOSIJZL,O,O,O,X,X,X,X
TOSIZLJ,O,X,O,X,X,O,X
TOSIZJL,O,X,O,X,X,O,X
TOSLIJZ,X,O,O,X,O,X,X
TOSLIZJ,O,O,O,X,X,O,X
TOSLJIZ,X,O,O,X,O,X,X
TOSLJZI,X,O,O,X,O,X,X
TOSLZIJ,O,O,O,X,X,O,X
TOSLZJI,O,O,O,X,X,O,X
TOSJILZ,X,O,O,X,O,X,X
TOSJIZL,O,O,O,X,X,X,X
TOSJLIZ,X,O,O,X,O,X,X
TOSJLZI,X,O,O,X,O,X,X
TOSJZIL,O,O,O,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X
TOSZILJ,O,X,O,X,X,O,X
TOSZIJL,O,X,O,X,X,O,X
TOSZLIJ,O,O,O,X,X,O,X
TOSZLJI,O,O,O,X,X,O,X
TOSZJIL,O,O,O,X,X,O,X
TOSZJLI,O,O,O,X,X,O,X
TOZILJS,X,X,O,X,O,O,X
TOZILSJ,X,X,X,X,O,O,X
TOZIJLS,X,X,O,X,O,O,X
TOZIJSL,O,X,X,X,O,O,X
TOZISLJ,O,X,X,X,O,O,X
TOZISJL,O,X,X,X,O,O,X
TOZLIJS,X,X,O,X,O,O,X
TOZLISJ,X,X,X,X,O,O,X
TOZLJIS,X,X,O,X,O,O,X
TOZLJSI,O,X,X,X,O,O,X
TOZLSIJ,O,X,X,X,O,O,X
TOZLSJI,O,X,X,X,O,O,X
TOZJILS,X,X,O,X,O,O,X
TOZJISL,O,X,X,X,O,O,X
TOZJLIS,X,X,O,X,O,O,X
TOZJLSI,O,X,X,X,O,O,X
TOZJSIL,O,X,O,X,O,O,X
TOZJSLI,O,X,O,X,O,O,X
TOZSILJ,O,X,O,X,O,O,X
TOZSIJL,O,X,O,X,O,O,X
TOZSLIJ,O,X,O,X,O,O,X
TOZSLJI,O,X,O,X,O,O,X
TOZSJIL,O,X,O,X,O,O,X
TOZSJLI,O,X,O,X,O,O,X
ITLJSZO,X,O,O,X,X,X,O
ITLJSOZ,X,O,O,X,X,X,O
ITLJZSO,X,X,O,X,X,X,O
ITLJZOS,X,X,O,X,X,X,O
ITLJOSZ,X,O,O,X,X,X,O
ITLJOZS,X,X,O,X,X,X,O
ITLSJZO,O,X,O,O,X,X,X
ITLSJOZ,O,O,O,X,X,X,X
ITLSZJO,O,X,X,O,X,X,X
ITLSZOJ,O,O,X,O,X,X,X
ITLSOJZ,O,O,O,X,X,X,X
ITLSOZJ,O,O,X,O,X,X,X
ITLZJSO,O,X,O,O,X,X,X
ITLZJOS,X,X,O,O,X,X,X
ITLZSJO,O,X,X,O,X,X,X
ITLZSOJ,O,X,X,O,X,X,X
ITLZOJS,X,X,O,O,X,X,X
ITLZOSJ,X,X,X,O,X,X,X
ITLOJSZ,X,O,O,X,X,X,X
ITLOJZS,X,X,O,X,X,X,X
ITLOSJZ,X,O,O,O,X,X,X
ITLOSZJ,X,O,X,O,X,X,X
ITLOZJS,X,X,O,O,X,X,X
ITLOZSJ,X,X,X,O,X,X,X
ITJLSZO,X,O,O,X,X,X,O
ITJLSOZ,X,O,O,X,X,X,O
ITJLZSO,X,X,O,X,X,X,O
ITJLZOS,X,X,O,X,X,X,O
ITJLOSZ,X,O,O,X,X,X,O
ITJLOZS,X,X,O,X,X,X,O
ITJSLZO,X,O,O,X,X,X,O
ITJSLOZ,X,O,O,X,X,X,O
ITJSZLO,X,O,O,X,X,X,O
ITJSZOL,X,X,X,X,X,X,O
ITJSOLZ,X,O,O,X,X,X,O
ITJSOZL,X,X,X,X,X,X,O
ITJZLSO,X,X,O,X,O,X,O
ITJZLOS,X,X,O,X,O,X,O
ITJZSLO,X,X,X,X,O,X,O
ITJZSOL,X,X,X,X,X,X,O
ITJZOLS,X,X,X,X,O,X,O
ITJZOSL,X,X,X,X,X,X,O
ITJOLSZ,X,X,O,X,O,X,O
ITJOLZS,X,X,O,X,O,X,O
ITJOSLZ,X,X,O,X,O,X,O
ITJOSZL,X,X,X,X,X,X,O
ITJOZLS,X,X,O,X,O,X,O
ITJOZSL,X,X,X,X,O,X,O
ITSLJZO,X,X,O,O,X,X,X
ITSLJOZ,X,O,O,X,X,X,X
ITSLZJO,O,X,O,O,X,X,X
ITSLZOJ,O,O,O,O,X,X,X
ITSLOJZ,X,O,O,X,X,X,X
ITSLOZJ,O,O,O,O,X,X,X
ITSJLZO,X,X,O,X,X,X,O
ITSJLOZ,X,O,O,X,X,X,O
ITSJZLO,O,X,O,O,X,X,O
ITSJZOL,O,X,X,O,X,X,O
ITSJOLZ,X,X,O,X,X,X,O
ITSJOZL,O,X,O,X,X,X,O
ITSZLJO,O,X,O,O,X,X,X
ITSZLOJ,O,O,O,O,X,X,X
ITSZJLO,O,X,O,O,X,X,X
ITSZJOL,O,X,X,O,X,X,X
ITSZOLJ,O,X,O,X,X,X,X
ITSZOJL,O,X,O,O,X,X,X
ITSOLJZ,X,O,O,X,X,X,X
ITSOLZJ,O,O,O,X,X,X,X
ITSOJLZ,X,X,O,X,X,X,X
ITSOJZL,O,X,O,X,X,X,X
ITSOZLJ,O,X,O,X,X,X,X
ITSOZJL,O,X,O,O,X,X,X
ITZLJSO,O,X,O,O,O,X,X
ITZLJOS,X,X,O,O,O,X,X
ITZLSJO,O,X,X,O,O,X,X
ITZLSOJ,O,X,X,O,X,X,X
ITZLOJS,X,X,O,O,O,X,X
ITZLOSJ,X,X,X,O,X,X,X
ITZJLSO,O,X,O,O,O,X,O
ITZJLOS,X,X,O,O,O,X,O
ITZJSLO,O,X,X,O,O,X,O
ITZJSOL,O,X,X,O,X,X,O
ITZJOLS,X,X,X,X,O,O,O
ITZJOSL,O,X,X,X,X,O,O
ITZSLJO,O,X,X,O,O,X,X
ITZSLOJ,O,X,X,O,X,X,X
ITZSJLO,O,X,X,O,O,X,X
ITZSJOL,O,X,X,O,X,X,X
ITZSOLJ,O,X,X,X,X,X,X
ITZSOJL,O,X,X,O,X,X,X
ITZOLJS,X,X,O,X,O,O,X
ITZOLSJ,X,X,X,X,X,O,X
ITZOJLS,X,X,O,X,O,O,X
ITZOJSL,O,X,X,X,X,O,X
ITZOSLJ,O,X,X,X,X,O,X
ITZOSJL,O,X,X,X,X,O,X
ITOLJSZ,X,X,O,X,O,X,X
ITOLJZS,X,X,O,X,O,O,X
ITOLSJZ,X,X,O,X,O,X,X
ITOLSZJ,X,X,X,X,X,O,X
ITOLZJS,X,X,O,X,O,O,X
ITOLZSJ,X,X,X,X,X,O,X
ITOJLSZ,X,X,O,X,O,X,O
ITOJLZS,X,X,O,X,O,O,O
ITOJSLZ,X,X,O,X,O,X,O
ITOJSZL,X,X,O,X,X,X,O
ITOJZLS,X,X,O,X,O,O,O
ITOJZSL,X,X,X,X,O,O,O
ITOSLJZ,X,X,O,X,O,X,X
ITOSLZJ,O,X,O,X,X,O,X
ITOSJLZ,X,X,O,X,O,X,X
ITOSJZL,O,X,O,X,X,X,X
ITOSZLJ,O,X,O,X,X,O,X
ITOSZJL,O,X,O,X,X,O,X
ITOZLJS,X,X,O,X,O,O,X
ITOZLSJ,X,X,X,X,O,O,X
ITOZJLS,X,X,O,X,O,O,X
ITOZJSL,O,X,X,X,O,O,X
ITOZSLJ,O,X,X,X,O,O,X
ITOZSJL,O,X,X,X,O,O,X
ILTJSZO,X,O,O,X,X,X,X
ILTJSOZ,X,O,O,X,X,X,X
ILTJZSO,X,X,O,X,X,X,X
ILTJZOS,X,X,O,X,X,X,X
ILTJOSZ,X,O,O,X,X,X,X
ILTJOZS,X,X,O,X,X,X,X
ILTSJZO,O,X,O,O,X,X,X
ILTSJOZ,O,O,O,X,X,X,X
ILTSZJO,O,X,X,O,X,X,X
ILTSZOJ,O,O,X,O,X,X,X
ILTSOJZ,O,O,O,X,X,X,X
ILTSOZJ,O,O,X,O,X,X,X
ILTZJSO,O,X,O,O,X,X,X
ILTZJOS,O,X,O,O,X,X,X
ILTZSJO,O,X,X,O,X,X,X
ILTZSOJ,O,X,X,O,X,X,X
ILTZOJS,O,X,O,O,X,X,X
ILTZOSJ,O,X,X,O,X,X,X
ILTOJSZ,X,O,O,X,X,X,X
ILTOJZS,X,X,O,X,X,X,X
ILTOSJZ,O,O,O,O,X,X,X
ILTOSZJ,O,O,X,O,X,X,X
ILTOZJS,O,X,O,O,X,X,X
ILTOZSJ,O,X,X,O,X,X,X
ILJTSZO,X,O,O,X,X,X,X
ILJTSOZ,X,O,O,X,X,X,X
ILJTZSO,X,X,O,X,X,X,X
ILJTZOS,X,X,O,X,X,X,X
ILJTOSZ,X,O,O,X,X,X,X
ILJTOZS,X,X,O,X,X,X,X
ILJSTZO,O,O,O,O,X,X,X
ILJSTOZ,O,O,O,X,X,X,X
ILJSZTO,O,O,X,O,X,X,X
ILJSZOT,O,O,X,O,X,X,X
ILJSOTZ,X,O,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,X
ILJZTSO,O,O,X,O,O,X,X
ILJZTOS,X,O,X,O,O,X,X
ILJZSTO,O,O,X,O,X,X,X
ILJZSOT,O,O,X,O,X,X,X
ILJZOTS,X,O,X,O,X,X,X
ILJZOST,O,O,X,O,X,X,X
ILJOTSZ,X,O,X,X,O,X,X
ILJOTZS,X,X,X,X,O,X,X
ILJOSTZ,X,O,X,O,X,X,X
ILJOSZT,X,O,X,O,X,X,X
ILJOZTS,X,O,X,O,O,X,X
ILJOZST,X,O,X,O,X,X,X
ILSTJZO,O,O,O,O,X,X,X
ILSTJOZ,O,O,O,X,X,X,X
ILSTZJO,O,X,O,O,X,X,X
ILSTZOJ,O,O,O,O,X,X,X
ILSTOJZ,O,O,O,X,X,X,X
ILSTOZJ,O,O,O,O,X,X,X
ILSJTZO,O,O,O,O,X,X,X
ILSJTOZ,O,O,O,X,X,X,X
ILSJZTO,O,O,X,O,X,X,X
ILSJZOT,O,O,X,O,X,X,X
ILSJOTZ,X,O,X,X,X,X,X
ILSJOZT,X,O,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X,X
ILSZTOJ,O,O,X,O,X,X,X
ILSZJTO,O,X,X,O,X,X,X
ILSZJOT,O,X,X,O,X,X,X
ILSZOTJ,O,O,X,O,X,X,X
ILSZOJT,O,X,X,O,X,X,X
ILSOTJZ,O,O,O,O,X,X,X
ILSOTZJ,O,O,O,O,X,X,X
ILSOJTZ,X,O,O,O,X,X,X
ILSOJZT,X,O,X,O,X,X,X
ILSOZTJ,O,O,X,O,X,X,X
ILSOZJT,O,X,X,O,X,X,X
ILZTJSO,O,X,X,O,O,X,X
ILZTJOS,O,X,X,O,O,X,X
ILZTSJO,O,X,X,O,O,X,X
ILZTSOJ,O,X,X,O,X,X,X
ILZTOJS,O,X,X,O,O,X,X
ILZTOSJ,O,X,X,O,X,X,X
ILZJTSO,O,X,X,O,O,X,X
ILZJTOS,O,X,X,O,O,X,X
ILZJSTO,O,O,X,O,X,X,X
ILZJSOT,O,O,X,O,X,X,X
ILZJOTS,X,X,X,O,X,O,X
ILZJOST,O,O,X,O,X,X,X
ILZSTJO,O,X,X,O,X,X,X
ILZSTOJ,O,O,X,O,X,X,X
ILZSJTO,O,X,X,O,X,X,X
ILZSJOT,O,X,X,O,X,X,X
ILZSOTJ,O,O,X,O,X,X,X
ILZSOJT,O,X,X,O,X,X,X
ILZOTJS,X,X,X,O,X,O,X
ILZOTSJ,X,X,X,O,X,O,X
ILZOJTS,X,X,X,O,X,O,X
ILZOJST,O,O,X,O,X,X,X
ILZOSTJ,O,O,X,O,X,X,X
ILZOSJT,O,X,X,O,X,X,X
ILOTJSZ,X,O,O,X,O,X,X
ILOTJZS,X,X,O,X,O,O,X
ILOTSJZ,X,O,O,O,O,X,X
ILOTSZJ,X,O,X,O,X,O,X
ILOTZJS,X,X,O,O,O,O,X
ILOTZSJ,X,X,X,O,X,O,X
ILOJTSZ,X,O,O,X,O,X,X
ILOJTZS,X,X,O,X,O,X,X
ILOJSTZ,X,O,O,O,X,X,X
ILOJSZT,X,O,X,O,X,X,X
ILOJZTS,X,O,X,O,O,X,X
ILOJZST,X,O,X,O,X,X,X
ILOSTJZ,O,O,O,O,X,X,X
ILOSTZJ,O,O,O,O,X,X,X
ILOSJTZ,X,O,O,O,X,X,X
ILOSJZT,X,O,X,O,X,X,X
ILOSZTJ,O,O,X,O,X,X,X
ILOSZJT,O,X,X,O,X,X,X
ILOZTJS,X,X,X,O,O,O,X
ILOZTSJ,X,X,X,O,O,O,X
ILOZJTS,X,X,X,O,O,O,X
ILOZJST,O,O,X,O,X,X,X
ILOZSTJ,O,O,X,O,X,X,X
ILOZSJT,O,X,X,O,X,X,X
IJTLSZO,X,O,O,X,X,X,O
IJTLSOZ,X,O,O,X,X,X,O
IJTLZSO,X,X,O,X,X,X,O
IJTLZOS,X,X,O,X,X,X,O
IJTLOSZ,X,O,O,X,X,X,O
IJTLOZS,X,X,O,X,X,X,O
IJTSLZO,X,O,O,X,X,X,O
IJTSLOZ,X,O,O,X,X,X,O
IJTSZLO,X,O,O,X,X,X,O
IJTSZOL,X,X,X,X,X,X,O
IJTSOLZ,X,O,O,X,X,X,O
IJTSOZL,X,X,X,X,X,X,O
IJTZLSO,X,X,O,X,O,X,O
IJTZLOS,X,X,O,X,O,X,O
IJTZSLO,X,X,X,X,O,X,O
IJTZSOL,X,X,X,X,X,X,O
IJTZOLS,X,X,X,X,O,X,O
IJTZOSL,X,X,X,X,X,X,O
IJTOLSZ,X,X,O,X,O,X,O
IJTOLZS,X,X,O,X,O,X,O
IJTOSLZ,X,X,O,X,O,X,O
IJTOSZL,X,X,X,X,X,X,O
IJTOZLS,X,X,O,X,O,X,O
IJTOZSL,X,X,X,X,O,X,O
IJLTSZO,X,O,O,X,X,X,X
IJLTSOZ,X,O,O,X,X,X,X
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,X,X,X,X
IJLTOSZ,X,O,O,X,X,X,X
IJLTOZS,X,X,O,X,X,X,X
IJLSTZO,O,O,O,O,X,X,X
IJLSTOZ,O,O,O,X,X,X,X
IJLSZTO,O,O,X,O,X,X,X
IJLSZOT,O,O,X,O,X,X,X
IJLSOTZ,X,O,X,X,X,X,X
IJLSOZT,X,O,X,X,X,X,X
IJLZTSO,O,O,X,O,O,X,X
IJLZTOS,X,O,X,O,O,X,X
IJLZSTO,O,O,X,O,X,X,X
IJLZSOT,O,O,X,O,X,X,X
IJLZOTS,X,O,X,O,X,X,X
IJLZOST,O,O,X,O,X,X,X
IJLOTSZ,X,O,X,X,O,X,X
IJLOTZS,X,X,X,X,O,X,X
IJLOSTZ,X,O,X,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X
IJLOZTS,X,O,X,O,O,X,X
IJLOZST,X,O,X,O,X,X,X
IJSTLZO,X,O,O,X,X,X,X
IJSTLOZ,X,O,O,X,X,X,X
IJSTZLO,X,O,O,O,X,X,X
IJSTZOL,X,O,X,O,X,X,X
IJSTOLZ,X,O,O,X,X,X,X
IJSTOZL,X,O,O,X,X,X,X
IJSLTZO,X,O,O,O,X,X,X
IJSLTOZ,X,O,O,X,X,X,X
IJSLZTO,X,O,X,O,X,X,X
IJSLZOT,X,O,X,O,X,X,X
IJSLOTZ,X,O,X,X,X,X,X
IJSLOZT,X,O,X,X,X,X,X
IJSZTLO,X,O,O,O,O,X,X
IJSZTOL,X,O,X,O,X,X,X
IJSZLTO,X,O,X,O,X,X,X
IJSZLOT,X,O,X,O,X,X,X
IJSZOTL,X,O,X,O,X,X,X
IJSZOLT,X,O,X,O,X,X,X
IJSOTLZ,X,O,O,X,O,X,X
IJSOTZL,X,O,O,X,X,X,X
IJSOLTZ,X,O,O,X,X,X,X
IJSOLZT,X,O,X,X,X,X,X
IJSOZTL,X,O,O,X,O,X,X
IJSOZLT,X,O,X,X,X,X,X
IJZTLSO,O,O,O,O,O,X,X
IJZTLOS,X,O,O,O,O,X,X
IJZTSLO,X,O,X,O,O,X,X
IJZTSOL,X,O,X,O,X,X,X
IJZTOLS,X,X,X,X,O,O,X
IJZTOSL,X,X,X,X,X,O,X
IJZLTSO,O,O,X,O,O,X,X
IJZLTOS,X,O,X,O,O,X,X
IJZLSTO,O,O,X,O,X,X,X
IJZLSOT,O,O,X,O,X,X,X
IJZLOTS,X,O,X,O,X,O,X
IJZLOST,O,O,X,O,X,X,X
IJZSTLO,X,O,O,O,O,X,X
IJZSTOL,X,O,X,O,X,X,X
IJZSLTO,O,O,X,O,X,X,X
IJZSLOT,O,O,X,O,X,X,X
IJZSOTL,X,O,X,O,X,O,X
IJZSOLT,X,O,X,O,X,X,X
IJZOTLS,X,X,X,X,O,O,X
IJZOTSL,X,X,X,X,O,O,X
IJZOLTS,X,O,X,O,O,O,X
IJZOLST,O,O,X,O,X,X,X
IJZOSTL,X,O,X,O,O,O,X
IJZOSLT,X,O,X,O,X,X,X
IJOTLSZ,X,X,O,X,O,X,X
IJOTLZS,X,X,O,X,O,O,X
IJOTSLZ,X,X,O,X,O,X,X
IJOTSZL,X,X,O,X,X,X,X
IJOTZLS,X,X,O,X,O,O,X
IJOTZSL,X,X,X,X,O,O,X
IJOLTSZ,X,O,O,X,O,X,X
IJOLTZS,X,X,O,X,O,X,X
IJOLSTZ,X,O,O,X,X,X,X
IJOLSZT,X,O,X,X,X,X,X
IJOLZTS,X,O,X,X,O,X,X
IJOLZST,X,O,X,X,X,X,X
IJOSTLZ,X,O,O,X,O,X,X
IJOSTZL,X,O,O,X,X,X,X
IJOSLTZ,X,O,O,X,X,X,X
IJOSLZT,X,O,X,X,X,X,X
IJOSZTL,X,O,O,X,O,X,X
IJOSZLT,X,O,X,X,X,X,X
IJOZTLS,X,X,O,X,O,O,X
IJOZTSL,X,X,X,X,O,O,X
IJOZLTS,X,O,X,X,O,O,X
IJOZLST,X,O,X,X,X,X,X
IJOZSTL,X,O,O,X,O,O,X
IJOZSLT,X,O,X,X,X,X,X
ISTLJZO,X,O,O,O,X,X,X
ISTLJOZ,X,O,O,X,X,X,X
ISTLZJO,X,X,O,O,X,X,X
ISTLZOJ,X,O,O,O,X,X,X
ISTLOJZ,X,O,O,X,X,X,X
ISTLOZJ,X,O,O,O,X,X,X
ISTJLZO,X,O,O,X,X,X,X
ISTJLOZ,X,O,O,X,X,X,X
ISTJZLO,X,O,O,O,X,X,X
ISTJZOL,X,O,X,O,X,X,X
ISTJOLZ,X,O,O,X,X,X,X
ISTJOZL,X,O,O,X,X,X,X
ISTZLJO,X,X,O,O,X,X,X
ISTZLOJ,X,O,O,O,X,X,X
ISTZJLO,X,X,O,O,X,X,X
ISTZJOL,X,X,X,O,X,X,X
ISTZOLJ,X,X,O,X,X,X,X
ISTZOJL,X,X,O,O,X,X,X
ISTOLJZ,X,O,O,X,X,X,X
ISTOLZJ,X,O,O,X,X,X,X
ISTOJLZ,X,O,O,X,X,X,X
ISTOJZL,X,O,O,X,X,X,X
ISTOZLJ,X,X,O,X,X,X,X
ISTOZJL,X,X,O,O,X,X,X
ISLTJZO,O,O,O,O,X,X,X
ISLTJOZ,O,O,O,X,X,X,X
ISLTZJO,O,X,O,O,X,X,X
ISLTZOJ,O,O,O,O,X,X,X
ISLTOJZ,O,O,O,X,X,X,X
ISLTOZJ,O,O,O,O,X,X,X
ISLJTZO,O,O,O,O,X,X,X
ISLJTOZ,O,O,O,X,X,X,X
ISLJZTO,O,O,X,O,X,X,X
ISLJZOT,O,O,X,O,X,X,X
ISLJOTZ,X,O,X,X,X,X,X
ISLJOZT,X,O,X,X,X,X,X
ISLZTJO,O,X,X,O,X,X,X
ISLZTOJ,O,O,X,O,X,X,X
ISLZJTO,O,X,X,O,X,X,X
ISLZJOT,O,X,X,O,X,X,X
ISLZOTJ,O,O,X,O,X,X,X
ISLZOJT,O,X,X,O,X,X,X
ISLOTJZ,O,O,O,O,X,X,X
ISLOTZJ,O,O,O,O,X,X,X
ISLOJTZ,X,O,O,O,X,X,X
ISLOJZT,X,O,X,O,X,X,X
ISLOZTJ,O,O,X,O,X,X,X
ISLOZJT,O,X,X,O,X,X,X
ISJTLZO,X,O,O,X,X,X,X
ISJTLOZ,X,O,O,X,X,X,X
ISJTZLO,X,O,O,O,X,X,X
ISJTZOL,X,O,X,O,X,X,X
ISJTOLZ,X,O,O,X,X,X,X
ISJTOZL,X,O,O,X,X,X,X
ISJLTZO,X,O,O,O,X,X,X
ISJLTOZ,X,O,O,X,X,X,X
ISJLZTO,X,O,X,O,X,X,X
ISJLZOT,X,O,X,O,X,X,X
ISJLOTZ,X,O,X,X,X,X,X
ISJLOZT,X,O,X,X,X,X,X
ISJZTLO,X,O,O,O,O,X,X
ISJZTOL,X,O,X,O,X,X,X
ISJZLTO,X,O,X,O,X,X,X
ISJZLOT,X,O,X,O,X,X,X
ISJZOTL,X,O,X,O,X,X,X
ISJZOLT,X,O,X,O,X,X,X
ISJOTLZ,X,O,O,X,O,X,X
ISJOTZL,X,O,O,X,X,X,X
ISJOLTZ,X,O,O,X,X,X,X
ISJOLZT,X,O,X,X,X,X,X
ISJOZTL,X,O,O,X,O,X,X
ISJOZLT,X,O,X,X,X,X,X
ISZTLJO,X,X,O,O,O,X,X
ISZTLOJ,X,O,O,O,X,X,X
ISZTJLO,X,X,O,O,O,X,X
ISZTJOL,X,X,X,O,X,X,X
ISZTOLJ,X,X,O,X,X,X,X
ISZTOJL,X,X,O,O,X,X,X
ISZLTJO,O,X,X,O,X,X,X
ISZLTOJ,O,O,X,O,X,X,X
ISZLJTO,O,X,X,O,X,X,X
ISZLJOT,O,X,X,O,X,X,X
ISZLOTJ,O,O,X,O,X,X,X
ISZLOJT,O,X,X,O,X,X,X
ISZJTLO,X,X,O,O,O,X,X
ISZJTOL,X,X,X,O,X,X,X
ISZJLTO,O,X,X,O,X,X,X
ISZJLOT,O,X,X,O,X,X,X
ISZJOTL,X,X,X,O,X,O,X
ISZJOLT,X,X,X,O,X,X,X
ISZOTLJ,X,X,O,X,X,O,X
ISZOTJL,X,X,O,O,X,O,X
ISZOLTJ,X,X,X,O,X,X,X
ISZOLJT,X,X,X,O,X,X,X
ISZOJTL,X,X,O,O,X,O,X
ISZOJLT,X,X,X,O,X,X,X
ISOTLJZ,X,O,O,X,O,X,X
ISOTLZJ,X,O,O,X,X,O,X
ISOTJLZ,X,O,O,X,O,X,X
ISOTJZL,X,O,O,X,X,X,X
ISOTZLJ,X,X,O,X,X,O,X
ISOTZJL,X,X,O,O,X,O,X
ISOLTJZ,X,O,O,X,X,X,X
ISOLTZJ,X,O,O,O,X,X,X
ISOLJTZ,X,O,O,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X
ISOLZTJ,X,O,X,O,X,X,X
ISOLZJT,X,X,X,O,X,X,X
ISOJTLZ,X,O,O,X,O,X,X
ISOJTZL,X,O,O,X,X,X,X
ISOJLTZ,X,O,O,X,X,X,X
ISOJLZT,X,O,X,X,X,X,X
ISOJZTL,X,O,O,X,O,X,X
ISOJZLT,X,O,X,X,X,X,X
ISOZTLJ,X,X,O,X,O,O,X
ISOZTJL,X,X,O,O,O,O,X
ISOZLTJ,X,X,X,O,X,X,X
ISOZLJT,X,X,X,O,X,X,X
ISOZJTL,X,X,O,O,O,O,X
ISOZJLT,X,X,X,O,X,X,X
IZTLJSO,O,X,O,O,O,X,X
IZTLJOS,X,X,O,O,O,X,X
IZTLSJO,O,X,X,O,O,X,X
IZTLSOJ,O,X,X,O,X,X,X
IZTLOJS,X,X,O,O,O,X,X
IZTLOSJ,X,X,X,O,X,X,X
IZTJLSO,O,X,O,O,O,X,X
IZTJLOS,X,X,O,O,O,X,X
IZTJSLO,O,X,X,O,O,X,X
IZTJSOL,O,X,X,O,X,X,X
IZTJOLS,X,X,X,X,O,O,X
IZTJOSL,O,X,X,X,X,O,X
IZTSLJO,O,X,X,O,O,X,X
IZTSLOJ,O,X,X,O,X,X,X
IZTSJLO,O,X,X,O,O,X,X
IZTSJOL,O,X,X,O,X,X,X
IZTSOLJ,O,X,X,X,X,X,X
IZTSOJL,O,X,X,O,X,X,X
