sequence,v115@MhA8EeA8BeB8EeA8AeG8JeZEJvhFzfBFhBOnBXjBcq?BSyB,v115@MhA8EeA8BeB8EeA8AeG8JeZEJvhFXhBOnB6oBUlBzn?BFqB,v115@MhA8EeA8BeB8EeA8AeG8JeZEJvhFzfBFhBiiB+oBcq?B3sB
ILSOZJT,X,O,X
ILZTJSO,O,X,X
ILZTJOS,O,X,X
ILZTSJO,O,X,X
ILZTSOJ,O,X,X
ILZTOJS,O,X,X
ILZTOSJ,O,X,X
ILZJTSO,O,X,X
ILZJTOS,O,X,X
ILZJSTO,O,X,X
ILZJSOT,O,X,X
ILZJOTS,O,X,X
ILZJOST,O,X,X
ILZSTJO,O,X,X
ILZSTOJ,O,X,X
ILZSJTO,O,X,X
ILZSJOT,O,X,X
ILZSOTJ,O,X,X
ILZSOJT,O,O,X
ILZOTJS,O,X,X
ILZOTSJ,O,X,X
ILZOJTS,O,X,X
ILZOJST,O,O,X
ILZOSTJ,O,X,X
ILZOSJT,O,O,X
ILOTJSZ,X,X,X
ILOTJZS,X,X,X
ILOTSJZ,X,X,X
ILOTSZJ,X,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,X,X,X
ILOJTZS,X,X,X
ILOJSTZ,X,X,X
