sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,X,O,X
TJLZOSI,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X
TJSILZO,X,X,X,O,X,X
TJSILOZ,X,X,X,O,X,X
TJSIZLO,X,X,X,O,X,X
TJSIZOL,X,X,X,O,X,X
TJSIOLZ,X,X,X,O,X,X
TJSIOZL,X,X,X,X,X,X
TJSLIZO,X,X,X,O,X,X
TJSLIOZ,X,X,X,O,X,X
TJSLZIO,X,X,X,O,X,X
TJSLZOI,X,X,X,O,X,X
TJSLOIZ,X,X,X,O,X,X
TJSLOZI,X,X,X,X,X,X
TJSZILO,X,X,X,O,X,X
TJSZIOL,X,X,X,O,X,X
TJSZLIO,X,X,X,O,X,X
TJSZLOI,X,X,X,O,X,X
TJSZOIL,X,X,X,O,X,X
TJSZOLI,X,X,X,O,X,X
TJSOILZ,X,X,X,O,X,X
TJSOIZL,X,X,X,X,X,X
TJSOLIZ,X,X,X,O,X,X
TJSOLZI,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,O,X
TJZISLO,X,X,X,O,X,X
TJZISOL,X,X,X,O,X,X
TJZIOLS,X,X,X,X,O,X
TJZIOSL,X,X,X,O,X,X
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,X,X,X,O,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,X,X,X,O,X
TJZLOSI,X,X,X,X,X,X
TJZSILO,X,X,X,O,X,X
TJZSIOL,X,X,X,O,X,X
TJZSLIO,X,X,X,O,X,X
TJZSLOI,X,X,X,O,X,X
TJZSOIL,X,X,X,O,X,X
TJZSOLI,X,X,X,O,X,X
TJZOILS,X,X,X,X,O,X
TJZOISL,X,X,X,O,X,X
TJZOLIS,X,X,X,X,O,X
TJZOLSI,X,X,X,X,X,X
TJZOSIL,X,X,X,O,X,X
TJZOSLI,X,X,X,O,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X
TJOISLZ,X,X,X,O,X,X
TJOISZL,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X
TJOSILZ,X,X,X,O,X,X
TJOSIZL,X,X,X,X,X,X
TJOSLIZ,X,X,X,O,X,X
TJOSLZI,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X
TSILJZO,X,O,X,O,X,X
TSILJOZ,X,O,X,O,X,X
TSILZJO,X,O,X,O,X,X
TSILZOJ,X,O,X,O,X,X
TSILOJZ,X,O,X,O,X,X
TSILOZJ,X,X,X,X,X,X
TSIJLZO,X,X,X,O,X,X
TSIJLOZ,X,X,X,O,X,X
TSIJZLO,X,X,X,O,X,X
TSIJZOL,X,X,X,O,X,X
TSIJOLZ,X,X,X,O,X,X
TSIJOZL,X,X,X,X,X,X
TSIZLJO,X,O,X,O,X,X
TSIZLOJ,X,O,X,O,X,X
TSIZJLO,X,X,X,O,X,X
TSIZJOL,X,X,X,O,X,X
TSIZOLJ,X,O,X,O,X,X
TSIZOJL,X,X,X,O,X,X
TSIOLJZ,X,O,X,O,X,X
TSIOLZJ,X,X,X,X,X,X
TSIOJLZ,X,X,X,O,X,X
TSIOJZL,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,X,O,X,O,X,X
TSLIJOZ,X,O,X,O,X,X
TSLIZJO,X,O,X,O,X,X
TSLIZOJ,X,O,X,O,X,X
TSLIOJZ,X,O,X,O,X,X
TSLIOZJ,X,X,X,X,X,X
TSLJIZO,X,O,X,O,X,X
TSLJIOZ,X,O,X,O,X,X
TSLJZIO,X,O,X,O,X,X
TSLJZOI,X,O,X,O,X,X
TSLJOIZ,X,O,X,O,X,X
TSLJOZI,X,X,X,X,X,X
TSLZIJO,X,O,X,O,X,X
TSLZIOJ,X,O,X,O,X,X
TSLZJIO,X,O,X,O,X,X
TSLZJOI,X,O,X,O,X,X
TSLZOIJ,X,O,X,O,X,X
TSLZOJI,X,O,X,O,X,X
TSLOIJZ,X,O,X,O,X,X
TSLOIZJ,X,X,X,X,X,X
TSLOJIZ,X,O,X,O,X,X
TSLOJZI,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X
TSJILZO,X,X,X,O,X,X
TSJILOZ,X,X,X,O,X,X
TSJIZLO,X,X,X,O,X,X
TSJIZOL,X,X,X,O,X,X
TSJIOLZ,X,X,X,O,X,X
