sequence,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhFukB1lB0hB6?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBTiBKpBG?mBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jei/IvhF1lBxhBcpBG?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF6mBTiB0kBl?lB2uBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBFiBWqB6?rBcsBzpB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBOpBllBS?sBzpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeT/IvhFxhBllBurBc?sBipBXqB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBWqBlmBc?sBzpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je/EJvhFRgBTlBlmBc?sB2uBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBKpBGmBT?nBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBllBSsBm?pBTpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhFlmBcsBxpBT?pBmpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhF+nBlmBxpB0?pBipBzrB
TSIJZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIJOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TSIZJOL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIZOJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIOZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSLIJZO,O,O,X,O,X,X,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSLJIZO,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSLJZIO,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLJZOI,O,O,O,O,X,O,X,X,X,X,O,X,X
TSLJOIZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TSLJOZI,O,O,X,O,X,X,X,X,X,X,O,X,X
TSLZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLZJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSLZJOI,O,O,O,O,X,O,O,X,X,X,O,X,X
TSLZOIJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLZOJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLOIJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLOJZI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLOZIJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TSJILZO,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJILOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJIZLO,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJIZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJIOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJLIZO,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJLZIO,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJLZOI,O,O,O,O,X,O,X,X,X,X,O,X,X
TSJLOIZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TSJLOZI,O,O,X,O,X,X,X,X,X,X,O,X,X
TSJZILO,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZIOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZLIO,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZLOI,O,X,O,O,X,O,X,X,X,X,O,X,X
TSJZOIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZOLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJOILZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJOIZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJOLZI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJOZIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJOZLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZILJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TSZILOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZIJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TSZIJOL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZIOJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSZLIJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TSZLIOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZLJIO,O,X,O,O,X,X,O,X,X,X,X,X,X
TSZLJOI,O,X,O,O,X,O,O,X,X,X,O,X,X
TSZLOIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZLOJI,O,X,O,O,X,O,O,X,X,X,X,X,X
TSZJILO,O,X,O,O,X,X,O,X,X,X,X,X,X
TSZJIOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJLIO,O,X,O,O,X,X,O,X,X,X,X,X,X
TSZJLOI,O,X,O,O,X,O,O,X,X,X,O,X,X
TSZJOIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJOLI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOILJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOIJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSZOLIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOLJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TSZOJIL,O,X,O,O,X,O,X,X,X,X,X,X,X
TSZOJLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TSOILJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOILZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOIJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOIZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOIZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSOLJIZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSOLJZI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSOLZJI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSOJILZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSOJIZL,O,X,O,O,X,O,X,X,X,X,X,X,X
TSOJLIZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSOJLZI,O,O,O,O,X,O,X,X,X,X,X,X,X
TSOJZIL,O,X,O,O,X,O,X,X,X,X,X,X,X
TSOJZLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TSOZILJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOZIJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSOZLIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOZLJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TSOZJIL,O,X,O,O,X,O,X,X,X,X,X,X,X
TSOZJLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZILJSO,O,X,O,X,O,X,O,O,X,X,X,X,X
TZILJOS,O,X,O,X,O,O,O,X,X,X,O,X,X
TZILSJO,O,X,O,X,O,X,X,O,X,X,X,X,X
TZILSOJ,O,X,O,O,O,X,X,X,X,X,X,O,X
TZILOJS,O,X,O,X,O,O,O,X,X,X,X,X,X
TZILOSJ,O,X,O,X,O,X,X,X,X,X,X,O,X
TZIJLSO,O,X,O,X,O,X,O,O,X,X,X,X,X
TZIJLOS,O,X,O,X,O,O,O,X,X,X,O,X,X
TZIJSLO,O,X,O,X,X,X,O,O,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X,O,O,X,X,O,X
TZIJOLS,O,X,O,X,X,X,O,X,X,X,X,X,X
TZIJOSL,O,X,X,X,X,X,X,O,O,X,X,O,X
TZISLJO,O,X,O,X,X,X,X,O,X,X,X,X,X
TZISLOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TZISJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
TZISJOL,O,X,X,X,X,X,X,O,X,X,X,O,X
TZISOLJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TZISOJL,O,X,X,X,X,X,X,O,X,X,X,O,X
TZIOLJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TZIOLSJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TZIOJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TZIOJSL,O,X,O,X,X,O,X,O,O,X,X,O,X
TZIOSLJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TZIOSJL,O,X,X,X,X,X,X,O,X,X,X,O,X
TZLIJSO,O,X,O,X,O,X,O,O,X,X,X,X,X
TZLIJOS,O,X,O,X,O,O,O,X,X,X,O,X,X
TZLISJO,O,X,O,X,O,X,X,O,X,X,X,X,X
TZLISOJ,O,X,O,O,O,X,X,X,X,X,X,O,X
TZLIOJS,O,X,O,X,O,O,O,X,X,X,X,X,X
TZLIOSJ,O,X,O,X,O,X,X,X,X,X,X,O,X
TZLJISO,O,X,O,O,O,X,O,O,X,X,X,X,X
TZLJIOS,O,X,O,O,O,O,O,X,X,X,O,X,X
TZLJSIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TZLJSOI,O,X,O,O,O,O,O,X,O,X,O,X,X
TZLJOIS,O,X,O,O,O,O,O,X,X,X,O,X,X
TZLJOSI,X,X,O,O,O,O,O,X,O,X,O,X,X
TZLSIJO,O,X,O,X,O,X,X,O,X,X,X,X,X
TZLSIOJ,O,X,O,O,O,X,X,X,X,X,X,O,X
TZLSJIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TZLSJOI,O,X,O,O,O,O,O,X,X,X,O,X,X
TZLSOIJ,O,X,O,O,O,X,X,X,X,X,X,X,X
TZLSOJI,O,X,O,O,O,O,O,X,X,X,X,X,X
TZLOIJS,O,X,O,X,O,O,O,X,X,X,X,X,X
TZLOISJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TZLOJIS,O,X,O,X,O,O,O,X,X,X,O,X,X
TZLOJSI,X,X,O,X,O,O,O,X,O,X,O,X,X
TZLOSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TZLOSJI,O,X,O,X,O,O,O,X,X,X,X,X,X
TZJILSO,O,X,O,O,O,X,O,O,X,X,X,X,X
TZJILOS,O,X,O,O,O,O,O,X,X,X,O,X,X
TZJISLO,O,X,O,O,X,X,O,O,X,X,X,X,X
TZJISOL,O,X,O,O,X,X,X,O,O,X,X,O,X
TZJIOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
TZJIOSL,O,X,X,O,X,X,X,O,O,X,X,O,X
TZJLISO,O,X,O,O,O,X,O,O,X,X,X,X,X
TZJLIOS,O,X,O,O,O,O,O,X,X,X,O,X,X
TZJLSIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TZJLSOI,O,X,O,O,O,O,O,X,O,X,O,X,X
TZJLOIS,O,X,O,O,O,O,O,X,X,X,O,X,X
TZJLOSI,X,X,O,O,O,O,O,X,O,X,O,X,X
TZJSILO,O,X,O,O,X,X,O,O,X,X,X,X,X
TZJSIOL,O,X,O,O,X,X,X,O,O,X,X,O,X
TZJSLIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TZJSLOI,O,X,O,O,X,O,O,X,O,X,O,X,X
TZJSOIL,O,X,O,O,X,X,X,O,O,X,X,X,X
TZJSOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TZJOILS,O,X,O,O,X,O,O,X,X,X,X,X,X
TZJOISL,O,X,O,O,X,O,X,O,O,X,X,X,X
TZJOLIS,O,X,O,O,X,O,O,X,X,X,O,X,X
TZJOLSI,O,X,O,O,X,O,O,X,O,X,O,X,X
TZJOSIL,O,X,O,O,X,O,X,O,O,X,X,X,X
TZJOSLI,O,X,O,O,X,O,X,X,O,X,X,X,X
TZSILJO,O,X,O,X,X,X,X,O,X,X,X,X,X
TZSILOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TZSIJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
TZSIJOL,O,X,O,X,X,X,X,O,X,X,X,O,X
TZSIOLJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TZSIOJL,O,X,O,X,X,X,X,O,X,X,X,O,X
TZSLIJO,O,X,O,X,X,X,X,O,X,X,X,X,X
TZSLIOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TZSLJIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TZSLJOI,O,X,O,O,X,O,O,X,X,X,O,X,X
TZSLOIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSLOJI,O,X,O,O,X,O,O,X,X,X,X,X,X
TZSJILO,O,X,O,O,X,X,O,O,X,X,X,X,X
TZSJIOL,O,X,O,O,X,X,X,O,O,X,X,O,X
TZSJLIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TZSJLOI,O,X,O,O,X,O,O,X,O,X,O,X,X
TZSJOIL,O,X,O,O,X,X,X,O,O,X,X,X,X
TZSJOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TZSOILJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TZSOIJL,O,X,O,X,X,X,X,O,X,X,X,O,X
TZSOLIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOLJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZSOJIL,O,X,O,O,X,O,X,O,O,X,X,X,X
TZSOJLI,O,X,O,O,X,O,X,X,O,X,X,X,X
TZOILJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TZOILSJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TZOIJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TZOIJSL,O,X,O,X,X,O,X,O,O,X,X,O,X
TZOISLJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TZOISJL,O,X,O,X,X,X,X,O,X,X,X,O,X
TZOLIJS,O,X,O,X,X,O,O,X,X,X,X,X,X
TZOLISJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOLJIS,O,X,O,X,X,O,O,X,X,X,O,X,X
TZOLJSI,O,X,O,X,X,O,O,X,O,X,O,X,X
TZOLSIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOLSJI,O,X,O,X,X,O,O,X,X,X,X,X,X
TZOJILS,O,X,O,X,X,O,O,X,X,X,X,X,X
TZOJISL,O,X,O,X,X,O,X,O,O,X,X,X,X
TZOJLIS,O,X,O,X,X,O,O,X,X,X,O,X,X
TZOJLSI,O,X,O,X,X,O,O,X,O,X,O,X,X
TZOJSIL,O,X,O,X,X,O,X,O,O,X,X,X,X
TZOJSLI,O,X,O,X,X,O,X,X,O,X,X,X,X
TZOSILJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TZOSIJL,O,X,O,X,X,X,X,O,X,X,X,O,X
TZOSLIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOSLJI,O,X,O,X,X,O,X,X,X,X,X,X,X
TZOSJIL,O,X,O,X,X,O,X,O,O,X,X,X,X
TZOSJLI,O,X,O,X,X,O,X,X,O,X,X,X,X
TOILJSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TOILJZS,O,X,X,X,X,O,X,X,X,X,X,X,X
TOILSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOILSZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOILZJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOILZSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIJLSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJLZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJSZL,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJZLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJZSL,O,X,O,X,X,O,X,X,X,X,X,X,X
TOISLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOISLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOISJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOISJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOISZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOISZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIZLJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIZLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIZJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIZJSL,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLIJSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TOLIJZS,O,X,X,X,X,O,X,X,X,O,X,X,X
TOLISJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOLISZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLIZJS,O,X,O,X,X,O,O,X,X,O,X,X,X
TOLIZSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLJISZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLJIZS,O,X,O,X,X,O,X,X,X,O,O,X,X
TOLJSIZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLJSZI,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLJZIS,O,X,O,O,X,O,O,X,X,O,O,X,X
TOLJZSI,O,X,O,O,X,O,O,X,X,O,O,X,X
TOLSIJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOLSIZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLSJIZ,O,X,O,O,X,O,X,X,X,O,X,X,X
TOLSJZI,O,X,O,O,X,O,X,X,X,O,X,X,X
TOLSZIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLSZJI,O,X,O,O,X,O,O,X,X,O,X,X,X
TOLZIJS,O,X,O,X,X,O,O,X,X,O,X,X,X
TOLZISJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLZJIS,O,X,O,X,X,O,O,X,X,O,O,X,X
TOLZJSI,O,X,O,X,X,O,O,X,X,O,O,X,X
TOLZSIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLZSJI,O,X,O,X,X,O,O,X,X,O,X,X,X
TOJILSZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJILZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJISLZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJISZL,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJIZLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJIZSL,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJLISZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJLIZS,O,X,O,X,X,O,X,X,X,O,O,X,X
TOJLSIZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJLSZI,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJLZIS,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJLZSI,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJSILZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJSIZL,O,X,O,O,X,O,X,X,O,X,X,X,X
TOJSLIZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJSLZI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJSZIL,O,X,O,O,X,O,X,X,O,X,X,X,X
TOJSZLI,O,X,O,O,X,O,X,X,O,X,X,X,X
TOJZILS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJZISL,O,X,O,O,X,O,X,X,O,X,X,X,X
TOJZLIS,O,X,O,O,X,O,X,X,X,X,O,X,X
TOJZLSI,O,X,O,O,X,O,X,X,O,X,O,X,X
TOJZSIL,O,X,O,O,X,O,X,X,O,X,X,X,X
TOJZSLI,O,X,O,O,X,O,X,X,O,X,X,X,X
TOSILJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOSILZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSIJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSIZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSIZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSLIJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSLJIZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSLJZI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSLZIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSLZJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSJILZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSJIZL,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSJLZI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSJZIL,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSJZLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSZILJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSZIJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSZLIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSZLJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSZJIL,O,X,O,O,X,O,X,X,X,X,X,X,X
TOSZJLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZILJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZILSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZIJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZIJSL,O,X,O,X,X,O,X,X,O,X,X,X,X
TOZISLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZISJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZLIJS,O,X,O,X,X,O,O,X,X,X,X,X,X
TOZLISJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZLJIS,O,X,O,X,X,O,O,X,X,X,O,X,X
TOZLJSI,O,X,O,X,X,O,O,X,O,X,O,X,X
TOZLSIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZLSJI,O,X,O,X,X,O,O,X,X,X,X,X,X
TOZJILS,O,X,O,X,X,O,O,X,X,X,X,X,X
TOZJISL,O,X,O,X,X,O,X,X,O,X,X,X,X
TOZJLIS,O,X,O,X,X,O,O,X,X,X,O,X,X
TOZJLSI,O,X,O,X,X,O,O,X,O,X,O,X,X
TOZJSIL,O,X,O,X,X,O,X,X,O,X,X,X,X
TOZJSLI,O,X,O,X,X,O,X,X,O,X,X,X,X
TOZSILJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZSIJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZSLIJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZSLJI,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZSJIL,O,X,O,X,X,O,X,X,O,X,X,X,X
TOZSJLI,O,X,O,X,X,O,X,X,O,X,X,X,X
ITLJSZO,O,X,X,O,O,X,X,X,X,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLJZSO,O,X,X,O,O,X,X,X,X,X,X,X,X
ITLJZOS,O,X,X,O,O,O,X,X,X,X,O,X,X
ITLJOSZ,O,X,X,O,X,X,X,X,X,X,O,X,X
ITLJOZS,O,X,X,X,X,X,X,X,X,X,O,X,X
ITLSJZO,O,X,X,O,O,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLSZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
ITLSZOJ,O,X,O,O,O,X,X,X,X,X,X,X,X
ITLSOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLZJSO,O,X,O,X,O,X,O,X,X,X,X,X,X
ITLZJOS,O,X,O,X,O,O,O,X,X,X,O,X,X
ITLZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X
ITLZSOJ,O,X,O,O,O,X,X,X,X,X,X,X,X
ITLZOJS,O,X,O,X,O,O,O,X,X,X,X,X,X
ITLZOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X
ITLOJSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
ITLOJZS,O,X,X,X,X,O,X,X,X,X,X,X,X
ITLOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,O,O,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJLSZO,O,X,O,O,O,X,X,X,X,X,X,X,O
ITJLSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJLZSO,O,X,O,O,O,X,X,X,X,X,X,X,O
ITJLZOS,O,X,O,O,O,O,X,X,X,X,O,X,X
ITJLOSZ,O,X,X,O,X,X,X,X,X,X,O,X,X
ITJLOZS,O,X,X,X,X,X,X,X,X,X,O,X,X
ITJSLZO,O,X,O,O,O,X,X,X,X,X,X,X,O
ITJSLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJSZLO,O,X,O,O,X,X,X,O,X,X,X,X,O
ITJSZOL,O,X,O,O,X,X,X,O,X,X,X,X,O
ITJSOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
ITJZLSO,O,X,O,O,O,X,X,O,X,X,X,X,O
ITJZLOS,O,X,O,O,O,O,X,X,X,X,O,X,X
